refseq	gene symbol	pc1
NM_207231	Arl5c	-0.0023292834764020213
NM_013758	Add3	-0.002306460200364565
NM_008453	Klf3	-0.002275810381690456
NM_153408	Neurl3	-0.002238426117872599
NM_001198825	App	-0.0022275279686540033
NM_010559	Il6ra	-0.0020996992456538367
NM_013610	Ninj1	-0.002088704715697446
NM_001081962	Sap25	-0.0020347143903485724
NM_172015	Iars	0.0031411417946974533
NM_178602	Polr2m	0.0031423767499212524
NM_001243968	Ube2m	0.003147397585463245
NM_021887	Il21r	0.0031675288125417784
NM_009439	Psmd3	0.0031943730647829263
NM_028696	Nabp1	0.003202267116196365
NM_013693	Tnf	0.00321809511543717
NM_001111292	Caprin1	0.0032535510089646523
NM_021463	Prps1	0.003263215235978889
NR_029468	Snhg12	0.003271794614294356
NM_134137	Lars	0.003327973307788321
NM_173374	Srsf1	0.003342621186329173
NM_001111267	Ncoa7	0.003351204848155903
NR_030484	Mir703	0.0033712612830460714
NM_023210	Anp32e	0.003379610705822861
NM_080456	Mrps6	0.003379662302839112
NM_175102	Sf3b5	0.0033821255707350787
NM_010792	Mettl1	0.0033846549096842827
NM_011965	Psma1	0.003403308819112481
NM_016891	Ppp2r1a	0.003416463861437715
NM_025403	Nop10	0.0034483999698755106
NM_026578	Gar1	0.003456853326170374
NR_015519	AI662270	0.00348210605822468
NM_025448	Ssr2	0.003484305459511401
NM_011187	Psmb7	0.003484425069318328
NM_025710	Uqcrfs1	0.003491888335276206
NM_001008705	Bud31	0.003497164071133852
NM_024220	Ndufc2	0.0035108135373218144
NM_053074	Nup62	0.003515970809158566
NM_026453	Mak16	0.0035178460006343427
NM_177613	Cdc34	0.0035188389421470703
NM_138659	Prpf8	0.003521223493869841
NM_013536	Emg1	0.0035249659789446186
NM_145139	Eif3l	0.0035584629610119437
NM_053092	Kars	0.0035596254824147243
NM_008681	Ndrg1	0.00365033483749604
NM_009391	Ran	0.003651083204539974
NM_008388	Eif3e	0.00365377759608275
NM_008379	Kpnb1	0.003684791137709719
NM_018807	Plagl2	0.003687335488523323
NM_009831	Ccng1	0.003734924311001267
NM_016884	Hnrnpc	0.0037512010593032173
NM_009852	Cd6	0.0037665646118310507
NM_007720	Ccr8	0.0037769358836477604
NM_027959	Pdia6	0.0038125498613299225
NM_007837	Ddit3	0.003815206420446924
NM_010908	Nfkbib	0.003839496501377332
NM_144866	Etf1	0.0038409941813379134
NM_133953	Sf3b3	0.0038685932833988287
NM_009098	Rps8	0.003872619652681144
NM_016871	Tomm40	0.0038774525453693547
NM_025310	Ftsj3	0.0038910663013494045
NM_010477	Hspd1	0.003950001323713589
NM_008948	Psmc3	0.003951392098690032
NM_011188	Psmc2	0.003956095297319225
NM_011874	Psmc4	0.0039761458445117135
NM_197979	Uqcr10	0.0039783130079654
NM_025327	Krtcap2	0.004000464027595536
NM_001003913	Mars	0.004034311094535665
NM_011638	Tfrc	0.004036629510636524
NM_175103	Bola2	0.004056663159678324
NM_011588	Trim28	0.004061009500665316
NM_015735	Ddb1	0.004063194745446357
NM_011192	Psme3	0.0040713238865394
NM_025899	Uqcrc2	0.004072276565031667
NM_008944	Psma2	0.0041178839862742785
NM_007527	Bax	0.004119313811536694
NM_010817	Psmd7	0.004131386300037452
NM_027204	Mrpl12	0.004140762224976958
NM_008683	Nedd8	0.0041501251841674774
NM_026318	Hypk	0.004160425085050954
NM_009403	Tnfsf8	0.004160647943452791
NM_153547	Gnl3	0.004185043468604535
NM_145610	Ppan	0.004239417688591493
NM_001136085	Uba1	0.004241995127915461
NM_011304	Ruvbl2	0.004258394275263877
NM_008704	Nme1	0.004263252022825724
NM_197982	Ddx39	0.004265301601076483
NM_007839	Dhx15	0.004268250849734799
NM_010579	Eif6	0.004276608964311358
NM_013716	G3bp1	0.004279770120763061
NR_102366	AW112010	0.0042848561539147074
NM_010123	Eif3a	0.00430814450416704
NM_001277113	Rpl22	0.004323898352795293
NM_027000	Gtpbp4	0.004335654424767677
NM_015751	Abce1	0.004363648374974522
NM_010818	Cd200	0.004376951609491514
NM_028451	Larp1	0.0043903425869756775
NM_019913	Txn2	0.004432749155582893
NM_008320	Irf8	0.004440497036503806
NM_001110500	Canx	0.004454393219516292
NR_002840	Gas5	0.004466567123897936
NM_009201	Slc1a5	0.004469019780836482
NM_011640	Trp53	0.004488099687838012
NM_025624	Pomp	0.0045099210536525365
NM_145941	Eif4g1	0.00452795705942239
NM_001077184	Bsg	0.00454847492052105
NM_010431	Hif1a	0.0045880849778425535
NM_007451	Slc25a5	0.004590400150320611
NM_001110145	Ssb	0.004610434291011959
NM_026438	Ppa1	0.004616209701031526
NM_008248	Hint1	0.004651666904257074
NR_033136	Atf5	0.0046995231680701365
NM_008946	Psmb6	0.004718493637615978
NM_025437	Eif1ax	0.004724402524304273
NM_021303	Noc2l	0.0047484309538931065
NR_027943	1110038B12Rik	0.004749488331451898
NM_001282737	Magoh	0.0047888487084262465
NM_010517	Igfbp4	0.004790811483947118
NM_008950	Psmc5	0.004791501892917819
NM_001025245	Mbp	0.004792463387880678
NM_033561	Eif4h	0.004818400047310103
NM_016876	Eif3g	0.0048308710017914746
NM_001077529	Nme2	0.004878352028644419
NM_029735	Eprs	0.004902638652411895
NM_008390	Irf1	0.004938157925168821
NM_053086	Nolc1	0.0049438685411107314
NM_025567	Cyc1	0.004964528829231838
NM_001205314	Stat1	0.004978092518059517
NM_025380	Eef1e1	0.00505453495280762
NM_010735	Lta	0.005062037605945568
NM_007513	Slc7a1	0.005102389504386825
NM_008956	Ptbp1	0.005106896135775401
NM_001170540	Btf3	0.005117352780018392
NM_153564	Gbp5	0.005151386688641947
NM_017472	Snx3	0.00516378930251991
NR_106169	Mir8094	0.005177754454407911
NR_045893	Gm11974	0.005177769577431545
NM_008019	Fkbp1a	0.005195820577880912
NM_010552	Il17a	0.005196496731337926
NM_001204979	Sars	0.005259973062087485
NM_001077509	Tnfrsf9	0.005279699768424823
NM_133916	Eif3b	0.005284975122562192
NR_030457	Mir686	0.005411849960653185
NM_001136081	Ssrp1	0.005425564621864585
NM_010219	Fkbp4	0.005440167501697792
NM_013559	Hsph1	0.0055045206015936635
NM_019553	Ddx21	0.005519547718662099
NM_010090	Dusp2	0.005524353260060845
NM_018799	Eif3i	0.005579779764813342
NM_008577	Slc3a2	0.00558208780501626
NM_015743	Nr4a3	0.005615139443483777
NM_001081005	1500012F01Rik	0.005635684687316477
NM_009896	Socs1	0.005639813155954247
NM_146217	Aars	0.005677014607188761
NM_026631	Nhp2	0.005752841484574732
NM_009870	Cdk4	0.0058258033296468646
NM_024193	Nop56	0.0058522160850126535
NR_024067	Snhg6	0.005854127501398577
NM_027817	Grap	0.005922340312592153
NM_009637	Aebp2	0.005948044533678978
NM_011732	Ybx1	0.005993056638415869
NM_009837	Cct4	0.006049791729696557
NR_035430	Mir1198	0.006088966761251249
NM_031165	Hspa8	0.006147567805434261
NM_013652	Ccl4	0.006166011137698207
NM_018749	Eif3d	0.006197912841805464
NM_028782	Lonp1	0.006232086111058783
NM_001252476	Prmt1	0.006269117816521155
NM_001164062	Stat5a	0.006315054076747395
NM_001002927	Penk	0.006328606928252872
NM_146036	Ahsa1	0.006404127083318594
NM_026095	Snrpd3	0.006463194102199758
NM_133726	St13	0.0066139309646669215
NM_025814	Serbp1	0.006684387808911195
NM_009687	Apex1	0.006685212367853861
NM_007669	Cdkn1a	0.006805432718918075
NM_180678	Gars	0.006813973651325893
NM_008945	Psmb4	0.006869287665681013
NM_008368	Il2rb	0.006873437978539772
NM_011968	Psma6	0.006927072368213182
NM_175329	Chchd10	0.007016144369985452
NM_025546	Rsl1d1	0.007028703424874312
NM_078478	Ghitm	0.007167215849427077
NM_011969	Psma7	0.007169965330173662
NM_009743	Bcl2l1	0.0072802337836917926
NM_009272	Srm	0.007432084142590663
NM_018738	Igtp	0.00743258275665106
NM_011498	Bhlhe40	0.0076301952676455
NM_008638	Mthfd2	0.007657898452703556
NR_105046	Hltf	0.007857514611925158
NM_008366	Il2	0.008067803500311463
NM_011613	Tnfsf11	0.00808627509379825
NM_007531	Phb2	0.008145688213117319
NM_008503	Rps2	0.008156946218282017
NM_130889	Anp32b	0.00819265007173977
NM_009400	Tnfrsf18	0.008376739303873915
NM_011404	Slc7a5	0.008386048086083519
NM_008617	Mdh2	0.008428691934898933
NM_001177370	Nfkb2	0.00848747054178395
NM_009225	Snrpb	0.008495253869982797
NM_009137	Ccl22	0.008512216412796038
NM_009536	Ywhae	0.008528665589827128
NM_018868	Nop58	0.008590723654461284
NM_016776	Mybbp1a	0.008593670186604462
NM_007638	Cct7	0.008605457158989653
NM_016737	Stip1	0.008712736365151937
NM_001038231	Banf1	0.008741317448585847
NM_177420	Psat1	0.008820566344101319
NM_011119	Pa2g4	0.008829918281249429
NM_001290712	Tcp1	0.008950527735342575
NM_173867	Rcc2	0.00921838810915668
NM_009840	Cct8	0.009369281351131105
NM_001033122	Cd69	0.00957659150496978
NM_009895	Cish	0.009580902723914328
NM_001271419	Ly6a	0.009807525553375862
NM_001142950	Nars	0.009892123647765285
NM_009838	Cct6a	0.009903175992611313
NM_011239	Ranbp1	0.009909037359424621
NM_010880	Ncl	0.010032654407617388
NM_008231	Hdgf	0.010055639781464431
NM_009836	Cct3	0.010118462134784864
NM_010260	Gbp2	0.010287184597480849
NM_009829	Ccnd2	0.010884150361358529
NM_008689	Nfkb1	0.011084462210147307
NM_001177352	Myc	0.011306107293422137
NM_011733	Ybx3	0.011564394940638595
NM_008367	Il2ra	0.011723062239970649
NM_010444	Nr4a1	0.011884707331979013
NM_007573	C1qbp	0.011892934307638495
NM_011659	Tnfrsf4	0.013275606143759364
NM_001252260	Npm1	0.013474359097049495
NM_010481	Hspa9	0.014062035893420631
NM_001085390	Dusp5	0.014101619144749496
NM_007636	Cct2	0.014460559894212022
NM_133664	Lad1	0.0146867240839037
NM_013674	Irf4	0.015016617974960463
NM_007637	Cct5	0.015489695002694153
NR_002896	Snhg1	0.01569394668760916
NM_146200	Eif3c	0.015781841965084278
NM_007719	Ccr7	0.06606363572940972
