refseq	gene symbol	pc1
NM_053108	Glrx	-0.00305498575927912
NM_010828	Cited2	-0.003048576620681049
NM_026240	Gramd3	-0.003038306571844832
NM_008359	Il17ra	-0.0030348559903084897
NM_178901	AI467606	-0.003015547238568408
NM_001077496	Evi2b	-0.003003464397177577
NM_030694	Ifitm2	-0.0029862676096313176
NM_008405	Itgb2l	-0.002976728803246633
NM_001289442	Grap2	-0.00293818595994396
NM_015779	Elane	-0.0029367753398508237
NM_030251	Abtb1	-0.002915499610999172
NM_007801	Ctsh	-0.002899853115521094
NM_001130459	Tcn2	-0.002878967995535509
NM_019771	Dstn	-0.0028752327840176712
NM_008677	Ncf4	-0.002870907518680581
NM_011242	Rasgrp2	-0.002866492422586555
NM_011175	Lgmn	-0.002836020859654993
NM_009369	Tgfbi	-0.0028289457039923646
NM_146008	Tcp11l2	-0.002790631143264843
NM_026738	1110007C09Rik	-0.0027867557832801423
NM_009006	Map4k2	-0.002781017951725993
NM_010688	Lasp1	-0.002778745612188565
NM_028732	4632428N05Rik	-0.0027434304971376104
NM_145158	Emilin2	-0.002713371874503318
NM_133962	Arhgef18	-0.002658936162154502
NM_007653	Cd63	-0.002629919851064328
NM_183390	Klhl6	-0.002604595838360419
NM_008685	Nfe2	-0.00260420769075052
NM_008437	Napsa	-0.0025717079652597865
NM_010576	Itga4	-0.0025712137494215037
NM_010194	Fes	-0.0025648742114529545
NM_013477	Atp6v0d1	-0.002548359823737867
NM_010551	Il16	-0.002515894764101168
NM_008339	Cd79b	-0.0025024680605048467
NM_001111100	Lipa	-0.0024845532617139305
NM_028752	Hvcn1	-0.002475882135492019
NM_009778	C3	-0.0024729261193662307
NM_001252201	Map4k4	-0.0024641983626757635
NM_134115	Stk38	-0.0024516783606359912
NM_025429	Serpinb1a	-0.0024441175101274355
NM_175445	Rassf2	-0.0024290672331895827
NM_023721	Atp6v1d	-0.002399230666262859
NM_027206	Tnfaip8l2	-0.002374538458745424
NM_011609	Tnfrsf1a	-0.0023719530157522
NM_207231	Arl5c	-0.0023306099242457337
NM_013758	Add3	-0.002307885037806139
NM_153408	Neurl3	-0.0022397363941707503
NM_001198825	App	-0.0022287659749419195
NM_010559	Il6ra	-0.0021009049723016834
NM_013610	Ninj1	-0.0020898292464526912
NM_172015	Iars	0.003142910974184211
NM_178602	Polr2m	0.003144166978386329
NM_021887	Il21r	0.0031692492064432673
NM_028696	Nabp1	0.0032039279477370885
NM_013693	Tnf	0.0032204997962346172
NM_001111292	Caprin1	0.0032555103467631877
NM_021463	Prps1	0.003265189492866923
NM_134137	Lars	0.003329870953908268
NM_173374	Srsf1	0.00334467078132899
NM_001111267	Ncoa7	0.0033517660416899626
NM_023210	Anp32e	0.003381499270752716
NM_080456	Mrps6	0.003381724773286303
NM_175102	Sf3b5	0.003384129222508463
NM_010792	Mettl1	0.0033865259835243198
NM_011965	Psma1	0.003405384225107907
NM_016891	Ppp2r1a	0.0034184151111506123
NM_025403	Nop10	0.003450511959720248
NM_026578	Gar1	0.003458942240337025
NM_025448	Ssr2	0.0034864560828326238
NM_011187	Psmb7	0.003486660107921345
NM_025710	Uqcrfs1	0.003494207691428417
NM_001008705	Bud31	0.0034990461847103967
NM_024220	Ndufc2	0.0035129343248263933
NM_053074	Nup62	0.003518017583362641
NM_026453	Mak16	0.003519935613166153
NM_177613	Cdc34	0.003521048198134307
NM_138659	Prpf8	0.0035233089692524853
NM_013536	Emg1	0.0035272925053979618
NM_145139	Eif3l	0.0035607007765628314
NM_053092	Kars	0.003562017963217342
NM_008681	Ndrg1	0.0036525528365056827
NM_009391	Ran	0.0036533424964835955
NM_008388	Eif3e	0.0036558688258759033
NM_008379	Kpnb1	0.0036871294390872157
NM_018807	Plagl2	0.003689463933217357
NM_009831	Ccng1	0.003737199320494806
NM_016884	Hnrnpc	0.003753478574668347
NM_009852	Cd6	0.0037691541736857687
NM_007720	Ccr8	0.003778749140891807
NM_027959	Pdia6	0.003814899815081046
NM_007837	Ddit3	0.003816999699517051
NM_010908	Nfkbib	0.003841798578906185
NM_144866	Etf1	0.003843346334559125
NM_133953	Sf3b3	0.0038709559820361648
NM_009098	Rps8	0.003874870054100933
NM_016871	Tomm40	0.0038799537044153227
NM_025310	Ftsj3	0.003893445141343888
NM_010477	Hspd1	0.003952573952567106
NM_008948	Psmc3	0.003953785626388689
NM_011188	Psmc2	0.0039584763280609905
NM_011874	Psmc4	0.0039785562178249224
NM_197979	Uqcr10	0.0039807378446671295
NM_025327	Krtcap2	0.0040026243623654725
NM_001003913	Mars	0.004036632013552746
NM_011638	Tfrc	0.004039221564944835
NM_175103	Bola2	0.004059334000995272
NM_011588	Trim28	0.004063522640665003
NM_015735	Ddb1	0.004065720361601063
NM_011192	Psme3	0.00407403815569355
NM_025899	Uqcrc2	0.004074522656286602
NM_008944	Psma2	0.004120480841191395
NM_007527	Bax	0.004122124584333741
NM_010817	Psmd7	0.004134006387914992
NM_027204	Mrpl12	0.0041433484563168435
NM_008683	Nedd8	0.004152781483208439
NM_009403	Tnfsf8	0.004162183047540472
NM_026318	Hypk	0.004162882638881857
NM_153547	Gnl3	0.0041876284748633575
NM_145610	Ppan	0.004242083080255871
NM_001136085	Uba1	0.004244571973391243
NM_011304	Ruvbl2	0.004261105244368814
NM_008704	Nme1	0.004266053836644121
NM_197982	Ddx39	0.004268037527958341
NM_007839	Dhx15	0.004270699778674456
NM_010579	Eif6	0.004279357490126622
NM_013716	G3bp1	0.004282476929642505
NM_010123	Eif3a	0.004310739774844296
NM_001277113	Rpl22	0.004326424543146221
NM_027000	Gtpbp4	0.00433809077692784
NM_015751	Abce1	0.004366176840622279
NM_010818	Cd200	0.0043797398769561775
NM_028451	Larp1	0.00439319189653521
NM_019913	Txn2	0.004435486946812627
NM_008320	Irf8	0.004444019573317924
NM_001110500	Canx	0.00445707645302515
NM_009201	Slc1a5	0.004472224138221923
NM_011640	Trp53	0.0044905934442246494
NM_025624	Pomp	0.004512955003718957
NM_145941	Eif4g1	0.0045308058298428105
NM_001077184	Bsg	0.004551489564354437
NM_010431	Hif1a	0.00459055217646088
NM_007451	Slc25a5	0.004593341084269447
NM_001110145	Ssb	0.004613163915591076
NM_026438	Ppa1	0.004619109628565035
NM_008248	Hint1	0.004654167175510346
NM_008946	Psmb6	0.004721266314548965
NM_025437	Eif1ax	0.004727034074227185
NM_021303	Noc2l	0.004751442243231954
NM_001282737	Magoh	0.004791614002949183
NM_010517	Igfbp4	0.004793707009590117
NM_008950	Psmc5	0.004794441586996242
NM_001025245	Mbp	0.004794624644246813
NM_033561	Eif4h	0.004821286320762064
NM_016876	Eif3g	0.004833913234417359
NM_001077529	Nme2	0.004881579207202662
NM_029735	Eprs	0.004905430908663521
NM_008390	Irf1	0.00494217377614982
NM_053086	Nolc1	0.004946963813496694
NM_025567	Cyc1	0.004967510936076849
NM_001205314	Stat1	0.004981744096662168
NM_025380	Eef1e1	0.005057717232677529
NM_010735	Lta	0.0050655660046014
NM_007513	Slc7a1	0.005105391644018825
NM_008956	Ptbp1	0.005109924680466429
NM_001170540	Btf3	0.005120556165949117
NM_153564	Gbp5	0.005155126277957075
NM_017472	Snx3	0.005166681348777204
NM_008019	Fkbp1a	0.0051994727441234635
NM_010552	Il17a	0.005200676716721859
NM_001204979	Sars	0.005262954986774184
NM_001077509	Tnfrsf9	0.005282138352499228
NM_133916	Eif3b	0.005288321485211473
NM_001136081	Ssrp1	0.005428850145687417
NM_010219	Fkbp4	0.00544362682263802
NM_013559	Hsph1	0.0055078343493158545
NM_019553	Ddx21	0.005523041683359461
NM_010090	Dusp2	0.00552760674315475
NM_018799	Eif3i	0.00558335992186534
NM_008577	Slc3a2	0.005585365631587968
NM_015743	Nr4a3	0.005618702815397589
NM_001081005	1500012F01Rik	0.00563888728054351
NM_009896	Socs1	0.005643181217362037
NM_146217	Aars	0.0056801866320002024
NM_026631	Nhp2	0.0057564592545841006
NM_009870	Cdk4	0.005829610065490589
NM_024193	Nop56	0.005855552873703772
NM_027817	Grap	0.005926320127025936
NM_009637	Aebp2	0.005951119745447125
NM_011732	Ybx1	0.005996967099770106
NM_009837	Cct4	0.006053452969370365
NM_031165	Hspa8	0.0061512977144841715
NM_013652	Ccl4	0.00617044793482735
NM_018749	Eif3d	0.006201544073589821
NM_028782	Lonp1	0.006235469249628736
NM_001252476	Prmt1	0.006273196138812065
NM_001164062	Stat5a	0.0063186628905129326
NM_001002927	Penk	0.006332773862512608
NM_146036	Ahsa1	0.006407908108099297
NM_026095	Snrpd3	0.006467230851558093
NM_133726	St13	0.006617780047303482
NM_025814	Serbp1	0.006688398548904283
NM_009687	Apex1	0.006689001861285506
NM_007669	Cdkn1a	0.00680997232833041
NM_180678	Gars	0.00681792744474175
NM_008945	Psmb4	0.00687360810813101
NM_008368	Il2rb	0.0068773841227668
NM_011968	Psma6	0.0069309453429382715
NM_175329	Chchd10	0.007019946031801752
NM_025546	Rsl1d1	0.007033053663952664
NM_078478	Ghitm	0.007170996684701787
NM_011969	Psma7	0.007174748682301285
NM_009743	Bcl2l1	0.00728362215229565
NM_009272	Srm	0.007436961194331302
NM_018738	Igtp	0.007438031933236491
NM_011498	Bhlhe40	0.007633022359439092
NM_008638	Mthfd2	0.007662263709667763
NM_008366	Il2	0.008073887261820241
NM_011613	Tnfsf11	0.008090647776645303
NM_007531	Phb2	0.008150860641560164
NM_008503	Rps2	0.008161652164870173
NM_130889	Anp32b	0.008197765640906969
NM_009400	Tnfrsf18	0.008380006412828404
NM_011404	Slc7a5	0.008391123851435147
NM_008617	Mdh2	0.008433894614207748
NM_001177370	Nfkb2	0.008491280439546042
NM_009225	Snrpb	0.00850047735943565
NM_009137	Ccl22	0.008517932409051125
NM_009536	Ywhae	0.00853390332232479
NM_018868	Nop58	0.008596072973065914
NM_016776	Mybbp1a	0.008599022608085042
NM_007638	Cct7	0.008610663920009481
NM_016737	Stip1	0.008717840733457183
NM_001038231	Banf1	0.008746513044034268
NM_177420	Psat1	0.008825758322592655
NM_011119	Pa2g4	0.008835454082447528
NM_001290712	Tcp1	0.008955814831202698
NM_173867	Rcc2	0.00922382825086597
NM_009840	Cct8	0.009375079790507616
NM_001033122	Cd69	0.0095825134702051
NM_009895	Cish	0.009586467257113714
NM_001271419	Ly6a	0.009814851570783724
NM_001142950	Nars	0.00989763506604373
NM_009838	Cct6a	0.009909221099218594
NM_011239	Ranbp1	0.009915339079482085
NM_010880	Ncl	0.010039183542575785
NM_008231	Hdgf	0.010061829018835766
NM_009836	Cct3	0.01012461047177541
NM_010260	Gbp2	0.010294667201415824
NM_009829	Ccnd2	0.010890950588377534
NM_008689	Nfkb1	0.011090959868550238
NM_001177352	Myc	0.011313235464211844
NM_011733	Ybx3	0.011572174507319715
NM_008367	Il2ra	0.011730001171132359
NM_010444	Nr4a1	0.011891510101918705
NM_007573	C1qbp	0.011900402002013864
NM_011659	Tnfrsf4	0.013281722338720785
NM_001252260	Npm1	0.013482813883674585
NM_010481	Hspa9	0.014070232240077205
NM_001085390	Dusp5	0.014110202845141124
NM_007636	Cct2	0.014469353267883187
NM_133664	Lad1	0.0146926083270187
NM_013674	Irf4	0.015027144816439473
NM_007637	Cct5	0.01549894078036415
NM_146200	Eif3c	0.015790694189874034
NM_007719	Ccr7	0.06609898286066425
