id	chr_name	start	end	chromosome_id	tag_count_100um_k99a	id_100um_k99a	tag_count_no_peptide	id_no_peptide	tag_count_10um_k99a	id_10um_k99a	tag_count_0_1um_pcc	id_0_1um_pcc	tag_count_10um_pcc	id_10um_pcc	ets_tag_count	ets_id	batf_tag_count	batf_id	junb_tag_count	junb_id	cjun_tag_count	cjun_id	jund_tag_count	jund_id	irf4_tag_count	irf4_id
92	chr2	132017410	132024348	2	386.8	92	581.5	118.0	600.4	98.0	528.5	154.0	379.5	166.0			37.7	8400.0			42.3	7487.0	30.7	23499.0	15.7	30995.0
93	chr2	158715325	158725197	2	386.8	93	8.34	32213.0	413.8	288.0	416.8	276.0	389.9	155.0	19.4	3114.0	37.0	8601.0	131.2	2021.0	109.9	745.0	142.6	715.0	49.8	6145.0
95	chr14	60732146	60741510	11	384.0	95	717.5	63.0	619.1	87.0	594.6	104.0	474.2	85.0	22.6	2301.0	35.1	9390.0	76.0	5241.0	21.8	17287.0	51.7	10556.0	45.2	7432.0
98	chr4	32245772	32254060	5	381.7	98	624.9	96.0	490.9	167.0	519.9	160.0	350.6	200.0			276.6	80.0	206.3	742.0	31.4	11706.0	105.5	1968.0	92.0	1540.0
103	chr7	75608570	75615282	8	377.2	103	465.6	220.0	448.4	232.0	487.8	183.0	378.4	168.0	20.3	2875.0	35.8	9067.0	15.0	18674.0	111.9	702.0	90.2	3075.0	73.8	2678.0
105	chr12	73590720	73600862	15	376.1	105	513.1	170.0	497.3	161.0	513.1	165.0	10.4	30210.0	21.2	2644.0	40.2	7822.0	35.9	12192.0	22.5	16826.0	30.9	23397.0	24.9	18720.0
107	chr5	113823517	113829415	6	375.5	107	909.4	31.0	848.1	29.0	826.1	36.0	561.5	52.0	18.5	3409.0	65.1	3789.0	64.3	6619.0	25.9	14564.0	74.5	4955.0	44.0	7764.0
110	chr7	80203351	80212989	8	373.3	110	406.3	320.0	339.9	458.0	436.5	243.0	369.1	181.0	13.1	6046.0	30.7	10978.0	76.0	5207.0	41.6	7743.0	49.0	11665.0	21.4	22359.0
111	chr3	131154537	131163579	4	372.7	111	617.4	97.0	477.6	183.0	431.6	250.0	336.8	221.0	39.3	459.0	45.3	6543.0	67.7	6167.0	44.4	6891.0	39.3	16860.0	55.6	4943.0
114	chr17	84114616	84122152	18	371.0	114	436.4	265.0	397.3	315.0	438.4	241.0	79.7	6336.0	22.1	2424.0	89.4	2155.0	91.9	3872.0	77.8	2084.0	68.9	5971.0	77.9	2355.0
116	chr9	13296963	13303777	12	368.7	116	536.5	148.0	495.9	163.0	499.5	174.0	396.8	144.0			44.1	6830.0	60.1	7235.0	29.3	12802.0	96.1	2612.0	86.5	1818.0
118	chr12	86887223	86897115	15	366.5	118	357.9	428.0	152.4	2925.0	136.5	3881.0	276.1	389.0			35.8	9124.0	148.7	1587.0	66.9	3001.0	69.2	5919.0	51.9	5729.0
127	chr1	180332804	180339656	1	362.5	127	657.5	79.0	489.5	169.0	684.8	74.0	515.8	63.0	23.5	2011.0										
129	chr12	101012540	101019770	15	362.5	129	458.9	232.0	463.5	213.0	429.1	254.0	308.5	286.0	23.0	2173.0	29.4	11659.0	59.3	7359.0	23.2	16399.0	92.6	2861.0	44.3	7727.0
140	chr18	75382217	75392865	20	356.9	140	463.1	224.0	249.1	937.0	28.4	21140.0	238.6	564.0			20.4	17942.0	25.1	15573.0	28.7	13322.0	25.0	29775.0	19.1	25538.0
144	chr2	174611817	174617719	2	352.9	144	551.5	138.0	465.3	207.0	476.1	195.0	346.6	202.0	14.4	5233.0	16.6	21481.0					30.4	23768.0	8.53	47003.0
147	chr2	9870440	9877544	2	350.6	147	587.4	113.0	606.7	95.0	690.3	71.0	513.5	65.0	23.9	1915.0	47.9	6045.0					16.7	42005.0	11.5	39565.0
148	chr18	82476133	82482817	20	350.6	148	336.2	494.0	450.3	231.0	707.0	67.0	402.0	141.0					21.7	16646.0			15.6	44509.0	20.5	23672.0
149	chr10	96619535	96626981	9	350.1	149	519.0	161.0	534.7	136.0	486.6	185.0	428.6	120.0									30.9	23372.0	49.8	6175.0
150	chr10	22296499	22304449	9	349.5	150	612.4	102.0	547.0	125.0	517.4	161.0	26.0	19437.0	21.7	2501.0	102.8	1618.0	71.0	5772.0	25.9	14674.0	88.0	3262.0	33.9	12091.0
151	chr12	107970984	107979006	15	348.4	151	459.7	231.0	523.7	143.0	420.5	270.0	335.0	225.0			29.4	11661.0	20.9	16860.0	32.8	11253.0	30.4	23917.0	36.2	10944.0
166	chr11	46379838	46386302	13	334.2	166	675.8	71.0	996.3	13.0	619.9	95.0	332.7	235.0							29.3	12848.0	14.5	46550.0		
168	chr8	126659943	126667461	10	332.0	168	114.3	5351.0	131.8	3986.0	228.5	1193.0	179.6	1130.0	12.6	6315.0	37.7	8467.0	91.1	3902.0	23.9	15874.0	42.8	14760.0	30.4	14177.0
169	chr19	25051132	25059012	21	332.0	169	388.8	363.0	391.4	327.0	432.8	249.0	327.5	245.0	31.1	957.0	40.9	7688.0					37.1	18463.0	46.6	7041.0
170	chr8	72350073	72358447	10	331.4	170	910.3	30.0	429.3	264.0	385.9	344.0	78.0	6527.0	33.0	803.0	49.8	5731.0	65.2	6517.0	24.6	15444.0	38.2	17633.0	35.3	11390.0
174	chr14	75185249	75193099	11	327.5	174	206.9	1440.0	15.1	26250.0	1073.7	10.0	391.1	152.0			59.4	4451.0	80.2	4857.0	51.9	5170.0	78.6	4384.0	37.3	10408.0
176	chr12	102366262	102373476	15	325.2	176	541.5	142.0	433.4	254.0	424.2	259.0	314.8	271.0	19.9	3051.0	27.5	12711.0	37.6	11758.0	11.6	23938.0	48.7	11795.0	14.1	34395.0
178	chr5	112294056	112302858	6	322.9	178	191.9	1693.0	242.7	1002.0	342.7	461.0	222.4	680.0	11.3	7062.0	29.4	11532.0	32.6	13043.0	37.5	9165.0	66.7	6315.0	17.3	28217.0
183	chr1	53776519	53783913	1	320.1	183	942.8	19.0	948.9	19.0	862.6	32.0	584.6	40.0	53.3	228.0	19.8	17988.0	64.3	6577.0			15.3	44546.0	15.0	32217.0
185	chr1	134059007	134066481	1	319.5	185	552.3	137.0	453.0	229.0	454.4	219.0	324.1	250.0	29.3	1109.0	33.9	9669.0	45.1	9884.0	51.2	5205.0	44.9	13546.0	63.6	3717.0
188	chr5	124074722	124081504	6	317.3	188	666.6	77.0	508.2	152.0	381.6	353.0	316.5	269.0	13.1	6030.0	47.9	6076.0	51.8	8599.0	19.1	18842.0	53.0	10051.0	134.2	537.0
192	chr4	136173654	136181916	5	315.6	192	424.7	290.0	445.7	236.0	395.2	320.0	322.9	255.0	11.7	6781.0	88.1	2205.0	40.1	11013.0	60.7	3680.0	44.1	14023.0	31.4	13578.0
193	chr9	32505823	32512081	12	315.6	193	625.7	95.0	621.8	86.0	652.6	83.0	566.7	50.0	17.6	3830.0	86.2	2297.0	92.7	3768.0	65.5	3120.0	62.4	7303.0	34.4	11854.0
198	chr15	77813990	77823138	16	312.2	198	390.5	359.0	368.1	373.0	402.0	307.0	18.5	23412.0					20.0	17171.0			21.0	35155.0	29.3	15031.0
203	chr12	15807009	15815507	15	306.5	203	649.9	83.0	34.2	18617.0	490.3	181.0	339.7	219.0			18.5	19675.0					55.4	9264.0	29.7	14670.0
207	chr14	121369036	121377880	11	303.7	207	15.9	27050.0	239.5	1030.0	368.0	397.0	216.0	732.0			35.1	9395.0			16.4	20968.0	46.6	12846.0	49.8	6186.0
210	chr14	54189825	54198309	11	302.0	210	43.4	16586.0	488.1	173.0	3384.2	2.0	506.6	70.0							37.5	9298.0	21.3	34781.0		
232	chr4	62633817	62638873	5	293.0	232	399.6	339.0	391.0	328.0	416.8	277.0	332.7	233.0			31.9	10405.0	14.2	18863.0			35.3	19717.0	51.6	5754.0
234	chr6	108831829	108838843	7	292.4	234	385.5	370.0	525.1	142.0	343.9	457.0	300.4	303.0			52.4	5289.0	31.7	13284.0	25.9	14598.0	34.2	20579.0	24.9	18634.0
243	chr3	88508080	88514654	4	289.6	243	302.9	624.0	330.3	489.0	343.9	455.0	306.2	292.0	25.7	1585.0	25.5	13620.0	30.1	13753.0	68.9	2745.0	146.9	624.0	64.6	3618.0
245	chr15	86064035	86072451	16	289.6	245	668.3	74.0	318.9	520.0	369.2	394.0	287.1	348.0	30.2	1054.0	72.2	3209.0	86.0	4312.0	178.1	140.0	138.6	795.0	44.7	7596.0
246	chr15	101253087	101259357	16	289.6	246	17.5	26121.0	824.8	33.0	1043.5	11.0	887.8	8.0							10.2	24742.0	31.8	22696.0	12.2	38443.0
247	chr5	122944658	122951934	6	289.0	247	295.4	663.0	423.3	272.0	7.41	34638.0	304.4	296.0			11.5	28302.0	40.1	11029.0	13.6	22523.0	70.5	5639.0	24.9	18620.0
252	chr2	170217777	170224137	2	287.3	252	397.1	345.0	370.0	368.0	373.6	375.0	259.9	448.0			40.9	7553.0	14.2	18840.0	25.2	14897.0	64.0	6905.0	33.7	12168.0
253	chr8	14991732	14998656	10	287.3	253	404.6	327.0	386.9	337.0	364.9	405.0	291.1	329.0	13.1	6053.0	29.4	11573.0	38.4	11488.0	64.1	3276.0	42.0	15197.0	99.6	1229.0
256	chr6	114872227	114878075	7	286.2	256	309.5	596.0	303.4	587.0	284.0	720.0	211.4	786.0	27.5	1352.0	24.3	14518.0					68.1	6072.0	19.8	24376.0
257	chr14	40953717	40961091	11	286.2	257	282.0	728.0	304.7	575.0	331.0	495.0	318.9	263.0	19.0	3344.0	20.4	17816.0			17.7	20001.0	34.7	20234.0	8.99	46213.0
258	chr1	58718227	58724747	1	285.0	258	712.5	65.0	983.1	15.0	326.0	513.0	299.2	306.0	22.6	2203.0	95.2	1910.0	198.8	813.0	36.2	9656.0	78.6	4355.0	91.1	1582.0
261	chr11	46370448	46376070	13	282.8	261	283.7	720.0	996.3	13.0	391.5	330.0	72.2	7398.0	30.2	1038.0	30.7	11038.0	56.0	7902.0	45.0	6780.0	60.6	7788.0	13.8	34818.0
265	chr17	29392427	29399461	18	281.6	265	292.8	681.0	383.7	338.0	351.3	441.0	53.1	11090.0	9.03	8689.0	93.9	1968.0	196.3	844.0	26.6	14375.0	150.4	572.0	42.2	8452.0
270	chr11	32538397	32545387	13	281.1	270	731.7	60.0	661.0	73.0	305.6	616.0	502.0	74.0	22.6	2278.0	65.1	3803.0	105.3	3032.0	25.2	15097.0	86.9	3367.0	51.2	5878.0
272	chr4	135153874	135161156	5	280.5	272	281.2	732.0	321.6	513.0	327.9	506.0	279.0	376.0			14.7	23871.0	24.2	15648.0	56.0	4398.0	47.1	12542.0	19.8	24340.0
273	chr6	48701984	48706650	7	280.5	273	646.6	86.0	460.8	217.0	461.9	206.0	355.8	195.0									12.6	50631.0	6.69	51627.0
274	chr14	25515802	25524382	11	280.5	274	15.9	27040.0	59.8	12784.0	65.4	11963.0	75.1	6966.0			30.7	11073.0	21.7	16597.0	23.2	16424.0	75.6	4823.0	36.9	10619.0
276	chr8	119826758	119834620	10	279.9	276	259.5	877.0	290.6	657.0	743.4	60.0	593.8	36.0	12.6	6311.0	14.1	24922.0	49.3	9121.0	23.2	16293.0	25.6	29023.0	24.2	19344.0
279	chr2	122148859	122153499	2	278.8	279	460.5	228.0	415.1	284.0	414.9	282.0	329.3	237.0			95.2	1914.0								
282	chr4	129822123	129829565	5	278.3	282	236.9	1061.0	478.1	182.0	410.0	291.0	392.8	150.0			98.4	1770.0	252.3	425.0	30.0	12380.0			53.9	5267.0
285	chr3	95672250	95677240	4	276.6	285	460.5	229.0	339.4	460.0	381.0	354.0	298.6	311.0	31.1	930.0			44.3	10077.0	34.1	10507.0	50.3	11040.0	48.2	6557.0
287	chr15	97821078	97827650	16	276.6	287	9.18	32080.0	115.4	5290.0	607.0	99.0	507.2	69.0	12.6	6397.0	29.4	11706.0	452.8	59.0	39.6	8543.0	267.2	27.0	107.9	1011.0
292	chr2	32152284	32157062	2	273.7	292	427.2	284.0	381.4	342.0	442.1	234.0	285.4	354.0			90.7	2068.0	304.9	241.0	31.4	11674.0	89.6	3121.0	153.3	351.0
295	chr5	124010545	124018487	6	273.2	295	1485.9	4.0	1078.0	10.0	426.0	257.0	147.9	1727.0									16.1	43137.0	27.9	15979.0
304	chr6	114915513	114920751	7	270.9	304	522.3	158.0	461.2	216.0	516.8	162.0	396.8	143.0	22.1	2362.0					21.8	17120.0	33.9	20802.0	31.8	13306.0
305	chr7	100852159	100857815	8	270.9	305	292.8	676.0	293.8	636.0	314.3	583.0	9.24	31755.0	21.2	2612.0					27.3	13838.0				
308	chr5	122230588	122236636	6	270.3	308	390.5	358.0	331.2	486.0	360.0	415.0	239.1	558.0	17.2	3973.0	25.5	13666.0			48.4	5859.0	25.6	28954.0	15.2	31906.0
310	chr12	100990990	100996588	15	270.3	310	215.3	1316.0	267.3	793.0	298.2	650.0	302.1	301.0	12.2	6643.0	55.6	4907.0	110.3	2796.0	21.8	17265.0	116.5	1442.0	60.2	4221.0
317	chr2	126495642	126501334	2	267.5	317	400.5	336.0	333.9	477.0	322.9	535.0	240.9	548.0	16.7	4137.0			29.2	13993.0	49.8	5495.0	45.2	13415.0	25.6	17919.0
320	chr15	66808286	66813666	16	266.9	320	368.8	402.0	366.8	376.0	384.7	349.0	376.0	175.0					55.1	8066.0	13.6	22766.0	42.0	15263.0	30.7	14072.0
323	chr4	140943240	140949938	5	265.8	323	309.5	595.0	267.8	784.0	343.9	456.0	280.2	371.0	23.9	1930.0	44.1	6808.0	56.8	7703.0	57.3	4180.0	57.3	8649.0	39.0	9653.0
325	chr14	60708867	60713293	11	265.8	325	474.7	209.0	370.0	369.0	337.1	473.0	255.3	471.0			37.7	8535.0			74.4	2316.0	28.5	25781.0	31.8	13362.0
327	chr18	32396478	32400104	20	265.2	327	343.7	467.0	343.1	444.0	315.5	577.0	269.2	415.0	17.2	4100.0			151.2	1534.0	36.8	9631.0	24.5	30461.0	45.0	7517.0
331	chr12	33313783	33318415	15	263.0	331	420.5	298.0	371.3	364.0	388.4	335.0	290.6	335.0	16.3	4475.0	14.1	25104.0					53.8	9788.0	16.1	30386.0
333	chr5	31595648	31602916	6	261.8	333	11.7	30043.0	256.8	867.0	49.4	15252.0	233.9	592.0	19.4	3136.0	39.6	7913.0	57.6	7562.0	22.5	16622.0	59.2	8127.0	34.6	11699.0
337	chr11	79128462	79136180	13	260.2	337	15.0	27625.0	41.5	16701.0	34.0	19351.0	20.8	21970.0			83.0	2497.0	95.2	3615.0	28.0	13573.0	89.1	3178.0	72.6	2789.0
341	chr10	62500571	62505855	9	259.6	341	479.7	200.0	534.7	135.0	598.9	102.0	311.4	279.0			45.3	6595.0	142.0	1738.0	30.7	12161.0	31.8	22621.0	115.0	840.0
342	chr2	58152926	58158786	2	259.0	342	665.8	78.0	882.7	25.0	905.8	24.0	588.6	39.0	93.0	46.0	60.0	4299.0			43.7	7090.0	79.4	4256.0	23.1	20434.0
343	chr11	97804275	97812939	13	259.0	343	23.4	23116.0	163.8	2466.0	21.0	24067.0	147.9	1729.0	9.03	8617.0	12.1	27663.0					17.8	40370.0	6.22	52900.0
346	chr9	66914023	66918679	12	257.9	346	354.6	443.0	454.8	225.0	331.6	494.0	239.1	560.0	17.2	4013.0	70.3	3363.0	25.1	15463.0			36.6	18750.0	20.3	23835.0
347	chr10	12808978	12814556	9	257.3	347	350.4	450.0	335.8	470.0	336.5	474.0	276.7	384.0	40.2	442.0	21.7	16547.0					21.0	35051.0	19.4	25060.0
348	chr16	23982489	23987507	17	257.3	348	463.9	223.0	458.5	219.0	420.5	271.0	318.9	264.0							66.9	3010.0	54.1	9710.0	42.9	8212.0
352	chr15	81041629	81046959	16	256.8	352	332.1	508.0	315.2	537.0	319.2	551.0	222.4	683.0	22.1	2412.0					34.1	10687.0	40.9	15943.0	25.6	18086.0
356	chr2	6718174	6723462	2	255.6	356	493.9	188.0	463.9	211.0	415.5	279.0	276.1	387.0			36.4	8796.0	48.5	9219.0			18.8	38253.0	15.0	32243.0
361	chr1	125428345	125434197	1	254.5	361	396.3	347.0	392.8	326.0	363.1	408.0	306.2	290.0									27.2	27027.0	48.4	6489.0
363	chr11	95353688	95357186	13	253.9	363	483.9	198.0	375.0	355.0	375.4	374.0	278.4	379.0			58.8	4519.0	160.4	1343.0	47.1	6256.0	39.0	17126.0	68.7	3161.0
364	chr1	131089612	131096380	1	253.4	364	83.4	8791.0	22.4	22426.0	194.5	1713.0	154.8	1547.0			62.0	4101.0	49.3	9042.0	20.5	17846.0	75.1	4871.0	35.3	11342.0
367	chr14	54154206	54159628	11	253.4	367	2255.2	1.0	2161.0	2.0	3384.2	2.0	365.6	187.0												
376	chr6	30297868	30303126	7	251.1	376	328.7	516.0	364.5	382.0	346.4	450.0	273.2	398.0	19.9	2985.0	20.4	17537.0			73.7	2339.0	36.6	18704.0	18.0	27088.0
381	chr2	93423348	93430154	2	250.5	381	108.5	5893.0	299.3	601.0	123.5	4718.0	215.5	735.0			43.4	6926.0	83.5	4497.0	33.4	10771.0	55.4	9213.0	25.1	18338.0
382	chr9	44483307	44489061	12	250.5	382	377.1	384.0	353.1	415.0	301.9	632.0	244.9	520.0												
383	chr4	102571890	102576640	5	250.0	383	743.4	53.0	681.6	70.0	634.1	88.0	304.4	295.0			26.2	13286.0	41.8	10648.0	30.0	12375.0	37.7	17930.0		
385	chr11	43383202	43389852	13	249.4	385	201.1	1539.0	286.5	678.0	403.8	302.0	275.0	392.0	10.4	7712.0	19.2	18928.0	43.4	10360.0	26.6	14274.0	41.4	15578.0	50.0	6130.0
386	chr12	110494685	110500593	15	249.4	386	488.9	193.0	394.6	322.0	335.9	475.0	467.9	88.0	35.7	632.0	22.4	16126.0	28.4	14395.0	19.1	19016.0	23.4	31746.0	27.0	16860.0
392	chr15	73174006	73180236	16	248.8	392	32.5	19738.0	294.2	633.0	324.8	527.0	274.4	395.0	12.2	6671.0	62.0	4149.0					50.1	11215.0	36.9	10629.0
403	chr5	65867836	65873908	6	243.8	403	942.8	20.0	824.3	34.0	761.9	54.0	247.8	509.0					25.9	15124.0	33.4	10820.0	28.3	25932.0	34.1	11948.0
407	chr8	106051596	106057222	10	242.6	407	319.5	551.0	327.5	500.0	417.4	274.0	237.4	572.0	30.7	979.0			20.9	16781.0			70.8	5599.0	21.2	22631.0
409	chr3	52270158	52275380	4	241.5	409	386.3	368.0	350.8	422.0	315.5	574.0	251.3	486.0			121.4	1133.0	37.6	11636.0	66.9	2954.0	32.0	22308.0	62.0	3935.0
410	chr12	76371553	76377673	15	241.5	410	222.8	1214.0	335.3	472.0	348.9	444.0	227.0	644.0			209.5	251.0	96.9	3514.0			32.6	21974.0	72.2	2827.0
411	chr4	124752836	124758474	5	240.9	411	377.1	382.0	342.6	446.0	366.8	399.0	249.5	499.0			51.1	5483.0	16.7	18117.0			34.2	20555.0	26.3	17355.0
412	chr2	32492394	32498380	2	240.4	412	347.9	454.0	317.1	525.0	298.8	647.0	231.6	608.0	33.4	761.0	81.8	2532.0	63.5	6693.0	101.7	954.0	43.6	14272.0	38.0	10026.0
413	chr2	170124998	170130188	2	240.4	413	329.6	515.0	297.9	611.0	351.3	440.0	229.3	629.0			40.2	7716.0					15.9	43590.0		
414	chr1	138140726	138147556	1	239.8	414	90.9	7799.0	288.8	665.0	759.5	56.0	30.6	17521.0					24.2	15595.0	14.3	22004.0	50.3	11025.0	17.8	27344.0
415	chr9	7867168	7872118	12	239.8	415	304.5	618.0	165.6	2404.0	319.2	548.0	128.8	2345.0			42.8	7151.0							8.3	47794.0
416	chr9	32499047	32504963	12	239.2	416	625.7	95.0	621.8	86.0	652.6	83.0	566.7	50.0	22.1	2375.0	30.0	11295.0	63.5	6749.0	30.7	12139.0	51.1	10745.0	21.0	22913.0
417	chr18	56468482	56474636	20	238.7	417	409.7	315.0	337.1	466.0	325.4	521.0	212.6	777.0	42.9	384.0			84.4	4484.0	15.7	21500.0	34.2	20720.0	34.6	11793.0
422	chr17	7873488	7879154	18	238.1	422	196.9	1608.0	269.6	770.0	403.8	303.0	439.0	110.0	23.0	2188.0	17.9	20569.0	33.4	12933.0	20.5	18190.0	61.1	7668.0	47.7	6722.0
425	chr8	72320542	72326180	10	237.5	425	39.2	17610.0	306.6	565.0	21.0	24019.0	250.1	496.0					36.8	11925.0			12.9	50048.0		
427	chr11	4201555	4207839	13	237.0	427	101.0	6708.0	256.4	872.0	260.6	875.0	251.9	484.0			51.1	5533.0	26.7	14925.0	27.3	13897.0	68.1	6083.0	23.5	20070.0
428	chr19	5794896	5799694	21	237.0	428	629.1	93.0	648.3	77.0	658.8	82.0	456.9	93.0			45.3	6632.0			65.5	3151.0	25.0	29777.0		
431	chr1	180362600	180368070	1	235.3	431	210.3	1381.0	265.0	802.0	261.8	860.0	44.5	13080.0			58.1	4559.0	18.4	17521.0	57.3	4167.0	197.5	163.0	39.4	9439.0
433	chr2	103654301	103660657	2	234.7	433	53.4	14101.0	72.5	10483.0	192.6	1746.0	336.2	224.0			106.0	1503.0	40.9	10809.0	30.0	12333.0	174.4	306.0	100.7	1194.0
435	chr14	25470643	25478225	11	234.7	435	196.9	1607.0	207.1	1453.0	217.3	1356.0	208.0	822.0			23.0	15664.0	84.4	4470.0	97.6	1109.0	67.3	6236.0	19.8	24519.0
