id	chr_name	start	end	chromosome_id	tag_count_10um_pcc	id_10um_pcc	tag_count_no_peptide	id_no_peptide	tag_count_10um_k99a	id_10um_k99a	tag_count_100um_k99a	id_100um_k99a	tag_count_0_1um_pcc	id_0_1um_pcc	ets_tag_count	ets_id	batf_tag_count	batf_id	junb_tag_count	junb_id	cjun_tag_count	cjun_id	jund_tag_count	jund_id	irf4_tag_count	irf4_id
42	chr1	36759790	36770322	1	582.8	42	494.8	187.0	552.5	118.0	443.4	65.0	610.7	98.0	39.7	446.0	33.9	9661.0	27.6	14475.0	38.2	8831.0	52.2	10306.0	28.4	15585.0
43	chr15	77830937	77841665	16	577.1	43	788.4	48.0	696.2	66.0	534.4	39.0	757.0	57.0	28.4	1268.0	70.9	3324.0	86.9	4246.0	19.8	18613.0	120.8	1284.0	43.3	8051.0
44	chr7	28373526	28386448	8	575.9	44	753.4	50.0	731.3	56.0	411.7	80.0	708.2	66.0	46.0	321.0	39.0	8097.0	471.1	46.0	174.7	148.0	255.9	36.0	85.8	1849.0
45	chr9	44976725	44986331	12	575.9	45	932.8	23.0	819.3	35.0	588.7	28.0	807.6	41.0	17.2	4009.0	24.9	14163.0	79.4	4911.0	28.0	13520.0			22.6	20990.0
46	chr5	139376614	139389444	6	574.2	46	740.0	55.0	729.0	57.0	553.1	35.0	734.8	61.0	38.4	494.0	146.9	699.0	117.0	2528.0	123.5	518.0	125.4	1139.0	117.8	780.0
47	chr19	4296341	4305807	21	571.9	47	1034.6	14.0	832.6	32.0	586.5	29.0	895.9	27.0	26.2	1573.0	140.5	774.0	127.0	2173.0	58.0	4150.0	89.3	3170.0	178.2	229.0
48	chr2	173018469	173029199	2	571.3	48	841.0	38.0	762.3	47.0	446.2	62.0	821.2	38.0	18.1	3569.0	21.1	16892.0	33.4	12783.0	51.2	5218.0	42.5	14846.0	37.3	10324.0
51	chr2	32535712	32543920	2	566.1	51	923.6	26.0	751.8	49.0	575.2	31.0	807.0	42.0	24.8	1726.0	43.4	6921.0					54.6	9467.0	24.0	19472.0
52	chr5	113823601	113833947	6	561.5	52	909.4	31.0	848.1	29.0	375.5	107.0	826.1	36.0	20.8	2730.0	65.1	3789.0	64.3	6619.0	45.0	6731.0	74.5	4955.0	44.0	7764.0
54	chr14	121954442	121966640	11	556.3	54	402.1	333.0	898.7	23.0	493.2	47.0	557.6	130.0			104.7	1558.0	193.8	869.0	50.5	5455.0	97.2	2539.0	80.2	2176.0
55	chr2	3713697	3724227	2	549.3	55	460.5	227.0	672.9	72.0	516.3	44.0	669.9	77.0	19.4	3103.0	32.6	10117.0	62.7	6815.0	33.4	10757.0	44.7	13711.0	27.0	16731.0
56	chr1	165700575	165711049	1	545.3	56	656.6	80.0	742.2	51.0	541.2	37.0	722.4	64.0	17.2	3935.0	38.3	8212.0	66.8	6252.0			61.4	7550.0	44.7	7525.0
57	chr6	125229936	125239754	7	540.7	57	826.0	40.0	702.1	62.0	558.8	34.0	730.4	62.0	18.5	3420.0					60.7	3694.0	33.4	21258.0	18.7	25969.0
58	chr7	125600936	125610208	8	533.7	58	713.4	64.0	651.4	75.0	521.4	42.0	726.7	63.0			83.0	2486.0	187.1	944.0	48.4	5883.0	134.6	891.0	117.1	794.0
59	chr3	89382189	89393303	4	533.2	59	1088.8	10.0	797.4	39.0	520.9	43.0	715.6	65.0					91.1	3884.0	22.5	16592.0	24.0	30861.0	32.3	13026.0
60	chr2	31129497	31141635	2	532.0	60	279.5	740.0	521.9	144.0	295.8	227.0	544.0	138.0			14.1	24573.0	11.7	19516.0	28.0	13365.0	23.1	31890.0	16.8	28932.0
62	chr3	95659621	95669991	4	523.9	62	675.8	70.0	704.4	60.0	480.7	50.0	689.1	72.0			139.9	778.0			68.9	2747.0	92.8	2825.0	29.3	14916.0
64	chr9	107297680	107309732	12	515.3	64	279.5	744.0	632.3	81.0	486.4	48.0	747.7	58.0			67.1	3625.0	234.7	535.0	55.3	4534.0	125.7	1132.0	78.4	2308.0
65	chr2	9869611	9880215	2	513.5	65	587.4	113.0	606.7	95.0	350.6	147.0	690.3	71.0	23.9	1915.0	47.9	6045.0			39.6	8361.0	61.1	7623.0	21.9	21715.0
66	chr16	45997639	46011987	17	512.4	66	304.5	620.0	387.8	332.0	330.8	171.0	411.8	290.0	17.6	3888.0	21.1	17267.0	20.9	16900.0	71.0	2615.0	35.3	19856.0	24.7	18978.0
67	chr11	6515903	6527819	13	511.8	67	255.3	904.0	372.7	362.0	363.1	125.0	639.7	87.0	14.4	5343.0	56.2	4827.0	23.4	16014.0	17.1	20392.0	36.1	19185.0	41.0	8848.0
68	chr11	70645638	70653914	13	511.2	68	639.1	88.0	609.5	92.0	373.8	109.0	550.1	133.0			54.3	5043.0	80.2	4841.0			173.6	315.0	43.1	8109.0
69	chr15	97820818	97831144	16	507.2	69	168.5	2275.0	195.3	1668.0	276.6	287.0	607.0	99.0	12.6	6397.0	40.2	7838.0	452.8	59.0	40.9	8060.0	267.2	27.0	107.9	1011.0
71	chr11	34045480	34055630	13	506.0	71	473.1	212.0	549.3	122.0	356.9	138.0	612.5	96.0	17.2	4039.0	39.0	8135.0			52.5	5028.0	50.9	10865.0	33.9	12098.0
73	chr9	57637009	57645099	12	503.1	73	688.3	69.0	618.6	88.0	501.1	46.0	664.4	79.0	24.8	1770.0					36.2	9785.0	49.0	11677.0	48.2	6582.0
74	chr11	32533309	32544809	13	502.0	74	731.7	60.0	661.0	73.0	281.1	270.0	380.3	356.0	22.6	2278.0	23.6	15119.0	105.3	3032.0	107.8	805.0	86.9	3367.0	51.2	5878.0
75	chr3	96555360	96565426	4	495.6	75	509.8	173.0	432.9	255.0	247.7	395.0	574.2	118.0	84.0	63.0	28.7	11829.0			1049.5	1.0	138.1	798.0	59.5	4313.0
76	chr17	35196259	35206147	18	492.7	76	311.2	588.0	738.1	52.0	451.9	59.0	624.9	93.0	28.0	1329.0			103.6	3131.0	86.7	1554.0	142.4	730.0	101.7	1180.0
77	chr11	86575972	86586244	13	491.6	77	418.8	301.0	759.1	48.0	413.4	79.0	624.9	92.0	23.0	2163.0	168.0	469.0	310.8	225.0	82.6	1776.0	110.6	1681.0	111.6	912.0
78	chr4	156025579	156033987	5	487.0	78	206.1	1447.0	533.3	137.0	481.8	49.0	580.4	111.0			49.8	5713.0	55.1	7986.0	81.2	1844.0	71.6	5452.0	57.9	4561.0
79	chr4	149699286	149707240	5	486.4	79	911.1	29.0	896.4	24.0	436.6	68.0	874.3	30.0									43.3	14433.0	17.5	27824.0
80	chr7	4651027	4658265	8	482.3	80	572.3	125.0	553.4	117.0	442.8	67.0	557.6	128.0	19.9	2993.0	44.7	6673.0	142.8	1697.0			44.4	13890.0	17.1	28663.0
82	chr13	63238945	63251471	14	478.9	82	211.9	1366.0	264.6	808.0	163.4	1055.0	326.0	516.0	9.03	8642.0	95.2	1928.0	81.9	4700.0	21.8	17276.0	182.7	252.0	66.2	3460.0
83	chr4	133623635	133633203	5	476.6	83	802.6	46.0	775.1	45.0	416.8	75.0	785.4	48.0	21.2	2592.0	37.0	8624.0			28.0	13413.0	34.2	20558.0	80.9	2129.0
84	chr3	106482522	106490254	4	476.0	84	649.1	84.0	630.0	82.0	415.7	77.0	574.8	117.0	33.0	794.0	42.2	7250.0			60.0	3775.0	64.9	6721.0	43.3	8001.0
86	chr7	45119521	45128455	8	473.7	86	216.9	1290.0	421.5	275.0	429.8	72.0	575.5	116.0	39.3	462.0					58.7	3996.0	55.4	9238.0	47.7	6692.0
90	chr7	19815365	19825081	8	463.8	90	732.5	58.0	707.6	59.0	450.7	60.0	687.2	73.0	13.5	5786.0	47.3	6201.0	40.1	11050.0	75.7	2183.0	146.4	643.0	84.1	1932.0
92	chr10	60346691	60353769	9	460.4	92	571.5	126.0	544.7	126.0	386.8	94.0	602.6	101.0							70.3	2655.0	58.9	8235.0	44.3	7712.0
93	chr19	5795593	5807281	21	456.9	93	629.1	93.0	648.3	77.0	237.0	428.0	658.8	82.0	234.3	8.0	65.8	3766.0	295.7	263.0	50.5	5474.0	118.9	1358.0	231.0	68.0
94	chr8	70803109	70813519	10	456.3	94	231.1	1119.0	466.2	204.0	343.3	156.0	557.6	129.0	7.22	9621.0	41.5	7429.0	51.8	8620.0	34.8	10305.0	77.2	4561.0	87.8	1725.0
95	chr7	143003807	143010127	8	454.0	95	574.9	124.0	583.5	103.0	395.9	88.0	573.6	119.0	23.0	2138.0	23.0	15491.0			55.3	4526.0	43.9	14180.0	46.1	7147.0
96	chr17	6773636	6783122	18	452.3	96	453.9	237.0	472.6	192.0	345.6	154.0	652.6	84.0	23.9	1986.0	21.7	16745.0	82.7	4626.0	100.3	1016.0	153.1	538.0	92.4	1523.0
97	chr17	34199234	34207658	18	450.0	97	575.7	123.0	857.6	28.0	196.2	692.0	1212.1	6.0			26.2	13527.0	155.4	1450.0	60.0	3839.0	61.6	7537.0	81.8	2085.0
98	chr19	11515609	11524685	21	449.4	98	372.1	395.0	682.9	68.0	359.7	136.0	603.9	100.0			30.7	11125.0					25.0	29780.0		
99	chr1	171766176	171775758	1	448.3	99	158.5	2619.0	228.6	1136.0	296.3	225.0	393.3	324.0	15.3	4740.0	75.4	2946.0	50.1	8885.0	31.4	11668.0	54.9	9370.0	39.0	9635.0
100	chr4	129566947	129577257	5	448.3	100	559.0	132.0	500.9	158.0	382.3	97.0	571.8	120.0	26.6	1458.0	28.7	11847.0	58.5	7426.0	20.5	17930.0	82.1	3906.0	43.3	8006.0
101	chr5	123125186	123133016	6	448.3	101	400.5	337.0	467.6	201.0	365.9	119.0	487.8	182.0	22.6	2240.0	68.3	3514.0	33.4	12812.0	60.7	3685.0	65.9	6495.0	42.0	8493.0
102	chr19	4184061	4192143	21	447.1	102	700.0	67.0	650.5	76.0	416.2	76.0	553.9	131.0	27.5	1378.0	36.4	8979.0	30.9	13697.0	85.3	1614.0	49.5	11508.0	33.7	12277.0
103	chr4	155213071	155221831	5	446.5	103	587.4	114.0	579.4	104.0	462.6	54.0	588.4	107.0			20.4	17501.0	44.3	10094.0	17.7	19759.0	51.9	10423.0	21.2	22577.0
104	chr19	5723944	5732100	21	445.4	104	438.0	260.0	422.4	274.0	362.0	131.0	405.7	299.0			29.4	11746.0	34.3	12743.0	58.0	4151.0	75.1	4909.0	60.4	4198.0
105	chr5	65860143	65867567	6	444.2	105	942.8	20.0	824.3	34.0	291.3	239.0	761.9	54.0	35.7	610.0	39.0	8072.0			23.9	15778.0	56.5	8893.0	80.9	2131.0
106	chr11	103260715	103267589	13	443.1	106	614.9	100.0	555.6	116.0	401.0	85.0	576.7	115.0	14.9	5105.0	92.6	2008.0	135.3	1918.0	53.2	4905.0	116.5	1441.0	70.8	2943.0
109	chr7	24899827	24908597	8	439.0	109	439.7	256.0	542.0	128.0	375.5	108.0	496.4	175.0	33.9	743.0	31.3	10706.0	118.6	2450.0	82.6	1763.0	66.7	6319.0	94.3	1426.0
111	chr11	117985774	117996274	13	437.9	111	158.5	2642.0	156.0	2766.0	121.6	2027.0	305.0	619.0	17.2	4053.0	58.8	4521.0	46.8	9653.0	36.2	9830.0	85.3	3538.0	45.4	7366.0
112	chr11	69411090	69419860	13	436.1	112	437.2	261.0	836.7	31.0	411.7	81.0	878.6	28.0			34.5	9575.0	127.0	2162.0	82.6	1775.0	92.8	2835.0	98.4	1275.0
113	chr8	35588649	35598767	10	435.5	113	230.3	1123.0	270.1	763.0	187.2	764.0	451.4	223.0	14.0	5546.0	27.5	12609.0			8.87	25290.0	40.6	16027.0	17.1	28690.0
114	chr10	93162214	93172470	9	435.5	114	383.0	373.0	431.6	260.0	226.2	487.0	373.6	378.0	21.7	2506.0	41.5	7457.0	30.1	13838.0	24.6	15503.0	87.7	3295.0	85.3	1876.0
115	chr12	108633941	108642227	15	433.8	115	616.6	99.0	473.5	190.0	321.8	182.0	569.9	122.0	24.8	1788.0	54.9	4981.0	223.0	602.0	21.8	17268.0	45.5	13366.0	38.7	9777.0
116	chr5	103754924	103764232	6	432.7	116	257.0	887.0	224.9	1179.0	214.3	563.0	272.9	785.0			15.3	23068.0			17.7	19771.0	17.8	40204.0	34.6	11701.0
117	chr11	60774700	60783104	13	432.1	117	455.5	235.0	224.0	1193.0	363.1	126.0	479.8	191.0	22.6	2282.0	37.0	8703.0			35.5	10087.0	48.4	11927.0		
118	chr12	64966038	64970076	15	432.1	118	589.9	111.0	505.9	154.0	376.7	104.0	538.4	144.0							16.4	20904.0	19.1	38084.0	15.2	32068.0
119	chr14	79514825	79523381	11	432.1	119	670.8	72.0	635.0	80.0	431.5	71.0	582.3	109.0	25.7	1640.0	53.0	5244.0			30.0	12567.0	25.3	29425.0	26.3	17490.0
122	chr6	120463585	120473761	7	428.0	122	380.5	376.0	572.5	109.0	264.1	328.0	525.5	157.0	29.8	1076.0	76.6	2883.0	149.5	1562.0	186.3	120.0	82.9	3819.0	119.0	756.0
123	chr1	135128508	135136666	1	426.9	123	512.3	171.0	469.4	199.0	378.4	102.0	504.5	170.0	13.5	5693.0	23.0	15325.0	39.3	11192.0	50.5	5325.0	75.4	4834.0	65.9	3470.0
124	chr7	30417867	30425487	8	426.3	124	540.6	144.0	593.1	101.0	457.5	56.0	651.4	85.0	33.4	774.0	33.9	9749.0	49.3	9107.0	25.2	15002.0	61.6	7490.0	94.3	1427.0
125	chr15	74953556	74961266	16	425.7	125	628.2	94.0	552.5	119.0	423.6	74.0	548.9	134.0							36.2	9866.0	44.9	13669.0	37.6	10282.0
126	chr3	9826019	9834611	4	424.0	126	594.9	108.0	606.3	96.0	427.6	73.0	545.2	137.0	15.8	4568.0	37.7	8403.0			9.55	24854.0	24.8	29850.0	20.7	23098.0
127	chr7	68274771	68282931	8	424.0	127	1160.6	8.0	1158.3	7.0	457.0	57.0	629.2	90.0	23.0	2135.0	47.3	6205.0	20.9	16761.0	44.4	6943.0	44.9	13602.0	62.9	3826.0
128	chr6	87529762	87536818	7	421.7	128	407.2	318.0	539.2	132.0	289.0	249.0	540.3	142.0			42.2	7278.0	26.7	14850.0	25.2	14983.0	54.4	9570.0	20.7	23173.0
129	chr7	102243024	102249424	8	421.7	129	476.4	205.0	531.5	138.0	379.5	101.0	537.8	145.0			21.1	17030.0			24.6	15429.0				
130	chr11	69093794	69100506	13	421.7	130	486.4	195.0	511.4	149.0	362.5	128.0	535.3	147.0	43.3	370.0	24.9	14224.0	71.0	5782.0	38.2	8985.0	74.3	5011.0	27.4	16426.0
131	chr9	44038329	44049431	12	419.9	131	313.7	577.0	282.8	697.0	197.4	677.0	455.7	217.0			82.4	2516.0	98.6	3394.0			76.7	4639.0	47.3	6816.0
132	chr1	88276261	88278373	1	418.8	132	432.2	272.0	469.9	196.0	236.4	429.0	382.2	352.0	68.2	111.0	58.1	4549.0	48.5	9211.0	199.9	100.0	184.9	234.0	286.8	25.0
133	chr2	32076837	32083461	2	418.2	133	599.0	105.0	549.7	121.0	406.1	83.0	576.7	114.0			39.0	8050.0	113.6	2636.0			33.4	21205.0		
134	chr7	142460095	142467217	8	417.6	134	516.4	164.0	436.6	246.0	360.3	134.0	531.6	152.0			45.3	6573.0	51.8	8616.0	40.9	7957.0	64.3	6858.0	128.2	626.0
135	chr2	11167932	11176876	2	412.4	135	847.7	37.0	629.1	83.0	259.6	338.0	560.0	127.0	24.4	1818.0	97.7	1799.0			74.4	2275.0	37.1	18280.0	50.5	5988.0
136	chr11	115152928	115163176	13	412.4	136	451.4	241.0	299.7	600.0	292.4	235.0	347.0	449.0	21.7	2517.0			21.7	16569.0	73.7	2352.0	41.7	15421.0	27.9	16061.0
137	chr5	124025745	124034639	6	410.7	137	1485.9	4.0	1078.0	10.0	561.6	32.0	866.3	31.0	23.5	2034.0	67.7	3563.0					143.2	704.0	32.3	13045.0
138	chr6	125348168	125356362	7	410.7	138	567.3	128.0	510.5	150.0	415.1	78.0	539.7	143.0	9.93	7931.0	25.5	13689.0			38.2	8913.0	47.6	12280.0	32.3	13055.0
139	chr4	125122804	125129232	5	409.0	139	514.8	167.0	536.9	134.0	361.4	132.0	543.4	140.0	49.2	272.0	23.0	15403.0	25.1	15382.0	64.8	3176.0	75.1	4883.0	26.1	17586.0
141	chr18	82476078	82483610	20	402.0	141	336.2	494.0	450.3	231.0	350.6	148.0	707.0	67.0					98.6	3421.0			22.3	33284.0	20.5	23672.0
142	chr2	24383565	24392317	2	397.4	142	525.6	155.0	496.8	162.0	314.4	195.0	439.0	238.0	34.3	700.0	24.3	14413.0	32.6	12978.0	30.0	12319.0	88.5	3201.0	46.1	7119.0
143	chr6	114915417	114922511	7	396.8	143	522.3	158.0	461.2	216.0	270.9	304.0	516.8	162.0	33.9	740.0	86.9	2268.0	342.5	161.0	21.8	17120.0	158.8	460.0	92.0	1542.0
145	chr2	152822662	152830988	2	396.3	145	139.3	3507.0	439.8	242.0	375.5	106.0	406.3	296.0	9.48	8176.0	46.6	6308.0	73.5	5457.0	34.8	10224.0	48.7	11737.0	30.7	13963.0
146	chr11	6557510	6564580	13	396.3	146	668.3	73.0	599.9	99.0	354.6	141.0	629.2	91.0	31.1	945.0							49.2	11583.0	19.6	24769.0
147	chr11	95831844	95842334	13	395.7	147	282.0	727.0	277.8	719.0	153.8	1183.0	347.6	445.0	12.2	6625.0	18.5	19664.0	15.9	18472.0	47.1	6257.0	82.6	3858.0	42.9	8194.0
148	chr6	48735538	48742444	7	394.0	148	592.4	109.0	561.1	114.0	351.8	145.0	509.4	167.0	36.1	585.0			18.4	17621.0	16.4	20727.0	33.9	20799.0	24.0	19533.0
149	chr11	100817473	100825401	13	394.0	149	495.6	185.0	490.0	168.0	359.1	137.0	506.9	168.0	43.3	372.0	26.8	13075.0	54.3	8189.0			63.5	7065.0	41.3	8765.0
150	chr4	129820581	129831119	5	392.8	150	236.9	1061.0	478.1	182.0	278.3	282.0	410.0	291.0	19.4	3131.0	98.4	1770.0	252.3	425.0	30.0	12380.0	37.7	17932.0	53.9	5267.0
151	chr15	80571790	80579734	16	392.2	151	752.6	51.0	626.8	85.0	559.9	33.0	766.3	52.0	65.0	141.0	42.8	7214.0	17.5	18009.0	53.2	4930.0	59.5	8085.0	33.4	12405.0
154	chr13	101693163	101703021	14	390.5	154	357.9	430.0	436.6	247.0	187.8	759.0	233.4	1136.0	19.4	3203.0	29.4	11680.0	16.7	18261.0	21.8	17280.0	39.0	17154.0	50.5	6025.0
157	chr4	145239142	145246734	5	388.2	157	261.1	862.0	294.7	630.0	302.6	209.0	315.5	575.0	25.3	1668.0	43.4	6952.0			8.19	25523.0	59.5	8042.0	13.8	34663.0
158	chr11	49244585	49252425	13	385.9	158	302.9	625.0	322.5	511.0	282.8	262.0	354.4	432.0	19.4	3181.0			25.1	15496.0	47.8	6080.0	72.4	5341.0	30.7	14032.0
159	chr11	100840559	100850083	13	384.1	159	327.1	523.0	502.7	157.0	346.1	153.0	500.8	173.0			77.9	2824.0	166.2	1251.0	92.8	1279.0	37.9	17843.0	62.7	3863.0
160	chr2	117336453	117344333	2	383.6	160	582.4	117.0	487.7	174.0	335.9	164.0	592.1	105.0			34.5	9464.0	76.9	5113.0	40.9	7878.0	53.0	10023.0	39.9	9273.0
162	chr19	5870671	5878883	21	383.6	162	485.6	197.0	414.7	286.0	246.6	399.0	395.2	322.0			205.7	264.0	209.7	708.0	165.8	177.0	378.9	1.0	370.7	7.0
163	chr15	76192859	76200971	16	381.8	163	495.6	186.0	503.6	155.0	316.1	191.0	494.0	177.0			71.5	3269.0	193.0	881.0	60.0	3828.0	153.7	529.0	59.9	4273.0
164	chr6	121241549	121248809	7	380.7	164	538.1	146.0	515.0	146.0	383.4	96.0	532.2	151.0	21.7	2479.0	8.3	32923.0			15.0	21691.0	22.9	32355.0	30.2	14320.0
165	chr12	25091919	25100837	15	380.7	165	580.7	121.0	486.8	175.0	183.8	809.0	479.8	192.0	30.2	1045.0	28.7	11983.0	63.5	6764.0	159.0	213.0	81.5	4002.0	57.6	4617.0
167	chr17	31205152	31212810	18	378.9	167	584.9	116.0	494.1	164.0	289.0	250.0	466.8	203.0	16.7	4277.0	33.2	10073.0	132.8	1994.0	23.9	16039.0	116.3	1451.0	126.3	653.0
170	chr17	51804428	51812866	18	377.8	170	398.0	343.0	468.5	200.0	217.7	543.0	449.5	225.0			60.7	4279.0	44.3	10224.0	38.9	8817.0				
171	chr1	165787345	165793929	1	376.6	171	590.7	110.0	566.6	110.0	394.2	89.0	673.6	75.0	23.9	1910.0	79.8	2646.0	89.4	3993.0	62.8	3395.0	195.1	179.0	35.5	11214.0
172	chr4	149689014	149697948	5	376.6	172	911.1	29.0	896.4	24.0	237.5	424.0	874.3	30.0	26.2	1529.0	35.8	9037.0	69.3	5942.0	11.6	23769.0	62.4	7292.0	21.2	22575.0
173	chr11	87732055	87740629	13	376.6	173	410.5	313.0	233.1	1086.0	300.9	214.0	423.0	263.0							83.2	1736.0	59.2	8157.0	36.7	10710.0
174	chr15	74992069	75000701	16	376.6	174	465.6	221.0	618.1	89.0	317.3	189.0	661.3	81.0	10.8	7501.0	71.5	3268.0	61.8	7017.0	22.5	16877.0	52.5	10284.0	26.5	17280.0
