id	id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h	gene_name
NM_145569	NM_145569	chr6	72432799	72439558	-	2793.0	1	Mat2a|D630045P18Rik|-|6 C1|6|protein-coding	93.67399999999999	81.322	71.035	107.34299999999999	43.961999999999996	Mat2a
NM_001195486	NM_001195486	chr17	80200080	80207305	-	2245.0	1	Srsf7|35kDa|9430065L19Rik|9G8|NX-96|Sfrs7|-|17 E3|17|protein-coding	135.766	116.161	87.756	129.747	51.56100000000001	Srsf7
NM_026115	NM_026115	chr2	71389260	71441622	+	1563.0	1	Hat1|2410071B14Rik|AA536933|Hat-1|KAT1|-|2 C2|2|protein-coding	67.35300000000001	57.138000000000005	39.486	76.352	17.564	Hat1
NM_008620	NM_008620	chr5	105115767	105139552	-	4462.0	1	Gbp4|AW228052|Mag-2|Mpa-2|Mpa2|mKIAA4245|-|5 E5|5 50.68 cM|protein-coding	25.828000000000003	15.135	14.794	31.993000000000002	16.592	Gbp4
NM_013678	NM_013678	chr2	26916421	26920170	+	1128.0	1	Surf2|Surf-2|RP23-414L19.6|2 A3|2 19.1 cM|protein-coding	69.921	50.742	36.548	64.061	18.15	Surf2
NM_001164560	NM_001164560	chr8	84689247	84699808	+	2064.0	1	Trmt1|6720406L13Rik|6720477L24|D8Ertd812e|-|8 C3|8 41.02 cM|protein-coding	64.303	45.964	37.055	62.458	20.64	Trmt1
NM_133769	NM_133769	chr11	46193849	46312358	-	6335.0	1	Cyfip2|1500004I01Rik|6430511D02Rik|AA930218|AU022376|Pir121|mKIAA1168|RP23-370F7.1|11|11 B1.2|protein-coding	31.892	28.861	32.111999999999995	37.898	59.803000000000004	Cyfip2
NM_026041	NM_026041	chr1	186721087	186749358	-	1205.0	1	Rrp15|2810430M08Rik|5430437H21Rik|-|1 H5|1|protein-coding	62.775	49.626999999999995	32.176	66.773	10.769	Rrp15
NM_029658	NM_029658	chr11	76019195	76027782	-	3506.0	1	Fam101b|1500005K14Rik|RefilinB|cfm|RP23-96I9.3|11|11 B4|protein-coding	4.255	4.9510000000000005	14.01	2.01	72.889	Fam101b
NM_012055	NM_012055	chr6	7675171	7693182	-	1913.0	1	Asns|-|-|6 A1|6|protein-coding	41.952	41.282	20.054000000000002	55.074	14.513	Asns
NM_007502	NM_007502	chr9	96332675	96364299	-	1822.0	1	Atp1b3|AA409958|AI664000|AW212096|-|9 E3.3|9 50.31 cM|protein-coding	114.59100000000001	117.90700000000001	166.06599999999997	113.824	276.005	Atp1b3
NM_001039824	NM_001039824	chr9	21067520	21073514	-	775.0	1	Fdx1l|B230118G17Rik|-|9 A3|9|protein-coding	61.321000000000005	45.605	33.986	58.508	24.215	Fdx1l
NM_009656	NM_009656	chr5	121567687	121593824	-	2192.0	1	Aldh2|Ahd-5|Ahd5|-|5|5 F-G1|protein-coding	20.113	36.513000000000005	55.303000000000004	16.746	171.608	Aldh2
NM_008798	NM_008798	chr1	94038305	94052553	-	1923.0	1	Pdcd1|Ly101|PD-1|Pdc1|-|1 D|1|protein-coding	27.808000000000003	23.836	23.183000000000003	28.258000000000003	53.77	Pdcd1
NM_028341	NM_028341	chr18	12643533	12737052	+	2369.0	1	Ttc39c|1700008N02Rik|2810439F02Rik|-|18|18 A2|protein-coding	17.0	5.145	3.574	20.559	6.0889999999999995	Ttc39c
NM_026845	NM_026845	chr17	29250835	29263971	-	1209.0	1	Ppil1|1110060O10Rik|AI327391|Cypl1|-|17 A3.3|17|protein-coding	58.338	48.158	34.133	61.442	27.496	Ppil1
NM_026432	NM_026432	chr8	34154563	34170847	+	1891.0	1	Saraf|1810045K07Rik|Tmem66|-|8 A4|8|protein-coding	84.104	91.931	112.01299999999999	75.298	215.136	Saraf
NM_023525	NM_023525	chr5	31054780	31078479	+	7091.0	1	Cad|2410008J01Rik|AU018859|Cpad|-|5 B1|5|protein-coding	45.412	30.78	18.613	44.955	7.706	Cad
NM_198102	NM_198102	chr6	49243921	49264052	-	1818.0	1	Tra2a|1500010G04Rik|AL022798|G430041M01Rik|mAWMS1|-|6 B2.3|6|protein-coding	80.104	62.121	59.593999999999994	91.081	31.964000000000002	Tra2a
NM_029219	NM_029219	chr4	129058271	129084526	+	2521.0	1	Rnf19b|4930534K13Rik|4930555L03Rik|Ibrdc3|RP23-284L6.1|4|4 D2.3|protein-coding	92.925	86.62299999999999	66.808	105.811	48.376999999999995	Rnf19b
NM_133953	NM_133953	chr8	110810492	110846803	-	4271.0	1	Sf3b3|1810061H24Rik|5730409A01Rik|AA409318|D8Ertd633e|RSE1|SAP130|mKIAA0017|-|8 E1|8 57.73 cM|protein-coding	131.974	102.971	82.459	118.46600000000001	43.275	Sf3b3
NM_153806	NM_153806	chr3	122274414	122285271	+	2394.0	1	Dnttip2|4930588M11Rik|AA408582|AU014960|HSU15552|-|3 G1|3|protein-coding	82.835	65.90899999999999	48.621	82.131	26.066	Dnttip2
NM_008510	NM_008510	chr1	164931648	164935510	-	497.0	1	Xcl1|AI661682|ATAC|LTN|Lptn|SCM-1|SCM-1a|Scyc1|-|1 H2.2|1 72.26 cM|protein-coding	14.925	5.952999999999999	1.81	24.063000000000002	1.04	Xcl1
NM_177613	NM_177613	chr10	79682195	79688398	+	1259.0	1	Cdc34|AI327276|UBE2R1|-|10 C1|10 39.72 cM|protein-coding	125.624	107.436	72.93	116.16799999999999	41.516000000000005	Cdc34
NM_010120	NM_010120	chr18	46597704	46610225	+	2874.0	1	Eif1a|C76390|Ef1a|Eftu|Eif4c|eIF-1A|eIF-4C|-|18 C|18|protein-coding	71.028	53.24	36.146	66.71600000000001	17.917	Eif1a
NM_001033305	NM_001033305	chr4	40270663	40279368	-	528.0	1	Ndufb6|Gm137|RP23-9F23.5|4 A5|4|protein-coding	98.34100000000001	86.962	59.876999999999995	96.074	44.45399999999999	Ndufb6
NM_018776	NM_018776	chr11	80046493	80080991	-	2386.0	1	Crlf3|BB164954|Creme9|Cytor4|RP23-253E9.5|11 B5|11 47.43 cM|protein-coding	37.464	41.596000000000004	61.897	40.446	136.789	Crlf3
NM_026932	NM_026932	chr4	118620799	118627776	+	2949.0	1	Ebna1bp2|1810014B19Rik|AA537058|B830003A16Rik|C81321|Ebp2|Nobp|p40|RP23-154A15.1|4 D2.1|4|protein-coding	96.15100000000001	79.268	49.04	91.99799999999999	17.759	Ebna1bp2
NM_001139509	NM_001139509	chr2	57107226	57124003	-	3016.0	1	Nr4a2|HZF-3|NOT|Nurr1|RNR-1|TINOR|TINUR|RP23-271B15.1|2 C1.1|2 31.66 cM|protein-coding	25.081	6.814	3.051	17.980999999999998	4.011	Nr4a2
NM_007971	NM_007971	chr6	47530274	47595030	-	2630.0	1	Ezh2|Enx-1|Enx1h|KMT6|mKIAA4065|-|6 B|6 22.92 cM|protein-coding	63.85	55.39	32.533	71.848	13.720999999999998	Ezh2
NM_013768	NM_013768	chr14	54507182	54517470	-	2622.0	1	Prmt5|Jbp1|Skb1|-|14 C1|14|protein-coding	73.043	55.001999999999995	40.946	72.357	20.053	Prmt5
NM_027959	NM_027959	chr12	17266595	17284770	+	2110.0	1	Pdia6|1700015E05Rik|AL023058|C77895|CaBP5|P5|Txndc7|-|12 A1.1|12|protein-coding	145.22799999999998	122.45299999999999	93.79700000000001	137.381	54.64	Pdia6
NM_011070	NM_011070	chr1	171345699	171358170	+	616.0	1	Pfdn2|ESTM27|W48336|-|1 H3|1 79.35 cM|protein-coding	102.661	89.26700000000001	72.238	110.854	46.832	Pfdn2
NM_010828	NM_010828	chr10	17723228	17725674	+	1965.0	1	Cited2|AI835299|ER154-like|Mrg1|Msg2|p35srj|-|10 A2|10|protein-coding	22.351	24.973000000000003	32.053000000000004	19.305999999999997	98.005	Cited2
NM_025939	NM_025939	chr5	76951411	76967505	+	2367.0	1	Paics|2610511I09Rik|ADE2H1|AIRC|PAIS|-|5|5 E1|protein-coding	64.58800000000001	53.879	36.268	66.964	27.259	Paics
NM_021395	NM_021395	chr9	44379490	44392369	+	4404.0	1	Hyou1|AI415631|CBP-140|Cab140|Grp170|Orp150|-|9|9 B|protein-coding	80.752	60.898999999999994	44.725	72.16199999999999	30.228	Hyou1
NM_009391	NM_009391	chr5	129020156	129024321	+	2279.0	1	Ran|-|-|5 G1.3|5|protein-coding	115.279	97.344	70.15100000000001	116.03200000000001	32.757	Ran
NM_021274	NM_021274	chr5	92346639	92348889	-	1094.0	1	Cxcl10|C7|CRG-2|INP10|IP-10|IP10|Ifi10|Scyb10|gIP-10|mob-1|-|5 E2|5 46.57 cM|protein-coding	18.77	17.055	3.7760000000000002	33.356	5.34	Cxcl10
NM_009452	NM_009452	chr1	161395438	161418206	+	1604.0	1	Tnfsf4|Ath-1|Ath1|CD134L|OX-40L|Ox40l|TXGP1|Txgp1l|gp34|-|1 H2.1|1 69.75 cM|protein-coding	45.905	28.601	16.268	40.185	8.863999999999999	Tnfsf4
NM_001033238	NM_001033238	chr16	52031549	52208046	+	6302.0	1	Cblb|AI429560|AI851073|Cbl-b|-|16 B5|16|protein-coding	88.09200000000001	77.435	58.402	95.176	40.895	Cblb
NM_007657	NM_007657	chr6	125460266	125494755	-	1182.0	1	Cd9|Tspan29|-|6 F3|6 59.32 cM|protein-coding	42.581	45.553999999999995	48.062	42.213	106.154	Cd9
NM_028862	NM_028862	chr11	44518964	44565520	+	3557.0	1	Rnf145|3732413I11Rik|TMRF1|RP23-103H9.1|11 B1.1|11|protein-coding	33.672	24.131	32.23	31.041	65.842	Rnf145
NM_019703	NM_019703	chr13	6579874	6648771	-	4009.0	1	Pfkp|1200015H23Rik|9330125N24Rik|ATP-PFK|PFK-C|PFK-P|-|13 A1|13|protein-coding	31.976999999999997	25.011999999999997	18.057000000000002	44.638000000000005	16.468	Pfkp
NM_021511	NM_021511	chr1	9545408	9547455	+	2045.0	1	Rrs1|5730466A07Rik|AA415037|D1Ertd701e|Rrr|MNCb-2643|1 A2|1 2.08 cM|protein-coding	108.28399999999999	76.81	49.718999999999994	82.49	19.315	Rrs1
NM_019980	NM_019980	chr16	10959273	10993121	-	2231.0	1	Litaf|3222402J11Rik|C85531|N4WBP3|TBX1|-|16|16 B1-B3|protein-coding	22.447	23.534000000000002	18.937	26.219	57.215	Litaf
NM_008198	NM_008198	chr17	34856374	34862514	-	2727.0	1	Cfb|AI195813|AI255840|B|Bf|C2|Fb|H2-Bf|RP24-317H19.4|17 B1|17 18.41 cM|protein-coding	15.368	7.45	1.65	24.948	4.152	Cfb
NM_008617	NM_008617	chr5	135778649	135790386	+	1271.0	1	Mdh2|MDH|Mdh-2|Mor-1|Mor1|-|5 G2|5 75.4 cM|protein-coding	296.751	269.267	217.56099999999998	299.332	123.45200000000001	Mdh2
NM_001289619	NM_001289619	chr6	42349828	42358562	+	2501.0	1	Zyx|9530098H06Rik|R75157|-|6 B2.1|6|protein-coding	31.15	35.74	46.556999999999995	30.048000000000002	121.34200000000001	Zyx
NM_008379	NM_008379	chr11	97159710	97187892	-	5885.0	1	Kpnb1|AA409963|IPOB|Impnb|RP23-81D2.3|11|11 D|protein-coding	119.493	103.446	78.574	123.18700000000001	46.165	Kpnb1
NM_022996	NM_022996	chr18	38418975	38464406	+	927.0	1	Ndfip1|0610010M22Rik|N4wbp5|-|18 B3|18|protein-coding	311.89	290.934	195.363	268.22900000000004	144.279	Ndfip1
NM_026464	NM_026464	chr18	36760239	36763708	+	1489.0	1	Wdr55|2410080P20Rik|C80692|-|18 B2|18|protein-coding	46.045	29.38	20.436	44.162	14.860999999999999	Wdr55
NM_153419	NM_153419	chr7	45825223	45830789	-	1893.0	1	Grwd1|A301|AI504353|Grwd|Wdr28|-|7 B4|7|protein-coding	80.163	55.742	37.356	69.76	13.245999999999999	Grwd1
NM_080837	NM_080837	chr17	56176541	56183920	-	905.0	1	D17Wsu104e|Il25|Ly6elg|-|17 D|17 29.2 cM|protein-coding	73.536	55.4	38.414	64.555	31.134	D17Wsu104e
NM_001110140	NM_001110140	chr5	122456324	122502225	-	4480.0	1	Atp2a2|9530097L16Rik|D5Wsu150e|SERCA2|SERCA2B|mKIAA4195|-|5 F|5 62.38 cM|protein-coding	83.52600000000001	68.459	55.159	92.479	31.47	Atp2a2
NM_138745	NM_138745	chr12	76255232	76319820	+	3294.0	1	Mthfd1|Dcs|E430024A07Rik|Mthfd|-|12 D2|12|protein-coding	58.791000000000004	43.086999999999996	29.725	63.87	10.547	Mthfd1
NM_011970	NM_011970	chr4	126677643	126709715	+	839.0	1	Psmb2|AU045357|AW108089|C7-I|D4Wsu33e|HC7-I|RP23-120H2.2|4 D2.2|4 60.9 cM|protein-coding	112.787	101.696	75.949	118.855	53.918	Psmb2
NM_011671	NM_011671	chr7	100493345	100502173	+	4123.0	1	Ucp2|Slc25a8|-|7 E3|7 54.36 cM|protein-coding	56.534	60.083	70.153	54.663999999999994	144.126	Ucp2
NM_001085518	NM_001085518	chr2	122484941	122528040	+	3720.0	1	Gm14085|OTTMUSG00000015615|RP23-357I14.1|2 E5|2|protein-coding	1.149	0.223	5.86	0.039	61.233000000000004	Gm14085
NM_145620	NM_145620	chr9	106477309	106485415	+	1520.0	1	Rrp9|55kDa|D19435|D9Wsu10e|Rnu3ip2|U3-55k|-|9 F1|9 57.59 cM|protein-coding	89.60600000000001	74.092	47.922	93.65299999999999	17.04	Rrp9
NM_011329	NM_011329	chr11	82176666	82179812	-	500.0	1	Ccl1|BF534335|I-309|Scya1|Tca-3|RP23-446K18.2|11 C|11 49.99 cM|protein-coding	6.872999999999999	0.39399999999999996	0.245	24.351999999999997	3.102	Ccl1
NM_175639	NM_175639	chr17	71616215	71659031	+	3430.0	1	Wdr43|2610318G08Rik|AU020887|AV024208|Wrd43|mKIAA0007|-|17 E1.3|17|protein-coding	96.315	74.408	49.306000000000004	89.251	20.393	Wdr43
NM_009663	NM_009663	chr5	149265058	149288047	+	847.0	1	Alox5ap|Flap|-|5 G3|5|protein-coding	28.252	75.68	110.48100000000001	16.551	352.74	Alox5ap
NM_011574	NM_011574	chr8	106893640	106923094	+	2230.0	1	Cirh1a|Cirhin|Naic|Teg-292|Tex292|-|8 D3|8|protein-coding	80.358	56.34	42.44	74.723	18.709	Cirh1a
NM_133928	NM_133928	chr6	91464276	91473423	-	1240.0	1	Chchd4|2410012P20Rik|2810014D17Rik|AI838740|-|6 D1|6|protein-coding	53.906000000000006	42.913999999999994	23.451	58.1	13.509	Chchd4
NM_023579	NM_023579	chr14	120911194	120948044	+	4565.0	1	Ipo5|1110011C18Rik|5730478E03Rik|AA409333|C76941|IMB3|Kpnb3|Ranbp5|-|14 E5|14|protein-coding	74.792	55.77	35.236999999999995	71.342	14.508	Ipo5
NM_027204	NM_027204	chr11	120484669	120488754	+	942.0	1	Mrpl12|0610034O11Rik|1500031N16Rik|MRP-L12|Rpml12|RP23-82I5.14-001|11 E2|11|protein-coding	127.05799999999999	106.991	74.2	130.483	24.971999999999998	Mrpl12
NM_025403	NM_025403	chr2	112261926	112262898	+	734.0	1	Nop10|1110036B12Rik|NOP10P|Nola3|RP23-63C10.4|2|2 E4|protein-coding	117.331	95.446	72.10300000000001	112.821	42.191	Nop10
NM_001143849	NM_001143849	chr7	101451252	101512829	+	4021.0	1	Pde2a|CGS-PDE|cGSPDE|-|7 E3|7|protein-coding	5.2010000000000005	7.485	15.4	1.474	88.304	Pde2a
NM_009836	NM_009836	chr3	88297135	88321766	+	1941.0	1	Cct3|AL024092|Cctg|Tcp1-rs3|TriC-P5|-|3 F|3 38.79 cM|protein-coding	272.671	236.13099999999997	183.172	285.226	49.915	Cct3
NM_001276425	NM_001276425	chr2	32587078	32599696	+	3633.0	1	St6galnac4|SIAT7-D|ST6GalNAcIV|Siat7d|RP23-17P12.1|2 B|2|protein-coding	32.806	19.588	8.567	34.907	6.7170000000000005	St6galnac4
NM_010848	NM_010848	chr10	21124930	21160984	-	3403.0	1	Myb|AI550390|M16449|c-myb|-|10 A3|10 9.75 cM|protein-coding	50.922	38.983000000000004	27.33	55.592	24.156	Myb
NM_013545	NM_013545	chr6	124720707	124733154	-	2201.0	1	Ptpn6|70Z-SHP|Hcph|PTPTY-42|Ptp1C|SH-PTP1|SHP-1|hcp|me|-|6 F2|6 59.17 cM|protein-coding	61.938	72.352	69.125	68.87899999999999	134.475	Ptpn6
NM_197982	NM_197982	chr8	83715177	83723351	+	1646.0	1	Ddx39|2610307C23Rik|BAT1|DDXL|Ddx39a|URH49|-|8 C2|8|protein-coding	124.094	111.581	84.30799999999999	141.184	40.989	Ddx39
NM_001204875	NM_001204875	chr2	30066474	30072577	+	2806.0	1	Set|2610030F17Rik|5730420M11Rik|AA407739|I-2PP2A|StF-IT-1|TAF-I|RP23-261D24.1|2 B|2|protein-coding	78.977	60.336999999999996	48.755	80.74600000000001	32.205999999999996	Set
NM_010382	NM_010382	chr17	34305867	34316674	+	1661.0	1	H2-Eb1|H-2Eb|H2Eb|Ia-4|Ia4|-|17 B1|17 17.98 cM|protein-coding	21.623	20.709	13.37	22.513	52.602	H2-Eb1
NM_007913	NM_007913	chr18	34861207	34864956	+	3068.0	1	Egr1|A530045N19Rik|ETR103|Egr-1|Krox-1|Krox-24|Krox24|NGF1-A|NGFI-A|NGFIA|TIS8|Zenk|Zfp-6|Zif268|egr|-|18 C/D|18 18.76 cM|protein-coding	41.11600000000001	19.273	12.277999999999999	23.965	23.625	Egr1
NM_010472	NM_010472	chr1	82839483	82896275	+	3122.0	1	Agfg1|AU045498|C130049H11Rik|C85612|D730048C23Rik|Hrb|RAB|Rip|-|1 C5|1|protein-coding	69.681	59.157	52.48	88.161	37.458	Agfg1
NM_025310	NM_025310	chr11	106249144	106255802	-	2842.0	1	Ftsj3|AA537063|AU045295|C79843|D11Ertd400e|Epcs3|RP23-418O11.2|11 E1|11 68.89 cM|protein-coding	122.686	94.411	64.616	110.43700000000001	23.375999999999998	Ftsj3
NM_010817	NM_010817	chr8	107580380	107588482	-	1591.0	1	Psmd7|AW107203|Mov-34|Mov34|-|8 D3|8 54.38 cM|protein-coding	135.364	122.431	92.929	152.605	46.63	Psmd7
NM_145139	NM_145139	chr15	79075223	79094400	+	1878.0	1	Eif3l|0610011H21Rik|D15N1e|Eif3eip|Eif3ip|Eif3s6ip|HSP-66Y|PAF67|-|15 E1|15 37.7 cM|protein-coding	132.284	105.00200000000001	85.109	123.666	52.663000000000004	Eif3l
NM_025814	NM_025814	chr6	67266979	67289302	+	6675.0	1	Serbp1|1200009K13Rik|9330147J08Rik|AL022786|Pairbp1|-|6 C1|6|protein-coding	223.68400000000003	201.334	135.718	216.84099999999998	60.661	Serbp1
NM_010686	NM_010686	chr4	130913334	130936148	+	2388.0	1	Laptm5|E3|RP23-412B2.5|4 D2.3|4|protein-coding	86.30799999999999	104.976	140.784	82.655	294.003	Laptm5
NM_021792	NM_021792	chr18	60376029	60392629	+	2936.0	1	Iigp1|2900074L10Rik|AI046432|AW111922|Ifgga1|Iigp|Irga6|-|18 D3|18|protein-coding	27.491	11.447000000000001	6.087999999999999	28.119	7.449	Iigp1
NM_013737	NM_013737	chr17	43568451	43612201	+	1901.0	1	Pla2g7|R75400|-|17|17 C|protein-coding	21.206999999999997	33.927	32.96	16.041	129.099	Pla2g7
NM_010818	NM_010818	chr16	45382135	45409053	-	2339.0	1	Cd200|Mox2|OX2|-|16 A1|16 29.53 cM|protein-coding	110.42200000000001	88.82600000000001	82.865	140.474	19.980999999999998	Cd200
NM_174960	NM_174960	chr6	48676135	48678704	+	1379.0	1	Gimap9|A630002K24|BB145400|-|6 B2.3|6|protein-coding	41.361000000000004	35.671	64.33	51.353	119.557	Gimap9
NM_009439	NM_009439	chr11	98682554	98695978	+	2133.0	1	Psmd3|AI255837|AntP91a|D11Bwg1349e|Psd3|Tstap91a|RP23-395E10.2|11 D|11 62.39 cM|protein-coding	103.85600000000001	93.041	68.357	114.014	46.488	Psmd3
NM_026352	NM_026352	chr3	79591389	79603650	+	1716.0	1	Ppid|4930564J03Rik|CYP-40|Ppidl|Ppif|-|3|3 F1|protein-coding	50.675	40.55	26.384	64.533	12.774000000000001	Ppid
NM_001025615	NM_001025615	chr16	27388956	27452218	+	6945.0	1	Ccdc50|C3orf6|RP23-290F22.1|16 B2|16 18.98 cM|protein-coding	26.611	14.347000000000001	9.405	33.830999999999996	11.687000000000001	Ccdc50
NM_008683	NM_008683	chr14	55662267	55671906	-	596.0	1	Nedd8|Rub1|-|14 C3|14 28.19 cM|protein-coding	184.648	173.737	138.20600000000002	198.11	98.62799999999999	Nedd8
NM_175860	NM_175860	chr6	48739047	48743795	+	1494.0	1	Gimap1|IAP38|Imap38|imap|-|6 B2.3|6|protein-coding	32.679	31.948	44.239	37.025	104.126	Gimap1
NM_001166548	NM_001166548	chr11	3202353	3244588	+	3591.0	1	Eif4enif1|2610509L04Rik|A930019J01Rik|AA410001|AU021239|Clast4|D11Ertd166e|RP23-191E3.3|11 A1|11 2.24 cM|protein-coding	46.983999999999995	36.085	30.353	62.964	22.013	Eif4enif1
NM_011155	NM_011155	chr7	17004641	17027914	-	2054.0	1	Ppp5c|AU020526|PP5|-|7 A2|7 9.15 cM|protein-coding	56.333	39.389	32.038000000000004	62.146	21.796999999999997	Ppp5c
NM_013807	NM_013807	chr4	117128655	117133952	-	2350.0	1	Plk3|Cnk|Fnk|PRK|RP23-59L24.6|4 D1|4|protein-coding	31.6	16.180999999999997	9.937999999999999	35.008	9.767999999999999	Plk3
NM_007918	NM_007918	chr8	27260327	27275656	+	976.0	1	Eif4ebp1|4e-bp1|AA959816|PHAS-I|-|8 A4-B1|8 15.95 cM|protein-coding	134.526	108.51799999999999	71.196	117.756	38.404	Eif4ebp1
NM_018871	NM_018871	chr5	135908379	135934641	-	3588.0	1	Ywhag|14-3-3gamma|D7Bwg1348e|-|5 G2|5|protein-coding	95.25	84.335	61.144	102.59100000000001	47.593	Ywhag
NM_153570	NM_153570	chr5	110648419	110653382	-	2022.0	1	Noc4l|AI326906|-|5 F|5|protein-coding	51.338	34.452	23.18	54.535	13.857999999999999	Noc4l
NM_027395	NM_027395	chr15	25363277	25413764	-	1851.0	1	Basp1|2610024P12Rik|CAP-23|CAP23|Ckap3|NAP-22|NAP22|-|15 B1|15|protein-coding	27.961	37.251999999999995	19.069000000000003	36.501	65.77600000000001	Basp1
NM_019913	NM_019913	chr15	77915051	77928994	-	1277.0	1	Txn2|2510006J11Rik|AI788873|Trx2|AL583886.2|15 E1|15|protein-coding	161.06799999999998	128.657	93.87299999999999	137.136	58.784	Txn2
NM_008303	NM_008303	chr1	55088148	55091317	+	762.0	1	Hspe1|10kDa|Hsp10|mt-cpn10|-|1|1 C1|protein-coding	92.065	69.73	46.373999999999995	91.416	14.790999999999999	Hspe1
NM_010821	NM_010821	chr19	12460779	12465285	+	4332.0	1	Mpeg1|MPS1|Mpg-1|-|19 A|19|protein-coding	20.227999999999998	32.326	35.319	19.975	130.012	Mpeg1
NM_021397	NM_021397	chr7	30589681	30592942	-	1767.0	1	Zbtb32|4930524C15Rik|FAXF|FAZF|PLZP|Rog|Tzfp|-|7 B2-B3|7|protein-coding	16.980999999999998	4.843999999999999	2.199	29.219	2.428	Zbtb32
NM_013599	NM_013599	chr2	164948219	164955849	+	3159.0	1	Mmp9|AW743869|B/MMP9|Clg4b|MMP-9|pro-MMP-9|RP23-61O3.10-001|2 H1-H2|2 85.27 cM|protein-coding	22.579	46.489	59.43899999999999	9.87	219.35	Mmp9
NM_017370	NM_017370	chr8	109575128	109579172	-	1338.0	1	Hp|HP-1|preHP2|-|8 D3|8 57.11 cM|protein-coding	45.25899999999999	77.124	99.89399999999999	28.191	300.846	Hp
NM_009911	NM_009911	chr1	128588199	128592299	-	1810.0	1	Cxcr4|CD184|Cmkar4|LESTR|PB-CKR|PBSF/SDF-1|Sdf1r|b2b220Clo|-|1 E4|1 56.43 cM|protein-coding	31.049	42.258	61.756	27.108	180.234	Cxcr4
NM_011355	NM_011355	chr2	91096797	91115756	+	1326.0	1	Spi1|Dis-1|Dis1|PU.1|Sfpi-1|Sfpi1|Spi-1|Tcfpu1|Tfpu.1|RP23-20F9.1|2 E3|2 50.44 cM|protein-coding	19.816	32.247	41.485	14.632	153.539	Spi1
NM_001163396	NM_001163396	chr12	108635753	108688515	+	1940.0	1	Evl|AI528774|-|12|12 F2|protein-coding	21.796	16.795	31.706999999999997	21.529	93.85799999999999	Evl
NM_027342	NM_027342	chr16	36043844	36071515	-	628.0	1	Fam162a|2310056P07Rik|HGTD-P|-|16 B3|16|protein-coding	91.156	63.818000000000005	50.603	84.17	29.307	Fam162a
NM_001290546	NM_001290546	chrX	52912214	52956961	+	4124.0	1	Phf6|2700007B13Rik|4931428F02Rik|mKIAA1823|-|X|X A4|protein-coding	43.503	26.055	17.038	48.676	8.637	Phf6
NM_016740	NM_016740	chr3	93520496	93526288	+	499.0	1	S100a11|EMAPI|Emap1|S100a14|S100c|cal|-|3|3 E-F|protein-coding	62.568000000000005	103.794	129.009	58.648	339.103	S100a11
