id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h	gene_name
NM_027204	chr11	120484669	120488754	+	942.0	1	Mrpl12|0610034O11Rik|1500031N16Rik|MRP-L12|Rpml12|RP23-82I5.14-001|11 E2|11|protein-coding	127.058	106.991	74.2	130.483	24.972	Mrpl12
NM_026195	chr1	71557156	71579403	+	2593.0	1	Atic|2610509C24Rik|AA536954|AW212393|-|1 C3|1|protein-coding	73.31	68.335	47.997	81.108	15.95	Atic
NM_001252260	chr11	33152498	33163206	-	1370.0	1	Npm1|B23|NO38|Npm|RP23-323L8.2|11 A4|11|protein-coding	404.64	326.974	211.362	409.116	80.794	Npm1
NM_011119	chr10	128557766	128565934	-	2418.0	1	Pa2g4|38kDa|AA672939|Ebp1|Plfap|-|10 D3|10|protein-coding	243.735	208.571	135.417	251.134	51.058	Pa2g4
NM_008704	chr11	93958925	93968521	-	1228.0	1	Nme1|AL024257|NDPK-A|NM23-M1|NM23A|RP23-378I13.1|11 D|11|protein-coding	127.328	96.817	64.71300000000001	141.726	28.881	Nme1
NM_007669	chr17	29093772	29100722	+	1905.0	1	Cdkn1a|CAP20|CDKI|CIP1|Cdkn1|P21|SDI1|Waf1|mda6|p21Cip1|p21WAF|-|17 A3.3|17 15.12 cM|protein-coding	155.312	127.14	83.258	182.567	38.293	Cdkn1a
NM_026578	chr3	129824912	129831396	-	1262.0	1	Gar1|AA409823|AI326794|C430047J18Rik|Nola1|-|3 G3|3|protein-coding	103.84	85.926	71.104	105.499	22.204	Gar1
NM_025281	chr5	38220482	38234306	+	1540.0	1	Lyar|MLZ-264|-|5 B3|5 20.29 cM|protein-coding	78.074	60.63	40.368	95.698	20.277	Lyar
NM_025546	chr16	11193037	11203292	-	1828.0	1	Rsl1d1|2410005K20Rik|C76439|pBK1|-|16|16 B1|protein-coding	209.058	175.093	117.149	212.433	45.42100000000001	Rsl1d1
NM_010880	chr1	86344719	86359455	-	8241.0	1	Ncl|B530004O11Rik|C23|D0Nds28|D1Nds28|Nucl|-|1 D|1 43.94 cM|protein-coding	298.74	228.102	147.328	326.834	71.047	Ncl
NM_134137	chr18	42202349	42262071	-	3772.0	1	Lars|2310045K21Rik|3110009L02Rik|AW536573|mKIAA1352|-|18|18 E|protein-coding	95.448	93.774	74.729	95.536	21.135	Lars
NM_019553	chr10	62580247	62602298	-	4726.0	1	Ddx21|AI255159|AL022742|D10Ertd645e|D10Wsu42e|-|10 B4-B5.1|10 32.43 cM|protein-coding	161.069	123.907	83.382	162.12	35.892	Ddx21
NM_021336	chr7	66060336	66074587	+	1239.0	1	Snrpa1|1500015N06Rik|-|7 C|7|protein-coding	78.404	68.928	50.142	91.244	20.279	Snrpa1
NM_009840	chr16	87483325	87495869	-	2374.0	1	Cct8|AI132397|Cctq|Tcpq|-|16 C3.3|16|protein-coding	271.55400000000003	240.667	176.208	294.688	65.55	Cct8
NM_008302	chr17	45567778	45573261	-	2495.0	1	Hsp90ab1|90kDa|AL022974|C81438|Hsp84|Hsp84-1|Hsp90|Hspcb|-|17 B3|17 22.59 cM|protein-coding	1744.609	1555.19	1246.369	1789.8010000000004	399.505	Hsp90ab1
NM_010256	chr16	91621397	91646972	-	3303.0	1	Gart|Gaps|Prgs|-|16 C3-C4|16 53.18 cM|protein-coding	81.494	62.4	38.348	84.271	19.19	Gart
NM_001290712	chr17	12916329	12925067	+	2400.0	1	Tcp1|AI528772|CCT|Cct1|Ccta|TRic|Tcp-1|Tp63|c-cpn|p63|RP23-351C7.3|17 A3-B|17 8.72 cM|protein-coding	259.584	244.043	178.593	267.48400000000004	61.07	Tcp1
NM_001146058	chr4	152199844	152271855	+	1356.0	1	Acot7|2410041A17Rik|Ach1|Act|Bach|CTE-IIa|Cte-II|Lach1|RP23-421E12.1|4 E2|4|protein-coding	81.436	68.944	44.911	101.943	23.295	Acot7
NM_001252476	chr7	44976755	44986420	-	1297.0	1	Prmt1|6720434D09Rik|AW214366|Hrmt1l2|Mrmt1|-|7 B4|7 29.07 cM|protein-coding	170.507	141.667	91.984	194.83	46.438	Prmt1
NM_134040	chr12	13219307	13249174	-	2441.0	1	Ddx1|AA409185|DBP-RB|-|12 A1.1|12|protein-coding	78.888	71.459	52.125	92.094	22.514	Ddx1
NM_007636	chr10	117050998	117063814	-	1944.0	1	Cct2|Cctb|-|10 D2|10|protein-coding	412.396	358.4890000000001	258.145	413.751	102.229	Cct2
NM_009852	chr19	10789339	10830058	-	3019.0	1	Cd6|-|-|19 A|19 7.16 cM|protein-coding	92.505	56.132	53.864	109.791	27.862	Cd6
NM_011239	chr16	18239979	18248694	-	844.0	1	Ranbp1|Htf9a|-|16 A3|16 11.3 cM|protein-coding	293.802	261.54400000000004	153.808	298.6740000000001	76.692	Ranbp1
NM_026031	chr4	124678764	124693554	-	943.0	1	Utp11l|2700082D03Rik|CGI-94|Cgi94|RP23-230F2.3|4|4 D1|protein-coding	96.348	88.84899999999998	75.293	102.605	26.59	Utp11l
NM_146036	chr12	87266728	87273952	+	1309.0	1	Ahsa1|BC023857|p38|-|12 D2|12|protein-coding	219.208	197.263	164.847	221.612	58.493	Ahsa1
NM_013716	chr11	55469752	55500887	+	2671.0	1	G3bp1|AI849976|B430204O07|C87777|G3bp|mKIAA4115|RP23-336J1.4|11 B1.3|11|protein-coding	126.539	116.951	81.95200000000001	136.08	37.725	G3bp1
NM_028451	chr11	58009064	58062032	+	6594.0	1	Larp1|1810024J12Rik|3110040D16Rik|Larp|mKIAA0731|RP23-293I3.7|11|11 B2|protein-coding	103.066	82.23100000000002	57.882	107.974	30.264	Larp1
NM_133726	chr15	81365044	81399694	-	1608.0	1	St13|1110007I03Rik|3110002K08Rik|AW555194|HIP|HOP|HSPABP|HSPABP1|PRO0786|SNC6|p48|-|15|15 E2|protein-coding	209.748	204.837	171.075	219.388	61.76300000000001	St13
NM_008950	chr11	106256185	106263112	+	1264.0	1	Psmc5|mSUG1|RP23-418O11.3|11 E1|11|protein-coding	162.227	145.678	117.1	162.929	45.932	Psmc5
NM_009391	chr5	129020156	129024321	+	2279.0	1	Ran|-|-|5 G1.3|5|protein-coding	115.279	97.344	70.15100000000001	116.032	32.757	Ran
NM_130889	chr4	46451117	46472523	+	1358.0	1	Anp32b|2410015B15Rik|PAL31|PHAPI2a|Ssp29|RP23-117B19.3|4|4 B2|protein-coding	296.626	255.124	187.269	301.866	85.734	Anp32b
NM_010579	chr2	155819837	155826925	-	1487.0	1	Eif6|1110004P11|AA408895|CAB|Itgb4bp|eIF-6|imc-415|p27(BBP)|p27BBP|RP23-388H13.5|2 H1|2|protein-coding	141.421	114.307	86.969	144.667	41.095	Eif6
NM_001166595	chr11	69916712	69921275	-	1208.0	1	Eif5a|AA410058|D19Wsu54e|Eif4d|Eif5a1|eIF-4D|eIF-5A|eIF-5A-1|eIF-5A1|RP23-172M21.7|11 B3|11|protein-coding	717.4639999999998	556.203	376.151	737.9780000000002	210.564	Eif5a
NM_025844	chr9	18292267	18314000	+	2192.0	1	Chordc1|1110001O09Rik|AA409036|Chp-1|morgana|-|9|9 A3|protein-coding	103.393	98.652	73.066	106.446	30.661	Chordc1
NM_197982	chr8	83715177	83723351	+	1646.0	1	Ddx39|2610307C23Rik|BAT1|DDXL|Ddx39a|URH49|-|8 C2|8|protein-coding	124.094	111.581	84.30799999999998	141.184	40.989	Ddx39
NM_001170540	chr13	98309897	98317006	-	881.0	1	Btf3|1700054E11Rik|mCG_114993|13 D1|13|protein-coding	144.989	132.578	105.985	147.966	43.249	Btf3
NR_105046	chr3	20057811	20118491	+	4617.0	1	Hltf|AF010600|BC057116|P113|Smarca3|Snf2l3|-|3 A2|3 6.15 cM|protein-coding	212.634	150.49	108.046	227.221	67.398	Hltf
NM_033074	chr15	11383663	11399658	-	2615.0	1	Tars|D15Wsu59e|ThrRS|-|15 A1|15 5.6 cM|protein-coding	92.374	86.994	65.579	92.819	27.659	Tars
NM_001077529	chr11	93949814	93955783	-	731.0	1	Nme2|NM23-H2|NM23B|nm23-M2|RP23-378I13.2|11|11 C|protein-coding	138.737	132.316	89.79899999999998	164.34099999999995	49.719	Nme2
NM_144866	chr18	34902785	34932003	-	3692.0	1	Etf1|AI463371|D6Ertd109e|ERF|ERF1|SUP45L1|TB3-1|-|18 B1|18|protein-coding	120.922	116.619	82.109	134.265	40.833	Etf1
NM_010817	chr8	107580380	107588482	-	1591.0	1	Psmd7|AW107203|Mov-34|Mov34|-|8 D3|8 54.38 cM|protein-coding	135.364	122.431	92.929	152.605	46.63	Psmd7
NM_010448	chr11	51600100	51606881	-	2395.0	1	Hnrnpab|3010025C11Rik|CBF-A|Cgbfa|Hnrpab|RP23-79E13.1|11 B1.3|11|protein-coding	399.953	354.245	251.509	442.011	135.347	Hnrnpab
NM_010219	chr6	128430107	128438631	-	2155.0	1	Fkbp4|59kDa|AL022792|AW208983|FKBP-4|FKBP-52|FKBP52|FKPB52|p59|-|6 F3|6|protein-coding	184.142	152.33100000000005	103.225	184.876	56.809	Fkbp4
NM_009831	chr11	40748552	40755286	-	3480.0	1	Ccng1|AI314029|RP23-382C18.1|11|11 B1.1|protein-coding	100.543	92.473	64.792	101.736	31.421	Ccng1
NM_031165	chr9	40801273	40805199	+	2093.0	1	Hspa8|2410008N15Rik|Hsc70|Hsc71|Hsc73|Hsp73|Hspa10|-|9 A5.1|9 21.55 cM|protein-coding	189.496	185.585	128.286	199.295	63.63	Hspa8
NM_020619	chr6	83115506	83118898	+	2764.0	1	Mogs|1810017N02Rik|AI181835|Gcs1|-|6|6 D1|protein-coding	93.838	73.227	48.165	97.554	31.274	Mogs
NM_007531	chr6	124712289	124716945	+	1349.0	1	Phb2|AU044498|BAP|Bap37|Bcap37|REA|-|6 F2|6 59.17 cM|protein-coding	264.899	222.439	154.41	270.428	86.804	Phb2
NM_133916	chr5	140419305	140443358	+	2945.0	1	Eif3b|AL033316|AL033334|AL033369|AW208965|D5Wsu45e|EIF3-ETA|EIF3-P110|EIF3-P116|Eif3s9|PRT1|-|5 G2|5 78.97 cM|protein-coding	170.975	141.55200000000005	105.921	175.62099999999995	56.387	Eif3b
NM_053092	chr8	111993439	112011354	-	2027.0	1	Kars|AA589550|AL024334|AL033315|AL033367|D8Ertd698e|D8Wsu108e|LysRS|mKIAA0070|-|8 D3|8 58.27 cM|protein-coding	105.318	86.87200000000001	56.254	120.957	38.921	Kars
NM_011968	chr12	55398825	55418459	+	988.0	1	Psma6|IOTA|-|12 C1|12|protein-coding	252.762	239.035	223.207	259.567	84.71799999999998	Psma6
NM_016774	chr10	128083307	128090388	+	1867.0	1	Atp5b|-|-|10 D3|10|protein-coding	848.707	820.37	620.016	850.444	284.638	Atp5b
NR_015519	chr11	83223576	83226584	+	1404.0	1	AI662270|AW496474|RP23-381B19.2|11 C|11|ncRNA	115.933	96.509	73.467	117.629	40.027	AI662270
NM_011188	chr5	21785283	21803784	+	1767.0	1	Psmc2|-|-|5 A3|5 9.97 cM|protein-coding	129.376	124.97	99.922	138.469	47.34	Psmc2
NM_001290552	chr2	32278805	32288069	-	628.0	1	Swi5|1500019F05Rik|2900010J23Rik|AI046671|RP23-161B9.6|2 B|2|protein-coding	128.393	121.103	93.065	132.554	45.36	Swi5
NM_025392	chr7	133709333	133721145	+	1235.0	1	Bccip|1110013J05Rik|TOK-1|-|7|7 F4|protein-coding	98.17	91.446	66.035	105.641	36.336	Bccip
NM_011969	chr2	180036367	180042464	-	943.0	1	Psma7|C6-I|RP23-23G3.6|2 H4|2|protein-coding	233.448	220.114	156.744	260.383	91.009	Psma7
NM_008300	chr11	53259814	53300479	-	4619.0	1	Hspa4|70kDa|AI317151|APG-2|Hsp110|Hsp70RY|mKIAA4025|RP23-337J7.3|11 B1.3|11 31.91 cM|protein-coding	110.363	99.551	70.757	112.92	39.645	Hspa4
NM_009837	chr11	22990593	23003336	+	1950.0	1	Cct4|2610204B21Rik|A45|C78323|Cctd|RP24-143D17.2|11 A3.2|11 14.25 cM|protein-coding	207.712	190.921	154.55700000000004	217.689	77.39	Cct4
NM_024220	chr7	97400003	97407800	+	676.0	1	Ndufc2|1810004I06Rik|2010300P09Rik|G1|R75094|-|7|7 E3|protein-coding	114.751	103.285	85.30799999999998	118.866	42.522	Ndufc2
NM_008019	chr2	151542499	151561691	+	1634.0	1	Fkbp1a|12kDa|FKBP12|FKBP12-T1|FKBP12-T2|Fkbp|Fkbp1|mFKBP1|mFKBP12|RP23-419G21.5|2 G3|2|protein-coding	129.827	99.075	71.611	165.505	59.54600000000001	Fkbp1a
NM_007842	chr1	153455758	153487660	-	4583.0	1	Dhx9|AI326842|Ddx9|HEL-5|NDHII|RHA|mHEL-5|-|1 G3|1 65.37 cM|protein-coding	97.514	84.565	72.205	108.454	39.223	Dhx9
NM_030724	chr1	167226084	167285127	-	1328.0	1	Uck2|AA407809|AI481316|AU018180|AU020720|TSA903|UK|UMK|Umpk|-|1 H2.3|1|protein-coding	102.308	98.111	65.876	112.417	40.76	Uck2
NM_008842	chr17	29491045	29495459	+	1745.0	1	Pim1|Pim-1|-|17 A3.3|17 15.38 cM|protein-coding	404.069	387.593	332.7480000000001	428.739	155.543	Pim1
NM_018799	chr4	129591974	129600648	-	1096.0	1	Eif3i|36kDa|D4Ertd632e|Eif3s2|Trip1|RP23-151A15.2|4 D2.2|4 63.26 cM|protein-coding	169.16099999999997	155.267	108.256	181.805	66.605	Eif3i
NM_009870	chr10	127063603	127067282	+	1336.0	1	Cdk4|Crk3|-|10 D3|10|protein-coding	183.598	139.155	105.83	185.979	68.146	Cdk4
NM_011192	chr11	101316251	101323530	+	2606.0	1	Psme3|AA410043|AU020960|Ki|PA28gamma|REGgamma|pa28g|RP23-281C18.14-001|11 D|11 64.67 cM|protein-coding	120.851	99.04	66.59100000000001	137.783	50.529	Psme3
NM_026095	chr10	75518042	75535440	+	598.0	1	Snrpd3|1700043E15Rik|2310009E13Rik|AW046420|SMD3|-|10 C1|10|protein-coding	243.388	220.452	184.867	257.141	94.408	Snrpd3
NM_016690	chr5	100033579	100039222	-	2740.0	1	Hnrnpdl|AA407431|AA959857|D5Ertd650e|D5Wsu145e|Hnrnpdl1|Hnrpdl|JKTBP|hnRNP DL|hnRNP-DL|-|5 E4|5 48.46 cM|protein-coding	113.426	98.89	83.993	119.757	44.246	Hnrnpdl
NM_025894	chr11	107479528	107498036	+	1710.0	1	Psmd12|1500002F15Rik|AI480719|P55|RP23-319N7.1|11 E1|11|protein-coding	98.716	85.95200000000001	66.635	104.271	38.729	Psmd12
NM_009859	chr9	25252439	25308571	+	2513.0	1	Sept7|Cdc10|E430034N22|-|9 A4|9|protein-coding	124.239	113.85	102.451	136.887	51.103	Sept7
NM_011874	chr7	28041702	28050092	-	1423.0	1	Psmc4|CIP21|MIP224|-|7 A3|7 16.11 cM|protein-coding	140.243	134.528	110.253	146.933	54.897	Psmc4
NM_027231	chr15	79141367	79151767	+	513.0	1	Polr2f|1810060D16Rik|-|15 E1|15 37.7 cM|protein-coding	148.107	111.727	72.55	150.36700000000005	56.234	Polr2f
NM_008379	chr11	97159710	97187892	-	5885.0	1	Kpnb1|AA409963|IPOB|Impnb|RP23-81D2.3|11|11 D|protein-coding	119.493	103.446	78.574	123.187	46.165	Kpnb1
NM_001110145	chr2	69861562	69871846	+	2047.0	1	Ssb|SS-B|RP23-273G23.1|2 C2|2 40.95 cM|protein-coding	160.732	155.493	128.012	179.66299999999995	67.535	Ssb
NM_173374	chr11	88047373	88053757	+	5358.0	1	Srsf1|1110054N12Rik|5730507C05Rik|6330415C05Rik|AI482334|AW491331|Asf|Sf2|Sfrs1|RP23-199A2.2|11 C|11 52.4 cM|protein-coding	109.197	96.297	75.432	113.408	42.88	Srsf1
NM_011187	chr2	38588046	38643906	-	959.0	1	Psmb7|AU020723|MC14|RP23-354G20.1|2 B|2 24.42 cM|protein-coding	130.705	124.016	93.74	143.767	57.036	Psmb7
NM_145422	chr10	85938637	85957793	-	1965.0	1	Rtcb|AI255213|AI463255|D10Wsu52e|FAAP|HSPC117|-|10 C1|10 41.81 cM|protein-coding	109.494	101.437	75.887	118.963	47.411	Rtcb
NM_015735	chr19	10605625	10629821	+	4134.0	1	Ddb1|127kDa|AA408517|p127-Ddb1|-|19 centromere|19 6.66 cM|protein-coding	126.92	118.158	95.916	133.86700000000002	53.51300000000001	Ddb1
NM_173413	chr9	66843664	66919705	-	4741.0	1	Rab8b|5930437D16|D330025I23Rik|-|9 C|9|protein-coding	106.551	101.308	83.714	124.463	50.69600000000001	Rab8b
NM_009439	chr11	98682554	98695978	+	2133.0	1	Psmd3|AI255837|AntP91a|D11Bwg1349e|Psd3|Tstap91a|RP23-395E10.2|11 D|11 62.39 cM|protein-coding	103.856	93.041	68.357	114.014	46.488	Psmd3
NM_008945	chr3	94884324	94886958	-	940.0	1	Psmb4|Pros-27|-|3 F2|3 40.74 cM|protein-coding	257.6	253.843	198.492	275.474	112.639	Psmb4
NM_009536	chr11	75732887	75765841	+	2070.0	1	Ywhae|AU019196|RP23-78H4.1|11 B2|11 45.92 cM|protein-coding	288.233	269.723	202.165	298.764	122.305	Ywhae
NM_010699	chr7	46845804	46855627	+	1613.0	1	Ldha|Ldh1|Ldhm|l7R2|-|7 B4|7 30.6 cM|protein-coding	295.3040000000001	245.288	159.667	384.889	158.015	Ldha
NM_025448	chr3	88579671	88588413	+	1176.0	1	Ssr2|1500032E05Rik|AI315033|AU020133|TLAP|TRAPB|TRAPbeta|-|3 F1|3|protein-coding	119.844	113.073	89.589	120.803	49.721	Ssr2
NM_008617	chr5	135778649	135790386	+	1271.0	1	Mdh2|MDH|Mdh-2|Mor-1|Mor1|-|5 G2|5 75.4 cM|protein-coding	296.751	269.267	217.561	299.332	123.452	Mdh2
NM_001271419	chr15	74994877	74998031	-	950.0	1	Ly6a|Ly-6A.2|Ly-6A/E|Ly-6E.1|Sca-1|Sca1|TAP|-|15 D3|15 34.29 cM|protein-coding	213.642	142.755	132.04	311.557	130.555	Ly6a
NM_011732	chr4	119277327	119294513	-	2181.0	1	Ybx1|1700102N10Rik|C79409|EF1A|MSY1|Nsep1|YB-1|dbpB|mYB-1a|RP24-363D14.2|4|4 D1|protein-coding	229.58	192.295	132.28	231.79	101.1	Ybx1
NM_025624	chr5	147860628	147875778	+	726.0	1	Pomp|2510048O06Rik|Ump1|-|5 G3|5|protein-coding	171.845	141.703	107.262	181.895	79.472	Pomp
NM_001285430	chr15	75894796	75909344	-	1697.0	1	Eef1d|EF-1-delta|-|15|15 E1|protein-coding	122.563	114.295	93.029	123.06	54.655	Eef1d
NM_001077184	chr10	79704358	79711979	+	1395.0	1	Bsg|AI115436|AI325119|CD147|EMMPRIN|HT-7|-|10 C1|10 39.72 cM|protein-coding	163.726	148.879	120.264	185.572	82.941	Bsg
NM_016884	chr14	52073380	52104028	-	2833.0	1	Hnrnpc|AL022939|D14Wsu171e|Hnrpc|Hnrpc1|Hnrpc2|hnRNPC1|hnRNPC2|hnrnp-C|-|14 C2|14 26.79 cM|protein-coding	140.442	138.195	105.893	141.46	63.78	Hnrnpc
NM_011970	chr4	126677643	126709715	+	839.0	1	Psmb2|AU045357|AW108089|C7-I|D4Wsu33e|HC7-I|RP23-120H2.2|4 D2.2|4 60.9 cM|protein-coding	112.787	101.696	75.949	118.855	53.918	Psmb2
NM_025710	chr13	30540312	30545316	-	1309.0	1	Uqcrfs1|4430402G14Rik|AI875505|-|13|13 A3.3|protein-coding	134.144	115.929	83.01700000000002	136.655	62.12600000000001	Uqcrfs1
NM_001243968	chr7	13035120	13037627	-	1002.0	1	Ube2m|2510040H03Rik|UBC12|Ubc-rs2|-|7 A1|7 7.73 cM|protein-coding	112.507	108.891	83.51299999999998	140.735	65.01100000000001	Ube2m
NM_010749	chr6	122309010	122317677	+	2213.0	1	M6pr|CD-MPR|Mpr46|-|6 F1|6 57.52 cM|protein-coding	123.849	94.383	66.33	130.82299999999998	60.53	M6pr
NM_011660	chr4	57943373	57956411	-	1044.0	1	Txn1|ADF|AW550880|Trx1|Txn|RP23-332H16.1|4 B3|4 31.87 cM|protein-coding	274.007	263.77	205.985	304.027	141.282	Txn1
NM_182650	chr6	51460435	51469894	-	2132.0	1	Hnrnpa2b1|9130414A06Rik|Hnrpa2|Hnrpa2b1|hnrnp-A|-|6 B3|6|protein-coding	323.823	306.432	280.635	392.213	186.259	Hnrnpa2b1
NM_010090	chr2	127336159	127338377	+	1612.0	1	Dusp2|PAC1|RP23-206D14.6|2 F1|2|protein-coding	185.128	181.082	176.892	190.715	91.34	Dusp2
NM_013536	chr6	124704370	124712178	-	1037.0	1	Emg1|C2f|Grcc2f|-|6 F2|6 59.17 cM|protein-coding	147.829	114.46	96.352	150.757	72.788	Emg1
NM_011157	chr10	62494428	62507755	-	933.0	1	Srgn|Prg|Prg1|Sgc|-|10 B4|10|protein-coding	765.93	495.175	492.369	864.415	417.862	Srgn
NM_011358	chr11	116849897	116853094	-	1898.0	1	Srsf2|D11Wsu175e|MRF-1|Pr264|SC35|Sfrs10|Sfrs2|RP23-468A19.7|11 E2|11 81.49 cM|protein-coding	233.319	191.829	163.08	261.516	127.832	Srsf2
NM_001136085	chrX	20662896	20683179	+	4045.0	1	Uba1|A1S9|Sbx|Ube-1|Ube1x|RP23-394F6.2|X A2-A3|X 16.15 cM|protein-coding	169.009	161.472	133.203	175.095	85.62	Uba1
NM_026545	chr7	29174187	29180673	-	1504.0	1	Psmd8|6720456J22Rik|AA407360|AL033291|AL033322|AL033323|C76433|-|7 B1|7|protein-coding	138.067	134.83700000000002	109.074	142.671	70.605	Psmd8
NM_008683	chr14	55662267	55671906	-	596.0	1	Nedd8|Rub1|-|14 C3|14 28.19 cM|protein-coding	184.648	173.737	138.20600000000002	198.11	98.628	Nedd8
NM_010028	chrX	13281022	13293983	+	4552.0	1	Ddx3x|D1Pas1-rs2|Ddx3|Fin14|RP23-158L19.4|X A1.1|X 8.17 cM|protein-coding	156.39	144.649	111.556	157.3	78.458	Ddx3x
