Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d Tcell-CD69neg-K99A10-22h-ES Tcell-CD69neg-nopept-22h-ES Tcell-CD69neg-PCC01-22h-ES Tcell-CD69neg-PCC1-22h-ES Tcell-CD69pos-K99A100-22h-ES Tcell-CD69pos-K99A10-22h-ES Tcell-CD69pos-PCC01-22h-ES Tcell-CD69pos-PCC1-22h-ES -rpkm -condenseGenes)	Tcell-CD69pos-K99A10-22h-ES FPKM	Tcell-CD69pos-K99A100-22h-ES FPKM	Tcell-CD69pos-PCC01-22h-ES FPKM	Tcell-CD69pos-PCC1-22h-ES FPKM	gene_name	pc1	pc2
NM_173015	0.0	24.883000000000003	13.859000000000002	11.241	Mon1b	0.0014663363315377477	-0.004519152398161893
NM_019466	0.0	0.0	13.267999999999999	6.2860000000000005	Rcan1	0.0011112842386930251	0.0012824366458424538
NM_172281	0.0	13.48	40.388000000000005	36.915	Rnf40	0.0046885199649674475	0.002651241881067034
NM_001159349	2.452	31.247	11.39	11.213	Fyttd1	0.0010361347531965236	-0.006027216733797412
NM_025823	0.0	12.73	4.132	2.668	Pcyox1	0.00037667151156170025	-0.002809763146818814
NM_177846	0.0	14.372	6.835	7.7620000000000005	Lcmt2	0.000885325616274778	-0.0024934599876416763
NM_001033436	0.0	0.0	14.532	13.689	Atxn7l1	0.0017259680744259433	0.002261998538298327
NR_037992	125.506	14.22	8.737	6.781000000000001	Jmjd4	-0.014324499397045684	0.009561113330870098
NM_009076	0.0	0.0	3.79	20.831	Rpl12	0.0017409078522995305	0.0027649706023908293
NM_027371	0.0	0.027000000000000003	55.006	66.01899999999999	Rpf1	0.007595192802504928	0.01034486474610635
NM_001013778	0.0	0.0	8.948	10.775	Tvp23a	0.0012381950434320885	0.00168844086724938
NM_011390	0.0	20.183	6.782	7.4110000000000005	Slc12a7	0.0008462303932699778	-0.004045423502139123
NM_009536	0.35	212.972	207.774	208.356	Ywhae	0.025202747080652826	-0.0212192435077883
NR_028527	0.0	0.0	11.462	7.42	Snord52	0.0011088044492199459	0.0013585877978839365
NM_134123	0.149	49.21	35.659	27.53	Scaf8	0.0036768404513767075	-0.007950334784947022
NM_021308	0.0	12.492	0.37	0.355	Piwil2	2.231630102524824e-05	-0.0031785823387524043
NM_015740	0.0	0.0	7.037000000000001	13.559000000000001	Bloc1s1	0.0013540279999312967	0.001968627332497011
NM_173347	0.11599999999999999	15.159	6.401	8.128	Prune	0.0008762524900123422	-0.0026561566328137964
NM_172947	2.381	121.4	33.66	38.871	Lsm12	0.004029704345697314	-0.025086745074720876
NM_182999	2.715	45.613	35.001	31.805999999999997	Rnf20	0.0036598139371570933	-0.006257019171289851
NM_025791	0.0	0.0	8.073	10.862	Tmem223	0.0012024138784927998	0.0016670666443625837
NM_175770	0.0	0.0	12.267999999999999	8.663	Taf7	0.0012407085326890223	0.001545004716343383
NM_027873	0.0	28.592	37.26	27.953000000000003	Ubiad1	0.0038404208020208818	-0.0025095532879391303
NM_030046	0.0	0.51	26.589000000000002	13.907	Dnajc21	0.0023240585694099592	0.002602900986738313
NM_001290457	0.0	167.93900000000002	137.668	104.289	Relb	0.014154700223081686	-0.025288039999108145
NM_010418	34.421	20.877	13.594000000000001	12.501	Herc2	-0.002621734061035712	-2.2235960591717748e-05
NM_028032	0.0	44.563	50.665	34.787	Ppp2r2a	0.004971035313526981	-0.005291485959079542
NM_001164560	0.17600000000000002	1.641	96.792	79.83800000000001	Trmt1	0.010623802262486404	0.013229156781536555
NR_132310	86.479	45.867	31.524	28.305	Dpm1-adnp	-0.0069342388019243955	0.001162153693952271
NM_026456	579.885	49.61	40.001999999999995	40.375	Tceb1	-0.06549747056496232	0.04947184626290528
NM_207682	0.0	14.584000000000001	5.166	5.712000000000001	Kif1b	0.0006509916213740818	-0.00286839469138408
NR_015463	0.115	26.013	27.750999999999998	29.984	Snhg17	0.0035233590795849534	-0.0019257068337410277
NM_175109	0.0	31.905	65.182	49.328	Rps19bp1	0.006782396975834656	0.00035732280355331805
NR_106176	0.0	0.882	0.201	21.183000000000003	Mir142b	0.001592219894508629	0.00244814034574636
NM_028110	1.617	44.887	42.097	34.946	Dennd2d	0.004372073550065432	-0.005516562547711724
NM_027324	0.0	0.0	40.135	29.009	Sfxn1	0.004108942247244457	0.005138665538430871
NM_145580	0.0	38.766	3.15	7.452999999999999	Igflr1	0.0006409500595323802	-0.008989677740165097
NM_001163026	0.0	19.652	21.627	18.986	Dnajc13	0.0024301799004901883	-0.0019006463463911202
NM_028057	0.22399999999999998	26.307	58.409	66.459	Cyb5r1	0.007718858576281698	0.003737806562311296
NR_035446	0.0	0.0	140.05700000000002	61.232	Mir1893	0.011347616310093813	0.012891851990324863
NM_001190343	0.0	15.972999999999999	55.111999999999995	46.263000000000005	Ccm2	0.006094733698323317	0.0037273299689871966
NM_030132	0.0	10.214	8.085	8.01	Utp23	0.0009716411858038555	-0.0013385720165651647
NM_134078	0.0	39.582	16.048	19.13	Chmp7	0.002136048128039242	-0.007253043569385753
NR_035441	0.0	0.0	30.947	24.805999999999997	Mir1896	0.0033506033916674933	0.004269489850504377
NM_025843	0.0	0.0	64.29899999999999	94.439	Ndufb7	0.010169603945910387	0.014276490560065785
NM_181545	0.0	0.0	10.056000000000001	6.74	Slfn8	0.0009900047466616612	0.0012209402770307072
NM_019437	0.0	5.688	17.517	22.991999999999997	Rfk	0.002555838391047622	0.0020706778599668676
NR_028146	287.905	0.0	4.859	6.729	Stoml1	-0.03419581316254295	0.028712098621351875
NM_001270537	0.184	0.529	78.792	84.01899999999999	Bin2	0.010067550845130223	0.013379699609064993
NM_207209	45.867	5.938	30.781999999999996	25.804000000000002	Sec24b	-0.002158663850457911	0.007260982275664321
NM_001281472	0.34299999999999997	153.691	97.49	201.082	Psme2b	0.019434769274052226	-0.010851045410019182
NM_023479	0.0	21.235	44.123999999999995	24.386999999999997	Elac2	0.003918501159132698	-0.0007988502860312049
NM_001033320	0.0	18.676	19.778	27.570999999999998	Rltpr	0.0029845362558298715	-0.0006342811483759769
NM_001281795	0.0	0.0	25.041	14.86	Slc25a44	0.0023214149613435286	0.002797932978797388
NR_105998	0.0	0.0	109.245	14.757	Mir7031	0.006383126886393389	0.0058968503178463295
NM_181402	0.0	35.131	1.124	4.092	Parp11	0.0002981357750177527	-0.008546150552089442
NM_028356	0.0	16.746	5.271	9.249	Zbtb25	0.0009167363899196259	-0.002979046743711636
NM_183426	77.79	1.034	26.228	26.778000000000002	Sbno2	-0.0061707082981165284	0.011555842487562517
NM_001044741	89.259	83.181	13.909	28.845	Cacnb3	-0.00814852506248551	-0.008822461488220287
NM_029709	0.0	0.102	11.265	12.758	Clasp1	0.0014982795309791293	0.0019975155746033402
NM_008249	0.0	0.0	10.945	3.3339999999999996	Tfb2m	0.000778267301634099	0.0008246061919675867
NM_197986	220.56400000000002	0.0	1.625	4.333	Tmem140	-0.026360252821949995	0.021815230186319503
NM_172699	0.076	4.004	15.025	16.36	Foxj3	0.0019332223368062672	0.0015865611821550153
NM_019758	0.0	44.896	23.486	15.758	Mtch2	0.002233947260940524	-0.008780054668497189
NM_009870	0.271	79.48899999999999	129.734	168.60299999999998	Cdk4	0.0187043560891864	0.005468590951617707
NM_018749	0.0	118.719	215.588	178.528	Eif3d	0.023559146101552176	-0.00029942285418859153
NM_178939	450.63300000000004	39.624	54.87	36.08	Pdrg1	-0.04939924661906211	0.039639007706932114
NM_001040400	0.04	14.374	6.5360000000000005	7.237	Tet2	0.0008267589091829003	-0.002567336932153188
NM_030566	0.0	31.261	10.835	12.997	Rabep2	0.0014402165613289174	-0.006062335827938989
NM_030081	0.0	16.315	8.97	11.67	Rbsn	0.0012773073792947723	-0.002425592153277154
NM_012003	0.0	39.137	98.682	65.234	Cops7a	0.009578037507712444	0.0017256858250099595
NM_019794	3.5869999999999997	0.036000000000000004	57.763000000000005	72.334	Dnaja2	0.007765414080202807	0.01158509409933093
NM_027185	0.0	25.549	18.722	53.691	Def6	0.004874592599754275	0.0008370959014762844
NM_025994	0.305	0.0	30.558000000000003	43.878	Efhd2	0.004721002033576756	0.0066876963262176275
NM_021501	0.0	14.71	22.826999999999998	28.107	Pias4	0.0031789907843881803	0.0005736305533739491
NM_001110101	0.0	0.467	43.238	60.496	Lsm2	0.006612679010317553	0.009099993330906355
NR_038031	60.941	0.0	4.949	15.152999999999999	4930562F07Rik	-0.00602214423021315	0.007952336392031712
NM_016682	0.434	58.578	48.162	51.251000000000005	Uba2	0.006003781460594527	-0.006899271307235491
NR_024068	12.273	0.0	0.40399999999999997	4.406000000000001	Snhg7	-0.0011401763089205863	0.0017502858885076397
NM_001004062	0.064	0.006	22.385	17.132	Crtc1	0.002355179852581834	0.0029906692772659355
NM_024236	0.0	0.073	29.859	25.153000000000002	Qdpr	0.0033238419673178063	0.0042540902220627504
NM_001113573	118.09	4.33	17.109	16.479	Brd3	-0.012277330197044209	0.012942187399807998
NR_125870	19.101	8.968	16.479	11.665	Xiap	-0.0006648446949552702	0.0015918064587584569
NM_028986	0.0	49.507	24.779	17.867	Gzf1	0.0024459847760885853	-0.009661341041137155
NM_030240	0.0	33.842	23.266	31.701	Pagr1a	0.0034351010890895715	-0.003914846938624288
NM_175329	642.6519999999999	113.234	185.433	264.619	Chchd10	-0.04942872976938264	0.0726524035509099
NM_025365	0.0	58.576	28.05	38.992	Tomm6	0.004167742746736242	-0.009228508881513553
NM_175274	97.925	42.835	20.85	19.267	Ttyh3	-0.009509423505298405	0.0015151052863464215
NM_019912	0.146	42.492	17.883	23.233	Ube2d2a	0.0025086865636817167	-0.007408225562383759
NM_134147	0.0	0.0	8.773	13.508	Macrod1	0.0014341116914265912	0.002026357560220621
NM_023409	0.0	30.421999999999997	41.989	61.886	Npc2	0.00660323848181281	0.001466897957224224
NM_010156	0.0	10.235	3.01	1.022	Samd9l	0.0002037757656330102	-0.0024121232987934504
NM_177171	10.414000000000001	14.440999999999999	4.841	3.938	Heatr5a	-0.0007607363617630002	-0.0020654936040757506
NM_033374	12.243	46.82	34.814	38.315	Dock2	0.0029792748134392926	-0.0048402964486940975
NM_019579	121.662	8.851	4.621	5.557	Mpp5	-0.014139021328548905	0.010276371798566436
NM_176968	0.0	0.012	13.405	9.716000000000001	Nt5dc1	0.0013743797343587936	0.0017166029653906815
NM_001199025	0.0	31.826	7.375	6.99	Pla2g6	0.0008227972876049992	-0.007093550786075588
NM_175251	0.0	28.748	10.184	10.568	Arid2	0.001231562353671248	-0.005741290634197775
NM_008095	0.0	0.0	12.715	15.411	Gbas	0.0017669273842823357	0.0024118367835498076
NM_133761	0.0	7.809	25.116	21.608	Dcp1a	0.0028158331177579087	0.0016275099387228979
NM_021506	0.0	20.066	30.177	14.995	Sh3rf1	0.002544204383254479	-0.002194849009856051
NM_008698	0.195	0.0	10.181000000000001	8.263	Nipsnap1	0.0010862749452576535	0.0014362233747348251
NM_026529	0.0	0.0	4.137	10.03	2700062C07Rik	0.0009499776573133053	0.0014167653902886464
NM_001310543	0.067	58.82899999999999	35.967	37.275	Scrib	0.004413380897331698	-0.009211397604956874
NM_009515	0.0	46.816	30.252	38.595	Was	0.004265289690818359	-0.006149845994673059
NM_011673	0.098	44.104	32.333	28.885	Ugcg	0.0036326547878920783	-0.0065843213794617795
NR_002321	0.0	6.327999999999999	24.359	20.811999999999998	Tug1	0.002722345329029938	0.0018829943114915403
NM_133737	0.0	15.699000000000002	2.697	2.846	Lancl2	0.00031537622554441347	-0.0036097083836537005
NM_175273	0.0	18.577	12.370999999999999	7.954	Fam219b	0.0011597841822165915	-0.0033542949204781887
NM_023824	0.0	10.869000000000002	1.521	2.991	Paqr4	0.0002779351214466992	-0.0023833241780739835
NM_010192	0.0	24.151	16.177	17.754	Fem1a	0.0020666993276475727	-0.0034231072044598044
NM_145377	0.0	0.019	18.176	14.835	Trim41	0.001987739832339613	0.0025361520793775075
NM_001271511	0.0	8.911	45.992	55.501000000000005	D17Wsu92e	0.006357301082655492	0.006384302565147803
NM_013771	0.08	67.308	32.118	28.894000000000002	Yme1l1	0.003584048103468789	-0.012605600669703022
NM_023739	0.16	1.791	29.659000000000002	28.151	Nfx1	0.0035159120335157223	0.00419468416791488
NM_001159941	0.11699999999999999	34.423	21.714000000000002	35.83	Kctd10	0.003653638089158869	-0.003591211246005685
NM_175482	0.0	11.960999999999999	2.804	4.857	Usp28	0.0004775467490949764	-0.0023837395112734448
NR_030669	0.0	10.121	0.9259999999999999	1.6569999999999998	1700034H15Rik	0.0001507472942590378	-0.002379584605147991
NM_026574	0.0	36.399	33.433	29.91	Ino80	0.0037879949545139863	-0.004427374620189646
NM_145605	0.0	0.0	45.315	45.341	Klhdc4	0.005580590336565095	0.007388088889291586
NM_001040683	0.221	60.776	49.341	31.37	Med15	0.004596011088698954	-0.009950933939832141
NM_021511	1.24	28.154	113.105	78.329	Rrs1	0.01112330018423569	0.006874013403031752
NM_007457	0.0	0.0	24.44	30.678	Ap1s1	0.0034752416724062513	0.004768941125067397
NM_013486	0.0	0.028999999999999998	62.38	122.766	Cd2	0.012195107429282648	0.01776752871603959
NM_015816	0.0	0.0	48.053999999999995	93.171	Lsm4	0.009289693750593861	0.013516349946357779
NM_010120	0.0	21.468000000000004	70.725	41.983999999999995	Eif1a	0.00651956860635503	0.002341247053724557
NM_011563	0.0	62.003	31.44	43.839	Prdx2	0.004687967908584194	-0.00938047902590345
NR_110958	0.0	0.0	11.315999999999999	10.459000000000001	Zfp428	0.001329005325640899	0.0017361351559135045
NM_023162	0.0	0.0	43.486999999999995	38.308	Znrd1	0.00496631812893766	0.006434306989825322
NM_001177674	0.0	16.111	12.376	22.291999999999998	Gpr68	0.0022365881668092403	-0.0009083829043142114
NM_133852	0.0	51.86	13.22	22.252	Golga2	0.00221110673629722	-0.010145692038752322
NM_133655	0.48	33.088	28.7	29.34	Cd81	0.0034642521876620917	-0.003769996646017463
NM_016665	0.0	0.16	0.0	24.271	Stra13	0.0018147049622718268	0.0030169178175923237
NM_026176	0.0	0.0	12.065	11.267000000000001	Pdcl	0.0014256253606969025	0.0018656313914718675
NM_020332	129.64	0.0	4.938	5.864	Ank	-0.01505311179430176	0.013387442637667302
NR_105786	0.0	0.0	0.0	67.30199999999999	Mir6367	0.005032851316789958	0.008480694822542304
NM_176987	0.0	42.047	12.735	8.834	Simc1	0.001201637983202456	-0.009311618395997123
NM_016963	63.688	13.514000000000001	19.477	21.33	Tmod3	-0.005215354398573347	0.0060299362127843505
NM_057172	80.365	20.195	29.749000000000002	34.902	Fubp1	-0.005739393892422948	0.007992182968734152
NM_001142732	0.0	28.3	40.824	43.368	Ttll3	0.005165914280534232	-0.00035973811022410975
NM_008452	329.077	182.605	98.39	93.56	Klf2	-0.028501369745380378	-0.00024824713385626553
NR_024139	0.0	0.044000000000000004	17.198	11.51	Prmt6	0.001691786873688545	0.0020745486088432027
NM_009072	40.375	14.654000000000002	18.992	12.799000000000001	Rock2	-0.003050006348073303	0.00239987143328024
NM_029649	0.0	37.676	5.242000000000001	4.934	Tmem101	0.0005556106113056853	-0.008947336257720252
NM_028868	0.0	118.535	69.389	63.888000000000005	Cxxc1	0.007921168271858865	-0.020100501598110564
NM_010234	0.0	1.911	17.105	6.527	Fos	0.0013113582861021197	0.0009594196453281818
NM_180599	0.075	0.027999999999999997	18.223	8.557	Mfap3	0.0015114254012215673	0.0017516808651261168
NM_001304830	278.681	0.0	5.266	7.274	Maff	-0.033016166211133804	0.027908846124679934
NM_010027	0.0	0.0	104.37100000000001	65.752	Ddt	0.009960987996972275	0.012142580758000423
NM_025962	0.0	0.0	10.175	10.725	Mmachc	0.0012937545427022159	0.0017274861783411928
NM_145828	0.0	2.998	17.184	7.787999999999999	Xylt2	0.0014075498343785245	0.0008395683725580514
NM_033568	0.0	0.0	7.291	20.886	Snf8	0.001914217226543801	0.0029012862997505715
NM_019913	0.0	99.363	159.60299999999998	179.239	Txn2	0.02094093138637736	0.0027367766244080507
NM_133932	0.0	1.675	9.632	23.365	Tada3	0.0022097681662998146	0.0028661450556199904
NM_030685	238.361	90.088	77.372	85.74799999999999	Serp1	-0.01893024340181097	0.013240936264700874
NM_153516	0.0	25.605	15.468	15.517000000000001	Bcl2l13	0.0018625779127670427	-0.004107960594905163
NM_025596	0.335	89.50299999999999	96.271	149.34799999999998	Prelid1	0.015621772411173502	-0.0007831265001897471
NM_009637	0.0	109.63	58.305	67.875	Aebp2	0.0076994112838156175	-0.017700220580961292
NM_007838	0.0	56.886	82.523	80.888	Ddost	0.009936295235138644	-0.0014981527768870514
NM_009727	57.255	0.0	2.371	3.284	Atp8a1	-0.006587047011665172	0.00600701337876716
NM_198167	0.0	18.495	28.121	22.324	Tmem63b	0.002995686215514111	-0.0009402224475685487
NM_026666	89.92399999999999	15.859000000000002	18.217	21.826999999999998	Ubn1	-0.00842665825529348	0.007961172517560084
NM_031257	0.073	33.505	11.819	18.436	Plekha2	0.0018816706300357712	-0.005915061489869357
NM_010422	0.192	58.97	3.4589999999999996	4.031000000000001	Hexb	0.0003409259818689309	-0.014626362126791225
NM_080556	0.0	50.568999999999996	42.54	34.753	Tm9sf2	0.004565196280151364	-0.00715234776503322
NM_026479	0.0	9.301	3.042	17.144000000000002	Zcchc10	0.001412580548856407	-0.0001373919365197018
NM_175268	134.577	38.369	19.508	27.127	Fam53b	-0.013425885407476055	0.007137610326299757
NM_001077184	541.48	80.766	95.75299999999999	143.107	Bsg	-0.05051598401892778	0.05271114989315421
NM_001098723	0.0	27.175	0.064	2.55	Yy2	0.00014567998307392864	-0.006718032694190483
NM_008358	0.0	0.061	9.627	19.532	Il15ra	0.001925751276104639	0.0028011934359986447
NM_025626	578.826	178.94299999999998	102.65299999999999	102.14200000000001	Fam107b	-0.05795116171940797	0.02595520050331462
NM_001033634	0.034	16.955	8.798	9.732000000000001	Zyg11b	0.0011188127387980877	-0.0028387258137709246
NR_037773	0.0	0.0	10.04	6.291	Tmem41a	0.0009556552262734623	0.001163770682363108
NM_001136066	0.0	0.272	21.415	41.556000000000004	Hmox2	0.0041420259796726994	0.0059573972055206505
NM_027445	0.0	59.675	48.727	58.549	Rnf167	0.0066275510096896395	-0.006284766177645206
NM_133697	0.0	0.0	7.847	13.030999999999999	Smim14	0.0013536898114462992	0.001932029162111058
NM_146057	0.0	0.0	2.16	11.735999999999999	Dap	0.0009820079989317967	0.0015586744214434668
NM_010818	0.0	0.115	83.648	92.572	Cd200	0.010964885155133912	0.014726505242460526
NM_009532	0.0	15.73	22.29	23.328000000000003	Xrcc1	0.0027938589602175315	-0.00031272231925950764
NM_001253905	0.045	43.868	34.763000000000005	30.304000000000002	Ncor2	0.0038630535679779567	-0.006259652122565527
NM_173048	0.0	0.22899999999999998	24.889	22.916999999999998	Gga3	0.0029161671363328564	0.003748234897156362
NM_139149	0.198	21.639	76.186	73.051	Fus	0.009082354250971293	0.006432535027972221
NM_153176	0.0	58.586000000000006	18.635	20.807	Spg7	0.002352840153673461	-0.011870530521745784
NM_011277	0.0	0.111	25.855	21.807	Rnf2	0.0028800549661003685	0.0036746411543842816
NM_001082484	0.066	0.0	19.268	16.349	Snx27	0.0021457564662201003	0.002778557041360092
NM_025609	0.0	9.719	11.654000000000002	9.141	Tab1	0.0012295764673251987	-0.00093589010867135
NM_025963	0.0	123.70299999999999	121.34100000000001	181.83700000000002	Rps10	0.019242998572004743	-0.00465698810994877
NM_001104616	2.187	64.449	46.628	45.79600000000001	Rdx	0.005298622875260927	-0.008996101416235514
NM_030245	0.0	18.998	9.958	12.755999999999998	Tada1	0.0014015175256482317	-0.0029474650416209097
NM_016688	65.117	0.21899999999999997	15.638	16.711	Pdcd7	-0.005896153785583885	0.008888499620422081
NM_133993	0.141	18.69	32.148	32.5	Pwp1	0.003933811850295491	0.00045390412480656
NM_001290440	0.0	0.184	13.683	8.297	Zscan22	0.0012813974897495203	0.0015034998535134703
NM_027257	250.09099999999998	0.0	24.484	30.592	Nabp2	-0.026874620042513397	0.028808188453095913
NM_020497	0.0	21.185	9.586	9.003	Zfp276	0.0010990185265833728	-0.004000833162323893
NM_170669	0.0	15.749	37.544000000000004	62.032	Rps15a	0.006425310830774946	0.005123164458888251
NM_145505	0.0	16.817	12.71	8.571	Fam160b1	0.001225422084375182	-0.002807958702862501
NM_145832	0.0	21.21	18.538	21.379	Slc35c1	0.0024570855943452795	-0.0021169813022563037
NM_175028	0.0	11.843	16.976	14.245	Adnp2	0.001864696324525572	-0.0006464356893123426
NM_145517	0.0	0.018000000000000002	16.507	9.902000000000001	Ormdl1	0.0015381917951924132	0.0018531254673282438
