Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d Tcell-CD69neg-K99A10-22h-ES Tcell-CD69neg-nopept-22h-ES Tcell-CD69neg-PCC01-22h-ES Tcell-CD69neg-PCC1-22h-ES Tcell-CD69pos-K99A100-22h-ES Tcell-CD69pos-K99A10-22h-ES Tcell-CD69pos-PCC01-22h-ES Tcell-CD69pos-PCC1-22h-ES -rpkm -condenseGenes)	Tcell-CD69pos-K99A10-22h-ES FPKM	Tcell-CD69pos-K99A100-22h-ES FPKM	Tcell-CD69pos-PCC01-22h-ES FPKM	Tcell-CD69pos-PCC1-22h-ES FPKM	gene_name
NM_007590	0.165	27.07	47.013999999999996	80.641	Calm3
NM_001160222	0.124	109.24700000000001	74.719	64.706	Pum2
NM_010480	0.0	37.562	66.63	68.145	Hsp90aa1
NM_001166389	0.0	19.174	64.817	68.953	Ptp4a3
NM_013768	0.138	28.34	77.645	61.119	Prmt5
NM_012060	5.267	0.244	60.846000000000004	79.744	Bcap31
NM_020615	0.314	54.21	53.621	77.847	Atp5c1
NM_145431	0.0	14.527000000000001	78.95	60.068000000000005	Nle1
NM_030743	0.0	10.74	68.28	66.905	Rnf114
NM_016721	0.099	65.59	60.22	73.596	Iqgap1
NM_026578	0.0	0.0	68.008	67.021	Gar1
NM_013676	3.7489999999999997	74.39	70.45100000000001	73.334	Supt5
NM_010256	0.0	26.791	64.35	70.184	Gart
NM_020569	0.0	0.038	67.59100000000001	67.557	Park7
NM_008303	0.0	0.044000000000000004	48.343999999999994	80.013	Hspe1
NM_026776	0.331	19.459	63.458	72.122	Vps25
NM_001252467	0.0	66.10300000000001	78.16199999999999	63.413000000000004	Ranbp3
NM_028864	0.214	52.047	66.414	71.03	Zc3hav1
NM_025616	0.0	40.607	76.045	64.542	Timm50
NM_009408	0.0	22.025	78.107	62.858000000000004	Top1
NM_178246	0.16399999999999998	0.03	71.533	66.91	Smg5
NM_008323	0.0	37.635	60.131	74.954	Idh3g
NM_026919	0.0	124.93299999999999	75.11399999999999	67.725	Tmem258
NM_026977	0.0	149.082	65.055	74.846	Cnppd1
NM_138748	0.0	20.603	63.568999999999996	73.044	Ppp2r4
NM_198613	0.0	0.551	41.123000000000005	87.1	Ap2s1
NR_106199	0.0	0.0	44.952	84.618	Mir8119
NM_011543	0.251	57.718999999999994	81.152	63.115	Skp1a
NM_021433	0.29600000000000004	11.597000000000001	76.044	65.60300000000001	Stx6
NM_001285489	0.0	29.853	71.814	68.291	Nap1l4
NM_019575	0.0	41.088	64.449	73.376	Scamp4
NR_027505	0.0	37.124	84.266	61.229	Rnf126
NM_001271730	0.327	45.397	71.82600000000001	70.02199999999999	Xbp1
NM_007725	0.0	49.325	55.04	80.48100000000001	Cnn2
NM_011293	0.0	2.544	69.403	70.163	Polr2j
NM_145968	2.365	54.173	81.437	67.469	Tagap
NM_033526	0.10800000000000001	62.942	73.173	69.565	Ubqln4
NM_008947	0.0	15.995999999999999	57.464	78.47399999999999	Psmc1
NM_053102	0.0	17.458	66.71	72.57300000000001	Sep15
NM_134150	0.217	49.676	83.17399999999999	63.143	Otub1
NM_013536	0.349	92.125	48.013000000000005	87.12	Emg1
NM_026591	0.0	11.795	66.846	72.568	Mrpl24
NM_017406	0.0	80.315	78.738	66.583	Atf6b
NM_001123038	0.0	27.02	83.65799999999999	62.375	Eif4a2
NM_133801	0.0	31.743000000000002	57.544	79.372	Gtf2f1
NM_134137	0.192	77.27	73.23100000000001	70.661	Lars
NM_001098837	0.099	94.57799999999999	73.929	70.563	Atxn7l3
NM_010431	1.604	32.161	61.667	79.609	Hif1a
NM_029083	0.0	69.52	43.309	89.84700000000001	Ddit4
NM_001025571	0.0	29.451999999999998	89.27799999999999	59.544	Sh2d2a
NM_025507	0.0	128.04	82.867	66.043	Snw1
NM_011843	0.0	60.958999999999996	56.556000000000004	81.59899999999999	Esyt1
NM_001282737	0.0	78.71600000000001	65.324	76.42399999999999	Magoh
NM_026395	0.0	37.243	77.096	67.87899999999999	Rer1
NM_011267	0.467	60.122	86.751	62.958	Rgs16
NM_001252593	0.12300000000000001	75.036	76.381	69.67	Cars
NM_028767	0.091	73.303	68.355	75.065	Foxp4
NM_145359	0.262	112.90799999999999	81.336	68.07600000000001	Ubald1
NM_138659	78.186	117.348	164.0	141.34	Prpf8
NM_001286753	0.0	66.993	91.28200000000001	60.333999999999996	Cd27
NM_023910	0.0	23.625	64.748	76.528	Tsc22d4
NM_001253700	0.384	0.675	72.99600000000001	71.527	Elp5
NM_001077698	0.0	91.834	62.29	80.046	Fmnl1
NM_080633	0.0	98.682	71.098	74.54	Aco2
NM_134139	0.0	57.998999999999995	78.683	68.678	Wdr74
NM_009169	0.0	0.0	46.083	88.604	Shfm1
NM_008300	0.0	70.702	76.036	70.95	Hspa4
NM_011512	0.0	69.637	63.777	78.848	Surf4
NR_015608	0.35	132.93200000000002	71.44800000000001	76.149	1810058I24Rik
NM_172297	0.0	73.069	79.89399999999999	68.732	Ccdc9
NM_013481	0.0	19.180999999999997	79.281	67.877	Bop1
NM_138606	0.17800000000000002	75.79	43.761	92.575	Pim2
NM_026444	0.129	51.96	64.528	78.741	Cs
NM_001081379	4.162	91.791	79.0	77.032	Ankrd11
NM_001146174	2.221	12.357999999999999	70.145	77.817	Rangap1
NM_027209	0.0	23.320999999999998	65.902	77.251	Ms4a6b
NM_012021	0.0	0.0	61.59	79.58800000000001	Prdx5
NM_021420	0.98	83.74700000000001	61.871	83.056	Stk4
NM_016676	0.10300000000000001	88.495	77.868	71.65100000000001	Rab10
NM_001128606	0.424	95.48299999999999	62.105	82.53299999999999	Epb41
NM_145354	0.255	59.056000000000004	80.146	69.851	Nsun2
NM_013854	14.491	100.286	92.721	85.98700000000001	Abcf1
NM_007913	0.0	24.603	116.561	45.391999999999996	Egr1
NM_024267	0.10099999999999999	67.262	86.846	65.89399999999999	Ipo4
NM_001290552	0.5770000000000001	0.0	42.489	93.755	Swi5
NM_001159513	0.0	27.336	57.603	83.94200000000001	H2afy
NM_001164052	0.314	126.19	63.065	83.399	Pik3cd
NM_028041	0.0	43.946999999999996	79.807	70.222	Ddx54
NM_144866	1.6680000000000001	34.495	75.085	75.939	Etf1
NM_027000	0.142	86.544	87.39	66.898	Gtpbp4
NM_019639	0.0	108.71600000000001	72.518	76.90100000000001	Ubc
NM_010183	0.0	117.19200000000001	56.766000000000005	87.406	Fbrs
NM_139149	0.198	21.639	76.186	73.051	Fus
NM_153419	0.38299999999999995	85.93	77.502	74.053	Grwd1
NM_133693	0.0	144.076	68.771	80.54899999999999	Rbm42
NM_001199114	0.0	31.435	83.4	68.544	Slc29a1
NM_009790	0.08800000000000001	37.116	64.311	81.17	Calm1
NM_018862	0.0	17.417	66.577	79.12	Agpat1
NM_001001806	1.4369999999999998	171.045	72.278	81.411	Zfp36l2
NM_010613	52.443999999999996	83.338	145.872	115.126	Khsrp
NM_138306	0.0	72.63600000000001	70.347	78.61399999999999	Dgkz
NM_144918	0.0	61.93600000000001	83.26700000000001	70.258	Smyd5
NM_009443	1.516	70.179	87.68799999999999	70.13600000000001	Tgoln1
NM_026055	0.0	132.957	60.007	87.669	Rpl39
NM_001163591	0.0	67.175	89.757	66.96300000000001	Stx11
NM_007517	0.222	74.475	61.397	86.14299999999999	Aup1
NM_011970	0.0	49.32	53.961999999999996	90.025	Psmb2
NM_008944	0.0	95.47399999999999	43.81399999999999	97.721	Psma2
NM_019642	0.0	17.456	65.583	82.0	Rpn2
NM_001165984	7.421	16.368	83.62	82.415	Ubap2l
NM_001113248	8.726	0.937	58.369	100.51100000000001	Sin3b
NM_001277311	0.0	0.0	53.246	89.648	Mea1
NM_015816	0.0	0.0	48.053999999999995	93.171	Lsm4
NM_138585	0.0	61.79600000000001	77.503	75.825	Cherp
NR_105846	0.0	0.0	85.059	69.527	Mir6418
NM_026404	0.0	50.854	88.04299999999999	69.189	Slc35a4
NM_134149	0.0	41.284	80.555	74.047	AI837181
NM_001310746	0.0	88.337	70.363	81.892	Ubl5
NM_011530	0.0	25.881	39.626	100.545	Tap2
NM_001109995	0.877	43.035	79.07	76.916	Eftud2
NM_175103	0.0	117.76799999999999	40.047	102.76899999999999	Bola2
NR_030484	0.0	6.52	141.57399999999998	34.647	Mir703
NM_001003908	0.17800000000000002	31.787	80.814	74.942	Cltc
NM_011187	0.0	0.035	65.137	84.37	Psmb7
NM_021538	0.0	0.821	69.22	81.986	Cope
NM_025397	0.0	1.024	74.21600000000001	78.816	Med11
NM_033074	0.0	23.107	78.335	77.188	Tars
NM_001276403	0.0	135.27200000000002	75.485	81.91	Lef1
NM_011188	0.0	66.59100000000001	69.329	84.34700000000001	Psmc2
NM_023142	0.0	0.044000000000000004	50.852	94.84700000000001	Arpc1b
NM_028071	0.0	80.268	75.551	81.063	Cotl1
NM_012003	0.0	39.137	98.682	65.234	Cops7a
NM_011710	0.0	32.616	66.402	85.99799999999999	Wars
NM_030225	0.132	20.461	97.663	65.8	Dlst
NM_013933	0.0	119.73200000000001	97.65299999999999	68.10300000000001	Vapa
NM_008248	0.0	81.688	71.822	83.977	Hint1
NM_026453	0.0	32.696	90.29	71.11399999999999	Mak16
NM_016690	3.0410000000000004	48.891000000000005	86.68299999999999	78.771	Hnrnpdl
NM_022331	2.92	66.578	82.875	81.693	Herpud1
NM_027231	0.0	0.0	77.44	79.07	Polr2f
NM_175092	0.0	78.619	101.171	65.84100000000001	Rhof
NM_012032	0.0	140.72299999999998	73.67699999999999	85.149	Serinc3
NM_026780	0.28600000000000003	0.0	72.896	82.835	Syf2
NM_001199271	0.0	48.104	105.677	62.43600000000001	Slc19a1
NM_013730	0.0	0.0	115.38799999999999	55.16	Slamf1
NM_001253757	0.113	60.483999999999995	81.10600000000001	79.025	Anp32e
NM_008704	0.0	0.218	57.701	92.58200000000001	Nme1
NM_148952	0.0	1.117	72.381	83.322	E2f4
NM_001164040	0.0	157.267	89.979	76.053	Ly6e
NM_013562	0.201	118.945	87.191	77.362	Ifrd1
NM_008551	0.0	49.067	75.444	83.074	Mapkapk2
NM_175102	0.0	0.0	55.851000000000006	94.625	Sf3b5
NM_023172	0.562	14.713	82.98700000000001	78.457	Ndufb9
NM_026638	0.0	39.904	82.18700000000001	78.67399999999999	Cdipt
NM_008408	0.0	105.60799999999999	78.858	82.514	Stt3a
NM_015751	0.096	63.865	86.73200000000001	76.76	Abce1
NM_178598	0.263	3.39	59.018	93.665	Tagln2
NM_022891	0.34299999999999997	2.988	52.692	97.95100000000001	Rpl23
NM_010735	0.0	21.21	72.583	85.039	Lta
NM_153065	0.0	78.212	90.02600000000001	75.313	Ddx27
NM_001163571	0.163	46.071000000000005	83.14299999999999	79.392	Senp3
NM_001177649	3.611	84.37700000000001	109.83	68.891	Fnbp1
NM_001080386	7.47	0.0	68.083	100.322	Clta
NM_010028	26.901	62.328	117.947	101.27	Ddx3x
NR_103516	0.0	74.21	70.56	88.70299999999999	Ndufa7
NM_007838	0.0	56.886	82.523	80.888	Ddost
NM_001083921	0.0	6.585	71.108	87.12100000000001	Rbck1
NM_019817	0.0	63.758	86.272	78.86	Copz1
NM_010027	0.0	0.0	104.37100000000001	65.752	Ddt
NM_172400	5.247000000000001	0.389	91.064	83.009	Dnajc8
NM_001290818	0.21600000000000003	71.441	74.857	87.17200000000001	Adrbk1
NM_153423	2.577	72.296	77.446	89.414	Wasf2
NM_199322	2.175	51.726000000000006	93.038	78.258	Dot1l
NM_001205386	0.14300000000000002	25.730999999999998	68.328	90.62299999999999	Actr3
NM_009672	3.478	11.155999999999999	59.857	101.419	Anp32a
NM_019925	0.0	92.979	91.619	77.20100000000001	Gpr132
NM_026851	13.418	23.514	100.411	91.89	Mrpl52
NM_146047	0.154	33.078	88.118	78.667	Clptm1l
NM_001270537	0.184	0.529	78.792	84.01899999999999	Bin2
NM_001001493	0.0	0.048	66.488	91.87799999999999	Wdr83os
NM_001029855	0.462	66.124	55.701	101.32700000000001	Psme2
NM_026017	1.807	51.343999999999994	73.601	92.11399999999999	Ctdnep1
NM_001253713	0.16	89.18299999999999	94.902	76.964	Mbnl1
NM_025843	0.0	0.0	64.29899999999999	94.439	Ndufb7
NM_007841	1.7530000000000001	141.662	89.506	84.67200000000001	Ddx6
NM_026242	0.223	73.747	89.382	80.876	Mrfap1
NM_008928	0.0	0.047	107.428	67.557	Map2k3
NM_009444	0.0	45.667	80.798	85.89299999999999	Tgoln2
NM_016742	0.0	64.817	85.649	83.484	Cdc37
NM_177214	0.054000000000000006	34.239000000000004	89.37899999999999	80.442	Snrnp200
NM_026542	0.0	36.271	81.806	85.304	Slc25a39
NM_009831	0.0	73.367	75.865	90.191	Ccng1
NM_001306143	0.0	47.681999999999995	65.84899999999999	96.074	Mbd3
NM_024225	0.0	82.875	77.127	89.823	Snx5
NM_013502	0.0	16.31	80.182	86.287	Ctbp1
NM_011499	0.0	58.287	93.77600000000001	78.611	Strap
NM_009259	0.0	5.235	89.76700000000001	79.99	Spn
NM_019547	28.278000000000002	65.244	113.01	112.395	Rbm38
NM_138597	0.0	34.236	69.91199999999999	94.245	Atp5o
NM_024456	0.18899999999999997	62.911	75.445	91.65799999999999	Rab5c
NM_016852	0.0	170.706	77.76	92.625	Wbp2
NM_011715	0.0	75.023	79.211	89.455	Wdr1
NM_007747	0.0	241.238	84.031	90.473	Cox5a
NM_021519	0.0	0.10099999999999999	51.942	106.023	Edf1
NM_010223	0.429	49.306999999999995	84.505	87.681	Fkbp8
NM_011034	0.0	120.61200000000001	81.477	90.65	Prdx1
NM_027959	0.0	46.993	92.73700000000001	81.679	Pdia6
NM_153580	0.0	45.875	77.42	92.088	Ino80e
NM_001146124	0.284	83.719	74.14399999999999	95.62	Psap
NM_133976	0.0	107.37100000000001	109.015	73.704	Imp3
NM_145569	0.0	57.268	85.13600000000001	87.995	Mat2a
NM_053092	0.0	76.445	75.42	94.77799999999999	Kars
NM_010880	80.098	112.12899999999999	165.35	167.52200000000002	Ncl
NM_001164560	0.17600000000000002	1.641	96.792	79.83800000000001	Trmt1
NM_010684	0.32299999999999995	71.533	78.649	93.615	Lamp1
NM_020619	0.0	49.013000000000005	89.679	86.708	Mogs
NM_001285430	0.64	91.54700000000001	70.351	101.359	Eef1d
NM_134151	0.0	56.955	94.821	83.885	Yars
NM_001302216	0.0	0.0	79.411	93.135	Atp5j
NM_020582	0.0	0.0	72.908	97.771	Atp5j2
NM_138669	0.25	18.213	85.176	90.895	Eif4a3
NM_025641	0.0	57.75	63.422	105.801	Uqcrh
NM_001159375	0.0	84.211	85.889	91.929	Eif4a1
NM_009084	0.622	0.0	38.324	121.788	Rpl37a
NM_028800	0.0	96.615	94.555	86.976	Stk40
NM_001122892	0.316	16.508	92.709	87.182	Fyn
NR_027943	0.0	106.65799999999999	105.03	80.98899999999999	1110038B12Rik
NM_026388	0.0	57.967	80.365	95.89399999999999	Tprgl
NM_010724	5.069	0.0	49.055	122.993	Psmb8
NM_010818	0.0	0.115	83.648	92.572	Cd200
NM_001146309	0.0	0.243	75.661	97.992	Dbnl
NM_197991	0.39299999999999996	47.736999999999995	92.464	88.962	Emc10
NM_025356	0.0	93.95299999999999	92.186	90.23700000000001	Ube2d3
NM_010696	0.109	43.20399999999999	97.506	85.838	Lcp2
NM_009403	6.0329999999999995	127.943	91.818	101.509	Tnfsf8
NM_007806	0.0	42.15	53.843999999999994	114.40700000000001	Cyba
NM_021511	1.24	28.154	113.105	78.329	Rrs1
NM_010477	0.0	48.91	86.314	94.12799999999999	Hspd1
NM_001310731	0.0	20.066	108.18	79.335	Rnf220
NM_001085473	0.155	39.719	86.485	94.28200000000001	Acin1
NM_139311	49.378	125.447	133.94	145.611	Mllt6
NM_029362	37.384	0.0	114.675	135.736	Chmp4b
NM_001177606	0.0	19.133	92.921	89.99	0610010K14Rik
NM_001007571	0.0	3.3739999999999997	71.881	103.311	D8Ertd738e
NM_020255	0.0	0.0	71.257	103.736	Scand1
NM_009007	0.0	8.32	87.477	93.48700000000001	Rac1
NM_175093	0.0	70.13	91.63799999999999	92.32	Trib3
NM_025433	0.0	37.819	97.052	88.458	Rpl7l1
NM_011842	3.071	56.153999999999996	92.928	96.54299999999999	Mta2
NM_053074	0.09699999999999999	67.943	101.814	87.03200000000001	Nup62
NM_030724	0.0	153.951	85.031	100.07700000000001	Uck2
NM_023429	0.0	39.232	88.991	94.852	Ociad1
NR_035446	0.0	0.0	140.05700000000002	61.232	Mir1893
NM_197979	0.0	0.0	72.81	104.96799999999999	Uqcr10
NM_009898	81.657	183.023	118.086	212.639	Coro1a
NM_001033268	0.14800000000000002	68.297	98.194	90.58	Fam120a
NM_025381	0.574	83.11399999999999	96.344	93.006	Atp6v1f
NM_029789	0.18100000000000002	98.339	82.715	101.915	Cers2
NM_183358	0.209	66.367	98.479	91.064	Gadd45gip1
NM_008014	0.168	14.002	90.67200000000001	94.928	Ppm1g
NM_009391	0.0	23.954	80.268	101.95	Ran
NM_001164793	0.16699999999999998	51.924	100.902	89.772	Polr2m
NR_029468	0.0	0.0	125.069	73.002	Snhg12
NM_001160017	0.235	136.745	84.991	103.01899999999999	Gnb1
NM_025396	0.0	0.0	84.21	100.088	Pgls
NM_009318	0.0	25.924	59.574	116.788	Tapbp
NM_009698	0.0	116.837	72.96	110.322	Aprt
NM_025310	1.275	35.35	107.431	88.736	Ftsj3
NM_025403	0.0	77.39	92.881	97.12100000000001	Nop10
NM_010925	0.0	32.607	91.234	97.139	Rrp1
NM_001168230	0.21100000000000002	97.67299999999999	91.348	99.031	Morf4l2
NM_028451	50.821000000000005	77.02199999999999	142.97899999999998	147.447	Larp1
NM_027044	0.0	1.101	98.67399999999999	91.874	Pfdn5
NM_026211	0.0	68.69	89.726	99.56299999999999	Tmed9
NM_010444	424.25699999999995	481.144	782.0219999999999	350.68	Nr4a1
NM_009388	0.0	1.6909999999999998	98.565	92.666	Tkt
NM_021714	3.7460000000000004	68.811	99.948	99.762	Wbp11
NM_031247	0.16899999999999998	51.6	88.81	100.91799999999999	Gimap3
NM_008761	0.0	4.526	71.32300000000001	111.834	Fxyd5
NM_146087	11.587	44.458999999999996	106.541	109.398	Csnk1a1
NM_008388	0.237	5.053999999999999	100.37700000000001	94.104	Eif3e
NM_026064	0.0	36.369	93.02600000000001	99.22	Myl12a
NM_008654	0.0	29.038	84.329	104.677	Ppp1r15a
NM_019749	23.373	41.405	86.415	142.741	Gabarap
NM_008948	0.0	22.9	80.918	108.037	Psmc3
NM_025983	0.0	0.0	80.653	107.682	Atp5e
NM_145571	0.0	101.78399999999999	93.14	102.04700000000001	Mob1a
NM_001163485	0.0	52.32899999999999	61.025	121.67399999999999	Rpl30
NM_001293651	0.0	42.943000000000005	97.87	98.00200000000001	Prkcsh
NM_001081635	0.0	11.616	110.875	89.314	Ccnd3
NM_025824	0.257	82.48100000000001	114.18700000000001	89.274	Bzw1
NM_025589	0.0	0.0	91.024	102.071	Rpl36al
NM_021473	0.0	66.563	69.26100000000001	117.853	Akr1a1
NM_028732	2.247	39.723	131.859	80.568	Vsir
NM_001285518	0.0	102.512	80.743	111.605	Nr1h2
NM_001077709	0.0	50.602	95.90100000000001	101.01799999999999	Slc39a7
NM_010817	0.0	91.008	85.398	108.92399999999999	Psmd7
NM_010792	0.0	48.028999999999996	126.06700000000001	82.01100000000001	Mettl1
NM_008433	0.187	10.659	64.07	121.729	Kcnn4
NM_010312	0.46299999999999997	0.0	92.632	103.522	Gnb2
NM_010886	0.745	124.677	73.959	119.10600000000001	Ndufa4
NM_146116	0.0	108.10799999999999	91.65100000000001	106.072	Tubb4b
NM_013486	0.0	0.028999999999999998	62.38	122.766	Cd2
NM_021895	0.287	65.365	100.62	100.291	Actn4
NM_016898	5.263999999999999	112.242	116.75399999999999	99.109	Cd164
NM_001301345	0.938	111.95700000000001	97.23899999999999	105.131	Hnrnpk
NM_027204	0.0	163.106	79.916	116.973	Mrpl12
NM_007952	0.276	61.129	91.04899999999999	107.92200000000001	Pdia3
NM_080456	1.402	136.16299999999998	127.721	87.834	Mrps6
NM_010260	0.0	0.0	27.73	147.326	Gbp2
NM_030259	0.0	0.0	82.82799999999999	112.199	Rilpl2
NR_028101	0.0	56.644	57.042	131.70600000000002	Gm12191
NM_133937	0.0	98.536	78.361	119.74600000000001	Brk1
NM_025546	0.198	1.339	115.596	93.76899999999999	Rsl1d1
NM_008400	0.14	69.658	82.09299999999999	117.311	Itgal
NM_021718	0.0	130.076	110.029	101.009	Ms4a4b
NM_025554	0.0	66.763	75.494	121.84700000000001	Polr2e
NM_008950	0.573	55.1	99.583	107.083	Psmc5
NM_001003949	0.0	187.19	112.772	101.07	Tmem259
NM_008390	0.0	0.0	34.299	147.423	Irf1
NM_001297607	0.179	33.019	109.92	99.63600000000001	Rad23a
NM_001161730	3.557	54.343	67.983	132.732	Tap1
NM_197982	1.101	49.341	120.85700000000001	95.12299999999999	Ddx39
NM_026631	0.0	33.297	92.337	111.427	Nhp2
NM_009896	0.0	18.105	96.73200000000001	108.352	Socs1
NM_010749	43.71	138.933	159.999	141.395	M6pr
NM_011756	0.0	94.656	122.51899999999999	94.00299999999999	Zfp36
NM_001109913	0.0	40.166	100.48700000000001	107.275	Hnrnpm
NM_001164600	0.0	48.806000000000004	107.325	104.264	Puf60
NM_001017968	0.128	160.996	130.592	93.494	Zdhhc18
NM_001310771	0.0	14.564	93.07799999999999	114.59700000000001	Bud31
NR_030428	0.0	0.0	27.814	157.00799999999998	Mir762
NM_001113566	0.21899999999999997	75.428	105.898	108.762	Serbp1
NM_018738	0.0	0.0	35.453	152.262	Igtp
NM_001003913	0.0	79.024	109.052	106.594	Mars
NM_010119	0.799	86.85700000000001	141.924	86.85799999999999	Ehd1
NM_153175	0.0	67.503	88.542	120.68	Gimap6
NM_010286	0.0	23.224	125.288	95.991	Tsc22d3
NM_001170341	13.177999999999999	40.075	93.999	138.13	Mlf2
NM_001302449	0.0	75.90899999999999	110.93799999999999	107.26899999999999	Rnf10
NR_003363	0.0	115.26700000000001	83.116	126.256	Gm6548
NM_021887	0.0	125.566	118.09700000000001	103.993	Il21r
NM_011803	26.068	152.86700000000002	118.33	147.144	Klf6
NM_177420	75.77600000000001	45.589	198.388	174.19	Psat1
NM_011874	0.255	116.079	107.272	112.29899999999999	Psmc4
NM_001313976	0.0	63.713	88.698	122.77799999999999	Prkar1a
NM_001040187	0.915	64.79899999999999	118.087	105.46799999999999	Ddx17
NM_008138	0.16699999999999998	204.136	91.758	125.896	Gnai2
NR_045036	0.14	37.599000000000004	101.708	115.883	Khdrbs1
NM_001190444	0.0	38.933	90.413	123.47200000000001	Aamp
NM_001042408	0.0	121.573	111.109	112.353	Txnl4a
NM_080635	0.0	23.814	85.822	126.95	Eif3h
NR_002875	17.584	34.945	109.66	140.865	Gm1821
NM_001253740	0.162	139.998	89.586	128.595	Tpm3
NM_008367	125.135	133.265	270.195	215.00400000000002	Il2ra
NM_009284	2.6830000000000003	86.079	116.734	115.072	Stat6
NM_001253807	0.231	53.394	103.20700000000001	120.009	Ywhaz
NR_104311	0.24	0.022000000000000002	125.214	104.566	Dhx15
NM_010545	0.0	67.535	66.484	144.188	Cd74
NM_001305442	0.0	12.300999999999998	155.91	85.42299999999999	Spry1
NM_009837	0.18600000000000003	7.635	119.56700000000001	109.311	Cct4
NM_001033225	0.0	95.675	116.36	113.23899999999999	Pnrc1
NM_001139512	0.247	76.146	111.287	116.572	Raly
NM_013716	0.136	18.128	111.15899999999999	115.516	G3bp1
NM_010499	0.239	65.807	139.33700000000002	99.39299999999999	Ier2
NM_033218	0.0	60.386	95.94200000000001	126.936	Srebf2
NM_008946	0.35200000000000004	38.001	95.775	128.224	Psmb6
NM_010579	0.244	44.92	94.80799999999999	128.907	Eif6
NM_134156	0.09699999999999999	95.337	109.39299999999999	120.58200000000001	Actn1
NM_001290457	0.0	167.93900000000002	137.668	104.289	Relb
NM_001283062	1.11	63.43899999999999	106.729	123.99799999999999	Ewsr1
NM_001204281	2.116	51.118	111.87899999999999	122.704	Hdac7
NM_001077509	0.344	138.813	109.314	124.30799999999999	Tnfrsf9
NM_026373	2.4019999999999997	0.889	126.979	113.07600000000001	Cdk2ap2
NM_010686	0.303	163.281	99.508	132.775	Laptm5
NM_009112	0.0	0.0	71.756	146.498	S100a10
