id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h	gene_name	pc1	pc2	kmeans
NM_007707	chr11	117966087	117969366	-	2720.0	1	Socs3|Cis3|Cish3|EF-10|Ef10|SSI-3|Ssi3|RP23-268N22.6|11 E2|11|protein-coding	21.062	19.796	29.817	18.53	59.872	Socs3	-0.0026409112205432656	0.0030279208696304305	0
NM_001199186	chr9	21320719	21355028	+	3433.0	1	Slc44a2|1110028E10Rik|CTL2|-|9 A3|9|protein-coding	23.768	24.268	38.111	22.522	76.262	Slc44a2	-0.003482277189708953	0.003166696935037037	0
NM_008225	chr16	36934983	36963214	+	2002.0	1	Hcls1|AW213261|HS1|-|16|16 B|protein-coding	82.874	206.75	249.685	84.316	153.213	Hcls1	-0.0034252996890113303	-0.08446188898273575	1
NM_007763	chr12	113152012	113153879	+	440.0	1	Crip1|CRHP|CRP1|Crip|-|12 F1|12 61.59 cM|protein-coding	55.147	73.245	72.968	52.142	121.494	Crip1	-0.004295777694225679	-0.001138925836407992	1
NM_008138	chr9	107614138	107635342	-	2166.0	1	Gnai2|C76432|Galphai2|Gia|Gnai-2|-|9 F1|9 58.43 cM|protein-coding	173.958	240.303	252.363	175.247	396.076	Gnai2	-0.01396077178975672	-0.009196021001211786	1
NM_023142	chr5	145114256	145128186	+	1539.0	1	Arpc1b|41kDa|AA408064|AA408534|AA571392|AF007010|AW208418|L72|SOP2Hs|p41-ARC|-|5 G2|5|protein-coding	110.883	126.798	142.33700000000005	113.908	221.982	Arpc1b	-0.007060536980835378	0.003788526276036538	1
NM_009898	chr7	126699774	126704816	-	1646.0	1	Coro1a|Clabp|Lmb3|TACO|p57|-|7 F3|7 69.25 cM|protein-coding	248.646	413.925	442.039	275.235	653.0269999999998	Coro1a	-0.024233772348095563	-0.04116042749406372	1
NM_001252201	chr1	39900913	40026310	+	5548.0	1	Map4k4|9430080K19Rik|AU043147|AU045934|AW046177|HGK|Nik|-|1 B|1|protein-coding	32.617	50.823	53.218	31.604	78.248	Map4k4	-0.0028668240780602393	-0.005212099360275584	1
NM_028773	chrX	48146527	48161563	+	2574.0	1	Sash3|1200013B08Rik|AW413946|SLY1|RP23-351G20.2|X A4|X|protein-coding	35.933	46.144	54.087	37.45	79.497	Sash3	-0.002720699615021067	-0.0017064387059970284	1
NM_146014	chr11	6546887	6596761	+	1863.0	1	Ccm2|BC029157|RP23-169J19.3|11 A1|11|protein-coding	43.213	57.127	60.877	38.865	89.10700000000001	Ccm2	-0.0030289543543750397	-0.00382833979972196	1
NM_010688	chr11	97799672	97838764	+	3424.0	1	Lasp1|AA408629|Def-4|SH3P6|Tg(Col1a1-lacZ)1Ngma|RP23-386E10.6|11 C-D|11 61.1 cM|protein-coding	34.43	51.221	58.87600000000001	32.564	84.676	Lasp1	-0.0032079427618857325	-0.005711799581181571	1
NM_010347	chr10	81559444	81566371	+	1461.0	1	Aes|AL024115|Esp1|Grg|Grg-5|Grg5|Tle5|-|10 C1|10 39.72 cM|protein-coding	110.033	149.254	190.891	112.249	272.581	Aes	-0.010244847237880429	-0.012590337539943756	1
NM_027935	chr4	134897849	134914916	-	1087.0	1	Tmem50a|3200001F09Rik|CAM|Smp1|RP23-79J18.2|4 D3|4 67.14 cM|protein-coding	102.052	110.429	146.515	105.565	207.131	Tmem50a	-0.006707449073432285	9.91419358792509e-05	1
NM_001290818	chr19	4285999	4306222	-	3356.0	1	Adrbk1|Adrbk-1|Bark-1|GRK2|beta ARK|betaARK1|-|19 A|19 3.98 cM|protein-coding	101.723	127.978	146.036	103.998	206.228	Adrbk1	-0.006554452631331542	-0.0052593234286391725	1
NM_008517	chr10	93453396	93484896	+	2045.0	1	Lta4h|-|-|10|10 C3|protein-coding	41.109	50.48	58.999	39.028	81.86	Lta4h	-0.0026575525519718568	-0.0028895035227389392	1
NM_153795	chr19	6998958	7019469	-	2570.0	1	Fermt3|C79673|Kindlin3|-|19 A|19|protein-coding	50.942	62.854	73.81	57.316	102.031	Fermt3	-0.003044100733292219	-0.0012601877460737257	1
NM_019821	chr5	114669500	114690935	-	1604.0	1	Gltp|1110001F24Rik|C76925|C77564|-|5 F|5|protein-coding	55.598	66.818	81.773	59.917	111.457	Gltp	-0.0034277061648294487	-0.002076111884604402	1
NM_010227	chrX	74223461	74246534	-	8299.0	1	Flna|ABP-280|Dilp2|F730004A14Rik|Fln1|GENA 379|filamin-1|RP23-436K3.1|X A7.3|X 37.89 cM|protein-coding	61.218	86.346	100.117	70.972	135.407	Flna	-0.004333972009350473	-0.005996686447172184	1
NM_010286	chrX	140539529	140543187	-	1968.0	1	Tsc22d3|DIP|Dsip1|Gilz|TSC-22R|Tilz3|RP23-440B21.1|X F1|X|protein-coding	89.97	98.276	147.615	63.21	199.048	Tsc22d3	-0.007928298342549966	-0.012810871219781514	1
NM_009846	chr10	43579169	43584265	+	1812.0	1	Cd24a|Cd24|HSA|Ly-52|nectadrin|-|10 B2|10 23.01 cM|protein-coding	41.191	83.617	69.158	42.67	92.985	Cd24a	-0.002979661144851627	-0.012922670937084569	1
NM_017375	chr19	18580364	18631813	-	1702.0	1	Ostf1|C78236|SH3P2|Sh3d3|-|19 B|19 13.17 cM|protein-coding	63.034	92.637	98.331	76.612	131.55700000000002	Ostf1	-0.0038024983162119655	-0.0057675905986963325	1
NM_009008	chr15	78559169	78572783	-	3027.0	1	Rac2|AI323801|AI452260|-|15 E1|15|protein-coding	91.583	134.186	182.297	90.224	238.941	Rac2	-0.00932481182339303	-0.02087047737048777	1
NM_001276403	chr3	131112791	131224357	+	2291.0	1	Lef1|3000002B05|AI451430|Lef-1|-|3 G3|3 60.78 cM|protein-coding	45.237	62.932	90.867	46.838	119.015	Lef1	-0.00462738550041419	-0.008866677586206696	1
NM_013487	chr9	44981786	44987052	+	1323.0	1	Cd3d|T3d|-|9 A5.2|9 24.84 cM|protein-coding	61.135	67.295	100.749	59.644	129.659	Cd3d	-0.004482999112859032	-0.0051982666678957404	1
NM_025284	chr6	72957347	72958483	-	560.0	1	Tmsb10|Ptmb10|Tb10|-|6 C1|6|protein-coding	137.77200000000002	209.137	255.109	162.715	324.2290000000001	Tmsb10	-0.010797727892520915	-0.024575073914878204	1
NM_012032	chr2	163623273	163645143	-	3682.0	1	Serinc3|AA959945|AA960047|AIGP1|DIFF33|TMS-1|Tde1|RP23-144O20.3|2 H3|2|protein-coding	128.05700000000002	161.536	202.052	115.593	256.18	Serinc3	-0.008500156237219648	-0.0185576827163888	1
NR_002847	chr19	5795690	5802671	-	6981.0	1	Malat1|2210401K01Rik|9430072K23Rik|AI647968|Neat2|-|19 A|19|ncRNA	67.46300000000001	72.293	120.706	90.359	151.766	Malat1	-0.004749418154018933	-0.00024155330244901888	1
NM_177876	chr5	124004641	124032260	-	2506.0	1	Vps37b|2300007F24Rik|AI415429|BC026744|-|5 F|5|protein-coding	47.577	102.111	97.482	44.93899999999999	122.544	Vps37b	-0.004519593254886179	-0.021703775497329183	1
NM_009850	chr9	44969572	44980431	-	1014.0	1	Cd3g|Ctg-3|Ctg3|T3g|-|9 A5.2|9 24.84 cM|protein-coding	61.415	75.275	122.335	63.28100000000001	151.121	Cd3g	-0.005692431349055458	-0.010721380539072687	1
NM_008494	chr5	140607341	140615545	+	2274.0	1	Lfng|AW061165|-|5 G2|5 79.15 cM|protein-coding	76.112	118.669	143.975	67.843	173.695	Lfng	-0.006281543571357228	-0.022836641144396014	1
NM_001168492	chr19	53903351	53929861	+	1791.0	1	Pdcd4|D19Ucla1|Ma3|Tis|-|19 D2|19 48.73 cM|protein-coding	64.862	92.637	103.63	47.165	122.537	Pdcd4	-0.004098440668064793	-0.017390203721931716	1
NM_172397	chr11	106156256	106160142	-	2943.0	1	Limd2|0610025L06Rik|AI413966|RP23-81G14.8|11 E1|11|protein-coding	95.45	139.892	190.655	82.585	213.86	Limd2	-0.007768059734410806	-0.031350920375620525	1
NM_133810	chr1	53755512	53785215	-	3268.0	1	Stk17b|3110009A03Rik|AI120141|Drak2|-|1 C1.1|1|protein-coding	52.346	90.505	118.155	49.983	125.831	Stk17b	-0.00454689714299729	-0.02330654058805809	1
NM_009331	chr11	52252604	52282571	-	2226.0	1	Tcf7|AI465550|TCF-1|Tcf1|RP23-223A11.3|11 B1.3|11 31.86 cM|protein-coding	266.113	347.665	579.755	217.593	601.604	Tcf7	-0.022755009868825987	-0.09645067151265536	1
NM_001085518	chr2	122484941	122528040	+	3720.0	1	Gm14085|OTTMUSG00000015615|RP23-357I14.1|2 E5|2|protein-coding	1.149	0.223	5.86	0.039	61.233	Gm14085	-0.003994657694544989	0.008525230907375196	2
NR_000004	chr7	45123026	45123111	-	85.0	1	Snord35b|Rnu35b|U35|-|7 B4|7|snoRNA	0.986	8.817	6.7360000000000015	5.101	55.957	Snord35b	-0.0034155388385397555	0.006320380849398399	2
NR_027919	chr2	122466583	122467797	-	1214.0	1	Bambi-ps1|-|-|2 E5|2|pseudo	1.692	0.845	8.658	0.536	51.785	Bambi-ps1	-0.0033368470880684262	0.005921799240493265	2
NM_001143849	chr7	101451252	101512829	+	4021.0	1	Pde2a|CGS-PDE|cGSPDE|-|7 E3|7|protein-coding	5.2010000000000005	7.485	15.4	1.474	88.304	Pde2a	-0.005562113275042404	0.008791739075484792	2
NM_010741	chr15	75045015	75048837	-	843.0	1	Ly6c1|AA682074|AA959465|Ly-6C|Ly-6C1|Ly6c|-|15 D3|15 34.29 cM|protein-coding	16.405	5.99	16.059	21.601	85.06200000000003	Ly6c1	-0.004442721816440458	0.01634040803245046	2
NM_029658	chr11	76019195	76027782	-	3506.0	1	Fam101b|1500005K14Rik|RefilinB|cfm|RP23-96I9.3|11|11 B4|protein-coding	4.255	4.9510000000000005	14.01	2.01	72.889	Fam101b	-0.00457679439825644	0.007330016366366775	2
NM_001166391	chr13	36867178	37050244	-	3837.0	1	F13a1|1200014I03Rik|AI462306|F13a|-|13 A3.3|13|protein-coding	0.12	2.138	8.826	0.075	41.176	F13a1	-0.0026811292770284696	0.0032343429484138608	2
NM_001037859	chr18	61105572	61131139	+	3851.0	1	Csf1r|AI323359|CD115|CSF-1R|Csfmr|Fim-2|Fms|M-CSF-R|M-CSFR|-|18 D|18 34.41 cM|protein-coding	4.418	8.83	13.212	2.73	54.733	Csf1r	-0.003321946807857136	0.003662051106444239	2
NM_001109756	chr8	88282992	88329962	+	5907.0	1	Adcy7|AA407758|-|8 C3|8 43.06 cM|protein-coding	5.853	6.631	13.598	7.419	54.69300000000001	Adcy7	-0.0031532720419510628	0.005742078210297093	2
NM_009696	chr7	19696244	19699166	-	1245.0	1	Apoe|AI255918|-|7 A3|7 9.94 cM|protein-coding	36.62300000000001	52.69	85.609	25.48	344.1230000000001	Apoe	-0.02042512865381749	0.02695412729569961	2
NM_010705	chr14	47373860	47386167	+	1371.0	1	Lgals3|GBP|L-34|Mac-2|gal3|-|14 C1|14|protein-coding	22.681	59.96100000000001	84.42399999999998	17.815	326.939	Lgals3	-0.01982184805366226	0.01751748355037564	2
NM_011390	chr13	73763697	73816742	+	5104.0	1	Slc12a7|AA408796|D13Ertd261e|Kcc4|-|13 C1|13 40.15 cM|protein-coding	7.119	6.5920000000000005	14.079	5.996	53.42100000000001	Slc12a7	-0.0030835707132355573	0.005191372987511636	2
NM_017372	chr10	117277541	117282272	-	1051.0	1	Lyz2|AI326280|Lys|Lysm|Lyzs|Lzm|Lzm-s1|Lzp|-|10 D2|10 65.34 cM|protein-coding	206.947	441.944	700.696	132.90200000000002	2638.343	Lyz2	-0.16006468090722256	0.14724592733866773	2
NM_001271413	chr15	82996736	83029950	-	3793.0	1	Nfam1|4921501M20Rik|Cnaip|-|15|15 E2|protein-coding	4.85	9.797	14.427	2.353	53.499	Nfam1	-0.003233045465792261	0.00270083266878865	2
NM_011061	chr4	140745508	140774203	-	2622.0	1	Padi4|Pad4|Pdi4|RP23-48K5.5|4 E1|4 72.34 cM|protein-coding	4.4430000000000005	10.02	17.689	2.715	65.443	Padi4	-0.004013968205853094	0.0034974469047523954	2
NM_008372	chr15	9506159	9529876	-	3200.0	1	Il7r|CD127|IL-7Ralpha|-|15 A1|15 4.16 cM|protein-coding	20.849	24.518	83.19200000000002	11.223	307.272	Il7r	-0.019090363409834214	0.022182634540965092	2
NM_013599	chr2	164948219	164955849	+	3159.0	1	Mmp9|AW743869|B/MMP9|Clg4b|MMP-9|pro-MMP-9|RP23-61O3.10-001|2 H1-H2|2 85.27 cM|protein-coding	22.579	46.489	59.43899999999999	9.87	219.35	Mmp9	-0.013127002610022065	0.00979853648412128	2
NM_001042613	chr15	3270767	3280508	+	2006.0	1	Sepp1|AU018766|D15Ucla1|Se-P|selp|-|15 A1|15 1.84 cM|protein-coding	14.29	14.866	44.916	8.789	165.69099999999997	Sepp1	-0.01011715054004728	0.012859641086494723	2
NM_025806	chr6	136612071	136661893	-	1961.0	1	Plbd1|1100001H23Rik|-|6 G1|6|protein-coding	6.283	15.65	25.069000000000006	3.795	91.192	Plbd1	-0.0055758196780513435	0.004268717836308229	2
NM_178149	chr11	3330731	3342971	+	2235.0	1	Pik3ip1|1500004A08Rik|5830455E04Rik|Crkd|Hgfl|RP23-191E3.6|11 A1|11|protein-coding	5.2879999999999985	4.5360000000000005	18.665	1.778	66.342	Pik3ip1	-0.004128961265440847	0.004703544104957975	2
NR_028279	chr17	33638095	33645706	+	2264.0	1	Pram1|AY665714|-|17 B1|17|protein-coding	5.109	9.374	13.368	3.224	47.247	Pram1	-0.002791692715467484	0.0024380643466263697	2
NM_013739	chr13	55523235	55528538	-	1539.0	1	Dok3|AI450713|Dokl|-|13 B1|13|protein-coding	5.6370000000000005	13.585	21.473000000000006	5.188	75.14699999999998	Dok3	-0.004511388895777944	0.003700096845101348	2
NM_181596	chr16	48872608	48874498	+	602.0	1	Retnlg|Fizz3|Relmg|Xcp1|-|16 B5|16 30.75 cM|protein-coding	11.556	105.169	265.165	2.761	916.248	Retnlg	-0.05887174705415143	0.03221014181390327	2
NM_011414	chr2	164354070	164356507	-	870.0	1	Slpi|-|RP23-462O16.7|2 H|2|protein-coding	13.825	25.799	38.878	8.887	128.714	Slpi	-0.007600833743272234	0.005657593262597448	2
NM_001146059	chr9	110880174	110900530	+	5059.0	1	Als2cl|79H19D|79H19E|BC022645|D930044G19Rik|mRn.49018|-|9 F3|9 60.79 cM|protein-coding	9.999	7.282999999999999	23.582	7.62	77.994	Als2cl	-0.004566583122418293	0.0066913515736295465	2
NM_001198794	chr9	21526177	21545331	+	1298.0	1	AB124611|Gm1706|-|9 A3|9|protein-coding	7.877999999999999	15.621	25.869	7.237	83.68299999999998	AB124611	-0.0049324045217056176	0.003977873636731784	2
NM_009663	chr5	149265058	149288047	+	847.0	1	Alox5ap|Flap|-|5 G3|5|protein-coding	28.252	75.68	110.481	16.551	352.74	Alox5ap	-0.021272361301432997	0.00853972889706117	2
NR_027894	chr3	115881579	115888059	-	703.0	1	A930005H10Rik|-|-|3 G1|3|ncRNA	7.5710000000000015	9.427	18.559	4.574	58.833	A930005H10Rik	-0.003446936207859975	0.0033360353730849173	2
NM_172514	chr15	66526212	66561046	-	2919.0	1	Tmem71|AI661017|E430024D12|-|15 D2|15|protein-coding	5.082	7.473	22.993	2.018	70.757	Tmem71	-0.004389319892743168	0.003053392730466997	2
NM_009369	chr13	56609603	56639339	+	2659.0	1	Tgfbi|68kDa|AI181842|AI747162|Beta-ig|big-h3|-|13 B-C1|13 30.09 cM|protein-coding	2.884	10.162	16.75	1.033	50.63	Tgfbi	-0.0031306926446373787	0.00047328442186719366	2
NM_133962	chr8	3393008	3456600	+	5278.0	1	Arhgef18|AI467246|D030053O22Rik|-|8 A1.1|8|protein-coding	7.091	8.924	22.495	3.895	65.883	Arhgef18	-0.003946710534083191	0.0029253641456456923	2
NM_007388	chr9	22126727	22130598	-	1347.0	1	Acp5|TRACP|TRAP|-|9 A3|9 8.38 cM|protein-coding	12.538	14.496	38.865	8.959	105.28	Acp5	-0.00618625300716287	0.004531345407451771	2
NM_015779	chr10	79886312	79888216	+	913.0	1	Elane|Ela2|F430011M15Rik|NE|-|10 C1|10 39.72 cM|protein-coding	3.718	15.165	32.074	1.068	80.40899999999998	Elane	-0.005017314557717515	-0.0013637054286240605	2
NM_001163396	chr12	108635753	108688515	+	1940.0	1	Evl|AI528774|-|12|12 F2|protein-coding	21.796	16.795	31.707	21.529	93.858	Evl	-0.004788614552015903	0.010009698578643065	3
