id	id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h	gene_name	pc1	pc2
NM_024177	NM_024177	chr11	116131817	116138868	-	1400.0	1	Mrpl38|1110036N21Rik|4733401F03Rik|MRP-L3|R75240|Rpml3|RP23-42F6.9|11 E2|11|protein-coding	61.365	50.013000000000005	44.522	59.099	18.980999999999998	Mrpl38	0.002614209112853861	0.0015949826444543289
NM_033618	NM_033618	chr14	52160419	52197239	-	4463.0	1	Supt16|Cdc68|Fact140|Spt16|Supt16h|-|14 C2|14 26.83 cM|protein-coding	49.81399999999999	43.353	38.352	54.475	22.021	Supt16	0.0019189134651848973	0.002747211842537248
NM_198297	NM_198297	chr16	48734690	48771956	-	676.0	1	Trat1|C030046M14Rik|Tcrim|Trim|-|16 B5|16|protein-coding	39.986	75.859	49.672	45.751000000000005	23.401999999999997	Trat1	0.0015906630490693336	-0.015566137684288902
NM_010260	NM_010260	chr3	142620663	142638008	+	2442.0	1	Gbp2|-|-|3 H1|3 66.69 cM|protein-coding	155.069	55.486999999999995	22.845	194.60299999999998	23.351999999999997	Gbp2	0.009019820684356968	0.06898955906134772
NM_026171	NM_026171	chr1	181093423	181144157	-	3035.0	1	Nvl|1200009I24Rik|-|1 H4|1|protein-coding	23.653000000000002	20.965	19.702	28.618000000000002	13.593	Nvl	0.0007963847794848645	0.001990601278311729
NM_019874	NM_019874	chr4	42953094	42958732	+	2304.0	1	Dnajb5|1110058L06Rik|AI462558|Hsc40|Hsp40-3|RP23-124L1.3|4|4 B1|protein-coding	12.66	11.129000000000001	8.892999999999999	14.286	5.475	Dnajb5	0.0005103421728050901	0.0011112481879133316
NM_017397	NM_017397	chr3	105678462	105687571	-	2697.0	1	Ddx20|GEMIN3|dp103|-|3|3 F3|protein-coding	21.241	19.102	15.134	18.527	7.572	Ddx20	0.0007925243136002015	-0.0002515154777736331
NM_010477	NM_010477	chr1	55077834	55087932	-	2318.0	1	Hspd1|60kDa|Hsp60|-|1 C1.2|1|protein-coding	97.35700000000001	80.612	48.556999999999995	113.41	18.846	Hspd1	0.005517977178267641	0.014648167656514586
NM_010344	NM_010344	chr8	33653238	33698162	+	2657.0	1	Gsr|AI325518|D8Ertd238e|Gr-1|Gr1|-|8 A4|8 20.69 cM|protein-coding	47.665	67.506	69.869	42.032	150.175	Gsr	-0.006752311313672491	0.002367464236006391
NM_009302	NM_009302	chr7	110221703	110283506	+	4021.0	1	Swap70|70kDa|AV235546|-|7 F1|7 57.7 cM|protein-coding	40.626	73.811	71.291	39.400999999999996	26.538	Swap70	0.0011897615440657591	-0.024670294224202666
NM_010239	NM_010239	chr19	9982646	9985111	+	936.0	1	Fth1|FHC|Fth|HFt|MFH|-|19 A-C|19 6.23 cM|protein-coding	502.939	735.535	735.705	427.889	1616.38	Fth1	-0.07364187266393384	0.01993499524849447
NM_001163336	NM_001163336	chr11	72961169	72993043	+	4497.0	1	Atp2a3|SERCA3b|Serca3|RP23-263M10.11-001|11 B4|11|protein-coding	17.604	18.28	25.984	17.217	54.918	Atp2a3	-0.0024609962378642964	0.0031458347374019985
NM_001170800	NM_001170800	chr10	6886365	6980465	-	5550.0	1	Ipcef1|A130090K04Rik|-|10 A1|10|protein-coding	12.700999999999999	8.586	14.731	8.417	32.696	Ipcef1	-0.0014887578483242692	0.002750879358887184
NM_010333	NM_010333	chr9	20965952	20976793	-	2811.0	1	S1pr2|1100001A16Rik|Edg5|Gpcr13|H218|LPb2|S1P2|-|9 A3|9 7.68 cM|protein-coding	6.724	6.062	6.037999999999999	5.18	11.200999999999999	S1pr2	-0.0003503362791379356	0.0008162746856173133
NM_001253685	NM_001253685	chr10	63382443	63408840	+	1145.0	1	Dnajc12|Jdp1|mJDP1|-|10 B4|10|protein-coding	7.869	13.126	15.109000000000002	6.6579999999999995	5.2829999999999995	Dnajc12	0.0001804658466481472	-0.0052126286653421654
NM_026921	NM_026921	chr13	59755415	59769789	-	1909.0	1	Isca1|1810010A06Rik|Hbld2|-|13|13 A3.1|protein-coding	11.306	9.815	9.47	10.05	3.7910000000000004	Isca1	0.0004412747364859898	-0.0005759524352537832
NM_153049	NM_153049	chr15	81012281	81105047	-	4113.0	1	Mkl1|AMKL|Bsac|Mal|Mrtf-A|-|15 E1|15|protein-coding	21.682	30.316	36.086	19.791	57.67	Mkl1	-0.0023502111093291773	-0.002233539393581465
NM_011610	NM_011610	chr4	145212368	145246870	-	4901.0	1	Tnfrsf1b|CD120b|TNF-R-II|TNF-R2|TNF-R75|TNF-alphaR2|TNFBR|TNFR80|TNFRII|TNFalpha-R2|Tnfr-1|Tnfr2|p75|RP23-157J11.1|4 E1|4 78.17 cM|protein-coding	28.910999999999998	33.650999999999996	33.43	25.491999999999997	52.153	Tnfrsf1b	-0.0015975422253232685	3.409668779151797e-05
NM_023479	NM_023479	chr11	64979035	65002076	+	2754.0	1	Elac2|1110017O07Rik|D11Wsu80e|Hpc2|RP23-219K7.1|11 B3|11 40.42 cM|protein-coding	22.963	20.568	12.4	25.791999999999998	10.588	Elac2	0.0008800252016794088	0.0034575302390612646
NM_175344	NM_175344	chr15	95790843	95975472	+	5626.0	1	Ano6|2900059G15Rik|AA407480|AW554778|F730003B03Rik|Tmem16f|-|15 F1|15|protein-coding	9.728	9.087	13.362	9.447000000000001	18.186	Ano6	-0.0005700262408644956	0.00020378128187472443
NM_026191	NM_026191	chr11	86768849	86807660	-	3704.0	1	Dhx40|2410016C14Rik|ARG147|DDX40|PAD|RP23-366M19.4|11 C|11|protein-coding	16.066	17.977	25.385	15.139000000000001	37.323	Dhx40	-0.0014092235168300645	-0.0006530856548695765
NM_001013375	NM_001013375	chr11	93859243	93885766	-	2597.0	1	Utp18|6230425C22Rik|6430513M13|Wdr50|RP23-440P13.1|11 D|11|protein-coding	66.452	63.126999999999995	44.788999999999994	59.251999999999995	21.201	Utp18	0.0027123387017428894	-0.0008282834955897085
NM_025636	NM_025636	chr8	125734203	125748235	+	1148.0	1	Ntpcr|2310079N02Rik|AI449709|-|8 E2|8|protein-coding	5.3660000000000005	5.428999999999999	8.193999999999999	3.745	12.565	Ntpcr	-0.0005242068148427386	-0.0003093796931752127
NM_009412	NM_009412	chr3	8929436	9004515	-	2258.0	1	Tpd52|AI043038|mD52|-|3|3 A1-A2|protein-coding	7.684	14.867	14.327	8.016	29.375999999999998	Tpd52	-0.0013535025439402374	-0.0006829646640111479
NM_015735	NM_015735	chr19	10605625	10629821	+	4134.0	1	Ddb1|127kDa|AA408517|p127-Ddb1|-|19 centromere|19 6.66 cM|protein-coding	126.92	118.15799999999999	95.916	133.86700000000002	53.513000000000005	Ddb1	0.004968085685844431	0.003532844549138646
NM_010545	NM_010545	chr18	60803849	60812652	+	1213.0	1	Cd74|CLIP|DHLAG|HLADG|Ia-GAMMA|Ii|-|18 E1|18 34.41 cM|protein-coding	176.303	265.16700000000003	217.84799999999998	207.101	546.786	Cd74	-0.02263986868951068	0.03398055764089911
NM_172712	NM_172712	chr5	86110730	86172743	-	5052.0	1	Uba6|4930542H01|5730469D23Rik|AU021846|AW124799|E1-L2|Ube1l2|-|5 E1|5|protein-coding	11.788	10.057	9.059	10.828	5.004	Uba6	0.00040007306279297457	6.60903783723076e-05
NM_029385	NM_029385	chr9	105129338	105131805	-	1601.0	1	Nudt16|2310041H06Rik|2810047L04Rik|2900006H04Rik|AI851783|-|9 F1|9|protein-coding	8.429	8.821	15.66	8.508	16.953	Nudt16	-0.00055224713785981	-0.0013958639304102762
NM_172275	NM_172275	chr5	121371725	121385615	-	2460.0	1	Trafd1|1110008K06Rik|Fln29|-|5 F|5|protein-coding	18.092	20.653000000000002	17.706	20.723000000000003	35.705999999999996	Trafd1	-0.0010545686590652656	0.003376971872060331
NM_183144	NM_183144	chr7	139389109	139579652	+	2757.0	1	Inpp5a|-|-|7 F4|7|protein-coding	5.852	7.097	7.862	6.854	14.645	Inpp5a	-0.0005356292014617127	0.0007352608475690687
NM_144923	NM_144923	chr7	27447978	27465981	+	858.0	1	Blvrb|-|-|7 A3|7|protein-coding	5.959	6.345	6.817	5.558	24.945999999999998	Blvrb	-0.0012600519711682564	0.0028700548450252086
NM_025465	NM_025465	chr8	66476346	66486507	-	1079.0	1	Tma16|1810029B16Rik|-|8|8 B3.3|protein-coding	36.703	23.361	19.294	23.64	8.767999999999999	Tma16	0.0012998379116864306	0.001812759215588979
NM_133883	NM_133883	chr4	126316351	126321703	-	1360.0	1	Adprhl2|AI836109|Arh3|RP23-113P22.3|4 D2.2|4|protein-coding	49.026	43.246	32.509	40.221	18.665	Adprhl2	0.0016613217162666277	8.087540029353772e-05
NM_019685	NM_019685	chr6	88465423	88497566	+	1642.0	1	Ruvbl1|2510009G06Rik|Pontin52|Tip49a|-|6 D1|6|protein-coding	21.464000000000002	16.12	12.952	20.53	7.21	Ruvbl1	0.0008591634609174596	0.0020522675520892653
NM_025347	NM_025347	chr7	126776975	126780514	+	946.0	1	Ypel3|0610043B10Rik|1190001G19Rik|Suap|-|7 F3|7|protein-coding	46.382	50.538000000000004	92.65	45.602	226.08900000000003	Ypel3	-0.011807123607706303	0.012881240991178705
NM_011854	NM_011854	chr5	114896934	114912245	+	3128.0	1	Oasl2|M1204|Mmu-OASL|Oasl|-|5 F|5|protein-coding	14.644	12.950999999999999	7.061	10.003	18.577	Oasl2	-0.0004256314394219557	0.002817150231772057
NM_026940	NM_026940	chr16	17146967	17148857	+	1313.0	1	Ydjc|1810015A11Rik|4930521M19Rik|-|16|16 B1|protein-coding	13.342	10.215	5.669	18.822	6.773	Ydjc	0.0005772648502593105	0.004370295190361947
NM_028431	NM_028431	chr5	21737160	21757152	+	1581.0	1	Pmpcb|3110004O18Rik|MPP11|MPPB|MPPP52|-|5 A3|5|protein-coding	57.68	58.208999999999996	43.04600000000001	59.92	21.55	Pmpcb	0.0024495808943148403	-0.00026864796557305896
NM_025485	NM_025485	chr9	98588730	98601679	-	1206.0	1	Mrps22|3100002P07Rik|Rpms22|-|9|9 E4|protein-coding	35.931	33.755	26.147	39.126	9.474	Mrps22	0.0018217862663111668	0.0006443032758490265
NM_001002895	NM_001002895	chr17	27563769	27565727	-	630.0	1	AI413582|AI854251|-|17 A3.3|17|protein-coding	10.51	14.589	10.517000000000001	9.291	52.028	AI413582	-0.0027392432146871567	0.00596797153052268
NM_023166	NM_023166	chr19	5728087	5729666	-	1169.0	1	Fam89b|1110021A21Rik|MMTV|Mtvr2|-|19 A|19 4.34 cM|protein-coding	19.61	26.793000000000003	32.223	20.924	53.424	Fam89b	-0.0021179393254262694	-0.0005480563279772216
NM_023203	NM_023203	chr7	127256959	127260667	-	629.0	1	Dctpp1|2410015N17Rik|AI854235|RS21-C6|-|7 F3|7|protein-coding	63.828	40.262	28.285	61.864	13.562000000000001	Dctpp1	0.003028947257711997	0.011184856267029624
NM_029097	NM_029097	chr4	140986873	141007701	+	4296.0	1	Atp13a2|1110012E06Rik|AA589443|RP23-183L1.4|4 D3|4|protein-coding	6.224	6.803999999999999	8.026	6.752999999999999	17.101	Atp13a2	-0.0006938789835737266	0.0012482557667542968
NM_009164	NM_009164	chr15	78899786	78912052	+	1880.0	1	Sh3bp1|3BP-1|AL592169.1|15 E1|15|protein-coding	18.48	25.284000000000002	38.245	17.546	57.997	Sh3bp1	-0.0025653520348916862	-0.0028893805969946638
NM_001146311	NM_001146311	chr7	126571400	126584280	-	2468.0	1	Cln3|AI323623|-|7 F3|7 69.16 cM|protein-coding	14.06	17.15	21.494	15.167	36.785	Cln3	-0.0014316994937380281	0.0006153138368612582
NM_172397	NM_172397	chr11	106156256	106160142	-	2943.0	1	Limd2|0610025L06Rik|AI413966|RP23-81G14.8|11 E1|11|protein-coding	95.45	139.892	190.655	82.585	213.86	Limd2	-0.007783972029360292	-0.03283190131480144
NM_001289526	NM_001289526	chr18	42511487	42575785	+	4373.0	1	Tcerg1|2410022J09Rik|2900090C16Rik|AI428505|CA150b|FBP23|FBP28|Taf2s|ca150|p144|-|18 B3|18|protein-coding	58.141999999999996	51.101000000000006	43.05	52.506	19.814	Tcerg1	0.0022772986099259965	-0.0006163159620410942
NM_001285854	NM_001285854	chr10	81257299	81262981	+	1829.0	1	Matk|CHK|HYL|Ntk|-|10 C1|10 39.72 cM|protein-coding	1.444	2.135	2.929	0.77	12.409	Matk	-0.0007373076578586153	0.0009999031226085784
NM_144521	NM_144521	chr11	59407150	59449956	-	1830.0	1	Snap47|1110031B06Rik|SNAP-47|RP23-378H5.4|11 B1.3|11|protein-coding	12.366	12.567	14.192	12.122	6.611000000000001	Snap47	0.0003739850670135804	-0.0018929987716305061
NM_001168659	NM_001168659	chr13	74350317	74359668	+	3431.0	1	Ccdc127|0610011N22Rik|5430420E17Rik|A430066A18|AI256405|AW050060|C130002N06|-|13 C1|13|protein-coding	12.74	12.854000000000001	11.265	13.562999999999999	6.51	Ccdc127	0.00043704076672064696	-0.0003365005917889242
NM_001162989	NM_001162989	chr18	56562569	56587712	+	1776.0	1	Phax|2810055C14Rik|4933427L19Rik|AU018701|AU018854|D18Ertd65e|Rnuxa|p55|-|18 D3|18 30.63 cM|protein-coding	37.66	34.316	34.06	36.639	16.564	Phax	0.0013267656675834546	-0.0017313718880283848
NM_001177370	NM_001177370	chr19	46305930	46312090	+	2949.0	1	Nfkb2|NF-kappaB2|lyt|p49|p49/p100|p50B|p52|-|19 C3-D2|19 38.8 cM|protein-coding	284.388	375.99300000000005	400.99	289.262	100.839	Nfkb2	0.013094393710476077	-0.10444813522690286
NM_175332	NM_175332	chr11	97627387	97629716	-	2327.0	1	E130012A19Rik|AA409164|AI413509|AW539173|E13|esPRC2p48|RP23-94N18.3|11 D|11|protein-coding	33.461	22.325	15.15	27.636999999999997	6.487	E130012A19Rik	0.0014863869370363096	0.0038466323701752416
NM_013488	NM_013488	chr6	124864693	124888209	-	3083.0	1	Cd4|L3T4|Ly-4|-|6 F2|6 59.17 cM|protein-coding	50.593999999999994	58.766999999999996	75.232	62.861999999999995	119.33	Cd4	-0.0040545419932562846	0.0040008226190099494
NM_016876	NM_016876	chr9	20894349	20898590	-	1055.0	1	Eif3g|44kDa|D0Jmb4|Eif3s4|TU-189B2|eIF3-p44|p44|-|9 A3|9|protein-coding	205.09	166.423	134.134	190.446	87.12899999999999	Eif3g	0.006936868074469605	0.013515252309810025
NM_001014995	NM_001014995	chr3	89183225	89189289	+	3045.0	1	Fam189b|1110013L07Rik|-|3 F1|3|protein-coding	3.991	3.187	9.657	3.4410000000000003	28.473000000000003	Fam189b	-0.00163481007572954	0.002273652595424305
NM_001285507	NM_001285507	chr2	125830302	125859082	-	3322.0	1	Cops2|AI315723|C85265|Csn2|Sgn2|TRIP-15|Trip15|RP23-368I1.3|2 F1|2 61.76 cM|protein-coding	37.909	37.796	29.72	41.688	18.067999999999998	Cops2	0.001423087327331989	0.0007863080491696372
NM_026517	NM_026517	chr3	28805511	28807415	+	471.0	1	Rpl22l1|3110001N18Rik|AU041196|-|3 A3|3|protein-coding	61.571999999999996	62.813	72.854	53.62	29.416999999999998	Rpl22l1	0.0018805987051015098	-0.012990957147528041
NM_007403	NM_007403	chr7	139978941	139992488	-	3008.0	1	Adam8|CD156|CD156a|E430039A18Rik|MS2|-|7|7 F3-F5|protein-coding	10.392999999999999	16.838	19.117	8.985	64.16	Adam8	-0.0035277532927158644	0.0040065520144802105
NM_007638	NM_007638	chr6	85451505	85468477	+	2438.0	1	Cct7|AA408524|AL022769|Ccth|Cctz|-|6|6 D1|protein-coding	270.545	247.908	173.19299999999998	255.046	61.602	Cct7	0.013029511092149795	0.002508515628095427
NM_022889	NM_022889	chr11	3963975	3980004	+	2894.0	1	Pes1|-|RP23-81P12.1|11 A1|11|protein-coding	32.495	26.143	20.04	32.984	8.664	Pes1	0.0015250425098351616	0.00258689464957259
NM_013882	NM_013882	chr15	85859946	85876573	+	2679.0	1	Gtse1|B99|Gtse-1|-|15 E2|15 40.42 cM|protein-coding	9.511000000000001	8.039	4.977	12.502	3.8789999999999996	Gtse1	0.00045177385197666786	0.0020825075641570227
NM_021522	NM_021522	chr18	9993615	10030149	-	4167.0	1	Usp14|2610005K12Rik|2610037B11Rik|AW107924|C78769|ax|nmf375|-|18 A1|18 4.91 cM|protein-coding	29.025	28.447	20.268	31.396	10.222999999999999	Usp14	0.0013053667476709589	0.0009162033017718112
NM_029436	NM_029436	chr16	20097554	20127744	+	6673.0	1	Klhl24|1110046J11Rik|4930429H24Rik|6530402O20Rik|C85082|-|16|16 B1|protein-coding	16.724	18.497	26.881999999999998	15.929	34.887	Klhl24	-0.0012019424252806693	-0.0014647899748862386
NM_013610	NM_013610	chr13	49187547	49196251	+	1126.0	1	Ninj1|AU024536|-|13 A5|13|protein-coding	17.009	18.953	23.500999999999998	14.343	57.806000000000004	Ninj1	-0.0027532663088000887	0.0034751263715492365
NM_173388	NM_173388	chr11	75531694	75577572	+	6876.0	1	Slc43a2|7630402D21Rik|BC042513|Lat4|RP23-136K12.3|11 B5|11|protein-coding	2.286	3.431	5.52	1.6030000000000002	15.993	Slc43a2	-0.0009135042125573313	0.0006724850165596839
NM_080419	NM_080419	chr1	172312407	172319835	+	2223.0	1	Igsf8|AA033172|AU041109|ESTM34|EWI-2|KCT-4|PGRL|R75384|-|1 H3|1 79.59 cM|protein-coding	5.6370000000000005	6.263999999999999	5.151	7.818	11.047	Igsf8	-0.0002815896566481264	0.001635756058231506
NM_001033378	NM_001033378	chr8	3353415	3390299	+	2954.0	1	A430078G23Rik|-|-|8 A1.1|8|protein-coding	3.235	3.752	12.280999999999999	1.504	28.491999999999997	A430078G23Rik	-0.0017106004834688158	0.0003468994153594104
NM_026985	NM_026985	chr8	3665762	3668905	+	1123.0	1	Mcemp1|1810033B17Rik|-|8 A1|8 1.92 cM|protein-coding	19.592	32.632	38.641	10.134	133.829	Mcemp1	-0.007707291519842474	0.006582593262607333
NM_025586	NM_025586	chr14	18267823	18270986	-	1835.0	1	Rpl15|2510008H07Rik|RP23-205G15.1|14 A2|14|protein-coding	22.838	19.584	16.715999999999998	21.009	7.353	Rpl15	0.0009308317838838658	1.2911972824497449e-05
NM_029571	NM_029571	chr4	108847857	108849412	+	1553.0	1	Kti12|1110001A12Rik|AI326810|AU014758|RP23-31C9.3|4 C7|4|protein-coding	66.842	50.496	38.45	59.674	23.203000000000003	Kti12	0.002491705746169142	0.005919689925578104
NM_172697	NM_172697	chr4	108564867	108579336	-	1507.0	1	Prpf38a|2410002M20Rik|RP23-406B13.4|4 C7|4|protein-coding	41.63	40.31	32.757	45.576	13.963	Prpf38a	0.0019333165337385172	3.94322600914788e-05
NM_001099675	NM_001099675	chr4	45105210	45108113	-	632.0	1	Tomm5|1110019J04Rik|Tom5|RP23-218A4.6|4 B1|4|protein-coding	39.586999999999996	28.774	17.861	39.503	9.652999999999999	Tomm5	0.0018659498102340539	0.006264547964410412
NM_023326	NM_023326	chr2	25706879	25707719	+	838.0	1	Bmyc|2900002K07Rik|AW060705|Mycb|RP23-225D24.2|2 A3|2|protein-coding	17.203	33.563	21.475	17.72	11.29	Bmyc	0.0005491505860038235	-0.007369316467887783
NM_001005509	NM_001005509	chr3	58525821	58557501	+	2283.0	1	Eif2a|D030048D22|D3Ertd194e|-|3 D|3 28.58 cM|protein-coding	29.517	26.747	24.579	32.759	13.655	Eif2a	0.0011224266026838435	0.0008412483315405934
NM_023684	NM_023684	chr2	181381235	181383628	+	1952.0	1	Lime1|2810038K19Rik|LIME|RP23-60M5.4|2 H4|2|protein-coding	30.658	27.948	35.305	33.224000000000004	57.076	Lime1	-0.0016797252015835532	0.004505704487194128
NM_001045481	NM_001045481	chr1	173920403	173942492	-	3619.0	1	Ifi203|-|-|1 H3|1 80.76 cM|protein-coding	3.798	5.33	9.561	2.835	24.7	Ifi203	-0.0013919535337737364	0.0007835473308650683
NM_001143849	NM_001143849	chr7	101451252	101512829	+	4021.0	1	Pde2a|CGS-PDE|cGSPDE|-|7 E3|7|protein-coding	5.2010000000000005	7.485	15.4	1.474	88.304	Pde2a	-0.0055698333483237	0.00926457134921479
NM_133962	NM_133962	chr8	3393008	3456600	+	5278.0	1	Arhgef18|AI467246|D030053O22Rik|-|8 A1.1|8|protein-coding	7.091	8.924	22.495	3.895	65.883	Arhgef18	-0.0039525075919004705	0.0030985713549951657
NM_007655	NM_007655	chr7	24897511	24902197	+	1320.0	1	Cd79a|Ig-alpha|Iga|Igalpha|Ly-54|Ly54|mb-1|-|7 A3|7 13.49 cM|protein-coding	7.81	13.119000000000002	11.03	6.952000000000001	36.542	Cd79a	-0.0018731510541470878	0.002134313875766992
NM_011970	NM_011970	chr4	126677643	126709715	+	839.0	1	Psmb2|AU045357|AW108089|C7-I|D4Wsu33e|HC7-I|RP23-120H2.2|4 D2.2|4 60.9 cM|protein-coding	112.787	101.696	75.949	118.855	53.918	Psmb2	0.003959284114192279	0.0088832843129942
NM_023712	NM_023712	chr7	126370060	126377934	-	2689.0	1	Spns1|2210013K02Rik|Spin1|Spinl|-|7|7 F4|protein-coding	16.285999999999998	13.525	14.905999999999999	15.370999999999999	27.666999999999998	Spns1	-0.0008035400307041305	0.003138769307082862
NM_134139	NM_134139	chr19	8735839	8740624	+	1191.0	1	Wdr74|5730436H21Rik|AA407588|-|19 A|19|protein-coding	98.62899999999999	79.721	60.782	88.339	24.135	Wdr74	0.00439826266671249	0.0038763140200647034
NM_025899	NM_025899	chr7	120635189	120659523	+	1866.0	1	Uqcrc2|1500004O06Rik|-|7 F2|7|protein-coding	147.351	147.808	131.18	146.225	59.623000000000005	Uqcrc2	0.005740268102612492	-0.009987722782796042
NM_026157	NM_026157	chr18	4375592	4397330	+	2640.0	1	Mtpap|0610027A18Rik|AW551379|Papd1|-|18 A1|18|protein-coding	24.24	27.314	26.831999999999997	26.537	10.399000000000001	Mtpap	0.0010130522874383886	-0.0037432496161441827
NM_001293800	NM_001293800	chr8	71371298	71373689	+	1481.0	1	Ocel1|9430098E02Rik|AI326022|AI593544|-|8|8 C1|protein-coding	5.263	6.0729999999999995	9.168	5.001	13.265	Ocel1	-0.0005267395867592325	-0.0004028736156105238
NM_010274	NM_010274	chr2	57238382	57370719	+	5601.0	1	Gpd2|AA408484|AI448216|AU021455|AW494132|GPDH|Gdm1|Gpd-m|Gpdh-m|TISP38|-|2 C1.1|2 31.66 cM|protein-coding	7.348	6.457999999999999	5.17	11.295	8.557	Gpd2	3.7735921812573495e-05	0.002507411831976308
NM_145396	NM_145396	chr17	24700653	24707653	-	2491.0	1	Tbl3|9430070M15Rik|-|17 A3.3|17|protein-coding	39.906	30.784000000000002	19.62	39.278	12.619000000000002	Tbl3	0.00168943272268963	0.005522444513566173
NM_175244	NM_175244	chr4	116995348	117005277	+	4529.0	1	Hectd3|1700064K09Rik|AI467540|AW743312|RP23-419D6.4|4 D1|4|protein-coding	5.218999999999999	6.087999999999999	7.857	5.265	11.895	Hectd3	-0.0004296324141106937	-6.968553744645173e-05
NM_175088	NM_175088	chr6	15720661	15802169	+	3428.0	1	Mdfic|Kdt1|Mdfid|-|6 A1|6|protein-coding	39.768	28.296	16.298	55.787	14.040999999999999	Mdfic	0.002096739736960431	0.012682594043663847
