id	chr	start	end	strand	Length	Copies	Annotation/Divergence	../../rep1/tag-dirs/0-1uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/100uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/No-Peptide-24h-KAA-15-01-22 reads	0-1uM-PCC-24h-0-5uM-MEKi	0-1uM-PCC-24h	100uM-K99A-24h-0-5uM-MEKi	100uM-K99A-24h	10uM-K99A-24h-0-5uM-MEKi	10uM-K99A-24h	10uM-PCC-24h-0-5uM-MEKi	10uM-PCC-24h	No-Peptide-24h-0-5uM-MEKi	No-Peptide-24h	gene_name
NM_001159556	chr5	17781690	17849792	-	3382.0	1	Cd36|FAT|GPIV|Scarb3|-|5 A3|5 8.11 cM|protein-coding	2.02	2.286	2.044	1.506	11.343	2.864	3.24	6.784	3.3819999999999997	14.325999999999999	12.329	1.7590000000000001	1.621	14.482000000000001	33.524	Cd36
NM_009698	chr8	122574637	122576907	-	859.0	1	Aprt|C85684|-|8 E1|8 71.91 cM|protein-coding	98.988	82.10799999999999	53.802	95.31	56.635	56.86	56.055	50.958	57.607	38.058	33.187	55.869	70.21600000000001	33.513000000000005	37.111	Aprt
NM_023374	chr4	140961271	140979192	+	1063.0	1	Sdhb|0710008N11Rik|RP23-183L1.3|4|4 E1|protein-coding	95.209	93.25399999999999	81.645	98.94200000000001	64.58800000000001	71.65	69.76	55.545	65.884	33.144	37.079	71.33800000000001	85.48	37.633	36.684	Sdhb
NM_013536	chr6	124704370	124712178	-	1037.0	1	Emg1|C2f|Grcc2f|-|6 F2|6 59.17 cM|protein-coding	147.829	114.46	96.352	150.757	72.788	92.41	76.49600000000001	67.524	74.873	37.994	39.873000000000005	87.91	99.87100000000001	35.150999999999996	33.648	Emg1
NM_007682	chr2	131177289	131180012	-	2721.0	1	Cenpb|-|RP23-32L15.4|2 F1|2 63.29 cM|protein-coding	45.126999999999995	40.853	36.149	37.086	36.080999999999996	29.697	24.989	25.294	26.423000000000002	20.822	17.055	29.057	39.686	16.442	23.340999999999998	Cenpb
NR_030738	chr11	62602877	62604806	+	456.0	1	2410006H16Rik|-|-|11 B2|11|ncRNA	505.376	542.044	488.63800000000003	376.19800000000004	185.483	213.713	211.188	234.889	224.076	89.259	107.964	210.264	261.843	71.33	72.835	2410006H16Rik
NR_039536	chr2	32712900	32712972	-	72.0	1	Mir3960|mmu-mir-3960|-|2|2 22.09 cM|ncRNA	13.387	15.888	13.633	7.527	17.233	4.834	7.184	11.729000000000001	7.9079999999999995	11.758	4.132	6.409	14.765	38.079	16.475	Mir3960
NM_001204281	chr15	97792664	97814863	-	3766.0	1	Hdac7|5830434K02Rik|HD7|HD7a|Hdac7a|mFLJ00062|-|15|15 F2|protein-coding	50.354	21.85	13.282	52.29600000000001	32.425	39.848	32.464	18.387999999999998	33.413000000000004	16.791	17.154	49.762	54.956	19.739	16.208	Hdac7
NM_025573	chr5	115327177	115333080	+	1156.0	1	Srsf9|25kDa|2610029M16Rik|SRp30c|Sfrs9|-|5 F|5|protein-coding	58.148999999999994	55.246	45.746	63.821999999999996	42.218	41.348	41.693999999999996	37.622	40.478	24.956	22.774	50.253	56.387	22.316	26.465	Srsf9
NM_011568	chr11	120594516	120598365	-	1124.0	1	Alyref|ALY|REF1|Refbp1|Thoc4|RP23-84C12.4|11 E2|11|protein-coding	68.753	59.661	43.263999999999996	83.061	39.786	59.143	53.423	51.653999999999996	51.302	23.929000000000002	28.45	63.27	73.822	20.955	26.603	Alyref
NM_008681	chr15	66929318	66969641	-	2872.0	1	Ndrg1|CAP43|CMT4D|DRG1|HMSNL|NMSL|Ndr1|Ndrl|PROXY1|RTP|TDD5|-|15 D2|15|protein-coding	88.55799999999999	109.65899999999999	62.417	95.421	23.798000000000002	73.358	75.183	57.853	74.219	24.444000000000003	30.503	74.535	93.68799999999999	20.503	26.776999999999997	Ndrg1
NM_011610	chr4	145212368	145246870	-	4901.0	1	Tnfrsf1b|CD120b|TNF-R-II|TNF-R2|TNF-R75|TNF-alphaR2|TNFBR|TNFR80|TNFRII|TNFalpha-R2|Tnfr-1|Tnfr2|p75|RP23-157J11.1|4 E1|4 78.17 cM|protein-coding	28.910999999999998	33.650999999999996	33.43	25.491999999999997	52.153	35.946	36.066	40.005	36.427	49.165	41.739	33.969	30.619	53.551	65.61	Tnfrsf1b
NM_026964	chr8	70868227	70873490	-	904.0	1	Ccdc124|1810023B24Rik|-|8|8 C1|protein-coding	82.286	74.311	60.896	81.932	51.471000000000004	25.539	33.03	33.085	27.885	13.470999999999998	16.014	39.419000000000004	44.873000000000005	18.886	21.432	Ccdc124
NM_001013366	chr6	34880426	34910831	-	2620.0	1	Wdr91|9530020G05Rik|AI987683|AU018665|-|6 B1|6|protein-coding	8.637	8.431000000000001	10.662	8.619	20.384	9.454	9.925	13.457	10.412	18.916	11.940999999999999	9.061	9.162	24.33	31.729	Wdr91
NM_013895	chr10	80899450	80900969	-	1220.0	1	Timm13|D10Ertd378e|Tim9|Timm9|-|10 C1|10 39.72 cM|protein-coding	81.617	72.232	54.778	80.375	24.916999999999998	31.809	28.715	28.784000000000002	32.754	14.252	11.216	39.336999999999996	47.926	9.704	13.45	Timm13
NM_008410	chr14	73362232	73385271	-	1764.0	1	Itm2b|AI256040|Bri|Bri2|Bricd2b|D14Sel6|E25BMM|imBRI2|-|14 D3|14 38.88 cM|protein-coding	126.721	176.97299999999998	221.166	107.51	567.17	137.19299999999998	163.166	265.778	163.503	451.13800000000003	412.481	116.439	107.84299999999999	580.865	518.419	Itm2b
NM_020619	chr6	83115506	83118898	+	2764.0	1	Mogs|1810017N02Rik|AI181835|Gcs1|-|6|6 D1|protein-coding	93.838	73.227	48.165	97.554	31.274	55.301	44.3	33.176	47.343	15.597999999999999	21.631999999999998	58.229	73.583	12.625	15.342	Mogs
NM_016896	chr11	103219764	103267401	-	4155.0	1	Map3k14|Nik|aly|RP23-341C5.5|11 E1|11 66.8 cM|protein-coding	17.631	19.016	21.823	16.461	34.777	17.479	16.761	18.885	15.845999999999998	18.887	18.602	16.227	18.812	25.974	36.209	Map3k14
NM_197982	chr8	83715177	83723351	+	1646.0	1	Ddx39|2610307C23Rik|BAT1|DDXL|Ddx39a|URH49|-|8 C2|8|protein-coding	124.094	111.581	84.30799999999999	141.184	40.989	82.46600000000001	72.16199999999999	52.332	68.021	21.563000000000002	29.91	84.074	99.19	15.482999999999999	19.968	Ddx39
NM_177613	chr10	79682195	79688398	+	1259.0	1	Cdc34|AI327276|UBE2R1|-|10 C1|10 39.72 cM|protein-coding	125.624	107.436	72.93	116.16799999999999	41.516000000000005	63.721000000000004	61.738	50.754	61.506	20.846	30.125	77.5	86.39399999999999	24.944000000000003	24.928	Cdc34
NM_026784	chr3	89459118	89469009	+	1183.0	1	Pmvk|1110011E12Rik|2900002L22Rik|AV001327|PMK|PMKA|PMKASE|-|3 F1|3|protein-coding	12.647	12.504000000000001	9.127	15.332	20.627	9.464	11.765999999999998	16.419	8.795	9.027999999999999	9.555	9.362	13.243	15.802	26.404	Pmvk
NM_009975	chr17	35116195	35121447	-	1116.0	1	Csnk2b|-|-|17 B1|17 18.59 cM|protein-coding	139.392	140.997	139.043	142.805	94.412	106.712	98.764	91.499	101.762	72.709	65.794	103.37299999999999	124.337	58.068000000000005	60.54	Csnk2b
NM_011046	chr7	80389194	80402762	-	4268.0	1	Furin|9130404I01Rik|Fur|PACE|Pcsk3|SPC1|-|7 D1-E2|7 45.65 cM|protein-coding	104.446	94.00399999999999	75.081	105.97	58.652	85.571	90.78399999999999	81.553	92.973	57.708	65.005	95.71	119.23100000000001	56.428000000000004	58.733999999999995	Furin
NM_010876	chr5	134220259	134229625	-	2709.0	1	Ncf1|NCF-47K|NOXO2|Ncf-1|p47-phox|p47<phox>|p47phox|-|5 G2|5 74.47 cM|protein-coding	61.415	133.017	128.012	59.684	218.172	71.006	95.65899999999999	169.636	100.84899999999999	235.757	209.021	69.84	52.626000000000005	285.128	282.55	Ncf1
NM_145856	chr1	20777146	20784270	-	1173.0	1	Il17f|C87042|IL-17F|-|1 A4|1|protein-coding	55.305	10.425	8.856	83.965	7.801	28.237	18.119	2.16	18.534000000000002	0.9440000000000001	0.085	36.236	36.156	1.594	2.739	Il17f
NM_011189	chr14	55578494	55581527	+	964.0	1	Psme1|AW413925|PA28a|-|14 C2-D1|14 28.19 cM|protein-coding	301.441	347.121	332.412	297.7	173.922	217.891	199.26	204.041	196.632	93.024	111.604	220.94099999999997	212.31400000000002	80.41	104.59	Psme1
NM_001252476	chr7	44976755	44986420	-	1297.0	1	Prmt1|6720434D09Rik|AW214366|Hrmt1l2|Mrmt1|-|7 B4|7 29.07 cM|protein-coding	170.507	141.667	91.984	194.83	46.438	98.573	88.09899999999999	61.367	89.836	23.398000000000003	36.161	109.93799999999999	129.029	21.763	16.005	Prmt1
NR_105918	chr15	76248191	76248258	+	67.0	1	Mir6953|mmu-mir-6953|-|-|ncRNA	8.131	5.2989999999999995	18.924	4.314	29.322	11.255	21.756999999999998	47.266000000000005	37.856	106.919	60.678000000000004	6.8870000000000005	5.846	119.042	103.274	Mir6953
NM_016805	chr1	178328300	178337784	-	3654.0	1	Hnrnpu|AA408410|AI256620|AL024194|AL024437|AW557595|C86794|Hnrpu|SAFA|Sp120|hnRNP U|RP24-252K15.1|1 H4|1|protein-coding	334.024	299.91900000000004	256.073	349.625	176.972	256.95599999999996	231.50900000000001	204.84400000000002	240.226	123.546	156.049	269.218	285.48400000000004	113.07799999999999	123.72200000000001	Hnrnpu
NM_007655	chr7	24897511	24902197	+	1320.0	1	Cd79a|Ig-alpha|Iga|Igalpha|Ly-54|Ly54|mb-1|-|7 A3|7 13.49 cM|protein-coding	7.81	13.119000000000002	11.03	6.952000000000001	36.542	14.062999999999999	14.677	23.405	14.627	28.467	18.066	14.877	10.639000000000001	30.967	41.411	Cd79a
NM_015816	chr8	70673231	70678752	+	935.0	1	Lsm4|-|-|8 B3.3|8|protein-coding	127.427	133.612	106.73200000000001	125.084	58.611000000000004	50.501000000000005	49.93899999999999	51.858999999999995	48.883	16.159000000000002	20.574	50.888999999999996	70.732	19.192999999999998	19.135	Lsm4
NM_009251	chr12	104214544	104241934	+	2012.0	1	Serpina3g|2A2|AI119734|Spi2-1|Spi2/eb.1|Spi2A|spi2|-|12 E|12|protein-coding	69.256	34.231	15.795	83.25	15.982999999999999	67.926	50.762	21.721	48.36600000000001	7.93	10.547	79.152	69.995	8.455	8.008	Serpina3g
NM_133916	chr5	140419305	140443358	+	2945.0	1	Eif3b|AL033316|AL033334|AL033369|AW208965|D5Wsu45e|EIF3-ETA|EIF3-P110|EIF3-P116|Eif3s9|PRT1|-|5 G2|5 78.97 cM|protein-coding	170.975	141.55200000000002	105.921	175.62099999999998	56.387	101.755	94.859	71.76	91.555	34.784	41.262	112.156	122.561	27.4	29.721999999999998	Eif3b
NM_008175	chr11	102430322	102436809	+	2318.0	1	Grn|Pgrn|epithelin|RP23-226P4.4|11 D|11 66.29 cM|protein-coding	14.753	22.565	29.783	11.55	97.77799999999999	30.38	36.94	68.917	37.471	103.416	100.762	28.092	22.206999999999997	147.042	143.43200000000002	Grn
NM_001113358	chr14	54235485	54253929	-	692.0	1	Dad1|AI323713|RP23-6A14.1|14 C2|14 27.7 cM|protein-coding	221.106	182.925	156.977	195.845	135.898	133.284	124.351	96.713	123.945	43.008	71.072	135.666	163.165	45.203	52.067	Dad1
NM_028419	chr12	105032689	105040910	+	926.0	1	Glrx5|2310004O13Rik|2900070E19Rik|AU020725|-|12 E|12|protein-coding	84.54	74.633	55.695	81.625	48.852	28.002	32.144	25.915	31.024	12.659	11.244000000000002	34.274	46.284	8.142000000000001	16.439	Glrx5
NM_007408	chr4	86656565	86670059	-	1877.0	1	Plin2|AA407157|ADPH|Adfp|Adrp|RP23-95O1.5|4 C4|4 40.69 cM|protein-coding	13.329	22.193	21.158	14.032	80.152	21.324	28.659000000000002	46.941	28.984	69.738	67.30199999999999	20.105	15.857999999999999	97.00200000000001	104.009	Plin2
NM_013716	chr11	55469752	55500887	+	2671.0	1	G3bp1|AI849976|B430204O07|C87777|G3bp|mKIAA4115|RP23-336J1.4|11 B1.3|11|protein-coding	126.539	116.95100000000001	81.95200000000001	136.08	37.725	79.465	71.0	60.52	74.94	23.845	35.472	85.807	103.81700000000001	19.27	25.424	G3bp1
NM_028712	chr3	61364507	61368703	+	4194.0	1	Rap2b|4021402C18Rik|AA408554|-|3 E1|3|protein-coding	13.1	17.062	12.853	13.860999999999999	28.759	13.707	14.104000000000001	23.105999999999998	13.07	21.691999999999997	17.660999999999998	12.873	12.714	25.910999999999998	39.124	Rap2b
NM_007650	chr19	10718143	10738974	-	2056.0	1	Cd5|Ly-1|Ly-12|Ly-A|Lyt-1|-|19 A|19 7.16 cM|protein-coding	114.594	43.802	52.397	109.63799999999999	42.949	92.852	74.582	39.329	73.565	26.67	33.639	102.546	116.012	15.972000000000001	14.952	Cd5
NM_001277113	chr4	152324436	152334082	+	2147.0	1	Rpl22|2700038K18Rik|RP23-421E12.9|4 E2|4|protein-coding	178.679	183.269	150.91	169.174	81.992	93.07700000000001	87.255	78.929	83.65899999999999	35.671	43.113	94.49799999999999	116.307	28.935	32.596	Rpl22
NM_053086	chr19	46075847	46085543	+	3647.0	1	Nolc1|NOPP130|NOPP140|P130|-|19 C3|19|protein-coding	147.97	105.771	68.722	131.602	24.311999999999998	80.355	69.521	42.047	66.85	15.607000000000001	21.357	81.218	95.15	10.542	12.969000000000001	Nolc1
NR_105802	chr3	142623860	142623946	-	86.0	1	Mir6381|mmu-mir-6381|-|-|ncRNA	10.232999999999999	5.962999999999999	2.378	26.046999999999997	3.6069999999999998	45.192	20.230999999999998	1.6369999999999998	13.843	0.0	1.153	47.099	39.036	3.623	2.299	Mir6381
NM_010925	chr10	78400362	78413043	-	1993.0	1	Rrp1|AL033305|AL033306|AU018604|NNP-1|Nnp1|-|10 C1|10 39.72 cM|protein-coding	118.385	99.279	93.598	113.902	68.639	69.27199999999999	60.07	54.802	57.788000000000004	27.154	33.409	67.3	80.376	32.047	33.156	Rrp1
NM_023202	chr17	33824572	33838316	+	521.0	1	Ndufa7|14.5kDa|2400007M02Rik|CI-B14.5a|-|17 B1|17|protein-coding	73.922	84.572	66.648	79.819	54.974	36.519	44.766000000000005	40.658	38.946	18.375	24.171	49.403	58.958	18.657	28.933000000000003	Ndufa7
NM_007747	chr9	57521232	57532426	+	685.0	1	Cox5a|AA959768|CcOX|-|9 B|9|protein-coding	178.27700000000002	171.204	128.25	172.21200000000002	93.512	116.1	107.705	84.243	110.17399999999999	49.722	63.33	127.022	126.932	35.567	62.123000000000005	Cox5a
NM_007695	chr1	134182404	134190031	+	1677.0	1	Chil1|AW208766|Brp39|Chi3l1|Gp39|-|1 E4|1 58.15 cM|protein-coding	26.689	30.249000000000002	31.973000000000003	18.851	87.306	42.511	56.163000000000004	103.652	57.442	177.623	138.241	37.514	24.623	214.467	197.873	Chil1
NM_008683	chr14	55662267	55671906	-	596.0	1	Nedd8|Rub1|-|14 C3|14 28.19 cM|protein-coding	184.648	173.737	138.20600000000002	198.11	98.62799999999999	104.531	106.037	110.756	106.738	54.523999999999994	65.96600000000001	116.74	130.585	62.207	61.282	Nedd8
NM_007918	chr8	27260327	27275656	+	976.0	1	Eif4ebp1|4e-bp1|AA959816|PHAS-I|-|8 A4-B1|8 15.95 cM|protein-coding	134.526	108.51799999999999	71.196	117.756	38.404	58.602	60.368	49.608000000000004	59.24	28.090999999999998	28.904	67.296	77.679	27.58	30.789	Eif4ebp1
NM_019443	chrX	37187589	37191238	-	488.0	1	Ndufa1|1810049F12Rik|MWFE|RP23-43O20.5|X|X A2|protein-coding	78.062	94.33200000000001	75.01	87.068	48.521	41.842	35.556	36.773	43.277	18.016	29.869	43.393	61.684	28.857	32.207	Ndufa1
NM_053092	chr8	111993439	112011354	-	2027.0	1	Kars|AA589550|AL024334|AL033315|AL033367|D8Ertd698e|D8Wsu108e|LysRS|mKIAA0070|-|8 D3|8 58.27 cM|protein-coding	105.318	86.87200000000001	56.254	120.95700000000001	38.921	75.436	63.261	43.88399999999999	66.497	24.739	26.465	81.602	87.14299999999999	16.415	23.724	Kars
NM_001033339	chr17	23629458	23645269	-	3361.0	1	Mmp25|F730048C11Rik|Leukolysin|MMP20|MT6-MMP|-|17 A3.3|17|protein-coding	8.791	15.375	13.276	8.847000000000001	41.208999999999996	20.504	23.616	41.856	23.779	67.7	54.653	17.101	13.617	76.679	88.96600000000001	Mmp25
NM_010219	chr6	128430107	128438631	-	2155.0	1	Fkbp4|59kDa|AL022792|AW208983|FKBP-4|FKBP-52|FKBP52|FKPB52|p59|-|6 F3|6|protein-coding	184.142	152.33100000000002	103.225	184.87599999999998	56.809	86.272	81.411	58.585	77.51100000000001	21.214000000000002	33.681	93.695	110.709	20.009	23.21	Fkbp4
NM_028752	chr5	122210287	122242297	+	2643.0	1	Hvcn1|0610039P13Rik|AI450555|BTS|HV1|Vsop.|mVSOP|-|5 F|5|protein-coding	17.109	20.059	20.334	16.185	60.228	27.127	31.384	48.913000000000004	30.023000000000003	54.676	49.99100000000001	28.265	21.17	63.113	81.85	Hvcn1
NM_021303	chr4	156236010	156247616	+	2764.0	1	Noc2l|AA410003|AF155546|NIR|-|4 E2|4|protein-coding	157.488	119.93799999999999	89.818	148.939	50.951	94.819	81.762	63.576	81.314	31.454	29.453000000000003	94.99600000000001	107.915	21.686999999999998	21.421999999999997	Noc2l
NM_019980	chr16	10959273	10993121	-	2231.0	1	Litaf|3222402J11Rik|C85531|N4WBP3|TBX1|-|16|16 B1-B3|protein-coding	22.447	23.534000000000002	18.937	26.219	57.215	42.927	46.58	72.487	45.034	94.72200000000001	87.602	44.815	38.672	119.23200000000001	121.865	Litaf
NM_010517	chr11	99041260	99052643	+	2060.0	1	Igfbp4|AI875747|Deb2|IGFBP-4|RP23-333D2.6|11 D|11|protein-coding	113.76100000000001	94.595	90.09700000000001	102.164	30.166	103.51299999999999	91.899	68.051	96.363	14.447000000000001	26.136999999999997	95.676	129.041	7.199	8.732999999999999	Igfbp4
NM_008704	chr11	93958925	93968521	-	1228.0	1	Nme1|AL024257|NDPK-A|NM23-M1|NM23A|RP23-378I13.1|11 D|11|protein-coding	127.32799999999999	96.81700000000001	64.71300000000001	141.726	28.881	65.188	48.937	41.032	51.467	13.947000000000001	15.382	72.734	75.498	9.488999999999999	11.43	Nme1
NM_025407	chr9	108936648	108949641	+	1641.0	1	Uqcrc1|1110032G10Rik|-|9 F2|9 59.63 cM|protein-coding	116.249	118.436	93.463	114.79799999999999	64.081	71.653	66.021	63.298	74.757	30.636999999999997	38.763000000000005	74.51899999999999	93.96799999999999	32.656	36.503	Uqcrc1
NM_009673	chr3	36448924	36475887	-	1708.0	1	Anxa5|Anx5|R74653|-|3 B|3 17.46 cM|protein-coding	20.414	26.467	31.393	25.046	54.817	26.015	30.090999999999998	39.555	28.305999999999997	42.437	34.92	26.357	25.159000000000002	41.881	60.478	Anxa5
NM_009911	chr1	128588199	128592299	-	1810.0	1	Cxcr4|CD184|Cmkar4|LESTR|PB-CKR|PBSF/SDF-1|Sdf1r|b2b220Clo|-|1 E4|1 56.43 cM|protein-coding	31.049	42.258	61.756	27.108	180.234	44.483000000000004	61.103	96.23	60.885	201.235	182.4	40.678000000000004	37.650999999999996	256.475	243.597	Cxcr4
NM_001271005	chr17	36109030	36111676	-	1280.0	1	C920025E04Rik|-|-|17 B1|17|protein-coding	40.271	39.2	40.58	46.8	32.231	28.098000000000003	24.724	24.521	25.476999999999997	15.569	14.448	31.845	46.685	17.817	17.916	C920025E04Rik
