id.1	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h-1	100uM-K99A-24h-1	10uM-K99A-24h-1	10uM-PCC-24h-1	No-Peptide-24h-1	0-1uM-PCC-24h-0-5uM-MEKi-2	0-1uM-PCC-24h-2	100uM-K99A-24h-0-5uM-MEKi-2	100uM-K99A-24h-2	10uM-K99A-24h-0-5uM-MEKi-2	10uM-K99A-24h-2	10uM-PCC-24h-0-5uM-MEKi-2	10uM-PCC-24h-2	No-Peptide-24h-0-5uM-MEKi-2	No-Peptide-24h-2	No-Peptide-24h	10uM-K99A-24h	100uM-K99A-24h	0-1uM-PCC-24h	10uM-PCC-24h	gene_name
NM_138599	chr16	57121714	57154530	+	3764.0	1	Tomm70a|2610044B22Rik|D16Ium22|D16Ium22e|D16Wsu109e|Tom70|mKIAA0719|-|16 C1.1|16 34.22 cM|protein-coding	95.384	88.985	61.74	89.54799999999999	22.897	70.722	62.401	44.853	65.308	21.212	29.689	71.597	68.943	15.181	17.74	20.3185	45.7145	77.1465	78.8925	79.24549999999998	Tomm70a
NM_030724	chr1	167226084	167285127	-	1328.0	1	Uck2|AA407809|AI481316|AU018180|AU020720|TSA903|UK|UMK|Umpk|-|1 H2.3|1|protein-coding	102.308	98.111	65.876	112.417	40.76	64.953	60.442	46.474	65.521	18.144	30.128	68.686	71.245	10.839	18.943	29.8515	48.001999999999995	81.816	81.375	91.831	Uck2
NM_009439	chr11	98682554	98695978	+	2133.0	1	Psmd3|AI255837|AntP91a|D11Bwg1349e|Psd3|Tstap91a|RP23-395E10.2|11 D|11 62.39 cM|protein-coding	103.856	93.041	68.357	114.014	46.488	65.813	63.843	51.205	66.444	27.539	30.937	72.667	87.77	24.714	24.075	35.2815	49.647	79.7425	83.8495	100.89200000000001	Psmd3
NM_173413	chr9	66843664	66919705	-	4741.0	1	Rab8b|5930437D16|D330025I23Rik|-|9 C|9|protein-coding	106.551	101.308	83.714	124.463	50.69600000000001	124.421	114.05	96.425	116.724	68.393	78.169	136.591	130.608	54.517	71.233	60.9645	80.94149999999998	109.016	110.3005	127.5355	Rab8b
NM_028696	chr1	51469488	51478399	-	2830.0	1	Nabp1|4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2|-|1|1 C1|protein-coding	91.931	120.389	89.92	94.743	30.252	74.20100000000002	80.835	72.88600000000002	82.25299999999999	33.39	45.111	79.645	78.55	25.805	25.253	27.7525	67.5155	101.321	86.383	86.6465	Nabp1
NM_013693	chr17	35199367	35202007	-	1647.0	1	Tnf|DIF|TNF-a|TNF-alpha|TNFSF2|TNFalpha|Tnfa|Tnfsf1a|-|17 B1|17 18.59 cM|protein-coding	84.80799999999998	36.046	15.669	101.349	23.26	50.647	46.765	19.612	44.282	13.167	13.215	62.044	75.587	12.182	15.634	19.447000000000006	14.442	40.164	65.78649999999999	88.46799999999998	Tnf
NM_001030307	chrX	75095854	75109776	+	2786.0	1	Dkc1|BC068171|RP23-62O13.1|X A7.3|X|protein-coding	85.62100000000002	66.433	41.325	87.836	16.386	61.735	47.09	31.524	47.062	14.469	16.764	58.322	67.76	8.387	9.864	13.125	29.0445	56.7475	66.3555	77.798	Dkc1
NM_175639	chr17	71616215	71659031	+	3430.0	1	Wdr43|2610318G08Rik|AU020887|AV024208|Wrd43|mKIAA0007|-|17 E1.3|17|protein-coding	96.315	74.408	49.306	89.251	20.393	65.804	55.90600000000001	36.644	53.03	14.904000000000002	19.354	68.179	62.379	8.411	11.672	16.0325	34.33	63.718999999999994	76.1105	75.815	Wdr43
NM_013542	chr14	56258858	56262260	-	1409.0	1	Gzmb|AI553453|CCP-1/C11|CCP1|Ctla-1|Ctla1|GZB|-|14 D3|14 28.19 cM|protein-coding	67.42699999999999	78.165	25.021	53.029	9.1	72.541	61.139	42.70399999999999	65.098	9.198	13.23	57.277	64.88600000000001	4.334	6.314	7.707000000000001	19.1255	71.6315	64.28299999999999	58.9575	Gzmb
NM_001290552	chr2	32278805	32288069	-	628.0	1	Swi5|1500019F05Rik|2900010J23Rik|AI046671|RP23-161B9.6|2 B|2|protein-coding	128.393	121.103	93.065	132.554	45.36	72.51	59.901	65.555	68.906	26.858	32.131	79.359	72.969	26.294	34.313	39.8365	62.598	95.0045	94.147	102.7615	Swi5
NM_001111292	chr2	103767107	103797078	-	3477.0	1	Caprin1|AL022980|Caprin-1|Gpiap|Gpiap1|Mmgpip137|P137|rng105|RP23-266F3.4|2 E2|2|protein-coding	128.906	113.473	92.444	123.271	61.944	110.243	98.873	79.684	97.987	53.155	59.532	111.983	107.735	38.942	46.737	54.34049999999999	75.988	105.73	113.8895	115.50299999999999	Caprin1
NM_021463	chrX	140456603	140476140	+	1966.0	1	Prps1|2310010D17Rik|C76571|C76678|PRS-I|Prps-1|RP23-137E3.3|X F1-F2|X 61.35 cM|protein-coding	94.069	70.46600000000002	55.628	87.459	20.748	74.118	62.665	34.901	52.815	15.37	23.175	73.31	69.014	9.001	9.88	15.314	39.4015	61.6405	78.367	78.2365	Prps1
NM_008300	chr11	53259814	53300479	-	4619.0	1	Hspa4|70kDa|AI317151|APG-2|Hsp110|Hsp70RY|mKIAA4025|RP23-337J7.3|11 B1.3|11 31.91 cM|protein-coding	110.363	99.551	70.757	112.92	39.645	81.89399999999998	67.42399999999999	52.64	72.057	26.407	37.171	81.866	81.571	23.864	28.131	33.888000000000005	53.964	85.804	88.89349999999997	97.2455	Hspa4
NR_029468	chr4	132308678	132311024	+	601.0	1	Snhg12|2310005L22Rik|-|4 D2.3|4|ncRNA	142.59799999999996	141.70600000000005	116.709	89.694	48.517	70.941	69.79	65.456	75.10300000000002	24.489	30.358	62.364	80.902	9.435	18.421	33.468999999999994	73.5335	108.4045	106.194	85.29799999999999	Snhg12
NM_001109913	chr17	33646233	33685458	-	2396.0	1	Hnrnpm|2610023M21Rik|AA409009|Hnrpm|mKIAA4193|RP24-225N8.1|17 B1|17|protein-coding	153.079	145.30700000000004	125.446	164.908	88.14399999999998	94.759	87.568	81.741	84.27600000000002	45.717	58.456	105.542	125.284	45.25100000000001	56.747	72.4455	91.95100000000001	114.7915	120.3235	145.096	Hnrnpm
NM_001195486	chr17	80200080	80207305	-	2245.0	1	Srsf7|35kDa|9430065L19Rik|9G8|NX-96|Sfrs7|-|17 E3|17|protein-coding	135.766	116.161	87.756	129.747	51.56100000000001	77.955	71.403	57.177	69.331	29.472	37.12300000000001	74.34	75.89	27.867	32.208	41.8845	62.4395	92.746	103.5845	102.8185	Srsf7
NM_010798	chr10	75859353	75860250	-	549.0	1	Mif|GIF|Glif|-|10 C1|10 38.59 cM|protein-coding	112.899	62.295	40.154	98.98	23.354	49.027	40.17	21.535	42.24	12.455	11.83	52.394	57.88800000000001	7.037000000000001	6.482	14.918	25.991999999999997	52.2675	76.53450000000002	78.434	Mif
NM_134137	chr18	42202349	42262071	-	3772.0	1	Lars|2310045K21Rik|3110009L02Rik|AW536573|mKIAA1352|-|18|18 E|protein-coding	95.448	93.774	74.729	95.536	21.135	61.545	62.106	50.187	61.533	21.961	25.631	63.928	67.937	11.977	13.902	17.518500000000003	50.18	77.65350000000002	78.777	81.7365	Lars
NM_173374	chr11	88047373	88053757	+	5358.0	1	Srsf1|1110054N12Rik|5730507C05Rik|6330415C05Rik|AI482334|AW491331|Asf|Sf2|Sfrs1|RP23-199A2.2|11 C|11 52.4 cM|protein-coding	109.197	96.297	75.432	113.408	42.88	96.16	88.7	68.64	86.831	47.43899999999999	50.791	98.842	98.61	34.703	38.023	40.4515	63.11150000000001	91.564	98.9485	106.009	Srsf1
NM_029219	chr4	129058271	129084526	+	2521.0	1	Rnf19b|4930534K13Rik|4930555L03Rik|Ibrdc3|RP23-284L6.1|4|4 D2.3|protein-coding	92.925	86.62299999999998	66.808	105.811	48.377	112.219	94.231	72.328	96.153	41.797	44.229	130.145	126.351	41.228	45.621	46.999	55.5185	91.388	93.57799999999999	116.081	Rnf19b
NM_001111267	chr10	30645582	30655867	-	2748.0	1	Ncoa7|9030406N13Rik|-|10 A4|10|protein-coding	85.35600000000002	234.024	207.071	83.67299999999999	20.845	72.024	115.28	148.994	121.193	47.966	75.45100000000002	70.60300000000002	58.354	11.156	16.942	18.8935	141.261	177.6085	100.318	71.0135	Ncoa7
NM_009859	chr9	25252439	25308571	+	2513.0	1	Sept7|Cdc10|E430034N22|-|9 A4|9|protein-coding	124.239	113.85	102.451	136.887	51.103	112.322	97.694	77.683	100.146	55.172	66.05199999999999	121.663	101.683	45.351000000000006	50.525	50.81399999999999	84.2515	106.998	110.9665	119.285	Sept7
NR_030484	chr5	98475556	98475664	-	108.0	1	Mir703|Mirn703|mmu-mir-703|-|5|5|ncRNA	132.708	191.024	118.911	119.096	61.752	70.361	70.098	69.071	63.744	25.326	51.415	78.808	116.566	25.386	41.644	51.69799999999999	85.163	127.384	101.403	117.831	Mir703
NM_001172146	chr5	143902704	143909839	-	1179.0	1	Aimp2|AA407136|AA407225|Aimp2(p38)|Jtv1|-|5 G2|5|protein-coding	115.487	96.927	71.183	86.97	19.776	50.972	44.629	30.621	51.499	12.704	15.601	50.577	63.687	6.395	8.719	14.2475	43.391999999999996	74.21300000000001	80.058	75.32849999999998	Aimp2
NM_023210	chr3	95929257	95947387	+	3251.0	1	Anp32e|2810018A15Rik|AI047746|AI326868|CPD1|LANP-L|LANPL|mLANP-L|-|3 F2.1|3|protein-coding	109.623	117.599	102.141	115.014	38.755	79.77600000000002	73.477	67.149	72.63600000000002	27.083	34.313	75.435	79.065	20.24	22.12	30.4375	68.227	95.1175	91.55	97.0395	Anp32e
NM_080456	chr16	92058336	92112227	+	775.0	1	Mrps6|AW046321|-|16 C4|16|protein-coding	100.903	81.031	68.711	97.622	18.812	56.286	43.018	36.595	54.233	11.512	17.081	56.036	71.546	11.417	10.905	14.8585	42.896	67.632	71.9605	84.584	Mrps6
NM_175102	chr10	13008450	13009183	+	731.0	1	Sf3b5|10kDa|1110005L13Rik|AU043053|Sf3b10|-|10 A1|10|protein-coding	153.471	136.363	109.941	134.833	67.329	60.865	66.899	58.533	63.517	23.252	24.823	67.686	77.842	23.782	23.461	45.395	67.382	99.94	110.185	106.3375	Sf3b5
NM_010792	chr10	127041932	127045461	+	879.0	1	Mettl1|2810012D02Rik|-|10 D3|10|protein-coding	108.322	85.176	64.583	72.178	14.645	60.912	48.681	34.667	54.118	14.595	19.628	50.106	67.40899999999999	3.544	3.205	8.925	42.1055	69.64699999999999	78.50150000000002	69.7935	Mettl1
NM_011965	chr7	114264550	114276116	-	1243.0	1	Psma1|C2|HC2|Pros-30|alpha-type|-|7 F1|7 59.32 cM|protein-coding	122.082	123.639	95.717	141.81799999999996	58.562	93.942	92.267	74.96	90.615	55.11600000000001	56.12	108.733	96.328	36.394	43.619	51.0905	75.91850000000002	107.12700000000001	107.1745	119.07299999999998	Psma1
NM_016891	chr17	20945454	20965905	+	2239.0	1	Ppp2r1a|6330556D22Rik|PP2A|PR65|-|17 A3.2|17|protein-coding	130.908	136.592	119.592	135.145	67.332	110.031	110.594	95.236	110.599	55.32100000000001	73.07300000000002	120.774	122.224	54.714	53.706	60.519	96.3325	123.5955	120.751	128.6845	Ppp2r1a
NM_007918	chr8	27260327	27275656	+	976.0	1	Eif4ebp1|4e-bp1|AA959816|PHAS-I|-|8 A4-B1|8 15.95 cM|protein-coding	134.526	108.518	71.196	117.756	38.404	58.602	60.368	49.608	59.24	28.091	28.904	67.296	77.679	27.58	30.789	34.596500000000006	50.05	83.87899999999998	97.447	97.7175	Eif4ebp1
NM_001033238	chr16	52031549	52208046	+	6302.0	1	Cblb|AI429560|AI851073|Cbl-b|-|16 B5|16|protein-coding	88.09200000000001	77.435	58.402	95.176	40.895	109.167	99.111	67.627	97.685	43.701	48.155	112.309	121.145	35.585	37.958	39.4265	53.2785	87.56	93.60150000000002	108.1605	Cblb
NM_025403	chr2	112261926	112262898	+	734.0	1	Nop10|1110036B12Rik|NOP10P|Nola3|RP23-63C10.4|2|2 E4|protein-coding	117.331	95.446	72.10300000000002	112.821	42.191	69.388	69.829	50.24	74.682	27.327	31.882	81.869	80.954	16.639	21.749	31.97	51.99250000000001	85.064	93.58	96.8875	Nop10
NM_009786	chr1	160202367	160212892	-	2107.0	1	Cacybp|SIP|-|1|1 H1|protein-coding	111.124	101.64	61.65	104.961	23.556	53.878	50.169	38.31	47.242	14.063	18.518	58.987	59.722	10.321	12.878	18.217	40.084	74.441	80.6465	82.3415	Cacybp
NM_026578	chr3	129824912	129831396	-	1262.0	1	Gar1|AA409823|AI326794|C430047J18Rik|Nola1|-|3 G3|3|protein-coding	103.84	85.926	71.104	105.499	22.204	59.984	51.792	35.466	48.768	8.566	14.732	60.902	62.33600000000001	4.888	7.832999999999998	15.0185	42.918	67.34700000000001	77.816	83.9175	Gar1
NR_015519	chr11	83223576	83226584	+	1404.0	1	AI662270|AW496474|RP23-381B19.2|11 C|11|ncRNA	115.933	96.509	73.467	117.629	40.027	78.377	71.773	58.795	71.929	34.324	38.95	82.314	89.546	23.478	27.845	33.936	56.2085	84.219	93.853	103.5875	AI662270
NM_026472	chr1	118321843	118333831	+	1885.0	1	Nifk|AI852665|C130020J04Rik|Mki67ip|-|1 E2.3|1|protein-coding	111.606	89.691	54.113	94.015	20.981	56.838	51.612	34.571	46.655	11.919	16.754	57.502	59.424	6.215	7.237	14.108999999999998	35.4335	68.173	81.60900000000002	76.7195	Nifk
NM_025448	chr3	88579671	88588413	+	1176.0	1	Ssr2|1500032E05Rik|AI315033|AU020133|TLAP|TRAPB|TRAPbeta|-|3 F1|3|protein-coding	119.844	113.073	89.589	120.803	49.721	76.259	70.854	54.51600000000001	71.12899999999998	33.392	34.992	87.068	95.251	20.453	25.553	37.637	62.2905	92.101	95.349	108.027	Ssr2
NM_011187	chr2	38588046	38643906	-	959.0	1	Psmb7|AU020723|MC14|RP23-354G20.1|2 B|2 24.42 cM|protein-coding	130.705	124.016	93.74	143.767	57.036	79.844	74.187	67.952	72.111	23.971	34.224000000000004	90.623	90.374	28.524	37.725	47.3805	63.982	98.0635	102.446	117.0705	Psmb7
NM_025710	chr13	30540312	30545316	-	1309.0	1	Uqcrfs1|4430402G14Rik|AI875505|-|13|13 A3.3|protein-coding	134.144	115.929	83.01700000000002	136.655	62.12600000000001	69.39699999999999	67.247	55.052	65.484	37.412	35.072	83.274	99.037	29.609	30.734	46.43000000000001	59.0445	90.7065	100.6955	117.846	Uqcrfs1
NM_001008705	chr5	145140397	145148074	+	698.0	1	Bud31|C77604|EDG-2|EDG2|G10|-|5 G2|5|protein-coding	156.584	172.141	149.3	148.403	70.661	84.76799999999999	91.215	75.718	83.279	43.664	50.36	95.2	99.959	49.188	43.901	57.28100000000001	99.83	127.71	123.8995	124.181	Bud31
NM_024220	chr7	97400003	97407800	+	676.0	1	Ndufc2|1810004I06Rik|2010300P09Rik|G1|R75094|-|7|7 E3|protein-coding	114.751	103.285	85.30799999999998	118.866	42.522	82.464	75.611	57.986	79.098	29.094	30.143	78.654	83.265	19.634	25.151	33.8365	57.7255	91.1915	95.181	101.0655	Ndufc2
NM_053074	chr7	44816420	44830806	+	2380.0	1	Nup62|AA589433|AI426861|AI790512|AU045898|D7Ertd649e|Nupc1|p62|-|7 B4|7 23.1 cM|protein-coding	113.398	108.113	85.51	105.962	37.493	70.755	71.047	60.084	72.532	28.403	34.122	76.00399999999998	87.383	16.442	20.185	28.839000000000002	59.816	90.3225	92.2225	96.6725	Nup62
NM_026453	chr8	31159468	31168724	-	1845.0	1	Mak16|2600016B03Rik|AI314911|Rbm13|-|8 A3|8|protein-coding	117.251	88.514	68.321	101.987	26.704	74.2	65.245	50.425	64.387	24.355	27.597	75.506	73.632	12.935	18.457	22.5805	47.959	76.4505	91.24799999999999	87.80950000000001	Mak16
NM_016959	chr3	86137940	86142668	-	935.0	1	Rps3a1|Rps3a|-|3 F1|3|protein-coding	211.735	212.083	215.257	185.752	110.2	103.422	92.737	90.32	90.57	53.352	57.108	101.613	98.379	46.65	38.958	74.57900000000002	136.1825	151.3265	152.23600000000005	142.0655	Rps3a1
NM_177613	chr10	79682195	79688398	+	1259.0	1	Cdc34|AI327276|UBE2R1|-|10 C1|10 39.72 cM|protein-coding	125.624	107.436	72.93	116.168	41.51600000000001	63.721	61.738	50.754	61.506	20.846	30.125	77.5	86.39399999999998	24.944000000000006	24.928	33.222	51.5275	84.471	93.681	101.281	Cdc34
NM_138659	chr11	75486777	75509447	+	7437.0	1	Prpf8|AU019467|D11Bwg0410e|DBF3/PRP8|Prp8|Sfprp8l|RP23-384C18.4|11 B5|11 45.92 cM|protein-coding	118.612	105.737	93.584	114.221	52.165	111.897	106.57	89.432	106.657	55.806	61.018	112.246	119.065	39.832	44.732	48.4485	77.301	106.197	112.591	116.64299999999999	Prpf8
NM_013536	chr6	124704370	124712178	-	1037.0	1	Emg1|C2f|Grcc2f|-|6 F2|6 59.17 cM|protein-coding	147.829	114.46	96.352	150.757	72.788	92.41	76.49600000000002	67.524	74.873	37.994	39.87300000000001	87.91	99.871	35.151	33.648	53.218	68.11250000000001	94.6665	112.1625	125.314	Emg1
