id	id	chr	start	end	strand	Length	Copies	Annotation/Divergence	../../rep1/tag-dirs/0-1uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/100uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/No-Peptide-24h-KAA-15-01-22 reads	0-1uM-PCC-24h-0-5uM-MEKi	0-1uM-PCC-24h	100uM-K99A-24h-0-5uM-MEKi	100uM-K99A-24h	10uM-K99A-24h-0-5uM-MEKi	10uM-K99A-24h	10uM-PCC-24h-0-5uM-MEKi	10uM-PCC-24h	No-Peptide-24h-0-5uM-MEKi	No-Peptide-24h	gene_name
NM_080456	NM_080456	chr16	92058336	92112227	+	775.0	1	Mrps6|AW046321|-|16 C4|16|protein-coding	100.90299999999999	81.031	68.711	97.62200000000001	18.812	56.286	43.018	36.595	54.233000000000004	11.512	17.081	56.036	71.546	11.417	10.905	Mrps6
NM_023133	NM_023133	chr7	24884714	24889802	+	621.0	1	Rps19|Dsk3|-|7 A3|7|protein-coding	213.926	217.24200000000002	211.609	198.396	119.883	74.635	60.501000000000005	77.173	72.601	33.348	40.078	75.382	103.524	31.607	36.133	Rps19
NM_177613	NM_177613	chr10	79682195	79688398	+	1259.0	1	Cdc34|AI327276|UBE2R1|-|10 C1|10 39.72 cM|protein-coding	125.624	107.436	72.93	116.16799999999999	41.516000000000005	63.721000000000004	61.738	50.754	61.506	20.846	30.125	77.5	86.39399999999999	24.944000000000003	24.928	Cdc34
NM_134137	NM_134137	chr18	42202349	42262071	-	3772.0	1	Lars|2310045K21Rik|3110009L02Rik|AW536573|mKIAA1352|-|18|18 E|protein-coding	95.448	93.774	74.729	95.536	21.135	61.545	62.106	50.187	61.533	21.961	25.631	63.928000000000004	67.937	11.977	13.902000000000001	Lars
NM_001008705	NM_001008705	chr5	145140397	145148074	+	698.0	1	Bud31|C77604|EDG-2|EDG2|G10|-|5 G2|5|protein-coding	156.584	172.141	149.3	148.403	70.661	84.76799999999999	91.215	75.718	83.279	43.663999999999994	50.36	95.2	99.959	49.188	43.901	Bud31
NM_001109913	NM_001109913	chr17	33646233	33685458	-	2396.0	1	Hnrnpm|2610023M21Rik|AA409009|Hnrpm|mKIAA4193|RP24-225N8.1|17 B1|17|protein-coding	153.079	145.30700000000002	125.446	164.908	88.14399999999999	94.759	87.568	81.741	84.27600000000001	45.717	58.456	105.542	125.28399999999999	45.251000000000005	56.747	Hnrnpm
NM_026453	NM_026453	chr8	31159468	31168724	-	1845.0	1	Mak16|2600016B03Rik|AI314911|Rbm13|-|8 A3|8|protein-coding	117.251	88.514	68.321	101.98700000000001	26.704	74.2	65.245	50.425	64.387	24.355	27.596999999999998	75.506	73.632	12.935	18.457	Mak16
NM_175102	NM_175102	chr10	13008450	13009183	+	731.0	1	Sf3b5|10kDa|1110005L13Rik|AU043053|Sf3b10|-|10 A1|10|protein-coding	153.471	136.363	109.941	134.833	67.329	60.865	66.899	58.533	63.516999999999996	23.252	24.823	67.686	77.842	23.781999999999996	23.461	Sf3b5
NM_027204	NM_027204	chr11	120484669	120488754	+	942.0	1	Mrpl12|0610034O11Rik|1500031N16Rik|MRP-L12|Rpml12|RP23-82I5.14-001|11 E2|11|protein-coding	127.05799999999999	106.991	74.2	130.483	24.971999999999998	54.744	48.62	39.819	52.971000000000004	13.135	20.684	66.513	76.62100000000001	9.261000000000001	12.697000000000001	Mrpl12
NM_009098	NM_009098	chr4	117153836	117156132	-	732.0	1	Rps8|-|RP23-59L24.9|4 D1|4|protein-coding	200.49400000000003	183.38299999999998	159.239	183.317	95.34700000000001	72.431	58.971000000000004	63.548	62.086000000000006	28.38	34.204	78.17	87.596	20.004	20.863000000000003	Rps8
NM_007837	NM_007837	chr10	127290793	127296288	+	865.0	1	Ddit3|CHOP-10|CHOP10|chop|gadd153|-|10 D3|10|protein-coding	158.378	176.301	163.077	129.15	42.555	71.152	72.3	75.255	72.766	24.769000000000002	31.695999999999998	64.373	77.685	25.069000000000003	24.969	Ddit3
NM_028696	NM_028696	chr1	51469488	51478399	-	2830.0	1	Nabp1|4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2|-|1|1 C1|protein-coding	91.931	120.389	89.92	94.743	30.252	74.20100000000001	80.835	72.88600000000001	82.25299999999999	33.39	45.111000000000004	79.645	78.55	25.805	25.253	Nabp1
NM_013585	NM_013585	chr17	34182099	34187330	-	798.0	1	Psmb9|Lmp-2|Lmp2|-|17 B1|17 17.98 cM|protein-coding	147.308	119.18	91.69	172.72799999999998	119.595	86.57600000000001	82.083	60.056000000000004	78.681	42.43600000000001	39.576	113.212	122.56	47.631	59.766999999999996	Psmb9
NM_020024	NM_020024	chr7	105742894	105744338	-	750.0	1	Taf10|30kDa|AU041226|TAFII30|Taf2h|-|7|7 F1|protein-coding	146.789	129.911	99.685	133.007	81.065	76.10600000000001	68.402	61.928999999999995	69.983	31.086	34.11	88.531	90.119	30.74	29.061	Taf10
NM_021463	NM_021463	chrX	140456603	140476140	+	1966.0	1	Prps1|2310010D17Rik|C76571|C76678|PRS-I|Prps-1|RP23-137E3.3|X F1-F2|X 61.35 cM|protein-coding	94.069	70.46600000000001	55.628	87.459	20.748	74.118	62.665	34.900999999999996	52.815	15.37	23.175	73.31	69.014	9.001	9.88	Prps1
NM_021887	NM_021887	chr7	125603429	125633570	+	2596.0	1	Il21r|NILR|-|7|7 F4|protein-coding	105.17299999999999	129.083	118.23899999999999	109.92200000000001	39.133	71.124	77.797	72.48899999999999	74.633	37.453	40.45	80.919	93.79799999999999	23.451	33.698	Il21r
NM_009391	NM_009391	chr5	129020156	129024321	+	2279.0	1	Ran|-|-|5 G1.3|5|protein-coding	115.279	97.344	70.15100000000001	116.03200000000001	32.757	59.153	57.05	43.693999999999996	56.736000000000004	16.831	22.124000000000002	66.639	73.039	11.046	12.557	Ran
NM_008972	NM_008972	chr1	86526736	86530698	+	1185.0	1	Ptma|Thym|-|1 D|1|protein-coding	137.536	104.92399999999999	88.184	138.514	78.444	91.295	93.926	65.861	93.958	43.635	52.758	93.806	90.089	40.751999999999995	38.371	Ptma
NM_025310	NM_025310	chr11	106249144	106255802	-	2842.0	1	Ftsj3|AA537063|AU045295|C79843|D11Ertd400e|Epcs3|RP23-418O11.2|11 E1|11 68.89 cM|protein-coding	122.686	94.411	64.616	110.43700000000001	23.375999999999998	70.82600000000001	58.985	46.85	56.278999999999996	15.994000000000002	23.026999999999997	68.286	75.58	11.005999999999998	13.86	Ftsj3
NM_009975	NM_009975	chr17	35116195	35121447	-	1116.0	1	Csnk2b|-|-|17 B1|17 18.59 cM|protein-coding	139.392	140.997	139.043	142.805	94.412	106.712	98.764	91.499	101.762	72.709	65.794	103.37299999999999	124.337	58.068000000000005	60.54	Csnk2b
NM_009439	NM_009439	chr11	98682554	98695978	+	2133.0	1	Psmd3|AI255837|AntP91a|D11Bwg1349e|Psd3|Tstap91a|RP23-395E10.2|11 D|11 62.39 cM|protein-coding	103.85600000000001	93.041	68.357	114.014	46.488	65.813	63.843	51.205	66.444	27.539	30.936999999999998	72.667	87.77	24.714000000000002	24.075	Psmd3
NM_008704	NM_008704	chr11	93958925	93968521	-	1228.0	1	Nme1|AL024257|NDPK-A|NM23-M1|NM23A|RP23-378I13.1|11 D|11|protein-coding	127.32799999999999	96.81700000000001	64.71300000000001	141.726	28.881	65.188	48.937	41.032	51.467	13.947000000000001	15.382	72.734	75.498	9.488999999999999	11.43	Nme1
NM_016959	NM_016959	chr3	86137940	86142668	-	935.0	1	Rps3a1|Rps3a|-|3 F1|3|protein-coding	211.735	212.083	215.257	185.752	110.2	103.42200000000001	92.73700000000001	90.32	90.57	53.352	57.108000000000004	101.613	98.37899999999999	46.65	38.958	Rps3a1
NM_023210	NM_023210	chr3	95929257	95947387	+	3251.0	1	Anp32e|2810018A15Rik|AI047746|AI326868|CPD1|LANP-L|LANPL|mLANP-L|-|3 F2.1|3|protein-coding	109.62299999999999	117.59899999999999	102.141	115.014	38.755	79.77600000000001	73.477	67.149	72.63600000000001	27.083000000000002	34.313	75.435	79.065	20.24	22.12	Anp32e
NM_025710	NM_025710	chr13	30540312	30545316	-	1309.0	1	Uqcrfs1|4430402G14Rik|AI875505|-|13|13 A3.3|protein-coding	134.144	115.929	83.01700000000001	136.655	62.126000000000005	69.39699999999999	67.247	55.052	65.484	37.412	35.071999999999996	83.274	99.037	29.609	30.734	Uqcrfs1
NM_144866	NM_144866	chr18	34902785	34932003	-	3692.0	1	Etf1|AI463371|D6Ertd109e|ERF|ERF1|SUP45L1|TB3-1|-|18 B1|18|protein-coding	120.92200000000001	116.619	82.109	134.265	40.833	98.639	89.70200000000001	68.01	90.12100000000001	43.216	48.357	99.477	96.445	29.89	40.95	Etf1
NM_011185	NM_011185	chr17	15475721	15498276	-	1028.0	1	Psmb1|AA409053|C81484|Lmpc5|-|17 A2|17 8.95 cM|protein-coding	158.907	151.915	133.798	154.221	95.905	99.539	100.76899999999999	84.75	100.0	48.652	59.61	114.21700000000001	109.835	52.128	52.934	Psmb1
NM_008944	NM_008944	chr13	14613242	14625673	+	936.0	1	Psma2|Lmpc3|-|13 A1|13|protein-coding	136.469	138.189	105.525	162.2	52.858999999999995	98.167	78.32	66.314	74.381	36.041	48.148999999999994	101.23100000000001	105.32700000000001	30.423000000000002	35.906	Psma2
NM_010792	NM_010792	chr10	127041932	127045461	+	879.0	1	Mettl1|2810012D02Rik|-|10 D3|10|protein-coding	108.322	85.176	64.583	72.178	14.645	60.912	48.681000000000004	34.667	54.118	14.595	19.628	50.106	67.40899999999999	3.5439999999999996	3.205	Mettl1
NM_029362	NM_029362	chr2	154657026	154694783	+	1599.0	1	Chmp4b|2010012F05Rik|C76846|Snf7-2|RP23-29D15.3|2|2 H2|protein-coding	188.231	160.59799999999998	150.296	190.68400000000003	134.373	102.339	91.19200000000001	85.162	91.579	48.995	56.74100000000001	110.434	139.546	51.361000000000004	68.062	Chmp4b
NM_021519	NM_021519	chr2	25557900	25562082	+	662.0	1	Edf1|0610008L11Rik|AA409425|RP23-464C2.4|2 A3|2|protein-coding	166.68200000000002	198.90099999999998	173.976	171.59099999999998	97.932	73.43	75.222	86.214	81.78699999999999	30.397	33.626999999999995	85.971	110.635	30.967	49.349	Edf1
NM_173374	NM_173374	chr11	88047373	88053757	+	5358.0	1	Srsf1|1110054N12Rik|5730507C05Rik|6330415C05Rik|AI482334|AW491331|Asf|Sf2|Sfrs1|RP23-199A2.2|11 C|11 52.4 cM|protein-coding	109.197	96.29700000000001	75.432	113.40799999999999	42.88	96.16	88.7	68.64	86.831	47.43899999999999	50.791000000000004	98.84200000000001	98.61	34.703	38.023	Srsf1
NM_009251	NM_009251	chr12	104214544	104241934	+	2012.0	1	Serpina3g|2A2|AI119734|Spi2-1|Spi2/eb.1|Spi2A|spi2|-|12 E|12|protein-coding	69.256	34.231	15.795	83.25	15.982999999999999	67.926	50.762	21.721	48.36600000000001	7.93	10.547	79.152	69.995	8.455	8.008	Serpina3g
NM_172015	NM_172015	chr13	49682130	49734267	+	4360.0	1	Iars|2510016L12Rik|AI327140|AU044614|E430001P04Rik|ILRS|-|13 A5|13|protein-coding	84.613	75.75399999999999	69.435	82.884	18.877	69.184	67.018	50.456	67.315	18.297	28.86	73.758	70.234	10.076	12.413	Iars
NM_175103	NM_175103	chr7	126696000	126696693	+	332.0	1	Bola2|1110025L05Rik|BolA-2|-|7 F3|7|protein-coding	179.623	133.191	104.465	162.586	70.38600000000001	69.714	59.203	54.9	52.854	14.319	19.115	67.798	92.185	28.153000000000002	24.563000000000002	Bola2
NM_053092	NM_053092	chr8	111993439	112011354	-	2027.0	1	Kars|AA589550|AL024334|AL033315|AL033367|D8Ertd698e|D8Wsu108e|LysRS|mKIAA0070|-|8 D3|8 58.27 cM|protein-coding	105.318	86.87200000000001	56.254	120.95700000000001	38.921	75.436	63.261	43.88399999999999	66.497	24.739	26.465	81.602	87.14299999999999	16.415	23.724	Kars
NM_010817	NM_010817	chr8	107580380	107588482	-	1591.0	1	Psmd7|AW107203|Mov-34|Mov34|-|8 D3|8 54.38 cM|protein-coding	135.364	122.431	92.929	152.605	46.63	79.191	63.36600000000001	56.972	66.5	27.67	34.465	83.04899999999999	91.928	19.387	22.211	Psmd7
NM_023429	NM_023429	chr5	73292794	73314077	+	1518.0	1	Ociad1|6030432N09Rik|AI481327|AW557942|Asrij|B230209J16Rik|BB021357|Emi2|Imi2|OCIA|TPA018|-|5 C3.2|5|protein-coding	125.171	132.658	119.788	133.287	72.985	121.595	118.42299999999999	103.15	114.027	62.763999999999996	70.612	119.46799999999999	105.52600000000001	53.896	54.438	Ociad1
NM_025403	NM_025403	chr2	112261926	112262898	+	734.0	1	Nop10|1110036B12Rik|NOP10P|Nola3|RP23-63C10.4|2|2 E4|protein-coding	117.331	95.446	72.10300000000001	112.821	42.191	69.388	69.829	50.24	74.682	27.326999999999998	31.881999999999998	81.869	80.954	16.639	21.749000000000002	Nop10
NM_013536	NM_013536	chr6	124704370	124712178	-	1037.0	1	Emg1|C2f|Grcc2f|-|6 F2|6 59.17 cM|protein-coding	147.829	114.46	96.352	150.757	72.788	92.41	76.49600000000001	67.524	74.873	37.994	39.873000000000005	87.91	99.87100000000001	35.150999999999996	33.648	Emg1
NM_001111292	NM_001111292	chr2	103767107	103797078	-	3477.0	1	Caprin1|AL022980|Caprin-1|Gpiap|Gpiap1|Mmgpip137|P137|rng105|RP23-266F3.4|2 E2|2|protein-coding	128.906	113.473	92.444	123.271	61.943999999999996	110.243	98.87299999999999	79.684	97.98700000000001	53.155	59.532	111.98299999999999	107.735	38.942	46.736999999999995	Caprin1
NM_011304	NM_011304	chr7	45421898	45434464	-	1658.0	1	Ruvbl2|mp47|p47|-|7|7 B2|protein-coding	133.888	96.85600000000001	62.632	128.003	27.845	65.565	55.644	43.038999999999994	59.193000000000005	21.76	22.816	67.137	81.767	15.07	13.860999999999999	Ruvbl2
NM_021718	NM_021718	chr19	11443558	11463548	+	1249.0	1	Ms4a4b|AI463180|Chandra|Ly116|-|19 A|19|protein-coding	140.554	153.333	191.49599999999998	109.259	178.485	163.99200000000002	156.428	147.622	146.542	97.711	112.415	153.736	123.32600000000001	101.125	71.742	Ms4a4b
NM_008388	NM_008388	chr15	43250040	43282736	-	1526.0	1	Eif3e|48kDa|Eif3s6|Int6|eIF3-p46|eIF3-p48|-|15 B3.2|15 16.73 cM|protein-coding	133.99	121.7	101.176	132.91899999999998	53.427	95.90700000000001	89.63799999999999	64.241	92.806	42.461999999999996	49.839	101.0	89.39	31.646	31.999000000000002	Eif3e
NM_001111267	NM_001111267	chr10	30645582	30655867	-	2748.0	1	Ncoa7|9030406N13Rik|-|10 A4|10|protein-coding	85.35600000000001	234.024	207.071	83.67299999999999	20.845	72.024	115.28	148.994	121.193	47.966	75.45100000000001	70.60300000000001	58.354	11.155999999999999	16.942	Ncoa7
NM_027959	NM_027959	chr12	17266595	17284770	+	2110.0	1	Pdia6|1700015E05Rik|AL023058|C77895|CaBP5|P5|Txndc7|-|12 A1.1|12|protein-coding	145.22799999999998	122.45299999999999	93.79700000000001	137.381	54.64	90.39299999999999	80.317	61.869	79.508	28.735	36.044000000000004	89.399	93.87100000000001	21.469	33.472	Pdia6
NM_178602	NM_178602	chr9	71478437	71485983	-	2242.0	1	Polr2m|AA407243|AA408799|AI303746|AW553238|D9Wsu138e|Grinl1a|mKIAA4185|-|9 D|9 39.85 cM|protein-coding	132.621	117.51299999999999	110.822	121.589	63.068000000000005	91.074	85.17299999999999	68.17699999999999	88.01	43.135	45.93	90.242	94.03399999999999	29.877	33.442	Polr2m
NM_027000	NM_027000	chr13	8972478	8996012	-	2546.0	1	Gtpbp4|2610028C09Rik|Crfg|Gtpbp3|NGB|Nog1|-|13 A1|13|protein-coding	145.69	140.619	93.365	126.17200000000001	32.51	78.627	72.953	56.277	69.89699999999999	20.565	27.029	73.204	75.137	13.142999999999999	16.965999999999998	Gtpbp4
NM_010477	NM_010477	chr1	55077834	55087932	-	2318.0	1	Hspd1|60kDa|Hsp60|-|1 C1.2|1|protein-coding	97.35700000000001	80.612	48.556999999999995	113.41	18.846	65.59	55.968	33.699	50.869	12.474	17.368	72.087	76.469	8.279	8.294	Hspd1
NM_013721	NM_013721	chr2	26910807	26913311	+	854.0	1	Rpl7a|Surf3|RP23-414L19.4|2 A3|2 19.1 cM|protein-coding	118.706	99.633	86.82700000000001	115.414	59.933	62.695	59.081	43.592	55.763000000000005	24.401999999999997	24.615	65.02199999999999	94.60600000000001	22.765	20.082	Rpl7a
NM_010908	NM_010908	chr7	28758251	28766524	-	1936.0	1	Nfkbib|IKB-beta|IKappaBbeta|IkB|IkBb|-|7|7 A3-B3|protein-coding	131.59	117.42299999999999	90.523	120.521	39.122	54.442	59.434	46.965	62.751000000000005	23.177	23.688000000000002	61.284	84.33200000000001	15.353	16.032	Nfkbib
NM_024220	NM_024220	chr7	97400003	97407800	+	676.0	1	Ndufc2|1810004I06Rik|2010300P09Rik|G1|R75094|-|7|7 E3|protein-coding	114.751	103.285	85.30799999999999	118.866	42.522	82.464	75.611	57.986000000000004	79.098	29.094	30.143	78.654	83.265	19.634	25.151	Ndufc2
NM_008211	NM_008211	chr11	116021961	116024504	-	1987.0	1	H3f3b|9430068D06Rik|H3.3B|-|11 E2|11|protein-coding	184.905	201.104	165.635	186.852	106.105	116.65799999999999	110.279	108.023	109.23	62.731	72.21	117.40899999999999	131.586	57.701	63.626999999999995	H3f3b
NM_007642	NM_007642	chr1	60746388	60773359	+	4311.0	1	Cd28|-|CH29-189K17.3|1 C1-C3|1 30.52 cM|protein-coding	56.052	34.02	30.985	61.91	39.875	98.321	77.236	40.321	75.956	39.443000000000005	43.184	100.155	100.83200000000001	35.86	29.796999999999997	Cd28
NM_025448	NM_025448	chr3	88579671	88588413	+	1176.0	1	Ssr2|1500032E05Rik|AI315033|AU020133|TLAP|TRAPB|TRAPbeta|-|3 F1|3|protein-coding	119.844	113.073	89.589	120.803	49.721000000000004	76.259	70.854	54.516000000000005	71.12899999999999	33.391999999999996	34.992	87.068	95.251	20.453	25.553	Ssr2
NM_145139	NM_145139	chr15	79075223	79094400	+	1878.0	1	Eif3l|0610011H21Rik|D15N1e|Eif3eip|Eif3ip|Eif3s6ip|HSP-66Y|PAF67|-|15 E1|15 37.7 cM|protein-coding	132.284	105.00200000000001	85.109	123.666	52.663000000000004	93.931	79.497	62.805	82.164	40.78	44.563	97.87700000000001	105.319	28.534000000000002	35.186	Eif3l
NM_053074	NM_053074	chr7	44816420	44830806	+	2380.0	1	Nup62|AA589433|AI426861|AI790512|AU045898|D7Ertd649e|Nupc1|p62|-|7 B4|7 23.1 cM|protein-coding	113.398	108.113	85.51	105.962	37.493	70.755	71.047	60.083999999999996	72.532	28.403000000000002	34.122	76.00399999999999	87.383	16.442	20.185	Nup62
NM_145610	NM_145610	chr9	20888175	20892179	+	1658.0	1	Ppan|A230087P06Rik|SSF1|-|9 A3|9|protein-coding	138.791	99.28299999999999	69.193	122.882	28.125999999999998	66.86	55.956	44.949	55.353	13.512	15.37	70.075	80.45100000000001	10.860999999999999	12.311	Ppan
NM_027911	NM_027911	chr9	21074164	21091988	-	3429.0	1	Raver1|1300006N24Rik|AA050359|mKIAA1978|-|9 A3|9|protein-coding	90.33	77.34	71.97	87.928	44.673	86.885	84.007	70.005	85.12299999999999	44.802	50.316	93.79799999999999	101.60700000000001	30.311	31.998	Raver1
NM_175423	NM_175423	chr5	123015074	123030452	+	1867.0	1	Orai1|D730049H07Rik|Tmem142a|orai-1|-|5 F|5|protein-coding	143.793	152.335	139.58700000000002	132.155	103.15	96.87700000000001	102.45700000000001	107.352	98.479	64.077	70.212	104.99	125.449	44.122	51.118	Orai1
NM_010886	NM_010886	chr6	11900373	11907446	-	486.0	1	Ndufa4|MLRQ|-|6 A2|6|protein-coding	161.94	147.884	114.45	184.81400000000002	93.18700000000001	110.525	94.529	76.021	93.406	38.86	48.763000000000005	112.146	113.515	49.618	49.221000000000004	Ndufa4
NM_008326	NM_008326	chr11	48865249	48871346	-	2222.0	1	Irgm1|Ifggd3|Ifi1|Iigp3|Iipg3|Irgm|LRG-47|RP23-14F5.1|11 B1.2|11|protein-coding	56.43	34.067	23.579	64.53699999999999	34.784	92.07600000000001	66.449	27.554000000000002	68.069	16.178	19.635	119.875	90.625	21.649	26.625	Irgm1
NM_016884	NM_016884	chr14	52073380	52104028	-	2833.0	1	Hnrnpc|AL022939|D14Wsu171e|Hnrpc|Hnrpc1|Hnrpc2|hnRNPC1|hnRNPC2|hnrnp-C|-|14 C2|14 26.79 cM|protein-coding	140.442	138.195	105.89299999999999	141.46	63.78	93.595	87.273	69.182	84.76	43.515	50.331	96.266	108.012	35.302	36.95	Hnrnpc
NM_146087	NM_146087	chr18	61555582	61588299	+	2001.0	1	Csnk1a1|2610208K14Rik|4632404G05Rik|5430427P18Rik|CK1a|Csnk1a|-|18 D3|18|protein-coding	124.36200000000001	141.72	122.37100000000001	152.556	87.613	118.712	115.406	102.87100000000001	114.777	79.899	83.721	128.528	132.90200000000002	56.114	60.119	Csnk1a1
NM_008683	NM_008683	chr14	55662267	55671906	-	596.0	1	Nedd8|Rub1|-|14 C3|14 28.19 cM|protein-coding	184.648	173.737	138.20600000000002	198.11	98.62799999999999	104.531	106.037	110.756	106.738	54.523999999999994	65.96600000000001	116.74	130.585	62.207	61.282	Nedd8
NM_022891	NM_022891	chr11	97777526	97782439	-	1055.0	1	Rpl23|2810009A01Rik|RP23-386E10.5|11 D|11 61.1 cM|protein-coding	211.764	211.628	193.215	201.47299999999998	109.23	129.157	107.505	125.473	110.148	54.691	70.961	132.969	125.586	47.191	56.638000000000005	Rpl23
NM_007747	NM_007747	chr9	57521232	57532426	+	685.0	1	Cox5a|AA959768|CcOX|-|9 B|9|protein-coding	178.27700000000002	171.204	128.25	172.21200000000002	93.512	116.1	107.705	84.243	110.17399999999999	49.722	63.33	127.022	126.932	35.567	62.123000000000005	Cox5a
NM_010579	NM_010579	chr2	155819837	155826925	-	1487.0	1	Eif6|1110004P11|AA408895|CAB|Itgb4bp|eIF-6|imc-415|p27(BBP)|p27BBP|RP23-388H13.5|2 H1|2|protein-coding	141.421	114.307	86.969	144.667	41.095	66.512	61.6	52.248000000000005	65.86	22.248	26.073	73.375	96.137	17.432000000000002	22.901	Eif6
