	Chr	Start	End	Strand
13430	chr6	124909664	124911396	+
13613	chr16	76765205	76767465	+
13649	chr19	29261323	29263237	+
13893	chr17	35225959	35227997	+
13936	chr19	4135221	4137113	+
14123	chr17	46029321	46030757	+
14379	chr7	80416152	80418486	+
14432	chr10	57487746	57489572	+
14436	chr1	155159548	155160798	+
14745	chr11	117092508	117094062	+
14759	chr2	102398151	102399583	+
15225	chr4	136122780	136123670	+
15378	chr11	87452449	87453333	+
15420	chr5	144100312	144101760	+
15448	chr4	141141681	141143165	+
15456	chr1	131831887	131833645	+
15658	chr5	73240747	73241583	+
15694	chr11	87421278	87422444	+
15706	chr11	99198152	99199750	+
15800	chr3	68761047	68762931	+
16180	chr5	107754404	107756164	+
16191	chr1	39536747	39537497	+
16269	chr11	96826153	96827419	+
16478	chr17	84418100	84419248	+
16543	chr12	25154900	25156514	+
16580	chr12	78224972	78225734	+
16672	chr8	35123704	35124484	+
16858	chr7	75778146	75779270	+
16932	chr1	60853021	60854081	+
17041	chr9	88728098	88730070	+
17163	chr6	145073059	145074143	+
17224	chr1	80748628	80750106	+
17257	chr11	103694810	103696198	+
17544	chr5	125385700	125386950	+
17696	chr16	55835745	55836633	+
17787	chr11	86753740	86754886	+
17976	chr9	62261465	62262117	+
18048	chr3	95637814	95638718	+
18049	chr6	140560184	140561138	+
18168	chr14	30583759	30584591	+
18237	chr7	75800798	75801810	+
18303	chr5	147055338	147056542	+
18320	chr7	27360895	27362229	+
18328	chr19	53388581	53389361	+
18410	chr7	44814562	44815630	+
18413	chr1	64304982	64306438	+
18450	chr13	52913965	52915599	+
18453	chr1	171647364	171648016	+
18458	chr4	148623600	148624990	+
18475	chr4	62557346	62558364	+
18496	chr1	138128148	138129580	+
18549	chr17	17617156	17618498	+
18574	chr7	127511564	127512322	+
18605	chr9	33007985	33008735	+
18612	chr12	73778942	73779848	+
18631	chr3	135401980	135403038	+
18683	chr7	114139111	114140123	+
18844	chr5	147064303	147065037	+
18853	chr9	40805021	40805931	+
18998	chr10	18922722	18923868	+
18999	chr11	97118966	97120162	+
19037	chr11	58015815	58017039	+
19093	chr9	14906697	14907633	+
19125	chr9	57944447	57945123	+
19162	chr12	17736662	17737906	+
19178	chr5	122274042	122274920	+
19257	chr14	54398725	54400315	+
19371	chr4	56864270	56865042	+
19421	chr13	45876294	45877232	+
19453	chr11	87595452	87596332	+
19561	chr17	6660739	6662117	+
19679	chr13	30758021	30758781	+
19724	chr3	126611591	126612441	+
19774	chr3	138424015	138424915	+
19843	chr5	107719412	107720208	+
20036	chr17	31827581	31828569	+
20082	chr16	57556398	57557286	+
20097	chr15	5509667	5510619	+
20107	chr12	99874180	99875600	+
20122	chr10	81145693	81147137	+
20146	chr4	32349416	32350346	+
20177	chr3	88490452	88491344	+
20192	chr18	82489722	82491130	+
20195	chr3	145988429	145989179	+
20213	chr16	18617570	18618196	+
20239	chr16	22461741	22462503	+
20283	chr9	46168171	46169665	+
20301	chr13	45855868	45857384	+
20313	chr13	23488000	23489058	+
20327	chr1	134082320	134083072	+
20367	chr14	121830472	121831364	+
20385	chrX	100767479	100768229	+
20402	chr16	76763882	76764634	+
20412	chr7	16023998	16025212	+
20414	chr17	35215121	35216063	+
20429	chr1	183179749	183180501	+
20457	chr5	53400687	53401925	+
20503	chr9	46083337	46084387	+
20546	chr2	173307089	173308627	+
20550	chr4	149662509	149663405	+
20568	chr7	28820037	28820959	+
20600	chr11	60111083	60111975	+
20618	chr10	44028995	44029899	+
20627	chr5	120643782	120644978	+
20662	chr11	96057807	96059195	+
20675	chr3	105825292	105826210	+
20702	chr16	24704378	24705282	+
20739	chr2	18966598	18967316	+
20748	chr17	31829827	31830983	+
20828	chr16	23272575	23273325	+
20884	chr4	88014615	88015265	+
20917	chr16	32069095	32069719	+
20941	chr17	21537349	21538113	+
20952	chr13	45852238	45852886	+
20961	chr1	118399683	118400439	+
20972	chr18	32292999	32294137	+
20983	chr8	117285112	117286046	+
21008	chr15	36363778	36364866	+
21097	chr11	46359645	46360467	+
21100	chr4	130713179	130714245	+
21117	chr3	52522623	52523247	+
21121	chr15	97993063	97993829	+
21124	chr12	106026236	106027280	+
21143	chr19	37740488	37740988	+
21170	chr18	37640929	37642243	+
21184	chr6	140619278	140619914	+
21198	chr9	44875799	44876299	+
21233	chr8	119817245	119818173	+
21258	chr9	116115229	116115949	+
21310	chr7	80840928	80841428	+
21318	chr6	48047105	48047863	+
21328	chr7	24364977	24365829	+
21367	chr4	46649711	46650337	+
21413	chr19	46309468	46310470	+
21433	chr17	66064912	66065668	+
21439	chrX	142376768	142378274	+
21508	chr15	36397533	36398411	+
21521	chr11	100852658	100853288	+
21565	chr17	25583758	25584784	+
21611	chr11	104468412	104469296	+
21613	chr4	140695955	140696981	+
21624	chr6	121013790	121014664	+
21678	chr13	5866605	5867361	+
21731	chr12	51863435	51864217	+
21749	chr14	76569800	76570300	+
21756	chr6	120191033	120191799	+
21765	chr17	26595406	26596292	+
21849	chr6	114656059	114657111	+
21859	chr9	44655531	44656291	+
21863	chr16	91825366	91825994	+
21874	chr16	26666953	26667703	+
21876	chr19	10752474	10753224	+
21883	chr19	53490825	53492231	+
21893	chr11	108927762	108929030	+
21901	chr7	30955356	30956258	+
21915	chr6	54831360	54832022	+
21924	chr15	58669267	58670055	+
21929	chr2	32709759	32710697	+
21938	chr18	38429428	38430624	+
21983	chr7	110618536	110619446	+
21984	chr4	129514380	129515854	+
21989	chr1	164137122	164137746	+
21990	chr11	23852749	23853547	+
22006	chr2	11650602	11651102	+
22030	chr1	136698983	136699611	+
22036	chr18	7608624	7609380	+
22056	chr8	70800753	70801861	+
22089	chr5	148547909	148548545	+
22094	chr5	103698620	103699248	+
22120	chrX	101736603	101738011	+
22128	chr12	73912808	73913552	+
22136	chr12	73889382	73890144	+
22151	chr10	93834042	93834542	+
22197	chr14	61788189	61788689	+
22245	chr13	5408249	5409083	+
22261	chr15	100077063	100077563	+
22264	chr15	64042640	64043716	+
22293	chr11	32221157	32222137	+
22331	chr7	126357309	126357809	+
22365	chr1	58761502	58762506	+
22386	chr4	102587882	102588518	+
22414	chr17	7868576	7869466	+
22422	chr10	80988013	80988513	+
22430	chr7	90138984	90139736	+
22457	chr18	60920741	60921539	+
22460	chr2	102998011	102998511	+
22474	chr17	56478185	56479339	+
22483	chr17	88405306	88405806	+
22588	chr8	71476614	71477364	+
22597	chr5	136503581	136504237	+
22612	chr11	119680820	119681728	+
22622	chr12	102619325	102619977	+
22633	chr6	134147918	134148558	+
22718	chr12	111047674	111048460	+
22775	chr15	53307479	53308401	+
22787	chr17	29434058	29434558	+
22808	chr18	67698555	67699343	+
22814	chr11	99112408	99113708	+
22835	chr7	66118365	66118991	+
22836	chr4	95196820	95197444	+
22861	chr5	140829687	140830187	+
22871	chr10	7010586	7011368	+
22895	chr10	93188047	93188685	+
22902	chr9	118479773	118480563	+
22925	chr1	55030529	55031189	+
22959	chr10	98842008	98842634	+
23002	chr15	80632360	80633158	+
23012	chr7	19326182	19327018	+
23013	chr7	75415818	75416448	+
23069	chr9	108646027	108646661	+
23109	chr11	68457446	68458352	+
23127	chr14	56568960	56569638	+
23161	chr7	99093330	99093970	+
23171	chr11	79711569	79712615	+
23182	chr6	115673056	115673688	+
23194	chr14	66248919	66249419	+
23205	chr2	34775528	34776028	+
23236	chr9	72796679	72797305	+
23254	chr5	100912873	100913373	+
23263	chr17	31753664	31754428	+
23270	chr15	5511100	5511928	+
23289	chr15	28181992	28182492	+
23306	chr14	16169748	16170508	+
23322	chr14	61173757	61174257	+
23353	chr12	69385087	69385865	+
23354	chr16	72664093	72665187	+
23378	chr18	15060304	15061138	+
23387	chr15	80518385	80519039	+
23420	chr13	45875780	45876280	+
23421	chr5	103767101	103768129	+
23422	chr9	32815864	32816504	+
23424	chr11	4198439	4199369	+
23432	chr11	120915867	120916639	+
23433	chr17	12506687	12507447	+
23436	chr1	39572368	39573422	+
23438	chr4	9668283	9669037	+
23441	chr1	136127344	136128068	+
23472	chr15	66806816	66807316	+
23486	chr3	135636055	135636555	+
23551	chr12	80213833	80214595	+
23570	chr2	45116543	45117043	+
23581	chr7	109957060	109958130	+
23602	chr8	120715473	120716101	+
23629	chr2	93432017	93433125	+
23645	chr3	27283502	27284278	+
23650	chr15	100914192	100914948	+
23656	chr14	53369498	53370382	+
23658	chr16	91542109	91542901	+
23694	chr10	81510725	81511493	+
23695	chr9	32609255	32609755	+
23700	chr11	83535744	83536390	+
23703	chr1	36325397	36326349	+
23712	chr11	97123255	97124641	+
23716	chr2	9577330	9578050	+
23726	chr13	30819895	30820547	+
23741	chr9	123950745	123951445	+
23742	chr10	67427215	67428101	+
23744	chr6	140630483	140631109	+
23746	chr1	127779649	127780851	+
23750	chr9	118481337	118482457	+
23776	chr17	32419451	32420291	+
23785	chr11	54998175	54998675	+
23816	chr5	123085280	123086050	+
23862	chr4	11419942	11420566	+
23872	chr3	153909070	153909996	+
23883	chr3	122292692	122293318	+
23884	chr1	73941002	73941768	+
23894	chr1	185200409	185201303	+
23902	chr4	130909267	130909767	+
23916	chr16	95780305	95781193	+
23920	chr4	156009616	156010380	+
23921	chr12	52607120	52608024	+
23943	chr5	107738610	107739334	+
23954	chr12	99741351	99741851	+
23959	chr10	58350616	58351344	+
23963	chr4	87983097	87983751	+
23978	chr2	127309638	127310272	+
23997	chr15	93228647	93229299	+
24019	chr10	121268946	121269734	+
24039	chr15	62078983	62080019	+
24052	chr4	156236555	156237379	+
24070	chr2	122161406	122162032	+
24092	chr13	101801241	101802169	+
24094	chr10	14017641	14018141	+
24118	chr8	126625815	126626315	+
24127	chr3	61368303	61368937	+
24137	chr10	111233268	111233894	+
24143	chr5	117359908	117360576	+
24168	chr8	35204680	35205308	+
24171	chr1	161772652	161773578	+
24172	chr3	37231153	37232443	+
24195	chr1	54874486	54875278	+
24232	chr3	94658000	94658904	+
24327	chr2	68470650	68471284	+
24328	chr11	109413400	109414276	+
24341	chr19	11372163	11372813	+
24344	chr12	55450104	55450984	+
24358	chr11	61684685	61685437	+
24364	chr10	39292735	39293235	+
24366	chr7	58740752	58741252	+
24390	chr12	33038826	33039450	+
24410	chr16	24910708	24911208	+
24426	chr9	62976841	62977341	+
24434	chr9	108035565	108036065	+
24435	chr18	61570422	61571054	+
24459	chr4	11089561	11090293	+
24463	chr12	55495016	55495516	+
24465	chr7	28451973	28452797	+
24470	chr2	38205077	38205577	+
24488	chr15	36750776	36751426	+
24491	chr16	91523870	91524760	+
24497	chr8	4318320	4319116	+
24519	chr19	54010102	54011176	+
24521	chr14	121356039	121356539	+
24543	chr1	160794007	160795237	+
24544	chr17	80131256	80132168	+
24545	chr10	96399202	96399702	+
24574	chr19	47142354	47143160	+
24585	chr17	5024310	5025078	+
24590	chr11	98355494	98356386	+
24616	chr13	38076599	38077477	+
24618	chr3	68792893	68793393	+
24633	chr10	24777798	24778680	+
24661	chr12	105789611	105790485	+
24662	chr3	101047672	101048550	+
24664	chr2	6483282	6483914	+
24669	chr4	33146762	33147262	+
24716	chr16	24220729	24221399	+
24721	chr7	75800198	75800698	+
24735	chr6	144278703	144279331	+
24746	chr14	63131970	63132470	+
24748	chr14	74359950	74360578	+
24758	chr14	61778268	61779192	+
24768	chr6	34273241	34273741	+
24778	chr18	34088944	34089714	+
24781	chr13	51119093	51119849	+
24820	chr9	114507676	114508426	+
24821	chr2	23048544	23049044	+
24838	chrX	101128430	101129282	+
24844	chrX	48312673	48313437	+
24845	chr16	84623925	84624821	+
24864	chr4	59243984	59244484	+
24874	chr2	52573607	52574373	+
24895	chr10	14019618	14020278	+
24917	chr1	55057483	55058697	+
24918	chr17	33678532	33679032	+
24940	chr3	106551642	106552268	+
24942	chr5	137286990	137287490	+
24965	chr11	58017712	58018212	+
24966	chr13	99938697	99939197	+
24973	chr8	109956381	109957263	+
24975	chr15	77894954	77895704	+
24976	chr9	58592703	58593643	+
24978	chr9	66894693	66895193	+
24980	chr6	85434274	85434946	+
24984	chr5	142421143	142421643	+
24988	chr12	80239683	80240327	+
24989	chr10	54064764	54065264	+
24997	chr2	13222730	13223450	+
25004	chr7	45628248	45628748	+
25016	chr14	54213740	54214240	+
25020	chr19	53432649	53433593	+
25039	chr9	14104617	14105245	+
25040	chr5	117158733	117159787	+
25043	chr15	79229425	79229925	+
25049	chr17	15743841	15744341	+
25079	chr2	31930127	31930881	+
25129	chr3	75552241	75553359	+
25162	chr18	50010175	50010987	+
25171	chr4	57886328	57887040	+
25172	chr5	139164593	139165227	+
25184	chr11	80779286	80779910	+
25188	chr9	123722629	123723129	+
25189	chr12	32998925	32999425	+
25194	chr11	80496914	80497626	+
25206	chr10	14033841	14034653	+
25207	chr13	29792132	29792900	+
25214	chr2	9868823	9869323	+
25224	chr8	13200002	13200626	+
25226	chr16	94079185	94079685	+
25231	chr9	61627985	61628751	+
25232	chr1	171777923	171778423	+
25242	chr6	125242976	125243606	+
25259	chrX	75061754	75062564	+
25264	chr1	161793252	161793752	+
25275	chr15	102743171	102743801	+
25280	chr16	10640587	10641213	+
25304	chr4	133614381	133614881	+
25307	chr18	67209209	67210027	+
25310	chr3	135634466	135635092	+
25324	chr10	34013103	34014001	+
25341	chr8	126894954	126895454	+
25383	chr7	123108242	123109008	+
25391	chr2	128376967	128377725	+
25397	chr5	112241493	112242119	+
25407	chr4	9066717	9067345	+
25461	chr3	135677831	135678633	+
25478	chr13	47102978	47103756	+
25501	chr11	115337410	115338048	+
25502	chr2	153744419	153745261	+
25529	chr15	79037577	79038353	+
25553	chr8	111546858	111547630	+
25556	chr19	7560887	7561805	+
25560	chr19	7336095	7336595	+
25592	chr5	110444501	110445345	+
25618	chr5	53546257	53546757	+
25626	chr2	29645141	29645831	+
25629	chr7	41389484	41390394	+
25639	chr11	53129058	53129558	+
25651	chr5	142911294	142911918	+
25676	chr17	33680614	33681114	+
25716	chr15	85346512	85347012	+
25735	chr1	94047041	94047863	+
25736	chr4	101221687	101222187	+
25742	chr2	128061025	128061829	+
25759	chr13	51758903	51759581	+
25782	chr1	139412688	139413462	+
25787	chr2	11546259	11546759	+
25796	chr6	146494941	146495713	+
25822	chr13	95882015	95882515	+
25828	chrX	159680523	159681281	+
25829	chr5	135196582	135197082	+
25839	chr14	98166698	98167680	+
25849	chr14	25484239	25484865	+
25851	chr1	106544748	106545374	+
25863	chr14	21525118	21525766	+
25881	chr8	122996099	122996961	+
25899	chr10	62549580	62550240	+
25920	chr9	69457868	69458626	+
25921	chr9	123017344	123018120	+
25934	chr11	46400030	46400694	+
25940	chr12	3304287	3305217	+
25943	chr13	97409529	97410153	+
25945	chr9	63137138	63138010	+
25952	chr6	119198757	119199453	+
25958	chr19	40873719	40874219	+
25985	chr9	122245715	122246469	+
25993	chr15	77864251	77864751	+
25994	chr4	117484063	117484841	+
26006	chr16	84710436	84711164	+
26010	chr17	83851184	83851942	+
26029	chr11	104617754	104618616	+
26031	chr11	21221454	21222158	+
26034	chr5	118620549	118621049	+
26043	chr2	103585899	103586749	+
26051	chr6	125301923	125302423	+
26073	chr11	99186814	99187314	+
26074	chrX	140529056	140529944	+
26085	chr11	97335826	97336452	+
26137	chr17	44718858	44719512	+
26158	chr6	15728688	15729316	+
26176	chr13	95063326	95064138	+
26177	chr16	43650425	43650925	+
26189	chr1	106606544	106607044	+
26193	chr17	35697642	35698142	+
26200	chr19	10750706	10751376	+
26206	chr14	8254764	8255538	+
26207	chr5	62858922	62859556	+
26224	chr1	143654301	143654801	+
26228	chr2	121167556	121168408	+
26232	chr12	73714177	73714677	+
26235	chr13	30793645	30794145	+
26254	chr11	61698832	61699332	+
26258	chr1	165998854	165999784	+
26260	chr5	122983109	122983773	+
26261	chr3	37640837	37641337	+
26272	chr8	64726589	64727215	+
26274	chr6	28931195	28932187	+
26279	chr4	57039007	57039709	+
26295	chr12	21132730	21133492	+
26303	chr9	14072120	14072620	+
26304	chr8	11393339	11394131	+
26310	chr3	40531150	40531916	+
26330	chr14	27268449	27268949	+
26344	chr5	75070350	75070994	+
26346	chr5	32052557	32053455	+
26378	chr6	129193111	129193611	+
26382	chr17	28471057	28471681	+
26386	chrX	164012419	164013691	+
26405	chr5	20332729	20333379	+
26407	chr5	118579806	118580306	+
26411	chr1	57944679	57945581	+
26432	chr19	5429991	5430747	+
26448	chr2	28465943	28466443	+
26454	chr6	29856086	29856790	+
26456	chr10	111227039	111227539	+
26478	chr3	152952410	152952910	+
26486	chr5	17389613	17390113	+
26495	chr15	102079769	102080613	+
26496	chr10	128064777	128065401	+
26498	chr10	54037725	54038225	+
26499	chr5	5420075	5420575	+
26501	chr1	184854139	184854639	+
26506	chr9	100690285	100690785	+
26507	chr1	95754674	95755298	+
26520	chr17	31306419	31306919	+
26524	chr19	36473806	36474664	+
26527	chr8	120728003	120728673	+
26530	chr2	72283365	72284269	+
26570	chr12	101077933	101078683	+
26579	chr10	13972230	13972864	+
26603	chr5	142375276	142376034	+
26607	chr7	19301931	19302555	+
26621	chr8	72139168	72139898	+
26622	chr2	75639266	75640656	+
26623	chr14	104467142	104467642	+
26645	chr14	66274282	66274782	+
26650	chr14	73442027	73442801	+
26661	chr11	78781984	78782484	+
26671	chr8	88221023	88221809	+
26681	chr17	71622294	71623100	+
26683	chr4	128884749	128885499	+
26698	chrX	47998740	47999506	+
26703	chr11	75199086	75199736	+
26712	chr11	55102507	55103007	+
26717	chr14	53742926	53743860	+
26731	chr14	54107863	54108363	+
26736	chr16	45388842	45389616	+
26753	chr10	67607499	67607999	+
26769	chr15	36564463	36564963	+
26794	chr6	100279544	100280044	+
26796	chr1	106629548	106630176	+
26805	chr16	49970985	49971485	+
26808	chr6	120819283	120819915	+
26813	chr12	107772874	107773374	+
26814	chr2	6733086	6733586	+
26815	chr1	191383144	191383788	+
26831	chr1	175640343	175640843	+
26834	chr15	67413490	67413990	+
26841	chr5	77217249	77218163	+
26844	chrX	164245413	164246503	+
26850	chr10	67696136	67696636	+
26859	chr2	131505582	131506082	+
26863	chr5	148395170	148395670	+
26869	chr16	30024902	30025402	+
26891	chr14	49063728	49064504	+
26892	chr4	124659634	124660414	+
26898	chr7	128131715	128132387	+
26908	chr10	98920282	98920930	+
26911	chr3	37282515	37283693	+
26914	chr10	127179907	127180775	+
26917	chrX	142901390	142902154	+
26921	chr6	50115990	50116936	+
26922	chrX	145362468	145363366	+
26941	chr1	78485021	78485521	+
26963	chr5	64908150	64908798	+
26982	chr9	46142511	46143363	+
26996	chr9	115301029	115301659	+
26999	chr1	35579655	35580279	+
27009	chr15	100735599	100736351	+
27060	chr6	38120792	38121422	+
27067	chr11	62184804	62185450	+
27074	chr9	99478989	99479613	+
27078	chrX	50571975	50572599	+
27103	chr11	83010703	83011203	+
27109	chr10	14115226	14115726	+
27118	chr16	32916630	32917130	+
27130	chr9	57342075	57342705	+
27144	chrX	159741011	159741987	+
27151	chr6	54852656	54853156	+
27152	chr11	11682761	11683261	+
27153	chr11	88690511	88691345	+
27155	chr12	25208420	25209154	+
27169	chr14	72869313	72869813	+
27172	chr9	83551676	83552468	+
27205	chrX	57190088	57190776	+
27212	chr16	75854491	75855125	+
27215	chr1	52491559	52492059	+
27217	chr1	136341868	136342506	+
27220	chr17	24170888	24171570	+
27224	chr11	4826076	4826832	+
27272	chr7	43283050	43283722	+
27273	chr10	19004135	19004773	+
27276	chr7	97624475	97625185	+
27293	chr13	33000438	33001104	+
27301	chr2	112309389	112309889	+
27336	chr2	156717356	156717856	+
27338	chr10	81538073	81538573	+
27348	chr3	104714087	104714587	+
27350	chr10	19572293	19573193	+
27353	chr11	117297351	117298139	+
27355	chr2	25540208	25540960	+
27357	chr15	80807902	80808402	+
27364	chr15	80505701	80506555	+
27372	chr10	7685622	7686568	+
27381	chr4	122877873	122878373	+
27395	chr1	59150712	59151338	+
27408	chr16	10759209	10759839	+
27413	chr8	81860938	81861612	+
27424	chr19	53543527	53544165	+
27433	chr19	18624144	18624644	+
27434	chr4	63940243	63940905	+
27437	chr10	117909234	117909734	+
27449	chr4	109135088	109136102	+
27457	chr7	90006954	90007454	+
27470	chr12	73637642	73638450	+
27477	chr18	5940524	5941024	+
27489	chr9	80074926	80075552	+
27514	chr19	45683278	45684206	+
27519	chr6	82744629	82745415	+
27521	chr6	113612853	113613541	+
27529	chr4	62965583	62966209	+
27533	chr11	54428168	54428870	+
27545	chr11	75458391	75458891	+
27560	chr5	64651676	64652176	+
27561	chr11	5342416	5343168	+
27565	chr5	105798595	105799391	+
27567	chr4	47314992	47315492	+
27570	chr11	60125324	60126090	+
27584	chr7	132336444	132336944	+
27589	chr13	35035915	35036415	+
27606	chr2	93418808	93419472	+
27608	chr9	41169466	41169966	+
27616	chr12	115847580	115848206	+
27619	chr15	80035013	80035641	+
27626	chr5	105056448	105057236	+
27643	chr19	29157501	29158257	+
27653	chr9	116091099	116091599	+
27656	chr15	57906946	57907756	+
27661	chr2	11690152	11690834	+
27663	chr4	57952962	57953608	+
27666	chr19	10780780	10781280	+
27672	chr8	121902146	121902646	+
27674	chr7	80166382	80167114	+
27675	chr1	43353843	43354343	+
27680	chr3	19304808	19305436	+
27681	chr15	66718657	66719157	+
27690	chr9	58255061	58255699	+
27693	chr2	101756801	101757301	+
27722	chr8	46143383	46144157	+
27724	chr19	59332289	59332921	+
27731	chr1	125474139	125474639	+
27737	chr3	116327245	116327745	+
27746	chr9	79951383	79952031	+
27748	chr17	73786832	73787464	+
27757	chr2	31042541	31043041	+
27758	chr15	38635754	38636254	+
27765	chr10	127176484	127176984	+
27772	chr7	137440378	137441138	+
27776	chr1	88647003	88647503	+
27786	chr1	164887936	164888436	+
27797	chr2	72840934	72841742	+
27834	chr12	76364677	76365177	+
27845	chr5	8455451	8456239	+
27846	chr12	79430336	79430836	+
27847	chr12	85691843	85692343	+
27857	chr14	78300868	78301368	+
27859	chr10	127327191	127327841	+
27878	chr4	122951301	122951801	+
27911	chr9	96516920	96517704	+
27912	chr8	114788565	114789369	+
27931	chr11	83304123	83304623	+
27932	chr19	41495339	41495969	+
27944	chr10	80961199	80962073	+
27960	chr11	17943561	17944381	+
27976	chr1	167337315	167337943	+
27981	chr6	129267192	129267692	+
27985	chr2	117308216	117308926	+
27999	chr3	89451429	89452139	+
28005	chr15	101235821	101236321	+
28007	chr4	8906294	8906794	+
28026	chr11	22936519	22937019	+
28035	chr6	72689109	72689953	+
28043	chr14	27303816	27304316	+
28044	chr2	170287676	170288176	+
28062	chr18	42514531	42515183	+
28084	chr4	149683390	149683890	+
28088	chr9	30429866	30430366	+
28091	chr13	93757558	93758186	+
28096	chr2	152782764	152783522	+
28097	chr10	89680930	89681430	+
28098	chr5	119324357	119324983	+
28107	chr11	104691760	104692614	+
28112	chr5	148378365	148379003	+
28113	chr17	17423823	17424453	+
28145	chr18	33088476	33088976	+
28154	chr18	44387359	44387859	+
28155	chr4	88109606	88110230	+
28157	chr2	151548728	151549228	+
28163	chr7	100852257	100852897	+
28175	chr4	33273172	33273672	+
28190	chr9	57954570	57955284	+
28197	chr13	113612883	113613727	+
28202	chr10	75329665	75330301	+
28211	chr1	36281229	36281871	+
28220	chr5	142963909	142964605	+
28226	chr5	147338052	147338682	+
28234	chr8	125861827	125862473	+
28237	chr16	24160462	24160962	+
28243	chr6	108844251	108844879	+
28249	chrX	107100301	107101201	+
28271	chr4	87985418	87986044	+
28272	chr12	51847488	51847988	+
28274	chr6	83423822	83424322	+
28278	chr8	9980318	9980818	+
28306	chr16	93005290	93005790	+
28311	chr9	118285178	118285678	+
28313	chr17	87119427	87119927	+
28330	chr15	61981163	61981825	+
28331	chr5	64158146	64158646	+
28339	chr2	152790938	152791438	+
28346	chr10	59792169	59792669	+
28350	chr13	45932190	45932994	+
28354	chrX	52783557	52784189	+
28370	chr16	10655610	10656110	+
28390	chr9	120013251	120013901	+
28409	chr13	30564916	30565416	+
28437	chr11	35326479	35327111	+
28452	chr6	50387248	50388012	+
28463	chr2	131888541	131889041	+
28467	chr8	105640251	105640751	+
28477	chr3	87524005	87524639	+
28479	chr6	114930579	114931079	+
28487	chr1	135813568	135814068	+
28497	chr9	46072841	46073341	+
28502	chr9	44194548	44195048	+
28508	chr11	80481024	80481798	+
28515	chr1	35861040	35861540	+
28516	chr9	109041066	109041708	+
28517	chr3	51634617	51635253	+
28519	chrX	77531630	77532406	+
28524	chr10	117987757	117988257	+
28529	chr19	55667614	55668114	+
28532	chr7	75584713	75585213	+
28533	chr2	126602507	126603007	+
28547	chr18	82498274	82498900	+
28561	chr17	50466878	50467378	+
28580	chr7	130886217	130886717	+
28583	chr11	116407255	116408017	+
28591	chr19	53155906	53156406	+
28598	chr2	25665884	25666552	+
28599	chr5	106457232	106457870	+
28602	chr5	77123036	77123852	+
28618	chr7	15944360	15945050	+
28621	chr13	44735568	44736068	+
28633	chr19	29437481	29438331	+
28634	chr3	135672658	135673158	+
28635	chr1	178191088	178191720	+
28642	chr3	20114851	20115351	+
28644	chr8	35629216	35629872	+
28653	chr14	105239755	105240379	+
28656	chr15	100301444	100302294	+
28671	chr8	33853366	33853866	+
28674	chr14	53350751	53351251	+
28686	chr5	143511679	143512179	+
28688	chr18	82514556	82515056	+
28691	chr8	81585967	81586467	+
28700	chr1	127302767	127303403	+
28711	chr11	33952039	33952811	+
28729	chr2	147083691	147084191	+
28741	chr9	96625084	96625844	+
28748	chr7	74549664	74550300	+
28749	chr11	96476127	96476627	+
28762	chr10	39429280	39429780	+
28769	chr10	118758357	118758857	+
28772	chr9	116296017	116296517	+
28773	chr18	80619597	80620365	+
28781	chr6	98808211	98808711	+
28792	chr16	32499642	32500142	+
28794	chr5	118646557	118647057	+
