	Chr	Start	End	Strand
304	chr16	32160646	32167150	+
305	chr1	160043136	160048706	+
306	chr11	119389656	119395680	+
307	chr11	49084648	49092366	+
308	chr3	95226802	95233080	+
309	chr8	119836272	119841650	+
310	chr19	5870546	5875762	+
312	chr15	77813792	77823382	+
313	chr19	53192843	53199661	+
315	chr17	84115036	84121732	+
316	chr15	97370473	97379687	+
318	chr2	164074379	164080347	+
319	chr7	16840721	16846593	+
320	chr4	129820902	129828850	+
321	chr15	61983524	61991870	+
322	chr13	24600691	24606425	+
323	chr18	82909885	82916631	+
324	chr19	44292699	44299181	+
325	chr14	121368943	121377969	+
326	chr2	144263850	144271798	+
327	chr12	86890725	86898103	+
328	chr6	39375924	39383058	+
329	chr12	15809145	15816827	+
330	chr11	95354106	95359614	+
331	chr7	45704062	45709284	+
332	chr4	139193229	139200151	+
333	chr19	10824236	10830610	+
334	chr11	34779361	34784717	+
335	chr10	75588254	75592906	+
336	chr1	9742412	9747776	+
338	chr2	57109212	57117732	+
339	chr1	95664428	95669358	+
340	chr5	144219081	144225143	+
341	chr12	86945235	86951057	+
343	chr8	14992717	14999477	+
344	chr15	89307403	89314723	+
345	chr2	32151593	32156529	+
346	chr1	193196875	193202687	+
347	chr19	57355149	57361301	+
348	chr2	32719292	32725426	+
349	chr10	42860084	42866552	+
350	chr12	33313331	33318155	+
351	chr11	118222339	118229505	+
353	chr2	129178760	129186992	+
354	chr17	47592093	47599405	+
355	chr3	105795481	105803015	+
356	chr2	157128960	157136388	+
357	chr3	88450893	88457513	+
358	chr10	81494219	81501089	+
359	chr17	57277509	57285101	+
360	chr16	45222643	45229423	+
362	chr11	60930850	60937436	+
363	chr2	79254003	79260825	+
364	chr2	170217491	170223871	+
365	chr15	99391869	99397443	+
367	chr11	117962385	117968857	+
368	chr9	106169341	106176701	+
369	chr19	11444694	11451802	+
372	chr9	106368942	106373482	+
373	chr4	101257527	101264475	+
374	chr1	171766319	171773401	+
375	chr2	92456551	92461925	+
376	chr4	134115740	134122814	+
377	chr6	129181451	129187331	+
378	chr11	109364240	109371250	+
379	chr3	89959654	89965460	+
380	chr14	27232107	27239681	+
381	chr3	88136129	88141611	+
382	chr17	29392127	29398883	+
383	chr14	60708383	60713105	+
384	chr11	106155626	106160606	+
385	chr19	34638791	34645173	+
386	chr5	122231313	122237449	+
387	chr3	95671787	95676601	+
388	chr11	100933977	100940365	+
389	chr7	16401467	16406599	+
390	chr10	79854631	79858463	+
391	chr11	78981711	78985301	+
393	chr6	86847784	86853880	+
394	chr15	66809761	66815237	+
395	chr11	59221832	59228746	+
396	chr17	84179908	84185922	+
397	chr4	124750391	124757495	+
398	chr1	136625935	136631773	+
399	chr16	35868857	35873331	+
400	chr13	24637268	24642670	+
401	chr17	70845293	70852701	+
402	chr11	52292191	52301441	+
404	chr6	124729791	124735003	+
405	chr8	117257347	117264229	+
406	chr5	142402130	142408894	+
407	chr17	35230367	35236617	+
408	chr16	23174572	23181452	+
409	chr6	124882574	124888176	+
410	chr19	3321568	3326630	+
411	chr9	44483207	44491097	+
412	chr1	132008622	132014548	+
413	chr7	118111170	118116030	+
414	chr15	98867448	98871600	+
415	chr16	97534381	97540221	+
416	chr15	77797092	77804366	+
419	chr1	88276699	88277965	+
421	chrX	96095280	96109206	+
422	chr15	102242604	102249742	+
423	chr2	160732123	160737001	+
424	chr3	93552240	93559716	+
425	chr13	113614650	113618520	+
426	chr2	25193085	25197619	+
427	chr1	52007519	52013439	+
428	chr3	88508353	88515047	+
429	chr8	119826489	119835039	+
430	chr3	89185566	89191704	+
431	chr8	15028294	15034478	+
432	chr13	55369032	55374550	+
433	chr4	152445566	152449928	+
434	chr6	30298358	30303682	+
435	chr6	125479065	125485931	+
436	chr5	115708418	115717488	+
437	chr6	145120513	145126361	+
438	chr2	166704613	166712825	+
439	chr11	80075931	80082507	+
440	chr4	152114629	152122115	+
441	chr14	55602534	55608404	+
443	chr16	22257815	22264653	+
444	chr18	49978633	49984295	+
447	chr17	7925528	7932270	+
448	chr4	122882287	122887491	+
449	chr13	117217492	117224670	+
450	chr17	46159531	46164657	+
451	chr14	120274211	120279189	+
452	chr10	117839152	117845548	+
453	chr7	25679529	25687927	+
454	chr9	63734372	63741136	+
455	chr2	126495609	126501455	+
456	chr13	112464465	112470087	+
458	chr1	191179208	191187004	+
459	chr13	55445394	55450004	+
460	chr8	34141623	34145795	+
461	chr18	32396390	32400258	+
462	chr10	128090924	128095852	+
464	chr15	27674687	27682129	+
465	chr11	100735712	100739988	+
466	chr4	63858178	63863828	+
467	chr16	23608590	23614500	+
468	chr3	52269844	52275672	+
471	chr13	49305844	49309700	+
472	chr11	46307523	46311645	+
474	chr19	53420638	53426268	+
475	chr12	76371456	76377786	+
476	chr17	25829134	25836132	+
477	chr19	10782416	10790196	+
478	chr11	100844027	100849959	+
479	chr7	68284508	68290056	+
480	chr17	32398816	32404900	+
481	chr6	83436077	83443099	+
482	chr11	118206721	118213309	+
483	chr4	135153957	135161099	+
484	chr12	99559263	99565299	+
485	chr6	97208542	97215136	+
486	chr1	138133025	138140063	+
487	chr7	125486703	125493793	+
489	chr15	53342127	53347301	+
491	chr19	7337484	7341202	+
492	chr4	154924689	154929969	+
493	chr1	162734012	162739952	+
494	chr7	73536279	73542883	+
495	chr15	101265778	101272880	+
496	chr15	9523554	9530392	+
497	chr6	134034288	134042520	+
498	chr11	75530039	75535191	+
499	chr7	126469192	126475832	+
500	chr14	40952597	40959995	+
501	chr10	127289296	127295088	+
502	chr13	73732072	73738282	+
503	chr5	64803733	64808809	+
504	chr7	27223560	27229198	+
505	chr6	125097780	125101278	+
506	chr5	139791262	139795992	+
507	chr11	58975627	58982137	+
509	chr16	8732869	8738727	+
510	chr9	123478368	123483766	+
511	chr16	52031338	52037508	+
512	chr18	56468035	56473639	+
514	chr5	142907178	142911430	+
515	chr1	36269793	36275539	+
516	chr2	103568189	103572985	+
517	chr2	32490469	32496719	+
518	chr3	131104754	131110460	+
520	chr2	11191375	11197777	+
521	chr1	36306557	36311919	+
522	chr18	46521181	46526141	+
523	chr10	67535298	67541780	+
524	chr10	54071277	54075591	+
525	chr4	140943333	140949827	+
526	chr2	22772591	22777621	+
527	chr11	74828745	74835253	+
528	chr1	91090173	91097529	+
529	chr19	11407079	11414803	+
530	chr9	56088223	56093815	+
531	chr12	108761596	108767940	+
532	chr15	81855516	81860352	+
533	chr7	79271975	79276523	+
534	chr7	5059268	5066170	+
535	chr15	81042024	81047250	+
536	chr8	34153507	34158679	+
537	chr13	101696373	101703097	+
538	chr5	123395908	123400092	+
539	chr10	128490140	128494584	+
540	chr11	120627340	120633044	+
541	chr3	135684890	135691162	+
543	chr16	19978908	19984080	+
544	chr9	7866294	7871588	+
545	chr11	30193326	30198570	+
546	chr3	87525226	87529928	+
547	chr11	58181240	58186858	+
548	chr2	170125000	170130282	+
549	chr10	68275153	68281559	+
550	chr5	123015650	123020432	+
551	chr11	107446219	107452391	+
552	chr14	54123938	54129762	+
553	chr3	60471555	60477883	+
554	chr12	113152433	113158253	+
555	chr12	84767959	84774323	+
556	chr11	98960383	98966323	+
557	chr17	45554441	45559355	+
559	chr9	63131859	63136327	+
560	chr11	43382273	43389257	+
561	chr5	140594178	140599122	+
562	chr6	41551632	41555956	+
563	chr13	41484035	41488279	+
564	chr1	54921565	54926583	+
565	chr1	34836824	34843362	+
566	chr6	129232876	129238484	+
567	chr1	88695677	88700997	+
568	chr9	111272128	111277502	+
569	chr11	62573763	62577151	+
570	chr10	80155227	80161827	+
572	chr2	165880802	165886668	+
573	chr6	142958270	142966476	+
574	chr5	122159533	122164565	+
575	chr7	126364307	126371291	+
576	chr4	59330908	59337976	+
577	chr12	98267476	98272888	+
578	chr9	41079006	41087500	+
579	chr4	40850590	40854360	+
580	chr9	21028748	21033318	+
581	chr17	35992918	36001528	+
583	chr8	106051868	106057650	+
584	chr15	73173487	73179979	+
585	chr11	21092602	21097762	+
586	chr9	44491827	44499019	+
587	chr8	34804534	34811142	+
588	chr5	112270611	112276727	+
589	chr6	114872769	114877523	+
590	chr1	134075038	134079368	+
591	chr17	29003326	29009782	+
592	chr9	111055004	111058524	+
593	chr17	56030276	56036140	+
594	chr17	72917259	72923169	+
596	chr7	16043232	16048532	+
598	chr9	21325423	21333247	+
600	chr7	80859320	80865422	+
602	chr18	35737109	35741321	+
603	chr12	102694709	102700893	+
605	chr15	78770087	78773951	+
606	chr14	70774279	70778015	+
607	chr12	85472060	85477080	+
608	chr8	3352336	3355980	+
609	chr9	21014308	21019958	+
610	chr2	180697844	180704296	+
612	chr9	107284931	107290835	+
613	chr11	11714791	11721541	+
614	chr12	112822399	112828817	+
615	chr9	58244895	58249761	+
616	chr19	47508030	47513470	+
617	chr12	103440694	103445686	+
619	chr19	53887907	53894223	+
620	chr15	79738549	79742297	+
622	chr18	60372994	60380374	+
623	chr12	101023983	101029129	+
624	chr1	138141565	138148299	+
625	chr8	72162160	72168048	+
626	chr12	100991476	100996990	+
628	chr1	171680772	171686806	+
629	chr18	4349098	4355322	+
630	chr2	154657270	154663118	+
631	chr15	59648616	59654852	+
632	chr17	6475652	6477944	+
633	chr11	6469714	6474690	+
634	chr7	100852755	100857233	+
635	chr14	40961831	40966651	+
636	chr6	48718358	48723062	+
637	chr13	111482659	111488919	+
638	chr2	75680868	75687826	+
639	chr1	38662208	38666178	+
640	chr10	80672158	80676310	+
641	chr1	51472548	51479162	+
642	chr9	14276832	14283118	+
643	chr9	62344882	62350620	+
644	chr10	78295252	78300296	+
645	chr17	51813126	51818498	+
647	chr19	34289951	34294931	+
648	chr11	115509260	115515358	+
649	chr10	59895318	59902482	+
651	chr15	81100719	81105693	+
652	chr10	80928957	80936359	+
654	chr1	69682191	69687103	+
655	chr3	101597799	101603825	+
656	chr12	113423059	113427459	+
657	chr11	69754006	69759942	+
658	chr7	45522170	45528150	+
659	chr16	10780195	10784523	+
660	chr5	65868279	65874185	+
661	chr17	70985294	70990444	+
662	chr10	80755748	80760108	+
663	chr5	105647411	105652425	+
664	chr11	117317001	117322879	+
667	chr9	107631969	107636727	+
668	chr12	110484304	110489472	+
669	chr6	143168055	143173317	+
670	chr15	80797335	80802599	+
671	chr5	121831795	121836143	+
672	chr19	47915830	47921400	+
673	chr9	7831244	7838566	+
674	chr7	17023558	17028822	+
675	chr2	73482186	73486712	+
676	chr7	63931542	63937122	+
677	chr6	128835953	128840807	+
678	chr7	127215337	127219439	+
679	chr7	16781356	16785706	+
680	chr11	115474566	115478846	+
681	chr11	57667385	57676367	+
682	chr15	80610280	80617416	+
683	chr9	113705079	113709535	+
684	chr5	37049972	37054452	+
685	chr18	60842998	60849250	+
686	chr19	7016217	7020309	+
687	chr11	104661504	104668458	+
688	chr2	166653102	166660516	+
689	chr11	63987596	63992558	+
692	chr12	80790497	80795853	+
693	chr8	124271978	124277248	+
694	chr16	52450252	52454892	+
695	chr8	81009648	81014314	+
696	chr6	99023686	99028914	+
697	chr1	52120139	52125667	+
698	chr3	100681293	100685397	+
699	chr2	180724361	180729303	+
700	chr12	12937174	12943184	+
701	chr4	126196602	126202364	+
703	chr10	127165343	127170359	+
704	chr2	156884455	156888107	+
705	chr2	93422164	93428016	+
706	chr17	7873575	7879637	+
707	chr9	32515206	32521842	+
708	chr15	79692044	79695784	+
709	chr14	70173000	70177834	+
710	chr13	63239403	63244767	+
711	chr5	134265077	134274187	+
713	chr11	3290592	3293846	+
714	chr7	142054909	142061695	+
715	chr15	80079880	80085188	+
716	chr10	75318176	75322132	+
719	chr19	5687554	5693666	+
720	chr11	55071294	55078778	+
721	chr10	111164519	111170959	+
722	chr6	31123336	31128214	+
723	chr1	191390983	191396431	+
725	chr11	58198662	58204158	+
726	chr6	128886279	128891463	+
727	chr4	156010943	156017413	+
728	chr3	88621265	88625309	+
729	chr16	97459392	97463556	+
730	chr12	118295579	118301423	+
731	chr5	67844592	67848478	+
732	chr10	128803028	128808770	+
733	chr6	48744679	48748625	+
734	chr16	17450753	17456111	+
735	chr5	112294300	112300778	+
736	chr4	116012734	116018618	+
737	chr1	80754371	80759913	+
739	chr6	87845611	87850689	+
740	chr5	123745154	123750758	+
741	chr16	33684201	33688123	+
742	chr5	100423801	100430393	+
744	chr16	38090448	38094428	+
745	chr11	4235354	4239972	+
746	chr14	27335588	27339962	+
747	chr2	152670088	152673542	+
749	chr4	88717250	88722656	+
750	chr4	129808493	129813569	+
751	chr8	36093526	36098886	+
752	chr19	4116070	4121366	+
753	chr4	141869485	141876077	+
754	chr14	55587231	55593265	+
755	chr11	4201385	4208037	+
756	chr8	70349312	70353586	+
757	chr13	51788074	51793354	+
758	chr5	31595862	31603110	+
759	chr12	55487216	55491388	+
760	chr11	117344207	117351455	+
761	chr9	107533427	107537953	+
762	chr1	180362646	180368054	+
763	chr3	28261813	28266101	+
764	chr11	80382724	80387656	+
765	chr8	22805064	22810236	+
766	chr2	153346410	153351732	+
767	chr19	46303704	46309674	+
768	chr4	63559860	63565004	+
769	chr3	58417278	58422444	+
770	chr6	117915736	117921030	+
771	chr17	5975933	5980325	+
772	chr16	91485242	91491264	+
773	chr8	105622150	105626466	+
774	chr3	142495339	142501473	+
775	chr9	44029077	44036441	+
777	chr2	153235596	153240580	+
779	chr8	35588898	35594144	+
780	chr4	137351025	137356651	+
781	chr5	137782597	137788017	+
782	chr16	55891678	55898092	+
783	chr14	52098810	52103814	+
784	chr7	73550562	73557438	+
785	chr1	171388143	171392537	+
786	chr9	59656670	59662436	+
787	chr12	80108809	80115301	+
789	chr11	34769069	34772449	+
790	chr6	149308927	149314541	+
791	chr17	31058749	31063271	+
792	chr9	120934334	120938310	+
793	chr8	122428361	122433931	+
795	chr4	133369788	133373528	+
796	chr10	41886967	41891961	+
797	chr11	94316115	94322705	+
798	chr6	129270746	129276350	+
799	chr16	4876545	4882141	+
800	chr19	46615970	46622790	+
801	chr4	138217746	138222864	+
802	chr16	35934562	35939980	+
803	chr1	58801113	58805281	+
804	chr1	58725424	58731600	+
805	chr19	5659412	5663440	+
808	chr15	27626610	27631248	+
809	chr17	29033225	29037791	+
810	chr3	96499600	96503482	+
811	chr8	72320173	72323937	+
812	chr10	59969654	59976140	+
813	chr7	106640193	106644613	+
814	chr9	21146256	21150406	+
815	chr1	91179725	91184535	+
816	chr16	77014174	77018250	+
817	chr15	102516172	102521252	+
818	chr9	14899984	14905810	+
819	chr6	72613679	72617787	+
820	chr19	43520026	43525450	+
821	chr14	31430547	31437037	+
823	chr8	88632681	88638139	+
824	chr6	72548207	72552923	+
825	chr11	72300633	72303543	+
826	chr6	86664043	86668703	+
827	chr4	150237207	150240915	+
828	chr2	157201053	157205857	+
829	chr10	117828451	117834269	+
830	chr10	14042146	14048188	+
831	chr7	18998920	19003558	+
832	chr5	124475076	124480918	+
833	chr11	100860643	100866235	+
834	chr4	59200409	59207447	+
835	chr2	10372158	10376234	+
836	chr15	27668289	27673007	+
837	chr13	23529796	23535586	+
839	chr6	140624862	140630372	+
840	chr14	103651371	103655141	+
841	chr10	19184685	19189301	+
842	chr13	48962808	48968252	+
843	chr6	72955049	72958923	+
845	chr7	127295567	127299439	+
846	chr13	120298965	120302785	+
848	chr11	79141987	79147439	+
849	chr6	108212336	108216626	+
850	chr19	8709654	8714480	+
851	chr14	54059959	54067915	+
852	chr19	47445575	47451697	+
853	chr13	32964559	32969915	+
855	chr19	6339719	6344511	+
856	chr11	115163209	115167875	+
857	chr2	71811717	71816737	+
858	chr2	181239406	181243484	+
859	chr19	53458294	53464060	+
860	chr8	70692731	70698403	+
861	chr7	114416194	114422446	+
862	chr13	20183080	20187474	+
863	chr4	6986363	6991877	+
864	chr13	109903639	109907955	+
865	chr11	79518697	79524317	+
866	chr15	96637203	96642335	+
867	chr9	45266882	45270502	+
869	chr7	29814214	29819100	+
870	chr11	77799889	77803375	+
871	chr9	108338200	108343612	+
872	chr7	127141182	127145654	+
873	chr11	68449832	68454576	+
874	chr15	97359913	97364217	+
875	chr19	53184092	53189284	+
876	chr1	36471100	36475236	+
877	chr11	52337769	52344073	+
878	chr17	50509213	50512791	+
879	chr13	28949010	28954946	+
881	chr6	146497232	146502008	+
882	chr6	56792535	56797835	+
884	chr6	91107813	91112451	+
885	chr9	63718682	63723272	+
886	chr3	87907415	87911925	+
887	chr18	65800572	65804790	+
889	chr5	142439823	142443491	+
891	chr14	66277297	66282123	+
892	chr14	77903545	77908123	+
893	chr14	121364449	121368227	+
894	chr6	99093055	99097289	+
895	chr3	98335499	98340379	+
896	chr2	151970417	151974925	+
898	chr5	32136644	32141826	+
900	chr18	39484005	39489967	+
901	chr13	109819850	109825212	+
902	chr7	19559948	19563568	+
903	chr11	54521459	54527097	+
904	chr4	43956829	43960103	+
905	chr8	84662475	84665811	+
906	chr11	95336661	95339869	+
907	chr13	51845089	51850369	+
908	chr9	115305379	115309927	+
909	chr8	120735145	120741029	+
910	chr16	49856942	49860184	+
911	chr1	172499254	172503970	+
912	chr18	70568246	70572544	+
913	chr4	133747821	133753265	+
914	chr15	72805381	72811151	+
915	chr11	31869328	31875264	+
916	chr17	27360265	27366937	+
917	chr13	59818629	59822933	+
918	chr11	32551453	32556189	+
919	chrX	42500509	42509969	+
920	chr14	25515128	25520946	+
921	chr14	74942754	74947052	+
922	chr1	60977899	60982265	+
923	chr9	44019424	44025780	+
924	chr2	128122712	128126002	+
925	chr2	31141639	31145131	+
926	chr5	41841332	41846500	+
927	chr5	122285705	122290305	+
928	chr18	89196188	89201212	+
929	chr13	21158538	21161246	+
931	chr11	63921703	63925535	+
932	chr13	51751370	51757010	+
933	chr3	20105563	20112229	+
934	chr9	21235329	21239023	+
935	chr11	118143331	118148451	+
936	chr3	105892005	105895735	+
937	chr5	125390388	125395946	+
938	chr12	12262200	12266392	+
939	chr4	8908723	8914731	+
941	chr12	85685921	85690173	+
942	chr5	23415651	23420325	+
943	chr12	76366033	76369011	+
944	chr4	134762214	134768684	+
945	chr8	119421687	119426131	+
947	chr4	123561503	123566733	+
948	chr10	6976668	6980248	+
949	chr3	97929327	97934727	+
951	chr18	84089034	84093468	+
953	chr9	65577840	65581956	+
954	chr19	53804827	53811049	+
955	chr3	142530017	142534071	+
956	chr2	13572388	13576804	+
957	chr16	78572967	78578233	+
958	chr12	55463568	55467912	+
959	chr6	124738077	124742777	+
960	chr12	102671086	102677560	+
961	chr19	44280671	44285455	+
962	chr12	103420744	103426050	+
965	chr11	34007098	34012592	+
966	chr7	104443907	104448397	+
967	chr11	97998064	98003068	+
969	chr3	97294922	97299570	+
970	chr11	79526121	79530439	+
971	chr19	59340466	59344950	+
972	chr17	34115447	34119313	+
973	chr9	107974210	107977768	+
974	chr11	48798956	48803098	+
976	chr2	62408283	62412417	+
978	chr1	52797072	52802042	+
979	chr10	67184244	67189936	+
980	chr3	126658208	126664322	+
981	chr5	142928610	142933362	+
982	chr6	117898476	117902978	+
983	chr9	21320384	21324590	+
984	chr10	39370335	39374743	+
985	chr10	127642043	127645567	+
986	chr5	36477546	36483696	+
987	chr5	23429049	23433695	+
988	chr3	95139869	95143483	+
