	Chr	Start	End	Strand
703	chr10	58367531	58372531	+
704	chr2	153234347	153241847	+
705	chr5	103751874	103757698	+
712	chr11	23766508	23772962	+
714	chr17	72934142	72941626	+
718	chr1	53780443	53786205	+
721	chr1	180400868	180406630	+
729	chr9	46172887	46178263	+
735	chr2	13555870	13561508	+
739	chr6	142949810	142954328	+
744	chr7	75594987	75602199	+
745	chr1	54921366	54926844	+
747	chr8	46737834	46743422	+
751	chr16	49933774	49938888	+
753	chr15	80608461	80615901	+
757	chr7	75653041	75659241	+
760	chr3	131157714	131163774	+
777	chr10	44446686	44452974	+
778	chr12	69512552	69517560	+
779	chr15	67133845	67141231	+
783	chr4	43968822	43976026	+
787	chr10	80676203	80681645	+
792	chr15	80587115	80592569	+
793	chr2	72992754	72998872	+
794	chr12	86946874	86952696	+
801	chr12	85703547	85707833	+
802	chr19	8988804	8994124	+
804	chr3	106830464	106834308	+
807	chr9	13319089	13323861	+
811	chr2	73466773	73472359	+
812	chr12	84174052	84180088	+
814	chr6	120079655	120088001	+
818	chr2	117332609	117338553	+
819	chr1	165800679	165807211	+
821	chr5	135008082	135011180	+
826	chr2	25531668	25537560	+
828	chr9	61665990	61670648	+
829	chr10	93163104	93168382	+
831	chr5	37065098	37071800	+
834	chr17	84417709	84424367	+
835	chr19	29249725	29256483	+
839	chr2	154655601	154660489	+
840	chr10	13991180	13997658	+
842	chr15	59595865	59600895	+
850	chr6	142914710	142918740	+
853	chr5	23415718	23420274	+
857	chr17	26530054	26535398	+
859	chr10	94827110	94830250	+
862	chr12	69536247	69541723	+
865	chr4	136027087	136033469	+
873	chr13	49305880	49309798	+
877	chr11	106747658	106752418	+
880	chr11	97656524	97662662	+
881	chr17	72922459	72927419	+
883	chr15	80797009	80804155	+
884	chr11	58196962	58202912	+
886	chr8	22805126	22810176	+
889	chr10	10183869	10187377	+
890	chr2	117338899	117342979	+
894	chr19	44280619	44285529	+
896	chr9	122230963	122235961	+
897	chr2	170123941	170130305	+
906	chr9	107332453	107336741	+
911	chr15	12007272	12012914	+
913	chr16	33683077	33688233	+
923	chr10	60387035	60391057	+
924	chr16	46117316	46121018	+
927	chr12	76371348	76377912	+
930	chr4	32146233	32151345	+
932	chr6	48645825	48650213	+
937	chr16	23268357	23273561	+
940	chr12	15997327	16002469	+
950	chr19	12573143	12577993	+
951	chr15	55843287	55849315	+
952	chr4	43957784	43961536	+
959	chr9	115609194	115613210	+
962	chr6	99094044	99097926	+
963	chr3	51659869	51663777	+
978	chr14	75832415	75836343	+
996	chr11	21236226	21243250	+
1004	chr6	146498440	146502558	+
1005	chr17	46159279	46164055	+
1019	chr11	68440867	68446905	+
1033	chr6	99023007	99029551	+
1038	chr12	55462990	55467276	+
1043	chr17	51803375	51811553	+
1047	chr18	62177034	62180956	+
1049	chr11	68450736	68455486	+
1052	chr10	13964207	13969625	+
1059	chr1	177791661	177796867	+
1060	chr1	64530838	64536158	+
1062	chrX	159708213	159714917	+
1064	chr5	139379874	139384978	+
1071	chr10	28667130	28672386	+
1073	chr10	78574073	78575933	+
1074	chr18	65429048	65435026	+
1086	chr3	135717177	135722079	+
1092	chr4	123570701	123573719	+
1093	chr6	17064544	17069416	+
1100	chr17	29491179	29497315	+
1102	chr13	20182690	20186584	+
1104	chr2	31058623	31064683	+
1107	chr4	63840355	63844283	+
1111	chr10	7816195	7821255	+
1115	chr7	132763622	132768540	+
1120	chr5	23384875	23389115	+
1121	chr5	105290602	105295186	+
1123	chr15	64074788	64079770	+
1126	chr12	107918596	107923906	+
1127	chr12	99645271	99649977	+
1128	chr9	13893225	13896271	+
1135	chr10	54072223	54076715	+
1146	chr1	87826708	87831098	+
1150	chr7	125471788	125476456	+
1151	chr1	180361458	180367210	+
1153	chr11	21219292	21225164	+
1166	chr3	135687099	135692685	+
1167	chr14	70276678	70282300	+
1169	chr17	7877043	7881985	+
1186	chr4	40779336	40784642	+
1191	chr2	59469492	59472496	+
1202	chr10	122798536	122801994	+
1207	chr15	103239313	103243057	+
1209	chr11	98473731	98480627	+
1213	chrX	57211254	57218932	+
1217	chr2	11635520	11638596	+
1220	chr6	22422532	22425622	+
1222	chr2	13405796	13411066	+
1223	chrX	107087101	107093913	+
1225	chr8	126880389	126886117	+
1226	chr18	3278765	3282791	+
1228	chr15	6598291	6603615	+
1230	chr14	73237460	73240564	+
1231	chr12	69446004	69450178	+
1232	chr2	165980350	165984942	+
1233	chr17	53565775	53570997	+
1236	chr16	49789899	49794773	+
1237	chr18	65315864	65320358	+
1242	chr1	136125664	136132064	+
1245	chr4	118178257	118181231	+
1249	chr18	50030974	50034900	+
1250	chr13	117220615	117224361	+
1251	chr1	173487165	173491889	+
1254	chr16	92816985	92821955	+
1257	chr11	57950756	57954938	+
1258	chr18	65412716	65417172	+
1263	chr4	102505109	102508519	+
1267	chr8	36180205	36184595	+
1280	chr10	128523249	128526807	+
1282	chr1	193188263	193192577	+
1286	chr2	75702002	75706158	+
1294	chr12	25187980	25190710	+
1299	chr5	147055232	147061622	+
1304	chr17	27824806	27828786	+
1321	chr15	60185171	60188725	+
1322	chr6	86470822	86473616	+
1328	chr19	53533614	53540346	+
1336	chr4	32239689	32244509	+
1341	chr7	75699372	75704460	+
1342	chr7	90058284	90061122	+
1346	chr17	51818361	51825121	+
1357	chr5	140943764	140949050	+
1360	chr11	108272395	108275405	+
1361	chr1	128765457	128768681	+
1364	chr12	55301674	55303808	+
1366	chr12	80789881	80796245	+
1376	chr10	99240468	99244108	+
1378	chr19	53901784	53907168	+
1381	chr11	83222634	83227476	+
1389	chr5	107958584	107963204	+
1394	chr14	44987122	44990400	+
1402	chr17	51877876	51882384	+
1404	chr13	91482830	91486090	+
1408	chr2	172399118	172402618	+
1412	chr3	87524920	87530446	+
1425	chr17	34197080	34201948	+
1430	chr2	3751650	3756304	+
1441	chr3	93546797	93550905	+
1443	chr9	45266329	45270249	+
1444	chr6	114892053	114895829	+
1459	chr12	73583766	73588526	+
1460	chr18	49978541	49982757	+
1463	chr9	107311118	107314760	+
1467	chr7	25778109	25783729	+
1475	chr15	55850523	55855513	+
1476	chr11	70578075	70583303	+
1482	chr7	141095490	141098274	+
1487	chr1	144246514	144250778	+
1494	chr3	106001519	106005763	+
1508	chr19	53804557	53809357	+
1511	chr16	43695282	43700142	+
1515	chr8	35629441	35635421	+
1516	chr1	60977416	60981880	+
1518	chr15	80740863	80745903	+
1521	chr19	42128214	42131824	+
1523	chr15	62037643	62040737	+
1525	chr7	80862800	80866270	+
1528	chr12	75725226	75729860	+
1529	chr1	51594109	51598209	+
1542	chr15	77814224	77818386	+
1543	chr16	75905006	75908880	+
1544	chr10	117907809	117913721	+
1547	chr9	57970162	57974892	+
1548	chr12	73590932	73595334	+
1551	chr8	34214468	34218222	+
1553	chr18	56455197	56459903	+
1554	chr19	21712541	21715021	+
1555	chr8	81556596	81562454	+
1557	chr4	32373453	32378723	+
1558	chr6	129279747	129285871	+
1568	chr2	32552963	32556641	+
1571	chr5	100642025	100646053	+
1580	chr9	110655308	110658322	+
1581	chr2	32076633	32080837	+
1588	chr16	49768071	49772941	+
1589	chr2	128426221	128430437	+
1593	chr9	44030486	44034534	+
1604	chr11	52311260	52316570	+
1611	chr2	61489390	61494554	+
1616	chr15	67128198	67132508	+
1619	chr9	45297894	45301754	+
1620	chr17	29497579	29503679	+
1621	chr4	83313991	83317509	+
1632	chr8	117278777	117283321	+
1636	chr1	53849290	53853312	+
1640	chr15	62455259	62461053	+
1641	chr16	55836642	55840310	+
1644	chr19	8709922	8714222	+
1650	chr18	60499749	60502615	+
1651	chr3	142559395	142562311	+
1655	chr16	64872869	64875043	+
1656	chr6	136462825	136466461	+
1657	chr6	41117571	41121241	+
1658	chr14	120275643	120278397	+
1661	chr12	36038730	36042442	+
1663	chr3	107073363	107078153	+
1666	chrX	159673189	159679493	+
1669	chrX	42501182	42506970	+
1671	chr4	145220314	145222904	+
1685	chr8	91069467	91072059	+
1686	chr7	16781354	16784714	+
1702	chr17	80173097	80177943	+
1703	chr6	120110171	120115945	+
1705	chr2	157118356	157124550	+
1706	chr15	9569801	9573485	+
1709	chr15	36452700	36458020	+
1714	chr10	12961073	12965835	+
1715	chr2	60380399	60384713	+
1716	chr15	34082235	34085745	+
1717	chr1	128547358	128550480	+
1719	chr13	45849029	45855371	+
1721	chr5	109555715	109559203	+
1725	chr17	28254488	28259412	+
1727	chr14	122050709	122054261	+
1729	chr15	50695571	50700215	+
1734	chr1	13292701	13296599	+
1739	chr10	96228043	96233085	+
1740	chr3	131115511	131121401	+
1749	chr2	3656745	3659831	+
1757	chr7	117427618	117431354	+
1761	chr1	136578493	136582739	+
1765	chr1	86440757	86444441	+
1769	chr12	69370178	69375306	+
1779	chr13	43173047	43178293	+
1780	chr10	62542089	62545373	+
1786	chr12	25093344	25096862	+
1794	chr6	124885466	124888990	+
1795	chr14	66255374	66260320	+
1799	chr11	117325603	117330527	+
1814	chr5	148866263	148869035	+
1829	chr11	16506815	16509581	+
1833	chr19	4330255	4335621	+
1834	chr13	73327305	73331733	+
1840	chr10	60379967	60383373	+
1842	chr4	150235953	150239983	+
1849	chr10	91180089	91183469	+
1851	chr5	139301799	139305961	+
1862	chr4	139577653	139580797	+
1865	chr17	7872780	7876016	+
1867	chr1	156613583	156618043	+
1885	chr1	180332103	180335859	+
1892	chr14	10451726	10455260	+
1894	chr4	150912707	150916267	+
1895	chr2	170172461	170176227	+
1913	chr12	15970560	15973380	+
1917	chr19	53868901	53872147	+
1924	chr13	67107418	67109842	+
1925	chr6	54817413	54821069	+
1943	chr10	59575911	59579847	+
1944	chr1	161785445	161789617	+
1948	chr14	40946793	40949643	+
1960	chr7	12976787	12979751	+
1965	chr14	56295819	56299149	+
1968	chr16	55819460	55823292	+
1971	chr9	32749843	32754011	+
1979	chr1	60939229	60943139	+
1980	chr5	140614698	140619080	+
1984	chrX	13241052	13244932	+
1985	chr2	132606552	132609240	+
1995	chr13	5776992	5781800	+
2003	chr16	78573883	78578265	+
2017	chr6	70822812	70826530	+
2023	chr15	61439747	61443703	+
2029	chr11	95412876	95416604	+
2039	chr2	167805186	167807136	+
2042	chr12	84760692	84764476	+
2047	chr17	21534517	21538695	+
2051	chr3	121290968	121293202	+
2057	chr11	6390675	6393423	+
2065	chr15	76242207	76244141	+
2083	chr8	116636216	116640234	+
2085	chr7	75574600	75578954	+
2087	chr11	6525093	6529287	+
2090	chr19	43521696	43524896	+
2092	chr5	105108085	105111477	+
2100	chr4	101253059	101256721	+
2127	chr11	115638974	115642538	+
2135	chr15	100039124	100042630	+
2140	chr14	54136500	54141642	+
2151	chr6	99307749	99311601	+
2165	chr10	44379574	44381876	+
2166	chr8	120698549	120702315	+
2169	chr15	9462308	9464966	+
2170	chr11	98542888	98547458	+
2172	chr13	51812190	51815860	+
2179	chr2	28515803	28519033	+
2182	chr3	152911554	152913740	+
2184	chr6	143750516	143752318	+
2206	chr11	107100411	107104809	+
2209	chr10	43995937	43998973	+
2215	chr10	98682489	98686073	+
2221	chr11	5519951	5524549	+
2226	chr6	8646233	8650025	+
2230	chr2	27403479	27406511	+
2234	chr9	78478559	78483449	+
2239	chr2	166654868	166657890	+
2241	chr7	75570578	75574112	+
2245	chr14	66278772	66282020	+
2247	chr6	140623961	140629605	+
2248	chr7	117612874	117615086	+
2251	chr2	93423447	93426363	+
2253	chr2	51932673	51936147	+
2268	chr1	66814574	66818334	+
2270	chr14	19984725	19987923	+
2272	chr9	44524339	44527631	+
2287	chr10	117103526	117107530	+
2288	chr9	92248446	92252644	+
2299	chr3	131018439	131020987	+
2303	chr3	19627670	19630362	+
2313	chr16	87439282	87441386	+
2321	chr2	65181111	65184505	+
2328	chr12	86823166	86826050	+
2331	chr4	116052658	116054392	+
2333	chr1	37477437	37480457	+
2334	chr11	98469174	98472458	+
2337	chr7	75666894	75671074	+
2347	chr10	89744079	89747737	+
2349	chr12	112865439	112870101	+
2352	chr14	45386413	45390183	+
2357	chr3	84676419	84680667	+
2363	chr8	124280483	124284415	+
2367	chr3	37271719	37274719	+
2368	chr3	108442777	108445655	+
2372	chr1	13659004	13661484	+
2381	chrX	167145097	167149195	+
2383	chr16	76369043	76372607	+
2389	chr3	88518853	88522809	+
2391	chr6	124899806	124903058	+
2397	chr8	90954454	90957042	+
2407	chr13	30816394	30820928	+
2408	chr9	58272063	58276593	+
2416	chr15	57975057	57977115	+
2420	chr6	119385851	119390053	+
2427	chr18	34219704	34222742	+
2429	chr10	39454906	39458664	+
2435	chr13	30759266	30763318	+
2436	chr4	63897845	63901401	+
2439	chr18	24120354	24122752	+
2461	chr3	115727859	115730857	+
2468	chr18	75453711	75456993	+
2496	chr8	125066552	125069088	+
2498	chr18	62162948	62166488	+
2504	chr1	171683636	171686602	+
2507	chr18	65320883	65323659	+
2509	chr1	95653538	95657770	+
2523	chr6	57702527	57704155	+
2530	chr14	121896381	121901171	+
2535	chr2	103566635	103570249	+
2537	chr5	64917302	64920758	+
2545	chr13	52082923	52085499	+
2550	chr1	180356956	180360102	+
2556	chr9	46011695	46015115	+
2559	chr7	132315123	132317613	+
2560	chr11	97993803	97996229	+
2561	chr17	50156987	50159853	+
2563	chr16	97996420	97998142	+
2564	chr10	115249481	115253011	+
2575	chr1	80743962	80748554	+
2579	chr4	136309224	136313792	+
2583	chr5	77243962	77247230	+
2591	chr3	79151752	79154450	+
2602	chr4	6987765	6991081	+
2604	chr9	64809331	64813029	+
2608	chr3	37312182	37316186	+
2615	chr4	149853211	149855817	+
2618	chr13	104620433	104623877	+
2621	chr10	28516788	28521640	+
2629	chr12	104989557	104992299	+
2630	chr13	30784754	30788210	+
2633	chr2	72143982	72146744	+
2636	chr17	35998058	36002744	+
2648	chr18	65380770	65383970	+
2651	chr5	105443031	105446869	+
2654	chr4	154942735	154944991	+
2657	chr16	13108756	13111020	+
2661	chr1	80727367	80731495	+
2663	chr15	27628133	27631515	+
2676	chr18	90578667	90580839	+
2684	chr5	151246710	151249108	+
2695	chr11	63984445	63986351	+
2703	chr13	45923223	45926123	+
2705	chr19	29415769	29419793	+
2706	chr5	96175942	96178022	+
2710	chr10	68539914	68543080	+
2712	chr3	52269475	52273149	+
2715	chr3	107078599	107082595	+
2716	chr4	140698654	140701776	+
2722	chr15	64021368	64024562	+
2732	chr14	72820625	72824331	+
2733	chr19	57070926	57074836	+
2735	chr1	165717205	165719901	+
2741	chr19	46618385	46621889	+
2748	chr6	51544431	51546407	+
2753	chr9	63736635	63740161	+
2762	chr6	47635749	47638141	+
2763	chr2	76214027	76216787	+
2767	chr1	164134620	164137054	+
2774	chr12	8920382	8922794	+
2775	chr8	105936863	105939431	+
2780	chr7	139950094	139951544	+
2786	chr9	113706202	113709564	+
2793	chr3	130727972	130730850	+
2794	chr10	121314749	121318577	+
2795	chr9	73069599	73072581	+
2797	chr5	32132068	32137236	+
2799	chr7	123367296	123371056	+
2802	chr6	129608196	129611758	+
2804	chr1	171981361	171984633	+
2807	chr6	91677709	91680775	+
2809	chr1	34471685	34473707	+
2811	chr17	50469253	50472005	+
2812	chr1	173938705	173943223	+
2818	chr5	107722459	107725871	+
2819	chrX	48145088	48148766	+
2822	chr5	105717734	105719898	+
2836	chr2	79265768	79270154	+
2843	chr13	74461529	74463927	+
2847	chr1	85894272	85897142	+
2852	chr4	8926498	8929112	+
2853	chr6	145272974	145276488	+
2855	chr10	8516118	8519492	+
2866	chr9	98296628	98299136	+
2874	chr5	3342418	3346662	+
2878	chr7	98814862	98817220	+
2904	chr8	107289786	107292964	+
2908	chr5	124021366	124025784	+
2920	chr12	101016516	101019692	+
2923	chr17	23801722	23805214	+
2933	chr10	26356969	26360087	+
2939	chr6	13606248	13609292	+
2941	chr11	46395519	46398961	+
2952	chr10	60160991	60163391	+
2968	chr7	127136077	127138891	+
2972	chr12	99639760	99642774	+
2985	chr1	151570456	151573530	+
2989	chr18	35751466	35753030	+
2995	chr12	107999352	108002796	+
3007	chr8	47673488	47676330	+
3008	chr2	70843901	70846795	+
3012	chr11	119132966	119135012	+
3013	chr11	77801549	77804049	+
3015	chr5	107728655	107733123	+
3019	chr15	64066104	64069542	+
3023	chr10	99126674	99129064	+
3033	chr15	67038642	67040930	+
3042	chr7	24905905	24908537	+
3048	chr7	80764719	80768385	+
3060	chr9	116292522	116296120	+
3063	chr10	93359596	93363094	+
3064	chr7	90144016	90148454	+
3070	chr2	57237717	57240197	+
3075	chr9	57560143	57562309	+
3080	chr4	42997781	43001171	+
3093	chr11	21092003	21095873	+
3095	chr17	57289201	57292613	+
3108	chr1	157037739	157039967	+
3122	chr16	76353447	76357009	+
3124	chr5	96162747	96165665	+
3128	chr16	17921016	17922904	+
3134	chr18	4920170	4922882	+
3136	chr10	80022620	80026076	+
3140	chr7	19307431	19309861	+
3149	chr8	36167595	36170819	+
3150	chr14	40949608	40953008	+
3154	chr1	171647603	171650389	+
3160	chr18	80737340	80739364	+
3168	chr3	93596130	93598606	+
3170	chr16	93573543	93575935	+
3172	chr2	172977323	172979431	+
3176	chr13	113599221	113602539	+
3178	chr9	90112434	90115424	+
3180	chr2	114653832	114655570	+
3181	chrX	7863764	7868210	+
3185	chr7	81074202	81076202	+
3192	chr16	37093556	37095614	+
3211	chr8	120723759	120727159	+
3215	chr3	68760412	68763612	+
3220	chr11	83471696	83475018	+
3240	chr12	3308274	3311030	+
3242	chr2	52568823	52571955	+
3245	chr9	32487284	32489990	+
3257	chr12	25304109	25307699	+
3268	chr2	164520040	164522656	+
3270	chr6	65524219	65527135	+
3271	chr15	72808802	72811286	+
3281	chr8	61423900	61427320	+
3282	chr5	143525415	143528353	+
3285	chr1	106605132	106608460	+
3296	chrX	57336622	57339866	+
3298	chr18	5602810	5604680	+
3309	chr10	33949798	33951852	+
3310	chr5	110057352	110058792	+
3327	chr8	81852211	81856657	+
3331	chr13	117022080	117026220	+
3333	chr10	26798671	26801225	+
3334	chr13	111866999	111869329	+
3336	chr16	51673803	51677547	+
3337	chr15	80217836	80221036	+
3338	chr15	80597695	80600879	+
3348	chr11	6414698	6417674	+
3352	chr9	95314109	95317117	+
3354	chr1	36767783	36771323	+
3366	chr15	4042493	4044147	+
3371	chr4	63937766	63941090	+
3372	chr10	58391861	58394629	+
3381	chr5	139371327	139373203	+
3383	chr1	138613508	138617594	+
3385	chr7	12948432	12951032	+
3391	chr12	73906307	73909679	+
3398	chr12	31633068	31635836	+
3399	chr8	13985363	13988551	+
3408	chr6	144264250	144266444	+
3431	chr8	15010359	15014039	+
3433	chr3	37173217	37176219	+
3438	chr2	90744382	90747196	+
3443	chr4	11087469	11090891	+
3445	chr17	88111228	88113686	+
3450	chr10	28672535	28676641	+
3452	chr10	61145353	61148225	+
3454	chr6	143113794	143117420	+
3467	chr10	59906753	59909753	+
3484	chr7	132811170	132814412	+
3486	chr6	108660363	108664275	+
3489	chr4	32403748	32407844	+
3504	chr15	81100347	81103377	+
3506	chr13	32965406	32967304	+
3512	chr3	28262219	28264865	+
3521	chr6	99170995	99173617	+
3525	chr2	59473453	59476885	+
3527	chr16	57554216	57557844	+
3530	chr17	35812798	35814974	+
3532	chr10	99458636	99461472	+
3536	chr13	63222592	63225124	+
3538	chr9	75400781	75403215	+
3539	chr1	133815062	133816758	+
3540	chr7	115615304	115616954	+
3551	chr9	116144487	116147369	+
