cluster	chr_name	start	end	tag_count_no_peptide	tag_count_10um_k99a	tag_count_100um_k99a	tag_count_0_1um_pcc	tag_count_10um_pcc
58	chr10	99267542	99269308	65.1	88.0	55.4	83.4	51.4
58	chr10	99228147	99229797	36.7	42.9	35.1	50.6	37.5
58	chr10	99171513	99173097	70.1	60.2	43.5	51.9	54.9
58	chr10	99286909	99287937	36.7	42.9	26.0	38.3	34.7
58	chr10	99393457	99394549	65.9	64.3	15.8	52.5	41.6
58	chr10	99459991	99462513	171.9	192.5	131.8	149.4	120.7
59	chr8	70605308	70611488	453.0	366.3	205.9	402.0	198.7
59	chr8	70743645	70745723	106.8	97.2	83.7	117.3	80.3
59	chr8	70832434	70834140	56.7	39.7	30.5	55.0	37.5
60	chr11	115161023	115168749	451.4	299.7	186.6	258.7	412.4
60	chr11	115338244	115339080	36.7	25.1	22.6	22.2	23.1
61	chr3	95227435	95233769	446.4	299.3	208.1	430.4	205.6
61	chr3	95523268	95524542	68.4	48.8	50.9	66.1	51.4
61	chr3	95671446	95676942	460.5	339.4	276.6	381.0	298.6
62	chr16	35867338	35872856	443.9	370.0	216.0	378.5	244.3
62	chr16	35918057	35919681	103.5	81.7	61.6	85.8	65.3
63	chr6	86847483	86854213	442.2	350.8	195.1	361.2	336.8
63	chr6	86604710	86608442	116.8	118.6	92.8	130.9	136.9
63	chr6	87118981	87119919	44.2	31.9	22.6	35.2	25.4
63	chr6	87038016	87039428	55.1	35.6	23.2	50.0	28.9
63	chr6	87152348	87154592	102.6	115.0	61.6	87.1	83.2
64	chr1	60745679	60752985	441.4	413.8	188.9	370.5	312.5
64	chr1	60627116	60628280	38.4	48.8	36.8	34.0	33.5
65	chr11	63918656	63926390	438.9	276.9	173.1	242.0	180.2
65	chr11	64046595	64048645	90.1	71.2	52.6	59.9	60.7
65	chr11	64035289	64036043	30.0	15.5	10.2	9.26	15.6
65	chr11	64036697	64037817	50.9	28.3	31.1	34.6	28.9
65	chr11	63984819	63986751	110.1	70.7	52.0	68.5	72.2
65	chr11	63988162	63993564	396.3	264.1	177.6	261.8	13.9
65	chr11	63973719	63976983	136.8	89.4	83.1	93.9	95.3
66	chr9	110877732	110888084	434.7	247.7	137.4	268.6	187.7
67	chr10	6974702	6980574	428.0	410.1	165.1	397.0	139.8
67	chr10	7389907	7392585	115.1	89.0	44.7	80.9	47.9
68	chr15	9523295	9531185	426.3	232.7	57.7	230.3	272.1
69	chr11	97658530	97665328	421.3	308.8	135.7	340.2	166.9
69	chr11	97427841	97429007	31.7	26.9	9.05	38.3	14.4
69	chr11	97434307	97435769	76.8	68.0	7.92	62.4	50.8
70	chr10	81494154	81501160	410.5	367.2	173.6	351.9	141.5
70	chr10	81569931	81572201	107.6	120.9	42.4	127.2	89.0
70	chr10	81633356	81634370	52.6	47.0	17.5	48.8	0.0
70	chr10	81429469	81430585	53.4	44.7	25.4	48.2	38.7
70	chr10	81431261	81434885	177.7	103.1	104.1	140.8	23.7
71	chr2	157128835	157136471	404.6	399.6	127.2	335.3	135.7
71	chr2	157456879	157458363	65.1	56.1	28.3	35.8	35.2
71	chr2	157117901	157122497	173.5	151.0	14.7	145.1	16.8
72	chr8	34153201	34159957	397.1	354.5	168.5	277.9	218.3
72	chr8	33902378	33903464	50.1	35.1	29.4	33.3	31.8
72	chr8	34123436	34124744	85.9	92.2	34.5	63.0	42.7
72	chr8	34214867	34217347	148.5	93.1	100.7	122.9	88.4
73	chr15	81855493	81860403	396.3	349.9	201.9	289.0	177.3
73	chr15	81510701	81512949	92.6	88.5	60.5	106.2	66.4
73	chr15	81521908	81524846	171.9	149.6	101.8	151.9	105.1
73	chr15	81513623	81515009	77.6	73.0	37.3	61.1	43.3
73	chr15	81481030	81482170	91.8	78.9	56.6	93.9	58.3
74	chr1	36270041	36275803	392.1	292.0	162.3	327.9	177.9
74	chr1	36744423	36745179	44.2	29.7	25.4	32.7	19.6
74	chr1	36785260	36786132	47.6	31.5	17.0	39.5	22.5
75	chr9	56089159	56095483	391.3	263.7	187.2	303.8	193.5
75	chr9	56257678	56259548	94.3	91.2	62.2	76.6	59.5
75	chr9	56099959	56101329	54.2	44.3	20.4	40.1	49.1
75	chr9	56456280	56456780	14.2	7.76	10.2	9.88	9.82
75	chr9	56463882	56465942	108.5	58.8	37.3	81.5	55.5
76	chr9	106170208	106177530	389.6	343.1	117.1	358.1	262.8
76	chr9	106159358	106160998	84.3	83.0	65.0	94.5	58.9
76	chr9	106211050	106212390	52.6	54.7	22.1	48.2	26.0
77	chr6	142957667	142965785	377.1	278.3	108.0	221.0	101.7
78	chr11	75530498	75535882	374.6	351.7	109.7	259.9	79.1
78	chr11	75317567	75319755	105.1	109.5	41.9	87.1	63.5
78	chr11	75336126	75337568	93.4	80.7	42.4	81.5	0.0
78	chr11	76012130	76015896	147.7	116.3	65.6	90.8	8.09
79	chr15	27675254	27682694	372.9	82.1	165.7	308.7	273.8
79	chr15	27723620	27726252	83.4	0.0	46.9	121.6	76.2
80	chr5	107722571	107727447	366.3	356.3	130.6	326.0	123.0
80	chr5	107949143	107951127	105.1	79.4	23.8	80.3	41.6
80	chr5	107925634	107927050	58.4	66.1	0.0	63.0	33.5
81	chr1	75212266	75220196	364.6	242.7	128.9	347.0	208.0
81	chr1	74816427	74817819	64.2	39.7	24.9	62.4	37.0
81	chr1	75251400	75252184	39.2	34.7	0.0	32.1	25.4
82	chr12	85471542	85475520	364.6	276.0	91.1	301.9	230.5
82	chr12	85454634	85456368	122.6	105.8	79.7	99.4	83.8
82	chr12	85427110	85427990	37.5	30.1	0.0	37.0	30.6
82	chr12	85629091	85630075	44.2	37.0	13.6	32.7	13.9
82	chr12	85602283	85603401	29.2	17.3	0.0	19.8	13.3
82	chr12	85638642	85639522	25.9	12.3	0.0	24.7	15.0
83	chr11	58181293	58186857	358.8	295.6	119.3	299.5	161.2
83	chr11	58192712	58194872	65.1	43.3	20.4	65.4	47.4
83	chr11	58223102	58225298	82.6	55.2	38.5	67.9	43.3
83	chr11	58239247	58240169	33.4	34.7	10.2	33.3	22.0
83	chr11	58301396	58303668	130.2	143.2	61.6	113.0	82.0
84	chr17	29002419	29008631	358.8	335.3	208.1	268.0	163.5
84	chr17	28909044	28910414	78.4	65.7	41.3	74.7	38.1
84	chr17	29198776	29199834	22.5	26.9	16.4	25.9	13.9
85	chr6	97208522	97215304	355.4	293.8	155.5	325.4	255.9
85	chr6	97180992	97181836	23.4	19.6	16.4	22.8	16.2
85	chr6	97220642	97225090	259.5	233.6	196.2	204.4	179.1
85	chr6	97463766	97465086	77.6	65.2	39.6	73.5	51.4
85	chr6	97309858	97312414	234.4	212.1	123.9	197.6	131.7
86	chr11	100574063	100579267	355.4	230.4	149.3	216.1	159.4
86	chr11	100930852	100932698	116.8	93.1	63.9	92.0	61.2
87	chr17	35045816	35053066	352.1	161.0	76.9	282.8	133.4
88	chr5	122158651	122164279	346.2	330.7	138.6	325.4	247.2
88	chr5	122144568	122147290	118.5	119.5	98.4	130.9	121.3
88	chr5	122231045	122237077	390.5	331.2	270.3	360.0	239.1
89	chr19	34596695	34599973	343.7	94.4	52.0	105.6	42.2
90	chr11	70237338	70241338	342.9	320.2	148.2	311.8	164.6
90	chr11	70297827	70298741	55.9	48.4	22.1	43.8	34.7
91	chr15	100417437	100424359	341.2	136.4	109.2	209.9	188.3
91	chr15	100180556	100183446	115.1	30.1	30.0	74.1	29.5
92	chr7	106639935	106644971	340.4	316.6	169.1	285.3	192.9
92	chr7	106522224	106523998	60.1	65.7	39.0	69.2	28.3
93	chr10	80928676	80933870	337.1	315.2	104.1	234.6	161.2
94	chr11	74827336	74834374	337.1	309.3	139.1	313.7	173.9
94	chr11	74521985	74524293	109.3	91.7	50.9	87.1	61.8
94	chr11	75012556	75013600	44.2	41.1	14.7	52.5	34.1
94	chr11	75269181	75270109	15.0	18.2	8.48	14.2	13.3
94	chr11	75317567	75319755	105.1	109.5	41.9	87.1	63.5
95	chr12	84768527	84773823	336.2	310.2	127.2	250.1	114.4
95	chr12	84524906	84526422	67.6	43.8	11.3	47.5	11.0
95	chr12	84589377	84590475	51.7	44.3	33.9	37.7	31.2
96	chr19	4200468	4205244	333.7	197.1	160.1	198.8	151.9
96	chr19	4112819	4115159	157.7	111.8	36.8	75.3	56.0
97	chr12	36155153	36159163	332.1	329.4	110.8	321.7	229.9
98	chr9	14276784	14282618	331.2	304.3	57.1	284.6	79.7
99	chr11	103114546	103119218	326.2	201.6	108.0	205.0	131.7
100	chr10	41886782	41892140	324.6	264.6	152.1	243.9	201.0
100	chr10	42056785	42058195	78.4	61.1	49.8	65.4	60.7
100	chr10	41620135	41621077	34.2	24.6	23.8	19.8	26.6
100	chr10	41751114	41753458	107.6	105.4	65.0	98.2	70.5
100	chr10	41526927	41527663	20.0	16.4	8.48	17.3	15.6
101	chr7	126774418	126781178	321.2	249.1	156.1	209.3	161.7
101	chr7	127027571	127028715	71.8	75.7	37.3	61.1	39.9
102	chr13	97238825	97244375	318.7	168.8	110.8	179.7	131.1
103	chr17	31058551	31063045	317.0	271.9	105.8	245.7	213.7
104	chr9	66585930	66592476	313.7	170.2	104.6	134.0	110.9
105	chr7	80859959	80865807	312.9	307.0	152.1	277.2	143.3
105	chr7	80582414	80584048	103.5	91.7	76.9	87.7	69.9
105	chr7	80627857	80629689	121.8	105.4	73.5	99.4	30.6
105	chr7	80646498	80648680	107.6	113.6	82.0	94.5	53.7
105	chr7	80882912	80883682	51.7	47.4	18.7	43.8	44.5
106	chr12	12262188	12266400	312.0	198.0	137.4	254.4	146.1
106	chr12	12247022	12248484	48.4	34.7	21.5	38.9	28.9
106	chr12	12301049	12302921	88.4	53.8	43.0	78.4	46.2
106	chr12	12176093	12176721	43.4	37.9	27.1	35.2	29.5
107	chr7	114415993	114422637	311.2	263.7	97.3	250.1	162.9
107	chr7	114439415	114439915	20.0	22.4	0.0	18.5	9.24
107	chr7	114086220	114090174	179.4	118.6	90.5	174.1	113.2
107	chr7	114478586	114481596	109.3	94.4	0.0	121.0	39.9
108	chr9	121640808	121648176	311.2	190.7	55.4	95.1	66.4
109	chr15	66556885	66562027	309.5	255.5	0.0	243.9	166.9
110	chr7	102267496	102272326	307.9	306.1	145.3	164.2	157.7
111	chr14	77903750	77908334	306.2	269.2	164.0	239.0	120.7
111	chr14	77870596	77872578	81.8	79.4	13.0	75.9	41.0
112	chr13	51845293	51850163	302.9	278.3	115.9	235.9	177.9
112	chr13	51751762	51757826	298.7	222.2	203.6	226.0	190.0
112	chr13	51747264	51750682	116.0	116.8	52.0	121.6	116.1
112	chr13	51400429	51401779	135.2	113.6	68.4	109.3	71.1
113	chr4	134762335	134768729	302.0	237.2	91.6	232.8	88.4
113	chr4	134795298	134798064	141.8	105.4	74.1	117.9	75.7
113	chr4	134905943	134906731	21.7	17.3	0.0	11.1	8.66
113	chr4	135178603	135179545	47.6	33.8	27.1	42.6	20.2
113	chr4	134748629	134752647	174.4	151.9	88.2	123.5	69.9
114	chr8	22803827	22809911	302.0	298.4	188.9	269.2	127.7
114	chr8	22779846	22781076	41.7	42.9	33.4	45.1	30.6
114	chr8	22701016	22702236	56.7	61.6	36.2	48.2	42.2
114	chr8	22813878	22814908	65.1	59.8	31.1	46.9	32.3
114	chr8	22838082	22839730	84.3	87.1	24.3	66.7	28.9
115	chr5	24423256	24427022	301.2	267.3	113.7	180.3	202.2
116	chr14	31430648	31436988	299.5	283.3	172.5	233.4	142.7
116	chr14	31193879	31195673	114.3	89.9	67.3	109.9	78.0
116	chr14	31407963	31409113	38.4	34.7	20.9	37.0	14.4
116	chr14	31422562	31423208	17.5	11.4	8.48	16.7	11.0
116	chr14	31660692	31663588	147.7	151.5	121.0	117.9	117.8
116	chr14	31531761	31532787	67.6	69.3	29.4	36.4	22.5
116	chr14	31387303	31390719	111.0	114.0	35.6	60.5	49.7
116	chr14	31413319	31415439	83.4	64.3	52.0	65.4	50.8
116	chr14	31397556	31401290	172.7	137.3	118.2	166.1	99.4
117	chr13	109903399	109908223	298.7	271.4	84.8	240.8	220.1
117	chr13	109685307	109686675	102.6	99.9	54.9	80.9	58.3
117	chr13	109835947	109838551	118.5	109.5	39.0	80.9	60.7
118	chr3	28262316	28266650	297.0	269.2	147.6	261.8	218.9
118	chr3	28031551	28032649	45.1	40.1	27.1	29.6	22.0
118	chr3	28705272	28706122	29.2	19.6	14.7	23.5	26.0
119	chr8	120485905	120491591	296.2	149.2	132.9	178.4	132.3
119	chr8	120276026	120277550	50.9	32.8	26.0	38.3	30.6
119	chr8	121023214	121024266	26.7	15.1	13.0	15.4	9.24
120	chr9	106202159	106207057	296.2	255.5	184.9	239.6	126.5
120	chr9	106159358	106160998	84.3	83.0	65.0	94.5	58.9
120	chr9	106211050	106212390	52.6	54.7	22.1	48.2	26.0
121	chr3	100484113	100488681	295.4	140.5	109.7	238.3	94.7
122	chr16	55891205	55896459	295.4	254.1	118.8	272.3	126.5
123	chr11	106748747	106754239	294.5	268.7	134.0	268.0	168.1
123	chr11	106429351	106430645	31.7	29.2	25.4	35.8	21.4
123	chr11	106657837	106661635	118.5	113.6	17.5	121.0	102.8
123	chr11	106761809	106763833	94.3	65.7	55.4	60.5	56.0
123	chr11	106961113	106962883	94.3	99.0	73.0	99.4	76.2
123	chr11	107011197	107012405	68.4	61.6	31.7	63.6	53.7
123	chr11	107100928	107103682	141.0	106.7	80.3	102.5	83.8
124	chr9	56416831	56423023	292.8	229.9	108.0	216.7	254.7
124	chr9	56505843	56508141	153.5	145.5	103.5	158.1	111.5
124	chr9	56257678	56259548	94.3	91.2	62.2	76.6	59.5
124	chr9	56099959	56101329	54.2	44.3	20.4	40.1	49.1
124	chr9	56463882	56465942	108.5	58.8	37.3	81.5	55.5
125	chr5	3340620	3345398	292.0	243.6	41.9	224.8	118.4
126	chr9	77916361	77921963	292.0	140.5	91.6	131.5	99.4
127	chr10	58368843	58374035	292.0	269.6	122.2	246.4	202.2
127	chr10	58713545	58715225	97.6	86.7	69.0	104.3	78.0
127	chr10	58658741	58659711	20.9	17.8	10.7	19.1	11.0
128	chr2	24973844	24978076	291.2	251.4	105.2	169.2	160.0
128	chr2	25163330	25164518	68.4	54.3	43.5	54.3	52.0
129	chr9	103108706	103114650	291.2	265.5	125.0	214.9	214.9
129	chr9	103180018	103181346	60.9	55.2	34.5	54.3	34.7
130	chr2	11500401	11503819	288.7	226.3	100.1	201.9	139.8
130	chr2	11215932	11220720	224.4	177.0	135.7	180.3	130.5
130	chr2	11534820	11536344	89.3	82.1	48.1	79.7	64.1
131	chr7	78912203	78915671	287.0	262.8	135.7	274.1	146.7
131	chr7	78881557	78884621	63.4	89.0	59.4	77.8	61.2
132	chr13	48961824	48967194	283.7	255.9	34.5	214.9	222.4
132	chr13	48878117	48879531	61.7	75.7	37.9	63.6	60.7
133	chr2	18025845	18029241	282.8	263.2	115.9	209.9	124.8
134	chr2	118543379	118549913	281.2	120.4	84.3	117.3	90.1
135	chr7	101580938	101586198	279.5	208.0	54.3	178.4	68.7
135	chr7	101465257	101467469	111.0	59.3	30.5	37.7	38.7
135	chr7	101634087	101635993	93.4	42.9	41.9	55.6	38.7
136	chr9	108338232	108343506	279.5	247.7	109.7	249.4	155.4
136	chr9	108266033	108266819	20.9	21.9	13.6	23.5	11.6
136	chr9	108200806	108201694	34.2	36.0	19.2	24.1	13.9
136	chr9	108451856	108453008	60.1	47.9	17.0	47.5	31.8
137	chr11	58952885	58957273	279.5	255.9	44.1	226.6	101.1
137	chr11	58958675	58961397	115.1	117.7	7.92	120.4	0.0
138	chr1	128588917	128593545	277.8	245.0	86.0	232.2	187.7
138	chr1	128436016	128436808	25.9	21.4	17.0	26.6	14.4
138	chr1	128548429	128549551	38.4	49.3	29.4	53.1	42.2
139	chr15	102516130	102519722	277.8	255.9	109.7	153.7	111.5
139	chr15	102106689	102107853	45.9	45.2	18.1	30.9	13.3
140	chr10	88200854	88205976	277.0	187.5	119.9	197.0	132.3
141	chr18	39483230	39489270	277.0	189.8	115.4	246.4	139.8
141	chr18	39516148	39520506	195.2	238.1	130.1	209.9	130.0
142	chr5	114377031	114382469	276.2	255.0	83.7	261.8	134.0
142	chr5	114679629	114682541	163.5	135.5	80.3	110.5	69.3
143	chr15	78243994	78249124	275.3	230.8	126.7	269.2	121.3
143	chr15	78531696	78532934	53.4	51.1	32.2	57.4	41.0
143	chr15	78447347	78450153	119.3	155.6	112.0	160.5	104.6
143	chr15	78579684	78582596	188.6	152.8	110.3	176.0	116.1
143	chr15	77904613	77906387	84.3	64.8	49.8	87.7	50.8
144	chr11	69364694	69368514	273.7	230.8	134.6	213.0	150.8
144	chr11	69331607	69332933	70.9	82.6	49.8	86.4	64.1
144	chr11	68954324	68955374	25.0	27.8	13.0	24.1	16.8
