chr_name	chromosome_id	end	id	id_0_1um_pcc	id_100um_k99a	id_10um_k99a	id_10um_pcc	id_no_peptide	start	tag_count_0_1um_pcc	tag_count_100um_k99a	tag_count_10um_k99a	tag_count_10um_pcc	tag_count_no_peptide	label
chrX	3	11181449	30861	0.0	30005.0	30861.0	0.0	0.0	11180949	0.0	9.05	9.12	0.0	0.0	0
chr10	9	78085536	31152	0.0	30491.0	31152.0	0.0	0.0	78085036	0.0	8.48	8.67	0.0	0.0	0
chr11	13	100839500	31182	0.0	30558.0	31182.0	0.0	0.0	100839000	0.0	8.48	8.67	0.0	0.0	0
chr11	13	115507296	31188	0.0	30568.0	31188.0	0.0	0.0	115506796	0.0	8.48	8.67	0.0	0.0	0
chr14	11	55554855	31246	0.0	30672.0	31246.0	33680.0	0.0	55554355	0.0	8.48	8.67	8.09	0.0	0
chr16	17	52069977	31289	0.0	30741.0	31289.0	0.0	0.0	52069477	0.0	8.48	8.67	0.0	0.0	0
chr4	5	129926004	31498	0.0	31094.0	31498.0	0.0	0.0	129925504	0.0	7.92	8.21	0.0	0.0	0
chr7	8	110022943	31598	0.0	31290.0	31598.0	0.0	0.0	110022443	0.0	7.92	8.21	0.0	0.0	0
chr8	10	114539230	31620	0.0	31337.0	31620.0	0.0	0.0	114538730	0.0	7.92	8.21	0.0	0.0	0
chr9	12	122187391	31672	0.0	31412.0	31672.0	0.0	0.0	122186891	0.0	7.92	8.21	0.0	0.0	0
chr17	18	80106468	31890	0.0	31835.0	31890.0	0.0	0.0	80105968	0.0	7.92	8.21	0.0	0.0	0
chr1	1	151046210	31976	0.0	31982.0	31976.0	0.0	0.0	151045710	0.0	7.35	7.76	0.0	0.0	0
chr4	5	89273028	32090	0.0	32080.0	32090.0	0.0	0.0	89272528	0.0	7.35	7.76	0.0	0.0	0
chr8	10	82754453	33275	0.0	32628.0	33275.0	0.0	0.0	82753953	0.0	6.79	6.84	0.0	0.0	0
chr9	12	38721923	33297	0.0	32642.0	33297.0	0.0	0.0	38721423	0.0	6.79	6.84	0.0	0.0	0
chr10	9	82893277	1510	0.0	1510.0	12336.0	21957.0	0.0	82889499	0.0	138.0	62.0	20.8	0.0	0
chr15	16	64212513	4063	26471.0	4063.0	11062.0	0.0	0.0	64210187	16.7	88.2	69.3	0.0	0.0	0
chr7	8	132800267	4577	0.0	4577.0	24611.0	20463.0	0.0	132797845	0.0	83.1	17.8	23.7	0.0	0
chr17	18	31830760	5092	15489.0	5092.0	30127.0	0.0	0.0	31827976	48.8	78.6	10.0	0.0	0.0	0
chr1	1	127349407	5792	0.0	5792.0	0.0	14612.0	0.0	127347761	0.0	73.0	0.0	39.3	0.0	0
chr1	1	165826506	6834	0.0	6834.0	18529.0	16661.0	0.0	165823966	0.0	65.6	34.2	32.9	0.0	0
chr12	15	26188896	7536	0.0	7536.0	0.0	0.0	0.0	26187206	0.0	61.6	0.0	0.0	0.0	0
chr4	5	145266144	7700	0.0	7700.0	26872.0	28159.0	0.0	145264178	0.0	60.5	13.7	12.1	0.0	0
chr11	13	5436184	7731	0.0	7731.0	25597.0	0.0	0.0	5434606	0.0	60.5	16.0	0.0	0.0	0
chr3	4	31086564	7891	23907.0	7891.0	0.0	0.0	0.0	31083884	21.0	59.4	0.0	0.0	0.0	0
chr2	2	59439325	8188	24528.0	8188.0	18540.0	20134.0	0.0	59437865	19.8	57.7	34.2	24.3	0.0	0
chr16	17	11074256	9642	0.0	9642.0	0.0	18156.0	0.0	11072772	0.0	51.5	0.0	29.5	0.0	0
chr17	18	50730391	10032	22038.0	10032.0	18228.0	32056.0	0.0	50728887	25.9	49.8	35.6	9.24	0.0	0
chr5	6	147065182	10518	0.0	10518.0	0.0	20425.0	0.0	147064198	0.0	47.5	0.0	23.7	0.0	0
chr8	10	95391081	10687	0.0	10687.0	16452.0	19958.0	0.0	95389929	0.0	46.9	42.4	24.8	0.0	0
chr15	16	53157898	10734	20708.0	10734.0	0.0	0.0	0.0	53156960	29.6	46.9	0.0	0.0	0.0	0
chr9	12	32938476	10829	33612.0	10829.0	31113.0	0.0	0.0	32937174	8.64	46.4	8.67	0.0	0.0	0
chr6	7	91866312	10951	0.0	10951.0	25819.0	0.0	0.0	91865096	0.0	45.8	15.5	0.0	0.0	0
chr7	8	34383886	10960	32862.0	10960.0	21775.0	18701.0	0.0	34381764	9.26	45.8	24.2	27.7	0.0	0
chr16	17	78558575	11154	26491.0	11154.0	24732.0	18380.0	0.0	78557085	16.7	45.2	17.8	28.9	0.0	0
chr3	4	79203971	11205	20347.0	11205.0	23214.0	20148.0	0.0	79202741	30.3	44.7	20.5	24.3	0.0	0
chr11	13	83082722	11595	0.0	11595.0	0.0	23718.0	0.0	83081162	0.0	43.5	0.0	17.9	0.0	0
chr14	11	66275065	11615	0.0	11615.0	28105.0	0.0	0.0	66273705	0.0	43.5	12.3	0.0	0.0	0
chr2	2	165170281	11970	22084.0	11970.0	22636.0	17539.0	0.0	165168303	25.3	41.9	21.9	30.6	0.0	0
chr7	8	102253645	12193	26347.0	12193.0	0.0	0.0	0.0	102252359	16.7	41.3	0.0	0.0	0.0	0
chr14	11	67060057	12250	0.0	12250.0	0.0	29535.0	0.0	67058835	0.0	41.3	0.0	11.0	0.0	0
chr15	16	100077104	12416	0.0	12416.0	23362.0	0.0	0.0	100075680	0.0	40.7	20.5	0.0	0.0	0
chr16	17	23328554	12589	0.0	12589.0	0.0	0.0	0.0	23327158	0.0	40.2	0.0	0.0	0.0	0
chr11	13	5438301	12899	26065.0	12899.0	20233.0	0.0	0.0	5437273	17.3	39.0	28.7	0.0	0.0	0
chr5	6	96963745	13024	0.0	13024.0	23683.0	23979.0	0.0	96962523	0.0	38.5	19.6	17.3	0.0	0
chr16	17	75922136	13311	23574.0	13311.0	25234.0	20307.0	0.0	75921058	22.2	37.9	16.9	24.3	0.0	0
chr6	7	34273374	13396	28963.0	13396.0	23250.0	27639.0	0.0	34272290	13.0	37.3	20.5	12.7	0.0	0
chr8	10	3325620	13590	0.0	13590.0	18961.0	0.0	0.0	3324200	0.0	36.8	32.8	0.0	0.0	0
chr1	1	106618926	13881	0.0	13881.0	0.0	0.0	0.0	106618190	0.0	35.6	0.0	0.0	0.0	0
chr3	4	95101943	13903	28887.0	13903.0	0.0	23546.0	0.0	95100441	13.0	35.6	0.0	17.9	0.0	0
chr17	18	28967578	14034	0.0	14034.0	0.0	0.0	0.0	28966552	0.0	35.6	0.0	0.0	0.0	0
chr2	2	151960027	14084	0.0	14084.0	18927.0	0.0	0.0	151958803	0.0	35.1	32.8	0.0	0.0	0
chr11	13	90465008	14395	0.0	14395.0	19258.0	19723.0	0.0	90464062	0.0	34.5	31.9	25.4	0.0	0
chr13	14	13538692	14408	0.0	14408.0	24966.0	21116.0	0.0	13537716	0.0	34.5	17.3	22.5	0.0	0
chr9	12	13575488	14763	28132.0	14763.0	19920.0	0.0	0.0	13574260	14.2	33.4	29.7	0.0	0.0	0
chr17	18	87182846	14841	0.0	14841.0	22198.0	0.0	0.0	87181362	0.0	33.4	23.3	0.0	0.0	0
chr1	1	39948937	14853	0.0	14853.0	26802.0	32125.0	0.0	39947667	0.0	32.8	13.7	8.66	0.0	0
chr7	8	132766806	14918	0.0	14918.0	0.0	0.0	0.0	132765982	0.0	32.8	0.0	0.0	0.0	0
chr9	12	114447558	14939	27699.0	14939.0	0.0	0.0	0.0	114446334	14.8	32.8	0.0	0.0	0.0	0
chr4	5	8729060	15111	0.0	15111.0	20784.0	0.0	0.0	8728230	0.0	32.2	26.9	0.0	0.0	0
chr13	14	35749617	15230	26104.0	15230.0	24968.0	21990.0	0.0	35748669	17.3	32.2	17.3	20.8	0.0	0
chr17	18	87299454	15281	29268.0	15281.0	0.0	26062.0	0.0	87298954	13.0	32.2	0.0	15.0	0.0	0
chr17	18	27793257	15483	0.0	15483.0	22027.0	0.0	0.0	27792485	0.0	31.7	23.7	0.0	0.0	0
chr17	18	34329890	15703	0.0	15703.0	21855.0	0.0	0.0	34329262	0.0	31.1	24.2	0.0	0.0	0
chr19	21	36185335	15720	0.0	15720.0	0.0	30442.0	0.0	36184043	0.0	31.1	0.0	10.4	0.0	0
chr1	1	85697997	15730	0.0	15730.0	25477.0	0.0	0.0	85697203	0.0	30.5	16.0	0.0	0.0	0
chr1	1	89108670	15732	0.0	15732.0	25478.0	0.0	0.0	89107738	0.0	30.5	16.0	0.0	0.0	0
chr5	6	64298312	15774	0.0	15774.0	28270.0	23974.0	0.0	64297102	0.0	30.5	11.9	17.3	0.0	0
chr15	16	5513670	16123	0.0	16123.0	0.0	0.0	0.0	5512864	0.0	30.0	0.0	0.0	0.0	0
chr17	18	46686245	16144	31694.0	16144.0	31877.0	0.0	0.0	46685195	10.5	30.0	8.21	0.0	0.0	0
chr10	9	118094018	16303	0.0	16303.0	0.0	0.0	0.0	118093386	0.0	29.4	0.0	0.0	0.0	0
chr13	14	17605402	16331	0.0	16331.0	0.0	0.0	0.0	17604902	0.0	29.4	0.0	0.0	0.0	0
chr13	14	85503115	16338	0.0	16338.0	23339.0	0.0	0.0	85501657	0.0	29.4	20.5	0.0	0.0	0
chr17	18	28609568	16354	0.0	16354.0	26766.0	32807.0	0.0	28608416	0.0	29.4	14.1	8.66	0.0	0
chr1	1	135725452	16387	34041.0	16387.0	0.0	0.0	0.0	135723830	8.03	28.8	0.0	0.0	0.0	0
chr4	5	148510594	16430	0.0	16430.0	22829.0	25706.0	0.0	148509718	0.0	28.8	21.4	15.0	0.0	0
chr6	7	29856892	16665	0.0	16665.0	26891.0	0.0	0.0	29855954	0.0	28.3	13.7	0.0	0.0	0
chr6	7	122528089	16672	30687.0	16672.0	29338.0	22189.0	0.0	122527251	11.1	28.3	10.5	20.2	0.0	0
chr7	8	78735906	16690	0.0	16690.0	30656.0	0.0	0.0	78735406	0.0	28.3	9.12	0.0	0.0	0
chr11	13	46063895	16733	30270.0	16733.0	22545.0	19710.0	0.0	46062673	11.7	28.3	22.4	25.4	0.0	0
chr14	11	21502263	16783	0.0	16783.0	0.0	0.0	0.0	21501763	0.0	28.3	0.0	0.0	0.0	0
chr17	18	73152734	16817	29912.0	16817.0	27040.0	0.0	0.0	73151752	12.3	28.3	13.7	0.0	0.0	0
chr3	4	153718651	16882	31930.0	16882.0	21918.0	29849.0	0.0	153717685	9.88	27.7	23.7	10.4	0.0	0
chr13	14	30169439	17004	0.0	17004.0	0.0	0.0	0.0	30168939	0.0	27.7	0.0	0.0	0.0	0
chr17	18	12164247	17035	0.0	17035.0	0.0	0.0	0.0	12163139	0.0	27.7	0.0	0.0	0.0	0
chr1	1	40359755	17070	0.0	17070.0	0.0	0.0	0.0	40358891	0.0	27.1	0.0	0.0	0.0	0
chr4	5	63842778	17124	31216.0	17124.0	0.0	0.0	0.0	63842068	10.5	27.1	0.0	0.0	0.0	0
chr4	5	145250091	17132	0.0	17132.0	0.0	0.0	0.0	145249131	0.0	27.1	0.0	0.0	0.0	0
chr4	5	156009711	17134	25931.0	17134.0	27159.0	0.0	0.0	156008797	17.3	27.1	13.2	0.0	0.0	0
chr5	6	105645643	17141	26658.0	17141.0	26097.0	23594.0	0.0	105644691	16.1	27.1	15.1	17.9	0.0	0
chr8	10	61275319	17177	0.0	17177.0	28995.0	0.0	0.0	61274257	0.0	27.1	10.9	0.0	0.0	0
chr8	10	85619977	17180	0.0	17180.0	0.0	0.0	0.0	85619037	0.0	27.1	0.0	0.0	0.0	0
chr10	9	118110764	17219	0.0	17219.0	28027.0	0.0	0.0	118109804	0.0	27.1	12.3	0.0	0.0	0
chr10	9	118469609	17220	27734.0	17220.0	0.0	0.0	0.0	118468821	14.8	27.1	0.0	0.0	0.0	0
chr11	13	34741937	17230	0.0	17230.0	27270.0	24534.0	0.0	34740997	0.0	27.1	13.2	16.8	0.0	0
chr11	13	54884000	17234	29723.0	17234.0	0.0	0.0	0.0	54883228	12.3	27.1	0.0	0.0	0.0	0
chr12	15	79843377	17259	29163.0	17259.0	30002.0	26769.0	0.0	79842751	13.0	27.1	10.0	13.9	0.0	0
chr2	2	128422336	17370	0.0	17370.0	0.0	0.0	0.0	128420920	0.0	26.6	0.0	0.0	0.0	0
chr7	8	58741407	17422	0.0	17422.0	0.0	0.0	0.0	58740651	0.0	26.6	0.0	0.0	0.0	0
chr10	9	21480309	17454	0.0	17454.0	21619.0	0.0	0.0	21479637	0.0	26.6	24.6	0.0	0.0	0
chr11	13	96996477	17483	29738.0	17483.0	0.0	26749.0	0.0	96995531	12.3	26.6	0.0	13.9	0.0	0
chr12	15	25306919	17495	0.0	17495.0	0.0	0.0	0.0	25306011	0.0	26.6	0.0	0.0	0.0	0
chr13	14	52009088	17509	0.0	17509.0	22563.0	25431.0	0.0	52008316	0.0	26.6	22.4	15.6	0.0	0
chr14	11	27348615	17513	29195.0	17513.0	22569.0	24586.0	0.0	27347951	13.0	26.6	22.4	16.8	0.0	0
chr2	2	31727375	17593	0.0	17593.0	21234.0	0.0	0.0	31726619	0.0	26.0	25.5	0.0	0.0	0
chr4	5	44302457	17622	0.0	17622.0	0.0	0.0	0.0	44301957	0.0	26.0	0.0	0.0	0.0	0
chr4	5	136096034	17631	0.0	17631.0	0.0	0.0	0.0	136095534	0.0	26.0	0.0	0.0	0.0	0
chr7	8	67501457	17657	0.0	17657.0	24142.0	24828.0	0.0	67500563	0.0	26.0	18.7	16.2	0.0	0
chr7	8	80841416	17659	0.0	17659.0	0.0	0.0	0.0	80840916	0.0	26.0	0.0	0.0	0.0	0
chr9	12	114508350	17681	0.0	17681.0	0.0	0.0	0.0	114507850	0.0	26.0	0.0	0.0	0.0	0
chr10	9	51554139	17687	0.0	17687.0	23523.0	25346.0	0.0	51553373	0.0	26.0	20.1	15.6	0.0	0
chr12	15	69863775	17728	0.0	17728.0	0.0	0.0	0.0	69862873	0.0	26.0	0.0	0.0	0.0	0
chr13	14	114915857	17741	27305.0	17741.0	24699.0	24584.0	0.0	114914949	15.4	26.0	17.8	16.8	0.0	0
chrX	3	71469389	17797	0.0	17797.0	0.0	27424.0	0.0	71468217	0.0	26.0	0.0	13.3	0.0	0
chr1	1	161762034	17811	0.0	17811.0	0.0	0.0	0.0	161761396	0.0	25.4	0.0	0.0	0.0	0
chr12	15	86879876	17971	28210.0	17971.0	0.0	0.0	0.0	86879248	14.2	25.4	0.0	0.0	0.0	0
chr15	16	28001636	18002	28718.0	18002.0	26740.0	0.0	0.0	28000718	13.6	25.4	14.1	0.0	0.0	0
chr15	16	74920523	18005	0.0	18005.0	0.0	0.0	0.0	74919765	0.0	25.4	0.0	0.0	0.0	0
chr17	18	31082085	18026	30416.0	18026.0	25240.0	34713.0	0.0	31081181	11.7	25.4	16.9	6.35	0.0	0
chr5	6	134282137	18136	0.0	18136.0	0.0	0.0	0.0	134281471	0.0	24.9	0.0	0.0	0.0	0
chr6	7	34156198	18141	0.0	18141.0	0.0	0.0	0.0	34155698	0.0	24.9	0.0	0.0	0.0	0
chr10	9	6988139	18192	0.0	18192.0	0.0	0.0	0.0	6987639	0.0	24.9	0.0	0.0	0.0	0
chr10	9	93420490	18200	0.0	18200.0	0.0	0.0	0.0	93419728	0.0	24.9	0.0	0.0	0.0	0
chr11	13	4785095	18205	0.0	18205.0	0.0	0.0	0.0	4784595	0.0	24.9	0.0	0.0	0.0	0
chr12	15	69575035	18230	0.0	18230.0	0.0	0.0	0.0	69574395	0.0	24.9	0.0	0.0	0.0	0
chr13	14	97840358	18246	0.0	18246.0	0.0	0.0	0.0	97839578	0.0	24.9	0.0	0.0	0.0	0
chr17	18	32881139	18282	0.0	18282.0	21685.0	0.0	0.0	32880387	0.0	24.9	24.6	0.0	0.0	0
chr17	18	84064075	18292	0.0	18292.0	22396.0	22039.0	0.0	84063287	0.0	24.9	22.8	20.8	0.0	0
chr2	2	35982229	18336	26994.0	18336.0	30219.0	0.0	0.0	35981113	15.4	24.3	9.58	0.0	0.0	0
chr7	8	30333281	18403	0.0	18403.0	0.0	28698.0	0.0	30332163	0.0	24.3	0.0	11.6	0.0	0
chr8	10	122596093	18425	0.0	18425.0	26643.0	0.0	0.0	122595169	0.0	24.3	14.1	0.0	0.0	0
chr9	12	117962588	18442	0.0	18442.0	0.0	30998.0	0.0	117961758	0.0	24.3	0.0	9.82	0.0	0
chr11	13	118217755	18481	28201.0	18481.0	0.0	0.0	0.0	118217105	14.2	24.3	0.0	0.0	0.0	0
chr11	13	119160265	18483	29147.0	18483.0	26203.0	0.0	0.0	119159401	13.0	24.3	15.1	0.0	0.0	0
chr14	11	73112814	18506	0.0	18506.0	0.0	27320.0	0.0	73112176	0.0	24.3	0.0	13.3	0.0	0
chr3	4	95646100	18612	0.0	18612.0	0.0	0.0	0.0	95645600	0.0	23.8	0.0	0.0	0.0	0
chr4	5	32588705	18619	0.0	18619.0	0.0	0.0	0.0	32588205	0.0	23.8	0.0	0.0	0.0	0
chr5	6	107151746	18644	0.0	18644.0	0.0	30746.0	0.0	107150834	0.0	23.8	0.0	9.82	0.0	0
chr7	8	123356586	18677	0.0	18677.0	0.0	0.0	0.0	123355962	0.0	23.8	0.0	0.0	0.0	0
chr9	12	45807850	18696	0.0	18696.0	22700.0	0.0	0.0	45807188	0.0	23.8	21.9	0.0	0.0	0
chr13	14	51786730	18758	0.0	18758.0	0.0	0.0	0.0	51785968	0.0	23.8	0.0	0.0	0.0	0
chr17	18	29173038	18804	34406.0	18804.0	0.0	0.0	0.0	29172408	8.03	23.8	0.0	0.0	0.0	0
chrX	3	50566620	18823	33997.0	18823.0	32676.0	31459.0	0.0	50564988	8.64	23.8	7.76	9.82	0.0	0
chr2	2	117353267	18848	28408.0	18848.0	0.0	28108.0	0.0	117352373	13.6	23.2	0.0	12.1	0.0	0
chr3	4	135635213	18871	0.0	18871.0	28896.0	0.0	0.0	135634421	0.0	23.2	10.9	0.0	0.0	0
chr5	6	117159437	18898	32823.0	18898.0	28595.0	32350.0	0.0	117158337	9.26	23.2	11.4	8.66	0.0	0
chr7	8	84193058	18937	0.0	18937.0	0.0	27130.0	0.0	84192300	0.0	23.2	0.0	13.3	0.0	0
chr7	8	102199170	18940	28547.0	18940.0	0.0	0.0	0.0	102198190	13.6	23.2	0.0	0.0	0.0	0
chr9	12	45848424	18973	0.0	18973.0	30345.0	34154.0	0.0	45847362	0.0	23.2	9.58	7.51	0.0	0
chr11	13	11729955	19013	0.0	19013.0	26188.0	0.0	0.0	11729329	0.0	23.2	15.1	0.0	0.0	0
chr12	15	73663348	19046	25711.0	19046.0	0.0	30212.0	0.0	73662478	17.9	23.2	0.0	10.4	0.0	0
chr12	15	99701578	19047	0.0	19047.0	0.0	0.0	0.0	99700794	0.0	23.2	0.0	0.0	0.0	0
chr12	15	107773911	19050	29780.0	19050.0	0.0	0.0	0.0	107773111	12.3	23.2	0.0	0.0	0.0	0
chr13	14	112473694	19063	0.0	19063.0	0.0	0.0	0.0	112472872	0.0	23.2	0.0	0.0	0.0	0
chr16	17	30533886	19093	0.0	19093.0	25440.0	29585.0	0.0	30533260	0.0	23.2	16.4	11.0	0.0	0
chr18	20	67280934	19124	0.0	19124.0	0.0	0.0	0.0	67280162	0.0	23.2	0.0	0.0	0.0	0
chr1	1	36648744	19145	0.0	19145.0	0.0	0.0	0.0	36647832	0.0	22.6	0.0	0.0	0.0	0
chr1	1	127212506	19154	0.0	19154.0	0.0	0.0	0.0	127211748	0.0	22.6	0.0	0.0	0.0	0
chr2	2	59645612	19174	27465.0	19174.0	0.0	29093.0	0.0	59644578	14.8	22.6	0.0	11.0	0.0	0
chr2	2	167976710	19195	0.0	19195.0	23008.0	22865.0	0.0	167975758	0.0	22.6	21.0	19.1	0.0	0
chr2	2	168490449	19196	0.0	19196.0	0.0	0.0	0.0	168488949	0.0	22.6	0.0	0.0	0.0	0
chr3	4	138008987	19211	0.0	19211.0	28901.0	0.0	0.0	138008217	0.0	22.6	10.9	0.0	0.0	0
chr4	5	136071777	19225	0.0	19225.0	0.0	0.0	0.0	136071277	0.0	22.6	0.0	0.0	0.0	0
chr4	5	147876783	19231	0.0	19231.0	32778.0	32304.0	0.0	147875531	0.0	22.6	7.3	8.66	0.0	0
chr8	10	81804457	19288	28564.0	19288.0	0.0	0.0	0.0	81803677	13.6	22.6	0.0	0.0	0.0	0
chr9	12	15064370	19297	33608.0	19297.0	23279.0	0.0	0.0	15063548	8.64	22.6	20.5	0.0	0.0	0
chr12	15	76933073	19357	0.0	19357.0	28724.0	0.0	0.0	76932179	0.0	22.6	11.4	0.0	0.0	0
chr12	15	107963810	19361	0.0	19361.0	23117.0	22340.0	0.0	107963310	0.0	22.6	21.0	20.2	0.0	0
chr13	14	3542667	19363	0.0	19363.0	25418.0	28346.0	0.0	3541787	0.0	22.6	16.4	12.1	0.0	0
chr15	16	59030450	19385	0.0	19385.0	24990.0	25466.0	0.0	59029670	0.0	22.6	17.3	15.6	0.0	0
chr17	18	27790707	19410	0.0	19410.0	24739.0	26042.0	0.0	27790207	0.0	22.6	17.8	15.0	0.0	0
chr17	18	29153807	19411	0.0	19411.0	0.0	0.0	0.0	29153027	0.0	22.6	0.0	0.0	0.0	0
chr18	20	54970843	19423	0.0	19423.0	32630.0	0.0	0.0	54970047	0.0	22.6	7.76	0.0	0.0	0
chr1	1	36924834	19447	0.0	19447.0	23181.0	0.0	0.0	36924066	0.0	22.1	20.5	0.0	0.0	0
chr1	1	159405442	19459	0.0	19459.0	0.0	0.0	0.0	159404480	0.0	22.1	0.0	0.0	0.0	0
chr2	2	128518403	19477	27984.0	19477.0	34004.0	0.0	0.0	128517285	14.2	22.1	5.93	0.0	0.0	0
chr3	4	21996968	19485	0.0	19485.0	0.0	0.0	0.0	21996156	0.0	22.1	0.0	0.0	0.0	0
chr3	4	97004639	19494	0.0	19494.0	25087.0	27550.0	0.0	97003797	0.0	22.1	16.9	12.7	0.0	0
chr4	5	32350818	19506	0.0	19506.0	0.0	0.0	0.0	32350186	0.0	22.1	0.0	0.0	0.0	0
chr6	7	38121695	19546	28511.0	19546.0	28614.0	32379.0	0.0	38120529	13.6	22.1	11.4	8.66	0.0	0
chr7	8	132792370	19574	0.0	19574.0	0.0	30895.0	0.0	132791598	0.0	22.1	0.0	9.82	0.0	0
chr8	10	46943968	19583	0.0	19583.0	0.0	0.0	0.0	46943468	0.0	22.1	0.0	0.0	0.0	0
chr9	12	118284810	19612	0.0	19612.0	0.0	0.0	0.0	118284096	0.0	22.1	0.0	0.0	0.0	0
chr10	9	30716536	19614	29676.0	19614.0	0.0	0.0	0.0	30715756	12.3	22.1	0.0	0.0	0.0	0
chr11	13	54999468	19634	0.0	19634.0	24183.0	24538.0	0.0	54998644	0.0	22.1	18.7	16.8	0.0	0
chr12	15	103339620	19667	0.0	19667.0	0.0	0.0	0.0	103338692	0.0	22.1	0.0	0.0	0.0	0
chr14	11	18302119	19682	0.0	19682.0	25425.0	0.0	0.0	18301491	0.0	22.1	16.4	0.0	0.0	0
chr15	16	36360946	19694	0.0	19694.0	0.0	0.0	0.0	36360446	0.0	22.1	0.0	0.0	0.0	0
chr15	16	77867239	19699	0.0	19699.0	27321.0	25472.0	0.0	77866367	0.0	22.1	13.2	15.6	0.0	0
chr16	17	23308413	19710	0.0	19710.0	0.0	0.0	0.0	23307675	0.0	22.1	0.0	0.0	0.0	0
chr17	18	49010622	19730	0.0	19730.0	0.0	33822.0	0.0	49009714	0.0	22.1	0.0	8.09	0.0	0
chr18	20	34089663	19741	0.0	19741.0	26779.0	31391.0	0.0	34088971	0.0	22.1	14.1	9.82	0.0	0
chr3	4	131175794	19823	26614.0	19823.0	30574.0	0.0	0.0	131174896	16.1	21.5	9.12	0.0	0.0	0
chr4	5	102635905	19830	31221.0	19830.0	26079.0	33121.0	0.0	102635169	10.5	21.5	15.1	8.09	0.0	0
chr4	5	155505529	19840	31247.0	19840.0	27158.0	0.0	0.0	155505029	10.5	21.5	13.2	0.0	0.0	0
chr5	6	124217922	19854	0.0	19854.0	0.0	0.0	0.0	124217226	0.0	21.5	0.0	0.0	0.0	0
