Annotation Cluster 1	Enrichment Score: 9.315815480902241
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0051082~unfolded protein binding	14	4.810996563573884	1.1761594226423728E-8	HSP90AB1, HSP90AA1, CCT2, CCT6A, CCT3, CALR, CANX, CCT7, HSP90B1, CCT5, CCT4, CCT8, HSPA8, HSPA9	224	57	7236	7.9342105263157885	4.375303516601647E-6	4.375303516601647E-6	1.6231809318867363E-5
PIR_SUPERFAMILY	PIRSF002584:molecular chaperone t-complex-type	7	2.405498281786942	4.22863695820282E-8	CCT7, CCT5, CCT4, CCT8, CCT2, CCT6A, CCT3	184	7	4206	22.858695652173914	8.414952327950864E-6	8.414952327950864E-6	5.29580688857223E-5
GOTERM_CC_FAT	GO:0005832~chaperonin-containing T-complex	6	2.0618556701030926	1.9045189199781875E-7	CCT7, CCT5, CCT4, CCT2, CCT6A, CCT3	214	6	6634	31.0	3.732787769095136E-5	6.221409712514614E-6	2.3792161555347136E-4
GOTERM_CC_FAT	GO:0044445~cytosolic part	8	2.7491408934707904	0.0013987335312841435	CCT7, CCT5, CCT4, RPL7, BAX, CCT2, CCT6A, CCT3	214	53	6634	4.679245283018868	0.23992919361560705	0.01812333959314605	1.7333908367790363

Annotation Cluster 3	Enrichment Score: 7.433014053680038
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	isopeptide bond	23	7.903780068728522	1.270005501576793E-8	TRP53, ATP5D, SATB1, RAN, SLC3A2, HDGF, NFKBIA, NEDD8, UQCRQ, YBX1, RPS3, PSMA1, HIF1A, PSMA6, NME1, CCT8, IRF1, TUBB5, EIF3I, HNRNPC, RPS20, KPNB1, PSMD7	269	201	10236	4.3542140598124615	3.3782089473577415E-6	3.7535711328029464E-7	1.6659521984152548E-5
UP_SEQ_FEATURE	cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)	18	6.185567010309279	3.69766643722046E-8	TRP53, ATP5D, RAN, SLC3A2, NFKBIA, UQCRQ, YBX1, RPS3, PSMA1, HIF1A, PSMA6, NME1, CCT8, TUBB5, EIF3I, RPS20, PSMD7, KPNB1	265	128	10040	5.327830188679245	2.8360699944607326E-5	2.8360699944607326E-5	5.644512693914194E-5
SP_PIR_KEYWORDS	ubl conjugation	31	10.652920962199312	1.069607662163315E-7	ATP5D, HDGF, NFKBIA, NFKB1, UQCRQ, YBX1, RPS3, HNRNPM, TUBB5, EIF3I, HNRNPC, BHLHE40, RPS20, PSMD7, KPNB1, TRP53, SSRP1, SATB1, AIMP2, RAN, DDB1, NDFIP1, SLC3A2, PSMA1, CBLB, CDKN1A, HIF1A, PSMA6, NME1, CCT8, IRF1	269	390	10236	3.024649699742637	2.845116060057329E-5	2.845152486830038E-6	1.4030759850625074E-4

Annotation Cluster 4	Enrichment Score: 4.447013105016132
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	ribonucleoprotein	29	9.965635738831615	4.620263358742959E-11	RPL14, GAR1, SNRPD3, RPS2, RPS3, HNRNPM, RPL30, MRPL12, RPL7, DKC1, RPL34, PRPF8, PCBP1, HNRNPC, RPL7A, RPS20, HNRNPAB, MRPL52, HNRNPA2B1, RPL26, MRPS6, RRP9, NOP10, RPS8, HNRNPU, PA2G4, RPL41, SNRPB, NHP2	269	246	10236	4.485810136911778	1.2289890771732814E-8	2.457978154346563E-9	6.06070749142873E-8
GOTERM_CC_FAT	GO:0030529~ribonucleoprotein complex	41	14.0893470790378	9.122935870666351E-11	RPL14, GAR1, STRAP, SNRPD3, CALR, SF3B5, RPS2, SF3B3, RPS3, HNRNPM, RPL30, MRPL12, DKC1, RPL7, PCBP1, PRPF8, RPL34, DHX15, HNRNPC, RPL7A, RPS20, HNRNPAB, MRPL52, HNRNPA2B1, RPL26, MRPS6, SSB, RRP9, NCL, NOP10, RPS8, HNRNPU, RSL1D1, PA2G4, NUP62, NOLC1, RPL41, SNRPB, NOP58, RUVBL2, NHP2	214	406	6634	3.1305418719211824	1.788095393973066E-8	8.940477025376481E-9	1.1396820154274678E-7
GOTERM_MF_FAT	GO:0003735~structural constituent of ribosome	14	4.810996563573884	2.3252595328445225E-4	MRPL52, RPL14, RPL26, MRPS6, RPS2, RPS8, RPS3, RSL1D1, RPL30, MRPL12, RPL41, RPL7, RPL34, RPS20	224	134	7236	3.375	0.08287335920725769	0.014314839770006471	0.32042469407822516
SP_PIR_KEYWORDS	ribosomal protein	14	4.810996563573884	2.886724999607333E-4	MRPL52, RPL14, RPL26, MRPS6, RPS2, RPS8, RPS3, RPL30, MRPL12, RPL41, RPL7, RPL34, RPS20, RPL7A	269	160	10236	3.329553903345725	0.07392307020470412	0.003484731012208364	0.37800969557287845
GOTERM_CC_FAT	GO:0005840~ribosome	15	5.154639175257731	0.0010124567146730498	MRPL52, RPL14, RPL26, MRPS6, RPS2, RPS8, RPS3, RSL1D1, RPL30, MRPL12, RPL41, RPL7, RPL34, RPS20, RPL7A	214	169	6634	2.751479289940828	0.18007470018129068	0.015156432029794775	1.2574782984769883
GOTERM_MF_FAT	GO:0005198~structural molecule activity	17	5.841924398625429	0.0013183199750716238	MRPL52, RPL14, RPL26, MRPS6, RPS2, RPS8, MBP, RPS3, RSL1D1, RPL30, MRPL12, RPL41, NUP62, RPL7, RPL34, TUBB5, RPS20	224	222	7236	2.473696911196911	0.3878259105785381	0.04788919362052013	1.804100410964793
SP_PIR_KEYWORDS	ribosome	5	1.718213058419244	0.00231645355410812	RPL30, RPL7, RPS2, RPS8, RPS3	269	22	10236	8.648191956742142	0.460380718171036	0.019703030658503318	2.9963656642697067
KEGG_PATHWAY	mmu03010:Ribosome	11	3.7800687285223367	0.0032808292764097214	RPL30, RPL41, RPL7, RPL14, RPL34, RPL26, RPL7A, RPS20, RPS2, RPS8, RPS3	144	81	3138	2.9593621399176957	0.29181747490852605	0.048098146871701664	3.6140536476498952
GOTERM_CC_FAT	GO:0033279~ribosomal subunit	6	2.0618556701030926	0.03303690302583437	MRPL52, RPL7, RPL26, RPS20, RPS2, RPS3	214	56	6634	3.321428571428571	0.9986185333326325	0.17606611300583397	34.27459188665025

Annotation Cluster 5	Enrichment Score: 3.7537004017578095
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	stress response	9	3.0927835051546393	1.2126302517539281E-6	HSP90AB1, HSPH1, HSP90B1, HSP90AA1, HSPA4, HSPA5, AHSA1, HSPA8, HSPA9	269	32	10236	10.7021375464684	3.225078257101943E-4	2.1503758293794917E-5	0.0015906776352880847
INTERPRO	IPR001023:Heat shock protein Hsp70	5	1.718213058419244	1.6013366608345333E-4	HSPH1, HSPA4, HSPA5, HSPA8, HSPA9	272	11	9828	16.42379679144385	0.09059693558563653	0.018814136026513717	0.23586576916720947
INTERPRO	IPR018181:Heat shock protein 70, conserved site	5	1.718213058419244	1.6013366608345333E-4	HSPH1, HSPA4, HSPA5, HSPA8, HSPA9	272	11	9828	16.42379679144385	0.09059693558563653	0.018814136026513717	0.23586576916720947
INTERPRO	IPR013126:Heat shock protein 70	5	1.718213058419244	1.6013366608345333E-4	HSPH1, HSPA4, HSPA5, HSPA8, HSPA9	272	11	9828	16.42379679144385	0.09059693558563653	0.018814136026513717	0.23586576916720947
PIR_SUPERFAMILY	PIRSF002581:chaperone HSP70	3	1.0309278350515463	0.03422328180215514	HSPA5, HSPA8, HSPA9	184	7	4206	9.796583850931677	0.9990217054932983	0.9007288152558476	35.345154377641876

Annotation Cluster 6	Enrichment Score: 3.3969787681716155
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0048770~pigment granule	14	4.810996563573884	3.5549217563088413E-7	HSP90AB1, BSG, HSP90AA1, RAN, SLC3A2, PDIA6, CANX, YWHAE, SLC1A5, HSP90B1, CCT4, TFRC, HSPA5, HSPA8	214	72	6634	6.027777777777778	6.967405144997496E-5	9.953733146939037E-6	4.440974128216979E-4
GOTERM_CC_FAT	GO:0042470~melanosome	14	4.810996563573884	3.5549217563088413E-7	HSP90AB1, BSG, HSP90AA1, RAN, SLC3A2, PDIA6, CANX, YWHAE, SLC1A5, HSP90B1, CCT4, TFRC, HSPA5, HSPA8	214	72	6634	6.027777777777778	6.967405144997496E-5	9.953733146939037E-6	4.440974128216979E-4
GOTERM_CC_FAT	GO:0016023~cytoplasmic membrane-bounded vesicle	18	6.185567010309279	0.006545652213725769	HSP90AB1, BSG, TNF, HSP90AA1, RAN, ANP32E, GARS, SLC3A2, PDIA6, CANX, YWHAE, SLC1A5, HSP90B1, CCT4, TFRC, HSPD1, HSPA5, HSPA8	214	273	6634	2.043956043956044	0.7239477480029837	0.0655017569916323	7.8765173527309384
GOTERM_CC_FAT	GO:0031988~membrane-bounded vesicle	18	6.185567010309279	0.008070058842683582	HSP90AB1, BSG, TNF, HSP90AA1, RAN, ANP32E, GARS, SLC3A2, PDIA6, CANX, YWHAE, SLC1A5, HSP90B1, CCT4, TFRC, HSPD1, HSPA5, HSPA8	214	279	6634	2.0	0.7956964524349599	0.06671992068556132	9.626955234093149
GOTERM_CC_FAT	GO:0031410~cytoplasmic vesicle	19	6.529209621993128	0.02162125919815226	HSP90AB1, BSG, HSP90AA1, TNF, RAN, ANP32E, SLC3A2, GARS, PDIA6, CANX, YWHAE, SLC1A5, HSP90B1, CCT4, TFRC, CLIC4, HSPD1, HSPA5, HSPA8	214	335	6634	1.7582089552238807	0.9862160579295162	0.12530746522175673	23.895758111235843
GOTERM_CC_FAT	GO:0031982~vesicle	19	6.529209621993128	0.028757868082870345	HSP90AB1, BSG, HSP90AA1, TNF, RAN, ANP32E, SLC3A2, GARS, PDIA6, CANX, YWHAE, SLC1A5, HSP90B1, CCT4, TFRC, CLIC4, HSPD1, HSPA5, HSPA8	214	346	6634	1.7023121387283238	0.9967175912482891	0.15912176602894634	30.54731126073057

Annotation Cluster 7	Enrichment Score: 3.3200290872663873
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	proteasome	17	5.841924398625429	9.853925033402376E-14	PSMA7, PSMA2, PSMA1, PSMB4, PSMD14, PSMB7, PSMC5, PSMB6, PSMA6, PSMC4, PSMC3, PSMC2, PSMB2, POMP, PSMD3, PSME3, PSMD7	269	51	10236	12.684014869888474	2.6224356020065898E-11	8.741452006688633E-12	1.2931877790833823E-10
GOTERM_CC_FAT	GO:0000502~proteasome complex	17	5.841924398625429	5.2188321079944214E-12	PSMA7, PSMA2, PSMA1, PSMB4, PSMD14, PSMB7, PSMC5, PSMB6, PSMA6, PSMC4, PSMC3, PSMC2, PSMB2, POMP, PSMD3, PSME3, PSMD7	214	54	6634	9.75925925925926	1.0228897728836728E-9	1.0228897728836728E-9	6.519618178657538E-9
KEGG_PATHWAY	mmu03050:Proteasome	17	5.841924398625429	9.055896331135563E-12	PSMA7, PSMA2, PSMA1, PSMB4, PSMD14, PSMB7, PSMC5, PSMB6, PSMA6, PSMC4, PSMC3, PSMC2, PSMB2, POMP, PSMD3, PSME3, PSMD7	144	42	3138	8.820436507936508	9.5086605256256E-10	9.5086605256256E-10	1.0143696993480944E-8
INTERPRO	IPR001353:Proteasome, subunit alpha/beta	8	2.7491408934707904	1.722561301855674E-7	PSMA2, PSMB4, PSMA1, PSMB7, PSMB6, PSMA6, PSMB2, PSMA7	272	17	9828	17.003460207612456	1.0214267705088709E-4	3.404871831902412E-5	2.5400036913758584E-4
SP_PIR_KEYWORDS	threonine protease	8	2.7491408934707904	1.9393455570556955E-7	PSMA2, PSMB4, PSMA1, PSMB7, PSMB6, PSMA6, PSMB2, PSMA7	269	18	10236	16.912019826517966	5.158526626547477E-5	4.689679624414467E-6	2.543968073642766E-4
GOTERM_CC_FAT	GO:0005839~proteasome core complex	8	2.7491408934707904	4.7166178138533914E-7	PSMA2, PSMB4, PSMA1, PSMB7, PSMB6, PSMA6, PSMB2, PSMA7	214	17	6634	14.588235294117647	9.244145798292802E-5	1.1555649602645879E-5	5.89221511504423E-4
GOTERM_MF_FAT	GO:0004298~threonine-type endopeptidase activity	8	2.7491408934707904	5.727914606727445E-7	PSMA2, PSMB4, PSMA1, PSMB7, PSMB6, PSMA6, PSMB2, PSMA7	224	18	7236	14.357142857142856	2.1305578479968723E-4	7.102363917110832E-5	7.904887878162903E-4
GOTERM_MF_FAT	GO:0070003~threonine-type peptidase activity	8	2.7491408934707904	5.727914606727445E-7	PSMA2, PSMB4, PSMA1, PSMB7, PSMB6, PSMA6, PSMB2, PSMA7	224	18	7236	14.357142857142856	2.1305578479968723E-4	7.102363917110832E-5	7.904887878162903E-4
INTERPRO	IPR001353:Proteasome, alpha and beta subunits	6	2.0618556701030926	1.649255937116442E-5	PSMA2, PSMB4, PSMB7, PSMB6, PSMB2, PSMA7	272	13	9828	16.676470588235297	0.009732498045264548	0.0024420554086093116	0.024316384695199922
INTERPRO	IPR000426:Proteasome, alpha-subunit, conserved site	4	1.3745704467353952	6.684275789715409E-4	PSMA2, PSMA1, PSMA6, PSMA7	272	7	9828	20.64705882352941	0.3273365093220282	0.05506987717189682	0.9811163106864473
INTERPRO	IPR016050:Proteasome, beta-type subunit, conserved site	4	1.3745704467353952	0.002902869027990842	PSMB4, PSMB7, PSMB6, PSMB2	272	11	9828	13.13903743315508	0.8216316849215969	0.15834952863398344	4.1960786972931485
GOTERM_BP_FAT	GO:0030163~protein catabolic process	23	7.903780068728522	0.019712958316961925	DDB1, SOCS1, NEDD8, CDC34, PSMA7, CISH, PSMA2, PSMA1, PSMB4, CBLB, PSMD14, HSP90B1, PSMB7, PSMC5, PSMB6, PSMA6, PSMC4, UBA1, PSMC3, PSMC2, PSMB2, CACYBP, RNF19B	235	443	7517	1.6607367561596467	0.999999999999834	0.3512750494118382	28.12331048505503
GOTERM_MF_FAT	GO:0004175~endopeptidase activity	12	4.123711340206185	0.022205421725771172	UQCRC2, PSMA2, PSMB4, PSMA1, PSMB7, LONP1, PSMD14, PSMB6, PSMA6, PSMB2, GZMB, PSMA7	224	179	7236	2.1656025538707104	0.9997644319217435	0.2579507508670036	26.64824611443356
PIR_SUPERFAMILY	PIRSF001212:multicatalytic endopeptidase complex chain C9	3	1.0309278350515463	0.03422328180215514	PSMA2, PSMB7, PSMA7	184	7	4206	9.796583850931677	0.9990217054932983	0.9007288152558476	35.345154377641876
SP_PIR_KEYWORDS	Protease	13	4.4673539518900345	0.04498860118661047	GZMB, PSMA7, PSMA2, PSMA1, PSMB4, PSMD14, LONP1, PSMB7, PSMB6, PSMC5, PSMA6, PSMB2, PSME3	269	264	10236	1.8737749239607977	0.999995188553074	0.25817851520474455	45.32879271166954
GOTERM_BP_FAT	GO:0009057~macromolecule catabolic process	24	8.24742268041237	0.05551114393805076	DDB1, SOCS1, NEDD8, CDC34, PSMA7, CISH, PSMA2, PSMB4, PSMA1, CBLB, PSMD14, HSP90B1, PSMB7, PSMC5, PSMB6, PSMA6, PSMC4, UBA1, PSMC3, EIF3E, PSMC2, PSMB2, CACYBP, RNF19B	235	521	7517	1.4735002246089761	1.0	0.4993712430788638	61.21864503670103
GOTERM_BP_FAT	GO:0051603~proteolysis involved in cellular protein catabolic process	20	6.872852233676976	0.07186036385816315	DDB1, SOCS1, NEDD8, CDC34, PSMA7, CISH, PSMA2, PSMA1, PSMB4, CBLB, PSMD14, HSP90B1, PSMB7, PSMC5, PSMB6, PSMA6, UBA1, PSMB2, CACYBP, RNF19B	235	426	7517	1.5017480771151732	1.0	0.5579963814608496	70.97011906213888
GOTERM_BP_FAT	GO:0044257~cellular protein catabolic process	20	6.872852233676976	0.07413374019308154	DDB1, SOCS1, NEDD8, CDC34, PSMA7, CISH, PSMA2, PSMA1, PSMB4, CBLB, PSMD14, HSP90B1, PSMB7, PSMC5, PSMB6, PSMA6, UBA1, PSMB2, CACYBP, RNF19B	235	428	7517	1.4947305627361305	1.0	0.5670295333514459	72.12720663819236
GOTERM_BP_FAT	GO:0044265~cellular macromolecule catabolic process	21	7.216494845360824	0.13010649966157734	DDB1, SOCS1, NEDD8, CDC34, PSMA7, CISH, PSMA2, PSMA1, PSMB4, CBLB, PSMD14, HSP90B1, PSMB7, PSMC5, PSMB6, PSMA6, UBA1, EIF3E, PSMB2, CACYBP, RNF19B	235	491	7517	1.3680894397018677	1.0	0.7307641042533823	90.09157634748239
GOTERM_MF_FAT	GO:0008233~peptidase activity	14	4.810996563573884	0.14969545734312983	UQCRC2, GZMB, PSMA7, PSMA2, PSMA1, PSMB4, PSMD14, LONP1, PSMB7, PSMB6, PSMC5, PSMA6, PSMB2, PSME3	224	306	7236	1.477941176470588	1.0	0.7382926857949479	89.33208465396211
GOTERM_BP_FAT	GO:0006511~ubiquitin-dependent protein catabolic process	6	2.0618556701030926	0.27566245399746436	PSMA2, PSMA1, HSP90B1, PSMC5, PSMA6, PSMA7	235	113	7517	1.6984372057992845	1.0	0.8966640584601817	99.52463433293418
GOTERM_BP_FAT	GO:0043632~modification-dependent macromolecule catabolic process	16	5.498281786941581	0.2841514298380854	DDB1, SOCS1, NEDD8, CDC34, PSMA7, CISH, PSMA2, PSMA1, PSMD14, HSP90B1, CBLB, PSMC5, PSMA6, UBA1, CACYBP, RNF19B	235	407	7517	1.2574834021642534	1.0	0.9016874834427295	99.60905837292255
GOTERM_BP_FAT	GO:0019941~modification-dependent protein catabolic process	16	5.498281786941581	0.2841514298380854	DDB1, SOCS1, NEDD8, CDC34, PSMA7, CISH, PSMA2, PSMA1, PSMD14, HSP90B1, CBLB, PSMC5, PSMA6, UBA1, CACYBP, RNF19B	235	407	7517	1.2574834021642534	1.0	0.9016874834427295	99.60905837292255
GOTERM_MF_FAT	GO:0070011~peptidase activity, acting on L-amino acid peptides	12	4.123711340206185	0.2925777064945996	UQCRC2, PSMA2, PSMB4, PSMA1, PSMB7, LONP1, PSMD14, PSMB6, PSMA6, PSMB2, GZMB, PSMA7	224	292	7236	1.3275440313111546	1.0	0.9159331361661117	99.15770726475441
GOTERM_BP_FAT	GO:0006508~proteolysis	23	7.903780068728522	0.3085217539617236	UQCRC2, DDB1, SOCS1, NEDD8, GZMB, CDC34, PSMA7, CISH, PSMA2, PSMB4, PSMA1, CBLB, PSMD14, HSP90B1, LONP1, PSMB7, PSMC5, PSMB6, PSMA6, UBA1, PSMB2, CACYBP, RNF19B	235	627	7517	1.1733754114493196	1.0	0.9161307078271507	99.7799001869086
SP_PIR_KEYWORDS	zymogen	4	1.3745704467353952	0.3993386144016522	PSMB4, PSMB7, PSMB6, GZMB	269	87	10236	1.7495192923984102	1.0	0.8837680678188642	99.87522262195955
SP_PIR_KEYWORDS	hydrolase	25	8.59106529209622	0.6532490691145191	ATP5B, HINT1, PSMA7, MTHFD2, PSMB4, PSMB7, LONP1, ACOT7, PSMB6, PSMB2, DHX15, DDX21, G3BP1, GZMB, ATP1A1, PPA1, DUSP5, PSMA2, PSMA1, DDX39, PSMD14, DUSP2, PSMA6, RUVBL2, ATP5A1	269	973	10236	0.9776989879153501	1.0	0.9766333807955633	99.99990750900723
SP_PIR_KEYWORDS	ubl conjugation pathway	10	3.436426116838488	0.6982251818676891	CBLB, PSMD14, UBA1, DDB1, SOCS1, CACYBP, NEDD8, CDC34, RNF19B, CISH	269	390	10236	0.9756934515298828	1.0	0.9822970131646976	99.99998504972865

Annotation Cluster 8	Enrichment Score: 3.083629743439362
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005730~nucleolus	28	9.621993127147768	1.4863002233605384E-7	GAR1, PPAN, DKC1, MAK16, EIF3L, DDX21, NSUN2, FTSJ3, GNL3, MARS, TRP53, GTPBP4, EMG1, TRIM28, PNO1, RRP9, NCL, NOP10, NOC2L, RSL1D1, PA2G4, NOLC1, RCC2, NOP58, NOP56, MYBBP1A, WDR43, NHP2	214	274	6634	3.167883211678832	2.9131062216025683E-5	5.826280333853795E-6	1.856757795515307E-4
GOTERM_CC_FAT	GO:0070013~intracellular organelle lumen	48	16.49484536082474	5.044470635146135E-4	EIF6, POLR2F, GAR1, PDIA6, CALR, PPAN, LONP1, MRPL12, MAK16, DKC1, PRPF8, EIF3L, DDX21, HSPA5, NSUN2, FTSJ3, GNL3, MARS, TRP53, MRPL52, SATB1, GTPBP4, EMG1, PNO1, TRIM28, HNRNPA2B1, RRP9, CDK4, NCL, NOP10, NOC2L, RSL1D1, TAF10, HSP90B1, PA2G4, PSMC5, HIF1A, C1QBP, RCC2, NOLC1, NOP58, RUVBL2, HSPD1, NOP56, NHP2, MYBBP1A, WDR43, MDH2	214	911	6634	1.633369923161361	0.09416360669669477	0.010928354723517053	0.628356626735227
GOTERM_CC_FAT	GO:0043233~organelle lumen	48	16.49484536082474	5.301376455223418E-4	EIF6, POLR2F, GAR1, PDIA6, CALR, PPAN, LONP1, MRPL12, MAK16, DKC1, PRPF8, EIF3L, DDX21, HSPA5, NSUN2, FTSJ3, GNL3, MARS, TRP53, MRPL52, SATB1, GTPBP4, EMG1, PNO1, TRIM28, HNRNPA2B1, RRP9, CDK4, NCL, NOP10, NOC2L, RSL1D1, TAF10, HSP90B1, PA2G4, PSMC5, HIF1A, C1QBP, RCC2, NOLC1, NOP58, RUVBL2, HSPD1, NOP56, NHP2, MYBBP1A, WDR43, MDH2	214	913	6634	1.6297918948521357	0.09871569811288006	0.010339627780963756	0.6602602853298722
GOTERM_CC_FAT	GO:0031974~membrane-enclosed lumen	49	16.83848797250859	6.342011685243466E-4	EIF6, GAR1, PDIA6, LONP1, DKC1, MAK16, DDX21, FTSJ3, GNL3, SATB1, MRPL52, GTPBP4, EMG1, HNRNPA2B1, RRP9, CDK4, NCL, NOC2L, RSL1D1, TAF10, PA2G4, HIF1A, C1QBP, RCC2, RUVBL2, WDR43, MYBBP1A, NHP2, MDH2, POLR2F, CALR, PPAN, MRPL12, PRPF8, CACYBP, EIF3L, HSPA5, NSUN2, MARS, TRP53, PNO1, TRIM28, NOP10, HSP90B1, PSMC5, NOLC1, NOP58, NOP56, HSPD1	214	946	6634	1.605708245243129	0.11692298492761288	0.010308405605183424	0.7893944344412929
