"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"gene_assignment"
"7002250"	"0.292"	"0.00014765"	"7.4264959"	"0.40183"	"3.31075833"	"ENSMUST00000111539 // Trav9-1 // T-cell receptor alpha chain variable region 9-1 // 14 C1 // 627324 /// ENSMUST00000111539 // Trav9d-1 // T cell receptor alpha variable 9D-1 // 14 C2 // 671927 /// ENSMUST00000103581 // Trav9-1 // T-cell receptor alpha chain variable region 9-1 // 14 C1 // 627324 /// ENSMUST00000103581 // Trav9d-1 // T cell receptor alpha variable 9D-1 // 14 C2 // 671927"
"6973072"	"0.292"	"0.00014998"	"-7.4080566"	"0.39389"	"-2.49281667"	"---"
"6982156"	"0.292"	"0.00015109"	"7.3993606"	"0.39013"	"2.286185"	"---"
"6949540"	"0.298"	"0.0001568"	"7.3557481"	"0.37117"	"1.69771417"	"---"
"6964168"	"0.298"	"0.00016056"	"-7.3280516"	"0.35903"	"-1.782585"	"---"
"6801488"	"0.298"	"0.00016379"	"7.304789"	"0.34877"	"1.1442275"	"NM_145443 // L2hgdh // L-2-hydroxyglutarate dehydrogenase // 12 C2 // 217666 /// BC016226 // L2hgdh // L-2-hydroxyglutarate dehydrogenase // 12 C2 // 217666 /// ENSMUST00000021370 // L2hgdh // L-2-hydroxyglutarate dehydrogenase // 12 C2 // 217666"
"6788920"	"0.298"	"0.0001669"	"-7.2828592"	"0.33904"	"-1.9611525"	"---"
"6763858"	"0.298"	"0.00016746"	"-7.2789402"	"0.3373"	"-1.11080583"	"NM_025650 // Uqcr // ubiquinol-cytochrome c reductase (6.4kD) subunit // 10 C1 // 66594 /// BC034408 // Uqcr // ubiquinol-cytochrome c reductase (6.4kD) subunit // 10 C1 // 66594 /// ENSMUST00000020372 // Uqcr // ubiquinol-cytochrome c reductase (6.4kD) subunit // 10 C1 // 66594"
"6883974"	"0.307"	"0.00017554"	"7.2243551"	"0.31285"	"0.96412583"	"---"
"6920605"	"0.307"	"0.00017748"	"7.2116225"	"0.3071"	"1.0982175"	"---"
"6780923"	"0.308"	"0.00018089"	"7.1896966"	"0.29716"	"2.56975"	"---"
"6848807"	"0.308"	"0.00018343"	"7.1736828"	"0.28986"	"1.28352833"	"---"
"6819127"	"0.308"	"0.00018604"	"-7.15744"	"0.28244"	"-3.49508083"	"---"
"6844653"	"0.308"	"0.00018902"	"7.1392119"	"0.27407"	"1.05033417"	"NM_009744 // Bcl6 // B-cell leukemia/lymphoma 6 // 16 B1|16 13.9 cM // 12053 /// BC052315 // Bcl6 // B-cell leukemia/lymphoma 6 // 16 B1|16 13.9 cM // 12053 /// ENSMUST00000023151 // Bcl6 // B-cell leukemia/lymphoma 6 // 16 B1|16 13.9 cM // 12053"
"6867979"	"0.312"	"0.00019392"	"-7.1099463"	"0.26056"	"-1.16686583"	"---"
"6969758"	"0.319"	"0.00020098"	"-7.0692418"	"0.24161"	"-1.1192275"	"---"
"7001514"	"0.334"	"0.00021341"	"7.0013372"	"0.20959"	"2.23537417"	""
"7003826"	"0.341"	"0.00022195"	"6.957157"	"0.18848"	"5.4792"	"ENSMUST00000103599 // Trav3d-3 // T-cell receptor alpha variable region 3D-3 // 14 C2 // 100043202 /// ENSMUST00000103599 // Trav3n-3 // T cell receptor alpha variable 3N-3 // 14 C2 // 100043282 /// ENSMUST00000103599 // A430107P09Rik // RIKEN cDNA A430107P09 gene // 14 C2 // 320898 /// ENSMUST00000103625 // Trav3d-3 // T-cell receptor alpha variable region 3D-3 // 14 C2 // 100043202 /// ENSMUST00000103625 // Trav3n-3 // T cell receptor alpha variable 3N-3 // 14 C2 // 100043282 /// ENSMUST00000103625 // A430107P09Rik // RIKEN cDNA A430107P09 gene // 14 C2 // 320898 /// ENSMUST00000103661 // Trav3d-3 // T-cell receptor alpha variable region 3D-3 // 14 C2 // 100043202 /// ENSMUST00000103661 // A430107P09Rik // RIKEN cDNA A430107P09 gene // 14 C2 // 320898 /// ENSMUST00000103661 // LOC630442 // similar to T-cell receptor alpha chain V region CTL-L17 precursor // --- // 630442 /// ENSMUST00000103661 // LOC634003 // similar to T-cell receptor alpha chain V region CTL-L17 precursor // --- // 634003"
"6898029"	"0.341"	"0.00022401"	"6.9467888"	"0.18349"	"1.17089333"	"---"
"6828197"	"0.341"	"0.00022679"	"6.9329951"	"0.17684"	"1.17724333"	"ENSMUST00000103587 // Trav12d-1 // T cell receptor alpha variable 12d-1 // 14 C2 // 100043177 /// ENSMUST00000103587 // EG667677 // predicted gene, EG667677 // 14 C2 // 100043197 /// ENSMUST00000103587 // Trav12n-1 // T cell receptor alpha variable 12N-1 // 14 C2 // 100043218 /// ENSMUST00000103587 // OTTMUSG00000015204 // predicted gene, OTTMUSG00000015204 // 14 C1|14 // 236118 /// ENSMUST00000103587 // Trav12-1 // T cell receptor alpha variable 12-1 // 14 C2 // 630086 /// ENSMUST00000110632 // Trav12d-1 // T cell receptor alpha variable 12d-1 // 14 C2 // 100043177 /// ENSMUST00000110632 // EG667677 // predicted gene, EG667677 // 14 C2 // 100043197 /// ENSMUST00000110632 // Trav12n-1 // T cell receptor alpha variable 12N-1 // 14 C2 // 100043218 /// ENSMUST00000110632 // OTTMUSG00000015204 // predicted gene, OTTMUSG00000015204 // 14 C1|14 // 236118 /// ENSMUST00000110632 // Trav12-1 // T cell receptor alpha variable 12-1 // 14 C2 // 630086"
"6831555"	"0.354"	"0.00023849"	"-6.8768812"	"0.14955"	"-3.56455417"	"---"
"6915698"	"0.358"	"0.00024968"	"6.8260311"	"0.12449"	"2.66985167"	"---"
"6808431"	"0.358"	"0.00025144"	"-6.8182774"	"0.12065"	"-0.90385"	"---"
"7015009"	"0.358"	"0.00025357"	"-6.8089393"	"0.116"	"-0.68965083"	"---"
"7008648"	"0.358"	"0.00025379"	"6.8080205"	"0.11555"	"1.33582917"	""
"6915571"	"0.365"	"0.00026123"	"-6.7761659"	"0.09963"	"-0.72099417"	"---"
"6769095"	"0.365"	"0.00026471"	"6.7616219"	"0.09232"	"3.37034167"	"---"
"7016938"	"0.368"	"0.0002704"	"-6.7383336"	"0.08056"	"-0.825355"	"---"
"6990549"	"0.368"	"0.00027766"	"6.7093697"	"0.06585"	"2.20454417"	"---"
"7001924"	"0.368"	"0.00027921"	"-6.7032929"	"0.06275"	"-1.00702833"	""
"6750273"	"0.368"	"0.00027922"	"6.7032424"	"0.06273"	"1.28581917"	"---"
"6757925"	"0.376"	"0.00029125"	"-6.6573927"	"0.0392"	"-1.326205"	"---"
"6759549"	"0.376"	"0.00029264"	"6.652203"	"0.03652"	"1.3797725"	"NM_011770 // Ikzf2 // IKAROS family zinc finger 2 // 1 C3 // 22779 /// BC138606 // Ikzf2 // IKAROS family zinc finger 2 // 1 C3 // 22779 /// ENSMUST00000027146 // Ikzf2 // IKAROS family zinc finger 2 // 1 C3 // 22779"
"7003847"	"0.376"	"0.00029598"	"6.6399211"	"0.03016"	"0.6810725"	""
"6778772"	"0.376"	"0.00029875"	"6.6298572"	"0.02494"	"1.49783"	"---"
"6840736"	"0.376"	"0.00030715"	"6.5999004"	"0.00932"	"1.6536075"	"---"
"6980032"	"0.376"	"0.00030774"	"-6.5978385"	"0.00824"	"-1.04520583"	"NM_010578 // Itgb1 // integrin beta 1 (fibronectin receptor beta) // 8 E2 // 16412 /// BC050906 // Itgb1 // integrin beta 1 (fibronectin receptor beta) // 8 E2 // 16412 /// ENSMUST00000090006 // Itgb1 // integrin beta 1 (fibronectin receptor beta) // 8 E2 // 16412 /// ENSMUST00000004192 // Itgb1 // integrin beta 1 (fibronectin receptor beta) // 8 E2 // 16412"
"6855129"	"0.376"	"0.0003085"	"6.5951801"	"0.00685"	"1.32545417"	"---"
"6778279"	"0.381"	"0.00031614"	"6.5688916"	"-0.00697"	"2.15900583"	"---"
"6828215"	"0.381"	"0.00031912"	"6.5587983"	"-0.01229"	"2.416875"	"ENSMUST00000103576 // Trav7d-3 // T cell receptor alpha chain V region 7D-3 // 14 C2 // 100042419 /// ENSMUST00000103576 // LOC100045872 // similar to T cell receptor alpha // --- // 100045872 /// ENSMUST00000103576 // Trav7-3 // T cell receptor alpha chain variable region 7-3 // 14 C1 // 547420 /// ENSMUST00000103639 // Trav7d-3 // T cell receptor alpha chain V region 7D-3 // 14 C2 // 100042419 /// ENSMUST00000103639 // LOC100045872 // similar to T cell receptor alpha // --- // 100045872 /// ENSMUST00000103639 // Trav7-3 // T cell receptor alpha chain variable region 7-3 // 14 C1 // 547420"
"6869455"	"0.382"	"0.00033087"	"-6.5200976"	"-0.03284"	"-0.73441667"	"---"
"7007299"	"0.382"	"0.00033102"	"6.5196235"	"-0.03309"	"1.41018417"	"---"
"6880701"	"0.382"	"0.00033315"	"-6.5127959"	"-0.03674"	"-0.95011667"	"ENSMUST00000099458 // Spata5l1 // spermatogenesis associated 5-like 1 // 2 E5 // 214616"
"6820564"	"0.382"	"0.00033681"	"-6.5011376"	"-0.04297"	"-0.79799167"	"NM_001024135 // Kbtbd7 // kelch repeat and BTB (POZ) domain containing 7 // 14 D3 // 211255 /// BC096019 // Kbtbd7 // kelch repeat and BTB (POZ) domain containing 7 // 14 D3 // 211255 /// ENSMUST00000061222 // Kbtbd7 // kelch repeat and BTB (POZ) domain containing 7 // 14 D3 // 211255"
"6869887"	"0.382"	"0.00033893"	"-6.494449"	"-0.04656"	"-0.969065"	"AK033787 // Entpd7 // ectonucleoside triphosphate diphosphohydrolase 7 // 19 D1 // 93685"
"6759812"	"0.382"	"0.00033925"	"-6.4934499"	"-0.0471"	"-0.7233525"	"---"
"7007328"	"0.385"	"0.0003454"	"6.4743364"	"-0.05738"	"0.88506417"	"AK029783 // 4921525B02Rik // RIKEN cDNA 4921525B02 gene // --- // 70898"
"6841172"	"0.394"	"0.00035977"	"6.4311662"	"-0.08078"	"2.1871425"	"---"
"7018564"	"0.394"	"0.00036024"	"-6.4297848"	"-0.08153"	"-1.32560167"	"NM_009910 // Cxcr3 // chemokine (C-X-C motif) receptor 3 // X D|X 41.0 cM // 12766 /// AB003174 // Cxcr3 // chemokine (C-X-C motif) receptor 3 // X D|X 41.0 cM // 12766 /// ENSMUST00000056614 // Cxcr3 // chemokine (C-X-C motif) receptor 3 // X D|X 41.0 cM // 12766"
"6865585"	"0.397"	"0.00037095"	"6.3988769"	"-0.09844"	"1.76725083"	"---"
"6778206"	"0.397"	"0.00037271"	"6.3938809"	"-0.10119"	"0.89752833"	"AK164563 // LOC628110 // similar to gonadotropin inducible ovarian transcription factor 1 // 2 H4 // 628110"
"6774143"	"0.397"	"0.00037604"	"-6.3845401"	"-0.10633"	"-2.94635667"	"---"
"6955368"	"0.397"	"0.00037711"	"-6.381538"	"-0.10798"	"-0.70563167"	"---"
"6755178"	"0.406"	"0.00038862"	"-6.3500118"	"-0.12543"	"-1.037475"	"XM_129558 // EG226654 // predicted gene, EG226654 // 1 H3 // 226654"
"6839062"	"0.417"	"0.00040276"	"6.3126879"	"-0.14626"	"1.52905667"	"---"
"6972368"	"0.425"	"0.0004229"	"6.2619621"	"-0.17487"	"1.71166917"	"---"
"6917171"	"0.425"	"0.00043203"	"6.2398631"	"-0.18745"	"1.62104417"	"---"
"6940045"	"0.425"	"0.00043226"	"-6.2393268"	"-0.18775"	"-0.73001667"	"---"
"6907113"	"0.425"	"0.00043271"	"6.2382511"	"-0.18837"	"1.1966425"	"---"
"6799063"	"0.425"	"0.00043305"	"-6.2374316"	"-0.18883"	"-1.14118417"	"---"
"6892977"	"0.425"	"0.00043322"	"-6.2370272"	"-0.18906"	"-0.89465083"	"---"
"6955502"	"0.426"	"0.00044349"	"6.2128504"	"-0.20291"	"2.3383025"	"---"
"6855133"	"0.426"	"0.00044796"	"6.2025297"	"-0.20884"	"1.01726333"	"---"
"6748190"	"0.426"	"0.00045145"	"-6.1945576"	"-0.21343"	"-1.25097417"	"---"
"6796936"	"0.426"	"0.00045513"	"6.1862067"	"-0.21825"	"1.2415725"	"---"
"6988711"	"0.426"	"0.00045542"	"-6.1855554"	"-0.21863"	"-0.94441667"	"NM_001005421 // Amica1 // adhesion molecule, interacts with CXADR antigen 1 // 9 A5.2 // 270152 /// AY093688 // Amica1 // adhesion molecule, interacts with CXADR antigen 1 // 9 A5.2 // 270152 /// ENSMUST00000050020 // Amica1 // adhesion molecule, interacts with CXADR antigen 1 // 9 A5.2 // 270152"
"6842434"	"0.426"	"0.00045628"	"-6.1836082"	"-0.21976"	"-0.90803833"	"---"
"6947462"	"0.427"	"0.00046367"	"6.1671446"	"-0.2293"	"1.4401375"	"---"
"6911450"	"0.427"	"0.00046455"	"6.1651965"	"-0.23043"	"1.18367083"	"---"
"6874191"	"0.428"	"0.00047106"	"6.1509488"	"-0.23872"	"0.76674"	"AK049498 // 2700078E11Rik // RIKEN cDNA 2700078E11 gene // 19 D3 // 78832"
"6873349"	"0.428"	"0.00047331"	"-6.1460836"	"-0.24155"	"-1.18394833"	"AK153208 // Rpl6 // ribosomal protein L6 // 5 F // 19988 /// XM_001480227 // EG627889 // predicted gene, EG627889 // 19 C3 // 627889"
"6758331"	"0.428"	"0.00047807"	"6.1358614"	"-0.24753"	"1.080565"	"BC147328 // A530098C11Rik // RIKEN cDNA A530098C11 gene // 1 C1.1 // 433294 /// NM_001013799 // A530098C11Rik // RIKEN cDNA A530098C11 gene // 1 C1.1 // 433294 /// ENSMUST00000061421 // A530098C11Rik // RIKEN cDNA A530098C11 gene // 1 C1.1 // 433294"
"6774134"	"0.428"	"0.00047996"	"6.1318318"	"-0.24988"	"0.8415175"	"AK043905 // Sgip1 // SH3-domain GRB2-like (endophilin) interacting protein 1 // 4 C6 // 73094 /// AK042254 // A630075K04Rik // RIKEN cDNA A630075K04 gene // 16 A1 // 319299 /// AK080354 // AU022855 // expressed sequence AU022855 // --- // 107295"
"6864627"	"0.431"	"0.00049033"	"6.1100383"	"-0.26268"	"2.1444075"	"---"
"6927097"	"0.431"	"0.00049109"	"6.1084543"	"-0.26361"	"1.85940083"	"---"
"7008531"	"0.433"	"0.00050255"	"-6.0850281"	"-0.27744"	"-1.39088"	"---"
"6887508"	"0.433"	"0.00050473"	"6.0806225"	"-0.28005"	"1.87673833"	"---"
"6768068"	"0.433"	"0.00050808"	"6.0739191"	"-0.28403"	"1.027825"	"---"
"6911002"	"0.433"	"0.00050912"	"-6.0718523"	"-0.28526"	"-2.10051333"	""
