"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"A_23_P112159"	"0.979"	"0.003434"	"5.16"	"-3.88"	"5.53e-01"	"AGO2"	"argonaute RISC catalytic component 2"
"A_23_P313938"	"0.979"	"0.004006"	"4.99"	"-3.89"	"7.00e-01"	"PPIF"	"peptidylprolyl isomerase F"
"A_23_P216325"	"0.979"	"0.004028"	"-4.98"	"-3.9"	"-6.16e-01"	"ASAH1"	"N-acylsphingosine amidohydrolase (acid ceramidase) 1"
"A_23_P256231"	"0.979"	"0.004377"	"4.88"	"-3.9"	"5.24e-01"	"FBXO30"	"F-box protein 30"
"A_23_P218569"	"0.979"	"0.004509"	"4.85"	"-3.9"	"5.83e-01"	""	""
"A_23_P108842"	"0.979"	"0.004802"	"4.78"	"-3.91"	"9.77e-01"	"DUSP2"	"dual specificity phosphatase 2"
"A_23_P30035"	"0.979"	"0.004841"	"4.77"	"-3.91"	"4.69e-01"	"LRP2BP"	"LRP2 binding protein"
"A_23_P86195"	"0.979"	"0.004971"	"-4.74"	"-3.91"	"-7.76e-01"	"SLC44A3"	"solute carrier family 44, member 3"
"A_23_P253921"	"0.979"	"0.005083"	"4.72"	"-3.91"	"6.44e-01"	"ZKSCAN7"	"zinc finger with KRAB and SCAN domains 7"
"A_23_P208937"	"0.979"	"0.005233"	"-4.68"	"-3.92"	"-6.11e-01"	"TLE6"	"transducin-like enhancer of split 6"
"A_24_P201171"	"0.979"	"0.005482"	"-4.63"	"-3.92"	"-7.64e-01"	"STXBP1"	"syntaxin binding protein 1"
"A_23_P393099"	"0.979"	"0.005719"	"-4.59"	"-3.93"	"-5.78e-01"	"TFF3"	"trefoil factor 3 (intestinal)"
"A_23_P206498"	"0.979"	"0.005822"	"-4.57"	"-3.93"	"-4.98e-01"	"C16orf13"	"chromosome 16 open reading frame 13"
"A_23_P316460"	"0.979"	"0.005849"	"4.56"	"-3.93"	"5.82e-01"	"ZBED6CL"	"ZBED6 C-terminal like"
"A_24_P294842"	"0.979"	"0.005851"	"4.56"	"-3.93"	"7.57e-01"	"ATXN1"	"ataxin 1"
"A_24_P32207"	"0.979"	"0.005915"	"-4.55"	"-3.93"	"-4.74e-01"	""	""
"A_32_P115518"	"0.979"	"0.006005"	"4.53"	"-3.93"	"5.88e-01"	""	""
"A_23_P143713"	"0.979"	"0.006164"	"4.51"	"-3.93"	"5.40e-01"	"APOBEC3G"	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G"
"A_23_P63660"	"0.979"	"0.006215"	"-4.50"	"-3.93"	"-8.80e-01"	"FAM213A"	"family with sequence similarity 213, member A"
"A_24_P615822"	"0.979"	"0.006218"	"4.50"	"-3.93"	"1.16"	"BMS1"	"BMS1 ribosome biogenesis factor"
"A_23_P104734"	"0.979"	"0.006283"	"-4.49"	"-3.93"	"-4.74e-01"	"STT3A"	"STT3A, subunit of the oligosaccharyltransferase complex (catalytic)"
"A_23_P74359"	"0.979"	"0.006422"	"-4.46"	"-3.94"	"-5.16e-01"	"CSRP1"	"cysteine and glycine-rich protein 1"
"A_23_P165090"	"0.979"	"0.006452"	"-4.46"	"-3.94"	"-5.06e-01"	"NDUFS7"	"NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)"
"A_23_P12733"	"0.979"	"0.006571"	"-4.44"	"-3.94"	"-9.77e-01"	"H2AFY2"	"H2A histone family, member Y2"
"A_32_P17765"	"0.979"	"0.006809"	"4.40"	"-3.94"	"6.50e-01"	"LGR4"	"leucine-rich repeat containing G protein-coupled receptor 4"
"A_24_P18105"	"0.979"	"0.006817"	"-4.40"	"-3.94"	"-7.97e-01"	"ASPH"	"aspartate beta-hydroxylase"
"A_23_P131676"	"0.979"	"0.007004"	"-4.37"	"-3.94"	"-1.02"	"ACKR3"	"atypical chemokine receptor 3"
"A_23_P378288"	"0.979"	"0.007119"	"4.35"	"-3.95"	"5.48e-01"	"IKZF4"	"IKAROS family zinc finger 4 (Eos)"
"A_23_P59543"	"0.979"	"0.007268"	"-4.33"	"-3.95"	"-6.38e-01"	"TARP"	"TCR gamma alternate reading frame protein"
"A_24_P411561"	"0.979"	"0.007316"	"-4.32"	"-3.95"	"-7.72e-01"	"HAVCR2"	"hepatitis A virus cellular receptor 2"
"A_23_P321501"	"0.979"	"0.007325"	"-4.32"	"-3.95"	"-9.06e-01"	"DHRS2"	"dehydrogenase/reductase (SDR family) member 2"
"A_23_P154306"	"0.979"	"0.007392"	"4.31"	"-3.95"	"4.53e-01"	"TANK"	"TRAF family member-associated NFKB activator"
"A_23_P358628"	"0.979"	"0.007434"	"-4.31"	"-3.95"	"-7.22e-01"	"DPY19L1"	"dpy-19-like 1 (C. elegans)"
"A_23_P26124"	"0.979"	"0.0076"	"4.28"	"-3.95"	"8.21e-01"	"RORA"	"RAR-related orphan receptor A"
"A_32_P96134"	"0.979"	"0.007615"	"-4.28"	"-3.95"	"-8.18e-01"	"DPY19L1"	"dpy-19-like 1 (C. elegans)"
"A_23_P156218"	"0.979"	"0.007711"	"4.27"	"-3.95"	"6.48e-01"	"GZMK"	"granzyme K (granzyme 3; tryptase II)"
"A_23_P109034"	"0.979"	"0.007894"	"4.24"	"-3.96"	"1.20"	"SDC4"	"syndecan 4"
"A_32_P163858"	"0.979"	"0.007983"	"-4.23"	"-3.96"	"-4.64e-01"	"SCD"	"stearoyl-CoA desaturase (delta-9-desaturase)"
"A_23_P374322"	"0.979"	"0.007993"	"4.23"	"-3.96"	"4.92e-01"	"LACC1"	"laccase (multicopper oxidoreductase) domain containing 1"
"A_23_P169137"	"0.979"	"0.008221"	"4.20"	"-3.96"	"9.86e-01"	"NINJ1"	"ninjurin 1"
"A_23_P161076"	"0.979"	"0.008291"	"4.19"	"-3.96"	"5.08e-01"	"CD2"	"CD2 molecule"
"A_32_P177685"	"0.979"	"0.008554"	"4.16"	"-3.96"	"7.74e-01"	""	""
"A_24_P621701"	"0.979"	"0.008591"	"4.16"	"-3.96"	"1.27"	""	""
"A_24_P382661"	"0.979"	"0.008874"	"4.12"	"-3.97"	"4.62e-01"	"ETS2"	"v-ets avian erythroblastosis virus E26 oncogene homolog 2"
"A_24_P927432"	"0.979"	"0.008921"	"-4.12"	"-3.97"	"-7.35e-01"	"TRGV5"	"T cell receptor gamma variable 5"
"A_23_P102000"	"0.979"	"0.009053"	"4.10"	"-3.97"	"6.15e-01"	"CXCR4"	"chemokine (C-X-C motif) receptor 4"
"A_32_P235796"	"0.979"	"0.009168"	"4.09"	"-3.97"	"7.49e-01"	"BBS12"	"Bardet-Biedl syndrome 12"
"A_23_P316812"	"0.979"	"0.009255"	"-4.08"	"-3.97"	"-4.85e-01"	"AKR7A2P1"	"aldo-keto reductase family 7, member A2 pseudogene 1"
"A_32_P15829"	"0.979"	"0.009404"	"4.07"	"-3.97"	"4.91e-01"	""	""
"A_23_P39050"	"0.979"	"0.009459"	"-4.06"	"-3.97"	"-8.33e-01"	"ZNF823"	"zinc finger protein 823"
"A_23_P159986"	"0.979"	"0.009723"	"4.03"	"-3.98"	"4.31e-01"	"MIR503HG"	"MIR503 host gene (non-protein coding)"
"A_24_P32646"	"0.979"	"0.009947"	"-4.01"	"-3.98"	"-5.13e-01"	""	""
"A_23_P390116"	"0.979"	"0.009948"	"4.01"	"-3.98"	"6.25e-01"	"SPATA13"	"spermatogenesis associated 13"
"A_23_P1833"	"0.979"	"0.009953"	"4.01"	"-3.98"	"2.62"	"B3GAT1"	"beta-1,3-glucuronyltransferase 1"
"A_24_P170667"	"0.979"	"0.010027"	"4.00"	"-3.98"	"4.47e-01"	"ARID5B"	"AT rich interactive domain 5B (MRF1-like)"
"A_24_P126931"	"0.979"	"0.010068"	"-4.00"	"-3.98"	"-4.52e-01"	""	""
"A_23_P128541"	"0.979"	"0.010244"	"3.98"	"-3.98"	"6.54e-01"	"TRAFD1"	"TRAF-type zinc finger domain containing 1"
"A_24_P735072"	"0.979"	"0.010324"	"3.97"	"-3.98"	"6.28e-01"	"IKZF3"	"IKAROS family zinc finger 3 (Aiolos)"
"A_23_P359131"	"0.979"	"0.010372"	"3.97"	"-3.98"	"7.38e-01"	"NIPA1"	"non imprinted in Prader-Willi/Angelman syndrome 1"
"A_23_P155632"	"0.979"	"0.010557"	"3.95"	"-3.99"	"4.40e-01"	"CD80"	"CD80 molecule"
"A_23_P106002"	"0.979"	"0.010722"	"3.94"	"-3.99"	"1.01"	"NFKBIA"	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha"
"A_23_P76078"	"0.979"	"0.010737"	"3.93"	"-3.99"	"5.84e-01"	"IL23A"	"interleukin 23, alpha subunit p19"
"A_24_P322088"	"0.979"	"0.010816"	"-3.93"	"-3.99"	"-4.99e-01"	"FAM195A"	"family with sequence similarity 195, member A"
"A_23_P52939"	"0.979"	"0.010846"	"-3.92"	"-3.99"	"-9.21e-01"	"SLC43A1"	"solute carrier family 43 (amino acid system L transporter), member 1"
"A_23_P47867"	"0.979"	"0.010884"	"-3.92"	"-3.99"	"-7.72e-01"	"PPFIBP1"	"PTPRF interacting protein, binding protein 1 (liprin beta 1)"
"A_23_P19702"	"0.979"	"0.010982"	"3.91"	"-3.99"	"5.43e-01"	"TAB2"	"TGF-beta activated kinase 1/MAP3K7 binding protein 2"
"A_23_P300124"	"0.979"	"0.010998"	"-3.91"	"-3.99"	"-4.12e-01"	"SMCR8"	"Smith-Magenis syndrome chromosome region, candidate 8"
"A_32_P74814"	"0.979"	"0.011079"	"3.90"	"-3.99"	"6.52e-01"	""	""
"A_23_P41854"	"0.979"	"0.011086"	"3.90"	"-3.99"	"5.84e-01"	"CARD6"	"caspase recruitment domain family, member 6"
"A_23_P202156"	"0.979"	"0.011133"	"3.90"	"-3.99"	"4.76e-01"	"NFKB2"	"nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)"
"A_23_P94533"	"0.979"	"0.011215"	"3.89"	"-3.99"	"1.78"	"CTSL"	"cathepsin L"
"A_23_P20427"	"0.979"	"0.011293"	"-3.88"	"-3.99"	"-6.10e-01"	"RHOBTB2"	"Rho-related BTB domain containing 2"
"A_23_P116512"	"0.979"	"0.011447"	"3.87"	"-4"	"4.44e-01"	"PRR5L"	"proline rich 5 like"
"A_23_P162037"	"0.979"	"0.011622"	"3.86"	"-4"	"4.96e-01"	"ARNTL"	"aryl hydrocarbon receptor nuclear translocator-like"
"A_24_P382319"	"0.979"	"0.011727"	"3.85"	"-4"	"8.49e-01"	"CEACAM1"	"carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)"
"A_24_P360763"	"0.979"	"0.011806"	"3.84"	"-4"	"4.63e-01"	"CREM"	"cAMP responsive element modulator"
"A_32_P56759"	"0.979"	"0.012001"	"3.83"	"-4"	"5.92e-01"	"PARP14"	"poly (ADP-ribose) polymerase family, member 14"
"A_23_P156180"	"0.979"	"0.012028"	"3.82"	"-4"	"7.86e-01"	"SLC22A4"	"solute carrier family 22 (organic cation/zwitterion transporter), member 4"
"A_24_P455972"	"0.979"	"0.01216"	"3.81"	"-4"	"5.40e-01"	"LINC-PINT"	"long intergenic non-protein coding RNA, p53 induced transcript"
"A_23_P152548"	"0.979"	"0.012204"	"-3.81"	"-4"	"-6.93e-01"	"SCPEP1"	"serine carboxypeptidase 1"
"A_32_P83795"	"0.979"	"0.012217"	"-3.81"	"-4"	"-4.17e-01"	""	""
"A_23_P503072"	"0.979"	"0.012262"	"-3.80"	"-4"	"-4.45e-01"	"CCL28"	"chemokine (C-C motif) ligand 28"
"A_24_P911489"	"0.979"	"0.012271"	"3.80"	"-4"	"5.34e-01"	"DDHD1"	"DDHD domain containing 1"
"A_23_P417415"	"0.979"	"0.012487"	"-3.79"	"-4.01"	"-6.05e-01"	"ACOT11"	"acyl-CoA thioesterase 11"
"A_23_P24244"	"0.979"	"0.012699"	"3.77"	"-4.01"	"5.34e-01"	"FAM208B"	"family with sequence similarity 208, member B"
"A_24_P927325"	"0.979"	"0.012798"	"3.76"	"-4.01"	"5.60e-01"	"C2CD3"	"C2 calcium-dependent domain containing 3"
"A_32_P125402"	"0.979"	"0.012799"	"3.76"	"-4.01"	"7.83e-01"	""	""
"A_23_P68462"	"0.979"	"0.012951"	"3.75"	"-4.01"	"5.92e-01"	"ZNFX1"	"zinc finger, NFX1-type containing 1"
"A_23_P50674"	"0.979"	"0.012968"	"3.75"	"-4.01"	"5.02e-01"	"IZUMO4"	"IZUMO family member 4"
"A_23_P98580"	"0.979"	"0.012983"	"-3.75"	"-4.01"	"-4.57e-01"	"FADS2"	"fatty acid desaturase 2"
"A_23_P19673"	"0.979"	"0.013055"	"3.74"	"-4.01"	"7.66e-01"	"SGK1"	"serum/glucocorticoid regulated kinase 1"
"A_32_P82111"	"0.979"	"0.013151"	"3.74"	"-4.01"	"1.78"	"LRFN2"	"leucine rich repeat and fibronectin type III domain containing 2"
"A_32_P47643"	"0.979"	"0.013153"	"3.74"	"-4.01"	"6.06e-01"	"FAM110C"	"family with sequence similarity 110, member C"
"A_24_P185604"	"0.979"	"0.013353"	"-3.72"	"-4.01"	"-6.19e-01"	"NDRG3"	"NDRG family member 3"
"A_32_P105539"	"0.979"	"0.013353"	"3.72"	"-4.01"	"7.26e-01"	""	""
"A_23_P339588"	"0.979"	"0.013723"	"3.70"	"-4.02"	"3.98e-01"	"TAGAP"	"T-cell activation RhoGTPase activating protein"
"A_32_P219126"	"0.979"	"0.013736"	"3.70"	"-4.02"	"4.76e-01"	""	""
"A_32_P223017"	"0.979"	"0.013791"	"3.69"	"-4.02"	"6.43e-01"	"MAP3K6"	"mitogen-activated protein kinase kinase kinase 6"
"A_24_P208794"	"0.979"	"0.013839"	"-3.69"	"-4.02"	"-5.70e-01"	"APEH"	"acylaminoacyl-peptide hydrolase"
"A_23_P145874"	"0.979"	"0.013977"	"3.68"	"-4.02"	"5.53e-01"	"SAMD9L"	"sterile alpha motif domain containing 9-like"
"A_24_P50472"	"0.979"	"0.014099"	"-3.67"	"-4.02"	"-4.09e-01"	""	""
"A_24_P922631"	"0.979"	"0.014242"	"-3.66"	"-4.02"	"-7.32e-01"	"C5orf58"	"chromosome 5 open reading frame 58"
"A_23_P150249"	"0.979"	"0.01429"	"-3.66"	"-4.02"	"-4.09e-01"	"CCDC85B"	"coiled-coil domain containing 85B"
"A_24_P36898"	"0.979"	"0.01429"	"3.66"	"-4.02"	"6.26e-01"	""	""
"A_23_P320304"	"0.979"	"0.014356"	"-3.65"	"-4.02"	"-4.40e-01"	"AKR7L"	"aldo-keto reductase family 7-like"
"A_24_P55437"	"0.979"	"0.014413"	"-3.65"	"-4.02"	"-4.17e-01"	"TES"	"testis derived transcript (3 LIM domains)"
"A_24_P152356"	"0.979"	"0.014432"	"-3.65"	"-4.02"	"-4.03e-01"	""	""
"A_24_P566916"	"0.979"	"0.014464"	"3.65"	"-4.02"	"3.64e-01"	"NEAT1"	"nuclear paraspeckle assembly transcript 1 (non-protein coding)"
"A_23_P203420"	"0.979"	"0.014475"	"-3.65"	"-4.02"	"-3.89e-01"	"MTA2"	"metastasis associated 1 family, member 2"
"A_24_P923102"	"0.979"	"0.014514"	"-3.64"	"-4.02"	"-4.37e-01"	"PHOSPHO2-KLHL23"	"PHOSPHO2-KLHL23 readthrough"
"A_23_P83328"	"0.979"	"0.014573"	"-3.64"	"-4.02"	"-4.99e-01"	"ENG"	"endoglin"
"A_24_P243347"	"0.979"	"0.014714"	"3.63"	"-4.03"	"3.57e-01"	"MAT2B"	"methionine adenosyltransferase II, beta"
"A_23_P104445"	"0.979"	"0.014775"	"-3.63"	"-4.03"	"-5.36e-01"	"PIK3AP1"	"phosphoinositide-3-kinase adaptor protein 1"
"A_24_P337592"	"0.979"	"0.015069"	"3.61"	"-4.03"	"5.57e-01"	"BTN2A2"	"butyrophilin, subfamily 2, member A2"
"A_23_P214766"	"0.979"	"0.015082"	"3.61"	"-4.03"	"8.63e-01"	"HIVEP2"	"human immunodeficiency virus type I enhancer binding protein 2"
"A_23_P75441"	"0.979"	"0.015205"	"-3.60"	"-4.03"	"-3.66e-01"	"NUDT22"	"nudix (nucleoside diphosphate linked moiety X)-type motif 22"
"A_23_P3767"	"0.979"	"0.015251"	"3.60"	"-4.03"	"8.76e-01"	"NFAT5"	"nuclear factor of activated T-cells 5, tonicity-responsive"
"A_23_P55706"	"0.979"	"0.015321"	"3.59"	"-4.03"	"8.46e-01"	"RELB"	"v-rel avian reticuloendotheliosis viral oncogene homolog B"
"A_23_P126757"	"0.979"	"0.015339"	"-3.59"	"-4.03"	"-4.06e-01"	"INTS3"	"integrator complex subunit 3"
"A_23_P134167"	"0.979"	"0.015363"	"-3.59"	"-4.03"	"-4.58e-01"	"PDSS2"	"prenyl (decaprenyl) diphosphate synthase, subunit 2"
"A_23_P397376"	"0.979"	"0.015397"	"3.59"	"-4.03"	"9.53e-01"	"MAF"	"v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog"
"A_23_P209805"	"0.979"	"0.015487"	"3.58"	"-4.03"	"5.28e-01"	"NAB1"	"NGFI-A binding protein 1 (EGR1 binding protein 1)"
"A_23_P165414"	"0.979"	"0.015555"	"-3.58"	"-4.03"	"-5.16e-01"	"KLHL23"	"kelch-like family member 23"
"A_24_P576219"	"0.979"	"0.015775"	"3.56"	"-4.03"	"6.73e-01"	""	""
"A_23_P141126"	"0.979"	"0.015913"	"-3.56"	"-4.04"	"-4.61e-01"	"GALK1"	"galactokinase 1"
"A_24_P479645"	"0.979"	"0.01592"	"3.56"	"-4.04"	"5.77e-01"	"THUMPD3-AS1"	"THUMPD3 antisense RNA 1"
"A_32_P205329"	"0.979"	"0.01594"	"3.55"	"-4.04"	"9.21e-01"	"PRKCQ-AS1"	"PRKCQ antisense RNA 1"
"A_23_P119698"	"0.979"	"0.015969"	"-3.55"	"-4.04"	"-6.18e-01"	"CD320"	"CD320 molecule"
"A_23_P215832"	"0.979"	"0.015974"	"-3.55"	"-4.04"	"-3.87e-01"	"ATP5J2"	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2"
"A_23_P333605"	"0.979"	"0.016246"	"3.54"	"-4.04"	"1.15"	"ENPEP"	"glutamyl aminopeptidase (aminopeptidase A)"
"A_24_P298179"	"0.979"	"0.016329"	"3.53"	"-4.04"	"1.15"	""	""
"A_23_P148194"	"0.979"	"0.016348"	"-3.53"	"-4.04"	"-5.14e-01"	"ADI1"	"acireductone dioxygenase 1"
"A_23_P352957"	"0.979"	"0.016517"	"3.52"	"-4.04"	"4.04e-01"	"USP36"	"ubiquitin specific peptidase 36"
"A_23_P131208"	"0.979"	"0.016565"	"3.52"	"-4.04"	"5.60e-01"	"NR4A2"	"nuclear receptor subfamily 4, group A, member 2"
"A_32_P22383"	"0.979"	"0.016619"	"-3.52"	"-4.04"	"-3.76e-01"	"ASTN1"	"astrotactin 1"
"A_23_P410859"	"0.979"	"0.016723"	"3.51"	"-4.04"	"4.65e-01"	"ZSWIM6"	"zinc finger, SWIM-type containing 6"
"A_23_P376060"	"0.979"	"0.016728"	"3.51"	"-4.04"	"6.93e-01"	"IKZF3"	"IKAROS family zinc finger 3 (Aiolos)"
"A_23_P193"	"0.979"	"0.016729"	"3.51"	"-4.04"	"4.10e-01"	"EXO5"	"exonuclease 5"
"A_23_P76684"	"0.979"	"0.016917"	"-3.50"	"-4.04"	"-5.23e-01"	"RTN3"	"reticulon 3"
"A_23_P108574"	"0.979"	"0.016953"	"3.50"	"-4.04"	"5.50e-01"	"PRKD3"	"protein kinase D3"
"A_23_P97123"	"0.979"	"0.017001"	"3.49"	"-4.04"	"5.80e-01"	"ANKRD36BP1"	"ankyrin repeat domain 36B pseudogene 1"
"A_24_P273716"	"0.979"	"0.017006"	"3.49"	"-4.04"	"5.43e-01"	"ZBTB24"	"zinc finger and BTB domain containing 24"
"A_23_P5845"	"0.979"	"0.017017"	"-3.49"	"-4.04"	"-9.98e-01"	"KHK"	"ketohexokinase (fructokinase)"
"A_23_P62647"	"0.979"	"0.017056"	"3.49"	"-4.04"	"4.69e-01"	"SLAMF1"	"signaling lymphocytic activation molecule family member 1"
"A_24_P932016"	"0.979"	"0.01718"	"3.49"	"-4.04"	"7.37e-01"	"HUWE1"	"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase"
"A_32_P174130"	"0.979"	"0.017195"	"-3.48"	"-4.05"	"-3.84e-01"	""	""
"A_24_P362904"	"0.979"	"0.01725"	"-3.48"	"-4.05"	"-4.83e-01"	"PFKFB4"	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4"
"A_32_P203728"	"0.979"	"0.017258"	"3.48"	"-4.05"	"5.55e-01"	""	""
"A_23_P122439"	"0.979"	"0.017299"	"3.48"	"-4.05"	"5.79e-01"	"BTN2A2"	"butyrophilin, subfamily 2, member A2"
"A_24_P927287"	"0.979"	"0.017411"	"3.47"	"-4.05"	"4.30e-01"	"KRAS"	"Kirsten rat sarcoma viral oncogene homolog"
"A_24_P162911"	"0.979"	"0.017487"	"3.47"	"-4.05"	"6.21e-01"	"PRKD3"	"protein kinase D3"
"A_24_P148521"	"0.979"	"0.017566"	"3.46"	"-4.05"	"3.92e-01"	"TMBIM1"	"transmembrane BAX inhibitor motif containing 1"
"A_24_P256552"	"0.979"	"0.01761"	"3.46"	"-4.05"	"3.48e-01"	"CSTF3"	"cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa"
"A_32_P19294"	"0.979"	"0.017617"	"-3.46"	"-4.05"	"-5.89e-01"	"GLT1D1"	"glycosyltransferase 1 domain containing 1"
"A_32_P7721"	"0.979"	"0.01762"	"3.46"	"-4.05"	"7.04e-01"	"RORA"	"RAR-related orphan receptor A"
"A_23_P29754"	"0.979"	"0.017698"	"-3.46"	"-4.05"	"-8.33e-01"	"BDH1"	"3-hydroxybutyrate dehydrogenase, type 1"
"A_23_P208210"	"0.979"	"0.017758"	"3.45"	"-4.05"	"3.66e-01"	"ZNF432"	"zinc finger protein 432"
"A_23_P397120"	"0.979"	"0.017812"	"-3.45"	"-4.05"	"-1.05"	"SMIM24"	"small integral membrane protein 24"
"A_23_P69383"	"0.979"	"0.01784"	"3.45"	"-4.05"	"4.16e-01"	"PARP9"	"poly (ADP-ribose) polymerase family, member 9"
"A_24_P390060"	"0.979"	"0.017841"	"-3.45"	"-4.05"	"-4.25e-01"	"IQCD"	"IQ motif containing D"
"A_24_P32295"	"0.979"	"0.017976"	"3.44"	"-4.05"	"9.27e-01"	"IZUMO4"	"IZUMO family member 4"
"A_23_P257296"	"0.979"	"0.01799"	"-3.44"	"-4.05"	"-4.16e-01"	"TFF3"	"trefoil factor 3 (intestinal)"
"A_23_P394064"	"0.979"	"0.018137"	"3.44"	"-4.05"	"9.79e-01"	"PTRF"	"polymerase I and transcript release factor"
"A_24_P769977"	"0.979"	"0.01815"	"3.43"	"-4.05"	"3.43e-01"	""	""
"A_23_P310560"	"0.979"	"0.018223"	"-3.43"	"-4.05"	"-4.26e-01"	"NUDT16"	"nudix (nucleoside diphosphate linked moiety X)-type motif 16"
"A_23_P101476"	"0.979"	"0.01825"	"-3.43"	"-4.05"	"-4.03e-01"	"ZNF442"	"zinc finger protein 442"
"A_24_P372134"	"0.979"	"0.018417"	"3.42"	"-4.05"	"5.96e-01"	"TMEM140"	"transmembrane protein 140"
"A_23_P351215"	"0.979"	"0.018477"	"3.42"	"-4.05"	"5.06e-01"	"SKIL"	"SKI-like proto-oncogene"
"A_23_P169197"	"0.979"	"0.018608"	"-3.41"	"-4.06"	"-7.42e-01"	"HSDL2"	"hydroxysteroid dehydrogenase like 2"
"A_24_P482206"	"0.979"	"0.018665"	"3.41"	"-4.06"	"3.56e-01"	"NPIPA1"	"nuclear pore complex interacting protein family, member A1"
"A_24_P109973"	"0.979"	"0.018729"	"-3.41"	"-4.06"	"-3.74e-01"	""	""
"A_23_P138394"	"0.979"	"0.018832"	"3.40"	"-4.06"	"8.74e-01"	"AGAP7P"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene"
"A_32_P74901"	"0.979"	"0.0189"	"3.40"	"-4.06"	"3.33e-01"	""	""
"A_24_P942630"	"0.979"	"0.018945"	"3.40"	"-4.06"	"9.56e-01"	"KDM6B"	"lysine (K)-specific demethylase 6B"
