PeakID (cmd=annotatePeaks.pl no_peptide_1um_pcc_superenhancers_merged.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr6-48735042-2	chr6	48645371	48845436	+	3211.950195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	promoter-TSS (NM_175035)	promoter-TSS (NM_175035)	-794	NM_175035	317757	Mm.455917	NM_175035	ENSMUSG00000043505	Gimap5	D630024P16|E230026N22Rik	GTPase, IMAP family member 5	protein-coding
Merged-chr14-25531891-2	chr14	25364071	25663257	+	3200.149902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_183208, intron 2 of 23)	intron (NM_183208, intron 2 of 23)	-20775	NR_037236	100526533		NR_037236	miRBase:MI0014038	Mir3075	mmu-mir-3075	microRNA 3075	ncRNA
Merged-chr5-53484637-1	chr5	53354976	53614298	+	3175.399902	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	MER68|LTR|ERVL	-71142	NM_001080928	19664	Mm.209292	NM_009035	ENSMUSG00000039191	Rbpj	AI843960|CBF1|Igkjrb|Igkrsbp|RBP-J|RBP-J kappa|RBPjk|Rbpsuh	recombination signal binding protein for immunoglobulin kappa J region	protein-coding
Merged-chr7-63984319-2	chr7	63875834	64106730	+	3170.050049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-52367	NM_021366	50794	Mm.240473	NM_021366	ENSMUSG00000052040	Klf13	0610043C13Rik|9430029L20Rik|Bteb3|FKLF-2|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel-like factor 13	protein-coding
Merged-chr5-105619792-2	chr5	105483701	105755033	+	3127.649902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-80602	NM_001122768	231549	Mm.23837	NM_178701	ENSMUSG00000046079	Lrrc8d	2810473G09Rik|4930525N13Rik|A930019F03|Lrrc5	leucine rich repeat containing 8D	protein-coding
Merged-chr8-114939155-1	chr8	114765648	115112663	+	3116.399902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_019573, intron 8 of 8)	B1_Mur3|SINE|Alu	499503	NM_019573	80707	Mm.440420	NM_019573	ENSMUSG00000004637	Wwox	5330426P09Rik|9030416C10Rik|WOX1	WW domain-containing oxidoreductase	protein-coding
Merged-chr3-37227419-1	chr3	37118930	37335908	+	3094.000000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001291041, intron 3 of 3)	intron (NM_001291041, intron 3 of 3)	5217	NM_001291041	60505	Mm.157689	NM_021782	ENSMUSG00000027718	Il21	IL-21	interleukin 21	protein-coding
Merged-chr1-138213071-2	chr1	138085128	138348655	+	3084.450195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-41586	NM_011210	19264	Mm.391573	NM_011210	ENSMUSG00000026395	Ptprc	B220|CD45R|Cd45|L-CA|Ly-5|Lyt-4|T200|loc	protein tyrosine phosphatase, receptor type, C	protein-coding
Merged-chr2-11208896-2	chr2	11112986	11297283	+	3076.300049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_008859, intron 1 of 17)	MTD|LTR|ERVL-MaLR	32752	NM_008859	18761	Mm.329993	NM_008859	ENSMUSG00000026778	Prkcq	A130035A12Rik|AW494342|PKC-0|PKC-theta|PKCtheta|Pkcq	protein kinase C, theta	protein-coding
Merged-chr1-88609310-2	chr1	88447366	88728499	+	2972.600098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	36415	NR_037971	100503197	Mm.99352	NR_037971		Gm19589	-	predicted gene, 19589	ncRNA
Merged-chr19-32231043-2	chr19	32106931	32345507	+	2947.600098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_144792, intron 4 of 9)	ORR1B2|LTR|ERVL-MaLR	-15206	NM_001168526	208449	Mm.329810	NM_144792	ENSMUSG00000040451	Sgms1	9530058O11Rik|AI841905|C80702|Mob|Sms1|Sor1|Tmem23	sphingomyelin synthase 1	protein-coding
Merged-chr3-115759084-2	chr3	115638229	115907838	+	2919.450195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	MTE2b|LTR|ERVL-MaLR	-57978	NM_007901	13609	Mm.982	NM_007901	ENSMUSG00000045092	S1pr1	AI849002|Edg1|Lpb1|S1p|S1p1	sphingosine-1-phosphate receptor 1	protein-coding
Merged-chr7-127198891-2	chr7	127073703	127323299	+	2919.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	3' UTR (NM_144522, exon 9 of 9)	3' UTR (NM_144522, exon 9 of 9)	-2424	NM_001285905	70233	Mm.28050	NM_027353	ENSMUSG00000042502	Cd2bp2	1500011B02Rik|2410024K20Rik|AW048183	CD2 antigen (cytoplasmic tail) binding protein 2	protein-coding
Merged-chr1-180334935-2	chr1	180222396	180435998	+	2903.450195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	non-coding (NR_003623, exon 1 of 1)	non-coding (NR_003623, exon 1 of 1)	-1279	NM_001081175	320404	Mm.132535	NM_001081175	ENSMUSG00000038855	Itpkb	1110033J02Rik|E130307H12Rik	inositol 1,4,5-trisphosphate 3-kinase B	protein-coding
Merged-chr4-59251965-2	chr4	59135670	59380597	+	2878.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-1918	NR_105031	101055769	Mm.421401	NR_105031		LOC101055769	-	uncharacterized LOC101055769	ncRNA
Merged-chr18-75372781-2	chr18	75205162	75541498	+	2832.949951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001042660, intron 2 of 3)	intron (NM_001042660, intron 2 of 3)	5965	NM_001042660	17131	Mm.34407	NM_008543	ENSMUSG00000025880	Smad7	Madh7	SMAD family member 7	protein-coding
Merged-chr11-11720588-2	chr11	11620466	11847516	+	2828.700195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_009578, intron 3 of 6)	intron (NM_009578, intron 3 of 6)	47778	NM_001025597	22778	Mm.103545	NM_009578	ENSMUSG00000018654	Ikzf1	5832432G11Rik|Ikaros|LyF-1|Zfpn1a1|Znfn1a1|hlk-1|mKIAA4227	IKAROS family zinc finger 1	protein-coding
Merged-chr12-25260352-2	chr12	25092457	25414333	+	2808.899902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	124221	NR_045844	432641	Mm.112955	NR_045844		Gm17746	-	predicted gene, 17746	ncRNA
Merged-chr6-129250448-2	chr6	129157268	129334285	+	2799.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-7294	NR_040266	76432	Mm.261738	NR_040265	ENSMUSG00000097354	2310001H17Rik	AI646108	RIKEN cDNA 2310001H17 gene	ncRNA
Merged-chr15-62152538-2	chr15	62025269	62287681	+	2768.850098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NR_003368, intron 3 of 8)	intron (NR_003368, intron 3 of 8)	62976	NR_003523	67552	Mm.484027	NM_026230		H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo
Merged-chr15-36380237-2	chr15	36261092	36499960	+	2760.450195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-97379	NM_013923	30945	Mm.5181	NM_013923	ENSMUSG00000022280	Rnf19a	AA032313|Dorfin|Rnf19|UIP117|Ubce7ip2|XYbp	ring finger protein 19A	protein-coding
Merged-chr9-116244271-3	chr9	116058177	116406568	+	2746.833252	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-57009	NM_009371	21813	Mm.172346	NM_009371	ENSMUSG00000032440	Tgfbr2	1110020H15Rik|AU042018|DNIIR|RIIDN|TBR-II|TbetaR-II|TbetaRII	transforming growth factor, beta receptor II	protein-coding
Merged-chr8-81793469-2	chr8	81687132	81905789	+	2742.149902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001024617, intron 7 of 24)	L1Md_F2|LINE|L1	453898	NM_001297593	234515	Mm.324468	NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding
Merged-chr15-80669266-3	chr15	80485100	80961428	+	2735.466553	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_144812, intron 1 of 24)	PB1D11|SINE|Alu	11951	NM_144812	213988	Mm.131328	NM_144812	ENSMUSG00000047888	Tnrc6b	2700090M07Rik|A730065C02Rik|AI848765|D230019K20Rik	trinucleotide repeat containing 6b	protein-coding
Merged-chr6-31155363-1	chr6	31070240	31240486	+	2699.899902	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NR_110471, intron 2 of 3)	intron (NR_110471, intron 2 of 3)	63111	NR_110470	232685	Mm.443019	NM_144555		Lincpint	MNCb-1768|Pint|linc-Pint	long intergenic non-protein coding RNA, Trp53 induced transcript	ncRNA
Merged-chr19-11460540-3	chr19	11339921	11612730	+	2695.033203	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_028595, intron 4 of 6)	intron (NM_028595, intron 4 of 6)	6957	NM_001166376	73656	Mm.440755	NM_028595	ENSMUSG00000079419	Ms4a6c	2200009H22Rik|2210417N07Rik	membrane-spanning 4-domains, subfamily A, member 6C	protein-coding
Merged-chr12-69473963-2	chr12	69355267	69596089	+	2638.049805	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	promoter-TSS (NR_038061)	promoter-TSS (NR_038061)	-128	NR_038060	76062	Mm.380755	NR_038060		5830428M24Rik	100040862|Gm3007	RIKEN cDNA 5830428M24 gene	ncRNA
Merged-chr15-74963139-2	chr15	74891764	75034412	+	2636.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	B1_Mus2|SINE|Alu	7982	NM_001164040	17069	Mm.788	NM_008529	ENSMUSG00000022587	Ly6e	9804|Ly67|RIG-E|Sca-2|TSA-1|Tsa1	lymphocyte antigen 6 complex, locus E	protein-coding
Merged-chr11-88564566-2	chr11	88410735	88721079	+	2635.200195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_054043, intron 6 of 13)	intron (NM_054043, intron 6 of 13)	152322	NM_054043	76626	Mm.400451	NM_054043	ENSMUSG00000069769	Msi2	1700105C15Rik|AI451722|AI563628|AW489193|Msi2h	musashi RNA-binding protein 2	protein-coding
Merged-chr17-73004709-2	chr17	72889629	73201431	+	2598.949951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-62455	NM_001081071	225010	Mm.329194	NM_001081071	ENSMUSG00000054469	Lclat1	AI181996|Agpat8|Alcat1|Gm91|Lycat	lysocardiolipin acyltransferase 1	protein-coding
Merged-chr19-4142613-2	chr19	4051933	4233409	+	2561.350098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	exon (NM_206973, exon 2 of 2)	exon (NM_206973, exon 2 of 2)	2872	NM_206973	269053	Mm.131677	NM_206973	ENSMUSG00000044724	Gpr152	A930009H15Rik|Gm673	G protein-coupled receptor 152	protein-coding
Merged-chr2-128345872-2	chr2	128152373	128477903	+	2557.250000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NR_028589, intron 2 of 2)	AT_rich|Low_complexity|Low_complexity	114213	NR_028591	100043424	Mm.297222	NR_028589		Gm14005	OTTMUSG00000015351	predicted gene 14005	ncRNA
Merged-chr10-39435058-2	chr10	39291698	39547508	+	2554.949951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001122892, intron 2 of 12)	intron (NM_001122892, intron 2 of 12)	49804	NM_001122893	14360	Mm.4848	NM_008054	ENSMUSG00000019843	Fyn	AI448320|AW552119	Fyn proto-oncogene	protein-coding
Merged-chr11-46386472-2	chr11	46277467	46488982	+	2551.949951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001281966, intron 1 of 16)	intron (NM_001281966, intron 1 of 16)	6291	NM_001281967	16428	Mm.339927	NM_010583	ENSMUSG00000020395	Itk	Emt|Tcsk|Tsk	IL2 inducible T cell kinase	protein-coding
Merged-chr10-14050572-2	chr10	13964221	14141165	+	2546.649902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_010437, intron 1 of 8)	intron (NM_010437, intron 1 of 8)	86314	NM_010437	15273	Mm.42157	NM_010437	ENSMUSG00000015501	Hivep2	MIBP1|Schnurri-2|Shn-2	human immunodeficiency virus type I enhancer binding protein 2	protein-coding
Merged-chr19-53482101-2	chr19	53387423	53579355	+	2541.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-18593	NR_028427	381232	Mm.248624	NR_028427	ENSMUSG00000097636	5830416P10Rik	4833407H14Rik|5430437C04Rik|ENSMUSG00000074788|Gm10758	RIKEN cDNA 5830416P10 gene	ncRNA
