#name (cmd = mergePeaks AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt
Merged-chr9-77947855-1	chr9	77909271	77986439	+	1008.299988	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr9-45468
Merged-chr11-57996267-1	chr11	57951268	58041266	+	944.200012	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr11-46559
Merged-chr11-43393376-1	chr11	43351516	43435236	+	1001.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr11-54551
Merged-chr2-102977530-1	chr2	102936010	103019050	+	1167.599976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr2-70188
Merged-chr12-104996016-1	chr12	104954822	105037210	+	1226.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr12-41416
Merged-chr13-116997734-1	chr13	116940342	117055127	+	857.700012	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr13-26041
Merged-chr9-114447714-1	chr9	114385176	114510252	+	1214.599976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr9-57784
Merged-chr2-151561482-1	chr2	151526669	151596296	+	992.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr2-71865
Merged-chr3-93554649-1	chr3	93501374	93607925	+	1537.599976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr3-34814
Merged-chr18-67262983-1	chr18	67201164	67324803	+	929.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr18-12536
Merged-chr9-56129878-1	chr9	56075386	56184370	+	1354.599976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr9-28277
Merged-chr12-80833204-1	chr12	80771068	80895341	+	1001.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr12-36026
Merged-chr2-11518940-1	chr2	11483488	11554393	+	835.799988	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr2-74307
Merged-chr6-146474825-1	chr6	146427628	146522022	+	911.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr6-54769
Merged-chr12-85686795-1	chr12	85660568	85713023	+	850.599976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr12-45632
Merged-chr8-61427280-1	chr8	61356982	61497579	+	1342.300049	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr8-31712
Merged-chr1-80732958-1	chr1	80699192	80766724	+	1169.800049	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr1-56315
Merged-chr19-44281865-1	chr19	44246034	44317697	+	1006.299988	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr19-25132
Merged-chr5-136489543-1	chr5	136410846	136568240	+	1131.000000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr5-46345
Merged-chr7-110220903-1	chr7	110156927	110284879	+	1021.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr7-48905
Merged-chr6-108679449-1	chr6	108622617	108736282	+	1499.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr6-58834
Merged-chr11-97118265-1	chr11	97083522	97153009	+	877.200012	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr11-62720
Merged-chr13-52864299-1	chr13	52777419	52951179	+	1819.699951	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr13-38218
Merged-chr16-24470010-1	chr16	24390958	24549063	+	1309.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr16-31698
Merged-chr11-23753322-1	chr11	23682693	23823952	+	1240.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr11-33241
Merged-chr11-100835371-1	chr11	100804630	100866113	+	1085.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr11-57292
Merged-chr7-74486942-1	chr7	74416567	74557317	+	1238.000000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr7-39415
Merged-chr11-97803428-1	chr11	97765280	97841576	+	912.099976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr11-77299
Merged-chr8-88308213-1	chr8	88271994	88344433	+	890.000000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr8-39915
Merged-chr16-45345075-1	chr16	45279712	45410439	+	1309.000000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr16-23767
Merged-chr11-61669625-1	chr11	61638463	61700788	+	995.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr11-74821
Merged-chr6-38830566-1	chr6	38784099	38877034	+	862.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr6-45365
Merged-chr9-46173037-1	chr9	46142648	46203427	+	969.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr9-36487
Merged-chr3-59108262-1	chr3	59080431	59136093	+	863.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr3-37553
Merged-chr2-118525472-1	chr2	118478580	118572365	+	878.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr2-70524
Merged-chr1-87648911-1	chr1	87607260	87690562	+	909.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr1-56563
Merged-chr11-119134012-1	chr11	119075268	119192756	+	927.599976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr11-53368
Merged-chr3-37227419-1	chr3	37118930	37335908	+	3094.000000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr3-45534
Merged-chr18-4322484-1	chr18	4266286	4378682	+	1125.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr18-9216
Merged-chr4-154933211-1	chr4	154898023	154968399	+	898.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr4-52452
Merged-chrX-159722940-1	chrX	159673632	159772248	+	1084.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chrX-8861
Merged-chr9-64809179-1	chr9	64779820	64838538	+	839.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr9-3330
Merged-chr1-144295671-1	chr1	144237061	144354282	+	1193.800049	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr1-52648
Merged-chr2-160761926-1	chr2	160730530	160793322	+	918.099976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr2-65165
Merged-chr3-142580324-1	chr3	142520210	142640438	+	1190.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr3-40078
Merged-chr10-54038805-1	chr10	53985175	54092436	+	1251.199951	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr10-45020
Merged-chr4-129017130-1	chr4	128962607	129071654	+	1184.099976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr4-16658
Merged-chr4-156012699-1	chr4	155990236	156035162	+	1210.099976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr4-52599
Merged-chr2-11633475-1	chr2	11602167	11664784	+	1894.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr2-38858
Merged-chr6-124909551-1	chr6	124878803	124940299	+	891.200012	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr6-53576
Merged-chr19-18627825-1	chr19	18582806	18672844	+	925.299988	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr19-16044
Merged-chr5-32094707-1	chr5	32029261	32160153	+	1082.800049	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr5-38885
Merged-chr2-168538162-1	chr2	168471350	168604975	+	1276.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr2-45334
Merged-chr6-31155363-1	chr6	31070240	31240486	+	2699.899902	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr6-49882
Merged-chr3-137970741-1	chr3	137932880	138008603	+	1012.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr3-44313
Merged-chr8-120726935-1	chr8	120682447	120771424	+	1090.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr8-25209
Merged-chr5-53484637-1	chr5	53354976	53614298	+	3175.399902	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr5-21358
Merged-chr19-9055044-1	chr19	9021102	9088987	+	841.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr19-20171
Merged-chr12-76346197-1	chr12	76306921	76385473	+	976.599976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr12-44749
Merged-chr4-106966222-1	chr4	106907849	107024596	+	958.200012	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr4-36941
Merged-chr6-127253845-1	chr6	127234762	127272929	+	913.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr6-48363
Merged-chr9-35135653-1	chr9	35094908	35176399	+	939.799988	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr9-39456
Merged-chr4-130921123-1	chr4	130896618	130945628	+	1014.000000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr4-19406
Merged-chr9-69326895-1	chr9	69289099	69364691	+	940.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr9-40959
Merged-chr3-68788727-1	chr3	68740296	68837158	+	940.200012	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr3-28542
Merged-chr18-62128923-1	chr18	62064412	62193435	+	1191.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr18-18228
Merged-chr8-86870813-1	chr8	86838028	86903598	+	964.200012	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr8-29555
Merged-chr1-58721354-1	chr1	58697617	58745092	+	944.700012	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr1-55632
Merged-chr19-25061674-1	chr19	25042206	25081142	+	853.799988	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr19-24415
Merged-chr16-51686196-1	chr16	51650400	51721992	+	953.000000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr16-29435
Merged-chr13-44499899-1	chr13	44441542	44558257	+	971.700012	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr13-37546
Merged-chr3-108871460-1	chr3	108820013	108922908	+	872.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr3-27160
Merged-chr2-127320713-1	chr2	127300684	127340742	+	1198.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr2-48217
Merged-chr17-66098528-1	chr17	66046887	66150170	+	845.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr17-39523
Merged-chr10-28699238-1	chr10	28662024	28736453	+	863.000000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr10-40072
Merged-chr6-97312975-1	chr6	97271143	97354808	+	1251.099976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr6-47051
Merged-chr12-111185827-1	chr12	111143134	111228521	+	1004.599976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr12-27576
Merged-chr4-136131192-1	chr4	136071588	136190797	+	1241.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr4-18131
Merged-chr1-138588013-1	chr1	138537428	138638598	+	1025.599976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr1-47806
Merged-chr7-142467475-1	chr7	142435821	142499129	+	1008.000000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr7-13243
Merged-chr5-105129054-1	chr5	105097609	105160499	+	1030.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr5-21826
Merged-chr10-58367141-1	chr10	58322843	58411439	+	1143.800049	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr10-24230
Merged-chr9-120047158-1	chr9	119964283	120130033	+	1682.099976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr9-58262
Merged-chr10-44392417-1	chr10	44321911	44462923	+	1339.000000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr10-33817
Merged-chr7-123354777-1	chr7	123298113	123411442	+	1039.300049	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr7-54801
Merged-chr11-60142060-1	chr11	60091003	60193117	+	851.799988	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr11-27237
Merged-chr9-46053205-1	chr9	45979321	46127089	+	1654.800049	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr9-39992
Merged-chr15-59585008-1	chr15	59507039	59662978	+	1851.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr15-30717
Merged-chr18-32972780-1	chr18	32938367	33007194	+	875.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr18-8662
Merged-chr16-84616569-1	chr16	84578863	84654276	+	1132.000000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr16-37742
Merged-chr4-46571477-1	chr4	46524154	46618801	+	902.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr4-35993
Merged-chr4-47290467-1	chr4	47247026	47333908	+	937.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr4-6451
Merged-chr9-96744409-1	chr9	96669708	96819110	+	1487.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr9-34499
Merged-chr6-91707102-1	chr6	91656467	91757738	+	892.299988	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr6-35450
Merged-chr9-73065373-1	chr9	73038843	73091903	+	956.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr9-50447
Merged-chr5-147063167-1	chr5	147037811	147088524	+	858.099976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr5-52538
Merged-chr10-67510249-1	chr10	67454430	67566069	+	923.299988	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr10-56556
Merged-chr12-69244417-1	chr12	69183316	69305519	+	963.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr12-42376	
Merged-chr16-91580952-1	chr16	91512365	91649540	+	1084.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr16-6016	
Merged-chr13-111956387-1	chr13	111892695	112020079	+	889.200012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr13-4569	
Merged-chr5-137677518-1	chr5	137596350	137758687	+	1293.300049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-40635	
Merged-chr14-77852942-1	chr14	77794406	77911479	+	938.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr14-23429	
Merged-chr7-126153257-1	chr7	126105691	126200823	+	787.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr7-40029	
Merged-chr14-118905804-1	chr14	118840197	118971412	+	804.799988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr14-31408	
Merged-chr14-120339616-1	chr14	120271989	120407244	+	854.799988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr14-31451	
Merged-chr8-114939155-1	chr8	114765648	115112663	+	3116.399902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr8-36671	
Merged-chr8-128423898-1	chr8	128357276	128490521	+	921.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr8-19163	
Merged-chr16-94218767-1	chr16	94167501	94270034	+	1020.299988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr16-32518	
Merged-chr11-32024706-1	chr11	31981737	32067675	+	824.700012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-14116	
Merged-chr16-33725735-1	chr16	33681639	33769832	+	837.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr16-19071	
Merged-chr3-115965865-1	chr3	115923142	116008588	+	998.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr3-38330	
Merged-chr5-72790513-1	chr5	72711713	72869313	+	1314.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-16969	
Merged-chr7-25729374-1	chr7	25606620	25852128	+	2136.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr7-28342	
Merged-chr16-31024753-1	chr16	30967743	31081763	+	875.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr16-12621	
Merged-chr15-58170510-1	chr15	58124851	58216169	+	802.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr15-44132	
Merged-chr14-64907356-1	chr14	64834745	64979967	+	791.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr14-30056	
Merged-chr8-115187968-1	chr8	115127808	115248128	+	825.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr8-36815	
Merged-chr2-62399405-1	chr2	62335257	62463553	+	971.299988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr2-59555	
Merged-chr11-45839500-1	chr11	45780847	45898154	+	1083.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-27973	
Merged-chr5-64484293-1	chr5	64430966	64537621	+	1023.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-43411	
Merged-chr18-35742789-1	chr18	35692995	35792583	+	888.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr18-21754	
Merged-chr13-23723554-1	chr13	23683022	23764086	+	790.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr13-11331	
Merged-chr14-75484737-1	chr14	75398636	75570838	+	1149.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr14-35826	
Merged-chr14-55610838-1	chr14	55539220	55682457	+	1411.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr14-34231	
Merged-chr6-30301359-1	chr6	30246792	30355926	+	959.299988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr6-26495	
Merged-chr5-140242131-1	chr5	140151989	140332273	+	1564.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-47558	
Merged-chr12-71012716-1	chr12	70967559	71057873	+	821.700012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr12-26907	
Merged-chr9-66247533-1	chr9	66185931	66309135	+	1024.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr9-25516	
Merged-chr5-64899173-1	chr5	64860109	64938238	+	798.700012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-43566	
Merged-chr1-143909354-1	chr1	143808098	144010610	+	1273.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr1-56033	
Merged-chr10-39215156-1	chr10	39161536	39268776	+	874.799988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr10-43587	
Merged-chr13-43220086-1	chr13	43166613	43273560	+	903.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr13-19551	
