Gene symbol	No-Peptide-24h	No-Peptide-24h-MEKi	10uM-K99A-24h	10uM-K99A-24h-MEKi	100uM-K99A-24h	100uM-K99A-24h-MEKi	0-1uM-PCC-24h	0-1uM-PCC-24h-MEKi	10uM-PCC-24h	10uM-PCC-24h-MEKi
Tspan6	0.1875	0.0	1.7730000000000001	0.0	1.905	0.442	2.0500000000000003	1.82	2.1015	1.258
Fchsd2	12.654000000000002	10.465	14.841	16.896	13.32	16.692999999999998	10.669	10.736	8.7025	10.155
Mospd2	9.9365	10.505	7.56	10.179	5.099	6.364	5.3130000000000015	5.4620000000000015	4.449999999999998	6.202000000000001
Nxf2	0.011	0.0	0.2325	0.0	0.06	0.215	0.1015	0.152	0.0945	0.156
A330009N23Rik	1.5019999999999998	0.8690000000000001	0.8105	0.574	0.7195	1.395	1.018	0.7240000000000001	0.5055000000000001	0.7909999999999999
Pdzd7	0.0645	0.273	0.016	0.35200000000000004	0.079	0.109	0.087	0.179	0.0385	0.092
Pvalb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyb561d1	10.5255	11.115	10.6655	10.3	7.4345	8.612	7.832000000000001	6.77	7.915999999999999	7.5779999999999985
Fam131b	0.2175	0.015	0.10400000000000001	0.0	0.0275	0.07	0.0495	0.07200000000000001	0.0205	0.0
Rab4b	47.1925	42.221	40.187	34.863	34.067	40.95	33.435500000000005	28.354	34.102000000000004	28.421
Tpbpa	0.1325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0265	0.0
Capn1	68.465	79.676	54.097	68.137	36.637	47.622	33.344	32.158	32.346	33.611
Ncl	51.4195	26.751	98.1795	37.718	180.954	89.97200000000002	216.30599999999998	165.204	255.2505	176.71400000000003
Hoxa9	0.245	0.522	0.0345	0.0	0.08900000000000001	0.196	0.08549999999999999	0.18	0.1905	0.111
Cobll1	1.1640000000000001	1.052	1.2575	1.232	1.3769999999999998	1.374	1.615	1.699	1.85	2.023
Add3	61.338	68.832	46.57600000000001	57.449	26.8275	39.242	21.072	18.251	16.134999999999998	19.431
Snx9	10.7665	5.499	3.8615	7.846	4.9385	7.7810000000000015	5.9795	8.024	7.591	6.7360000000000015
4930426L09Rik	1.0324999999999998	0.294	0.1	0.307	0.6745	0.237	0.17049999999999998	0.273	0.24600000000000002	0.414
Oasl1	6.3975	5.509	2.574	3.079	2.4725	2.13	2.0685	1.975	1.848	2.642
Zfp747	4.277	3.931	5.6425	1.969	5.598000000000001	2.968	5.49	4.46	5.9505	3.847
Tas2r110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ankrd22	19.444000000000003	28.979	13.5055	28.571	3.333	8.706	2.7089999999999996	1.528	1.0195	1.321
Ripply2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0365	0.0
Lrrc41	14.999	13.326	18.9775	14.999	26.2795	18.991	26.808000000000003	24.608	29.058000000000003	26.274
Crtc3	18.697	16.505	12.8585	13.425999999999998	10.238999999999999	13.804	10.033	9.18	8.6055	8.92
Ptges3l	1.8805	0.643	2.2675	1.882	2.506	1.695	2.0225	1.597	1.922	1.164
Gsdma3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trpc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2810049E08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chd4	79.8465	63.14100000000001	103.58200000000001	74.08	111.9475	97.624	113.3715	101.895	120.46799999999999	106.481
Fpr3	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.095	0.0	0.0
Strn4	24.8	22.443	25.8335	22.418000000000006	33.084	27.068	33.8805	33.204	37.7385	31.522
Scarna9	0.0	0.0	0.9975	0.0	1.2625	0.0	0.5735	1.415	0.0	0.0
Vmn1r88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700013G24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC061194	0.0	0.152	0.0605	0.0	0.0	0.0	0.0285	0.0	0.011	0.0
Ndufc1	18.1255	8.857999999999997	25.646500000000003	10.056	36.96	22.078000000000007	31.448	27.867	33.8685	27.27
Phyhd1	6.250499999999999	11.191	4.461	6.4860000000000015	2.583	3.16	2.4745	3.0780000000000003	1.889	2.846
Cd36	22.4335	14.482	7.1865000000000006	14.326	2.834	6.784	2.63	2.864	1.5635	1.759
Snora3	3.8335	0.0	9.223	19.154	16.1475	10.645	12.996	32.66	13.0125	19.82
Arl4c	34.707	24.135	21.5315	18.273	16.4	19.889	13.513	14.769	10.5765	12.071
Sigirr	19.8825	14.743	11.9645	11.787	8.557500000000001	9.926	9.1675	8.827	9.46	8.632
Dhx8	16.409000000000002	12.7	21.5115	15.2	26.061	21.065	28.041000000000004	25.66	27.976999999999997	23.206
Fyco1	6.3605	6.87	4.659999999999998	6.629	2.9985	5.103	2.87	3.519	2.2985	3.09
Lrrc38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nup210	30.4265	27.676	24.1115	22.853	27.6805	24.283	31.6065	36.125	33.3995	35.494
Casp12	0.124	0.07200000000000001	0.033	0.201	0.14300000000000002	0.407	0.295	0.201	0.252	0.257
Vmn1r229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vmn1r124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Med15	25.774	23.695	26.945	26.236	29.419	26.224	29.6755	33.168	30.6015	31.337
Ugt1a2	14.682	19.965	7.8260000000000005	16.897000000000002	2.2590000000000003	8.58	1.237	1.433	0.496	0.385
Psma1	51.0905	36.394	75.91850000000002	55.11600000000001	107.12700000000001	74.96	107.1745	93.942	119.07299999999998	108.733
Pqlc3	29.4055	36.432	20.4635	30.746	11.963	20.426	10.1	11.577	6.974	10.848
Mettl14	7.176	5.415	8.9665	5.984	11.6875	8.46	10.615	9.017	10.746	9.697
2610034B18Rik	2.2119999999999997	2.949	0.672	1.4069999999999998	0.7484999999999999	1.4880000000000002	0.322	0.16	0.273	0.141
Npy4r	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.0	0.0
Pik3cb	11.747	14.39	8.9625	14.649	5.3445	8.075	4.5059999999999985	4.2410000000000005	3.409	4.556
Crem	31.498	18.789	41.896	22.856	60.1635	46.33600000000001	45.9745	44.273	46.092	47.395
Slco1c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dab2	3.2145	1.15	1.3915	1.405	1.0705	2.616	0.893	1.357	0.252	0.333
Olfr1048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem52b	0.0	0.0	0.043	0.0	0.0275	0.0	0.008	0.0	0.0	0.0
Pdk4	0.0	0.0	0.006	0.0	0.1285	0.041	0.013500000000000002	0.067	0.114	0.238
4930596D02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Iqcf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir193a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir3070a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ubtfl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rgs4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9430019J16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm6936	0.0	0.0	0.0	0.0	0.014	0.0	0.06050000000000001	0.0	0.0255	0.0
Gm15441	80.179	51.074	43.9375	41.907	21.473000000000003	28.672	21.835	16.857	15.489	15.698
Nr1h2	54.0325	44.339	50.7415	39.72	65.667	52.613	66.3665	63.672	74.649	66.90899999999999
Lrp2bp	0.0	0.292	0.059000000000000004	0.038	0.0555	0.0	0.061	0.153	0.1085	0.241
Kctd18	5.8465	5.823	7.0385	5.715	7.362499999999999	7.077000000000001	8.347999999999999	7.237	7.705	6.494
Mpp1	44.446999999999996	65.498	30.9975	44.659	18.36	33.171	16.064	16.757	13.3205	16.699
Gm20735	1.048	2.097	1.4169999999999998	1.983	0.6455	1.692	0.8420000000000001	2.045	0.8564999999999999	0.329
Kng2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alx4	0.0	0.0	0.008	0.0	0.005	0.014	0.0	0.0	0.011	0.03
Hira	10.4945	7.55	13.5545	8.642999999999999	17.0915	11.073	18.7465	14.29	19.013	14.633
Zfp867	1.1555	1.226	1.844	2.199	1.523	1.4880000000000002	1.727	1.533	1.484	1.325
Ace3	0.0	0.0	0.0	0.0	0.0	0.0	0.0095	0.0	0.0	0.0
Pld1	2.9615	3.217	2.0815	2.194	1.0659999999999998	2.157	0.7190000000000001	0.924	0.341	0.589
Mir466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc35d1	2.1575	3.3960000000000004	3.5205	2.125	4.582	3.786	4.4725	3.967	5.6395	4.253
Tmem179	0.0	0.0	0.0085	0.0	0.0085	0.0	0.0	0.0	0.0	0.0
1700015G11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Armcx4	0.258	0.132	0.401	0.239	0.5820000000000001	0.399	0.4655	0.232	0.494	0.45
Acer3	3.4015	2.264	3.529	2.753	3.491	4.175	3.3065	3.27	2.9005	3.41
Dock9	3.9339999999999997	3.4530000000000003	5.5855	5.528	5.1185	6.5939999999999985	3.789	5.187	3.2705	4.325
9130409I23Rik	0.013500000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0095	0.0
Cisd3	4.2145	1.1840000000000002	3.4795000000000003	1.325	4.213	2.005	4.1145	5.352	5.2165	4.731
Pola2	10.5295	13.140999999999998	12.25	10.538	13.5395	12.412	13.557	15.805	17.6495	14.695
Optc	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0175	0.0
Npvf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sephs1	6.134	3.922	8.302	5.154	10.9415	8.328	10.9215	9.641	11.4805	9.198
Mir6938	0.0	0.0	0.0	0.0	1.67	1.135	0.0	0.0	1.194	0.0
Creb3l4	0.262	0.0	0.3495	0.0	0.229	0.0	0.1185	0.339	0.2145	0.299
Cers1	0.22200000000000006	0.161	0.34950000000000003	0.384	0.38799999999999996	0.207	0.4235	0.513	0.4935	0.17
Gm4710	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olfr926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Car4	0.115	0.0	0.0	0.0	0.1005	0.109	0.083	0.0	0.0215	0.079
Olfr1426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
St6gal1	34.647	25.758000000000006	31.8135	27.534	20.283	22.412	15.4835	12.694	9.9475	10.979
Bud31	57.28100000000001	49.188	99.83	43.664	127.71	75.718	123.8995	84.76799999999999	124.181	95.2
Brix1	12.509	6.627000000000002	23.087	9.096	43.292	22.854	47.1645	37.435	52.2355	40.386
Ugt1a1	14.6695	20.036	7.6785	17.019000000000002	2.2265	8.54	1.257	1.422	0.472	0.382
Zfp607	3.2815000000000003	3.3080000000000003	3.877	4.461	3.2945	3.776	3.6460000000000004	2.765	3.092	3.248
Fbxo38	20.1515	15.799	23.614	17.539	26.023	23.764	27.4275	25.662	28.043000000000003	25.121
Mir130c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.865	0.446	2.532
Ppp1r14b	20.6105	8.052999999999999	28.8825	9.13	46.9605	23.432	51.754	30.306	56.69150000000001	36.728
Fam65c	0.1885	0.0	0.07850000000000001	0.201	0.006999999999999999	0.0	0.08449999999999999	0.0	0.044000000000000004	0.07
Cxx1c	1.4235	1.315	1.8010000000000002	1.717	0.9075	2.153	0.29500000000000004	1.163	0.34650000000000003	0.487
Ctgf	0.0	0.0	0.0085	0.0	0.0	0.0	0.0	0.0	0.0115	0.0
Bnip1	5.6645	5.091	10.0245	3.87	14.0015	7.252999999999999	14.7125	11.365	17.187	13.33
Kcnh8	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tbx5	0.013	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Krtcap3	4.882	7.302	3.7645	4.143	3.6495	2.8280000000000003	3.5645	2.395	3.44	2.9760000000000004
Tekt2	0.1	0.0	0.128	0.35200000000000004	0.2285	0.142	0.3615	0.431	0.3865	0.484
Cbr2	0.128	0.431	0.0245	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Osbpl7	7.852	7.58	7.3035	7.217	6.38	7.478	5.9915	6.23	6.1015	5.989
4930511A02Rik	0.013500000000000002	0.0	0.0105	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trim3	5.1705000000000005	4.682	3.372	5.559	3.1315	3.599	2.9105	3.274	3.0810000000000004	2.423
Api5	28.916	25.983	40.4605	32.861999999999995	53.1105	42.977	53.7845	56.277	53.5855	58.131
Clybl	2.1825	2.177	1.733	1.534	1.064	1.086	1.6925	0.99	1.0979999999999999	0.375
F10	44.321999999999996	38.082	20.2265	39.879	18.0205	40.186	14.593	21.834	9.573	17.468
Wfdc6a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cd200r2	0.4825	0.501	0.338	1.271	0.605	1.131	0.605	0.8320000000000001	0.325	0.795
Fam20c	5.7959999999999985	6.171	1.713	5.011	2.015	5.415	1.666	1.844	0.9815	1.389
Rdh11	12.638	12.86	18.0375	13.399	20.15	16.908	21.601	19.904	20.993000000000002	21.295
Gm19424	0.0445	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0	0.0
Hbb-bt	2.3655	2.293	0.35700000000000004	1.98	0.574	1.126	1.0539999999999998	0.278	0.7364999999999999	0.41
Pyurf	1.8715	1.268	2.4835000000000003	1.976	2.9955	1.731	2.4215	2.5540000000000003	2.694	2.115
Hormad2	0.3855	0.0	0.2195	0.49	0.5145	0.159	0.4135	0.349	0.37799999999999995	0.231
Itga7	0.7305	0.375	0.2535	0.44	0.0965	0.053	0.0975	0.029	0.0645	0.128
Igsf3	1.5725	1.567	3.1690000000000005	2.572	2.0395000000000003	3.0580000000000003	1.6385	1.054	1.004	1.002
Rpl13a	393.527	218.212	489.6305	200.498	623.7925	401.603	672.9945	497.235	743.5730000000002	529.635
Gm14164	0.0	0.0	0.0	0.425	0.0	0.0	0.0	0.0	0.0	0.0
Gm9573	0.0235	0.0	0.0	0.0	0.01	0.0	0.013500000000000002	0.0	0.0035	0.0
Rnf133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Med30	16.9155	10.949000000000002	15.7205	12.724	20.038	15.132	19.513	18.71	25.947	21.754
Zdhhc8	7.099	5.596	9.244	6.613	9.786	9.002	9.7725	10.598	10.7675	11.416
Tmem214	19.0895	12.88	23.955	15.931	28.618	22.808000000000003	30.9995	26.731	31.4855	27.814
Pnmt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm17365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lgals3	373.72850000000005	343.55300000000005	160.391	268.711	64.9985	171.854	46.4785	47.599	24.293000000000003	37.062
Hoxb1	0.0	0.361	0.0	0.0	0.0	0.0	0.0	0.0	0.0085	0.0
Msx1	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cbfa2t2	4.958	3.864	5.058999999999998	3.298	5.494	5.641	4.918	5.683	5.083	4.677
Xrra1	0.11699999999999999	0.024	0.1545	0.0	0.0295	0.081	0.048	0.133	0.038	0.0
Ndufa10	30.329500000000003	14.992	42.413999999999994	23.122	59.27	43.33	62.9225	54.713	69.42099999999999	63.481
Gm20597	0.018000000000000002	0.0	0.026000000000000002	0.214	0.0215	0.039	0.062	0.0	0.037000000000000005	0.0
Taok1	19.305	24.287	20.393	25.356	16.586	22.35	16.11	19.992	14.610499999999998	18.548
Las1l	15.6025	9.69	25.492	11.405	36.604	25.083	39.5125	32.264	43.489	33.511
4930414N06Rik	0.9365	1.335	2.2145	0.429	2.648	0.927	2.8965	3.631	2.7735000000000003	1.858
Tax1bp3	0.39299999999999996	0.309	0.44	0.0	0.152	0.648	0.2	0.411	0.163	0.436
Olfr214	0.0	0.0	0.0215	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pramel6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olfr984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Obox2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nsun3	5.176500000000001	4.8039999999999985	5.3610000000000015	3.412	6.212999999999999	4.635	6.915	6.296	5.7495	5.257999999999999
Pnpla7	40.813	56.945	22.0685	39.558	9.26	19.031	9.9635	9.468	6.0760000000000005	6.95
Mapk8ip1	0.628	0.768	0.579	0.223	0.29700000000000004	0.289	0.2115	0.199	0.18600000000000003	0.246
Bbs4	2.3070000000000004	3.0610000000000004	3.5525	4.077	4.6485	3.457	4.687	4.16	5.0015	4.591
C630028M04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem260	4.4235000000000015	4.47	4.7775	4.534	5.2395000000000005	5.251	5.4245	4.507	4.288	4.338
Tmem206	25.4685	27.634	23.1595	26.428	18.372	19.783	17.516	15.56	18.04	17.079
Chat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olfr1129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Orai1	77.134	44.122	104.89950000000002	64.077	125.407	107.352	123.125	96.877	128.80200000000002	104.99
Zscan20	2.4115	1.511	2.9305000000000003	1.81	3.554	2.625	3.236	2.9210000000000003	3.575	3.309
