Gene symbol	Tcell-CD69pos-K99A10-22h-ES FPKM	Tcell-CD69pos-K99A100-22h-ES FPKM	Tcell-CD69pos-PCC01-22h-ES FPKM	Tcell-CD69pos-PCC1-22h-ES FPKM
Klhdc9	0.0	0.0	0.0	1.52
Snai2	4.334	28.986	0.0	0.0
Tmem173	0.0	0.0	5.303	10.186
Sac3d1	0.0	0.0	33.842	26.151
D630003M21Rik	0.0	0.0	0.0	0.0
Cfhr1	0.0	0.0	0.0	0.0
Mief1	0.0	4.999	22.796999999999997	17.16
Tmem232	0.0	0.0	0.0	0.0
Tdg	0.0	27.273000000000003	4.7589999999999995	3.074
Nhej1	0.0	0.0	1.064	6.702999999999999
Zer1	0.0	14.777999999999999	12.635	15.427999999999999
Tnks2	87.876	31.802	30.633000000000003	23.574
Commd4	0.0	0.0	13.687000000000001	30.695
Olfr1153	0.0	0.0	0.0	0.0
Olfr878	0.0	0.0	0.0	0.0
Olfr970	0.0	0.0	0.0	0.0
Olfr688	0.0	0.0	0.0	0.0
Nufip1	0.0	15.488	16.976	11.635
D7Ertd443e	0.0	0.0	0.0	0.0
Scara3	0.0	0.0	0.0	0.0
9530036O11Rik	0.0	0.0	0.0	0.0
Gif	0.0	0.0	0.0	0.0
Gck	0.0	0.0	0.0	0.0
Adgrl3	0.0	0.0	0.0	0.0
1700012B09Rik	0.0	0.0	0.0	0.0
Sstr2	0.0	0.0	0.0	0.0
Fzr1	0.0	41.309	19.102999999999998	29.166
Dtna	0.0	0.0	0.0	0.0
Olfr153	0.0	0.0	0.0	0.0
Mup15	0.0	0.0	0.0	0.0
Olfr1378	0.0	0.0	0.0	0.0
Ccdc141	0.0	0.0	0.0	0.247
Cldn6	0.0	0.0	0.0	0.0
Dock10	0.0	50.692	63.674	42.563
Fbxo42	0.0	7.497000000000001	14.29	11.675999999999998
Plin2	0.0	0.0	2.638	3.165
Defb28	0.0	0.0	0.0	0.0
Krtap1-5	0.0	0.0	0.0	0.0
Snora3	0.0	0.0	32.748000000000005	11.754000000000001
Scgb2b7	0.0	0.0	0.0	0.0
Eps8l2	0.0	0.0	0.008	0.098
Ppp1r16b	56.453	103.34100000000001	47.736999999999995	31.281
Syndig1	0.0	0.0	0.0	0.0
Col4a5	0.0	0.0	0.0	0.0
Eef1g	2.5660000000000003	149.97799999999998	161.543	164.736
Puf60	0.0	48.806000000000004	107.325	104.264
Pcdhb15	0.0	0.0	0.0	0.0
Ttc21b	0.0	0.0	0.0	0.809
Pla2g10	0.0	0.0	0.0	0.0
Bcl11b	2.352	53.007	31.695	36.124
Lzts2	0.0	0.0	1.55	0.968
Elavl4	0.0	0.0	0.0	0.0
Atg4a	0.0	0.0	0.0	1.403
Phospho2	0.0	23.783	9.32	6.279
Tigd4	0.0	0.0	0.0	0.0
Ktn1	0.0	6.894	9.843	9.048
Rdh7	0.0	0.0	0.0	0.0
Ttc25	0.0	0.0	0.0	0.0
Adam6a	0.0	0.0	0.0	0.0
Alkbh7	0.0	0.0	9.885	18.85
Krtap3-2	0.0	0.0	0.0	0.0
Prr7	0.0	0.0	12.333	11.24
Ebf4	0.0	0.0	0.0	0.0
Cep57	0.0	0.16	7.9270000000000005	6.856
Casc5	0.0	0.0	0.0	0.061
4933412E24Rik	0.0	0.0	0.0	0.0
Cnot8	0.0	66.122	16.316	22.612
Cdkn1c	0.0	0.0	0.0	0.239
Mir143	0.0	0.0	0.0	0.0
7420700N18Rik	0.0	0.0	0.0	0.0
Snx16	0.0	0.0	1.929	1.672
2310040G24Rik	0.0	0.0	0.0	0.789
Il17rd	0.0	0.0	0.0	0.001
Dnajc25	0.0	0.0	1.574	2.56
Gm20735	0.0	0.0	0.0	1.035
Hist1h2ab	0.0	0.0	0.0	0.0
Snord14d	0.0	0.0	0.0	0.0
Fbxw2	96.09299999999999	13.009	12.124	13.265999999999998
Mir22	0.0	0.0	0.0	3.052
Ampd1	0.0	0.0	0.0	0.08199999999999999
Rexo1	0.138	44.755	46.623000000000005	38.949
Olfr225	0.0	0.0	0.0	0.0
Mbd2	21.45	23.46	24.729	34.313
A330074K22Rik	0.0	0.0	0.0	0.0
Mir337	0.0	0.0	0.0	0.0
9530091C08Rik	0.0	0.0	0.0	0.0
Pex2	0.0	0.0	8.878	6.223
Syt6	0.0	0.0	0.0	0.5429999999999999
Scgb2b3	0.0	0.0	0.0	0.0
Mrpl30	0.0	0.0	61.185	46.192
Kif21b	50.781000000000006	46.038000000000004	38.126	34.683
Six3os1	0.0	0.0	0.0	0.0
Mcts1	0.0	0.039	6.444	14.283
Usp9x	0.031	10.575999999999999	12.636	13.845
A830082K12Rik	0.0	0.0	0.0	0.0
Nop10	0.0	77.39	92.881	97.12100000000001
Pira6	0.0	0.0	0.0	0.135
Manea	0.0	0.0	0.7290000000000001	1.969
Atl1	0.0	0.0	0.0	0.423
Plekhs1	0.0	0.0	0.0	0.086
Irs3	0.0	0.0	0.0	0.0
Sergef	0.0	0.0	0.048	3.52
Gm5643	0.0	46.766999999999996	21.756	14.169
Mir6943	0.0	0.0	18.339000000000002	9.38
Nxph3	0.0	0.0	0.0	0.0
Ndufs8	0.467	0.0	44.961000000000006	64.196
Nfe2	0.0	0.023	2.907	0.27899999999999997
AF067061	0.0	0.0	0.0	0.0
Speer5-ps1	0.0	0.0	0.0	0.0
Ccdc142	0.0	0.0	4.926	3.5239999999999996
Prkx	0.0	52.123000000000005	19.741	18.714000000000002
Mir1897	0.0	0.0	0.0	0.0
Serpina16	0.0	0.0	0.0	0.0
Tbc1d10a	0.0	6.682	43.159	42.15
Slc33a1	0.0	0.0	7.654	8.927
Cldn13	0.0	0.0	0.0	0.0
Capn11	0.0	0.0	0.0	0.8109999999999999
Uba1y	0.0	0.0	0.0	0.0
Krt73	0.0	0.0	0.0	0.0
Crxos	0.0	0.0	0.0	0.0
Nhlrc1	0.0	0.0	10.706	3.971
Nqo1	0.0	0.0	1.871	0.33299999999999996
Fbxw14	0.0	0.0	0.0	0.0
Slfn10-ps	0.0	0.0	5.103	6.704
Hmox1	0.0	0.0	19.578	16.572
Esp31	0.0	0.0	0.0	0.0
Fbrsl1	0.0	12.960999999999999	19.744	16.858
4930417O13Rik	0.0	0.0	24.923000000000002	7.9479999999999995
Trip10	0.0	0.0	2.7319999999999998	4.837
Fbxo28	0.0	0.006999999999999999	12.13	9.016
Becn2	0.0	0.0	0.0	0.0
Bri3bp	0.0	6.3389999999999995	3.1189999999999998	5.073
P3h1	0.0	0.0	6.216	7.1129999999999995
1700016P04Rik	0.0	0.0	0.0	0.0
Ncald	0.0	0.0	0.0	0.067
Mgarp	0.0	0.0	0.0	0.252
2610316D01Rik	0.0	0.0	0.0	0.0
Car7	0.0	0.0	0.0	0.135
Prdx6	0.0	18.438	34.235	31.314
Itgax	0.0	0.0	0.0	0.078
Srgap3	0.0	0.07200000000000001	0.877	0.368
Arhgef26	0.0	0.0	0.0	0.037000000000000005
Apoa1	0.0	0.0	0.0	0.0
Pth2	0.0	0.0	0.0	0.0
Wnt11	0.0	0.0	0.0	0.306
Slc9a8	0.0	35.382	46.805	33.204
Wash1	0.0	21.807	8.439	11.593
Zfp59	0.0	0.0	5.052	1.4140000000000001
Atg3	0.0	0.0	22.752	23.006999999999998
Arl6ip6	0.0	20.840999999999998	15.759	12.434000000000001
Taf1b	0.0	4.484	4.52	8.958
Pcdhb12	0.0	0.0	0.0	0.0
Psg26	0.0	0.0	0.0	0.0
Akap13	0.11599999999999999	68.671	46.133	53.896
Tmsb15b1	0.0	0.0	0.528	0.0
Ncoa3	0.048	38.313	37.702	37.271
2310057J18Rik	0.0	0.0	0.0	0.0
Nxpe5	0.0	0.0	0.0	0.0
Fcho2	0.0	7.996	3.17	4.809
Pirt	0.0	0.0	0.0	0.0
Cdan1	0.0	16.687	5.895	4.546
Prr14l	0.034	18.968	14.645	12.925
Spata4	0.0	0.0	0.0	0.0
Cstl1	0.0	0.0	0.0	0.0
Hrh2	0.0	0.0	1.54	0.073
Gm6994	0.0	0.0	0.0	0.0
1700001P01Rik	0.0	0.0	0.0	1.3519999999999999
Olfr209	0.0	0.0	0.0	0.0
Stk38l	0.0	10.902999999999999	2.287	1.868
Spink8	0.0	0.0	0.0	0.0
Iqcf5	0.0	0.0	0.0	0.0
Atp1a3	0.0	0.0	0.096	0.268
Entpd6	202.87400000000002	42.726000000000006	13.020999999999999	12.205
Calm1	0.08800000000000001	37.116	64.311	81.17
Klra3	0.0	0.0	0.0	0.0
Syncrip	0.107	67.263	44.208999999999996	32.416
Rb1cc1	0.877	0.0	7.1739999999999995	6.017
Gm7325	0.0	0.0	0.0	0.0
Gm5458	0.0	0.0	0.0	0.0
Rasgrp4	0.0	0.0	1.8130000000000002	1.63
3010026O09Rik	0.0	0.0	0.0	1.004
Nlrp14	0.0	0.0	0.0	0.0
Itih2	0.0	0.0	0.0	0.0
Snora41	0.0	0.0	0.0	5.55
Nsun2	0.255	59.056000000000004	80.146	69.851
CK137956	0.0	0.0	0.0	0.0
1700094D03Rik	0.0	0.0	5.31	4.27
Dusp18	0.0	0.0	0.679	0.085
A430035B10Rik	0.0	0.0	0.0	0.124
Gjc3	0.0	0.0	0.0	0.0
Aspn	0.0	0.0	0.0	0.0
Mapkapk3	0.0	99.82	58.286	65.392
AF366264	0.0	0.0	0.0	0.0
Arid5a	0.0	24.022	29.151	31.065
9130209A04Rik	0.0	0.0	0.0	0.0
Olfr568	0.0	0.0	0.0	0.0
Vmn2r86	0.0	0.0	0.0	0.0
Mon1b	0.0	24.883000000000003	13.859000000000002	11.241
Ntrk2	0.0	0.0	0.0	0.0
Pik3c2g	0.0	0.0	0.0	0.0
C330022C24Rik	0.0	0.0	0.0	0.0
Mir666	0.0	0.0	0.0	0.0
4933421O10Rik	0.0	0.28800000000000003	0.03	0.7859999999999999
Ttll7	0.0	0.0	0.0	0.0
Gm5065	0.0	0.0	0.0	0.0
Slc22a8	0.0	0.0	0.0	0.0
Ascl1	0.0	0.0	0.0	0.0
Flot2	0.0	0.0	4.752	8.809
Olfr585	0.0	0.0	0.0	0.0
Olfr1310	0.0	0.0	0.0	0.0
Espn	0.0	0.0	3.697	5.474
Rcan1	0.0	0.0	13.267999999999999	6.2860000000000005
Dab1	0.0	0.0	0.0	0.0
Rnf40	0.0	13.48	40.388000000000005	36.915
Mir879	0.0	0.0	0.0	0.0
Hoxa10	0.0	0.0	0.0	0.0
Fyttd1	2.452	31.247	11.39	11.213
Gm13030	0.0	0.0	0.0	0.0
Olfr512	0.0	0.0	0.0	0.0
Trpd52l3	0.0	0.0	0.0	0.0
4930518P08Rik	0.0	0.0	0.0	0.0
Pcyox1	0.0	12.73	4.132	2.668
Platr20	0.0	0.0	0.0	0.0
Elovl4	0.0	0.0	0.978	0.23199999999999998
Vmn1r163	0.0	0.0	0.0	0.0
Mybl2	0.0	0.0	0.0	1.061
Spata3	0.0	0.0	0.0	0.0
B3gnt9	0.0	0.0	1.2429999999999999	1.492
6430503K07Rik	0.0	0.0	0.0	0.0
Tagln	0.0	0.0	3.818	4.649
Lcmt2	0.0	14.372	6.835	7.7620000000000005
Ankrd42	0.0	0.0	0.0	0.0
Sorl1	0.0	9.527000000000001	3.318	2.742
Atxn7l1	0.0	0.0	14.532	13.689
Jmjd4	125.506	14.22	8.737	6.781000000000001
Cdc25c	0.0	0.0	0.0	0.025
Rpl12	0.0	0.0	3.79	20.831
Lyrm7os	0.0	0.0	0.0	0.0
Hs3st6	0.0	0.0	0.0	0.0
Rpf1	0.0	0.027000000000000003	55.006	66.01899999999999
Hist1h4i	0.0	0.0	0.0	2.451
Vmn1r2	0.0	0.0	0.0	0.0
Klk8	0.0	0.0	3.016	6.391
Tvp23a	0.0	0.0	8.948	10.775
Gm7788	0.0	0.0	0.0	0.0
Mast4	0.0	0.0	3.1010000000000004	2.4530000000000003
Cat	0.0	0.013000000000000001	4.465	8.141
Pgm1	0.0	0.0	3.714	4.3389999999999995
Acot3	0.0	0.0	0.0	0.0
Fpr2	0.0	0.0	0.0	0.35200000000000004
Slc12a7	0.0	20.183	6.782	7.4110000000000005
Ywhae	0.35	212.972	207.774	208.356
Snord52	0.0	0.0	11.462	7.42
Kif5a	0.0	0.008	0.75	0.14300000000000002
Anxa13	0.0	0.0	0.0	0.0
Mgl2	0.0	0.0	0.0	0.0
Bora	0.159	0.0	2.736	4.564
Mir3069	0.0	0.0	0.0	0.0
Cfd	0.0	0.0	0.0	0.0
Mir204	0.0	0.0	0.0	0.0
Tbx3os2	0.0	0.0	0.0	0.0
Scaf8	0.149	49.21	35.659	27.53
Slc15a2	0.0	6.247000000000001	4.742	3.833
Dnm3	0.0	0.0	0.0	0.128
Lypd1	0.0	0.0	0.0	0.0
Piwil2	0.0	12.492	0.37	0.355
Pet100	0.0	0.0	1.255	6.516
Bloc1s1	0.0	0.0	7.037000000000001	13.559000000000001
Tctex1d1	0.0	0.0	0.0	0.0
2810468N07Rik	0.0	0.0	0.0	0.0
1700012D16Rik	0.0	0.0	0.0	0.0
Prune	0.11599999999999999	15.159	6.401	8.128
Rnf135	0.0	0.0	0.0	0.7959999999999999
Platr26	0.0	0.0	0.0	0.0
Lsm12	2.381	121.4	33.66	38.871
Rnf20	2.715	45.613	35.001	31.805999999999997
4931420L22Rik	0.0	0.0	0.0	0.0
Tmem223	0.0	0.0	8.073	10.862
Taf7	0.0	0.0	12.267999999999999	8.663
Ubiad1	0.0	28.592	37.26	27.953000000000003
Dnajc21	0.0	0.51	26.589000000000002	13.907
Olfr631	0.0	0.0	0.0	0.0
Shroom4	0.0	0.0	0.0	0.0
Relb	0.0	167.93900000000002	137.668	104.289
Olfr1344	0.0	0.0	0.0	0.0
Herc2	34.421	20.877	13.594000000000001	12.501
4933433G08Rik	0.0	0.0	0.0	0.0
Sf3b1	90.63	80.48	64.803	81.14
Prl7c1	0.0	0.0	0.0	0.0
Ppp2r2a	0.0	44.563	50.665	34.787
Trmt1	0.17600000000000002	1.641	96.792	79.83800000000001
Vmn1r45	0.0	0.0	0.0	0.0
Dpm1-adnp	86.479	45.867	31.524	28.305
Tceb1	579.885	49.61	40.001999999999995	40.375
Kif1b	0.0	14.584000000000001	5.166	5.712000000000001
Pnoc	0.0	0.0	0.0	0.0
Snhg17	0.115	26.013	27.750999999999998	29.984
Rps19bp1	0.0	31.905	65.182	49.328
1700057H15Rik	0.0	0.0	0.0	0.0
Mir142b	0.0	0.882	0.201	21.183000000000003
Dennd2d	1.617	44.887	42.097	34.946
Nacad	0.0	0.0	5.08	1.442
Olfr1535	0.0	0.0	0.0	0.0
Nicn1	0.0	0.0	1.9909999999999999	2.208
Gm16702	0.0	0.055999999999999994	0.0	0.05
Sfxn1	0.0	0.0	40.135	29.009
Cyp4f37	0.0	0.0	0.0	0.0
Mir3088	0.0	0.0	0.0	0.0
Igflr1	0.0	38.766	3.15	7.452999999999999
Dnajc13	0.0	19.652	21.627	18.986
Cyb5r1	0.22399999999999998	26.307	58.409	66.459
Abca9	0.0	0.0	0.0	0.0
Ubxn10	0.0	0.0	0.0	0.0
Pomt1	0.0	0.0	7.9079999999999995	7.69
Gm3086	0.0	0.0	0.0	0.306
P2rx2	0.0	0.0	0.0	0.124
4930558G05Rik	0.0	0.0	0.0	0.0
Slc5a9	0.0	0.0	0.0	0.0
Sytl4	0.0	0.0	0.0	0.0
Vmn2r-ps129	0.0	0.0	0.0	0.0
Apcs	0.0	0.0	0.0	0.0
AU015836	0.0	0.0	0.0	0.0
Tmppe	0.0	0.0	4.787	3.966
Irf7	0.0	0.019	4.006	1.331
Mir1893	0.0	0.0	140.05700000000002	61.232
1700029F12Rik	0.0	0.0	0.0	0.0
Gm1995	0.0	0.0	0.57	0.091
Tepp	0.0	0.0	0.0	0.0
Mirg	0.0	0.0	0.0	0.0
Ephb2	0.0	0.0	0.002	0.11
4930455G09Rik	0.0	0.0	0.0	0.0
Fam57b	0.0	0.0	0.0	0.0
Olfr6	0.0	0.0	0.0	0.0
Dennd1b	0.0	6.858	5.705	4.508
Ccm2	0.0	15.972999999999999	55.111999999999995	46.263000000000005
Bmp15	0.0	0.0	0.0	0.0
Utp23	0.0	10.214	8.085	8.01
Prss52	0.0	0.0	0.0	0.0
Gm12887	0.0	0.0	0.0	0.0
Mir466b-8	0.0	0.0	0.0	0.0
Vrk1	0.0	0.009000000000000001	7.6160000000000005	9.714
4930404I05Rik	0.0	0.0	0.024	1.631
Kcnma1	0.0	0.0	0.0	0.0
Meox2	0.0	0.0	0.0	0.0
Chmp7	0.0	39.582	16.048	19.13
1700061G19Rik	0.0	0.0	2.444	0.662
Mir1896	0.0	0.0	30.947	24.805999999999997
Cadps2	0.0	0.0	0.0	0.0
4930432K21Rik	0.0	0.0	3.71	3.181
Dtx4	0.0	9.008	0.239	0.99
Gm6607	0.0	0.0	0.0	0.022000000000000002
Ndufb7	0.0	0.0	64.29899999999999	94.439
Zranb3	0.0	0.0	1.1059999999999999	0.547
4921511C10Rik	0.0	0.0	0.0	0.0
Slfn8	0.0	0.0	10.056000000000001	6.74
1700031F05Rik	0.0	0.0	0.0	0.0
Ly6g6c	0.0	0.0	0.0	0.0
4930509K18Rik	0.0	0.0	0.0	0.0
Spag11a	0.0	0.0	0.0	0.0
Olfr543	0.0	0.0	0.895	0.191
Itih5	0.0	0.0	0.11900000000000001	0.21600000000000003
1700125H20Rik	0.0	0.0	0.0	0.0
Rhcg	0.0	0.0	0.0	0.0
Dmd	0.0	0.0	0.0	0.0
Map4k3	0.0	0.040999999999999995	0.428	2.176
Spag16	0.0	0.0	0.0	0.0
4932441J04Rik	0.0	0.0	0.0	0.0
Pde6c	0.0	0.0	0.0	0.0
Rfk	0.0	5.688	17.517	22.991999999999997
Stoml1	287.905	0.0	4.859	6.729
Magea10	0.0	0.0	0.0	0.0
Olfr867	0.0	0.0	0.0	0.0
Kcnj4	0.0	0.0	0.0	0.0
Bin2	0.184	0.529	78.792	84.01899999999999
Ttc41	0.0	0.0	1.641	0.5529999999999999
Sec24b	45.867	5.938	30.781999999999996	25.804000000000002
Mir7057	0.0	0.0	0.0	0.0
Speer4d	0.0	0.0	0.0	0.0
Olfr212	0.0	0.0	0.0	0.0
Myl6b	0.0	0.0	3.697	0.5760000000000001
Olfr1102	0.0	0.0	0.0	0.0
Psme2b	0.34299999999999997	153.691	97.49	201.082
Eno3	0.0	0.0	3.7060000000000004	6.891
Strbp	0.022000000000000002	0.191	5.631	4.311
Slc24a4	0.0	0.0	0.0	0.0
Gm13154	0.0	0.0	0.0	0.004
Prss39	0.0	0.0	0.0	0.039
Hectd1	51.327	29.348000000000003	37.973	33.912
Cabp4	0.0	0.0	0.0	0.218
Amdhd1	0.0	0.0	0.0	0.0
Elac2	0.0	21.235	44.123999999999995	24.386999999999997
Rltpr	0.0	18.676	19.778	27.570999999999998
Rhox3g	0.0	0.0	0.0	0.0
Trpm1	0.0	0.0	0.0	0.0
Egfl6	0.0	0.0	0.0	0.085
Znrd1as	0.0	0.0	6.462000000000001	1.574
Dio2	0.0	0.0	0.0	0.027000000000000003
Fthl17-ps1	0.0	0.0	0.0	0.0
Olfr934	0.0	0.0	0.0	0.0
Ank1	0.0	0.0	0.0	0.0
4632428C04Rik	0.0	0.0	0.0	0.0
Slc25a44	0.0	0.0	25.041	14.86
Mir7031	0.0	0.0	109.245	14.757
Parp11	0.0	35.131	1.124	4.092
Zbtb25	0.0	16.746	5.271	9.249
Sbno2	77.79	1.034	26.228	26.778000000000002
Cacnb3	89.259	83.181	13.909	28.845
Clasp1	0.0	0.102	11.265	12.758
Il12b	0.0	0.0	0.0	1.236
Sox11	0.0	0.0	0.0	0.0
Vmn1r8	0.0	0.0	0.0	0.01
4930402K13Rik	0.0	0.0	0.0	0.0
Hoxa7	0.0	0.0	0.0	0.0
Il20ra	0.0	0.0	0.0	0.0
4933436E23Rik	0.0	0.0	0.0	0.0
Gm2083	0.0	0.0	0.0	0.0
Luzp2	0.0	0.0	0.0	0.0
Tfb2m	0.0	0.0	10.945	3.3339999999999996
Mir185	0.0	0.0	0.0	0.0
Gm10857	0.0	0.0	0.0	0.0
4930564D02Rik	0.0	0.0	0.0	0.0
Acrv1	0.0	0.0	0.0	0.0
Tmem140	220.56400000000002	0.0	1.625	4.333
Foxj3	0.076	4.004	15.025	16.36
Kcng2	0.0	0.0	0.0	0.004
4930473A02Rik	0.0	0.0	4.159	6.584
Mtch2	0.0	44.896	23.486	15.758
Cdk4	0.271	79.48899999999999	129.734	168.60299999999998
2610524H06Rik	0.0	0.0	0.0	6.53
Eif3d	0.0	118.719	215.588	178.528
Pdrg1	450.63300000000004	39.624	54.87	36.08
Tet2	0.04	14.374	6.5360000000000005	7.237
Dopey1	0.0	7.3870000000000005	8.763	5.053
Dpp6	0.0	0.0	0.0	0.0
Dync2h1	0.0	4.317	0.9259999999999999	1.17
Bpifc	0.0	0.0	0.0	0.0
B930092H01Rik	0.0	0.0	0.0	0.0
Rabep2	0.0	31.261	10.835	12.997
Pvrl2	0.0	0.0	0.531	0.0
Ugt2b5	0.0	0.0	0.0	0.0
Tuba3a	0.0	0.0	5.845	3.0010000000000003
Rbsn	0.0	16.315	8.97	11.67
9930021J03Rik	0.0	3.765	7.318	7.4239999999999995
Cdo1	0.0	0.0	0.28600000000000003	1.4909999999999999
Cops7a	0.0	39.137	98.682	65.234
Mir511	0.0	0.0	0.0	0.0
Krtap4-8	0.0	0.0	0.0	0.0
Prss38	0.0	0.0	0.0	0.0
Hist3h2bb-ps	0.0	0.0	0.0	0.0
Ank3	0.0	0.0	0.0	0.0
Clca4a	0.0	0.0	0.0	0.0
B230217C12Rik	0.0	0.0	0.0	0.0
Dnaja2	3.5869999999999997	0.036000000000000004	57.763000000000005	72.334
Larp6	0.0	0.0	0.0	0.0
Def6	0.0	25.549	18.722	53.691
Nox4	0.0	0.0	0.0	0.0
Atp13a4	0.0	0.0	0.0	0.0
Mir6398	0.0	0.0	0.0	0.0
1700024I08Rik	0.0	0.0	0.0	0.0
4933406G16Rik	0.0	0.0	0.0	0.0
Pdzd2	0.0	0.0	0.0	0.213
Pdc	0.0	0.0	0.0	0.0
Ncam1	0.0	0.0	0.0	0.0
Efhd2	0.305	0.0	30.558000000000003	43.878
Pias4	0.0	14.71	22.826999999999998	28.107
Lsm2	0.0	0.467	43.238	60.496
Gm4922	0.0	0.0	0.0	0.0
4930562F07Rik	60.941	0.0	4.949	15.152999999999999
Uba2	0.434	58.578	48.162	51.251000000000005
Gm17727	0.0	0.0	0.0	0.0
Gng7	0.0	0.0	0.0	0.0
Snhg7	12.273	0.0	0.40399999999999997	4.406000000000001
4933411G06Rik	0.0	0.0	0.0	0.0
Gm10635	0.0	0.0	0.0	0.0
Lce1f	0.0	0.0	0.0	0.0
Gm5132	0.0	0.0	0.0	0.0
Tex43	0.0	0.0	0.0	0.214
Dagla	0.0	0.0	0.0	0.0
Cdc20	0.0	0.0	2.639	6.422999999999999
Elp4	0.0	0.40299999999999997	2.8280000000000003	1.95
Crtc1	0.064	0.006	22.385	17.132
Gm2506	0.0	0.0	0.0	0.0
Ranbp2	57.306000000000004	44.293	44.095	42.75899999999999
G630071F17Rik	0.0	0.0	0.0	0.047
C2cd4d	0.0	0.0	2.044	0.0
Cyp2r1	0.0	0.0	0.0	0.413
Vmn1r170	0.0	0.0	0.0	0.0
Qdpr	0.0	0.073	29.859	25.153000000000002
Acadsb	0.0	0.0	1.663	4.51
Adora1	0.0	0.0	0.0	0.0
Efemp2	0.0	0.0	0.9209999999999999	0.527
Olfr523	0.0	0.0	0.0	0.0
Helq	0.0	0.0	6.662000000000001	4.12
Gabrr3	0.0	0.0	0.0	0.0
Zfp185	0.0	0.0	0.0	0.22
Sez6l	0.0	0.0	0.0	0.0
Tyms-ps	0.0	0.0	0.0	0.053
Snora20	0.0	0.0	0.0	0.0
Hotairm1	0.0	0.0	0.0	0.905
Trpm3	0.0	0.0	0.0	0.0
Brd3	118.09	4.33	17.109	16.479
Xiap	19.101	8.968	16.479	11.665
Foxc1	0.0	0.0	0.0	0.027000000000000003
Gzf1	0.0	49.507	24.779	17.867
Cp	0.0	0.0	0.024	0.887
0610040B10Rik	0.0	0.0	0.0	0.9279999999999999
Mir344i	0.0	0.0	0.0	0.0
Cldn19	0.0	0.0	0.0	0.0
2310069G16Rik	0.0	0.0	0.0	0.0
G730013B05Rik	0.0	0.0	0.0	0.0
Ccdc159	0.0	0.0	0.0	0.0
Gm14015	0.0	0.0	0.0	0.0
Pagr1a	0.0	33.842	23.266	31.701
Chchd10	642.6519999999999	113.234	185.433	264.619
A930006K02Rik	0.0	0.0	0.0	0.2
Zfp956	0.0	0.0	8.135	5.233
Acan	0.0	0.0	0.0	0.0
Rslcan18	0.0	0.0	0.578	0.33
Mir7021	0.0	0.0	0.0	6.556
Tomm6	0.0	58.576	28.05	38.992
Ttyh3	97.925	42.835	20.85	19.267
Ube2d2a	0.146	42.492	17.883	23.233
