Gene symbol	CD4TCell-iTreg reads FPKM	CD4TCell-Naive reads FPKM	CD4TCell-Th17 reads FPKM	CD4TCell-Th2 reads FPKM	CD4TCell-Th1 reads FPKM
Mapre3	5.218	1.8630000000000002	4.497	5.48	4.611000000000001
Lmf1	9.924	4.096	9.712	12.790999999999999	12.306
Vmn1r68	0.0	0.0	0.0	0.0	0.0
Elovl4	0.068	0.03	0.039	0.361	0.239
Nudt1	10.398	5.079	13.984000000000002	8.263	11.01
Pet100	10.234	3.625	8.934	7.322	8.976
Nap1l1	14.135	16.526	26.878	48.153999999999996	48.08
Klk1b7-ps	0.078	0.0	0.0	0.0	0.0
Hspd1	13.527999999999999	36.333	24.024	22.305999999999997	30.432
Rdh13	3.7430000000000003	4.352	3.4160000000000004	3.115	3.4819999999999998
Mir93	1.591	1.767	1.3619999999999999	0.632	0.645
B9d2	12.536	5.8389999999999995	14.635	27.666	20.918000000000003
Crybb1	0.04	0.0	0.0	0.0	0.0
Gm10318	0.0	0.0	0.0	0.0	0.0
Hes3	0.0	0.017	0.0	0.0	0.0
Hspa5	58.603	300.125	148.983	190.442	188.56099999999998
Efnb1	1.054	0.633	0.7290000000000001	0.541	0.621
Nrbp2	0.502	0.062	1.36	3.391	4.654
Myo1h	10.824000000000002	6.077000000000001	9.173	5.167999999999999	7.317
Gabrg3	0.021	0.0	0.107	0.033	0.0
Hnrnpc	40.621	54.455	56.523	74.831	68.12899999999999
Apoa1bp	27.318	14.665999999999999	22.587	37.898	37.571
Napa	35.491	29.213	37.042	33.588	33.079
1700028E10Rik	1.123	0.43200000000000005	0.631	0.4	0.462
Herc2	20.721999999999998	25.366	14.402999999999999	7.2170000000000005	8.913
Scgb3a2	0.0	0.0	0.0	0.0	0.0
Gm10536	0.008	0.013999999999999999	0.0	0.013000000000000001	0.0
Olfr521	0.0	0.0	0.0	0.057	0.0
Zmiz1	15.978	27.348000000000003	19.797	46.967	41.583
Atrn	10.296	6.9479999999999995	5.4910000000000005	3.159	3.865
Smc6	35.436	39.434	24.168000000000003	21.572	25.653000000000002
Uso1	22.131999999999998	22.901999999999997	20.272000000000002	20.442999999999998	24.33
Nr1i2	0.0	0.0	0.0	0.023	0.023
Emc9	26.717	9.09	7.127000000000001	7.789	8.081
Cyp2t4	0.5760000000000001	1.085	0.395	0.11	0.187
Fbxo4	2.81	1.869	2.551	2.481	2.904
Sulf1	0.0	0.0	0.0	0.0	0.0
Def6	74.663	59.628	51.757	97.137	77.27600000000001
Zf12	0.0	0.0	0.0	0.0	0.0
Lrpap1	10.0	9.337	10.245	12.038	12.600999999999999
Vmn1r221	0.0	0.0	0.0	0.0	0.0
Tk2	32.116	24.449	12.298	17.592	15.731
Dnaja4	5.752999999999999	5.027	5.1610000000000005	3.47	4.024
Gpr87	0.0	0.0	0.0	0.0	0.0
Hamp2	0.0	0.0	0.0	0.0	0.0
Csf2	1.045	0.239	0.231	0.214	0.8190000000000001
Mir7677	5.244	6.52	3.59	1.6669999999999998	3.398
Gm20917	0.0	0.0	0.0	0.0	0.0
Swt1	6.151	6.372999999999999	6.077000000000001	7.422999999999999	9.151
Arhgap36	0.0	0.0	0.0	0.0	0.0
Nrd1	53.586999999999996	40.334	49.756	57.928999999999995	57.626000000000005
4930511M06Rik	0.0	0.0	0.0	0.0	0.0
Mir6996	1.7309999999999999	1.025	0.0	0.0	0.935
A630066F11Rik	1.742	0.7609999999999999	1.041	0.5710000000000001	0.672
Stk19	13.857000000000001	9.259	12.800999999999998	8.182	9.18
Foxm1	3.815	0.988	19.752	32.6	23.009
Gpr21	0.075	0.054000000000000006	0.052000000000000005	0.024	0.024
Gm7008	0.0	0.0	0.0	0.415	0.0
M6pr	36.3	50.821000000000005	47.275	46.73	46.876999999999995
Idh3a	10.856	13.794	20.292	16.426	19.887999999999998
Creg2	0.042	0.0	0.051	0.0	0.019
Nphs1	0.0	0.0	0.0	0.02	0.01
Nop16	7.816	6.906000000000001	16.671	11.084000000000001	11.332
Capn7	23.674	21.711	19.541	22.482	21.666
Sdr16c6	0.0	0.0	0.0	0.0	0.0
Spryd7	2.406	3.233	1.8659999999999999	2.092	4.331
Grik1	0.0	0.0	0.0	0.015	0.0
Slc29a4	1.496	0.066	0.42700000000000005	0.139	0.32299999999999995
Mtus1	0.083	0.0	0.028999999999999998	0.0	0.0
Chst10	9.827	13.432	3.295	1.026	2.11
Tcf19	7.524	5.307	28.406	37.992	22.256
Aldh1a2	0.0	0.0	0.0	0.0	0.05
2410124H12Rik	0.0	0.0	0.0	0.0	0.0
Lap3	7.1770000000000005	5.473	10.47	15.095	18.725
Lipc	0.0	0.0	0.0	0.0	0.028999999999999998
Capn5	0.6970000000000001	0.121	0.27399999999999997	4.789	6.414
Gm13807	1.208	1.693	0.414	2.347	0.696
Smarcd2	70.737	46.95399999999999	58.817	45.881	48.071000000000005
Nrarp	20.601999999999997	1.601	3.109	1.69	0.5670000000000001
AF357399	4.093999999999999	4.958	1.911	4.732	1.206
Anks6	0.02	0.035	0.201	0.171	0.063
Ubr7	20.58	12.793	27.184	35.855	32.407
Gm10069	0.07	0.207	0.12	0.371	0.37799999999999995
Fsbp	0.121	0.027000000000000003	0.7390000000000001	3.2510000000000003	1.62
Ptges3	6.7829999999999995	18.325	10.94	10.696	11.25
Gm6583	0.107	0.15	0.0	0.073	0.0
Gm14479	0.0	0.0	0.0	0.0	0.0
Kank2	0.107	0.006	0.294	0.47700000000000004	0.672
Tnfrsf13b	12.59	2.7230000000000003	18.369	11.444	8.129
Klhdc8a	0.008	0.0	0.0	0.0	0.0
Gdf2	0.0	0.0	0.0	0.0	0.0
Mgat4b	1.966	1.262	3.782	5.2	4.766
1700021K19Rik	5.292999999999999	5.027	6.365	8.881	8.947000000000001
Mylip	7.239	20.939	3.366	0.9620000000000001	1.98
Anxa13	0.0	0.0	0.0	0.0	0.046
Snai1	0.19699999999999998	0.7190000000000001	0.337	0.174	0.426
Rbks	4.399	2.968	5.078	3.4139999999999997	3.867
Yeats2	9.023	9.291	9.564	9.461	11.975999999999999
Tpbg	0.049	0.0	0.33799999999999997	0.047	0.256
Slc6a19	0.385	0.076	0.147	0.159	0.162
Adk	7.65	10.182	13.898	23.57	10.207
Tac4	0.0	0.149	0.14300000000000002	0.08900000000000001	0.045
Hnrnpr	7.085	11.4	9.586	9.21	6.521
Gkn3	0.0	0.0	0.0	0.0	0.0
Dad1	70.521	83.551	94.854	109.45700000000001	110.286
Capza1	7.718	19.188	12.912	14.432	17.379
Zfp365	0.423	2.068	0.9059999999999999	0.285	0.633
Alg12	9.69	7.642	5.6370000000000005	3.873	4.873
Ppih	1.061	1.829	1.464	2.92	1.4880000000000002
Pde1b	16.387	16.434	6.471	2.747	4.13
Naa40	17.872	10.619000000000002	28.704	33.493	31.807
Zfp808	0.601	0.9890000000000001	0.762	1.044	0.7759999999999999
2310007B03Rik	0.03	0.0	0.0	0.0	0.0
Vimp	24.371	27.204	22.585	31.618000000000002	36.356
1110012L19Rik	6.481	4.207	7.039	6.275	7.0889999999999995
Ugt2b1	0.0	0.0	0.0	0.0	0.0
Coch	0.0	0.069	0.044000000000000004	0.040999999999999995	0.084
Cluap1	16.703	11.16	17.686	10.82	14.258
Leng1	9.08	11.142000000000001	6.979	8.524	7.495
2210409E12Rik	0.0	0.0	0.0	0.0	0.0
Cnr2	4.183	3.667	4.332	5.178	1.949
Mamdc4	1.556	2.8339999999999996	0.6729999999999999	0.9309999999999999	0.765
Rbm39	126.139	141.829	127.78200000000001	136.018	124.79799999999999
Olfr1440	0.0	0.0	0.0	0.0	0.0
Mir6367	79.476	9.107000000000001	89.959	75.38	101.766
Tmem254a	0.016	0.0	0.0	0.0	0.0
Slc9c1	0.0	0.0	0.0	0.0	0.0
Snord99	3.1460000000000004	10.059	4.308	3.0	0.0
Wt1os	0.0	0.0	0.0	0.0	0.0
Cacul1	9.714	11.472999999999999	16.945	12.717	12.469000000000001
Psmb4	86.821	73.508	125.79299999999999	130.612	143.707
Gpc6	0.0	0.0	0.0	0.0	0.0
Myo7b	0.0	0.005	0.0	0.0	0.0
Tm4sf5	0.715	0.032	0.061	1.7619999999999998	1.68
Vmn1r194	0.0	0.0	0.0	0.0	0.0
4930524O08Rik	0.0	0.021	0.0	0.0	0.0
Krt83	0.0	0.0	0.065	0.0	0.0
Trim75	0.027999999999999997	0.0	0.0	0.044000000000000004	0.0
Gas7	0.03	0.009000000000000001	0.017	0.008	0.016
Defb29	0.0	0.0	0.0	0.0	0.0
Vmn2r-ps54	0.035	0.0	0.0	0.0	0.019
Fgd3	41.813	33.791	29.199	10.165	10.888
9130011E15Rik	5.056	3.655	5.205	4.546	5.2989999999999995
Gm5936	0.0	0.0	0.0	0.0	0.0
Fancf	2.3169999999999997	1.821	4.984	5.931	6.478
Nfya	22.473000000000003	19.559	17.905	26.689	18.655
Ctnnbl1	17.426	15.408	15.787	15.876	16.142
4921511C10Rik	0.071	0.23199999999999998	0.0	0.0	0.192
Lrrn4cl	0.067	0.191	0.115	0.043	0.043
Lyar	11.507	15.748	19.195999999999998	15.931	17.296
Rfc4	4.776	3.373	16.3	33.196	23.073
Gm13752	0.0	0.0	0.023	0.0	0.0
Reg3d	0.0	0.0	0.0	0.0	0.0
Ascc2	12.957	16.195999999999998	23.164	22.105	27.570999999999998
Sphk1	0.057999999999999996	0.0	0.297	0.39799999999999996	0.187
Rab33b	12.295	14.385	3.5869999999999997	3.2039999999999997	4.35
Abcd1	18.852	11.373	11.957	15.905999999999999	19.094
Hist1h2bh	0.0	0.11800000000000001	0.228	0.0	0.10800000000000001
Vmn1r214	0.0	0.055999999999999994	0.0	0.05	0.0
Mtif3	11.384	6.357	9.641	6.705	7.405
Rpl7l1	16.206	13.007	23.951999999999998	15.568	15.675999999999998
Pygl	0.099	0.011000000000000001	2.053	16.213	16.668
Pla2g10	0.073	0.043	0.042	0.0	0.04
Nipal2	0.0	0.0	0.016	0.0	0.0
Rundc3b	1.72	5.0680000000000005	2.96	3.6489999999999996	4.225
Scrg1	0.0	0.0	0.085	0.0	0.081
Gm6756	0.018000000000000002	0.0	0.0	0.028999999999999998	0.0
4930548J01Rik	0.0	0.0	0.0	0.076	0.0
4930591A17Rik	0.0	0.042	0.0	0.0	0.077
Tbc1d22a	15.162	8.387	13.64	13.829	18.023
Lphn1	24.104	23.805	17.708	14.616	12.159
Plekha6	0.034	0.409	0.084	0.11699999999999999	0.278
Echdc1	6.42	8.066	9.941	14.847000000000001	16.872
Pigs	20.271	19.928	19.42	26.392	22.598000000000003
Ciart	1.3230000000000002	9.219	3.332	5.949	3.477
Smpx	0.0	0.0	0.0	0.0	0.0
Clcf1	88.931	51.38	28.928	13.667	16.278
Ankrd12	22.006	12.499	15.404000000000002	5.08	5.891
Zfp36l2	103.51799999999999	329.793	78.194	93.148	51.88
Bmper	0.0	0.0	0.016	0.028999999999999998	0.015
Ech1	54.928000000000004	32.403	72.078	105.324	116.48200000000001
Mir135b	0.0	0.0	0.0	0.0	0.0
Casp8ap2	6.742999999999999	10.440999999999999	13.172	12.592	10.642999999999999
L3mbtl1	0.026000000000000002	0.034	0.066	0.040999999999999995	0.021
Sash1	0.028999999999999998	0.026000000000000002	0.017	0.038	0.055
Tcstv1	0.079	0.0	0.0	0.0	0.0
Olfr568	0.07400000000000001	0.0	0.0	0.0	0.0
Cryga	0.0	0.0	0.0	0.0	0.0
BB283400	0.0	0.0	0.125	0.078	0.11900000000000001
P4htm	3.117	2.272	2.272	2.201	2.7430000000000003
Adck4	10.002	6.21	7.632999999999999	13.872	16.128
Bcar3	1.169	0.019	0.649	0.017	0.051
Plekhf1	0.134	0.04	8.877	4.776	0.361
Kcnmb1	0.099	0.096	0.013999999999999999	0.71	0.174
4930487D11Rik	0.0	0.091	0.175	0.0	0.0
Qprt	11.652999999999999	11.794	10.595	7.159	8.522
Serpinb3a	0.0	0.0	0.0	0.0	0.0
4930448F12Rik	0.0	0.0	0.0	0.0	0.0
Ipp	5.881	3.72	9.052999999999999	12.14	10.245999999999999
Rnf121	9.748	9.573	12.152999999999999	9.571	12.035
Mmp12	0.0	0.0	0.033	0.015	0.0
Vipas39	19.172	10.444	20.680999999999997	10.046	14.591
Errfi1	1.298	4.715	2.498	10.884	7.223
Tgm6	0.0	0.0	0.0	0.0	0.0
Hnrnpa1	12.732000000000001	38.766999999999996	8.843	11.479000000000001	11.446
Kit	0.5920000000000001	0.06	0.703	0.064	0.294
Ninl	0.034	0.024	0.865	0.586	0.48700000000000004
Stac	0.0	0.0	0.0	0.0	0.0
Phactr3	0.0	0.006999999999999999	0.013000000000000001	0.0	0.012
Rpp21	28.011	26.435	23.793000000000003	23.989	29.346
Pex11a	0.9109999999999999	0.317	1.0170000000000001	1.699	1.347
4930405A21Rik	0.14	0.031	0.179	0.111	0.45299999999999996
Mboat2	0.09	0.0	3.303	10.081	6.817
Zfp735	0.0	0.0	0.0	0.0	0.0
Dntt	4.526	2.944	7.229	23.666	52.885
Rpia	14.269	11.852	13.692	23.302	22.322
Gm8883	0.0	0.0	0.0	0.0	0.0
4930527F14Rik	0.048	0.0	0.0	0.0	0.0
BC023829	7.897	7.525	7.955	6.1370000000000005	7.162000000000001
4932416K20Rik	0.0	0.0	0.0	0.0	0.032
Lypd6b	3.8680000000000003	11.224	0.782	1.2830000000000001	2.738
Slc22a4	0.0	0.0	0.0	0.0	0.0
Rpp25l	19.44	9.571	18.163	14.888	12.894
N4bp2l2	8.323	8.508	8.932	10.794	9.242
Olfr770	0.0	0.0	0.0	0.0	0.06
LOC100504039	0.0	0.0	0.0	0.0	0.0
H2-DMb1	1.7630000000000001	0.096	0.65	4.44	1.187
Sh3d21	0.735	0.392	0.5660000000000001	3.533	3.512
Wnt16	0.042	0.37	0.071	0.0	0.034
Ccdc88c	60.723	62.953	23.819000000000003	27.143	18.82
Ddx54	25.171999999999997	29.951	27.34	24.133000000000003	27.686
Fam150b	0.023	0.0	0.039	0.0	0.149
Gpx6	0.0	0.0	0.0	0.0	0.0
Muc1	0.062	0.165	0.902	0.098	0.35100000000000003
Dennd4b	28.83	28.416	26.955	26.529	28.625
Kcnc3	0.096	0.012	0.364	0.6859999999999999	0.755
Cdkn3	2.041	0.282	9.705	18.456	17.344
Olfr77	0.0	0.0	0.0	0.0	0.0
Fam46a	10.277999999999999	5.577000000000001	2.013	14.578	3.728
Il20	0.0	0.0	0.073	0.067	0.0
Tmem232	0.0	0.0	0.0	0.0	0.0
Tpra1	28.794	18.137999999999998	23.272	15.395999999999999	16.004
Elp4	2.224	1.43	8.346	2.531	3.258
Cmtm2a	0.0	0.0	0.0	0.0	0.0
C130074G19Rik	0.0	0.0	0.0	0.0	0.0
Vcam1	0.102	0.018000000000000002	0.017	0.0	0.0
Rnf17	0.027000000000000003	0.042	0.035	0.043	0.132
Capn10	3.639	3.0060000000000002	3.8280000000000003	3.9189999999999996	4.877
Parp1	32.726	21.974	55.361000000000004	41.42100000000001	46.148999999999994
Snrpd2	29.379	30.737	43.174	64.00399999999999	56.772
Gpr68	27.641	1.909	73.711	38.929	23.565
1700092K14Rik	0.0	0.0	0.0	0.0	0.0
Scaper	6.082000000000001	5.501	5.647	7.466	8.169
Ifi205	0.0	0.019	0.0	0.0	0.0
Pax6	0.012	0.0	0.36	0.079	0.04
Rars2	10.111	7.33	10.307	8.914	8.571
Cntn1	0.0	0.011000000000000001	0.01	0.0	0.01
Ifitm3	0.054000000000000006	0.8109999999999999	0.644	0.256	3.57
Olfr720	0.0	0.032	0.0	0.0	0.0
Popdc3	0.0	0.0	0.064	0.03	0.0
Cd109	0.0	0.005	0.03	0.047	0.087
Trmt44	3.7260000000000004	1.9969999999999999	3.378	1.59	1.7990000000000002
Ifrd2	4.947	10.319	12.745999999999999	8.897	8.471
Klf8	0.265	0.449	0.946	0.371	0.9079999999999999
Stt3a	33.279	22.998	54.793	88.603	84.165
Pfkfb2	6.039	5.87	2.8280000000000003	3.2769999999999997	2.7239999999999998
Arfgap3	5.205	1.501	8.476	13.392000000000001	15.55
Sept7	60.393	63.81100000000001	109.43	108.131	114.85
Sgsh	13.125	8.308	9.722000000000001	3.302	2.535
Ncbp2	13.582	8.277999999999999	18.434	11.077	11.265
Stx5a	55.95399999999999	34.05	43.147	43.608000000000004	47.25899999999999
Taok2	29.123	25.635	18.152	20.046	18.323
Ppfia4	0.034	0.071	1.158	0.34600000000000003	1.0959999999999999
Hdhd3	0.096	0.057	1.4269999999999998	1.173	1.715
Entpd2	0.0	0.0	0.092	1.656	2.125
Tnf	2.92	8.261000000000001	5.48	14.405	17.839000000000002
Rapgef2	4.743	8.876	3.182	2.254	3.072
Krtap16-1	0.0	0.0	0.0	0.0	0.09300000000000001
Tmem47	0.034	0.0	0.028999999999999998	0.013000000000000001	0.027999999999999997
Mageh1	0.0	0.0	0.085	0.0	0.04
Dus1l	26.529	19.858	22.250999999999998	14.413	16.233
Gje1	0.0	0.0	0.0	0.037000000000000005	0.038
Vmn1r125	0.0	0.0	0.0	0.0	0.0
Capn15	12.107000000000001	11.466	10.235	4.685	6.042000000000001
Arl6	0.489	0.083	2.153	1.148	1.547
Ovca2	13.619000000000002	7.655	13.991	6.547000000000001	7.7589999999999995
Carf	2.251	1.7069999999999999	3.1430000000000002	2.563	2.645
Nup210l	0.515	0.632	0.63	0.28300000000000003	0.308
Pde4a	8.391	0.23199999999999998	1.022	2.931	1.536
Olfr131	0.0	0.0	0.0	0.0	0.0
Ptpn9	6.561	3.7960000000000003	11.054	16.158	16.874000000000002
Esp4	0.0	0.0	0.0	0.0	0.0
Rmdn2	0.774	0.292	1.656	0.092	0.313
Mir293	0.0	0.0	0.0	0.0	0.0
Slc15a3	1.5859999999999999	0.079	2.588	1.743	0.985
Pou3f3	0.0	0.0	0.0	0.0	0.0
Kcnj1	0.0	0.0	0.019	0.0	0.0
Ndufa8	45.659	24.531	46.229	51.255	49.419
Olfr1497	0.0	0.0	0.0	0.0	0.0
Gm3383	0.0	0.0	0.0	0.0	0.0
Upb1	0.034	0.040999999999999995	0.508	0.054000000000000006	0.09300000000000001
Prcc	26.551	22.691999999999997	28.721999999999998	28.903000000000002	28.175
Car14	1.095	0.591	1.139	1.604	2.122
Nkain3	0.0	0.0	0.0	0.019	0.0
Jkamp	11.649000000000001	6.119	7.082000000000001	5.1370000000000005	6.013
Txk	24.44	44.582	37.726	7.779	31.539
Htr4	0.0	0.0	0.0	0.0	0.0
Mir16-1	0.0	0.0	1.932	1.794	1.219
Olfr1253	0.0	0.0	0.0	0.0	0.059000000000000004
Atp6v0e2	0.019	0.067	0.065	0.06	0.031
2810029C07Rik	0.621	0.299	0.5770000000000001	0.31	0.7759999999999999
Arhgap6	0.017	0.008	0.08800000000000001	0.054000000000000006	0.042
Mir184	0.0	0.0	0.0	0.0	0.0
Rasgrp1	144.39600000000002	97.796	15.375	84.706	44.598
Cndp1	0.0	0.0	0.0	0.0	0.02
Armcx2	2.975	8.021	8.165	10.647	21.101999999999997
Mchr1	0.0	0.0	0.0	0.025	0.0
Spi1	0.33899999999999997	0.11599999999999999	0.0	0.0	0.0
Ccdc12	22.633000000000003	22.788	13.716	10.636	12.499
Taf5	4.181	5.229	8.964	8.425	10.455
Klhl31	0.022000000000000002	0.0	0.009000000000000001	0.009000000000000001	0.036000000000000004
Ccdc124	25.843000000000004	16.933	29.621	26.346999999999998	25.06
Zfp276	11.549000000000001	9.833	7.99	4.625	5.695
Olfr476	0.0	0.0	0.064	0.0	0.0
Nfkbia	56.398999999999994	174.954	33.599000000000004	54.902	38.585
Gm15471	3.5269999999999997	2.79	2.17	2.978	2.411
Gm12	0.0	0.0	0.0	0.0	0.062
Tescl	0.0	0.035	0.0	0.125	0.0
Olfr1260	0.0	0.0	0.0	0.0	0.0
Slc9b1	0.016	0.055	0.266	0.12300000000000001	0.126
Lpar6	40.1	12.095	38.092	0.87	1.8880000000000001
Isl1	0.0	0.0	0.0	0.0	0.0
Gm15816	0.0	0.018000000000000002	0.035	0.0	0.0
Lyrm2	14.497	8.56	10.775	6.642	8.76
Sept11	4.302	7.746	19.292	33.273	32.897
Gm10012	0.09300000000000001	0.414	0.0	0.297	0.45299999999999996
BC017158	9.82	7.622000000000001	9.072000000000001	7.547000000000001	6.297999999999999
4930415F15Rik	0.23199999999999998	0.33	0.159	0.14800000000000002	0.075
Gm3285	0.0	0.0	0.0	0.0	0.0
Slc25a43	0.035	0.154	0.11900000000000001	0.166	0.11199999999999999
Amt	2.897	0.9590000000000001	1.037	3.056	3.073
Spata5	4.648	7.182	11.627	12.357000000000001	10.714
9030617O03Rik	6.44	3.825	3.557	8.9	8.671
LOC100048884	0.039	0.0	0.067	0.0	0.0
Olfr1143	0.0	0.0	0.0	0.0	0.0
As3mt	0.37799999999999995	2.105	2.795	1.7409999999999999	3.71
AW822252	0.064	0.0	0.055	0.051	0.052000000000000005
Lce3a	0.0	0.0	0.0	0.0	0.0
Opn5	0.0	0.034	0.0	0.0	0.0
Crlf1	0.0	0.0	0.036000000000000004	0.034	0.13699999999999998
Ces2a	0.0	0.0	0.0	0.0	0.0
Osmr	0.013999999999999999	0.0	0.025	0.0	0.012
Cyb561	0.084	0.075	0.24	0.35700000000000004	0.659
Ssbp4	48.849	39.203	61.193999999999996	40.084	35.431999999999995
Nudt16	19.564	7.007999999999999	12.84	13.022	15.165999999999999
Ssb	64.419	65.018	108.382	85.318	81.578
G6pc2	0.0	0.0	0.0	0.0	0.0
Mir7662	0.0	0.0	0.0	0.0	0.0
Pds5b	12.405	12.936	17.452	16.749000000000002	15.663
Mul1	5.5360000000000005	3.6210000000000004	6.694	4.296	4.485
Ciz1	31.772	35.324	30.156	31.636999999999997	28.99
Gnpda1	18.476	5.367000000000001	17.971	22.233	15.273
Ly6g6f	0.0	0.0	0.11199999999999999	0.0	0.053
Srp19	29.592	22.248	30.541	36.27	40.846
Olfr830	0.0	0.0	0.0	0.0	0.0
Acer2	1.5090000000000001	2.358	0.96	2.7119999999999997	1.964
Syt4	0.0	0.0	0.0	0.0	0.0
Abca13	0.004	0.0	0.011000000000000001	0.0	0.0
Mir7655	0.0	0.539	0.0	0.0	0.0
Olfr1412	0.0	0.0	0.0	0.0	0.0
Stxbp5l	0.003	0.0	0.01	0.009000000000000001	0.0
Urb1	5.372999999999999	9.225	4.489	2.591	2.7560000000000002
Gm10081	0.0	0.0	0.0	0.0	0.0
Il21r	53.556000000000004	70.58	87.447	63.376000000000005	106.102
Mir3085	0.0	0.0	0.6729999999999999	0.0	0.637
Tpmt	0.5379999999999999	0.307	0.745	2.217	3.38
Mir7020	1.505	0.445	0.8590000000000001	0.797	0.813
Olfr419	0.0	0.0	0.0	0.0	0.0
Tmem243	12.172	17.014	11.413	10.765999999999998	22.464000000000002
Nr1h4	0.0	0.0	0.0	0.0	0.0
Slc7a9	0.0	0.0	0.035	0.0	0.033
Mpnd	19.975	24.476	26.145	43.507	47.891999999999996
Kbtbd7	2.784	3.702	1.99	1.325	0.9670000000000001
Trim6	0.018000000000000002	0.0	0.09300000000000001	0.086	0.309
Mir7035	0.0	0.379	0.0	0.679	2.077
Smad6	1.074	0.0	0.36	0.35200000000000004	0.265
Otud1	6.4670000000000005	34.071	4.198	5.771	4.329
Ptpn13	0.341	0.19	0.396	1.062	0.525
Il17c	0.479	0.473	0.091	0.16899999999999998	0.0
Serpina12	0.0	0.0	0.0	0.0	0.0
Olfr1419	0.0	0.0	0.0	0.0	0.0
