Gene symbol	mouse_spleen_and_lymph_nodes_Th0_cells	mouse_spleen_and_lymph_nodes_Th17_cells	mouse_spleen_and_lymph_nodes_exFoxp3Th17_cells	mouse_spleen_and_lymph_nodesTreg_cells
Armcx2	61.8553	169.31799999999998	157.632	81.8288
Gm13430 /// Sumo2	5850.04	5009.8	5788.1	5150.29
Sumo2	3430.53	3360.0	3470.72	3358.41
Vps35	1097.13	1231.01	1377.04	1075.86
Vps35	40.8338	45.408	62.9042	46.1656
Cct8	1014.73	1437.4	1033.77	1335.94
Pgc	10.3986	0.5682590000000001	5.20788	2.1303400000000003
Ganab	175.044	192.78900000000002	130.351	199.359
Ublcp1	155.52700000000002	272.585	199.998	280.551
LOC100045709 /// Ublcp1	33.824	110.62	53.8493	93.0928
Ublcp1	58.7765	128.409	78.6847	117.398
Rnf34	288.262	272.297	312.249	278.575
Rbck1	257.60400000000004	209.083	188.515	191.925
Pnpo	92.4643	93.3029	177.084	60.5147
Spin1	390.17900000000003	623.906	940.132	588.9590000000001
Spin1	42.4904	75.9191	97.1422	69.7475
Dazap2	2126.11	1898.93	2177.3	1946.4
Ddr1	24.6496	28.7025	12.6573	2.38604
Ddr1	5.0807199999999995	15.9544	1.9383599999999999	7.992439999999999
Wbp11	414.81	492.98400000000004	400.819	494.82
Gja1	3.2145	325.825	141.142	21.0971
Gja1	12.8485	12.9893	4.17635	6.3688199999999995
Slc16a1	509.39099999999996	859.8380000000001	414.968	778.696
Cx3cl1	6.30203	6.02646	9.850060000000001	6.10796
Cx3cl1	9.74817	1.19131	1.54035	2.28923
Clps	0.89645	3.2880599999999998	1.1725299999999999	0.636221
Plat	12.5421	1.2692700000000001	3.10541	7.614510000000001
Srsf2	340.81300000000005	430.61	197.61700000000002	502.352
Tpbpa	0.772753	0.9112979999999999	2.3877599999999997	1.09639
Tpbpa	5.19806	2.32626	5.61572	2.5863400000000003
Uhrf1	855.1669999999999	549.151	149.82	1016.47
Uhrf1	105.887	61.9277	20.7116	119.963
Gsn	316.369	176.601	172.502	199.44099999999997
Api5	387.457	487.03	379.606	474.251
Atp6v1b2	141.649	165.449	254.785	153.969
Trim27	1.21997	5.22772	1.7225099999999998	1.52949
Cct7	1835.32	1894.02	1540.72	1976.72
Cct7	782.383	762.056	557.251	821.561
Anxa6	207.26	83.0588	62.5465	206.15099999999998
Ppp2r1a	126.96	144.355	131.251	133.18200000000002
Nono	1200.62	1210.82	1226.32	1336.94
Nptn	445.157	812.459	905.2689999999999	717.2260000000001
Scd2	3991.95	4218.63	2295.49	3966.28
Scd2	185.481	356.023	114.551	274.454
Scd2	54.9115	59.2491	13.9336	70.0952
Csnk1d	219.735	195.365	356.346	184.892
Atp6v1h	416.408	588.034	441.721	435.86199999999997
Serp1	765.182	807.941	945.057	950.5889999999999
Serp1	395.32	564.637	392.76	617.895
Lbr	4047.06	2546.24	1950.71	3792.66
Orc5	339.913	336.839	325.827	248.553
Psmd2	660.062	729.237	645.784	827.816
Agtr2	0.429634	0.348387	0.602965	0.172368
Rps29	6278.05	5002.38	6341.76	5321.34
Dusp6	661.185	192.99200000000002	127.292	263.319
Prl3b1	6.26337	2.02675	2.7132400000000003	8.990219999999999
Aldh18a1	31.7358	46.9722	29.0927	49.9325
Klk1	0.803344	0.22116599999999997	7.95144	2.49532
Serinc1	479.08	907.2489999999999	898.461	652.747
Npm1	5373.47	5312.34	5697.46	4885.84
Elovl5	2114.43	802.957	1458.72	1692.71
Dync1i2	489.775	606.434	731.804	573.121
Mlst8	55.5478	31.25	35.3089	32.372
Mlst8	21.9953	22.5301	16.3219	16.5841
Syt4	0.430625	5.04296	1.81299	0.343148
Syt4	5.355980000000001	4.65826	3.15735	1.33685
Ldhc	0.448371	0.187469	0.283775	0.15437
Ldhc	3.2563299999999997	1.7429599999999998	1.1379299999999999	0.9665790000000001
Prl3d1	12.2406	1.53193	8.40811	9.74859
Stmn1	5052.97	2694.95	2702.36	3899.14
Rasa3	1293.36	466.086	813.579	805.0089999999999
Impdh2	2259.76	2292.35	1485.43	2216.2
Impdh2	1339.93	1342.45	953.84	1298.15
Def8	17.2743	31.035	19.9087	17.8413
Kitl	2.05983	0.8104560000000001	4.75605	3.22435
Kitl	5.57808	0.7542409999999999	7.50355	0.9031399999999999
Emb	708.128	1184.42	2013.56	272.461
Emb	1442.29	2372.35	3244.77	575.456
Eif3c	1177.35	1477.03	1188.5	1323.89
Eif3c	960.725	1255.77	1396.07	1409.91
Kpna2	2407.63	2126.89	1230.57	2646.93
Tyrp1	3.37152	0.559533	0.500605	1.05154
Tyrp1	3.8602300000000005	5.4439	4.29378	4.536519999999999
Eif4g2	2028.99	2269.67	2253.11	2256.17
Bpgm	72.7513	103.397	179.748	51.4774
Bpgm	102.14200000000001	121.697	279.86	80.3621
Unc45a	53.5348	52.2937	66.251	51.0367
Cct4	2280.42	2258.97	2907.33	2071.06
Cct4	6.4596	4.11247	3.7398800000000003	5.5460199999999995
Trim28	408.80800000000005	309.561	323.034	363.12800000000004
Calu	343.88	389.46	277.063	367.85
Tgfbi	0.711594	16.213	111.866	1.85053
Hnrnph1	1724.78	1863.77	2167.35	1933.18
Actr1a	346.664	296.506	395.714	300.096
Spry1	62.7306	28.2678	21.0934	56.0162
3010003L21Rik	10.2493	12.3392	6.66365	11.1618
Rps26	4451.38	3609.75	4600.72	3784.1
Dpysl3	6.94459	1.8160599999999998	8.2386	5.88965
Rrm1	1120.87	933.686	349.395	1455.97
Rplp2	7893.96	6013.4	7721.91	6367.45
Lamp1	873.677	1042.87	857.9860000000001	788.668
Ghitm	530.725	800.273	706.345	504.816
Ghitm	989.715	1540.14	1153.41	1130.94
Cela3b	0.342225	0.607164	0.360175	0.8024100000000001
Cela3b	8.21781	9.33319	11.537	11.7905
Chgb	8.28237	5.0635	6.45737	5.50097
Sh2d3c	176.28	46.7218	63.7449	67.6463
Tfg	380.88699999999994	525.145	363.48400000000004	403.4
Hdgf	868.576	663.337	432.01199999999994	787.337
Hsp90b1	1842.48	2060.94	625.21	2634.25
Papss1	252.571	313.086	250.498	239.722
Suclg1	808.456	784.9580000000001	810.745	683.566
Sgpl1	78.2341	87.9782	116.208	52.368
Sgpl1	0.7636539999999999	8.21641	9.649469999999999	4.16898
Enpp2	9.47405	77.1025	32.2728	9.93919
Snrpn /// Snurf	197.90099999999998	81.8089	84.3842	135.166
Snrpn /// Snurf	15.0123	6.95035	11.5675	12.5651
Mgst1	8.03696	1.8856	3.8122199999999995	4.24254
Mgst1	4.13972	0.790334	0.5690810000000001	4.08743
Junb	45.4287	271.028	185.115	144.494
Kit	2.0817099999999997	5.62942	14.7244	1.25178
Plod3	33.88	77.025	46.001000000000005	53.4086
Aldh7a1	0.739915	0.495226	1.10815	0.35372
Slc38a1	204.06799999999998	139.672	158.248	140.48
Lpl	0.5208109999999999	0.38116	4.6029800000000005	0.7197359999999999
Reg1	6.887010000000001	5.13785	3.31671	4.07101
Tmsb4x	9009.89	6698.93	7850.43	7813.23
Ccnd3	591.99	655.413	168.47099999999998	902.972
Tspyl1	403.751	358.32599999999996	404.87	403.001
Stip1	194.15599999999998	249.69400000000002	107.176	242.092
Ciapin1	142.046	243.21099999999998	155.501	183.31599999999997
Impact	100.23200000000001	92.4799	87.1668	84.6561
Rps13	3970.01	3409.58	3605.38	3138.14
Gm12270 /// Rps13	39.2892	41.8483	25.8273	15.8511
Hnrnpab	2578.7	2476.02	1667.48	3206.14
Ddx1	515.5409999999999	810.352	536.227	676.5219999999999
Mthfd1	229.458	277.728	127.971	316.624
Mthfd1	84.251	83.5501	38.7407	137.879
Tpi1	2926.09	3891.94	690.35	3859.91
Npdc1	9.86385	17.8147	18.5484	17.9502
Cstf2t	807.717	645.7090000000001	708.155	634.216
Tnfrsf19	8.94417	1.85307	8.78877	1.7921
Marcksl1	62.7004	127.081	154.66899999999998	110.057
Ndn	0.757201	5.5109900000000005	4.45772	1.2336799999999999
Tnp1	3.97451	0.428608	0.654708	3.46521
Nup62	447.829	458.26	222.924	538.366
Nup62	371.101	388.05	210.65200000000002	481.985
Actc1	4.502269999999999	7.465269999999999	6.15603	11.2776
Map1lc3b	1330.2	1148.43	1939.67	1023.27
Map1lc3b	406.293	376.899	855.285	345.454
Map1lc3b	1829.67	1804.01	2050.26	1729.03
Igf2	3.94648	2.17125	9.363	2.59259
Atp9a	21.7447	56.6159	24.6707	29.028000000000002
Cox5a	3977.17	4148.24	3328.35	4460.92
Cops8	256.775	276.839	258.945	238.89
Smoc2	0.723885	0.182474	0.39250100000000004	0.18829
Bcar3	0.425918	6.93116	149.645	4.50407
Pdcd6ip	84.0999	89.0172	124.66799999999999	78.5673
Spink3	6.51166	1.26473	3.27074	3.00799
Fmod	7.585319999999999	1.89473	0.346543	0.5027590000000001
Zfand2a	109.553	136.994	130.493	153.02700000000002
Zfand2a	91.3848	99.5937	79.9907	114.26899999999999
Rpl10	5206.88	4750.42	5663.44	4502.92
Sdc1	6.982810000000001	7.9224	22.6599	7.59036
Sdc1	1.2848	1.1152799999999998	11.0146	1.2962
Mcm5	396.371	228.273	62.7478	419.05199999999996
Pigq	139.90200000000002	117.49	103.971	146.605
Creg1	305.714	155.506	179.476	168.55599999999998
Creg1	127.9	34.0704	95.5956	53.9324
Cpe	76.6369	138.692	525.646	467.30800000000005
Pebp1	854.6410000000001	1093.7	992.75	926.76
Fkbp10	0.946061	0.503638	0.454808	1.06018
Mark2	244.082	76.3661	115.02600000000001	133.684
Mark2	25.3811	44.1925	34.6295	41.1644
Try4 /// Try5	0.590537	0.74115	1.17001	0.822466
Prm1	16.0686	11.3417	7.607660000000001	2.4397900000000003
Cdk16	21.1226	40.8339	23.4916	11.3579
Rrp1	203.11900000000003	259.671	193.388	213.25599999999997
Slc2a4	5.40728	1.9948700000000001	4.45541	4.56076
Slc2a4	0.8967069999999999	1.17462	0.7067869999999999	6.26736
Mpo	3.1374299999999997	3.46239	2.0981	4.82247
Itm2c	643.095	673.605	909.398	705.3810000000001
Eif3h	3232.06	2809.66	3706.77	2464.76
Hnrnph2	1008.2	1082.76	901.92	1131.75
Scd1	355.894	575.865	80.9394	679.315
Scd1	77.441	149.158	20.4947	169.34900000000002
Ndufv1	808.3560000000001	705.323	658.2239999999999	781.1139999999999
Ndufv1	507.32099999999997	501.61199999999997	421.01300000000003	504.77099999999996
Kap	18.9937	7.81606	18.3336	20.3063
Kap	6.33734	3.57114	0.602481	2.32029
Cox6c	3816.03	3230.64	3347.21	3335.54
Marcks	20.9206	127.083	772.225	40.6751
Marcks	9.71118	48.3565	290.685	11.8372
Marcks	7.66843	53.7649	537.988	15.9926
Map2k2	335.541	264.116	294.298	275.28
Carhsp1	115.97	68.2734	56.361999999999995	142.22799999999998
Carhsp1	118.10799999999999	49.1669	26.8084	149.227
Isyna1	84.0039	64.5734	42.8506	73.6893
Tubb3	3.42244	5.428319999999999	16.857	5.3425400000000005
Rpl7	6137.11	5431.9	6547.7	5248.36
Atp5g2	1583.58	1327.08	1442.2	1271.66
Herpud2	430.18199999999996	447.29	635.694	371.49800000000005
Herpud2	107.96700000000001	89.2982	142.145	73.5167
Lcp1	2158.12	2273.41	1733.62	2315.91
Acadm	536.568	607.7959999999999	769.01	388.833
Sf3b3	338.32800000000003	294.20799999999997	234.145	322.13
Clcn4-2	392.717	275.703	521.498	239.22299999999998
Hdlbp	182.52900000000002	342.392	196.338	247.34400000000002
Hdlbp	67.3878	183.25900000000001	175.859	156.422
Vcam1	9.25245	3.648	35.8283	8.03004
Vdac2	1663.52	2116.26	2113.83	2031.38
Klhdc3	660.179	603.679	672.398	433.648
Pigo	78.5508	51.074	48.57	66.5972
Sqle	817.357	561.482	266.564	603.486
Cyp2e1	5.71851	0.689022	4.28694	9.86208
Casp6	200.26	715.1489999999999	346.777	251.666
Txnip	1534.38	818.53	2517.26	560.942
Txnip	166.49099999999999	68.5677	275.88599999999997	77.4422
Vdac1	866.419	1576.46	903.3580000000001	1020.24
Hey1	6.0456900000000005	14.1439	35.7768	16.6566
Prdx1	2857.64	2745.11	1910.48	3262.16
Cotl1	537.245	312.01599999999996	374.728	395.587
Cotl1	801.7639999999999	475.02099999999996	564.557	568.7230000000001
Cldn11	0.6403340000000001	4.84529	0.530223	5.11003
Ywhah	1285.6	1425.65	1097.46	1791.12
Psmc1	608.774	639.48	485.769	658.686
Mdk	20.3812	11.2053	13.5621	16.9614
Satb1	3066.38	3880.83	4200.38	729.931
Satb1	2553.54	3461.62	3791.99	730.819
Tspan3	80.1285	338.145	502.592	164.31400000000002
Ehd1	148.029	250.65400000000002	166.90400000000002	334.467
Ehd1	82.7638	108.311	70.2907	134.309
Ehd1	3.4368800000000004	9.969610000000001	1.39586	10.6071
Pld3	102.93299999999999	136.113	177.18900000000002	117.321
Abce1	186.525	329.162	187.63099999999997	285.27299999999997
Abce1	326.055	579.918	350.81199999999995	530.357
Tap1	588.6419999999999	315.647	404.60400000000004	859.0880000000001
Copg	60.5233	45.1299	46.8193	46.8971
Dr1	515.7280000000001	641.3290000000001	511.24199999999996	678.193
Dr1	94.4282	113.705	76.923	110.178
Atp5g1	553.499	593.567	402.273	599.96
Fabp5 /// Gm3601	1735.63	4779.65	2313.03	3532.0
Fabp5	556.785	2321.72	787.297	1348.16
Fabp3	2.2418299999999998	10.2673	6.57275	10.5524
Cct3	1373.83	1869.02	1237.46	1709.57
Fgg	0.547968	4.069780000000001	3.53913	1.02619
Rpl12	4968.66	4325.7	4754.47	4132.91
Pdcd6	927.413	1084.07	1005.74	1038.63
Hn1	1043.59	975.2660000000001	1216.49	1030.1
Klf10	65.5081	181.88400000000001	258.906	186.385
Mcm7	752.615	479.906	276.318	832.252
Mcm7	645.868	419.966	247.24599999999998	746.346
Tmem109	125.264	130.667	70.0117	179.81099999999998
Tmem109	14.7595	21.0297	8.63143	24.38
Cd24a	6.38261	65.4671	185.625	90.6339
Hif1a	198.252	1360.51	624.462	733.6030000000001
Fkbp1a	828.6030000000001	2209.33	788.12	1293.71
Cct2	2218.79	2478.82	2529.89	2074.77
Snd1	140.96	123.931	78.5689	129.497
Cyr61	7.93553	1.38608	7.263310000000001	2.21484
Lipf	0.773491	1.27542	0.49209200000000003	0.795924
Sgk1	474.92400000000004	2471.59	1038.28	656.92
Nasp	576.294	537.5840000000001	256.97700000000003	747.041
Nasp	5.36377	4.1046	0.8573799999999999	0.519837
Flii	631.2090000000001	387.55	462.48199999999997	596.0369999999999
Smarcb1	271.878	239.687	265.819	251.26
Fuca2	100.499	102.758	186.80900000000003	124.661
Fuca2	1.30564	1.9484400000000002	4.38708	3.0361700000000003
Phc2	215.821	188.78	230.30900000000003	184.06400000000002
Gldc	7.6503	0.878534	1.78758	25.8316
Scarb1	57.7815	70.301	26.5972	38.9492
C2	12.395999999999999	0.48335	8.61384	1.7924200000000001
Prps1	382.48199999999997	1336.66	810.933	525.9490000000001
Lrrn1	0.5314810000000001	0.304875	3.0477	0.9516629999999999
Rps5	5518.89	4474.11	5482.93	4610.4
Amy2a4 /// Amy2a5	1.06733	2.10641	0.253608	5.99165
Ndufb11	3299.29	2982.73	2701.08	2767.12
Ndufb11	1801.33	1737.78	1343.06	1685.24
Atp5c1	4137.71	3562.8	4233.08	3813.31
Sec23b	398.792	512.817	365.773	446.718
Tbc1d15	929.85	930.6669999999999	878.6039999999999	1055.8
Tbc1d15	340.421	355.24300000000005	332.67699999999996	398.00199999999995
Tbc1d15	45.6756	103.81200000000001	83.523	94.9845
Ceacam11	0.229882	0.10397200000000001	0.261087	0.283906
Hspa5	1794.66	3044.58	1553.46	2865.58
Ankrd10	1155.81	869.163	1603.98	865.5989999999999
Cd9	717.873	85.1071	198.8	250.07
Ifrd1	308.334	485.29699999999997	438.846	563.335
Kars	553.631	602.71	513.387	556.936
Pfkp	1229.81	1905.65	569.5930000000001	1766.12
Ddx18	329.907	402.93699999999995	230.855	328.86
Ddx18	306.876	376.631	231.445	386.55
Cd34	2.26037	1.02341	1.31015	0.687013
Nup85	339.722	302.939	132.36700000000002	362.496
Rpl28	7074.22	5854.43	7407.04	5333.54
Sav1	36.524	88.1554	41.7903	77.7557
Ccnb1	521.044	389.191	190.959	607.5419999999999
Adm	1.18592	38.8193	0.282256	0.9877969999999999
Raf1	225.417	190.553	242.732	256.156
Arpc1a	537.6	558.789	524.692	453.81199999999995
Adam15	0.6082069999999999	11.007	1.62673	6.24507
Smad1	36.9593	54.1641	70.9018	41.8696
Rab1	1678.42	2322.3	2134.49	2446.25
Zfand5	482.92800000000005	534.864	540.182	575.809
Zfand5	92.0242	111.227	117.764	133.805
Zfand5	717.323	896.9680000000001	922.622	872.069
Tpst2	189.669	91.2767	77.9714	186.885
Ap1s1	183.25900000000001	238.46900000000002	187.622	213.44400000000002
Rps15	5354.41	4686.75	5101.4	4210.52
Rps15	4268.42	3353.11	4722.95	3595.67
Pdhb	950.138	906.64	1012.51	881.539
Mtap4	202.612	153.38299999999998	181.391	182.55900000000003
Mtap4	340.798	458.723	410.04400000000004	477.49
Mrpl20	581.265	645.727	526.789	642.7330000000001
Adam9	73.9692	560.186	330.014	342.52099999999996
Sarnp	1571.61	1314.91	1302.2	1264.08
Vipar	136.619	142.627	202.03799999999998	90.2443
Lrrc4	1.70528	0.830475	2.38382	0.520664
Syngr3	6.49328	28.6726	38.669000000000004	30.2176
Rpl27	6325.44	5563.64	6260.5	5456.86
Eif3d	987.807	1051.89	933.084	934.065
Hist1h1c	199.196	116.92299999999999	411.26199999999994	256.251
Ywhaz	1525.95	1594.63	1675.45	1892.18
Ywhaz	287.928	199.89	317.505	253.667
Mpdu1	253.59900000000002	207.011	232.99200000000002	319.0
Nnt	139.716	108.12899999999999	157.05	111.96
Kti12	298.086	218.84	127.213	207.456
Nsg2	544.8969999999999	85.3165	625.783	116.21799999999999
Tmed3	316.437	633.677	508.176	413.415
Fuca1	562.3969999999999	572.23	844.318	451.57
Slc35a4	76.0449	78.6135	48.6486	67.0154
Cd83	20.6731	44.8925	6.931889999999999	25.0158
Cox8a	1753.41	1507.86	1505.18	1739.56
Fkbp8	102.95299999999999	105.461	113.037	82.1033
Sparcl1	0.5023890000000001	0.681502	0.529255	0.277441
Orc3	251.16	339.36199999999997	334.148	257.512
Orc3	37.2683	38.7872	43.9653	48.9328
Orc3	43.2188	34.619	35.4684	27.8191
Trim59	1333.52	533.9490000000001	634.637	988.819
Txn1	3864.71	3374.56	2164.61	4529.34
Rrm2	789.797	650.374	174.657	989.485
Lox	7.3387	6.59965	5.67497	3.29515
Ccnd2	1693.4	1958.81	622.7	2273.38
Ccnd2	395.11	478.82	120.977	586.248
Ccnd2	72.7103	198.058	47.2909	235.705
Fkbp5	336.24300000000005	212.345	252.88400000000001	348.949
Polr1b	47.0907	69.2339	18.0638	61.6491
Dnpep	276.47	228.62599999999998	364.416	226.929
Gm5620 /// Gm6682 /// Tuba1a /// Tuba1b /// Tuba1c	197.71	96.9918	48.4269	174.273
Errfi1	30.6835	48.8335	32.2293	115.669
Prnp	89.8635	1430.92	376.525	119.42299999999999
Efr3a	1110.57	805.23	794.544	1083.81
Efr3a	146.697	132.741	130.042	159.812
Efr3a	471.25800000000004	371.634	424.202	447.983
Aplp1	5.6203	18.2299	3.2856099999999997	2.63996
Apex1	202.076	338.99300000000005	143.57399999999998	203.354
Mmp2	4.2922199999999995	1.11683	4.7779	7.260460000000001
Anxa7	65.2527	66.295	67.9078	78.2587
Anxa7	563.889	524.0169999999999	537.771	604.191
Reg2	3.20728	7.68537	10.0017	12.4042
Dhx30	345.741	361.056	437.577	293.075
Gm13654 /// Rps6	6088.0	4442.25	5927.46	4858.66
Rps6	973.414	797.383	769.762	681.427
Atp5j	2620.05	2082.22	1857.31	2522.37
Dhx15	2700.43	2650.53	2200.22	3021.31
Dhx15	2178.94	2293.58	2158.92	2314.82
Hspa4	931.543	1283.13	1254.12	1226.45
Hspa4	99.5538	93.5377	135.284	140.785
Laptm4b	19.8699	13.1339	47.9345	5.86074
Olig1	0.6743600000000001	0.328656	0.327349	3.37541
Srsf3	2797.18	2630.91	1649.09	2953.69
Srsf3	89.1408	146.98	85.8252	156.015
Srsf3	203.545	372.832	164.47299999999998	365.095
Srp54a /// Srp54b /// Srp54c	742.182	1096.45	867.326	977.493
Srp54a /// Srp54b	17.8181	21.8677	27.2255	25.6244
Hmgb3	593.744	400.45099999999996	654.371	641.562
Vcl	95.1789	94.3361	185.80599999999998	150.17
Vcl	0.207188	3.00996	0.5558960000000001	7.231789999999999
Nr2f2	2.37065	3.9446800000000004	6.04093	2.7739999999999996
Nr2f2	5.74861	0.820435	1.17198	1.56497
Nr2f2	1.51776	0.282438	6.747560000000001	0.19173800000000002
Rad21	2417.91	1676.34	1294.24	2451.48
Rad21	86.1819	104.37299999999999	66.2321	144.121
Cops4	335.909	347.616	300.819	348.81
Fbln5	3.91424	0.57355	6.48272	0.630598
Rab31	20.9208	93.1965	58.2832	31.6514
Prdx4	526.003	522.113	147.85	660.706
Prdx4	1460.1	1875.41	791.413	1794.43
Serpinf1	7.285310000000001	387.91	8.47339	13.8211
Tpbpb	1.97731	2.91922	0.43762799999999996	1.7949599999999999
Trap1	354.52099999999996	301.528	176.043	212.81
2310037I24Rik	470.718	349.471	511.85	350.04
Pes1	231.207	304.158	186.237	209.908
Pes1	17.6543	12.0873	7.8285800000000005	15.4098
Rbbp9	30.3579	72.4823	77.2957	40.8623
Vdac3	1451.81	1327.72	1224.04	1449.65
Hmgb1	1457.69	1145.52	1161.05	1600.11
Rbmxrt	1081.79	1267.51	924.255	1444.48
Plekhb1	0.9672	4.59345	1.20102	1.09746
Rdx	749.4630000000001	1117.27	816.3480000000001	996.084
Rdx	628.563	826.8	765.883	913.7289999999999
Mesdc2	382.61400000000003	576.751	421.31	354.092
Apba3	71.2912	72.5969	75.1624	71.6951
