sequence_identifier	chr_name	start	end	strand
NM_001005858	chr19	34608957	34613401	0
NM_001005859	chr3	130726826	130729397	1
NM_001005860	chr6	122991367	123024421	0
NM_001005863	chr8	40990911	41132725	1
NM_001005864	chr8	40990911	41053795	1
NM_001005865	chr8	40990911	41040930	1
NM_001005866	chr5	122870674	122987532	1
NM_001005867	chr11	6396125	6406162	0
NM_001005868	chr13	103818785	103919585	1
NM_001005916	chr17	26974179	26976203	0
NM_001006664	chr2	156476534	156543214	0
NM_001006668	chr2	181075578	181134224	1
NM_001006669	chr2	181075578	181134224	1
NM_001006674	chr2	181075578	181134224	1
NM_001006675	chr2	181085844	181134224	1
NM_001006676	chr2	181096465	181134224	1
NM_001006677	chr2	181096240	181134224	1
NM_001006678	chr2	181108443	181134224	1
NM_001006679	chr2	181108443	181134224	1
NM_001006680	chr2	181108443	181134224	1
NM_001007077	chr4	143790334	143795585	0
NM_001007154	chr2	178194084	178338492	0
NM_001007220	chr5	8092259	8367080	1
NM_001007221	chr5	8092259	8367080	1
NM_001007222	chr3	93651541	93651685	1
NM_001007223	chr8	114419034	114428133	0
NM_001007266	chr10	23939572	23941583	0
NM_001007268	chr14	21733394	21747621	1
NM_001007460	chr16	43969145	43978049	1
NM_001007461	chr11	98627360	98638089	0
NM_001007462	chr8	122619470	122621734	1
NM_001007463	chr4	43651728	43652551	1
NM_001007465	chr11	82803818	82870209	1
NM_001007472	chr6	85424886	85428877	0
NM_001007567	chr8	106200437	106209932	1
NM_001007568	chr15	76852140	76870434	1
NM_001007569	chr7	16960795	16962320	0
NM_001007570	chr8	70184339	70211280	1
NM_001007571	chr8	84246234	84248760	1
NM_001007572	chr6	41652769	41679722	1
NM_001007573	chr4	124855238	124861170	1
NM_001007574	chr5	107498745	107512556	0
NM_001007575	chr13	67490166	67499521	1
NM_001007576	chrX	142079288	142195935	1
NM_001007577	chrX	166499814	166509477	1
NM_001007578	chrX	134748454	134750418	1
NM_001007579	chr4	143568467	143573798	0
NM_001007580	chrX	106420042	106484228	1
NM_001007581	chr2	165490111	165492313	1
NM_001007582	chr8	21702523	21702646	1
NM_001007583	chr10	116987314	117025040	0
NM_001007584	chr11	94694497	94703498	1
NM_001007589	chr4	34551615	34566908	0
NM_001007596	chr12	72211748	72235726	1
NM_001008230	chr16	23925547	23929793	1
NM_001008231	chr17	49456021	49563336	1
NM_001008232	chr4	136207365	136246573	0
NM_001008233	chr4	156221455	156227541	1
NM_001008238	chr9	69990466	70011659	0
NM_001008419	chr1	58279326	58379264	0
NM_001008420	chr15	21112452	21589533	0
NM_001008421	chr12	17349493	17430095	0
NM_001008422	chr7	45002949	45015248	1
NM_001008423	chr12	80755446	80759714	1
NM_001008424	chr17	35553128	35557180	0
NM_001008425	chr17	23668618	23672769	1
NM_001008426	chr1	153875345	153876871	0
NM_001008427	chr7	42660107	42691717	1
NM_001008428	chr9	109217431	109233753	1
NM_001008429	chr10	23950558	23950589	0
NM_001008497	chr3	59114622	59129761	1
NM_001008498	chr2	30031557	30047878	1
NM_001008499	chr10	23961494	23961537	0
NM_001008501	chr17	21708741	21725636	0
NM_001008502	chr3	37313554	37321451	0
NM_001008506	chr12	98747968	98787774	0
NM_001008533	chr1	134199214	134234456	1
NM_001008542	chr19	53311506	53375810	0
NM_001008543	chr19	53331446	53375810	0
NM_001008545	chr4	148612381	148625995	1
NM_001008546	chr4	148612381	148625995	1
NM_001008547	chr5	146182449	146184303	1
NM_001008548	chr7	101422691	101512829	0
NM_001008549	chr7	43563370	43575461	0
NM_001008550	chr12	79232346	79295281	1
NM_001008700	chr7	125553282	125579474	0
NM_001008702	chr15	6300789	6440709	0
NM_001008705	chr5	145141397	145148074	0
NM_001008706	chr13	3855173	3854761	0
NM_001008785	chr6	95118880	95129793	0
NM_001008791	chr4	63414909	63494990	1
NM_001008792	chr4	63414909	63494990	1
NM_001008793	chr4	63414909	63494990	1
NM_001008973	chr17	65256004	65539781	1
NM_001009544	chr17	33064142	33067057	1
NM_001009545	chr12	113490565	113491835	0
NM_001009546	chr19	6106798	6115555	0
NM_001009547	chr8	43519863	43527136	1
NM_001009548	chr8	40794273	40797303	0
NM_001009549	chrX	53772685	53775393	1
NM_001009550	chr4	62147831	62149840	1
NM_001009573	chr11	116062095	116076960	1
NM_001009574	chr10	23971706	23971719	0
NM_001009575	chrX	135743692	135747326	0
NM_001009818	chr5	93094457	93174958	0
NM_001009819	chr4	128760258	128769298	0
NM_001009927	chr11	60729398	60732951	0
NM_001009929	chr7	141950751	142004243	0
NM_001009930	chr7	141950751	142004243	0
NM_001009935	chr3	96558957	96561857	0
NM_001009940	chr1	130932655	130938240	1
NM_001009947	chrX	35889832	36076562	0
NM_001009948	chr2	152368757	152375565	1
NM_001009949	chr4	45395923	45407765	1
NM_001009950	chr8	119479602	119500697	1
NM_001009951	chr8	56531521	56549565	1
NM_001009952	chr7	33364342	33365318	1
NM_001009978	chr2	79859024	79907398	1
NM_001009979	chr2	79859024	79907398	1
NM_001009981	chr8	78510328	78734012	0
NM_001010825	chr5	113736782	113740607	0
NM_001010826	chr7	97454204	97459557	0
NM_001010827	chr10	24000939	24001015	0
NM_001010828	chr10	23984608	23984645	1
NM_001010829	chr10	23992404	23992480	1
NM_001010830	chr10	24077500	24077534	0
NM_001010831	chr10	24108487	24108533	1
NM_001010833	chr17	35842498	35859670	0
NM_001010834	chr3	10331733	10334655	1
NM_001010835	chr10	24038614	24038690	0
NM_001010836	chr7	19362216	19378533	0
NM_001010837	chr10	24091259	24091293	1
NM_001010838	chr10	24028222	24028298	0
NM_001010839	chr10	24050510	24050586	0
NM_001010840	chr10	24100842	24100950	1
NM_001010930	chr6	39801806	39809935	1
NM_001010937	chr14	57123300	57132610	1
NM_001010941	chr5	146582149	146584238	1
NM_001010973	chr13	54193129	54222432	0
NM_001011517	chr2	88678857	88678813	0
NM_001011518	chr17	37196805	37196965	1
NM_001011519	chr2	87834041	87833985	0
NM_001011520	chr7	86268729	86268810	1
NM_001011523	chr9	38593803	38595161	0
NM_001011524	chr19	11854994	11854950	1
NM_001011525	chr1	92490817	92490752	1
NM_001011527	chr7	108545527	108545498	0
NM_001011528	chr6	42486162	42486213	1
NM_001011529	chr2	89666927	89666883	1
NM_001011530	chr14	49928562	49928567	1
NM_001011531	chr11	58542446	58543937	1
NM_001011532	chr2	86084729	86084853	1
NM_001011533	chr7	105289095	105289060	0
NM_001011534	chr2	85352994	85352923	1
NM_001011535	chr2	88446018	88448120	1
NM_001011536	chr7	102856320	102856270	1
NM_001011542	chr7	106915200	106915123	0
NM_001011662	chr16	58915685	58917485	1
NM_001011684	chr1	38940149	38950276	0
NM_001011687	chr14	51922159	51921772	1
NM_001011695	chr2	85607963	85607907	1
NM_001011707	chr19	39114898	39186756	0
NM_001011721	chr17	37313410	37313436	1
NM_001011732	chr2	153032852	153055775	0
NM_001011733	chr15	98186012	98194541	1
NM_001011734	chr2	87269846	87269769	0
NM_001011735	chr2	86455327	86455268	1
NM_001011736	chr16	59328589	59328506	1
NM_001011737	chr10	78611668	78617073	1
NM_001011738	chr14	50619224	50619195	0
NM_001011739	chr9	38062322	38062251	0
NM_001011740	chr11	59613966	59614225	0
NM_001011741	chr11	49471054	49471181	0
NM_001011742	chr7	108055984	108055967	0
NM_001011743	chr11	58598345	58598466	0
NM_001011748	chr9	20054465	20054460	1
NM_001011749	chr7	106865982	106865929	0
NM_001011750	chr7	86615635	86615642	1
NM_001011751	chr7	86488550	86488548	1
NM_001011752	chr7	86664664	86664674	0
NM_001011753	chr17	37609784	37609778	1
NM_001011754	chr14	50345375	50345439	1
NM_001011755	chr7	104975041	104974982	1
NM_001011756	chr9	39318646	39318611	1
NM_001011757	chr7	104704569	104704603	0
NM_001011758	chr2	85799338	85799267	1
NM_001011759	chr2	85992819	85992829	0
NM_001011760	chr11	58787139	58787269	0
NM_001011761	chr2	89282195	89282130	1
NM_001011767	chr7	86466413	86466405	0
NM_001011769	chr11	58732095	58732222	1
NM_001011770	chr11	58489718	58491498	1
NM_001011771	chr2	86732674	86732609	1
NM_001011773	chr2	111450142	111450059	0
NM_001011774	chr2	85952065	85952039	0
NM_001011775	chr19	11870182	11870213	1
NM_001011776	chr7	140336864	140336781	0
NM_001011777	chr2	86159344	86159440	1
NM_001011778	chr15	98312588	98312547	1
NM_001011779	chr15	98226674	98233449	1
NM_001011780	chr15	98206970	98220055	1
NM_001011782	chr7	102476772	102476901	1
NM_001011784	chr2	86130701	86130660	1
NM_001011785	chr2	85330966	85330895	1
NM_001011787	chr2	111944515	111944453	1
NM_001011789	chr11	59570781	59570737	1
NM_001011790	chr11	49536187	49536122	0
NM_001011791	chr16	59109678	59109607	1
NM_001011792	chr16	59361298	59361215	1
NM_001011793	chr7	103329488	103329447	0
NM_001011794	chrX	49885468	49885400	1
NM_001011795	chr2	111230852	111230790	1
NM_001011796	chr2	89629939	89629895	1
NM_001011797	chr10	129351565	129351509	0
NM_001011798	chr9	38048224	38048153	0
NM_001011799	chr6	42745039	42744992	0
NM_001011800	chr6	116507516	116517965	0
NM_001011801	chr6	116541455	116541438	0
NM_001011802	chr2	112156898	112157007	0
NM_001011803	chr2	111911989	111911927	1
NM_001011804	chr2	88929377	88929312	1
NM_001011805	chr11	49495535	49495464	0
NM_001011806	chr9	38431284	38431219	0
NM_001011807	chr16	59085551	59085480	1
NM_001011808	chr16	59201503	59201423	1
NM_001011809	chr14	50139701	50139636	1
NM_001011810	chr7	108158917	108158870	1
NM_001011811	chr7	108211582	108211526	1
NM_001011812	chr9	39394793	39394737	0
NM_001011813	chr17	37151031	37150969	1
NM_001011814	chr7	140201811	140201767	1
NM_001011815	chr7	140467203	140467165	0
NM_001011816	chr2	88423087	88423022	1
NM_001011818	chr11	58758667	58758587	0
NM_001011819	chr11	58832156	58832082	0
NM_001011820	chr13	21674000	21673941	1
NM_001011820	chr13	21704003	21703944	0
NM_001011821	chr10	129705880	129705824	0
NM_001011822	chr10	129463678	129463616	0
NM_001011823	chr9	18988990	18988928	0
NM_001011824	chr9	18945650	18945588	0
NM_001011825	chr2	87033280	87033218	1
NM_001011826	chr9	39751388	39751320	0
NM_001011827	chr9	39670059	39669994	0
NM_001011828	chr7	86385656	86385657	1
NM_001011829	chr17	37952050	37952021	1
NM_001011830	chr17	37697685	37701637	0
NM_001011831	chr19	13827458	13827393	1
NM_001011832	chr19	13655446	13655396	0
NM_001011833	chr2	87710971	87710903	1
NM_001011834	chr2	87868993	87868925	0
NM_001011835	chr2	88049677	88049621	1
NM_001011836	chr2	87576086	87576030	0
NM_001011837	chr14	50711332	50711255	0
NM_001011839	chr19	12321886	12321824	1
NM_001011840	chr19	13235252	13235184	0
NM_001011841	chr19	13313359	13313282	1
NM_001011842	chr19	13471972	13471916	0
NM_001011845	chr7	103321413	103321360	0
NM_001011846	chr7	108868207	108868151	1
NM_001011847	chr7	103172690	103172634	1
NM_001011848	chr7	105024024	105023965	1
NM_001011849	chr10	129541539	129541474	0
NM_001011850	chr19	13920022	13919972	0
NM_001011851	chr11	74365671	74365609	0
NM_001011852	chr2	85976213	85976273	0
NM_001011853	chr19	12073694	12073629	1
NM_001011854	chr7	103442139	103442149	1
NM_001011855	chr16	19565939	19565880	1
NM_001011856	chr4	118869783	118869736	0
NM_001011857	chr7	105180360	105180310	1
NM_001011858	chr7	108564836	108564792	1
NM_001011859	chr9	39720229	39720167	0
NM_001011860	chr2	89124793	89124728	1
NM_001011861	chr11	58501597	58501553	1
NM_001011862	chr7	106790048	106789998	1
NM_001011863	chr11	74270391	74270362	0
NM_001011864	chr9	38664912	38664841	1
NM_001011865	chr7	103670102	103670028	1
NM_001011866	chr7	86306184	86306110	1
NM_001011867	chr7	140575155	140575087	0
NM_001011868	chr2	88392249	88392220	0
NM_001011869	chr6	42791041	42790994	0
NM_001011870	chr4	118916523	118916464	1
NM_001011871	chr7	108613309	108613253	0
NM_001011872	chr2	86047444	86047466	0
NM_001011873	chr1	13669771	13701723	0
NM_001011874	chr1	3214481	3670497	1
NM_001011875	chr14	51056697	51056241	1
NM_001011876	chr14	44001663	44005417	1
NM_001011877	chr14	51049450	51049162	1
NM_001012236	chr9	109057931	109058250	1
NM_001012265	chr9	19713829	19713758	0
NM_001012266	chr9	19036125	19036060	0
NM_001012269	chr14	52349102	52349043	1
NM_001012273	chr11	117850237	117855743	0
NM_001012305	chr2	14389398	14494977	0
NM_001012306	chr3	98741475	98761409	1
NM_001012307	chr8	21056040	21056016	0
NM_001012307	chr8	21192573	21192549	0
NM_001012309	chr11	77044291	77077436	1
NM_001012310	chr12	108852129	108856815	0
NM_001012311	chr13	21421274	21440052	1
NM_001012322	chr1	120007980	120063532	0
NM_001012323	chr4	62050234	62053116	1
NM_001012324	chr13	49505810	49532789	0
NM_001012325	chr13	67069397	67096975	1
NM_001012330	chr1	177445661	177450764	0
NM_001012335	chr2	91929804	91930701	1
NM_001012336	chr2	91929804	91930858	1
NM_001012363	chr5	38349272	38482384	1
NM_001012392	chr2	154191818	154220343	0
NM_001012396	chr2	14026830	14055034	1
NM_001012400	chr4	119225137	119231723	1
NM_001012401	chr7	30554302	30555439	0
NM_001012402	chr17	24754003	24758684	0
NM_001012434	chr7	97454204	97459557	0
NM_001012448	chr13	67069397	67080544	1
NM_001012449	chr13	67069397	67096975	1
NM_001012450	chr4	32804034	32922504	1
NM_001012451	chr4	32804034	32949825	1
NM_001012477	chr6	117169535	117181368	0
NM_001012517	chr8	31188331	31261924	0
NM_001012518	chr2	24790768	24918608	1
NM_001012520	chr6	129697217	129716131	1
NM_001012623	chr1	22288421	22431842	1
NM_001012623	chr1	22468190	22804723	1
NM_001012624	chr1	22468190	22804723	1
NM_001012625	chr1	22468190	22804723	1
NM_001012638	chr8	105698158	105700094	1
NM_001012640	chr8	20943693	20943747	1
NM_001012667	chr8	22462613	22475878	1
NM_001012704	chr2	164686107	164687706	0
NM_001012723	chr2	164634707	164637801	1
NM_001012725	chr2	164614700	164618213	0
NM_001012726	chr5	113358294	113357821	0
NM_001012765	chr16	35156636	35304549	0
NM_001012766	chr14	44103887	44103357	0
NM_001013012	chr7	6131488	6154970	1
NM_001013013	chr11	67799271	67816002	0
NM_001013019	chr19	8851785	8853909	0
NM_001013022	chr15	89377448	89378253	1
NM_001013023	chr5	3890580	3892932	1
NM_001013024	chr3	32818626	32935257	0
NM_001013025	chr1	43047268	43097621	1
NM_001013026	chr3	100938859	100968662	1
NM_001013028	chr10	85103627	85117747	0
NM_001013256	chr11	69016911	69036473	0
NM_001013360	chr15	79786350	79833332	1
NM_001013362	chr15	79786350	79833332	1
NM_001013365	chr11	4237785	4241026	0
NM_001013366	chr6	34880425	34909830	1
NM_001013367	chr15	5144861	5181899	0
NM_001013368	chr7	48866428	48880040	1
NM_001013369	chr2	170497428	170519070	0
NM_001013370	chr10	41888439	41908436	0
NM_001013371	chr16	35926514	35938026	1
NM_001013372	chr12	87442847	87443016	1
NM_001013373	chr9	45320100	45347580	0
NM_001013374	chr1	36423185	36444238	1
NM_001013375	chr11	93859242	93884765	1
NM_001013376	chr2	3328948	3331627	1
NM_001013377	chr4	43496143	43498659	1
NM_001013378	chr5	149185560	149215434	0
NM_001013379	chr8	69210046	69230539	0
NM_001013380	chr8	104417673	104442046	1
NM_001013381	chr11	94539797	94548206	1
NM_001013382	chr1	167445674	167465779	1
NM_001013384	chr8	84126989	84132517	0
NM_001013385	chr17	27422387	27502532	1
NM_001013386	chr11	83411072	83421038	0
NM_001013387	chrX	21026183	21061037	1
NM_001013389	chr13	24992294	25019316	1
NM_001013390	chr9	45140042	45154061	0
NM_001013391	chr10	117344667	117375972	1
NM_001013393	chr4	73401031	73404071	1
NM_001013405	chr9	122806547	122836332	0
NM_001013411	chr10	31689318	32888914	1
NM_001013412	chr5	135560447	135562568	1
NM_001013414	chr11	69902816	69913824	0
NM_001013441	chr10	84918613	85018337	0
NM_001013575	chr17	37563238	37568450	1
NM_001013577	chr4	59769646	59782854	1
NM_001013580	chr8	127300652	127402059	0
NM_001013581	chr8	127300612	127433144	0
NM_001013607	chr11	70513515	70513615	1
NM_001013608	chr13	63816320	63900301	0
NM_001013609	chr8	27345394	27349188	0
NM_001013616	chr7	104219795	104235152	0
NM_001013741	chr15	98803781	98806924	1
NM_001013745	chr17	37003525	37010729	0
NM_001013749	chr17	45541939	45548676	1
NM_001013750	chr1	28776121	28779251	1
NM_001013751	chr5	134557253	134559170	1
NM_001013753	chr14	84444563	84537060	0
NM_001013755	chr4	126610854	126614371	0
NM_001013756	chr4	135541887	135572619	1
NM_001013757	chr6	13185610	13223964	1
NM_001013758	chr10	80832800	80843038	1
NM_001013759	chr11	83421634	83428520	1
