sequence_identifier	chr_name	heatmap_start	heatmap_end	strand
NM_001082960	chr7	128062639	128067639	0
NM_010824	chr11	87793783	87798783	0
NM_008410	chr14	73380271	73385271	1
NM_053214	chr17	33555706	33560706	0
NM_028071	chr8	119835579	119840579	1
NM_011095	chr7	3715382	3720382	1
NM_009892	chr3	106162564	106167564	1
NM_011355	chr2	91096796	91101796	0
NM_001039151	chr2	102896665	102901665	1
NM_133198	chr12	70222683	70227683	1
NM_011103	chr14	30621208	30626208	1
NM_010828	chr10	17723227	17728227	0
NM_007780	chr15	78325989	78330989	0
NM_010686	chr4	130913333	130918333	0
NM_001289619	chr6	42349827	42354827	0
NM_010344	chr8	33653237	33658237	0
NM_133739	chr9	7764076	7769076	0
NM_146057	chr15	31224384	31229384	0
NM_018773	chr6	52007549	52012549	1
NM_001139520	chr2	157130222	157135222	1
NM_194342	chr15	79737536	79742536	1
NM_010576	chr2	79255425	79260425	0
NM_029658	chr11	76022782	76027782	1
NM_009875	chr6	134920400	134925400	0
NM_001159963	chr5	43777149	43782149	1
NM_146023	chr11	79525609	79530609	1
NM_027898	chr7	31146050	31151050	1
NM_009151	chr5	113825501	113830501	1
NM_012032	chr2	163640143	163645143	1
NM_008611	chr9	7558428	7563428	0
NM_009763	chr5	43818892	43823892	0
NM_001206369	chr2	35266743	35271743	0
NM_008138	chr9	107630342	107635342	1
NM_028732	chr10	60346850	60351850	0
NM_007577	chr7	16254540	16259540	1
NM_183390	chr16	19978049	19983049	1
NM_001290749	chr11	50025330	50030330	0
NM_013470	chr5	96793384	96798384	0
NM_009778	chr17	57223136	57228136	1
NM_009909	chr1	74153993	74158993	0
NM_026976	chr1	130865776	130870776	0
NM_001033339	chr17	23640269	23645269	1
NM_026862	chr7	24755311	24760311	1
NM_007585	chr9	69453682	69458682	0
NM_009898	chr7	126699816	126704816	1
NM_175451	chr10	84528888	84533888	1
NM_027209	chr19	11518558	11523558	0
NM_133815	chr1	181837401	181842401	1
NM_010819	chr6	123262106	123267106	0
NM_009656	chr5	121588824	121593824	1
NM_008404	chr10	77530347	77535347	0
NM_010227	chrX	74241534	74246534	1
NM_139198	chr5	100567205	100572205	1
NM_001164059	chr1	164062075	164067075	0
NM_026432	chr8	34154562	34159562	0
NM_007403	chr7	139987488	139992488	1
NM_010877	chr1	152807889	152812889	0
NM_019980	chr16	10988121	10993121	1
NM_011609	chr6	125349722	125354722	0
NM_153137	chr1	193196546	193201546	1
NM_011116	chr7	27548112	27553112	1
NM_001017959	chrX	38451460	38456460	1
NM_007695	chr1	134182403	134187403	0
NM_001164040	chr15	74955105	74960105	0
NM_010421	chr9	59539666	59544666	0
NM_027521	chr10	80019674	80024674	0
NM_178650	chr19	4186047	4191047	1
NM_008372	chr15	9524876	9529876	1
NM_011580	chr2	118111921	118116921	0
NM_146008	chr10	84576946	84581946	0
NM_017370	chr8	109574172	109579172	1
NM_001287217	chr7	31037331	31042331	1
NM_026169	chr19	5870208	5875208	1
NM_001146059	chr9	110880173	110885173	0
NM_021293	chr7	43528171	43533171	1
NM_175274	chr5	140644031	140649031	1
NM_009663	chr5	149265057	149270057	0
NM_010511	chr10	19591957	19596957	0
NM_010286	chrX	140538187	140543187	1
NM_134115	chr17	29002937	29007937	1
NM_007901	chr3	115710055	115715055	1
NM_001168652	chr5	137629122	137634122	0
NM_010187	chr1	170971071	170976071	1
NM_145634	chr11	115128992	115133992	1
NM_009983	chr7	142382870	142387870	1
NM_001163031	chr8	83736311	83741311	1
NM_010751	chr6	86664159	86669159	1
NM_016811	chr10	128739056	128744056	1
NM_001190321	chr6	123229842	123234842	0
NM_001301305	chr6	136936503	136941503	1
NM_023402	chr17	70985516	70990516	1
NM_172514	chr15	66556046	66561046	1
NM_173869	chr16	36156810	36161810	0
NM_008039	chr17	17887823	17892823	0
NM_145429	chr11	70432579	70437579	0
NM_017372	chr10	117277272	117282272	1
NM_008694	chr9	110419807	110424807	0
NM_001111100	chr19	34522474	34527474	1
NM_001146124	chr10	60284460	60289460	0
NM_009008	chr15	78567783	78572783	1
NM_001077496	chr11	79518762	79523762	1
NM_007570	chr1	134074155	134079155	1
NM_008062	chrX	74424161	74429161	1
NM_001162424	chrX	73906298	73911298	1
NM_001243201	chr6	48684577	48689577	0
NM_001001806	chr17	84182947	84187947	1
NM_001252547	chr2	32727688	32732688	0
NM_001009935	chr3	96557956	96562956	0
NM_026738	chr13	49211026	49216026	1
NM_010185	chr1	171229349	171234349	1
NM_153408	chr1	36268425	36273425	1
NM_010705	chr14	47373859	47378859	0
NM_011175	chr12	102434697	102439697	1
NM_028121	chr9	59291571	59296571	0
NM_011113	chr7	24462499	24467499	0
NM_013477	chr8	105561040	105566040	1
NM_001161428	chr19	3935185	3940185	0
NM_010102	chr10	81495137	81500137	1
NM_009121	chrX	155211449	155216449	1
NM_021281	chr3	95526785	95531785	0
NM_007798	chr14	63122461	63127461	0
NM_053110	chr6	49036517	49041517	0
NM_019771	chr2	143915330	143920330	0
NM_009006	chr19	6341159	6346159	0
NM_001082547	chr16	36184211	36189211	0
NM_011671	chr7	100493357	100498357	0
NM_011407	chr11	83116844	83121844	0
NM_001291894	chr10	51490897	51495897	0
NM_008437	chr7	44572444	44577444	0
NM_011311	chr3	90603769	90608769	0
NM_010545	chr18	60803848	60808848	0
NM_028181	chr9	72985503	72990503	0
NM_013599	chr2	164948218	164953218	0
NM_178149	chr11	3330730	3335730	0
NM_001081274	chr4	149161707	149166707	1
NM_013521	chr17	17878939	17883939	1
NM_013739	chr13	55523538	55528538	1
NM_153511	chr2	24186475	24191475	0
NM_010734	chr17	35183440	35188440	1
NM_183249	chr11	83746939	83751939	0
NM_010876	chr5	134224625	134229625	1
NM_178785	chr17	32398581	32403581	1
NM_008225	chr16	36934982	36939982	0
NM_013566	chr15	102226935	102231935	1
NM_010239	chr19	9982645	9987645	0
NM_207231	chr11	97991173	97996173	1
NM_013610	chr13	49187546	49192546	0
NM_010821	chr19	12460778	12465778	0
NM_008677	chr15	78244810	78249810	0
NM_025429	chr13	32846185	32851185	1
NM_001042613	chr15	3270766	3275766	0
NM_008685	chr15	103250416	103255416	1
NM_010730	chr19	20385671	20390671	1
NM_011662	chr7	30413787	30418787	0
NM_023721	chr12	78856638	78861638	1
NM_011756	chr7	28374228	28379228	1
NM_009846	chr10	43579168	43584168	0
NM_009912	chr9	123963692	123968692	1
NM_020561	chr10	57794543	57799543	0
NM_146011	chr10	127323726	127328726	0
NM_007725	chr10	79988599	79993599	0
NM_011804	chr1	165763779	165768779	0
NM_010378	chr17	34282771	34287771	1
NM_053108	chr13	75839885	75844885	0
NM_010240	chr7	45454886	45459886	1
NM_009775	chr15	83563572	83568572	0
NM_174960	chr6	48676134	48681134	0
NM_008147	chr10	51480611	51485611	0
NM_010194	chr7	80382946	80387946	1
NM_001130459	chr11	3926961	3931961	1
NM_010442	chr8	75093617	75098617	0
NM_009911	chr1	128587299	128592299	1
NM_007408	chr4	86665059	86670059	1
NM_011401	chr6	122737745	122742745	1
NM_001170911	chr15	102459169	102464169	0
NM_028608	chr10	111992264	111997264	1
NM_001099217	chr15	75106949	75111949	1
NM_009921	chr9	109844456	109849456	1
NM_025347	chr7	126776974	126781974	0
NM_008920	chr2	84980460	84985460	0
NM_010188	chr1	171054403	171059403	1
NM_206536	chr9	21526176	21531176	0
NM_026985	chr8	3665761	3670761	0
NM_016740	chr3	93520495	93525495	0
NM_008491	chr2	32382739	32387739	1
NM_178901	chr7	127091435	127096435	0
NM_010129	chr7	45916426	45921426	1
NM_011242	chr19	6400582	6405582	0
NM_009976	chr2	148870468	148875468	1
NM_009139	chr11	83588087	83593087	1
NM_153104	chr11	95824499	95829499	0
NM_008538	chr10	37133926	37138926	1
NM_001291058	chr11	69661170	69666170	1
NM_008175	chr11	102430321	102435321	0
NM_009402	chr7	18884689	18889689	0
NM_007388	chr9	22125598	22130598	1
NM_134116	chr17	34589805	34594805	0
NM_025522	chr12	72659828	72664828	1
NM_010381	chr17	34339645	34344645	1
NM_027206	chr3	95137360	95142360	1
NM_016794	chr6	72385667	72390667	1
NM_007653	chr10	128909865	128914865	0
NM_011778	chr19	4148662	4153662	0
NM_015779	chr10	79886311	79891311	0
NM_011528	chr7	141392159	141397159	0
NM_012021	chr19	6904645	6909645	1
NM_011952	chr7	126759625	126764625	0
NM_181596	chr16	48872607	48877607	0
NM_009970	chr19	61223418	61228418	1
NM_007645	chr7	45233839	45238839	1
NM_030251	chr6	88836935	88841935	1
NM_009696	chr7	19694166	19699166	1
NM_008339	chr11	106309529	106314529	1
NM_178372	chr17	25298393	25303393	0
NM_177994	chr10	79911930	79916930	1
NM_026414	chr6	86628173	86633173	0
NM_023168	chr15	76246806	76251806	0
NM_133185	chr16	5008553	5013553	1
NM_023065	chr8	70761663	70766663	1
NM_008160	chr9	108339079	108344079	0
NM_007793	chr10	78425669	78430669	0
NM_013706	chr4	134090073	134095073	1
NM_013759	chr17	24736641	24741641	0
NM_011414	chr2	164351507	164356507	1
NM_011313	chr3	90612893	90617893	0
NM_001081962	chr5	137641472	137646472	0
NM_008518	chr17	35194506	35199506	0
NM_025378	chr7	141005744	141010744	1
NM_030694	chr7	140950961	140955961	1
NM_001033632	chr7	141011892	141016892	1
NM_013650	chr3	90669070	90674070	0
