sequence_identifier	chr_name	start	end	strand
NM_001009575	chrX	135742691	135743691	0
NM_001009818	chr5	93093456	93094456	0
NM_001009819	chr4	128759257	128760257	0
NM_001009927	chr11	60728397	60729397	0
NM_001009929	chr7	141949750	141950750	0
NM_001009930	chr7	141949750	141950750	0
NM_001009935	chr3	96557956	96558956	0
NM_001009940	chr1	130938241	130939241	1
NM_001009947	chrX	35888831	35889831	0
NM_001009948	chr2	152375566	152376566	1
NM_001009949	chr4	45407766	45408766	1
NM_001009950	chr8	119500698	119501698	1
NM_001009951	chr8	56549566	56550566	1
NM_001009952	chr7	33365319	33366319	1
NM_001009978	chr2	79907399	79908399	1
NM_001009979	chr2	79907399	79908399	1
NM_001009981	chr8	78509327	78510327	0
NM_001010825	chr5	113735781	113736781	0
NM_001010826	chr7	97453203	97454203	0
NM_001010827	chr10	23999938	24000938	0
NM_001010828	chr10	23984646	23985646	1
NM_001010829	chr10	23992481	23993481	1
NM_001010830	chr10	24076499	24077499	0
NM_001010831	chr10	24108534	24109534	1
NM_001010833	chr17	35841497	35842497	0
NM_001010834	chr3	10334656	10335656	1
NM_001010835	chr10	24037613	24038613	0
NM_001010836	chr7	19361215	19362215	0
NM_001010837	chr10	24091294	24092294	1
NM_001010838	chr10	24027221	24028221	0
NM_001010839	chr10	24049509	24050509	0
NM_001010840	chr10	24100951	24101951	1
NM_001010930	chr6	39809936	39810936	1
NM_001010937	chr14	57132611	57133611	1
NM_001010941	chr5	146584239	146585239	1
NM_001010973	chr13	54192128	54193128	0
NM_001011517	chr2	88677856	88678856	0
NM_001011518	chr17	37196966	37197966	1
NM_001011519	chr2	87833040	87834040	0
NM_001011520	chr7	86268811	86269811	1
NM_001011523	chr9	38592802	38593802	0
NM_001011524	chr19	11854951	11855951	1
NM_001011525	chr1	92490753	92491753	1
NM_001011527	chr7	108544526	108545526	0
NM_001011528	chr6	42486214	42487214	1
NM_001011529	chr2	89666884	89667884	1
NM_001011530	chr14	49928568	49929568	1
NM_001011531	chr11	58543938	58544938	1
NM_001011532	chr2	86084854	86085854	1
NM_001011533	chr7	105288094	105289094	0
NM_001011534	chr2	85352924	85353924	1
NM_001011535	chr2	88448121	88449121	1
NM_001011536	chr7	102856271	102857271	1
NM_001011542	chr7	106914199	106915199	0
NM_001011662	chr16	58917486	58918486	1
NM_001011684	chr1	38939148	38940148	0
NM_001011687	chr14	51921773	51922773	1
NM_001011695	chr2	85607908	85608908	1
NM_001011707	chr19	39113897	39114897	0
NM_001011721	chr17	37313437	37314437	1
NM_001011732	chr2	153031851	153032851	0
NM_001011733	chr15	98194542	98195542	1
NM_001011734	chr2	87268845	87269845	0
NM_001011735	chr2	86455269	86456269	1
NM_001011736	chr16	59328507	59329507	1
NM_001011737	chr10	78617074	78618074	1
NM_001011738	chr14	50618223	50619223	0
NM_001011739	chr9	38061321	38062321	0
NM_001011740	chr11	59612965	59613965	0
NM_001011741	chr11	49470053	49471053	0
NM_001011742	chr7	108054983	108055983	0
NM_001011743	chr11	58597344	58598344	0
NM_001011748	chr9	20054461	20055461	1
NM_001011749	chr7	106864981	106865981	0
NM_001011750	chr7	86615643	86616643	1
NM_001011751	chr7	86488549	86489549	1
NM_001011752	chr7	86663663	86664663	0
NM_001011753	chr17	37609779	37610779	1
NM_001011754	chr14	50345440	50346440	1
NM_001011755	chr7	104974983	104975983	1
NM_001011756	chr9	39318612	39319612	1
NM_001011757	chr7	104703568	104704568	0
NM_001011758	chr2	85799268	85800268	1
NM_001011759	chr2	85991818	85992818	0
NM_001011760	chr11	58786138	58787138	0
NM_001011761	chr2	89282131	89283131	1
NM_001011767	chr7	86465412	86466412	0
NM_001011769	chr11	58732223	58733223	1
NM_001011770	chr11	58491499	58492499	1
NM_001011771	chr2	86732610	86733610	1
NM_001011773	chr2	111449141	111450141	0
NM_001011774	chr2	85951064	85952064	0
NM_001011775	chr19	11870214	11871214	1
NM_001011776	chr7	140335863	140336863	0
NM_001011777	chr2	86159441	86160441	1
NM_001011778	chr15	98312548	98313548	1
NM_001011779	chr15	98233450	98234450	1
NM_001011780	chr15	98220056	98221056	1
NM_001011782	chr7	102476902	102477902	1
NM_001011784	chr2	86130661	86131661	1
NM_001011785	chr2	85330896	85331896	1
NM_001011787	chr2	111944454	111945454	1
NM_001011789	chr11	59570738	59571738	1
NM_001011790	chr11	49535186	49536186	0
NM_001011791	chr16	59109608	59110608	1
NM_001011792	chr16	59361216	59362216	1
NM_001011793	chr7	103328487	103329487	0
NM_001011794	chrX	49885401	49886401	1
NM_001011795	chr2	111230791	111231791	1
NM_001011796	chr2	89629896	89630896	1
NM_001011797	chr10	129350564	129351564	0
NM_001011798	chr9	38047223	38048223	0
NM_001011799	chr6	42744038	42745038	0
NM_001011800	chr6	116506515	116507515	0
NM_001011801	chr6	116540454	116541454	0
NM_001011802	chr2	112155897	112156897	0
NM_001011803	chr2	111911928	111912928	1
NM_001011804	chr2	88929313	88930313	1
NM_001011805	chr11	49494534	49495534	0
NM_001011806	chr9	38430283	38431283	0
NM_001011807	chr16	59085481	59086481	1
NM_001011808	chr16	59201424	59202424	1
NM_001011809	chr14	50139637	50140637	1
NM_001011810	chr7	108158871	108159871	1
NM_001011811	chr7	108211527	108212527	1
NM_001011812	chr9	39393792	39394792	0
NM_001011813	chr17	37150970	37151970	1
NM_001011814	chr7	140201768	140202768	1
NM_001011815	chr7	140466202	140467202	0
NM_001011816	chr2	88423023	88424023	1
NM_001011818	chr11	58757666	58758666	0
NM_001011819	chr11	58831155	58832155	0
NM_001011820	chr13	21673942	21674942	1
NM_001011820	chr13	21703002	21704002	0
NM_001011821	chr10	129704879	129705879	0
NM_001011822	chr10	129462677	129463677	0
NM_001011823	chr9	18987989	18988989	0
NM_001011824	chr9	18944649	18945649	0
NM_001011825	chr2	87033219	87034219	1
NM_001011826	chr9	39750387	39751387	0
NM_001011827	chr9	39669058	39670058	0
NM_001011828	chr7	86385658	86386658	1
NM_001011829	chr17	37952022	37953022	1
NM_001011830	chr17	37696684	37697684	0
NM_001011831	chr19	13827394	13828394	1
NM_001011832	chr19	13654445	13655445	0
NM_001011833	chr2	87710904	87711904	1
NM_001011834	chr2	87867992	87868992	0
NM_001011835	chr2	88049622	88050622	1
NM_001011836	chr2	87575085	87576085	0
NM_001011837	chr14	50710331	50711331	0
NM_001011839	chr19	12321825	12322825	1
NM_001011840	chr19	13234251	13235251	0
NM_001011841	chr19	13313283	13314283	1
NM_001011842	chr19	13470971	13471971	0
NM_001011845	chr7	103320412	103321412	0
NM_001011846	chr7	108868152	108869152	1
NM_001011847	chr7	103172635	103173635	1
NM_001011848	chr7	105023966	105024966	1
NM_001011849	chr10	129540538	129541538	0
NM_001011850	chr19	13919021	13920021	0
NM_001011851	chr11	74364670	74365670	0
NM_001011852	chr2	85975212	85976212	0
NM_001011853	chr19	12073630	12074630	1
NM_001011854	chr7	103442150	103443150	1
NM_001011855	chr16	19565881	19566881	1
NM_001011856	chr4	118868782	118869782	0
NM_001011857	chr7	105180311	105181311	1
NM_001011858	chr7	108564793	108565793	1
NM_001011859	chr9	39719228	39720228	0
NM_001011860	chr2	89124729	89125729	1
NM_001011861	chr11	58501554	58502554	1
NM_001011862	chr7	106789999	106790999	1
NM_001011863	chr11	74269390	74270390	0
NM_001011864	chr9	38664842	38665842	1
NM_001011865	chr7	103670029	103671029	1
NM_001011866	chr7	86306111	86307111	1
NM_001011867	chr7	140574154	140575154	0
NM_001011868	chr2	88391248	88392248	0
NM_001011869	chr6	42790040	42791040	0
NM_001011870	chr4	118916465	118917465	1
NM_001011871	chr7	108612308	108613308	0
NM_001011872	chr2	86046443	86047443	0
NM_001011873	chr1	13668770	13669770	0
NM_001011874	chr1	3670498	3671498	1
NM_001011875	chr14	51056242	51057242	1
NM_001011876	chr14	44005418	44006418	1
NM_001011877	chr14	51049163	51050163	1
NM_001012236	chr9	109058251	109059251	1
NM_001012265	chr9	19712828	19713828	0
NM_001012266	chr9	19035124	19036124	0
NM_001012269	chr14	52349044	52350044	1
NM_001012273	chr11	117849236	117850236	0
NM_001012305	chr2	14388397	14389397	0
NM_001012306	chr3	98761410	98762410	1
NM_001012307	chr8	21055039	21056039	0
NM_001012307	chr8	21191572	21192572	0
NM_001012309	chr11	77077437	77078437	1
NM_001012310	chr12	108851128	108852128	0
NM_001012311	chr13	21440053	21441053	1
NM_001012322	chr1	120006979	120007979	0
NM_001012323	chr4	62053117	62054117	1
NM_001012324	chr13	49504809	49505809	0
NM_001012325	chr13	67096976	67097976	1
NM_001012330	chr1	177444660	177445660	0
NM_001012335	chr2	91930702	91931702	1
NM_001012336	chr2	91930859	91931859	1
NM_001012363	chr5	38482385	38483385	1
NM_001012392	chr2	154190817	154191817	0
NM_001012396	chr2	14055035	14056035	1
NM_001012400	chr4	119231724	119232724	1
NM_001012401	chr7	30553301	30554301	0
NM_001012402	chr17	24753002	24754002	0
NM_001012434	chr7	97453203	97454203	0
NM_001012448	chr13	67080545	67081545	1
NM_001012449	chr13	67096976	67097976	1
NM_001012450	chr4	32922505	32923505	1
NM_001012451	chr4	32949826	32950826	1
NM_001012477	chr6	117168534	117169534	0
NM_001012517	chr8	31187330	31188330	0
NM_001012518	chr2	24918609	24919609	1
NM_001012520	chr6	129716132	129717132	1
NM_001012623	chr1	22431843	22432843	1
NM_001012623	chr1	22804724	22805724	1
NM_001012624	chr1	22804724	22805724	1
NM_001012625	chr1	22804724	22805724	1
NM_001012638	chr8	105700095	105701095	1
NM_001012640	chr8	20943748	20944748	1
NM_001012667	chr8	22475879	22476879	1
NM_001012704	chr2	164685106	164686106	0
NM_001012723	chr2	164637802	164638802	1
NM_001012725	chr2	164613699	164614699	0
NM_001012726	chr5	113357293	113358293	0
NM_001012765	chr16	35155635	35156635	0
NM_001012766	chr14	44102886	44103886	0
NM_001013012	chr7	6154971	6155971	1
NM_001013013	chr11	67798270	67799270	0
NM_001013019	chr19	8850784	8851784	0
NM_001013022	chr15	89378254	89379254	1
NM_001013023	chr5	3892933	3893933	1
NM_001013024	chr3	32817625	32818625	0
NM_001013025	chr1	43097622	43098622	1
NM_001013026	chr3	100968663	100969663	1
NM_001013028	chr10	85102626	85103626	0
NM_001013256	chr11	69015910	69016910	0
NM_001013360	chr15	79833333	79834333	1
NM_001013362	chr15	79833333	79834333	1
NM_001013365	chr11	4236784	4237784	0
NM_001013366	chr6	34909831	34910831	1
NM_001013367	chr15	5143860	5144860	0
NM_001013368	chr7	48880041	48881041	1
NM_001013369	chr2	170496427	170497427	0
NM_001013370	chr10	41887438	41888438	0
NM_001013371	chr16	35938027	35939027	1
NM_001013372	chr12	87443017	87444017	1
NM_001013373	chr9	45319099	45320099	0
NM_001013374	chr1	36444239	36445239	1
NM_001013375	chr11	93884766	93885766	1
NM_001013376	chr2	3331628	3332628	1
NM_001013377	chr4	43498660	43499660	1
NM_001013378	chr5	149184559	149185559	0
NM_001013379	chr8	69209045	69210045	0
NM_001013380	chr8	104442047	104443047	1
NM_001013381	chr11	94548207	94549207	1
NM_001013382	chr1	167465780	167466780	1
NM_001013384	chr8	84125988	84126988	0
NM_001013385	chr17	27502533	27503533	1
NM_001013386	chr11	83410071	83411071	0
NM_001013387	chrX	21061038	21062038	1
NM_001013389	chr13	25019317	25020317	1
NM_001013390	chr9	45139041	45140041	0
NM_001013391	chr10	117375973	117376973	1
NM_001013393	chr4	73404072	73405072	1
NM_001013405	chr9	122805546	122806546	0
NM_001013411	chr10	32888915	32889915	1
NM_001013412	chr5	135562569	135563569	1
NM_001013414	chr11	69901815	69902815	0
NM_001013441	chr10	84917612	84918612	0
NM_001013575	chr17	37568451	37569451	1
NM_001013577	chr4	59782855	59783855	1
NM_001013580	chr8	127299651	127300651	0
NM_001013581	chr8	127299611	127300611	0
NM_001013607	chr11	70513616	70514616	1
NM_001013608	chr13	63815319	63816319	0
NM_001013609	chr8	27344393	27345393	0
NM_001013616	chr7	104218794	104219794	0
NM_001013741	chr15	98806925	98807925	1
NM_001013745	chr17	37002524	37003524	0
NM_001013749	chr17	45548677	45549677	1
NM_001013750	chr1	28779252	28780252	1
NM_001013751	chr5	134559171	134560171	1
NM_001013753	chr14	84443562	84444562	0
NM_001013755	chr4	126609853	126610853	0
NM_001013756	chr4	135572620	135573620	1
NM_001013757	chr6	13223965	13224965	1
NM_001013758	chr10	80843039	80844039	1
NM_001013759	chr11	83428521	83429521	1
