sequence_identifier	chr_name	heatmap_start	heatmap_end	strand
NM_001109913	chr17	33680458	33685458	1
NM_139311	chr11	97663411	97668411	0
NM_016884	chr14	52099028	52104028	1
NM_009829	chr6	127146048	127151048	1
NM_021887	chr7	125603428	125608428	0
NM_013683	chr17	34187555	34192555	0
NM_175639	chr17	71616214	71621214	0
NM_013674	chr13	30749257	30754257	0
NM_001205314	chr1	52119437	52124437	0
NM_007638	chr6	85451504	85456504	0
NM_001252260	chr11	33158206	33163206	1
NM_017472	chr10	42502053	42507053	0
NM_146200	chr7	126561366	126566366	1
NM_001111292	chr2	103792078	103797078	1
NM_008231	chr3	87906320	87911320	0
NM_007719	chr11	99150077	99155077	1
NM_133664	chr1	135818597	135823597	0
NM_001166595	chr11	69916275	69921275	1
NM_023210	chr3	95929256	95934256	0
NM_009403	chr4	63856284	63861284	1
NM_028696	chr1	51473399	51478399	1
NM_009895	chr9	107296688	107301688	0
NM_008019	chr2	151542498	151547498	0
NM_001204979	chr3	108440259	108445259	1
NM_001287180	chr15	80255183	80260183	0
NM_145941	chr16	20672748	20677748	0
NM_011613	chr14	78303043	78308043	1
NM_013716	chr11	55469751	55474751	0
NM_027817	chr11	61653320	61658320	0
NM_009251	chr12	104214543	104219543	0
NM_180678	chr6	55038000	55043000	0
NM_018807	chr2	153236358	153241358	1
NM_017480	chr1	60977913	60982913	0
NM_001163434	chr2	34772089	34777089	0
NM_029735	chr1	185363094	185368094	0
NM_021526	chr2	61711693	61716693	0
NM_033561	chr5	134634328	134639328	1
NM_053074	chr7	44816419	44821419	0
NM_001164062	chr11	100860483	100865483	0
NM_011498	chr6	108660628	108665628	0
NM_011187	chr2	38638906	38643906	1
NM_010481	chr18	34949351	34954351	1
NM_009852	chr19	10825058	10830058	1
NM_009201	chr7	16781345	16786345	0
NM_031165	chr9	40801272	40806272	0
NM_001170540	chr13	98312006	98317006	1
NM_001077509	chr4	150927998	150932998	0
NM_028782	chr17	56621903	56626903	1
NM_011733	chr6	131383450	131388450	1
NM_001252476	chr7	44981420	44986420	1
NM_007918	chr8	27260326	27265326	0
NM_138599	chr16	57121713	57126713	0
NM_010818	chr16	45404053	45409053	1
NM_007505	chr18	77773767	77778767	0
NM_008638	chr6	83312604	83317604	1
NM_008681	chr15	66964641	66969641	1
NM_015751	chr8	79706740	79711740	1
NM_011969	chr2	180037464	180042464	1
NM_010444	chr15	101266845	101271845	0
NM_019553	chr10	62597298	62602298	1
NM_011638	chr16	32608895	32613895	0
NM_001277113	chr4	152324435	152329435	0
NM_001289612	chr1	36778983	36783983	0
NM_025437	chrX	159372194	159377194	0
NM_001033122	chr6	129270369	129275369	1
NM_012052	chr7	99478709	99483709	1
NM_008320	chr8	120736375	120741375	0
NM_009786	chr1	160207892	160212892	1
NM_007650	chr19	10733974	10738974	1
NM_172015	chr13	49682129	49687129	0
NM_007637	chr15	31596804	31601804	1
NM_011188	chr5	21785282	21790282	0
NM_027739	chr10	127165830	127170830	0
NM_001110500	chr11	50320673	50325673	1
NM_010477	chr1	55082932	55087932	1
NM_133916	chr5	140419304	140424304	0
NM_177420	chr19	15920059	15925059	1
NM_008388	chr15	43277736	43282736	1
NM_008143	chr11	48800359	48805359	0
NM_001142950	chr18	64511557	64516557	1
NM_026578	chr3	129826396	129831396	1
NM_178602	chr9	71480983	71485983	1
NM_197982	chr8	83715176	83720176	0
NM_018738	chr11	58199555	58204555	0
NM_011970	chr4	126677642	126682642	0
NM_018868	chr1	59685005	59690005	0
NM_025567	chr15	76343522	76348522	0
NM_008944	chr13	14613241	14618241	0
NM_011119	chr10	128560934	128565934	1
NM_008330	chr11	49087016	49092016	0
NM_010517	chr11	99041259	99046259	0
NM_009225	chr2	130174364	130179364	1
NM_078478	chr14	37130322	37135322	1
NM_011865	chr6	86521165	86526165	1
NM_001136085	chrX	20662895	20667895	0
NM_001030307	chrX	75095853	75100853	0
NM_026095	chr10	75518041	75523041	0
NM_021463	chrX	140456602	140461602	0
NM_016737	chr19	7035026	7040026	1
NM_133953	chr8	110841803	110846803	1
NM_007669	chr17	29093771	29098771	0
NM_013559	chr5	149631315	149636315	1
NM_134137	chr18	42257071	42262071	1
NM_011631	chr10	86700444	86705444	1
NM_011239	chr16	18243694	18248694	1
NM_016959	chr3	86137668	86142668	1
NM_010579	chr2	155821925	155826925	1
NM_001177352	chr15	61985340	61990340	0
NM_001271419	chr15	74993031	74998031	1
NM_153564	chr3	142496933	142501933	0
NM_146217	chr8	111033841	111038841	0
NM_016891	chr17	20945453	20950453	0
NM_133726	chr15	81394694	81399694	1
NM_177613	chr10	79682194	79687194	0
NM_010090	chr2	127336158	127341158	0
NM_001005859	chr3	130725398	130730398	1
NM_011499	chr6	137735081	137740081	0
NM_009837	chr11	22990592	22995592	0
NM_008368	chr15	78490066	78495066	1
NM_009838	chr5	129787355	129792355	0
NM_008503	chr17	24720062	24725062	0
NM_024193	chr2	130274411	130279411	0
NM_011968	chr12	55398824	55403824	0
NM_001177370	chr19	46305929	46310929	0
NM_009840	chr16	87490869	87495869	1
NM_153547	chr14	31014131	31019131	1
NM_001199350	chr3	130725329	130730329	1
NM_001110145	chr2	69861561	69866561	0
NM_009439	chr11	98682553	98687553	0
NM_015735	chr19	10605624	10610624	0
NM_001003913	chr10	127306786	127311786	1
NM_009137	chr8	94745683	94750683	0
NM_138659	chr11	75486776	75491776	0
NM_053086	chr19	46075846	46080846	0
NM_001111267	chr10	30650867	30655867	1
NM_011655	chr17	35833301	35838301	1
NM_010260	chr3	142620662	142625662	0
NM_010817	chr8	107583482	107588482	1
NM_025546	chr16	11198292	11203292	1
NM_025844	chr9	18292266	18297266	0
NM_011640	chr11	69580358	69585358	0
NM_010480	chr12	110691395	110696395	1
NM_007837	chr10	127290792	127295792	0
NM_009836	chr3	88297134	88302134	0
NM_009080	chr11	68901565	68906565	0
NM_013536	chr6	124707178	124712178	1
NM_009272	chr4	148591512	148596512	0
NM_008366	chr3	37120954	37125954	1
NM_019913	chr15	77923994	77928994	1
NM_016776	chr11	72441377	72446377	0
NM_010699	chr7	46845803	46850803	0
NM_027959	chr12	17266594	17271594	0
NM_018796	chr1	63176830	63181830	0
NM_016871	chr7	19710429	19715429	1
NM_025899	chr7	120635188	120640188	0
NM_008704	chr11	93963521	93968521	1
NM_018749	chr15	77965824	77970824	1
NM_025624	chr5	147860627	147865627	0
NM_025710	chr13	30540316	30545316	1
NM_027000	chr13	8991012	8996012	1
NM_145354	chr13	69612015	69617015	0
NM_145610	chr9	20888174	20893174	0
NM_001290712	chr17	12916328	12921328	0
NM_007636	chr10	117058814	117063814	1
NM_009098	chr4	117151132	117156132	1
NM_008248	chr11	54866437	54871437	0
NM_011192	chr11	101316250	101321250	0
NM_016774	chr10	128083306	128088306	0
NM_008416	chr8	84973748	84978748	1
NM_007573	chr11	70978026	70983026	1
NM_145139	chr15	79075222	79080222	0
NM_001081005	chr2	167062933	167067933	0
NM_026438	chr10	61648620	61653620	0
NM_007720	chr9	120092132	120097132	0
NM_013721	chr2	26910806	26915806	0
NM_011291	chr1	16099433	16104433	1
NM_145422	chr10	85952793	85957793	1
NM_007451	chrX	36795651	36800651	0
NM_009831	chr11	40750286	40755286	1
NM_025380	chr13	38654028	38659028	1
NM_026472	chr1	118321842	118326842	0
NM_008617	chr5	135778648	135783648	0
NM_025352	chr11	53425831	53430831	1
NM_007591	chr8	84841931	84846931	1
NM_011965	chr7	114271116	114276116	1
NM_001002927	chr4	4133445	4138445	1
NM_013693	chr17	35197007	35202007	1
NM_026453	chr8	31163724	31168724	1
NM_001077184	chr10	79704357	79709357	0
NM_011659	chr4	156013694	156018694	0
NM_001163485	chr15	34438276	34443276	1
NM_010908	chr7	28761524	28766524	1
NM_175015	chr2	73906326	73911326	1
NM_010735	chr17	35200351	35205351	1
NM_024220	chr7	97400002	97405002	0
NM_007527	chr7	45461898	45466898	1
NM_146036	chr12	87266727	87271727	0
NM_025443	chr11	17206589	17211589	1
NM_001290552	chr2	32283069	32288069	1
NM_025327	chr3	89246437	89251437	0
NM_028230	chr10	127517444	127522444	1
NM_018799	chr4	129595648	129600648	1
NM_026631	chr11	51619772	51624772	0
NM_010552	chr1	20730904	20735904	0
NM_007531	chr6	124712288	124717288	0
NM_145620	chr9	106477308	106482308	0
NM_053092	chr8	112006354	112011354	1
NM_025974	chr9	120571516	120576516	0
NM_016876	chr9	20893590	20898590	1
NM_027231	chr15	79141366	79146366	0
NM_008950	chr11	106256184	106261184	0
NM_001077529	chr11	93950783	93955783	1
NM_009400	chr4	156026341	156031341	0
NM_010792	chr10	127041931	127046931	0
NM_027204	chr11	120484668	120489668	0
NM_010886	chr6	11902446	11907446	1
NM_001172146	chr5	143904839	143909839	1
NM_175329	chr10	75935572	75940572	0
NM_008655	chr10	80930090	80935090	0
NM_001008705	chr5	145140396	145145396	0
NM_001136081	chr2	85037450	85042450	0
NM_013542	chr14	56257260	56262260	1
NM_011304	chr7	45429464	45434464	1
NM_008683	chr14	55666906	55671906	1
NM_001282737	chr4	107879754	107884754	0
NM_008948	chr2	91054015	91059015	0
NM_013652	chr11	83662583	83667583	0
NM_025448	chr3	88579670	88584670	0
NM_008945	chr3	94881958	94886958	1
NM_009687	chr14	50924948	50929948	0
NM_001243968	chr7	13032627	13037627	1
NM_025310	chr11	106250802	106255802	1
NM_009870	chr10	127063602	127068602	0
NM_011874	chr7	28045092	28050092	1
NM_025313	chr10	80142314	80147314	0
NM_138597	chr16	91926630	91931630	1
NM_197979	chr11	4699344	4704344	1
NM_001038231	chr19	5361363	5366363	1
NM_020024	chr7	105739338	105744338	1
NM_008946	chr11	70525356	70530356	0
NM_026851	chr14	54426908	54431908	0
NM_026318	chr2	121457087	121462087	0
NM_026147	chr4	3830600	3835600	1
NM_018860	chr10	128544168	128549168	1
NM_010798	chr10	75855250	75860250	1
NM_175103	chr7	126695999	126700999	0
NM_175102	chr10	13008449	13013449	0
NM_025403	chr2	112261925	112266925	0
