chr_name	chromosome_id	end	id	id_13_11_20	id_13_11_25	id_14_06_11	start	tag_count_13_11_20	tag_count_13_11_25	tag_count_14_06_11
chr7	8	75590494	380	380.0	247.0	39832.0	75581960	358.7	299.2	23.9
chr11	13	32559783	391	391.0	9612.0	15288.0	32549997	355.6	71.3	126.0
chr11	13	46092245	395	395.0	8895.0	5905.0	46081687	354.6	74.8	253.8
chr3	4	115822847	398	398.0	16892.0	31215.0	115811893	353.5	44.2	40.1
chr3	4	21992398	407	407.0	9676.0	2937.0	21983276	350.4	70.8	347.4
chr11	13	107419714	411	411.0	193.0	19816.0	107407788	348.8	313.7	90.7
chr8	10	122994554	419	419.0	5889.0	11630.0	122984388	344.6	92.4	164.1
chr2	2	3757529	422	422.0	10133.0	37050.0	3748713	343.1	68.8	27.7
chr10	9	39492587	424	424.0	8162.0	26321.0	39483879	343.1	78.3	56.3
chr5	6	122237408	426	426.0	2371.0	44967.0	122228818	342.5	135.5	18.1
chr9	12	14094245	434	434.0	1052.0	13090.0	14087157	340.4	183.2	147.9
chr3	4	126665915	446	446.0	22661.0	27252.0	126657419	337.8	29.6	52.5
chr14	11	27358849	452	452.0	1054.0	7620.0	27349195	337.3	183.2	220.4
chr9	12	96400079	465	465.0	5195.0	13706.0	96391663	334.2	97.4	141.2
chr6	7	134369412	475	475.0	204.0	4665.0	134364200	332.6	311.2	284.4
chr9	12	100463185	479	479.0	14178.0	18490.0	100454223	331.6	52.7	99.2
chr14	11	121330825	497	497.0	498.0	54145.0	121322135	328.4	238.4	11.5
chr12	15	106035143	498	498.0	1145.0	11024.0	106026039	327.9	178.2	171.8
chr12	15	86837975	501	501.0	15237.0	31785.0	86830009	327.4	49.2	39.1
chr7	8	75615050	514	514.0	1641.0	55502.0	75608182	324.8	155.1	8.59
chr8	10	36173471	515	515.0	366.0	27859.0	36164959	324.8	261.0	50.6
chr1	1	91099089	527	527.0	596.0	37024.0	91090327	321.6	223.4	27.7
chr5	6	142933379	540	540.0	1257.0	6977.0	142925165	318.5	172.2	230.9
chr10	9	6993659	550	550.0	292.0	13438.0	6985879	316.4	282.6	144.1
chr2	2	13761386	615	615.0	800.0	41878.0	13753144	301.2	201.3	21.0
chr7	8	80784059	638	638.0	11226.0	22074.0	80774859	297.6	64.2	76.3
chr9	12	61390389	650	650.0	283.0	14005.0	61382211	295.5	284.6	138.4
chr9	12	46155027	665	665.0	1083.0	5454.0	46148675	292.9	181.2	263.4
chr10	9	81304905	677	677.0	4873.0	5235.0	81297087	290.2	100.4	269.1
chr1	1	88645462	680	680.0	15300.0	15536.0	88637468	289.7	48.7	123.1
chr7	8	16047205	689	689.0	27316.0	22605.0	16040793	288.1	21.1	73.5
chr1	1	39927388	695	695.0	31336.0	38206.0	39919744	287.1	15.6	25.8
chr9	12	122194405	698	698.0	3098.0	12136.0	122186413	287.1	122.0	158.4
chr17	18	31832386	711	711.0	19965.0	35348.0	31823362	285.5	36.1	31.5
chr8	10	123024712	714	714.0	10176.0	5452.0	123013684	285.0	68.8	263.4
chr17	18	12784316	716	716.0	577.0	9406.0	12778844	285.0	226.9	193.7
chr9	12	115613906	720	720.0	661.0	39928.0	115608560	284.5	215.8	23.9
chr12	15	16532943	721	721.0	25637.0	11563.0	16525607	284.5	24.1	165.1
chr15	16	81046255	731	731.0	488.0	26392.0	81039905	283.4	239.4	56.3
chr8	10	36185141	742	742.0	553.0	12386.0	36178029	281.3	228.9	155.6
chr12	15	80820870	764	764.0	2758.0	16454.0	80811774	278.2	128.5	115.5
chr3	4	52846346	780	780.0	1652.0	54981.0	52837064	276.1	154.6	9.54
chr5	6	107757338	782	782.0	1417.0	26767.0	107749108	276.1	164.6	54.4
chr4	5	121007297	792	792.0	18431.0	51161.0	120999153	275.1	39.7	13.4
chr1	1	173442269	821	821.0	5053.0	8954.0	173435413	271.4	98.4	199.5
chr13	14	45878429	830	830.0	11137.0	8103.0	45870725	270.4	64.8	212.8
chr14	11	31665728	831	831.0	10793.0	13555.0	31661000	270.4	66.3	143.1
chr9	12	66282420	857	857.0	1422.0	28700.0	66275876	267.2	164.6	47.7
chr10	9	75305590	858	858.0	394.0	13343.0	75299212	267.2	255.0	145.1
chr13	14	43456482	872	872.0	21399.0	20252.0	43447590	265.7	32.6	87.8
chr6	7	113665204	874	874.0	761.0	22778.0	113657272	265.1	205.3	72.5
chr11	13	76736544	914	914.0	1938.0	8433.0	76729948	261.0	146.6	208.0
chr2	2	62395713	927	927.0	6934.0	8069.0	62389673	259.4	85.3	212.8
chr3	4	84682937	934	934.0	25478.0	49692.0	84675273	258.9	24.1	14.3
chr10	9	96376975	943	943.0	9508.0	6847.0	96369897	258.3	71.8	233.8
chr10	9	116920042	955	955.0	641.0	30655.0	116912248	257.3	218.3	42.0
chr1	1	127349092	957	957.0	565.0	15853.0	127343958	256.8	227.4	120.2
chr11	13	45878837	963	963.0	38672.0	11017.0	45869967	256.8	9.54	171.8
chr11	13	58036683	968	968.0	3811.0	0.0	58029541	256.2	111.9	0.0
chr1	1	155093341	972	972.0	441.0	28849.0	155085181	255.7	245.4	46.8
chr16	17	24914391	977	977.0	507.0	6232.0	24908099	255.7	236.4	246.2
chr11	13	99112302	986	986.0	1169.0	34707.0	99103802	255.2	177.2	32.4
chr1	1	181867427	993	993.0	20007.0	17666.0	181859203	254.2	35.6	105.0
chr14	11	56288819	1010	1010.0	845.0	17511.0	56281273	252.6	197.8	106.9
chr11	13	70793100	1032	1032.0	1155.0	23181.0	70786958	250.5	177.7	70.6
chr17	18	84167433	1036	1036.0	1697.0	32233.0	84160301	250.5	153.6	38.2
chr9	12	32913252	1039	1039.0	7481.0	10921.0	32904590	250.0	82.3	172.7
chr5	6	93137713	1043	1043.0	7639.0	6306.0	93131481	248.9	81.3	244.3
chr10	9	96728037	1045	1045.0	20965.0	18770.0	96720963	248.9	33.6	97.3
chr5	6	65932661	1054	1054.0	721.0	8406.0	65926159	248.4	209.3	208.0
chr14	11	78438583	1068	1068.0	14781.0	7673.0	78432945	247.9	50.7	219.5
chr18	20	82515680	1069	1069.0	4898.0	10300.0	82508038	247.9	100.4	181.3
chr9	12	96789195	1095	1095.0	696.0	8488.0	96782261	245.3	211.8	207.1
chr5	6	105646429	1107	1107.0	892.0	24477.0	105639141	243.7	194.3	63.9
chr10	9	67074855	1125	1125.0	22014.0	19189.0	67069133	242.7	31.1	94.5
chr2	2	152792154	1127	1127.0	1477.0	53455.0	152787248	242.1	162.1	11.5
chr9	12	96439629	1141	1141.0	1153.0	44184.0	96435205	241.6	177.7	19.1
chr10	9	95266909	1148	1148.0	5421.0	8429.0	95260317	241.1	95.9	208.0
chr8	10	115190763	1152	1152.0	5140.0	17964.0	115184749	240.6	97.9	103.1
chr3	4	101298672	1158	1158.0	1606.0	7998.0	101292764	240.0	156.1	213.8
chr11	13	52311246	1161	1161.0	1995.0	35702.0	52304286	240.0	144.6	30.5
chr5	6	64493245	1174	1174.0	33144.0	48618.0	64486703	239.0	13.6	15.3
chr2	2	174607247	1178	1178.0	548.0	31951.0	174600855	238.5	229.4	38.2
chr5	6	118580746	1185	1185.0	8962.0	17450.0	118572304	237.9	74.3	106.9
chr12	15	26188764	1203	1203.0	763.0	6994.0	26184298	236.9	205.3	230.9
chr18	20	81431024	1214	1214.0	7428.0	15736.0	81425252	235.9	82.8	122.2
chr3	4	115686225	1216	1216.0	32097.0	30504.0	115679247	235.3	14.6	42.0
chr7	8	104295197	1220	1220.0	6248.0	7339.0	104286419	235.3	89.8	224.3
chr16	17	24220542	1223	1223.0	12113.0	15949.0	24213964	235.3	60.7	120.2
chr5	6	107652883	1225	1225.0	859.0	10122.0	107647467	234.8	196.3	183.2
chr14	11	27385248	1252	1252.0	11145.0	21809.0	27377284	232.7	64.8	78.3
chr17	18	50526612	1254	1254.0	23833.0	29761.0	50519098	232.7	27.6	44.9
chr4	5	101202104	1264	1264.0	2289.0	10598.0	101193820	231.7	137.0	176.5
chr11	13	11660319	1269	1269.0	5422.0	46403.0	11654925	231.7	95.9	17.2
chr5	6	23420956	1273	1273.0	3013.0	27804.0	23415024	231.1	123.5	50.6
chr1	1	137903936	1279	1279.0	1964.0	33957.0	137898072	230.6	145.6	33.4
chr11	13	117996101	1295	1295.0	4487.0	8993.0	117988623	230.1	104.4	199.5
chr13	14	51121058	1310	1310.0	12974.0	10425.0	51113118	229.1	57.2	179.4
chr6	7	86609877	1320	1320.0	2626.0	29607.0	86604537	228.0	130.5	44.9
chr3	4	37206614	1369	1369.0	779.0	21370.0	37201646	225.4	203.8	80.2
chr15	16	6716295	1373	1373.0	756.0	30047.0	6709521	225.4	205.8	43.9
chr9	12	73074555	1396	1396.0	14903.0	24311.0	73067207	223.3	50.2	64.9
chr11	13	64041351	1398	1398.0	5766.0	11882.0	64034429	223.3	93.4	161.3
chr7	8	75471206	1404	1404.0	14568.0	13331.0	75462294	222.8	51.2	145.1
chr1	1	193192324	1454	1454.0	1871.0	40355.0	193186770	219.1	148.1	22.9
chr15	16	97426340	1459	1459.0	23079.0	54815.0	97420138	219.1	29.1	10.5
chr6	7	22411899	1471	1471.0	4405.0	20926.0	22406091	218.1	104.9	83.0
chr2	2	167507926	1496	1496.0	2644.0	41924.0	167502946	216.5	130.0	21.0
chr6	7	121218473	1512	1512.0	11911.0	17825.0	121213935	216.0	61.2	104.0
chr8	10	115400791	1520	1520.0	3642.0	18902.0	115397163	215.5	113.9	96.4
chr18	20	76251103	1534	1534.0	14230.0	16271.0	76242765	214.9	52.7	117.4
chr1	1	37313978	1535	1535.0	1149.0	14618.0	37307378	214.4	177.7	131.7
chr18	20	39050640	1556	1556.0	1531.0	9590.0	39044558	213.9	160.1	190.9
chr8	10	84726298	1559	1559.0	1201.0	25416.0	84721952	213.4	175.2	60.1
chr9	12	41121392	1560	1560.0	2120.0	8793.0	41115006	213.4	141.0	202.3
chr1	1	80726482	1578	1578.0	11745.0	20440.0	80719232	212.3	61.7	85.9
chr14	11	121907437	1605	1605.0	3143.0	10703.0	121902191	211.3	121.5	175.6
chr14	11	121934548	1606	1606.0	19748.0	19083.0	121928270	211.3	36.6	95.4
chr16	17	10669129	1631	1631.0	4977.0	14139.0	10662507	209.7	99.4	137.4
chr19	21	33225477	1655	1655.0	4448.0	50742.0	33220609	208.7	104.9	14.3
chr1	1	171966875	1656	1656.0	1003.0	12781.0	171960233	208.1	186.2	150.8
chr12	15	116146906	1676	1676.0	806.0	12497.0	116143224	207.6	201.3	154.6
chr16	17	52096559	1696	1696.0	23322.0	9583.0	52090543	207.1	28.6	190.9
chr9	12	45297264	1730	1730.0	27032.0	13791.0	45290426	205.0	21.6	140.3
chr9	12	116370214	1756	1756.0	34815.0	15801.0	116364752	204.0	12.0	121.2
chr14	11	25610940	1761	1761.0	4323.0	13928.0	25606232	204.0	105.9	139.3
chr19	21	32410959	1767	1767.0	8827.0	18557.0	32404441	204.0	75.3	99.2
chr15	16	36376220	1793	1793.0	2727.0	40151.0	36371572	202.4	129.0	23.9
chr3	4	52300913	1800	1800.0	1347.0	30175.0	52294921	201.9	168.2	42.9
chr10	9	118086444	1811	1811.0	10764.0	23526.0	118080074	201.3	66.3	68.7
chr4	5	106843068	1825	1825.0	858.0	21378.0	106837296	200.8	196.3	80.2
chr12	15	26404357	1833	1833.0	0.0	45337.0	26399265	200.8	0.0	18.1
chr11	13	45796506	1842	1842.0	1468.0	31759.0	45791732	200.3	162.6	39.1
chr15	16	100063509	1844	1844.0	22830.0	31472.0	100057087	200.3	29.6	40.1
chr11	13	22816814	1853	1853.0	1430.0	9062.0	22812926	199.8	164.1	198.5
chr7	8	90357776	1887	1887.0	1091.0	12813.0	90353224	198.7	180.7	150.8
chr1	1	92053809	1896	1896.0	21900.0	23608.0	92049001	198.2	31.1	67.8
chr1	1	167248777	1924	1924.0	10684.0	14332.0	167242741	197.2	66.3	134.6
chr2	2	22788767	1961	1961.0	17040.0	14932.0	22783107	196.1	43.7	128.8
chr17	18	79350859	1981	1981.0	3214.0	45616.0	79345865	195.6	120.5	18.1
chr2	2	167337756	2026	2026.0	6866.0	17561.0	167330682	193.5	85.8	105.9
chr12	15	82191256	2032	2032.0	1036.0	11651.0	82186546	193.5	184.2	164.1
chr14	11	122004356	2036	2036.0	16656.0	38079.0	121998140	193.5	45.2	26.7
chr4	5	8807202	2045	2045.0	1062.0	15350.0	8802212	193.0	182.2	125.0
chr11	13	57954922	2049	2049.0	1360.0	9987.0	57950592	193.0	167.6	185.1
chr12	15	54569692	2051	2051.0	1847.0	13450.0	54566056	193.0	149.1	144.1
chr18	20	39013198	2082	2082.0	9225.0	14719.0	39008414	191.9	73.3	131.7
chr1	1	13295808	2084	2084.0	1226.0	17419.0	13291480	191.4	173.7	106.9
chr1	1	52654801	2105	2105.0	4120.0	14731.0	52648979	190.9	107.9	130.7
chr6	7	54832022	2112	2112.0	18667.0	17104.0	54826500	190.9	39.2	109.7
chr14	11	31672531	2122	2122.0	4541.0	40808.0	31667755	190.9	103.9	22.9
chr15	16	61444165	2123	2123.0	1745.0	23974.0	61438461	190.9	152.1	66.8
chr11	13	58022389	2162	2162.0	7823.0	10490.0	58015953	189.3	80.3	178.5
chr16	17	52131549	2184	2184.0	3626.0	10435.0	52125961	188.8	114.4	179.4
chr11	13	30168979	2215	2215.0	1335.0	21282.0	30163845	187.7	168.7	81.1
chr5	6	36362222	2237	2237.0	32136.0	33638.0	36357032	186.7	14.6	34.4
chr6	7	38850314	2239	2239.0	1758.0	10744.0	38846030	186.7	151.6	174.6
chr3	4	146160208	2253	2253.0	1460.0	10597.0	146155762	186.2	162.6	176.5
chr5	6	118050033	2255	2255.0	4627.0	10189.0	118045213	186.2	102.9	182.3
chr16	17	48802180	2282	2282.0	13235.0	21474.0	48795890	185.6	56.2	80.2
chr2	2	180446838	2295	2295.0	2479.0	11448.0	180440908	184.6	133.0	166.0
chr1	1	92067230	2337	2337.0	1985.0	42741.0	92062576	183.6	144.6	20.0
chr8	10	11467130	2349	2349.0	31810.0	15889.0	11461296	183.6	15.1	120.2
chr12	15	28813568	2353	2353.0	1585.0	35731.0	28807396	183.6	157.6	30.5
chr2	2	166472577	2361	2361.0	21721.0	41124.0	166467429	183.0	31.6	21.9
chr12	15	3550283	2372	2372.0	2378.0	13447.0	3544613	183.0	135.5	144.1
chr12	15	118377591	2390	2390.0	10527.0	20832.0	118372591	182.5	67.3	84.0
chr6	7	108468381	2400	2400.0	7725.0	12193.0	108463959	182.0	80.8	157.5
chr3	4	90297142	2410	2410.0	21286.0	18991.0	90292086	181.5	32.6	95.4
chr15	16	25831802	2426	2426.0	4373.0	16822.0	25827564	181.5	105.4	112.6
chr3	4	52576862	2430	2430.0	35803.0	10528.0	52571230	180.9	11.0	177.5
chr12	15	25166198	2463	2463.0	3443.0	11170.0	25163702	180.4	117.0	169.9
chr11	13	21225862	2483	2483.0	0.0	10554.0	21220212	179.9	0.0	177.5
chr11	13	94277972	2485	2485.0	29865.0	44289.0	94273744	179.9	17.6	19.1
chr15	16	53313038	2490	2490.0	2021.0	11733.0	53308034	179.9	144.1	163.2
chrX	3	113872844	2495	2495.0	32504.0	23598.0	113866924	179.9	14.6	68.7
chr3	4	9552343	2497	2497.0	2259.0	18172.0	9549503	179.4	137.5	101.2
chr2	2	128369459	2516	2516.0	3036.0	14847.0	128365999	178.9	123.0	129.8
chr7	8	42506660	2522	2522.0	3095.0	24288.0	42501118	178.9	122.0	64.9
chr17	18	47524826	2535	2535.0	41226.0	16162.0	47519484	178.9	8.03	118.3
chr11	13	21245405	2576	2576.0	5350.0	10932.0	21240093	177.8	96.4	172.7
chr15	16	98515733	2583	2583.0	13234.0	21982.0	98511005	177.8	56.2	77.3
chr15	16	80685658	2598	2598.0	3623.0	27939.0	80680848	177.3	114.4	50.6
chr16	17	24509276	2618	2618.0	5511.0	17402.0	24504736	176.8	95.4	107.8
chr17	18	78249786	2619	2619.0	11985.0	22514.0	78244792	176.8	61.2	74.4
chr16	17	14381654	2639	2639.0	1958.0	18535.0	14378594	176.2	146.1	99.2
chr6	7	146483650	2662	2662.0	3295.0	15053.0	146478146	175.2	119.0	127.9
chr11	13	114878067	2691	2691.0	10199.0	11401.0	114873077	174.7	68.8	167.0
chr13	14	101541988	2717	2717.0	8909.0	12307.0	101537896	174.1	74.8	156.5
chr16	17	92797457	2721	2721.0	27797.0	54833.0	92790579	174.1	20.6	10.5
chr7	8	114162892	2733	2733.0	3269.0	12714.0	114157402	173.6	119.5	151.7
chr2	2	43774960	2783	2783.0	25172.0	14737.0	43770772	172.1	24.6	130.7
chr11	13	120855844	2795	2795.0	1956.0	12744.0	120850354	172.1	146.1	151.7
chr19	21	21649011	2802	2802.0	10443.0	20877.0	21644379	172.1	67.8	84.0
chr1	1	164574054	2804	2804.0	38083.0	12342.0	164569750	171.5	9.54	155.6
chr1	1	64089219	2849	2849.0	15131.0	18429.0	64084213	170.5	49.2	99.2
chr7	8	117487533	2859	2859.0	2883.0	17352.0	117484437	170.5	126.0	107.8
chr17	18	52164927	2868	2868.0	8709.0	12947.0	52159173	170.5	75.8	149.8
chr1	1	160303360	2874	2874.0	19801.0	40341.0	160297084	170.0	36.1	22.9
chr2	2	70093512	2875	2875.0	4128.0	30156.0	70089476	170.0	107.9	42.9
chr11	13	52321977	2883	2883.0	15781.0	11313.0	52317671	170.0	47.7	168.0
chr12	15	91736681	2886	2886.0	2206.0	11566.0	91733995	170.0	139.0	165.1
chr11	13	4290070	2907	2907.0	3078.0	11396.0	4285874	169.4	122.5	167.0
chr12	15	105023452	2909	2909.0	14938.0	19208.0	105019502	169.4	50.2	94.5
chr2	2	26741508	2923	2923.0	25168.0	20594.0	26736772	168.9	24.6	84.9
chr8	10	128490394	2979	2979.0	2137.0	15579.0	128486848	167.3	140.5	123.1
chr12	15	82228122	3005	3005.0	4162.0	23742.0	82223640	166.8	107.9	67.8
chr2	2	164010606	3011	3011.0	26916.0	43850.0	164003146	166.3	21.6	19.1
chr13	14	75826731	3025	3025.0	3082.0	39342.0	75823443	166.3	122.5	24.8
chr5	6	107226154	3070	3070.0	21956.0	16534.0	107220400	165.3	31.1	114.5
chr17	18	84006604	3082	3082.0	2042.0	13384.0	84003176	165.3	143.6	145.1
chrX	3	50618899	3103	3103.0	0.0	32661.0	50611683	164.7	0.0	37.2
chr1	1	51586946	3130	3130.0	5304.0	14729.0	51583322	163.7	96.4	130.7
chr10	9	18968368	3165	3165.0	2397.0	14117.0	18964024	163.2	135.0	137.4
chr7	8	102318617	3197	3197.0	6804.0	14659.0	102312813	162.6	86.3	131.7
chr12	15	102304816	3251	3251.0	2041.0	13725.0	102300950	161.6	143.6	141.2
chr13	14	92675898	3355	3355.0	9982.0	22861.0	92671820	159.5	69.8	72.5
chr15	16	6604623	3382	3382.0	8689.0	38082.0	6600589	159.0	75.8	26.7
chr15	16	50404361	3383	3383.0	2310.0	18938.0	50399791	159.0	137.0	96.4
chr5	6	141046656	3401	3401.0	3505.0	12112.0	141043314	158.5	115.9	158.4
chrX	3	18193198	3416	3416.0	33555.0	45684.0	18187924	158.5	13.6	18.1
chr9	12	56261288	3433	3433.0	6328.0	14786.0	56256626	157.9	89.3	130.7
chr9	12	122152452	3436	3436.0	30179.0	16019.0	122147456	157.9	17.1	119.3
chr13	14	97209336	3443	3443.0	10422.0	12502.0	97205264	157.9	67.8	154.6
chr9	12	73058288	3491	3491.0	34806.0	39915.0	73052102	156.9	12.0	23.9
chr11	13	101064966	3525	3525.0	35453.0	28429.0	101059374	156.4	11.5	48.7
chr12	15	108805404	3529	3529.0	33388.0	54044.0	108798792	156.4	13.6	11.5
chr10	9	111174271	3556	3556.0	6113.0	15696.0	111169833	155.8	90.9	122.2
chr1	1	37475486	3565	3565.0	4846.0	48328.0	37471416	155.3	100.4	15.3
chr3	4	100820518	3573	3573.0	22930.0	32336.0	100817186	155.3	29.1	37.2
chr17	18	83370091	3594	3594.0	12347.0	23787.0	83364769	155.3	59.7	67.8
chr12	15	25258047	3679	3679.0	21392.0	12653.0	25254341	153.7	32.6	152.7
chr2	2	79252376	3696	3696.0	12012.0	19432.0	79247300	153.2	60.7	92.6
chr8	10	22730981	3703	3703.0	3434.0	14371.0	22726815	153.2	117.0	134.6
chr11	13	74963339	3709	3709.0	8897.0	13351.0	74958429	153.2	74.8	145.1
chr11	13	116380531	3712	3712.0	24242.0	17984.0	116374731	153.2	26.6	103.1
chr1	1	136639430	3725	3725.0	24607.0	27216.0	136634386	152.7	25.6	52.5
chr6	7	120957258	3735	3735.0	26672.0	16643.0	120953400	152.7	22.1	113.6
chr9	12	72101983	3738	3738.0	13066.0	20649.0	72096797	152.7	56.7	84.9
chr13	14	101665211	3750	3750.0	8008.0	16030.0	101661301	152.7	79.3	119.3
chr10	9	26327114	3778	3778.0	13317.0	16791.0	26321972	152.2	55.7	112.6
chr1	1	39093459	3794	3794.0	7611.0	13571.0	39089327	151.7	81.3	142.2
chr17	18	73871294	3827	3827.0	9765.0	15109.0	73868268	151.7	70.8	127.9
chr18	20	39084615	3828	3828.0	2077.0	13386.0	39081675	151.7	142.6	145.1
chr10	9	42893471	3849	3849.0	28025.0	23719.0	42887017	151.1	20.1	67.8
chr14	11	25550013	3856	3856.0	11709.0	20111.0	25546235	151.1	62.2	88.8
chr2	2	17366404	3864	3864.0	11061.0	24432.0	17363236	150.6	64.8	63.9
chr13	14	104576601	3881	3881.0	15245.0	23754.0	104573389	150.6	49.2	67.8
chr1	1	106517778	3920	3920.0	38058.0	15968.0	106514152	149.6	9.54	119.3
chr11	13	96444209	3980	3980.0	32813.0	53986.0	96439423	149.0	14.1	11.5
chr15	16	66846324	3985	3985.0	5363.0	21314.0	66842062	149.0	96.4	81.1
chr4	5	106831148	4002	4002.0	2429.0	48572.0	106827006	148.5	134.0	15.3
chr10	9	96241659	4014	4014.0	3237.0	27355.0	96237805	148.5	120.0	52.5
chr18	20	4280972	4067	4067.0	34130.0	13837.0	4276952	148.0	13.1	140.3
chr2	2	29650869	4076	4076.0	29678.0	14736.0	29646591	147.5	17.6	130.7
chr11	13	4196991	4096	4096.0	0.0	31389.0	4192993	147.5	0.0	40.1
chr11	13	46362610	4097	4097.0	0.0	13442.0	46357490	147.5	0.0	144.1
chr19	21	9056699	4107	4107.0	17199.0	16833.0	9052313	147.5	43.7	112.6
chr1	1	39099012	4108	4108.0	3284.0	18970.0	39095876	146.9	119.0	95.4
chr11	13	4253649	4125	4125.0	5842.0	49005.0	4249505	146.9	92.9	15.3
chr12	15	100858041	4130	4130.0	4216.0	35255.0	100855015	146.9	107.4	31.5
chr17	18	51410134	4173	4173.0	5108.0	54260.0	51406332	146.4	98.4	11.5
chr19	21	5818888	4175	4175.0	23842.0	14609.0	5813374	146.4	27.6	132.6
chr16	17	45021869	4199	4199.0	11033.0	38123.0	45018249	145.9	65.3	26.7
chr10	9	116566845	4219	4219.0	16615.0	28140.0	116562169	145.4	45.2	49.6
chr10	9	40374848	4251	4251.0	4727.0	25671.0	40370778	144.9	101.9	59.2
chr6	7	54159702	4286	4286.0	5676.0	19467.0	54157076	144.3	93.9	92.6
chr15	16	78518741	4334	4334.0	19754.0	29123.0	78514113	143.8	36.6	46.8
chr1	1	138300324	4338	4338.0	5720.0	14930.0	138296800	143.3	93.4	128.8
chr14	11	70275063	4359	4359.0	10219.0	17164.0	70270677	143.3	68.8	109.7
chr1	1	151687597	4368	4368.0	3733.0	49544.0	151682907	142.8	112.4	14.3
chr12	15	35801453	4388	4388.0	5286.0	17626.0	35798953	142.8	96.9	105.9
chr18	20	80599226	4399	4399.0	42442.0	14049.0	80595356	142.8	7.53	138.4
chr11	13	117244092	4477	4477.0	30233.0	29393.0	117240316	141.7	17.1	45.8
chr13	14	43779192	4481	4481.0	11383.0	15928.0	43774572	141.7	63.7	120.2
chr13	14	45456164	4482	4482.0	8800.0	21626.0	45452664	141.7	75.3	79.2
chr14	11	31763286	4485	4485.0	13788.0	32175.0	31758556	141.7	54.2	38.2
chr3	4	9155685	4505	4505.0	5808.0	29850.0	9151429	141.2	92.9	43.9
chr4	5	33274662	4541	4541.0	7173.0	23288.0	33268842	140.7	83.8	69.7
chr10	9	40421396	4555	4555.0	10758.0	45222.0	40417188	140.7	66.3	18.1
chr15	16	66758087	4600	4600.0	3410.0	40842.0	66755363	140.2	117.5	22.9
chr2	2	91878540	4612	4612.0	5387.0	27495.0	91875304	139.6	95.9	51.5
chr3	4	89901769	4616	4616.0	19026.0	21372.0	89896315	139.6	38.1	80.2
chr6	7	39288432	4625	4625.0	37391.0	35060.0	39284386	139.6	10.0	31.5
chr1	1	38696528	4680	4680.0	3009.0	16062.0	38693384	138.6	123.5	118.3
chr10	9	81249839	4704	4704.0	3306.0	15168.0	81246951	138.6	119.0	126.9
chr12	15	107815197	4710	4710.0	6197.0	50376.0	107810681	138.6	90.3	14.3
chr3	4	136745209	4728	4728.0	0.0	14252.0	136742115	138.1	0.0	135.5
chr4	5	145222939	4760	4760.0	4671.0	14948.0	145219751	137.5	102.4	128.8
chr11	13	32584350	4782	4782.0	13476.0	20519.0	32580420	137.5	55.2	85.9
chr7	8	142342080	4822	4822.0	3709.0	16105.0	142339496	137.0	112.9	118.3
chr7	8	75579930	4861	4861.0	15032.0	16319.0	75574590	136.5	49.7	116.4
