	gene_name	label	10uM_K99A vs. No_Peptide logFC	100uM_K99A vs. No_Peptide logFC	0_1uM_PCC vs. No_Peptide logFC	10uM_PCC vs. No_Peptide logFC
NM_011346	Sell	0	0.699369220661464	1.5912416989028502	1.79670744145327	2.30986661181282
NM_008452	Klf2	0	0.748956684632006	1.55711442217512	2.0561479387548602	2.40922226022799
NM_007800	Ctsg	0	0.772307799006689	1.3148829228727301	1.6737274023527	2.33119558125081
NM_029679	Fam65b	0	0.777041822920932	1.9004405966552902	2.02379871157404	2.5332631220875097
NM_013658	Sema4a	0	0.7901457758768392	1.16471897204382	1.94826178357236	2.06304385025675
NM_011178	Prtn3	0	0.7937892608161031	1.49758334149822	2.71444318719608	3.77502791071446
NM_019456	Apbb1ip	0	0.7959934910382579	1.41282466801018	1.9561091929049799	2.20222621897959
NM_009923	Cnp	0	0.7977635335254821	1.5844456801732298	1.84340509236705	2.22855454577065
NM_178372	Prss34	0	0.8048469507306769	1.2807887415374	1.77291046185316	2.44218534219101
NM_153551	Dennd1c	0	0.8054851802805129	1.8815376285345802	2.13788561286324	1.9569212573094499
NM_013698	Txk	0	0.812528754447081	1.35556812402515	2.0978539087461	2.1253377170418
NM_001026214	Entpd5	0	0.819000120626785	1.2823741975796201	1.8409120113275501	2.16639794997058
NM_001289740	Mturn	0	0.820399781212044	1.98155927889218	2.4243638044449303	2.5538053227728104
NM_172631	Ldlrad4	0	0.832461476995095	2.1647374300326003	2.1931118794386797	2.8913265205652703
NM_001081349	Slc43a1	0	0.8343872228296321	1.9115320169659298	2.16382852632598	2.38275972289004
NM_010102	S1pr4	0	0.8359413005043241	1.73985963677342	2.2326522215561204	2.6240078177890602
NM_001033186	Skap1	0	0.839226753283443	1.45082547911501	1.9921296376276298	2.18387324446511
NM_016811	Dgka	0	0.840820927668699	1.9613568513119501	2.08723030621322	2.0928779535672803
NM_023258	Pycard	0	0.8480381737670941	1.11816531747273	2.00047849220678	1.6605040723884699
NM_152839	Igj	0	0.849554684043435	1.12501366240809	1.4770687778532698	2.17084479511872
NM_011882	Rnasel	0	0.861717446422125	1.3952171960525501	2.14798312578951	2.5232647139126803
NM_001037727	Arhgap25	0	0.8652599658466059	1.35795862444427	2.0322941343936898	2.31884589103216
NM_009553	Zscan2	0	0.879659298347157	1.4900124300413	1.7233424551438001	2.46489380730867
NM_001242424	Fam105a	0	0.880638570428852	1.6752296332104901	2.13802582792045	2.10375314407648
NM_013566	Itgb7	0	0.8809260657706809	1.7488669842510602	1.8815395896706102	2.3117391818696804
NM_030174	Mctp1	0	0.881393292954461	1.9610486660941202	3.58413753447159	3.43762687935934
NM_015771	Lats2	0	0.887541298497602	1.37329633462119	1.95460627711979	2.08867489297121
NM_010422	Hexb	0	0.8944648200236741	1.3488093850893401	1.94812455291064	2.0865258180441
NM_011851	Nt5e	0	0.8946375432604871	1.79226177871706	2.3058331225979303	2.77587568680377
NM_146001	Hip1	0	0.8950633280266259	1.6679473453879299	2.07345986291182	1.56386984089102
NM_010576	Itga4	0	0.899130247150135	1.47201212938988	2.3486690757768702	2.4033831707025297
NM_019733	Rbpms	0	0.8993387053327758	1.17079971719655	2.46281530239648	1.61407391238592
NM_010553	Il18rap	0	0.90193820214149	1.52212668642583	1.8742579877323797	2.3601123762612097
NM_008018	Sh3pxd2a	0	0.9028389903827091	1.42214689832776	1.98653005525122	2.02758547794466
NM_138630	Arhgap4	0	0.9059525688146509	1.6874397300208401	2.14771486051547	2.1359463096611
NM_023386	Rtp4	0	0.9063058137856999	1.1718372153257	1.5523417874518302	2.4249294931386802
NM_001205345	Sun2	0	0.907768696420307	1.45705929976288	2.01785134200334	2.11124149734375
NM_010074	Dpp4	0	0.914405479310278	1.41389901423465	1.85493903995857	2.2208953423830198
NM_011416	Smarca2	0	0.9179267370647042	1.56195476801132	1.9464764092708502	2.0683596519366203
NM_133649	Slc12a6	0	0.918337493394874	1.7594355331753302	2.15572572881309	2.21917398791031
NM_001293622	Ppp3ca	0	0.9213392485145859	1.4205607867304098	2.030723543794	2.3720288586417904
NM_011242	Rasgrp2	0	0.922543804138984	2.56404258015431	3.1835650988822697	3.9020664983073394
NM_173019	Pfkfb4	0	0.922906344044154	1.47181725166742	1.80477923949922	2.1445505760964
NM_009229	Sntb2	0	0.9234669825206551	1.58442661909991	1.67013878146714	2.02248554300262
NM_178593	Rcsd1	0	0.9332443132573579	1.2824479185693	2.22232674950128	2.44429033087938
NM_001128146	5830411N06Rik	0	0.9431034816588829	2.29165932206877	3.6747509308625297	5.04921004548926
NM_053262	Hsd17b11	0	0.9523917387184959	1.6380069339503798	2.35412840893223	2.08474360618135
NM_080553	Itpr3	0	0.953888939750966	1.83159947380927	1.9848846346153999	2.17524814453287
NM_001290755	Tlr7	0	0.958446479581142	1.3433857793125599	2.7502628736566095	2.65710310722559
NM_013673	Sp100	0	0.958927425943468	1.7559838614594798	2.14825462699685	2.2450095067591
NR_029458	A530088E08Rik	0	0.966519749850875	1.71678853495891	2.14497432062268	2.2096172196835098
NM_177708	Rtn4rl1	0	0.966785161648795	1.70560713074424	2.29058726972688	3.10718147330518
NM_007901	S1pr1	0	0.9725091120624151	2.09605729152694	3.0563150309147997	3.86215639444008
NM_175445	Rassf2	0	0.976025261301119	1.3782939745821001	2.17825485631366	2.20129234536435
NM_010495	Id1	0	0.9867763642994041	0.770882519916365	1.47192396652058	2.38731242566298
NM_001033435	Milr1	0	0.986885905147212	1.7785770835039498	2.6389971285473197	2.82125633906717
NM_001081962	Sap25	0	0.989352857445125	1.9641511838845802	2.27362027118562	2.26609219597486
NM_177363	Tarm1	0	0.993512225677592	0.40245316311073	1.18859537551622	2.13667408187024
NM_172909	Cd163l1	0	0.996027642102912	1.6523208728953098	3.2333133002666496	5.48105752744099
NM_133210	Sertad3	0	0.997017228922854	1.60200222239627	2.3337094863290098	1.8382104308031801
NM_029116	Kbtbd11	0	0.9994746413271941	1.9290195254714702	2.13255571547521	2.7903448009528797
NM_134154	Slc25a45	0	1.00278877651284	1.71036944983329	2.2441440654275198	2.38767978684121
NR_037964	2610507I01Rik	0	1.00552273055462	1.96942997142034	2.11633334761357	2.44769530760944
NM_145587	Sbk1	0	1.00623670234595	1.5744064401861	1.3609059705172	2.06899410915905
NM_008816	Pecam1	0	1.00626553853772	2.12980485400436	1.9670875769801999	2.5766575366148197
NM_153820	Arhgap15	0	1.0091387255273299	1.89059453001005	2.46108866037197	2.59290155713252
NR_033207	2010016I18Rik	0	1.00938515973327	2.12586020945472	2.24226503568786	2.07339576350542
NM_007435	Abcd1	0	1.02241416348666	1.45195596565073	1.93830846343882	2.0023430734958403
NM_010156	Samd9l	0	1.02376164530448	1.5298042480124399	2.0913684039708302	2.61342766285631
NM_007570	Btg2	0	1.02451598155056	1.5226144613666799	1.5771325682938502	2.0455107949111797
NM_001030294	Olfm4	0	1.03027805674291	1.1357863645986899	2.29761218216525	2.8958051613107996
NM_011594	Timp2	0	1.03292378547577	2.21384232062767	2.3430372257958303	2.7977994406247095
NM_021882	Pmel	0	1.0385113479963	2.32438610449054	2.56491940502646	2.55407876752556
NM_028709	Btbd11	0	1.0397137912592	2.1382039802173303	1.6923483390499199	1.9417783566646298
NM_009593	Abcg1	0	1.04188622299833	1.82828365389594	1.9739204046386298	2.37319714060135
NM_174990	Gimap4	0	1.04509860195097	2.0847173705052398	2.2571598066476004	2.52873732246441
NM_026346	Fbxo32	0	1.0465873143856301	1.5330999114811101	1.69035813649308	2.1423432751362
NM_019923	Itpr2	0	1.0508787891759799	1.7153519566316202	1.97005715558847	2.45689842611325
NM_026418	Rgs10	0	1.06239175925481	1.5093478904718403	2.13575813735955	1.7487471220858002
NM_010551	Il16	0	1.0633835074953801	1.9911236870728501	2.35946642993198	2.57565480359734
NM_030017	Rdh12	0	1.06418433698379	1.74204071274257	2.74580082369093	3.0117937606643395
NM_172779	Ddx26b	0	1.06593018759075	2.13049310237856	1.64038354437007	1.90364038174584
NM_178900	Prkd2	0	1.0659338859927499	1.87226603602312	2.3331513247541698	2.27214473734979
NM_172442	Dtx4	0	1.06626346594772	1.29688758435701	2.17721461651931	2.5710976050822403
NM_175026	Pyhin1	0	1.06737057798037	2.06061136712729	2.67652534539771	3.1086464483335696
NM_009343	Phf1	0	1.0711062472300101	1.7916342897695903	2.11641192211227	2.04971298524577
NM_207231	Arl5c	0	1.0712419198789	1.68384640104848	2.25153030754444	2.15520484778936
NM_153177	Ago4	0	1.0808257060735602	1.79473088846306	2.12684197598709	2.6002869598753597
NM_022420	Gprc5b	0	1.08180587146853	3.7482094301530804	4.13072909208359	6.42212269412333
NM_018865	Wisp1	0	1.08186903017699	2.15113798586101	-0.774008451514557	-1.59415328143676
NM_001005341	Ypel2	0	1.0881762871716898	2.26873804059492	1.7692505939009198	2.02629616284462
NM_011401	Slc2a3	0	1.09082611437267	1.7010966372363001	2.2947260616328395	2.50133978139228
NM_009502	Vcl	0	1.09189173777906	1.5111828503005502	1.8431587237701899	2.08741083621129
NM_016850	Irf7	0	1.0925613042232198	0.944158330068405	1.1028936593081202	2.1221872006288303
NM_028679	Irak3	0	1.09308307520227	1.91732361836636	2.17540034689888	2.67513612949837
NM_153789	Mylip	0	1.1001766697880302	1.4886974218011697	1.7962382493025	2.2857486867192596
NM_001126182	Naip2	0	1.1057757078525101	1.4978511162366	1.7645145234580402	2.5938575864119504
NM_016780	Itgb3	0	1.11853572570217	1.6948529674956998	2.0732942963691396	2.4343623517153397
NM_007549	Blk	0	1.1185780769386597	1.14650392082967	1.79636613258208	2.40027128932923
NM_007639	Cd1d1	0	1.11869049177357	1.20988863483592	2.0808083040182	1.5158523036862999
NM_001301303	Arhgdib	0	1.11980261938076	1.55471847842402	2.07971394625898	2.0881275369245498
NM_178901	AI467606	0	1.12083509277448	1.8272059488341998	2.1833030828706397	2.4328300346466203
NM_134116	Gpsm3	0	1.12106817608247	1.66405405063083	2.18006998824778	2.3493715896657403
NM_023132	Renbp	0	1.1277012767019898	1.52334982222427	1.74483927044343	2.00995136017667
NM_015759	Fgd3	0	1.1309136073910702	2.00363268981984	2.19903802793822	2.59389002841003
NM_001097623	Trerf1	0	1.13096319101444	2.2425168981547903	1.8574688951194	1.3617203485883103
NM_008397	Itga6	0	1.13273644255179	2.23358149041555	2.4631099915792003	2.6719039229910297
NM_146008	Tcp11l2	0	1.1349840542799399	2.2542408247593797	2.5740562483794998	2.9745102588639702
NM_177568	Plcb2	0	1.14076753120774	1.42870418078571	1.92081364592816	2.11473091244476
NM_008855	Prkcb	0	1.1408758567938702	1.4555747097448999	1.7628127983181798	2.10119812934626
NM_177260	Tmem154	0	1.1428834051061	1.4386819630500303	2.0843785605064	2.29193462868887
NM_175433	Zfp710	0	1.14341189829087	2.03403137064955	2.24304051528558	2.0439427367423
NM_178060	Thra	0	1.1443847894916799	3.18571726707164	2.52976900363406	2.92893822121651
NM_178394	Jakmip1	0	1.1490704016253999	2.12240018277634	2.6038837563788397	2.84366868409284
NM_010330	Emb	0	1.14929133495551	1.5776726893736002	2.0273865279593197	2.3328318155391004
NM_001162908	Sesn1	0	1.1512036985258702	2.02687928175199	2.42601084042802	2.88049976163911
NM_001291190	Ssh2	0	1.15183084949449	1.86464490616187	2.4707342406477997	2.68650096915473
NM_008969	Ptgs1	0	1.1522001890120201	1.8983609633533898	2.9563721277808797	3.05266022263959
NM_009230	Soat1	0	1.15240726739969	1.42212588534025	1.9417167902012398	2.02814585870681
NM_011374	St8sia1	0	1.15607126836802	2.32599200564625	2.44663585686749	3.0435709616639604
NM_172685	Slc25a24	0	1.1597182041871001	1.13620225583898	1.8931611157241899	2.04569161598149
NM_178677	Sec22c	0	1.15983280766082	1.6885502656049902	1.79100657016965	2.00326978023334
NM_021281	Ctss	0	1.16065150750235	1.1616500385408401	1.96414714244856	2.10923951852426
NM_172689	Ddx58	0	1.16242628308448	1.61998705544817	2.1373898304690804	2.4446454259125
NM_028207	Dusp3	0	1.16260982094151	2.1000027075481	2.33329968202931	2.41233216536329
NM_023128	Palm	0	1.16612246109384	1.75004805473461	2.36061998215021	2.64408590223488
NM_001080944	Atp8b4	0	1.16704461472357	1.2202391286461698	2.07901861593409	2.32430162099214
NM_008594	Mfge8	0	1.17147045797068	1.9971477258168402	2.01620230524334	2.22911950111655
NM_007974	F2rl1	0	1.17331567240106	2.7823369340763904	3.2016908664848196	3.11155042222609
NM_010764	Man2b1	0	1.1744093526486599	1.7313918083945101	1.90377762481479	2.08246643749752
NM_010748	Lyst	0	1.17566615497722	1.91350272979036	2.12454507694047	2.34853960392298
NM_009139	Ccl6	0	1.1760853039257801	0.935502376486966	2.40792556629688	3.4723645265127097
NM_029653	Dapk1	0	1.1768605045043998	1.4189529577409599	1.27994818783174	2.0837866072234
NM_019875	Abcb9	0	1.17824966773585	1.4415396483481397	2.00175076774385	2.05385207199205
NM_177733	E2f2	0	1.1787910078464299	1.6552345153040902	2.2102431468699	2.45289620915769
NM_145523	Gca	0	1.18055449825334	1.41805743867508	1.9940825629336298	2.10591035371238
NM_183390	Klhl6	0	1.18204805863084	2.00440131898673	2.38359388840215	2.5604260857889303
NM_019811	Acss2	0	1.18225228022354	1.9861174542617699	1.88474592311216	2.19350502994953
NM_177686	Clec12a	0	1.1840487692946398	1.39747947355286	2.4421663536275697	3.4522135503633398
NM_001114088	Pdlim7	0	1.1851241603074198	1.15681645645535	2.16377363918844	2.22744053562681
NM_173869	Stfa2l1	0	1.18570746396662	2.1428884846367198	2.58898906349768	3.9906635028653903
NM_001285463	Carf	0	1.1862257333937198	2.07771662618093	1.75001650417773	2.15669772905308
NM_177715	Kctd12	0	1.18771838535668	1.4257233812278798	2.12601434661742	2.5887052146549197
NM_001099328	Zfp831	0	1.1888360101263	1.94751756269122	2.10901793660134	2.3598718187078798
NM_001039669	Iffo1	0	1.2038762077675	1.67640013314534	1.94364556512984	2.00572057319846
NM_030251	Abtb1	0	1.2051704396980099	1.6836486824343402	2.14060550833457	2.28274239309581
NM_009059	Rgl2	0	1.2085842557478501	1.93842563659779	2.23893786057782	2.04313403750375
NM_199448	Fez2	0	1.21059248594801	1.4033658717019701	1.8565123537363002	2.03241999223482
NM_026322	Msra	0	1.21175103069593	1.27563425089565	1.7032503708408302	2.13844994497458
NM_172694	Megf9	0	1.21196400940784	1.36944628921273	2.7529705520027594	3.3779482727387595
NM_001285785	Arhgap9	0	1.21253204183974	1.80644227524293	2.02964229368456	1.9851910523724299
NM_001085385	1600014C10Rik	0	1.21307979433002	1.3434964827823401	1.61215765609391	2.23393267648364
NM_001039371	Slc22a15	0	1.2133409021293797	1.56889820733828	2.17522443671696	2.07903736101923
NM_172887	Fry	0	1.2137471095994399	2.12639091824541	2.3362422642116805	2.6453359640640803
NM_001033378	A430078G23Rik	0	1.21477315584653	2.92583227471154	3.14222207826761	4.23493247188288
NM_001285845	Paqr7	0	1.21513076023321	2.16815028725019	1.7318894034735302	2.1556718098591103
NM_021325	Cd200r1	0	1.2161971857448501	1.3008793721668401	1.94685464175837	2.0478461045815
NM_023835	Trim12a	0	1.21757984466212	2.13388254059985	2.11992138237415	3.1404810328362798
NM_010299	Gm2a	0	1.21831618111628	1.90657332706532	2.77686093905237	2.79949846832838
NM_001166625	Ccr9	0	1.220834405604	2.2622184067555295	3.17645660203791	4.93870307181384
NM_133208	Zfp287	0	1.22106870721007	2.10703179427885	2.29568917821164	2.22514743574214
NM_172261	Ppp1r9b	0	1.2212699916988998	1.7710175397016799	1.83853966475497	2.06887793367353
NM_133738	Antxr2	0	1.22128736784661	1.67853374297676	2.08643149802925	2.44236757053427
NM_001142647	Tmem194b	0	1.22505378150839	2.12777749723602	1.9436978223989299	2.29225504662495
NM_031393	Sytl1	0	1.22820042960245	1.62717227405877	2.3404672197876	2.91568303133772
NM_153139	Slc36a1	0	1.2315322186834199	2.26843766010692	2.1300387028061	1.86678961912599
NM_001293783	Ddx60	0	1.2330195065017	0.7882866042776849	1.7063326563966998	2.56595521377754
NM_175274	Ttyh3	0	1.23570159473809	1.8981321054104099	2.36225143966939	2.5636153424036
NM_010062	Dnase2a	0	1.23688532622392	1.58532755461043	1.62183558389974	2.00165554090299
NM_174995	Mgst2	0	1.2385936145813001	1.84743201931453	3.1085622608462	3.3335138744739004
NM_133990	Il13ra1	0	1.23897597720682	1.42362139776203	1.90870678432075	2.1444031765293703
NM_007826	Dach1	0	1.24397641747207	1.4879412368504301	2.03581942703765	2.83072022958165
NM_001174155	Rasgrp4	0	1.24430448281017	1.81395149091611	2.53414548432464	3.1294590706020498
NM_009238	Sox4	0	1.24434870237296	1.5250166862352401	1.56701424519503	2.14028683827754
NM_009912	Ccr1	0	1.24620877138025	1.4492487932990101	3.08828668213667	3.7823726544963394
NM_019771	Dstn	0	1.24738820011095	1.3069941477501898	2.02870521938827	1.99408183105342
NM_025799	Fuca2	0	1.24911045003688	1.6260793195430499	2.04854637587682	2.20633390020074
NR_030718	F630028O10Rik	0	1.25021281527474	1.78919371638419	2.79161570698005	3.65461984424835
NM_009854	Cd7	0	1.25072948997446	1.83468698587704	2.38654455036076	3.7298645987857
NM_011676	Unc119	0	1.25253465522876	1.2924289264076898	1.9866159198444298	2.08572695010495
NM_007675	Ceacam10	0	1.25269378631895	1.31346929950282	2.5269860606606804	4.50168531941668
NM_001081977	Rnf144a	0	1.25686603594375	1.8997420150990099	2.66750511277643	3.19730119357782
NM_172415	Arhgef10l	0	1.2639030388563999	2.0280209922054397	4.02104992219093	4.40162042086535
NM_001142701	Hmha1	0	1.26770305483261	2.36336154641199	2.52135232520516	2.66418735742319
NM_001009935	Txnip	0	1.2726257203751499	2.2165833235215495	2.4643595268380003	2.93359423281025
NM_001163288	Susd1	0	1.27296934796732	1.9065534645481201	2.07934516687909	2.4957854107398703
NM_133898	N4bp2l1	0	1.27377444229003	1.90460007330465	2.08112271933	2.13789834436497
NM_146119	Fam129b	0	1.2748351269879	1.94530600988323	2.1839120162361203	2.04073861300012
NM_001038604	Clec5a	0	1.2750441190764	1.39751813185404	2.28500101870026	2.4702838387977297
NM_010421	Hexa	0	1.2758271050689498	1.79444485804579	2.49139523379787	2.7228888746233704
NM_010511	Ifngr1	0	1.2783359427201202	2.05580567733329	2.32395373581063	3.2182743100142206
NM_011311	S100a4	0	1.27991557080357	1.67367141186632	3.2159445125562103	3.10937215655155
NM_001111100	Lipa	0	1.2804695124583703	1.7191981559707799	2.3778082483393703	2.4448660480405198
NM_146057	Dap	0	1.2806347293834799	1.70679756749228	2.44564060265788	2.06985569857721
NM_145475	Cerk	0	1.28064247840231	1.7533587276795501	2.2171289260777103	2.30347348485004
NM_016758	Rgs14	0	1.28192834600249	1.93185457490826	2.42613217492196	2.46216998431031
NM_022881	Rgs18	0	1.2835030188366598	2.05355220329424	2.2296136150741	2.28190052647361
NM_001159942	Plekhg1	0	1.2835405063306398	1.6399791103294599	2.17847117078886	2.76763587114308
NM_001081280	Nlrc3	0	1.28718746343607	2.13885794009867	2.4220975493485	2.71388205744567
NM_009892	Chil3	0	1.2874720672513602	1.5739740458324998	2.06522629591907	2.77356297781322
NM_183276	Nbeal2	0	1.28787095268799	1.82373727931982	1.9394424623176203	2.12719314189351
NM_019948	Clec4e	0	1.28968365181071	1.1854595324213302	2.2089854977856	1.99225111361426
NM_144794	Tmem63a	0	1.2944629909843701	2.01928803798608	2.5962888865287996	2.6156479299238398
NM_024204	Ankrd22	0	1.29641900904514	2.02982899447053	2.80713052739582	3.56395448054767
NM_001205336	Arap3	0	1.2968273118438	2.04350069379567	2.6355110904095898	3.1272702465806494
NM_025943	Dzip1	0	1.29729549976778	2.71520987772309	2.83638662354464	3.89632161610184
NM_177909	Slc9a9	0	1.2983210049427298	2.24610385501219	2.32632656514203	3.0287059447843796
NM_013610	Ninj1	0	1.29906358457396	1.61032941566293	1.76870649704833	2.00376806186418
NM_021411	Rab37	0	1.2995476260696002	1.63783337045551	2.10853040593802	2.2041869230756297
NM_015749	Tcn2	0	1.30156885082303	2.1273842759767	2.8016853503636896	3.5725910395867206
NM_010824	Mpo	0	1.30212608549493	2.0252081044381596	4.11644183369981	4.98688215229392
NM_153408	Neurl3	0	1.30803339623502	2.27510552096977	2.6788138685183	3.4252428926172596
NM_023665	Rsrp1	0	1.30924043944166	2.35484637930329	2.2769295562068104	2.32409918639107
NM_133829	Mfsd6	0	1.3115541773083799	1.6165451501390902	2.10048891283384	1.87045756430295
NM_009763	Bst1	0	1.314209235685	1.1383171285673501	1.93615839670136	2.53906051166537
NM_008677	Ncf4	0	1.31662490687431	1.38772093951123	1.89384047879503	2.19637086921039
NM_001277255	Acvrl1	0	1.32203675685912	1.5271489731647199	2.5767545267216803	3.9335755573010402
NM_001134457	Nxpe3	0	1.32254281576184	2.01270592127728	1.68346983408692	2.00141969251714
NM_146219	Klhl36	0	1.3241195221575	1.8091294479336	1.8768976909759099	2.03820503136039
NM_026738	1110007C09Rik	0	1.32570679347436	1.6922140888309398	2.42130235605658	2.68795009078214
NM_183201	Slfn5	0	1.32597396791119	1.5949081954403401	1.86046114879136	2.1164189154059603
NM_015779	Elane	0	1.3264980091212601	2.40788084264471	4.43648107374331	6.21925807223515
NM_001114312	4930506M07Rik	0	1.3287973484841498	1.32639402308199	2.42093581628164	2.08146987556023
NM_001081079	Ogfrl1	0	1.32990154356466	1.18219349932576	2.01133309393968	1.95048851283885
NM_175366	Mex3b	0	1.33012162265535	1.35460718364277	1.9422917829736999	2.8036832903366298
NM_020005	Kat2b	0	1.33213587935135	1.83851652215074	1.95368160639505	2.16494973080771
NM_015790	Icosl	0	1.33273397219	1.4404933227033898	3.2579187754919703	2.7398076653365497
NM_001284519	Cmah	0	1.33433232819797	3.0637366989047097	2.90585798756908	3.7838709257735497
NM_023168	Grina	0	1.3355948002582498	1.71730908420708	2.2301993501885398	2.36103993254036
NM_001291894	Lilrb4	0	1.33644560676873	1.30285291010658	1.57810056165782	2.1381276814266204
NM_028637	1110034G24Rik	0	1.3382388651430601	1.96249169163164	2.14029448742163	1.94688562993348
NM_153587	Rps6ka5	0	1.33837750908555	1.6172310454807601	1.50862060570565	2.34089837050839
NM_009427	Tob1	0	1.33867026053061	1.84978429473811	1.93551710468737	2.40920942645373
NM_013650	S100a8	0	1.33947546985377	1.64878150431809	2.68975418413751	3.5533531972421004
NM_025659	Abi3	0	1.3417300234298102	1.95616873046759	2.7176209262023403	3.22477480668266
NM_009924	Cnr2	0	1.34764499108501	2.31139894689312	2.94448597292198	3.12504534779697
NR_040409	Gm15441	0	1.35004135623505	2.3584542300905	2.3513643072093195	2.9904588152565803
NM_001038492	Ctsa	0	1.3523988386130699	2.07314167796864	2.3020365600352903	2.1066612359311296
NM_001037747	Card9	0	1.3555262597296398	2.19398781728542	2.98401151000599	3.0481028579229
NM_026447	Ppm1m	0	1.35687518996977	1.89422621599031	2.45609271825395	2.52602599760193
NM_008410	Itm2b	0	1.35936755357464	1.6819919418302198	2.16616649089341	2.39252780178726
NM_001146122	Psap	0	1.3611878823364898	1.7075246651215699	2.3936624228708197	2.48284718379169
NM_026875	Ypel3	0	1.3626733740697101	2.23981234250347	2.3301376951218	2.38210098061173
NM_025429	Serpinb1a	0	1.36274065912655	1.69986528525868	2.38870118077413	2.92091121677787
NM_013641	Ptger1	0	1.36392168246697	1.90603634640372	2.03626993085824	2.2311704911561496
NM_025877	Slc25a23	0	1.36474536237181	2.66348987897958	2.59047832120286	3.3871637712758194
NM_011950	Mapk13	0	1.36539720838424	1.78946673018858	3.04119001953644	3.16549017164518
NM_133220	Sgk3	0	1.36836826837145	1.43596549184582	2.1357643838071696	2.23310569005941
NM_001045481	Ifi203	0	1.36987004929327	2.21370923117128	2.7046580404271205	3.11550747173806
NM_009114	S100a9	0	1.3718658676453999	1.61505596405929	2.6191425157895	3.5348993115002596
NM_009778	C3	0	1.37507170527174	1.27421444555472	1.7390893578815503	2.1128093262478402
NM_008039	Fpr2	0	1.3772718260236698	1.47906818419265	1.59290712628708	2.30148264154493
NM_008288	Hsd11b1	0	1.37737762494178	1.34430014823216	2.33506144862927	2.83060362964152
NM_001077189	Fcgr2b	0	1.37753311752866	1.4788455050821498	2.60652953706771	3.08882997484104
NM_008920	Prg2	0	1.37919164753712	2.01185863031367	2.99194054099358	3.17173582597596
NM_183355	Pbx1	0	1.3796213668086001	1.46841320319601	1.8596281511677801	2.04406111562278
NM_138310	Apobr	0	1.37993588771673	2.01145948048401	2.47827552684224	3.0144460932813595
NM_001177844	Frmd4a	0	1.3875531175412499	1.5449707432286102	2.01317583195855	1.8658788993355
NM_011410	Slfn4	0	1.38859806059945	1.8888853902226999	3.0019519371583097	3.2247789015634902
NM_008823	Cfp	0	1.3888345892658	1.54797633211465	2.5347991259144598	2.84836296668207
NM_145220	Appl2	0	1.38951475863387	2.48519785409677	2.53274616356889	2.50908721040008
