Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d ../tag-dirs/AND-CD4TCell-RNA-0-1uM-PCC-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-100uM-K99A-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-10uM-K99A-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-10uM-PCC-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-No-Peptide-24h-KAA-15-01-22 -noadj -condenseGenes)	chr	start	end	strand	Length	Copies	Annotation/Divergence	../tag-dirs/AND-CD4TCell-RNA-0-1uM-PCC-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-100uM-K99A-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-10uM-K99A-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-10uM-PCC-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-No-Peptide-24h-KAA-15-01-22 reads
NR_122116	chr5	30888935	30906666	+	3355.0	1	Agbl5|4930455N08|9430057O19Rik|CCP5|-|5 B1|5|protein-coding	734.000	676.000	543.000	864.000	401.000
NM_025319	chr11	51685385	51688634	-	791.0	1	0610009B22Rik|-|RP23-79E13.7|11 B1.3|11|protein-coding	185.000	244.000	177.000	263.000	155.000
NM_008955	chrX	37827055	37829857	+	859.0	1	Rhox6|AV213605|AW548842|Psx1|RP23-202F23.1|X A3.3|X|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001011790	chr11	49535187	49536122	+	934.0	1	Olfr1382|GA_x5J8B7TT7LR-4113-3651|MOR256-43P|MOR256-57|RP23-58E13.5|11 B1.2|11|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_145157	chr2	152576086	152580312	-	390.0	1	Defb19|BD-19|Defb24|Tdl|mBD-19|RP23-35I8.4|2 H1|2|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_007589	chr17	87433401	87446935	-	1208.0	1	Calm2|1500001E21Rik|AL024017|-|17 E4|17|protein-coding	2066.000	2446.000	2303.000	2529.000	1769.000
NR_040751	chr3	11823229	11844359	-	1518.0	1	Gm10745|ENSMUSG00000074696|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_027032	chr17	10403012	10840191	-	1348.0	1	Pacrg|1700008H23Rik|-|17 A2|17 7.8 cM|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001190448	chr11	11814101	11898144	-	2001.0	1	Ddc|Aadc|RP23-373H2.3|11 A1-A4|11 7.09 cM|protein-coding	2.000	3.000	0.000	0.000	0.000
NR_105796	chr3	29636744	29636851	+	107.0	1	Mir21b|mmu-mir-21b|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_181322	chr8	105636538	105682922	+	3809.0	1	Ctcf|AW108038|-|8 D3|8|protein-coding	5226.000	5747.000	5100.000	5597.000	4134.000
NM_198607	chr15	74721234	74724373	+	1484.0	1	Them6|4930572J05Rik|-|15|15 E1|protein-coding	751.000	540.000	416.000	831.000	543.000
NM_025835	chr9	100982038	101034875	-	2274.0	1	Pccb|1300012P06Rik|AI314687|R74805|-|9 E4|9|protein-coding	283.000	286.000	316.000	344.000	188.000
NR_033469	chr2	132598196	132650604	+	2057.0	1	AU019990|-|RP23-391A14.1|2|2|ncRNA	0.000	0.000	0.000	1.000	0.000
NM_027402	chr4	129137060	129144593	+	2694.0	1	Fndc5|1500001L03Rik|AI836596|C87088|PeP|Pxp|RP23-284L6.4|4 D2.2|4|protein-coding	6.000	0.000	0.000	1.000	12.000
NR_040385	chr3	41487681	41493199	-	2166.0	1	C430002E04Rik|-|-|3|3|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_145907	chrX	8193850	8206525	-	1862.0	1	Porcn|2410004O13Rik|AW045557|DXHXS7465e|Mporc|Mporc-a|Mporc-b|Mporc-c|Mporc-d|Ppn|mMg61|porc|RP23-27I6.11-005|X A1.1|X 3.7 cM|protein-coding	1.000	2.000	0.000	1.000	0.000
NM_001005225	chr2	88728653	88729597	-	943.0	1	Olfr1197|MOR225-10P|MOR225-14|RP24-386K1.1|2 E1|2|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_104438	chr12	104763114	104865076	-	12083.0	1	Clmn|9330188N17Rik|AI428889|AI788815|mKIAA1188|-|12|12 F1|protein-coding	3.000	19.000	11.000	6.000	20.000
NM_001159906	chr1	75168646	75171626	+	1188.0	1	Zfand2b|1110060O18Rik|C81256|-|1|1 C3|protein-coding	305.000	346.000	461.000	330.000	583.000
NM_010283	chr2	35400179	35461425	-	3575.0	1	Ggta1|AW108479|GALT|Gal|Ggta|Ggta-1|alpha3GalT|RP23-458A10.1|2 B|2 23.6 cM|protein-coding	1398.000	1540.000	962.000	1826.000	1267.000
NM_009432	chr3	102777398	102782714	-	638.0	1	Tshb|-|-|3 F2.2|3 45.25 cM|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_105747	chr14	117953743	117953847	-	104.0	1	Mir6239|mmu-mir-6239|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_001168475	chr7	67647410	67726576	+	2218.0	1	Ttc23|1600012K10Rik|-|7 C|7|protein-coding	33.000	16.000	41.000	23.000	17.000
NM_001145015	chr2	158512796	158550628	+	2012.0	1	Arhgap40|C20orf95|Gm14203|OTTMUSG00000015933|RP23-392P11.3|2 H1|2|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_026796	chr1	189880492	189922288	-	1591.0	1	Smyd2|1110020E07Rik|4930402C15|KMT3C|Zmynd14|-|1 H6|1|protein-coding	1126.000	791.000	550.000	1194.000	195.000
NR_106131	chr11	53763597	53763654	-	57.0	1	Mir7671|mmu-mir-7671|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_028175	chr8	4226827	4237470	+	3873.0	1	Lrrc8e|1810049O03Rik|C87354|-|8 A1.1|8|protein-coding	0.000	0.000	1.000	2.000	0.000
NM_026458	chr7	120203964	120325352	+	5351.0	1	Abca14|1700110B15Rik|4930539G24Rik|-|7 F2|7|protein-coding	0.000	0.000	7.000	0.000	0.000
NM_001038696	chr3	113605067	113630149	-	3871.0	1	Rnpc3|2810441O16Rik|AI447568|C030014B17Rik|-|3|3 G1|protein-coding	525.000	683.000	573.000	676.000	441.000
NM_177368	chr10	105187664	105574479	-	5658.0	1	Tmtc2|8430438D04Rik|D330034A10Rik|-|10 D1|10|protein-coding	324.000	660.000	566.000	454.000	305.000
NM_001081101	chr5	33378696	33419754	+	7310.0	1	Uvssa|4933407H18Rik|D330017J19Rik|Kiaa1530|mKIAA1530|-|5 B1|5|protein-coding	429.000	554.000	670.000	517.000	527.000
NM_030052	chr5	71442823	71548205	-	538.0	1	Cox7b2|4930503B16Rik|-|5 C3.1-C3.2|5|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_026968	chr2	157367594	157396763	+	1102.0	1	Manbal|1810024K12Rik|AI836500|-|2 H1|2|protein-coding	766.000	856.000	669.000	872.000	482.000
NM_001201395	chrX	76582610	76602924	-	999.0	1	4930468A15Rik|-|RP23-47N17.2|X A7.3|X|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001163589	chr15	99055174	99058978	+	1758.0	1	Prph|Prph1|-|15 E-F|15 55.72 cM|protein-coding	0.000	1.000	3.000	0.000	0.000
NM_001164805	chr6	12311608	12749253	-	10971.0	1	Thsd7a|Gm837|-|6 A1|6|protein-coding	0.000	0.000	13.000	1.000	1.000
NM_172905	chr7	104153013	104164816	-	2245.0	1	E030002O03Rik|D930003D22|-|7 E3|7|protein-coding	2.000	0.000	0.000	0.000	0.000
NR_038022	chr10	19167238	19207947	+	5938.0	1	Gm20139|-|-|10|10 8.18 cM|ncRNA	2.000	0.000	2.000	1.000	14.000
NM_001024145	chr2	120299957	120314165	-	3103.0	1	Pla2g4f|4732472I07Rik|Gm647|Pla2zeta|RP23-348L16.11-001|2 E5|2|protein-coding	121.000	365.000	542.000	155.000	51.000
NM_001033157	chr12	18514510	18535254	+	2464.0	1	5730507C01Rik|-|-|12 A1.2|12|protein-coding	0.000	2.000	0.000	1.000	1.000
NM_026887	chrX	163909017	163929546	+	3320.0	1	Ap1s2|1500012A13Rik|AI853648|EST1|RP23-391L6.1|X F5|X|protein-coding	409.000	520.000	591.000	505.000	753.000
NM_207229	chr14	25888403	25902893	-	445.0	3	Plac9a|Plac9|-|-|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_145356	chr18	75820178	76148564	+	4565.0	1	Zbtb7c|B230208J24Rik|Kr-pok|Zbtb36|-|18 E3|18|protein-coding	0.000	0.000	9.000	0.000	0.000
NM_146995	chr16	59283572	59284495	-	922.0	1	Olfr202|MOR182-1|-|16 C2|16|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_105783	chr2	166672718	166722152	+	45.0	1	Mir6364|mmu-mir-6364|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_001025372	chr6	55451978	55501455	+	6143.0	1	Adcyap1r1|2900024I10Rik|AI846590|PAC1|PAC1R|PACAP1-R|-|6 B3|6|protein-coding	0.000	0.000	0.000	0.000	2.000
NM_146548	chr10	129659808	129660743	+	934.0	1	Olfr800|MOR114-7|-|10 D3|10|protein-coding	0.000	0.000	1.000	0.000	0.000
NM_177589	chr9	120964454	121277172	-	4039.0	1	Ulk4|4932415A06Rik|A730098P15|-|9 F4|9|protein-coding	6.000	0.000	5.000	13.000	0.000
NM_026542	chr11	102402976	102407517	-	1653.0	1	Slc25a39|3010027G13Rik|D11Ertd333e|RP23-226P4.3|11 D|11 66.29 cM|protein-coding	3511.000	3510.000	2531.000	2997.000	1177.000
NM_021380	chr1	130907192	130911296	-	817.0	1	Il20|Zcyto10|-|1 E4|1|protein-coding	0.000	0.000	0.000	0.000	1.000
NM_001130444	chr7	141189934	141194004	-	2264.0	1	Hras|H-ras|Ha-ras|Harvey-ras|Hras-1|Hras1|Kras2|c-H-ras|c-Ha-ras|c-rasHa|ras|-|7 F5|7 86.48 cM|protein-coding	1313.000	980.000	772.000	1392.000	692.000
NM_001198823	chr16	84954436	85173707	-	3337.0	1	App|Abeta|Abpp|Adap|Ag|Cvap|E030013M08Rik|betaApp|-|16 C3-qter|16 46.92 cM|protein-coding	948.000	1413.000	1362.000	978.000	3520.000
NR_029881	chr12	109711803	109711863	+	60.0	1	Mir380|Mirn380|mmu-mir-380|-|12|12|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_026201	chr10	62743928	62792368	-	4451.0	1	Ccar1|2610511G16Rik|9430036H15Rik|Carp1|-|10 B4|10|protein-coding	4263.000	4285.000	3847.000	4764.000	2343.000
NR_030151	chr6	81896599	81896676	-	77.0	1	Mir468|Mirn468|mmu-mir-468|-|6|6|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_028894	chrX	36328409	36366856	+	7357.0	1	Lonrf3|4932412G04Rik|5730439E01Rik|A830039N02Rik|AU023707|Rnf127|RP23-145O4.1|X|X A2|protein-coding	72.000	99.000	67.000	65.000	78.000
NR_045346	chr11	103344753	103350126	+	2727.0	1	Arhgap27os3|F830206d12rik|Gm11648|OTTMUSG00000003073|RP23-341C5.8|11 E1|11|ncRNA	160.000	155.000	263.000	243.000	271.000
NM_001081203	chr5	124368702	124425914	-	10038.0	1	Sbno1|9330180L10Rik|AI849128|AW557836|BC021875|Sbno|mSno1|sno|-|5 F|5|protein-coding	6970.000	7015.000	6724.000	7784.000	3816.000
NM_139299	chr13	112522807	112580662	-	3649.0	1	Il31ra|CRL3|GLM-R|GPL|Glmr|NR10|-|13 D2.2|13|protein-coding	4.000	0.000	0.000	2.000	0.000
NM_146618	chr7	86526759	86527691	+	931.0	1	Olfr297|MOR220-3|-|7 E1|7|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001110778	chr11	102761439	102780262	+	5074.0	1	Adam11|AW060611|Mdc|RP24-69A20.1|11 E1|11 66.48 cM|protein-coding	96.000	177.000	119.000	95.000	435.000
NM_001252532	chr11	115824058	115855780	+	3586.0	1	Llgl2|9130006H11Rik|Llglh2|RP23-332L17.1|11 E2|11|protein-coding	271.000	319.000	292.000	359.000	414.000
NM_001190330	chr8	104734003	104741634	+	1852.0	1	Ces2a|9130231C15Rik|AI266984|Ces6|-|8 D3|8|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_026652	chr4	52596274	52612163	+	2397.0	1	Toporsl|4930547C10Rik|RP23-21G12.1|4 B2|4|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001012638	chr8	105698159	105701095	-	1412.0	1	Acd|-|-|8 D3|8 53.04 cM|protein-coding	594.000	572.000	593.000	617.000	620.000
NM_008816	chr11	106654218	106715281	-	3288.0	1	Pecam1|C85791|Cd31|PECAM-1|Pecam|RP23-247J12.1|11 E1|11|protein-coding	896.000	849.000	1783.000	676.000	2832.000
NM_008399	chr11	73090595	73147449	+	3803.0	1	Itgae|A530055J10|CD103|aM290|alpha-E1|alpha-M290|RP23-263M10.6|11 B4|11 45.22 cM|protein-coding	70.000	114.000	133.000	38.000	155.000
NM_203490	chr7	145314835	145324059	+	3113.0	1	Mrgprd|Gm499|Mgrd|MrgD|TGR7|-|7 F5|7|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001166711	chr7	23066533	23067456	-	922.0	2	Gm5725|EG435940|Vmn1r136|-|7 A3|7|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_008267	chr11	96194361	96196599	+	1309.0	1	Hoxb13|-|RP23-85A17.1|11 D|11 59.63 cM|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_172924	chr9	56201129	56418050	-	10970.0	1	Peak1|1110049L02Rik|9530046P14|AA690169|BE132841|C230081A13Rik|SGK269|mKIAA2002|-|9 B|9|protein-coding	1753.000	1979.000	2576.000	1967.000	1330.000
NM_028303	chrX	100622906	100625907	-	1006.0	1	Pdzd11|1810012H22Rik|2310079D11Rik|2700099C19Rik|AI854765|Pdzk11|RP23-213F21.2|X C3|X|protein-coding	554.000	616.000	500.000	690.000	176.000
NM_009985	chr19	5465240	5468498	-	1220.0	1	Ctsw|lymphopain|-|19 A|19|protein-coding	138.000	124.000	129.000	112.000	82.000
NM_172762	chr8	126947173	126971079	-	3418.0	1	Rbm34|4930547K05Rik|6330444B11|D8Ertd233e|-|8 E2|8 74.64 cM|protein-coding	1538.000	1306.000	1057.000	1843.000	414.000
NM_001011778	chr15	98312589	98313548	-	958.0	1	Olfr285|MOR160-3|-|15 F1|15|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_040625	chr2	143747583	143789186	-	3367.0	1	Pcsk2os2|9430032N09Rik|Gm12360|OTTMUSG00000006467|RP23-235A15.7|2 G1|2|ncRNA	0.000	0.000	0.000	0.000	1.000
NR_106009	chr6	113707208	113707265	+	57.0	1	Mir7042|mmu-mir-7042|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_001160414	chr2	164649625	164654966	-	534.0	1	Wfdc9|OTTMUSG00000001088|-|2 H3|2|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_033559	chr6	95290574	95333993	-	3649.0	1	AY512915|-|RP24-222N4.1|6|6|ncRNA	0.000	0.000	0.000	1.000	0.000
NM_080795	chr5	147016655	147076572	-	4531.0	1	Lnx2|9630046H24|AW209022|-|5|5 G2|protein-coding	1752.000	2303.000	2338.000	2065.000	1257.000
NM_027544	chr17	27029259	27036378	+	1517.0	1	Ggnbp1|0610031G08Rik|mdf|-|17 A3.3|17|protein-coding	11.000	11.000	19.000	19.000	20.000
NM_001272078	chr17	48346401	48352276	+	1139.0	1	Trem2|TREM-2|Trem2a|Trem2b|Trem2c|-|17 C|17|protein-coding	0.000	0.000	0.000	3.000	39.000
NM_001127725	chr16	5147109	5183934	+	2319.0	1	Sec14l5|-|-|16 A1|16|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_146376	chr11	58625073	58626044	-	970.0	1	Olfr323|MOR107-1|RP23-128D9.5|11 B1|11|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001301295	chr6	113424634	113435760	-	1712.0	1	Cidec|CIDE-3|Fsp27|-|6 E3|6|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_018825	chr5	136218149	136244903	-	2837.0	1	Sh2b2|Aps|-|5|5 G1|protein-coding	113.000	142.000	179.000	120.000	404.000
NM_026350	chr8	84257767	84270402	-	2157.0	1	Ccdc130|4930527D15Rik|C77430|-|8|8 C3|protein-coding	411.000	349.000	376.000	406.000	373.000
NM_001193274	chr7	81494274	81498330	-	683.0	1	BC048679|-|-|7 D3|7|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001145759	chr7	125368861	125371013	+	2150.0	1	4930571K23Rik|AI428146|-|7|7|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_023281	chr13	74322255	74350240	-	2842.0	1	Sdha|1500032O14Rik|2310034D06Rik|4921513A11|C81073|FP|SDH2|SDHF|-|13 C1|13|protein-coding	6099.000	7235.000	6930.000	7690.000	3870.000
NM_133205	chrX	100605497	100618493	+	1340.0	1	Arr3|Arr4|Car|Carfl|Carr|RP23-213F21.1|X|X C2|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001164110	chr18	80606205	80713071	-	4884.0	1	Nfatc1|2210017P03Rik|AI449492|AV076380|NF-ATc|NFAT2|NFATc|Nfatcb|-|18 E4|18 53.66 cM|protein-coding	3252.000	2584.000	2459.000	3798.000	3293.000
NM_009829	chr6	127125709	127151048	-	5764.0	1	Ccnd2|2600016F06Rik|AI256817|BF642806|C86853|Vin-1|Vin1|cD2|-|6 F3|6 61.92 cM|protein-coding	24431.000	26952.000	17004.000	33755.000	3402.000
NM_009741	chr1	106538178	106714290	-	7203.0	1	Bcl2|AW986256|Bcl-2|C430015F12Rik|D630044D05Rik|D830018M01Rik|-|1 E2.1|1 49.76 cM|protein-coding	5130.000	7596.000	5253.000	7954.000	1606.000
NM_001163349	chr3	109780050	110143472	-	5036.0	1	Ntng1|A930010C08Rik|AI853992|Lmnt1|RP23-90O18.1|3 F3|3|protein-coding	0.000	0.000	0.000	1.000	1.000
NM_175350	chr17	56628143	56664456	+	2541.0	1	Catsperd|4921529N20Rik|4933402B14Rik|619718|AW045609|Gm6095|Tmem146|-|17 D|17|protein-coding	55.000	78.000	117.000	53.000	14.000
NR_106202	chr2	126902250	126902385	-	135.0	1	Mir3473g|mmu-mir-3473g|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_173435	chrX	81419575	81458122	-	2639.0	1	4930595M18Rik|-|RP23-217L21.2|X B|X|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_183031	chr14	121952331	121965193	-	2938.0	1	Gpr183|Ebi2|-|14 E5|14|protein-coding	5094.000	11206.000	10181.000	5743.000	2311.000
NM_001130693	chr7	98440416	98477478	+	3612.0	1	Gucy2d|-|-|7 E1|7 53.86 cM|protein-coding	0.000	0.000	0.000	0.000	1.000
NR_045404	chr18	47922841	48107980	+	1328.0	1	G630055G22Rik|-|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_001199305	chr13	45549756	45964991	-	10597.0	1	Atxn1|2900016G23Rik|Atx1|C85907|ENSMUSG00000074917|Gm10786|Sca1|-|13 A5|13 21.98 cM|protein-coding	1029.000	659.000	619.000	1464.000	958.000
NM_001270499	chr14	26203367	26206608	-	1263.0	3	Tmem254c|ENSMUSG00000072676|Gm10395|-|14 A3|14|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_013900	chr16	31878810	31899019	+	4114.0	1	Mfi2|CD228|MTf|-|16|16 B3|protein-coding	2.000	1.000	2.000	0.000	0.000
NM_001193619	chr11	69964779	69967886	+	982.0	1	Cldn7|-|RP23-172M21.4|11|11 B4|protein-coding	0.000	9.000	3.000	3.000	0.000
NR_045924	chr5	87908588	87979351	-	769.0	1	1700066N21Rik|-|RP23-423C8.2|5|5|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_146008	chr10	84576947	84614355	+	2388.0	1	Tcp11l2|E430026E19Rik|-|10 C1|10|protein-coding	571.000	756.000	1583.000	498.000	2749.000
NM_026234	chr1	172376531	172384099	+	7566.0	1	Pigm|4933437L05Rik|AI644422|AV302080|C920011G20Rik|-|1 H3|1 79.73 cM|protein-coding	2341.000	2023.000	1950.000	2547.000	1789.000
NM_019797	chr9	65828926	65908794	-	7144.0	1	Trip4|4930558E03Rik|ASC-1|Asc1|BB191711|-|9|9 D|protein-coding	968.000	1212.000	1127.000	944.000	578.000
NM_001081331	chr7	134266262	134376828	-	2415.0	1	D7Ertd443e|4933400E14Rik|FATS|Gm497|-|7 F3|7 78.4 cM|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001033399	chr13	43195519	43304172	-	6650.0	1	Gfod1|9630032O13|AI850995|-|13 A4|13|protein-coding	2195.000	1843.000	1290.000	2303.000	833.000
NM_207557	chr7	105121459	105122406	+	946.0	1	Olfr681|MOR4014|-|7 E3|7|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001013380	chr8	104417674	104443047	-	4618.0	1	Dync1li2|AA409702|C920003I06|Dncli2|Dnclic2|LIC2|-|8 D3|8 53.04 cM|protein-coding	1602.000	1676.000	1702.000	1961.000	1240.000
NM_139303	chr2	109280738	109341746	+	3349.0	1	Kif18a|AU024633|B130001M12Rik|RP23-206C1.1|2 E3|2|protein-coding	90.000	95.000	108.000	83.000	97.000
NR_015600	chrX	151313335	151341879	-	3287.0	1	A230072E10Rik|C130073P14|Gm15139|OTTMUSG00000019231|RP23-105P9.3|X F3|X|ncRNA	49.000	25.000	53.000	37.000	36.000
NM_001286007	chr7	139995955	140036674	-	3138.0	1	Tubgcp2|1700022B05Rik|-|7|7 F5|protein-coding	879.000	1007.000	990.000	1153.000	513.000
NM_009265	chr3	92436809	92438779	-	816.0	1	Sprr1b|-|-|3 F1|3 40.14 cM|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_177445	chr1	128363707	128417416	-	2214.0	1	Dars|5730439G15Rik|-|1 E4|1|protein-coding	3956.000	4157.000	3284.000	4705.000	1447.000
NM_146711	chr11	74206198	74207289	-	1089.0	1	Olfr43|IA7|MOR125-1|MOR125-5_p|Olfr403|RP23-20M18.3|11 B4|11|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_009713	chr15	89472476	89477424	-	3480.0	1	Arsa|AS-A|ASA|AW212749|As-2|As2|TISP73|-|15|15 E|protein-coding	222.000	213.000	318.000	296.000	545.000
NM_025521	chr10	80318255	80320548	-	1655.0	1	2310011J03Rik|AI452186|AW545358|-|10 C1|10|protein-coding	1164.000	1275.000	1096.000	1392.000	738.000
NM_181859	chr4	123116248	123118000	+	1750.0	1	Oxct2b|Scot-t2|RP23-138L21.2|4 D2.2|4|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001033304	chr3	108458069	108536522	-	3303.0	1	5330417C22Rik|BB183350|Kiaa1324|mKIAA1324|RP23-37G19.2|3 F3|3|protein-coding	0.000	0.000	20.000	0.000	0.000
NM_009192	chr15	66780819	66831829	-	3124.0	1	Sla|Slap|Slap-1|-|15 D2|15 29.3 cM|protein-coding	9090.000	5720.000	4028.000	9759.000	3238.000
NM_146936	chr19	11828077	11829024	-	946.0	1	Olfr1417|MOR266-2|-|19 C1|19|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_077218	chr5	77006442	77018863	-	796.0	1	1700112J05Rik|1700110A09Rik|-|5 C3|5|ncRNA	0.000	6.000	3.000	4.000	0.000
NM_178914	chr12	98628142	98669819	+	2057.0	1	Spata7|AI661438|B230306G18Rik|HSD3|-|12 E|12|protein-coding	19.000	23.000	18.000	33.000	11.000
NM_001037098	chr2	26055536	26092396	-	6885.0	1	Nacc2|0610020I02Rik|AI448087|Btbd14a|C030048H19Rik|RP23-325E4.2|2 A3|2|protein-coding	90.000	39.000	132.000	64.000	359.000
NM_001167922	chr8	33732339	33777173	+	1654.0	1	Gtf2e2|34kDa|AI462509|C330006J08Rik|-|8 A4|8|protein-coding	1190.000	1054.000	786.000	1421.000	350.000
NM_001160016	chr4	155491361	155559269	+	3126.0	1	Gnb1|AA409223|C77571|Gnb-1|RP23-183D11.1|4 E2|4 86.17 cM|protein-coding	8326.000	9815.000	8695.000	10637.000	4867.000
NM_021542	chr14	20140058	20181782	-	3357.0	1	Kcnk5|TASK-2|-|14 A3|14|protein-coding	319.000	211.000	128.000	346.000	148.000
NM_198418	chr17	43615335	43630299	-	7052.0	1	Tdrd6|AB097085|Tdr2|-|17 B3|17|protein-coding	0.000	0.000	4.000	2.000	0.000
