id	chr_name	start	end	chromosome_id	tag_count_no_peptide	id_no_peptide	tag_count_10um_k99a	id_10um_k99a	tag_count_100um_k99a	id_100um_k99a	tag_count_0_1um_pcc	id_0_1um_pcc	tag_count_10um_pcc	id_10um_pcc
58	chr7	19814733	19824817	8	732.5	58	707.6	59.0	450.7	60.0	687.2	73.0	463.8	90.0
59	chr3	88143289	88153877	4	731.7	59	607.6	94.0	281.6	264.0	392.7	327.0	505.4	72.0
60	chr11	32533264	32544890	13	731.7	60	661.0	73.0	281.1	270.0	380.3	356.0	502.0	74.0
61	chr11	117329641	117342173	13	729.2	61	677.4	71.0	791.8	9.0	898.4	26.0	323.5	253.0
62	chr17	51820288	51831850	18	720.9	62	923.3	21.0	40.7	12430.0	900.9	25.0	624.4	29.0
64	chr7	125600614	125610254	8	713.4	64	651.4	75.0	521.4	42.0	726.7	63.0	533.7	58.0
65	chr1	58710595	58724603	1	712.5	65	983.1	15.0	285.0	258.0	332.2	490.0	299.2	306.0
67	chr19	4183968	4192120	21	700.0	67	650.5	76.0	416.2	76.0	553.9	131.0	447.1	102.0
68	chr2	34952739	34966329	2	695.8	68	863.6	27.0	608.0	23.0	936.1	20.0	712.8	17.0
69	chr9	57636695	57644655	12	688.3	69	618.6	88.0	501.1	46.0	664.4	79.0	503.1	73.0
70	chr3	95659409	95669865	4	675.8	70	704.4	60.0	480.7	50.0	689.1	72.0	523.9	62.0
72	chr14	79515217	79523877	11	670.8	72	635.0	80.0	431.5	71.0	582.3	109.0	432.1	119.0
73	chr11	6558583	6567515	13	668.3	73	599.9	99.0	354.6	141.0	629.2	91.0	396.3	146.0
74	chr15	86059649	86071805	16	668.3	74	318.9	520.0	289.6	245.0	369.2	394.0	287.1	348.0
75	chr10	80015757	80025601	9	667.5	75	606.3	97.0	368.7	117.0	550.8	132.0	363.9	189.0
76	chr3	101278295	101288867	4	666.6	76	817.0	36.0	617.6	21.0	797.1	45.0	670.1	20.0
78	chr2	58151460	58162250	2	665.8	78	882.7	25.0	259.0	342.0	905.8	24.0	588.6	39.0
79	chr1	180331309	180340019	1	657.5	79	489.5	169.0	362.5	127.0	684.8	74.0	515.8	63.0
80	chr1	165700588	165711076	1	656.6	80	742.2	51.0	541.2	37.0	722.4	64.0	545.3	56.0
82	chr3	60501867	60513855	4	649.9	82	417.9	279.0	343.3	155.0	431.0	252.0	318.9	262.0
83	chr12	15803424	15817152	15	649.9	83	461.7	215.0	306.5	203.0	490.3	181.0	339.7	219.0
84	chr3	106482298	106489764	4	649.1	84	630.0	82.0	415.7	77.0	574.8	117.0	476.0	84.0
85	chr11	83114182	83125114	13	648.3	85	539.2	133.0	318.4	186.0	527.9	155.0	320.6	258.0
87	chr2	93452726	93463642	2	639.9	87	735.8	54.0	747.7	10.0	908.3	23.0	761.9	13.0
88	chr11	70644593	70652991	13	639.1	88	609.5	92.0	373.8	109.0	550.1	133.0	511.2	68.0
90	chr11	46304077	46313609	13	632.4	90	370.4	367.0	270.9	307.0	516.8	163.0	256.5	463.0
91	chr7	31031788	31043636	8	631.6	91	238.6	1037.0	153.8	1179.0	226.6	1227.0	186.6	1039.0
92	chr13	24629972	24641900	14	630.8	92	336.7	467.0	258.5	345.0	568.7	124.0	212.6	774.0
93	chr19	5795171	5804867	21	629.1	93	648.3	77.0	237.0	428.0	658.8	82.0	456.9	93.0
94	chr15	74953945	74961699	16	628.2	94	552.5	119.0	423.6	74.0	548.9	134.0	425.7	125.0
98	chr9	101074840	101085348	12	616.6	98	453.5	226.0	321.8	181.0	442.7	232.0	316.5	270.0
99	chr12	108634130	108644240	15	616.6	99	473.5	190.0	321.8	182.0	569.9	122.0	433.8	115.0
100	chr11	103260764	103267568	13	614.9	100	555.6	116.0	401.0	85.0	576.7	115.0	443.1	106.0
101	chr18	60372349	60384761	20	613.2	101	300.6	596.0	56.0	8633.0	321.7	542.0	106.3	3614.0
103	chr15	78563180	78573606	16	610.7	103	527.4	140.0	472.8	51.0	580.4	112.0	238.0	570.0
104	chr7	45915869	45924677	8	607.4	104	407.8	297.0	209.8	592.0	373.6	377.0	224.7	662.0
105	chr2	32077054	32084486	2	599.0	105	549.7	121.0	406.1	83.0	576.7	114.0	418.2	133.0
106	chr15	102226388	102237454	16	598.2	106	489.5	170.0	277.1	284.0	494.0	178.0	177.9	1159.0
107	chr8	88288066	88295546	10	596.5	107	475.8	186.0	363.6	123.0	458.1	213.0	371.4	179.0
108	chr3	9825465	9833987	4	594.9	108	606.3	96.0	427.6	73.0	545.2	137.0	424.0	126.0
109	chr6	48736073	48744119	7	592.4	109	561.1	114.0	351.8	145.0	509.4	167.0	394.0	148.0
110	chr1	165788389	165796579	1	590.7	110	566.6	110.0	394.2	89.0	673.6	75.0	376.6	171.0
111	chr12	64963839	64968847	15	589.9	111	505.9	154.0	376.7	104.0	538.4	144.0	432.1	118.0
112	chr11	61652026	61661686	13	588.2	112	688.4	67.0	398.7	86.0	706.4	68.0	699.5	18.0
113	chr2	9870844	9880424	2	587.4	113	606.7	95.0	350.6	147.0	690.3	71.0	513.5	65.0
114	chr4	155213371	155221581	5	587.4	114	579.4	104.0	462.6	54.0	588.4	107.0	446.5	103.0
116	chr17	31204987	31212939	18	584.9	116	494.1	164.0	289.0	250.0	466.8	203.0	378.9	167.0
117	chr2	117334524	117344096	2	582.4	117	487.7	174.0	335.9	164.0	592.1	105.0	383.6	160.0
119	chr15	78894759	78902819	16	581.5	119	548.8	123.0	365.3	120.0	492.7	179.0	202.8	870.0
120	chr6	91107556	91116266	7	580.7	120	229.5	1126.0	209.8	591.0	243.3	1016.0	206.8	831.0
121	chr12	25092195	25100791	15	580.7	121	486.8	175.0	183.8	809.0	479.8	192.0	380.7	165.0
122	chr1	184034103	184043161	1	576.5	122	540.1	130.0	364.8	121.0	505.7	169.0	346.0	203.0
123	chr17	34193896	34202166	18	575.7	123	857.6	28.0	196.2	692.0	1212.1	6.0	450.0	97.0
124	chr7	143003825	143010261	8	574.9	124	583.5	103.0	395.9	88.0	573.6	119.0	454.0	95.0
125	chr7	4651350	4658506	8	572.3	125	553.4	117.0	442.8	67.0	557.6	128.0	482.3	80.0
126	chr10	60346350	60354624	9	571.5	126	544.7	126.0	386.8	94.0	602.6	101.0	460.4	92.0
127	chr10	42859418	42869884	9	570.7	127	399.2	311.0	94.4	3545.0	327.2	509.0	213.7	758.0
128	chr6	125348118	125356220	7	567.3	128	510.5	150.0	415.1	78.0	539.7	143.0	410.7	138.0
129	chr13	24598792	24606808	14	567.3	129	378.2	347.0	262.4	332.0	371.7	383.0	255.3	470.0
130	chr13	24613231	24621595	14	564.0	130	435.7	248.0	356.9	139.0	373.6	379.0	335.0	226.0
131	chr8	15011488	15021434	10	561.5	131	555.6	115.0	397.0	87.0	461.9	207.0	199.3	898.0
132	chr4	129567742	129575762	5	559.0	132	500.9	158.0	382.3	97.0	571.8	120.0	448.3	100.0
133	chr6	48764629	48772691	7	557.3	133	485.4	177.0	380.0	100.0	486.6	184.0	336.8	222.0
134	chr11	48866132	48874080	13	554.8	134	430.6	263.0	272.6	300.0	468.0	202.0	291.1	332.0
136	chr15	67171463	67178509	16	554.8	136	506.4	153.0	212.6	576.0	526.1	156.0	369.1	183.0
139	chr5	37046414	37055448	6	550.7	139	296.1	617.0	252.2	368.0	262.4	857.0	372.0	178.0
140	chr9	107626359	107636381	12	544.0	140	275.1	733.0	218.9	535.0	304.4	621.0	251.3	487.0
141	chr6	136935215	136942701	7	542.3	141	401.0	306.0	285.0	260.0	410.0	292.0	292.9	321.0
143	chr15	100663344	100670170	16	541.5	143	477.2	184.0	372.1	112.0	435.9	245.0	320.6	259.0
144	chr7	30415892	30424466	8	540.6	144	593.1	101.0	457.5	56.0	651.4	85.0	426.3	124.0
145	chr18	62174009	62180621	20	539.0	145	457.1	221.0	300.9	216.0	440.2	237.0	362.8	191.0
146	chr6	121241425	121249549	7	538.1	146	515.0	146.0	383.4	96.0	532.2	151.0	380.7	164.0
147	chr6	127148191	127156433	7	538.1	147	473.5	189.0	123.9	1932.0	413.1	286.0	148.5	1713.0
150	chr8	94431677	94439103	10	534.0	150	458.5	218.0	243.8	404.0	502.6	172.0	309.0	284.0
152	chr7	38182856	38190558	8	527.3	152	488.6	172.0	322.4	180.0	474.2	196.0	238.0	567.0
153	chr11	53770999	53778527	13	526.5	153	474.4	188.0	289.6	244.0	532.9	150.0	329.3	238.0
155	chr2	24382275	24390165	2	525.6	155	496.8	162.0	314.4	195.0	439.0	238.0	397.4	142.0
156	chr10	127320865	127326661	9	524.0	156	482.7	179.0	311.1	199.0	479.8	190.0	342.0	213.0
157	chr9	63753019	63759845	12	523.1	157	462.1	214.0	278.8	281.0	389.0	334.0	255.9	466.0
158	chr6	114915056	114921646	7	522.3	158	461.2	216.0	270.9	304.0	516.8	162.0	396.8	143.0
159	chr3	131112884	131121924	4	520.6	159	539.2	131.0	327.5	173.0	458.8	211.0	332.7	232.0
160	chr18	80700068	80707970	20	520.6	160	411.5	291.0	318.4	187.0	470.5	200.0	318.3	265.0
162	chr11	68429968	68437138	13	519.0	162	467.6	202.0	364.8	122.0	494.0	176.0	369.1	182.0
163	chr3	106780391	106790053	4	518.1	163	541.0	129.0	21.5	19822.0	369.2	393.0	149.0	1690.0
164	chr7	142460005	142465971	8	516.4	164	436.6	246.0	360.3	134.0	531.6	152.0	417.6	134.0
165	chr13	24413008	24420778	14	515.6	165	509.6	151.0	342.2	158.0	434.7	247.0	343.1	207.0
166	chr19	46036290	46044500	21	515.6	166	474.9	187.0	153.3	1193.0	305.6	618.0	254.2	478.0
167	chr4	125121759	125128189	5	514.8	167	536.9	134.0	361.4	132.0	543.4	140.0	409.0	139.0
168	chr5	72744793	72753853	6	514.8	168	337.1	465.0	269.2	313.0	389.0	333.0	262.3	440.0
169	chr8	83735291	83742761	10	513.1	169	442.5	240.0	298.6	221.0	402.0	306.0	292.3	323.0
171	chr1	135128737	135136505	1	512.3	171	469.4	199.0	378.4	102.0	504.5	170.0	426.9	123.0
172	chr15	5239433	5245425	16	511.4	172	482.2	180.0	248.8	391.0	597.1	103.0	314.2	273.0
174	chr11	96461303	96470271	13	508.1	174	472.2	194.0	370.4	115.0	412.5	289.0	366.8	185.0
175	chr1	133130259	133136515	1	507.3	175	416.5	281.0	295.8	226.0	370.5	386.0	307.9	287.0
176	chr7	45118541	45124823	8	506.4	176	421.5	275.0	429.8	72.0	575.5	116.0	473.7	86.0
178	chr3	89905066	89914042	4	505.6	178	422.9	273.0	363.1	124.0	480.4	188.0	333.9	228.0
179	chr2	165877166	165886804	2	503.9	179	295.6	622.0	222.8	511.0	284.6	713.0	243.8	525.0
180	chr5	115150308	115157850	6	503.9	180	512.8	147.0	354.0	142.0	465.6	204.0	355.3	196.0
181	chr4	43557961	43564581	5	501.4	181	430.6	262.0	281.1	267.0	463.7	205.0	253.0	483.0
182	chr2	167656287	167663073	2	498.9	182	381.8	341.0	328.6	172.0	473.0	198.0	365.1	188.0
183	chr5	105134406	105144848	6	498.1	183	407.8	296.0	269.8	311.0	586.6	108.0	355.8	194.0
184	chr7	101451667	101463063	8	495.6	184	146.0	3215.0	82.6	4633.0	134.0	4017.0	44.5	13131.0
185	chr11	100817481	100823259	13	495.6	185	490.0	168.0	359.1	137.0	506.9	168.0	394.0	149.0
186	chr15	76193168	76200650	16	495.6	186	503.6	155.0	316.1	191.0	494.0	177.0	381.8	163.0
187	chr1	36760802	36768184	1	494.8	187	552.5	118.0	443.4	65.0	610.7	98.0	582.8	42.0
189	chr7	127089215	127095623	8	493.9	189	492.2	165.0	312.2	197.0	439.0	239.0	340.2	218.0
190	chr17	35865264	35871510	18	493.9	190	499.1	159.0	317.3	190.0	537.8	146.0	346.0	204.0
192	chr8	13671822	13678890	10	488.9	192	476.3	185.0	281.1	269.0	406.3	297.0	70.5	7639.0
195	chr11	69093818	69100468	13	486.4	195	511.4	149.0	362.5	128.0	535.3	147.0	421.7	130.0
196	chr6	99260314	99266946	7	485.6	196	467.1	203.0	351.2	146.0	421.7	267.0	342.5	211.0
197	chr19	5870870	5876114	21	485.6	197	414.7	286.0	246.6	399.0	395.2	322.0	383.6	162.0
200	chr10	62500472	62509268	9	479.7	200	534.7	135.0	259.6	341.0	598.9	102.0	311.4	279.0
201	chr11	54955785	54963423	13	479.7	201	734.5	55.0	353.5	143.0	768.7	51.0	328.7	240.0
202	chr7	126700335	126706217	8	478.9	202	420.2	277.0	303.7	206.0	453.8	220.0	333.9	229.0
203	chr11	49084298	49092740	13	478.9	203	354.9	408.0	183.8	806.0	437.8	242.0	210.8	793.0
204	chr7	100492106	100497804	8	477.2	204	427.5	267.0	232.4	452.0	420.5	269.0	281.3	366.0
205	chr7	102243842	102250010	8	476.4	205	531.5	138.0	379.5	101.0	537.8	145.0	421.7	129.0
206	chr9	116167560	116174860	12	476.4	206	464.9	209.0	322.9	179.0	423.0	262.0	327.5	244.0
208	chr19	29364732	29372514	21	475.6	208	526.0	141.0	127.2	1832.0	460.6	208.0	79.1	6418.0
210	chr5	123135493	123142053	6	473.9	210	458.0	220.0	143.1	1383.0	358.1	423.0	204.5	852.0
212	chr11	34045514	34052050	13	473.1	212	549.3	122.0	356.9	138.0	612.5	96.0	506.0	71.0
213	chr11	117962932	117969294	13	473.1	213	395.1	321.0	252.2	371.0	334.0	483.0	225.9	651.0
214	chr13	117217499	117227093	14	473.1	214	394.2	323.0	245.4	402.0	261.8	867.0	126.5	2441.0
215	chr19	57114272	57120994	21	472.2	215	425.2	271.0	155.0	1169.0	423.0	264.0	343.1	208.0
217	chr15	61983325	61989539	16	470.6	217	370.9	366.0	80.3	4889.0	376.0	372.0	106.9	3565.0
219	chr2	32719387	32725283	2	466.4	219	339.9	457.0	215.5	557.0	379.1	359.0	213.7	756.0
221	chr15	74991253	74999109	16	465.6	221	618.1	89.0	317.3	189.0	661.3	81.0	376.6	174.0
222	chr8	34140962	34146454	10	464.7	222	397.8	313.0	234.1	437.0	342.1	463.0	280.2	372.0
223	chr16	23980861	23987863	17	463.9	223	458.5	219.0	257.3	348.0	420.5	271.0	318.9	264.0
226	chr11	119389272	119396050	13	461.4	226	406.5	301.0	282.2	263.0	446.4	227.0	263.4	435.0
227	chr2	3713776	3719638	2	460.5	227	672.9	72.0	516.3	44.0	669.9	77.0	549.3	55.0
228	chr2	122148664	122153698	2	460.5	228	415.1	284.0	278.8	279.0	414.9	282.0	329.3	237.0
230	chr10	21991391	21999389	9	460.5	230	372.7	361.0	134.0	1619.0	226.6	1229.0	257.6	457.0
233	chr7	24369192	24375390	8	457.2	233	366.3	378.0	380.6	99.0	666.8	78.0	259.4	452.0
235	chr11	60775504	60782928	13	455.5	235	224.0	1193.0	363.1	126.0	479.8	191.0	432.1	117.0
236	chr10	99260718	99266518	9	453.9	236	416.0	283.0	179.8	850.0	399.5	313.0	292.3	324.0
237	chr17	6776507	6782473	18	453.9	237	472.6	192.0	345.6	154.0	652.6	84.0	452.3	96.0
238	chr8	70605308	70611488	10	453.0	238	366.3	379.0	205.9	619.0	402.0	305.0	198.7	907.0
239	chr7	127133493	127138513	8	452.2	239	420.6	276.0	299.2	219.0	415.5	280.0	299.2	308.0
240	chr6	48645792	48652542	7	451.4	240	370.9	365.0	251.7	372.0	402.0	304.0	228.7	632.0
241	chr11	115161023	115168749	13	451.4	241	299.7	600.0	186.6	771.0	258.7	891.0	412.4	136.0
242	chr11	70432661	70439315	13	450.5	242	401.5	305.0	256.2	355.0	423.6	260.0	292.3	325.0
243	chr17	70847457	70855077	18	447.2	243	485.8	176.0	217.2	546.0	339.6	469.0	216.0	734.0
244	chr2	173214422	173220530	2	446.4	244	326.2	504.0	293.0	231.0	423.0	261.0	312.5	275.0
245	chr3	95227435	95233769	4	446.4	245	299.3	602.0	208.1	600.0	430.4	253.0	205.6	838.0
246	chr3	107036693	107044415	4	445.5	246	469.9	197.0	155.0	1166.0	447.0	226.0	347.2	201.0
247	chr1	87619673	87627341	1	443.9	247	335.3	471.0	371.0	113.0	455.7	216.0	369.7	180.0
248	chr8	119836096	119841760	10	443.9	248	400.1	309.0	306.5	202.0	743.4	60.0	593.8	36.0
249	chr11	117776470	117783680	13	443.9	249	450.7	230.0	152.1	1211.0	442.1	235.0	166.9	1331.0
250	chr16	35867338	35872856	17	443.9	250	370.0	370.0	216.0	555.0	378.5	362.0	244.3	523.0
251	chr6	86847483	86854213	7	442.2	251	350.8	423.0	195.1	700.0	361.2	412.0	336.8	223.0
252	chr1	60745679	60752985	1	441.4	252	413.8	287.0	188.9	745.0	370.5	385.0	312.5	274.0
253	chr2	164074361	164080297	2	440.5	253	365.0	381.0	286.7	255.0	403.8	301.0	306.2	291.0
254	chr7	143623003	143630297	8	440.5	254	431.1	261.0	272.0	301.0	395.2	321.0	310.8	280.0
256	chr7	24904192	24909638	8	439.7	256	542.0	128.0	375.5	108.0	496.4	175.0	439.0	109.0
257	chr11	63918656	63926390	13	438.9	257	276.9	723.0	173.1	919.0	242.0	1028.0	180.2	1118.0
258	chr2	26495860	26503122	2	438.0	258	777.8	44.0	664.0	18.0	910.1	22.0	740.0	14.0
259	chr7	132804599	132813093	8	438.0	259	434.8	251.0	269.2	314.0	419.9	272.0	332.7	234.0
260	chr19	5723686	5729908	21	438.0	260	422.4	274.0	362.0	131.0	405.7	299.0	445.4	104.0
261	chr11	69413891	69421051	13	437.2	261	836.7	31.0	411.7	81.0	878.6	28.0	436.1	112.0
263	chr11	106154697	106159407	13	436.4	263	375.0	356.0	238.1	421.0	358.7	420.0	241.5	546.0
266	chr2	29620099	29624945	2	435.5	266	373.2	359.0	325.8	175.0	407.5	295.0	357.0	193.0
267	chr3	90078628	90085456	4	435.5	267	491.3	166.0	301.4	212.0	562.5	125.0	298.1	312.0
268	chr9	110877732	110888084	12	434.7	268	247.7	950.0	137.4	1527.0	268.6	823.0	187.7	1025.0
269	chr17	47504136	47510168	18	434.7	269	639.6	78.0	280.5	275.0	611.3	97.0	296.3	317.0
272	chr1	88276558	88278114	1	432.2	272	469.9	196.0	236.4	429.0	382.2	352.0	418.8	132.0
274	chr10	75589442	75593814	9	431.3	274	366.3	380.0	291.8	238.0	370.5	388.0	291.1	330.0
275	chr11	88999242	89004804	13	431.3	275	413.3	289.0	264.1	329.0	415.5	281.0	303.8	298.0
278	chr5	122986238	122992042	6	430.5	278	465.3	208.0	225.1	495.0	560.6	126.0	592.7	37.0
279	chr8	3352570	3358860	10	430.5	279	301.1	591.0	226.2	484.0	303.2	629.0	244.9	519.0
280	chr1	160043211	160048591	1	429.7	280	418.3	278.0	222.8	510.0	459.4	210.0	327.5	243.0
281	chr17	57076090	57081004	18	429.7	281	351.3	421.0	249.4	388.0	345.2	454.0	255.3	472.0
282	chr10	6974702	6980574	9	428.0	282	410.1	295.0	165.1	1031.0	397.0	316.0	139.8	1954.0
283	chr1	74236909	74244619	1	427.2	283	453.0	227.0	302.6	208.0	459.4	209.0	340.8	214.0
284	chr2	32151436	32156708	2	427.2	284	381.4	342.0	273.7	292.0	442.1	234.0	285.4	354.0
285	chr15	79891130	79897996	16	427.2	285	469.9	198.0	204.7	633.0	458.1	214.0	283.0	362.0
286	chr1	171915064	171921984	1	426.3	286	445.2	237.0	155.0	1165.0	405.0	300.0	343.7	205.0
287	chr11	34779143	34785145	13	426.3	287	381.4	343.0	336.5	163.0	359.4	417.0	328.7	239.0
288	chr15	9523295	9531185	16	426.3	288	232.7	1090.0	57.7	8266.0	230.3	1174.0	272.1	400.0
290	chr4	136171367	136181683	5	424.7	290	445.7	236.0	315.6	192.0	395.2	320.0	322.9	255.0
291	chr5	137629211	137633437	6	424.7	291	432.0	257.0	276.6	286.0	343.3	460.0	273.8	396.0
292	chr19	46502300	46509568	21	424.7	292	499.1	160.0	405.5	84.0	503.2	171.0	402.6	140.0
293	chr2	92456090	92461810	2	423.8	293	366.3	377.0	253.4	365.0	393.3	325.0	270.3	407.0
294	chr13	46719085	46727639	14	423.0	294	432.5	256.0	164.6	1042.0	399.5	314.0	325.8	247.0
296	chr11	97658530	97665328	13	421.3	296	308.8	560.0	135.7	1573.0	340.2	467.0	166.9	1329.0
297	chr3	87844732	87851050	4	420.5	297	406.5	300.0	298.6	220.0	468.6	201.0	322.9	254.0
300	chr2	73448494	73454840	2	418.8	300	463.9	212.0	286.7	254.0	434.7	246.0	333.3	231.0
301	chr11	86576156	86583336	13	418.8	301	759.1	48.0	413.4	79.0	624.9	92.0	491.6	77.0
302	chr8	25097466	25103728	10	417.2	302	431.6	259.0	263.5	330.0	422.3	265.0	282.5	363.0
303	chr19	34640084	34646462	21	415.5	303	364.5	383.0	248.8	393.0	388.4	338.0	239.1	562.0
304	chr2	43748382	43754014	2	414.7	304	410.6	293.0	275.4	289.0	399.5	311.0	292.3	322.0
305	chr14	121911975	121919121	11	414.7	305	352.2	419.0	248.8	390.0	359.4	418.0	276.7	385.0
306	chr4	101257990	101265742	5	413.8	306	334.8	476.0	300.3	217.0	373.6	376.0	283.0	361.0
307	chr11	103342379	103347049	13	413.8	307	332.6	482.0	251.1	378.0	385.3	346.0	284.2	359.0
308	chr15	89306825	89315227	16	413.0	308	387.3	334.0	247.7	396.0	372.3	380.0	324.1	251.0
310	chr17	34587975	34592183	18	412.2	310	362.2	388.0	273.7	293.0	409.4	294.0	279.6	374.0
311	chr16	92821320	92827678	17	411.3	311	575.7	107.0	466.6	52.0	581.0	110.0	362.8	190.0
312	chr10	81494154	81501160	9	410.5	312	367.2	375.0	173.6	913.0	351.9	439.0	141.5	1905.0
313	chr11	87732376	87738838	13	410.5	313	233.1	1086.0	300.9	214.0	423.0	263.0	376.6	173.0
316	chr11	58213772	58219744	13	408.8	316	432.0	258.0	347.8	152.0	471.7	199.0	259.4	454.0
317	chr14	27231727	27239959	11	408.0	317	346.7	431.0	307.7	200.0	251.9	941.0	312.5	276.0
318	chr6	87527960	87534122	7	407.2	318	539.2	132.0	289.0	249.0	540.3	142.0	421.7	128.0
319	chr2	79254615	79260863	2	406.3	319	373.2	360.0	285.0	259.0	387.8	339.0	256.5	461.0
321	chr1	69682440	69689344	1	405.5	321	406.9	299.0	301.4	211.0	298.8	646.0	72.8	7252.0
322	chr7	45704130	45709162	8	405.5	322	376.8	350.0	276.0	288.0	410.0	293.0	287.1	347.0
323	chr13	55445528	55449884	14	405.5	323	327.5	501.0	256.8	350.0	306.9	608.0	263.4	436.0
324	chr2	157128835	157136471	2	404.6	324	399.6	310.0	127.2	1810.0	335.3	476.0	135.7	2086.0
325	chr3	88136190	88141568	4	404.6	325	358.6	395.0	278.8	280.0	366.1	403.0	254.2	476.0
326	chr4	139193525	139200809	5	404.6	326	360.8	389.0	336.5	162.0	443.3	231.0	321.2	256.0
