id	chr_name	start	end	chromosome_id	tag_count_10um_k99a	id_10um_k99a	tag_count_no_peptide	id_no_peptide	tag_count_100um_k99a	id_100um_k99a	tag_count_0_1um_pcc	id_0_1um_pcc	tag_count_10um_pcc	id_10um_pcc
629	chr13	73732132	73738272	14	295.2	629	431.3	276.0	131.2	1690.0	225.4	1245.0	254.7	475.0
633	chr15	73173782	73180422	16	294.2	633	32.5	19738.0	248.8	392.0	324.8	527.0	274.4	395.0
636	chr7	100853066	100857800	8	293.8	636	292.8	676.0	270.9	305.0	314.3	583.0	214.3	754.0
637	chr9	63131862	63136340	12	293.8	637	320.4	550.0	218.9	534.0	326.6	511.0	256.5	462.0
638	chr10	80157512	80162226	9	293.8	638	277.8	750.0	181.0	836.0	280.3	738.0	205.6	840.0
640	chr2	75680434	75687504	2	293.3	640	267.0	824.0	215.5	558.0	314.9	579.0	158.9	1471.0
644	chr7	73549318	73556724	8	292.9	644	251.1	934.0	66.2	6772.0	271.7	793.0	208.0	820.0
647	chr16	49856692	49860448	17	292.9	647	370.4	399.0	173.1	921.0	378.5	363.0	181.4	1106.0
657	chr8	119827982	119835066	10	290.6	657	259.5	877.0	279.9	276.0	743.4	60.0	593.8	36.0
659	chr9	21326081	21334251	12	289.7	659	101.8	6603.0	155.5	1160.0	297.6	652.0	250.1	497.0
665	chr1	138141126	138147894	1	288.8	665	168.5	2253.0	239.8	414.0	759.5	56.0	61.2	9242.0
668	chr11	6469564	6474568	13	288.8	668	227.8	1150.0	226.2	488.0	356.9	427.0	288.2	343.0
673	chr10	19185509	19190991	9	287.9	673	264.5	844.0	207.0	616.0	302.6	631.0	172.1	1245.0
674	chr11	11714512	11721868	13	287.9	674	364.6	416.0	231.3	460.0	319.2	549.0	296.9	315.0
676	chr16	38090333	38093897	17	287.4	676	277.8	753.0	197.4	680.0	282.8	728.0	216.6	729.0
677	chr6	31123220	31128374	7	286.9	677	284.5	718.0	229.6	467.0	287.1	704.0	229.3	630.0
678	chr11	43382949	43389691	13	286.5	678	201.1	1539.0	249.4	385.0	403.8	302.0	275.0	392.0
691	chr1	38662310	38666136	1	283.8	691	315.4	569.0	218.3	537.0	328.5	502.0	257.1	459.0
694	chr13	21157928	21161158	14	283.3	694	241.1	1023.0	186.6	772.0	256.9	906.0	215.5	743.0
707	chr16	84704081	84710139	17	280.1	707			77.5	5236.0	268.6	825.0	299.2	309.0
718	chr11	34769014	34772518	13	277.8	718	316.2	566.0	194.0	714.0	277.9	754.0	173.3	1226.0
725	chrX	48134888	48144052	3	276.9	725	8.34	32677.0	164.6	1046.0	218.0	1346.0	148.5	1720.0
726	chr5	23415713	23420243	6	276.5	726	239.5	1033.0	186.1	774.0	235.2	1107.0	205.1	847.0
727	chr5	105647467	105652345	6	276.5	727	313.7	576.0	233.6	443.0	281.6	732.0	230.5	617.0
740	chr19	53185109	53191003	21	273.7	740	251.1	938.0	184.4	799.0	9.88	32626.0	161.2	1430.0
747	chr3	58417366	58422354	4	272.3	747	231.1	1115.0	195.7	695.0	284.0	718.0	234.5	588.0
749	chr9	32515375	32521633	12	272.3	749	302.0	632.0	226.2	486.0	271.7	794.0	45.6	12833.0
753	chr8	105621607	105625793	10	271.4	753	279.5	743.0	204.7	631.0	272.3	790.0	202.8	868.0
755	chr15	79692063	79695765	16	271.4	755	278.7	748.0	225.1	497.0	297.0	655.0	212.0	783.0
764	chr9	123927119	123933353	12	270.1	764	105.1	6272.0	96.7	3355.0	131.5	4202.0	114.4	3085.0
770	chr17	7873212	7879186	18	269.6	770	196.9	1608.0	238.1	422.0	403.8	303.0	439.0	110.0
784	chr4	140944017	140950529	5	267.8	784	309.5	595.0	265.8	323.0	343.9	456.0	280.2	371.0
786	chr6	83448881	83455993	7	267.8	786	145.2	3211.0	22.1	19550.0	177.8	2120.0	280.7	368.0
788	chr4	129808561	129813503	5	267.3	788	268.7	813.0	103.5	2873.0	291.4	682.0	220.7	691.0
789	chr5	23427555	23432761	6	267.3	789	221.1	1231.0	47.5	10508.0	265.5	838.0	174.4	1201.0
793	chr12	100991553	100996885	15	267.3	793	215.3	1316.0	270.3	310.0	298.2	650.0	302.1	301.0
795	chr7	104442245	104447665	8	266.9	795	270.3	804.0	190.0	736.0	312.4	589.0	177.9	1154.0
796	chr12	55487128	55491458	15	266.9	796	333.7	500.0	173.1	920.0	316.1	572.0	209.7	805.0
802	chr1	180362645	180368039	1	265.0	802	210.3	1381.0	235.3	431.0	261.8	860.0	161.2	1418.0
809	chr11	63987632	63992542	13	264.1	809	396.3	348.0	177.6	875.0	261.8	864.0	13.9	26742.0
813	chr5	64810070	64814046	6	263.7	813	301.2	637.0	128.9	1757.0	237.1	1083.0	123.6	2586.0
814	chr7	114416489	114422903	8	263.7	814	311.2	586.0	52.6	9335.0	250.1	954.0	162.9	1391.0
823	chr3	96499534	96503436	4	263.2	823	276.2	759.0	113.1	2370.0	272.3	788.0	233.9	591.0
827	chr10	42897930	42903560	9	263.2	827	131.8	3984.0	15.3	23639.0	301.9	633.0	146.1	1760.0
829	chr2	18607249	18610911	2	262.8	829	282.8	725.0	17.5	22020.0	218.6	1331.0	150.8	1638.0
838	chr15	73159704	73166502	16	261.9	838	11.7	30443.0	958.0	6.0	1158.3	7.0	1034.6	6.0
845	chr1	137897547	137901171	1	260.5	845	231.1	1114.0	170.2	952.0	237.1	1082.0	173.3	1220.0
855	chr11	104661252	104668712	13	259.6	855	317.0	563.0	67.9	6534.0	80.9	9409.0	144.4	1812.0
867	chr5	31595401	31602773	6	256.8	867	81.8	9066.0	261.8	333.0	218.0	1338.0	233.9	592.0
872	chr11	4201866	4207840	13	256.4	872	95.9	7248.0	237.0	427.0	260.6	875.0	251.9	484.0
875	chr6	94677256	94683054	7	255.9	875	12.5	29267.0	228.5	474.0	125.3	4600.0	94.7	4592.0
878	chr15	59650414	59655538	16	255.9	878	330.4	513.0	231.9	456.0	271.7	796.0	226.4	648.0
886	chr17	29493959	29499083	18	255.0	886	225.3	1183.0	153.3	1191.0	208.7	1480.0	317.1	267.0
888	chr18	70569354	70573752	20	255.0	888	297.9	647.0	196.8	686.0	314.9	581.0	188.3	1016.0
889	chr9	59937192	59942916	12	254.6	889	228.6	1140.0	143.6	1367.0	260.6	874.0	121.3	2706.0
897	chr1	160305296	160309656	1	253.6	897	262.8	852.0	164.6	1035.0	254.4	920.0	164.1	1367.0
900	chr9	44477305	44480443	12	253.6	900	252.0	929.0	152.7	1197.0	258.1	894.0	175.0	1194.0
905	chr1	134092295	134096721	1	252.7	905	120.1	4790.0	46.9	10623.0	280.3	737.0	196.4	920.0
909	chr11	60113343	60117035	13	252.7	909	184.4	1857.0	152.1	1210.0	275.4	773.0	166.4	1334.0
913	chr14	54059525	54067145	11	252.3	913	289.5	695.0	9.05	29874.0	228.5	1197.0	217.2	722.0
918	chr4	59199671	59206413	5	251.4	918	932.8	22.0	32.8	14885.0	765.6	53.0	80.9	6129.0
923	chr11	68449755	68454661	13	250.9	923	232.8	1100.0	97.3	3310.0	249.4	964.0	169.2	1288.0
925	chr7	16310599	16314717	8	250.5	925	196.1	1615.0	173.1	917.0	258.1	893.0	208.5	816.0
931	chr12	102670967	102677695	15	250.0	931	163.5	2458.0	219.4	530.0	219.8	1317.0	39.9	14551.0
932	chr3	20105587	20112235	4	249.5	932	32.5	19558.0	203.6	637.0	327.9	505.0	210.3	797.0
936	chr11	21093033	21097329	13	249.1	936	364.6	417.0	186.6	769.0	533.5	149.0	217.8	718.0
937	chr18	75382377	75388921	20	249.1	937	463.1	224.0	356.9	140.0	28.4	21140.0	69.9	7790.0
939	chr6	127446141	127450159	7	248.6	939	268.7	814.0	159.5	1101.0	235.2	1108.0	152.5	1604.0
942	chr4	133748032	133752566	5	248.2	942	204.4	1477.0	161.2	1084.0	269.2	816.0	190.0	998.0
946	chr17	83275498	83280224	18	248.2	946	221.9	1226.0	13.6	25167.0	232.8	1142.0	15.0	26058.0
952	chr2	11656656	11663820	2	247.3	952	18.4	25272.0	223.4	507.0	579.2	113.0	461.0	91.0
954	chr7	25203785	25207165	8	247.3	954	245.3	981.0	173.1	918.0	225.4	1244.0	174.4	1202.0
956	chr14	75185128	75190400	11	247.3	956	206.9	1440.0	327.5	174.0	1073.7	10.0	391.1	152.0
958	chr15	82165553	82169171	16	247.3	958	208.6	1417.0	13.6	25122.0	208.1	1489.0	113.8	3136.0
961	chr2	18955464	18960386	2	246.3	961	225.3	1176.0	39.0	12806.0	234.6	1114.0	20.8	21823.0
962	chr2	132509557	132515669	2	246.3	962	193.6	1660.0	10.2	28140.0	152.5	3044.0	26.6	19134.0
965	chr17	29431344	29438904	18	246.3	965	75.1	10188.0	70.1	6210.0	266.7	834.0	17.3	24251.0
966	chr19	47446129	47451921	21	246.3	966	268.7	817.0	222.8	516.0	230.3	1175.0	203.3	865.0
967	chr4	59330664	59336482	5	245.9	967	342.9	469.0			85.2	8782.0		
968	chr6	99093122	99097122	7	245.9	968	269.5	809.0	188.9	747.0	322.9	536.0	205.1	848.0
972	chr5	142928606	142933334	6	245.4	972	65.9	11654.0	183.8	803.0	273.5	780.0	324.6	249.0
976	chr13	20183251	20187227	14	245.4	976	232.8	1103.0	175.3	899.0	263.7	849.0	225.9	652.0
979	chr5	125404273	125407979	6	245.0	979	204.4	1479.0	169.7	960.0	220.4	1301.0	201.0	884.0
982	chr14	121364125	121368455	11	245.0	982	275.3	771.0	233.6	445.0	240.2	1047.0	224.7	664.0
983	chr15	97360117	97363973	16	245.0	983	222.8	1216.0	203.6	643.0	256.2	912.0	216.6	728.0
986	chr9	63737157	63741105	12	244.1	986	421.3	295.0	205.3	625.0	366.8	400.0	268.0	421.0
987	chr9	96437244	96439842	12	244.1	987	302.0	633.0	170.8	949.0	240.2	1046.0	186.0	1047.0
989	chr13	21166551	21169733	14	244.1	989	252.0	930.0	137.4	1531.0	250.7	950.0	194.7	942.0
993	chr19	6950190	6952944	21	244.1	993	237.8	1056.0	106.9	2698.0	229.1	1187.0	140.4	1940.0
995	chr8	124271622	124276386	10	243.6	995	338.7	483.0	228.5	476.0	278.5	748.0	118.4	2846.0
996	chr18	50030653	50033983	20	243.6	996	275.3	773.0	166.3	1010.0	445.8	229.0	164.6	1365.0
997	chr4	123561484	123566718	5	243.2	997	12.5	29163.0	197.9	669.0	242.0	1025.0	206.8	830.0
999	chr12	86831923	86837429	15	243.2	999	206.9	1439.0	171.9	936.0	247.6	981.0	180.2	1119.0
1002	chr5	112294295	112300761	6	242.7	1002	191.9	1693.0	322.9	178.0	342.7	461.0	222.4	680.0
1006	chr3	105891958	105895730	4	242.2	1006	251.1	933.0	192.3	720.0	274.8	776.0	180.8	1108.0
1010	chr4	129031214	129036488	5	241.8	1010	43.4	16454.0	49.8	9945.0	253.8	924.0	213.2	763.0
1017	chr4	8908768	8914652	5	240.9	1017	260.3	869.0	47.5	10496.0	241.4	1031.0	91.8	4862.0
1019	chr9	44606327	44610417	12	240.4	1019	211.1	1374.0	165.7	1017.0	203.8	1543.0	183.1	1085.0
1021	chr15	100039952	100043888	16	240.4	1021	236.9	1067.0	179.8	852.0	253.8	927.0	161.7	1416.0
1022	chr19	12538378	12543082	21	240.4	1022	222.8	1220.0	179.8	853.0	268.6	826.0	165.8	1346.0
1027	chr11	52337013	52343225	13	240.0	1027	247.0	968.0	214.3	564.0	264.9	841.0	185.4	1055.0
1030	chr14	121369368	121374528	11	239.5	1030	362.1	421.0	303.7	207.0	368.0	397.0	216.0	732.0
1031	chr17	57274155	57276983	18	239.5	1031	229.4	1137.0	125.0	1907.0	238.3	1073.0	169.2	1289.0
1032	chr11	117316546	117320692	13	239.0	1032	247.8	961.0	180.4	844.0	316.1	570.0	296.9	316.0
1033	chr12	55463681	55467801	15	239.0	1033	199.4	1563.0	203.6	640.0	266.1	837.0	235.7	582.0
1038	chr2	164081397	164086365	2	238.1	1038	251.1	932.0	167.4	984.0	234.0	1125.0	149.6	1664.0
1039	chr18	39516148	39520506	20	238.1	1039	195.2	1639.0	130.1	1727.0	209.9	1465.0	130.0	2321.0
1040	chr3	31097110	31103266	4	237.7	1040	8.34	32224.0	233.0	447.0	315.5	573.0	253.0	482.0
1047	chr11	118143314	118148490	13	237.2	1047	281.2	735.0	83.1	4595.0	200.1	1608.0	191.8	975.0
1049	chrX	96097070	96103756	3	237.2	1049	251.1	939.0	13.0	25751.0	18.5	25460.0	177.3	1168.0
1050	chr6	54818272	54821964	7	236.8	1050	221.1	1233.0	156.7	1140.0	203.8	1542.0	172.7	1233.0
1051	chr11	117324502	117329092	13	236.8	1051	238.6	1048.0	791.8	9.0	898.4	26.0	190.0	1002.0
