id	chr_name	start	end	chromosome_id	tag_count_10um_pcc	id_10um_pcc	tag_count_no_peptide	id_no_peptide	tag_count_10um_k99a	id_10um_k99a	tag_count_100um_k99a	id_100um_k99a	tag_count_0_1um_pcc	id_0_1um_pcc
416	chr16	49769689	49776287	17	268.6	416	131.8	4000.0	50.6	14657.0	131.8	1672.0	59.9	12984.0
421	chr9	63734458	63740924	12	268.0	421	421.3	295.0	244.1	986.0	205.3	625.0	366.8	400.0
433	chr2	166653553	166660783	2	264.6	433	174.4	2087.0	230.4	1111.0	102.9	2907.0	306.3	610.0
434	chr11	54949531	54955495	13	264.0	434	243.6	996.0	734.5	55.0	10.2	28557.0	768.7	51.0
437	chr1	171644208	171649990	1	262.8	437	25.0	22213.0	6.84	33087.0	52.0	9423.0	233.4	1129.0
443	chr5	32137851	32143147	6	261.1	443	229.4	1127.0	211.2	1370.0	194.5	705.0	261.8	862.0
444	chr9	62344488	62350398	12	261.1	444	309.5	599.0	295.2	627.0	208.7	598.0	263.7	848.0
446	chr11	107446877	107452997	13	260.5	446	436.4	264.0	316.1	531.0	88.2	4058.0	303.8	627.0
448	chr2	170217608	170223758	2	259.9	448	397.1	345.0	370.0	368.0	287.3	252.0	373.6	375.0
451	chr6	125480534	125486178	7	259.4	451	297.9	645.0	320.7	515.0	207.0	613.0	306.3	612.0
456	chr10	117828362	117834590	9	258.2	456	40.0	17441.0	231.3	1102.0	23.8	18713.0	178.4	2105.0
459	chr1	38661097	38666085	1	257.1	459	315.4	569.0	283.8	691.0	218.3	537.0	328.5	502.0
462	chr9	63131928	63136322	12	256.5	462	320.4	550.0	293.8	637.0	218.9	534.0	326.6	511.0
463	chr11	46307018	46310946	13	256.5	463	632.4	90.0	165.1	2421.0	270.9	307.0	516.8	163.0
469	chr10	54070326	54074312	9	255.3	469	319.5	552.0	292.9	645.0	268.1	315.0	351.9	438.0
471	chr14	60709467	60714037	11	255.3	471	474.7	209.0	370.0	369.0	265.8	325.0	337.1	473.0
475	chr13	73731999	73738297	14	254.7	475	431.3	276.0	295.2	629.0	131.2	1690.0	43.2	16857.0
477	chr11	46370150	46375604	13	254.2	477	283.7	720.0	996.3	13.0	282.8	261.0	391.5	330.0
482	chr3	31096411	31102565	4	253.0	482			237.7	1040.0	23.8	18601.0	315.5	573.0
484	chr11	4201439	4207991	13	251.9	484	101.0	6708.0	256.4	872.0	237.0	427.0	260.6	875.0
486	chr3	52270298	52275922	4	251.3	486	386.3	368.0	350.8	422.0	241.5	409.0	315.5	574.0
487	chr9	107623121	107630241	12	251.3	487	544.0	140.0	106.7	6115.0	90.5	3865.0	131.5	4200.0
488	chr11	117305725	117311725	13	251.3	488	31.7	19986.0	201.2	1549.0	156.1	1152.0	301.9	635.0
491	chr2	29628139	29633721	2	250.7	491	44.2	16228.0	71.2	10684.0	24.3	18333.0	53.1	14388.0
492	chr2	29660773	29667063	2	250.7	492	172.7	2129.0	17.8	24519.0	115.9	2248.0	287.7	698.0
493	chr10	78295228	78300324	9	250.7	493	281.2	734.0	296.1	621.0	212.6	575.0	354.4	431.0
494	chr17	29394505	29399681	18	250.7	494	292.8	681.0	383.7	338.0	281.6	265.0	351.3	441.0
496	chr8	72320212	72325858	10	250.1	496	309.5	598.0	306.6	565.0	237.5	425.0	279.7	742.0
497	chr9	21326243	21334073	12	250.1	497	132.7	3928.0	289.7	659.0	84.3	4428.0	297.6	652.0
499	chr4	124751636	124757214	5	249.5	499	377.1	382.0	342.6	446.0	240.9	411.0	366.8	399.0
500	chr8	121900982	121906628	10	249.5	500	191.1	1713.0	209.4	1398.0	218.9	533.0	327.9	507.0
502	chr15	77815664	77823470	16	249.5	502	390.5	359.0	368.1	373.0	312.2	198.0	402.0	307.0
507	chr16	10664549	10670855	17	249.0	507	24.2	22815.0	33.3	18882.0	37.9	13303.0	78.4	9804.0
509	chr5	65868263	65874207	6	247.8	509	942.8	20.0	824.3	34.0	243.8	403.0	761.9	54.0
510	chr10	75299285	75306245	9	247.8	510	38.4	17905.0	102.6	6566.0	128.9	1763.0	214.9	1383.0
517	chr17	27360659	27367263	18	246.1	517	172.7	2152.0	182.9	1916.0	178.7	865.0	240.2	1049.0
520	chr9	44483538	44489512	12	244.9	520	377.1	384.0	353.1	415.0	250.5	382.0	301.9	632.0
521	chr3	89186170	89191162	4	244.3	521	432.2	273.0	348.1	429.0	215.5	559.0	294.5	666.0
530	chr1	165799765	165805721	1	243.2	530					22.6	19160.0	200.7	1598.0
533	chr4	134115276	134121940	5	243.2	533	461.4	225.0	341.7	450.0	15.8	23100.0	376.6	368.0
538	chr6	41551474	41556062	7	242.6	538	326.2	525.0	441.1	241.0	225.7	491.0	392.7	328.0
540	chr19	11444659	11450285	21	242.6	540	403.0	331.0	437.0	245.0	208.1	606.0	388.4	337.0
545	chr8	81770226	81775106	10	241.5	545	734.2	57.0	609.0	93.0	223.4	508.0	568.7	123.0
547	chr1	82840744	82847060	1	240.9	547	13.3	28358.0	150.1	3010.0	10.2	28070.0	19.1	24864.0
548	chr2	126495485	126500863	2	240.9	548	400.5	336.0	333.9	477.0	267.5	317.0	322.9	535.0
549	chr4	46452507	46458149	5	240.9	549	139.3	3511.0	176.1	2085.0	143.1	1381.0	173.5	2248.0
551	chr11	79128476	79134404	13	240.9	551	34.2	19166.0	218.1	1269.0	260.2	337.0	272.9	786.0
553	chr12	108761785	108767745	15	240.3	553	313.7	579.0	326.6	503.0	226.8	480.0	314.3	584.0
558	chr5	122231105	122235649	6	239.1	558	390.5	358.0	331.2	486.0	270.3	308.0	360.0	415.0
563	chr9	63718478	63723526	12	238.6	563	290.3	692.0	209.8	1391.0	196.8	684.0	400.1	310.0
564	chr18	75385932	75392876	20	238.6	564	463.1	224.0	249.1	937.0	356.9	140.0	369.2	395.0
570	chr15	78562910	78569544	16	238.0	570	610.7	103.0	527.4	140.0	472.8	51.0	580.4	112.0
572	chr8	106051064	106056418	10	237.4	572	319.5	551.0	327.5	500.0	242.6	407.0	417.4	274.0
577	chr6	149310534	149315828	7	236.8	577	248.6	951.0	236.3	1057.0	131.2	1679.0	281.6	733.0
580	chr11	99147004	99151776	13	236.3	580	966.2	17.0	702.1	63.0	187.8	758.0	590.3	106.0
582	chr12	55462747	55468725	15	235.7	582	199.4	1563.0	239.0	1033.0	203.6	640.0	266.1	837.0
583	chr14	54124557	54130113	11	235.7	583	362.9	420.0	401.0	308.0	213.2	574.0	396.4	318.0
587	chr1	165845256	165850070	1	234.5	587	740.0	54.0	528.3	139.0	173.1	916.0	477.3	194.0
588	chr3	58416925	58421927	4	234.5	588	231.1	1115.0	272.3	747.0	195.7	695.0	284.0	718.0
589	chr3	126659140	126664750	4	234.5	589	99.3	6854.0	66.1	11553.0	109.7	2535.0	239.0	1059.0
591	chr3	96499099	96502977	4	233.9	591	276.2	759.0	263.2	823.0	113.1	2370.0	272.3	788.0
592	chr5	31595444	31602112	6	233.9	592	81.8	9066.0	256.8	867.0	261.8	333.0	218.0	1338.0
595	chr12	102694442	102699844	15	233.9	595	286.2	711.0	312.0	544.0	392.5	90.0	252.5	936.0
598	chr11	99131103	99137887	13	232.8	598	30.0	20535.0	55.7	13578.0	138.0	1512.0	143.9	3461.0
600	chr19	47507071	47511913	21	232.8	600	203.6	1499.0	298.8	606.0	255.1	360.0	271.1	802.0
601	chr1	88696288	88700876	1	232.2	601	314.5	572.0	324.8	508.0	224.5	499.0	304.4	620.0
602	chr6	87845462	87849822	7	232.2	602	201.1	1534.0	267.3	791.0	218.9	532.0	305.6	614.0
603	chr10	59969783	59976015	9	232.2	603	122.6	4632.0	118.2	4999.0	108.0	2630.0	237.7	1079.0
608	chr2	32492698	32498140	2	231.6	608	347.9	454.0	317.1	525.0	240.4	412.0	298.8	647.0
611	chr15	6588309	6593929	16	231.6	611	1162.2	7.0	1060.6	11.0	28.3	16792.0	970.0	17.0
617	chr5	105647418	105652444	6	230.5	617	313.7	576.0	276.5	727.0	233.6	443.0	281.6	732.0
618	chr8	126845617	126851053	10	230.5	618	206.9	1435.0	12.3	27982.0	118.8	2126.0	167.3	2455.0
620	chr12	3832346	3838024	15	230.5	620	100.1	6801.0	214.4	1331.0	194.0	715.0	273.5	782.0
623	chr9	58110598	58116854	12	229.9	623	14.2	28087.0	183.8	1883.0	183.8	804.0	177.8	2125.0
627	chr13	43299436	43302736	14	229.9	627	190.2	1734.0	235.4	1071.0	185.5	782.0	256.9	907.0
629	chr2	170125078	170130192	2	229.3	629	329.6	515.0	297.9	611.0	240.4	413.0	351.3	440.0
630	chr6	31121486	31127534	7	229.3	630	284.5	718.0	286.9	677.0	229.6	467.0	287.1	704.0
631	chr18	34853041	34857553	20	229.3	631	172.7	2154.0	200.3	1566.0	188.9	751.0	234.6	1122.0
633	chr7	16042469	16047227	8	228.7	633	347.1	458.0	312.5	540.0	231.3	459.0	288.3	697.0
637	chr1	191390044	191395490	1	228.2	637	270.3	799.0	295.2	626.0	211.5	581.0	275.4	769.0
638	chr10	80984576	80990748	9	227.6	638	10.8	30840.0	190.7	1740.0	89.4	3952.0	29.6	20661.0
639	chr11	117335288	117341974	13	227.6	639	729.2	61.0	677.4	71.0	791.8	9.0	898.4	26.0
640	chr16	10780126	10784366	17	227.6	640	296.2	658.0	295.6	624.0	203.0	649.0	307.5	604.0
641	chr5	140594032	140599870	6	227.0	641	468.1	218.0	305.6	570.0	167.4	987.0	293.3	672.0
651	chr11	117962997	117968165	13	225.9	651	473.1	213.0	395.1	321.0	252.2	371.0	334.0	483.0
652	chr13	20183145	20187459	14	225.9	652	232.8	1103.0	245.4	976.0	175.3	899.0	263.7	849.0
664	chr14	121364095	121368551	11	224.7	664	275.3	771.0	245.0	982.0	233.6	445.0	240.2	1047.0
665	chr17	84180606	84184956	18	224.7	665	356.3	436.0	358.6	397.0	33.9	14649.0	305.6	617.0
670	chr4	137351087	137356601	5	223.5	670	249.5	946.0	278.7	710.0	10.7	27571.0	266.1	835.0
671	chr10	60377938	60383554	9	223.5	671	196.1	1616.0	181.1	1948.0	184.9	790.0	211.2	1447.0
678	chr1	136626349	136630125	1	222.4	678	15.0	27216.0	401.9	303.0	145.3	1334.0	324.2	529.0
680	chr5	112296284	112301646	6	222.4	680	191.9	1693.0	26.0	21089.0	322.9	178.0	342.7	461.0
683	chr15	81042456	81046820	16	222.4	683	332.1	508.0	315.2	537.0	256.8	352.0	319.2	551.0
684	chr2	73466807	73471753	2	221.8	684	41.7	16873.0	35.1	18251.0	40.7	12304.0	228.5	1188.0
687	chr12	85703401	85707849	15	221.8	687	10.0	31533.0	234.0	1080.0	161.2	1088.0	226.0	1237.0
691	chr4	129808493	129813511	5	220.7	691	268.7	813.0	267.3	788.0	96.1	3379.0	291.4	682.0
696	chr14	25515027	25520991	11	220.7	696	273.7	783.0	154.6	2824.0	280.5	274.0	188.3	1843.0
700	chr10	75318021	75321591	9	220.1	700	272.0	791.0	256.8	868.0	230.7	464.0	281.6	734.0
702	chr16	23268243	23273687	17	220.1	702	167.7	2298.0	215.3	1314.0	147.0	1311.0	227.8	1210.0
704	chr8	122546178	122550236	10	219.5	704	171.9	2169.0	198.9	1585.0	173.6	912.0	227.8	1207.0
713	chr7	73593699	73599505	8	218.3	713	205.2	1464.0	211.2	1372.0	37.3	13411.0	208.7	1475.0
718	chr11	21093018	21097334	13	217.8	718	364.6	417.0	249.1	936.0	186.6	769.0	533.5	149.0
721	chr8	72346860	72352200	10	217.2	721	910.3	30.0	429.3	264.0	19.8	20840.0	43.2	16801.0
722	chr14	54059277	54067191	11	217.2	722	289.5	695.0	252.3	913.0	89.9	3914.0	228.5	1197.0
724	chr4	40836832	40842178	5	216.6	724	168.5	2260.0	228.6	1137.0	180.4	841.0	245.1	998.0
726	chr7	73528540	73534128	8	216.6	726	36.7	18354.0	635.9	79.0	23.8	18674.0	240.2	1045.0
728	chr15	97359899	97363773	16	216.6	728	222.8	1216.0	245.0	983.0	203.6	643.0	256.2	912.0
732	chr14	121369162	121376008	11	216.0	732	15.9	27050.0	239.5	1030.0	303.7	207.0	368.0	397.0
733	chr17	6474765	6477065	18	216.0	733	327.9	521.0	318.0	522.0	212.1	580.0	283.4	723.0
735	chr2	93424745	93428691	2	215.5	735	137.7	3601.0	299.3	601.0	250.5	381.0	173.5	2246.0
736	chr5	115712133	115718195	6	215.5	736	113.5	5418.0	179.3	1996.0	208.1	601.0	140.8	3641.0
737	chr7	17023133	17026871	8	215.5	737	255.3	899.0	259.1	857.0	192.9	718.0	311.2	593.0
743	chr13	21159129	21162435	14	215.5	743	241.1	1023.0	283.3	694.0	186.6	772.0	256.9	906.0
747	chr9	75399943	75404757	12	214.9	747	122.6	4626.0	32.8	18974.0	123.9	1936.0	435.9	244.0
749	chr11	94992508	94996162	13	214.9	749	585.7	115.0	489.0	171.0	220.0	525.0	458.8	212.0
751	chr14	54145700	54152172	11	214.9	751	159.4	2607.0	185.2	1857.0	190.6	732.0	217.3	1357.0
752	chr1	131185273	131189387	1	214.3	752	142.7	3312.0	126.4	4338.0	224.0	503.0	375.4	373.0
754	chr7	100853257	100857449	8	214.3	754	292.8	676.0	293.8	636.0	270.9	305.0	314.3	583.0
763	chr4	129031194	129036550	5	213.2	763	131.8	3975.0	241.8	1010.0	135.2	1581.0	253.8	924.0
766	chr10	108163451	108169269	9	213.2	766	121.0	4757.0	265.5	800.0	100.1	3114.0	105.0	6406.0
768	chr2	11191777	11197349	2	212.6	768	394.6	351.0	388.7	329.0	230.7	461.0	35.2	18895.0
769	chr2	29669457	29674541	2	212.6	769	252.8	923.0	183.8	1878.0	177.0	880.0	48.2	15521.0
773	chr10	14041798	14047696	9	212.6	773	275.3	768.0	219.9	1242.0	224.0	504.0	247.6	980.0
777	chr18	56468701	56472949	20	212.6	777	409.7	315.0	337.1	466.0	238.7	417.0	325.4	521.0
779	chr6	134036860	134042382	7	212.0	779	25.0	22317.0	358.6	396.0	132.3	1647.0	335.3	478.0
786	chr6	114872453	114876353	7	211.4	786	309.5	596.0	303.4	587.0	286.2	256.0	284.0	720.0
787	chr9	57968495	57973235	12	211.4	787	85.9	8518.0	80.7	9313.0	88.2	4045.0	259.9	879.0
789	chr2	11644285	11649195	2	210.8	789			194.3	1674.0			207.5	1493.0
797	chr3	20107538	20112964	4	210.3	797	18.4	25314.0	249.5	932.0	203.6	637.0	327.9	505.0
801	chr10	80677361	80682057	9	210.3	801	259.5	878.0	209.4	1400.0	157.2	1136.0	12.3	29689.0
805	chr12	55487407	55491343	15	209.7	805	333.7	500.0	266.9	796.0	173.1	920.0	316.1	572.0
807	chr16	10767590	10772692	17	209.7	807	283.7	722.0	63.0	12197.0	54.9	8852.0	285.3	711.0
815	chr6	87538204	87543400	7	208.5	815	97.6	7057.0	43.3	16222.0	115.4	2282.0	34.6	19122.0
816	chr7	16310608	16314720	8	208.5	816	196.1	1615.0	250.5	925.0	173.1	917.0	258.1	893.0
820	chr7	73550892	73557130	8	208.0	820	31.7	19907.0	292.9	644.0	66.2	6772.0	271.7	793.0
