id	chr_name	start	end	chromosome_id	tag_count_no_peptide	id_no_peptide	tag_count_10um_k99a	id_10um_k99a	tag_count_100um_k99a	id_100um_k99a	tag_count_0_1um_pcc	id_0_1um_pcc	tag_count_10um_pcc	id_10um_pcc	ets_tag_count	ets_id	batf_tag_count	batf_id	junb_tag_count	junb_id	cjun_tag_count	cjun_id	jund_tag_count	jund_id	irf4_tag_count	irf4_id
57	chr8	81768426	81780680	10	734.2	57	609.0	93.0	115.4	2286.0	224.8	1255.0	102.2	3919.0	26.6	1475.0					30.7	12127.0	29.3	24876.0	18.7	26006.0
63	chr14	60730455	60743215	11	717.5	63	619.1	87.0	14.1	24659.0	594.6	104.0	474.2	85.0	18.1	3685.0	25.5	13854.0	127.0	2166.0	21.8	17287.0	51.7	10556.0	45.2	7432.0
66	chr15	73146795	73159271	16	705.8	66	737.2	53.0	958.0	6.0	1158.3	7.0	1034.6	6.0			40.9	7658.0	60.1	7266.0	56.6	4336.0	54.9	9449.0	54.6	5160.0
71	chr11	46378972	46388286	13	675.8	71	996.3	13.0	102.9	2935.0	619.9	95.0	53.1	11053.0							29.3	12848.0	23.1	32079.0	24.2	19368.0
77	chr5	124074842	124085370	6	666.6	77	508.2	152.0	7.92	31174.0	101.3	6798.0	316.5	269.0	13.1	6030.0	19.2	18723.0	51.8	8599.0	12.3	23381.0	41.2	15708.0	21.7	22045.0
81	chr1	131191169	131201237	1	652.4	81	652.8	74.0	434.9	70.0	648.3	86.0	428.0	121.0	35.2	639.0	129.7	949.0	30.9	13463.0	64.1	3241.0	43.6	14266.0	33.0	12582.0
86	chr6	48698713	48706997	7	646.6	86	460.8	217.0	48.6	10236.0	56.2	13729.0	50.3	11611.0			23.6	14978.0					12.6	50631.0	6.69	51627.0
89	chr9	119976163	119983205	12	634.9	89	627.7	84.0	443.4	66.0	634.1	89.0	478.9	81.0	21.7	2499.0	18.5	19577.0	218.0	637.0	64.8	3207.0	191.1	194.0	13.1	36240.0
95	chr9	32498938	32511660	12	625.7	95	621.8	86.0	315.6	193.0	652.6	83.0	566.7	50.0	17.6	3830.0	86.2	2297.0	63.5	6749.0	21.2	17592.0	51.1	10745.0	31.8	13328.0
96	chr4	32246429	32254571	5	624.9	96	490.9	167.0	381.7	98.0	519.9	160.0	350.6	200.0			276.6	80.0	206.3	742.0	30.7	12042.0	105.5	1968.0	92.0	1540.0
97	chr3	131154448	131163606	4	617.4	97	477.6	183.0	372.7	111.0	431.6	250.0	336.8	221.0	39.3	459.0	45.3	6543.0	67.7	6167.0	44.4	6891.0	68.9	5936.0	30.4	14125.0
102	chr10	22296249	22304425	9	612.4	102	547.0	125.0	349.5	150.0	517.4	161.0	26.0	19437.0	21.7	2501.0	63.2	4004.0	150.4	1544.0	25.9	14674.0	88.0	3262.0	28.8	15326.0
115	chr11	94992789	95001607	13	585.7	115	489.0	171.0	220.0	525.0	458.8	212.0	214.9	749.0	15.8	4654.0			17.5	17966.0	19.1	18988.0	28.8	25493.0	37.3	10393.0
118	chr2	132017591	132024649	2	581.5	118	600.4	98.0	386.8	92.0	528.5	154.0	379.5	166.0			37.7	8400.0			42.3	7487.0	19.6	36965.0	15.7	30995.0
135	chr14	75175243	75183713	11	554.8	135	578.0	105.0	388.5	91.0	1073.7	10.0	441.3	107.0	36.1	597.0	95.8	1905.0	48.5	9347.0	53.9	4793.0	56.8	8851.0	46.3	7099.0
137	chr1	134058793	134068519	1	552.3	137	453.0	229.0	319.5	185.0	454.4	219.0	324.1	250.0	29.3	1109.0	68.3	3498.0	45.1	9884.0	75.7	2172.0	44.9	13546.0	46.3	7045.0
138	chr2	174610977	174618505	2	551.5	138	465.3	207.0	352.9	144.0	476.1	195.0	346.6	202.0	14.4	5233.0	16.6	21481.0					30.4	23768.0	8.53	47003.0
142	chr12	102366544	102374146	15	541.5	142	433.4	254.0	325.2	176.0	424.2	259.0	314.8	271.0	15.8	4670.0	27.5	12711.0	37.6	11758.0	11.6	23938.0	37.4	18202.0	29.3	15006.0
148	chr9	13295325	13302041	12	536.5	148	495.9	163.0	368.7	116.0	499.5	174.0	396.8	144.0	11.7	6847.0	21.7	16520.0	60.1	7235.0	29.3	12802.0	93.9	2750.0	86.5	1818.0
149	chr14	54203145	54205693	11	534.8	149	428.4	266.0	177.6	878.0	3384.2	2.0	328.7	241.0							37.5	9299.0				
151	chr8	126584327	126592237	10	529.0	151	573.4	108.0	25.4	17923.0	534.7	148.0	378.4	169.0			62.0	4134.0	188.8	924.0	88.7	1442.0	35.3	19779.0	71.2	2901.0
154	chr14	79531524	79539606	11	526.5	154	563.9	113.0	411.2	82.0	516.8	164.0	68.7	7982.0	37.9	517.0	23.6	15210.0	44.3	10195.0	45.7	6643.0	64.9	6763.0	24.7	18962.0
161	chr10	96618656	96626932	9	519.0	161	534.7	136.0	350.1	149.0	486.6	185.0	9.24	31868.0									30.9	23372.0	49.8	6175.0
170	chr12	73590521	73601057	15	513.1	170	497.3	161.0	376.1	105.0	513.1	165.0	10.4	30210.0	21.2	2644.0	40.2	7822.0	65.2	6545.0	22.5	16826.0	74.0	5058.0	45.6	7309.0
173	chr3	96559008	96565660	4	509.8	173	432.9	255.0	70.7	6090.0	574.2	118.0	495.6	75.0			24.3	14450.0					29.1	25079.0	59.5	4313.0
177	chr15	77797012	77808008	16	506.4	177	160.1	2610.0	446.8	61.0	329.1	501.0	132.9	2196.0	28.0	1322.0	70.9	3323.0	157.9	1403.0	146.7	291.0	44.1	14105.0	52.6	5581.0
188	chr2	6715888	6722970	2	493.9	188	463.9	211.0	255.6	356.0	415.5	279.0	276.1	387.0			36.4	8796.0					18.8	38253.0	15.0	32243.0
191	chrX	48423504	48436642	3	491.4	191	426.1	269.0	179.3	858.0	453.8	221.0	183.1	1088.0	13.1	6195.0	22.4	16242.0	20.9	16934.0	32.8	11335.0	18.6	39104.0	12.7	37469.0
193	chr12	110491819	110500541	15	488.9	193	394.6	322.0	42.4	11905.0	39.5	17776.0	28.9	18342.0	35.7	632.0	22.4	16126.0	28.4	14395.0	48.4	5943.0	22.3	33200.0	24.7	18944.0
194	chr15	66797939	66806311	16	488.1	194	593.1	102.0	700.7	15.0	877.4	29.0	650.4	24.0	30.2	1053.0	76.0	2934.0	80.2	4859.0			68.6	6009.0	84.1	1939.0
198	chr11	95353052	95358996	13	483.9	198	375.0	355.0	253.9	363.0	375.4	374.0	278.4	379.0			58.8	4519.0	160.4	1343.0	26.6	14286.0	39.0	17126.0	68.7	3161.0
199	chr2	167939136	167946730	2	482.2	199	465.8	205.0	435.5	69.0	787.2	47.0	664.9	22.0	14.9	4992.0	70.9	3286.0	250.6	436.0	23.9	15732.0	107.6	1844.0	237.9	64.0
207	chr11	22838729	22848991	13	475.6	207	1217.1	6.0	830.2	8.0	1213.3	5.0	1045.5	5.0			32.6	10247.0	19.2	17391.0			35.0	20005.0	24.2	19367.0
209	chr14	60709057	60715117	11	474.7	209	21.4	22928.0	265.8	325.0	337.1	473.0	255.3	471.0			37.7	8535.0			74.4	2316.0	29.9	24460.0	31.8	13362.0
211	chr15	74928645	74936105	16	473.9	211	578.0	106.0	74.1	5673.0	546.4	136.0	440.2	108.0	11.7	6942.0	48.5	6017.0	16.7	18278.0	25.9	14774.0	51.1	10778.0	49.1	6361.0
216	chr10	19593118	19600890	9	470.6	216	379.1	345.0	179.8	849.0	162.4	2620.0	13.9	26713.0			70.3	3364.0	34.3	12631.0	15.0	21781.0	24.0	31001.0	16.1	30339.0
218	chr5	140591339	140598385	6	468.1	218	305.6	570.0	167.4	987.0	293.3	672.0	9.82	30772.0	21.7	2474.0	16.0	22355.0	172.9	1127.0	45.7	6558.0	70.2	5694.0	56.3	4833.0
220	chr7	75608387	75615087	8	465.6	220	448.4	232.0	377.2	103.0	487.8	183.0	378.4	168.0	20.3	2875.0	58.8	4498.0	15.0	18674.0	111.9	702.0	90.2	3075.0	31.6	13455.0
224	chr18	75381960	75393214	20	463.1	224	249.1	937.0	356.9	140.0	28.4	21140.0	69.9	7790.0			20.4	17942.0	25.1	15573.0	28.7	13322.0	25.0	29775.0	19.1	25538.0
225	chr4	134114381	134122591	5	461.4	225	12.8	27474.0	190.6	730.0	13.0	28925.0	243.2	533.0	48.8	278.0	43.4	6950.0	24.2	15647.0	21.2	17484.0	59.2	8125.0	18.9	25620.0
229	chr3	95671446	95676942	4	460.5	229	339.4	460.0	276.6	285.0	381.0	354.0	298.6	311.0	31.1	930.0			51.8	8580.0	34.1	10507.0	50.3	11040.0	37.6	10225.0
231	chr12	107970830	107979118	15	459.7	231	523.7	143.0	348.4	151.0	420.5	270.0	335.0	225.0			29.4	11661.0	20.9	16860.0	32.8	11253.0	30.4	23917.0	21.2	22697.0
232	chr12	101012648	101019700	15	458.9	232	463.5	213.0	362.5	129.0	429.1	254.0	20.2	22336.0	23.0	2173.0	29.4	11659.0	59.3	7359.0	23.2	16399.0	39.6	16786.0	44.3	7727.0
234	chr16	23174646	23183012	17	456.4	234	31.0	19558.0	156.7	1146.0	214.3	1398.0	298.1	313.0	25.3	1711.0	10.9	29740.0					7.0	67180.0		
255	chr4	48041970	48050132	5	439.7	255	52.5	14213.0	73.5	5707.0	100.6	6870.0	42.2	13759.0	28.9	1179.0	30.0	11205.0	48.5	9240.0	159.0	212.0	98.0	2460.0	55.8	4898.0
262	chr1	138130935	138140983	1	436.4	262	484.0	178.0	239.8	414.0	759.5	56.0	276.1	386.0	41.5	406.0	81.1	2572.0	57.6	7539.0	56.0	4372.0	71.0	5541.0	94.5	1418.0
264	chr11	107446768	107455598	13	436.4	264	316.1	531.0	127.8	1805.0	47.5	15781.0	260.5	446.0	16.3	4465.0	51.7	5424.0	37.6	11747.0	13.6	22703.0	46.3	12946.0	54.9	5103.0
265	chr17	84114737	84122589	18	436.4	265	397.3	315.0	371.0	114.0	438.4	241.0	79.7	6336.0	22.1	2424.0	89.4	2155.0	145.4	1656.0	56.6	4348.0	156.1	503.0	130.9	581.0
270	chr2	3725884	3733318	2	433.0	270	396.4	318.0	212.1	577.0	390.8	331.0	330.4	236.0	21.7	2442.0	56.2	4781.0	45.9	9721.0	47.1	6152.0	49.8	11257.0	65.0	3568.0
271	chr8	15029098	15035438	10	433.0	271	80.3	9368.0	165.1	1030.0	353.8	435.0	32.9	16742.0			16.6	21700.0								
273	chr3	89186529	89191775	4	432.2	273	348.1	429.0	215.5	559.0	294.5	666.0	244.3	521.0	20.3	2847.0			13.4	19094.0			23.1	31929.0	7.61	49265.0
276	chr13	73732132	73738260	14	431.3	276	295.2	629.0	131.2	1690.0	225.4	1245.0	254.7	475.0			15.3	23453.0					45.7	13217.0	6.69	51855.0
277	chr19	53192674	53199834	21	431.3	277	411.5	292.0	48.1	10464.0	387.8	340.0	49.1	12005.0	27.1	1440.0	40.2	7863.0	209.7	709.0	12.3	23654.0	31.2	23225.0	25.6	18106.0
289	chr15	97371913	97380135	16	425.5	289	387.8	331.0	112.0	2436.0	363.1	409.0	301.0	302.0	51.9	242.0	29.4	11705.0	89.4	4037.0	43.7	7225.0	70.0	5776.0	16.1	30443.0
295	chr9	63732795	63742427	12	421.3	295	16.0	25578.0	15.3	23613.0	79.0	9671.0	268.0	421.0	12.2	6587.0	67.7	3575.0	109.4	2822.0	18.4	19412.0	56.8	8822.0	48.6	6459.0
298	chr12	33313876	33318474	15	420.5	298	371.3	364.0	263.0	331.0	388.4	335.0	290.6	335.0	16.3	4475.0	11.5	28622.0					53.8	9788.0	16.1	30386.0
299	chr19	4216050	4223002	21	419.7	299	455.3	224.0	360.8	133.0	414.9	283.0	334.5	227.0			49.2	5907.0	18.4	17767.0	30.7	12284.0	51.4	10683.0	21.4	22499.0
309	chr2	32061292	32068922	2	412.2	309	225.4	1173.0	161.7	1069.0	12.3	29383.0	12.7	27486.0	28.9	1170.0	44.1	6782.0	152.0	1503.0	137.2	357.0	35.8	19266.0	75.4	2538.0
314	chr15	27666962	27673152	16	410.5	314	344.9	439.0	35.1	14214.0	26.6	21793.0	7.51	34288.0	16.7	4256.0	16.6	21964.0					12.9	50282.0	12.4	37910.0
315	chr18	56467754	56475438	20	409.7	315	337.1	466.0	238.7	417.0	325.4	521.0	212.6	777.0	42.9	384.0			23.4	16116.0	32.8	11321.0	34.2	20720.0	34.6	11793.0
320	chr7	80202134	80211042	8	406.3	320	339.9	458.0	373.3	110.0	436.5	243.0	369.1	181.0	13.1	6046.0	30.7	10978.0	76.0	5207.0	41.6	7743.0	45.7	13171.0	21.4	22359.0
327	chr8	14992810	14999362	10	404.6	327	386.9	337.0	287.3	253.0	364.9	405.0	291.1	329.0	13.1	6053.0	29.4	11573.0	38.4	11488.0	34.1	10590.0	110.6	1676.0	99.6	1229.0
335	chr12	113422148	113428310	15	401.3	335	312.9	539.0	10.7	27867.0	143.2	3504.0	98.8	4239.0			12.8	26885.0			33.4	10946.0	11.6	53530.0	16.4	30010.0
336	chr2	126495345	126501127	2	400.5	336	333.9	477.0	267.5	317.0	322.9	535.0	240.9	548.0	16.7	4137.0			29.2	13993.0	49.8	5495.0	45.2	13415.0	18.7	25910.0
339	chr4	62633604	62638914	5	399.6	339	391.0	328.0	293.0	232.0	416.8	277.0	332.7	233.0			31.9	10405.0	14.2	18863.0			18.6	38743.0	51.6	5754.0
345	chr2	170218016	170224598	2	397.1	345	370.0	368.0	287.3	252.0	373.6	375.0	259.9	448.0			40.9	7553.0	14.2	18840.0	25.2	14897.0	64.0	6905.0	48.0	6618.0
348	chr11	63988162	63993564	13	396.3	348	264.1	809.0	177.6	875.0	261.8	864.0	172.1	1247.0	24.8	1779.0	43.4	7016.0					16.1	43310.0		
351	chr2	11189121	11195695	2	394.6	351	388.7	329.0	15.8	23044.0	340.8	464.0	28.3	18424.0	33.4	760.0	115.6	1258.0	17.5	17803.0	43.7	7079.0	77.0	4579.0	30.9	13824.0
352	chr10	42892488	42900748	9	393.8	352	37.0	17864.0	8.48	30482.0	301.9	633.0	146.1	1760.0	69.1	108.0	79.8	2669.0	61.8	6981.0	40.9	7988.0	62.7	7247.0	92.7	1505.0
355	chr6	129181876	129187598	7	392.1	355	386.9	335.0	259.6	339.0	377.3	366.0	286.5	349.0	51.0	250.0	38.3	8262.0					19.6	37067.0	26.3	17385.0
358	chr5	122231045	122237077	6	390.5	358	331.2	486.0	270.3	308.0	360.0	415.0	239.1	558.0	17.2	3973.0	30.0	11227.0			23.2	16212.0	25.6	28954.0	35.0	11477.0
359	chr15	77813409	77822341	16	390.5	359	368.1	373.0	312.2	198.0	402.0	307.0	18.5	23412.0					20.0	17171.0			21.0	35155.0	24.0	19653.0
363	chr19	25050907	25057141	21	388.8	363	391.4	327.0	332.0	169.0	432.8	249.0	327.5	245.0	31.1	957.0	40.9	7688.0					37.1	18463.0	46.6	7041.0
368	chr3	52269465	52276021	4	386.3	368	350.8	422.0	11.3	26977.0	315.5	574.0	251.3	486.0			121.4	1133.0	37.6	11636.0	66.9	2954.0	29.1	25072.0	62.0	3935.0
370	chr6	108833026	108840362	7	385.5	370	525.1	142.0	292.4	234.0	343.9	457.0	300.4	303.0			52.4	5289.0	49.3	9099.0	24.6	15402.0	40.4	16204.0	24.9	18634.0
378	chr12	107922334	107931410	15	379.6	378	542.4	127.0	87.1	4158.0	541.5	141.0	388.8	156.0	18.5	3489.0	37.7	8518.0	40.1	11125.0	21.8	17266.0	32.3	22207.0	15.4	31651.0
382	chr4	124750807	124757743	5	377.1	382	342.6	446.0	22.1	19515.0	366.8	399.0	27.1	18928.0			19.8	18106.0	16.7	18117.0	21.2	17480.0	28.8	25375.0	26.3	17355.0
384	chr9	44483722	44490364	12	377.1	384	353.1	415.0	10.7	27732.0	301.9	632.0	13.3	27185.0												
385	chr11	69407547	69412435	13	377.1	385	836.7	31.0	128.9	1765.0	878.6	28.0	153.7	1579.0	27.1	1413.0	26.2	13421.0	127.0	2162.0	60.0	3810.0	78.9	4344.0	98.4	1275.0
397	chr19	11519987	11526179	21	371.3	397	682.9	68.0	359.7	136.0	603.9	100.0	449.4	98.0			23.0	15765.0								
402	chr15	66808061	66814351	16	368.8	402	366.8	376.0	266.9	320.0	384.7	349.0	376.0	175.0			85.6	2346.0	55.1	8066.0	19.8	18608.0	50.3	11115.0	30.7	14072.0
403	chr2	158717182	158724568	2	367.9	403	413.8	288.0	386.8	93.0	416.8	276.0	389.9	155.0	41.5	408.0	37.0	8601.0	58.5	7416.0	109.9	745.0	142.6	715.0	20.3	23725.0
413	chr7	63931190	63937486	8	365.4	413	250.5	926.0	188.9	749.0	300.7	640.0	160.6	1436.0											62.5	3887.0
416	chr11	11714514	11722608	13	364.6	416	287.9	674.0	231.3	460.0	319.2	549.0	296.9	315.0			24.3	14638.0	16.7	18220.0			15.9	43819.0	18.0	27198.0
417	chr11	21093361	21100293	13	364.6	417	249.1	936.0	186.6	769.0	533.5	149.0	69.9	7763.0									11.0	54964.0	10.4	42598.0
420	chr14	54124032	54129700	11	362.9	420	401.0	308.0	213.2	574.0	396.4	318.0	235.7	583.0												
421	chr14	121370103	121377919	11	362.1	421	134.6	3861.0	303.7	207.0	368.0	397.0	57.8	10042.0			35.1	9395.0			16.4	20968.0	46.6	12846.0	49.8	6186.0
428	chr12	86890487	86896185	15	357.9	428	378.6	346.0	366.5	118.0	335.3	479.0	276.1	389.0			35.8	9124.0	148.7	1587.0	66.9	3001.0	49.8	11342.0	35.7	11172.0
429	chr12	99559088	99564976	15	357.9	429	354.9	409.0	43.0	11746.0	329.1	500.0	28.9	18340.0			58.1	4603.0	29.2	14137.0			25.6	29088.0		
430	chr13	101696283	101703081	14	357.9	430	436.6	247.0	187.8	759.0	233.4	1136.0	390.5	154.0	19.4	3203.0	25.5	13843.0					11.3	54329.0	12.9	36832.0
433	chr14	54193268	54201138	11	357.1	433	488.1	173.0	302.0	210.0	3384.2	2.0	506.6	70.0							38.9	8778.0	21.3	34781.0	19.6	24834.0
436	chr17	84179516	84184402	18	356.3	436	358.6	397.0	222.8	515.0	305.6	617.0	224.7	665.0			27.5	12795.0	86.9	4252.0	128.3	456.0	123.8	1182.0	74.0	2668.0
446	chr1	138161584	138168448	1	352.1	446	472.2	193.0	53.2	9161.0	473.6	197.0	178.5	1142.0			28.7	11775.0					8.88	60785.0	25.8	17731.0
447	chr2	103567443	103572547	2	352.1	447	325.3	507.0	225.7	489.0	313.7	585.0	253.0	481.0			76.6	2877.0							47.0	6854.0
450	chr10	12809547	12815045	9	350.4	450	335.8	470.0	257.3	347.0	336.5	474.0	276.7	384.0	40.2	442.0	21.7	16547.0					21.0	35051.0	19.4	25060.0
451	chr11	3332600	3339226	13	350.4	451	41.5	16692.0	28.3	16728.0	187.7	1857.0	108.6	3446.0					86.9	4227.0	34.1	10633.0	122.7	1215.0	31.4	13633.0
454	chr2	32490636	32496554	2	347.9	454	317.1	525.0	240.4	412.0	298.8	647.0	231.6	608.0	33.4	761.0	81.8	2532.0	63.5	6693.0	101.7	954.0	48.7	11734.0	28.4	15594.0
457	chr10	79856309	79859839	9	347.9	457	353.1	416.0	290.1	241.0	345.2	453.0	291.1	331.0												
458	chr7	16043328	16048602	8	347.1	458	335.8	469.0	110.3	2508.0	288.3	697.0	228.7	633.0	19.4	3147.0	16.0	22407.0	48.5	9272.0	14.3	22145.0	33.9	20810.0	25.8	17781.0
462	chr11	52293613	52302063	13	346.2	462	356.3	406.0	46.4	10850.0	16.7	26411.0	102.8	3873.0	23.9	1961.0	46.6	6345.0	115.3	2596.0	11.6	23903.0	57.1	8756.0	36.4	10818.0
467	chr18	32397097	32400799	20	343.7	467	343.1	444.0	265.2	327.0	315.5	577.0	269.2	415.0	17.2	4100.0			151.2	1534.0	36.8	9631.0	41.7	15469.0	45.0	7517.0
469	chr4	59330845	59338141	5	342.9	469	34.7	18420.0			11.7	30080.0	24.8	19892.0	38.4	492.0	89.4	2139.0	193.8	864.0	96.2	1142.0	46.0	13017.0	94.8	1411.0
483	chr8	124271622	124277626	10	338.7	483	243.6	995.0	228.5	476.0	278.5	748.0	118.4	2846.0	14.0	5555.0			66.8	6299.0			35.5	19554.0		
497	chr2	26488674	26495472	2	333.7	497	777.8	44.0	664.0	18.0	910.1	22.0	740.0	14.0			30.7	10898.0	35.9	12070.0	131.7	415.0	31.5	22750.0	38.5	9820.0
505	chr9	32738743	32746657	12	332.9	505	67.1	11413.0	45.8	10972.0	211.2	1446.0	106.9	3552.0			132.2	914.0	27.6	14598.0	47.1	6226.0	48.7	11766.0	39.4	9477.0
508	chr15	81042427	81046859	16	332.1	508	315.2	537.0	256.8	352.0	319.2	551.0	222.4	683.0	22.1	2412.0					34.1	10687.0	40.9	15943.0	23.5	20119.0
510	chr11	54724503	54729273	13	331.2	510	183.8	1884.0	19.2	21210.0	22.8	23225.0	22.5	21084.0			39.6	7973.0			73.0	2411.0	52.7	10181.0	14.3	33848.0
511	chr1	132008743	132013503	1	330.4	511	350.4	424.0	232.4	451.0	355.7	428.0	295.2	319.0			36.4	8789.0	131.2	2019.0			55.4	9206.0	52.6	5538.0
512	chr7	63982939	63989051	8	330.4	512	169.2	2308.0	145.9	1323.0	221.7	1294.0	164.1	1372.0	14.9	5039.0	24.3	14536.0					12.4	51285.0	20.1	24103.0
517	chr14	121952718	121959530	11	328.7	517	898.7	23.0	493.2	47.0	557.6	130.0	556.3	54.0			104.7	1558.0	193.8	869.0	49.8	5609.0	97.2	2539.0	80.2	2176.0
521	chr17	6475653	6477941	18	327.9	521	318.0	522.0	212.1	580.0	283.4	723.0	216.0	733.0												
525	chr6	41552468	41556326	7	326.2	525	441.1	241.0	225.7	491.0	392.7	328.0	242.6	538.0	35.2	651.0	81.8	2541.0	107.8	2885.0	20.5	17973.0	144.0	693.0	178.4	225.0
527	chr11	22850084	22855314	13	326.2	527	1217.1	6.0	830.2	8.0	1213.3	5.0	1045.5	5.0									16.7	42282.0	13.1	36277.0
541	chr3	115798436	115805680	4	322.9	541	181.1	1941.0	43.0	11677.0	77.2	9942.0	78.0	6504.0	19.0	3263.0	20.4	17469.0	85.2	4341.0	9.55	24860.0	16.4	42574.0	63.4	3759.0
542	chr4	98435136	98440636	5	322.9	542	218.5	1257.0	116.5	2225.0	227.8	1202.0	15.0	25692.0	26.6	1455.0	12.8	26450.0	71.8	5652.0			18.3	39219.0	7.84	48779.0
543	chr8	111590922	111597982	10	322.9	543	224.4	1186.0	142.0	1412.0	234.6	1117.0	202.8	869.0	29.3	1137.0	30.0	11287.0	38.4	11494.0	90.8	1347.0	29.1	25163.0	60.9	4119.0
544	chr5	134231268	134237690	6	322.1	544	376.4	352.0	304.8	204.0	282.8	724.0	143.3	1835.0	19.4	3141.0	21.1	16978.0			28.7	13071.0	71.3	5500.0	36.7	10677.0
547	chr9	96346774	96354658	12	321.2	547	121.8	4698.0	61.6	7527.0	270.4	806.0	63.0	8967.0			87.5	2251.0	51.0	8796.0	31.4	11819.0	35.3	19787.0	14.3	33793.0
550	chr9	63131585	63135951	12	320.4	550	293.8	637.0	218.9	534.0	326.6	511.0	256.5	462.0	12.6	6321.0	13.4	25814.0			118.7	596.0	40.1	16428.0	33.2	12496.0
551	chr8	106051820	106057102	10	319.5	551	327.5	500.0	242.6	407.0	417.4	274.0	237.4	572.0	30.7	979.0			20.9	16781.0			70.8	5599.0	21.2	22631.0
559	chr7	83658079	83663311	8	317.9	559	172.9	2191.0	196.8	683.0	242.0	1027.0	64.1	8746.0	22.6	2254.0	38.3	8270.0	40.1	11055.0			28.0	26251.0	25.6	17978.0
563	chr11	104661560	104668528	13	317.0	563	7.76	32429.0	67.9	6534.0	155.0	2941.0	69.9	7768.0			10.9	29539.0					33.6	21106.0	15.0	32508.0
566	chr11	34769003	34772487	13	316.2	566	277.8	718.0	194.0	714.0	277.9	754.0	173.3	1226.0	16.7	4223.0	53.7	5126.0	47.6	9490.0	25.2	15099.0	50.9	10866.0	36.2	10928.0
569	chr1	38662270	38666176	1	315.4	569	283.8	691.0	218.3	537.0	328.5	502.0	257.1	459.0	16.7	4115.0	19.2	18544.0	105.3	3002.0	10.9	24052.0	60.6	7748.0	43.1	8066.0
576	chr5	105647392	105652430	6	313.7	576	276.5	727.0	233.6	443.0	281.6	732.0	230.5	617.0	26.6	1462.0	30.7	10956.0			32.8	11124.0	33.4	21245.0	26.1	17599.0
579	chr12	108761678	108767798	15	313.7	579	326.6	503.0	226.8	480.0	314.3	584.0	240.3	553.0	49.2	274.0	14.1	25120.0	42.6	10552.0	45.7	6631.0	51.7	10549.0	44.5	7657.0
583	chr17	84140724	84149052	18	312.9	583	188.4	1795.0	136.9	1547.0	358.7	421.0	152.5	1608.0	14.9	5176.0	24.3	14779.0	94.4	3678.0	20.5	18200.0	76.4	4701.0	49.8	6195.0
595	chr4	140943401	140949853	5	309.5	595	267.8	784.0	265.8	323.0	343.9	456.0	280.2	371.0	23.9	1930.0	44.1	6809.0	56.8	7703.0	57.3	4180.0	57.3	8649.0	39.0	9653.0
