chr_name	chromosome_id	end	id	id_1um_k99a	id_1um_pcc	id_no_peptide	start	tag_count_1um_k99a	tag_count_1um_pcc	tag_count_no_peptide
chr12	15	108763838	1603	9669.0	5821.0	1603.0	108756790	66.7	101.4	159.2
chr17	18	84232574	1608	3490.0	18844.0	1608.0	84224620	130.6	32.3	159.0
chr4	5	136191293	1609	5827.0	12570.0	1609.0	136183763	95.9	56.4	158.7
chr15	16	66479442	1613	3163.0	8030.0	1613.0	66472718	137.8	82.0	158.5
chr10	9	117902911	1618	3485.0	6898.0	1618.0	117894263	130.7	91.3	158.5
chr6	7	115656003	1630	19684.0	3195.0	1630.0	115646845	28.3	141.9	157.9
chr16	17	30191598	1640	5158.0	4140.0	1640.0	30184546	103.3	123.6	157.7
chr7	8	100506583	1645	3898.0	9020.0	1645.0	100499583	122.2	75.6	157.3
chr9	12	41085375	1657	2631.0	3313.0	1657.0	41078629	152.9	139.1	156.7
chr1	1	180315263	1680	13264.0	6807.0	1680.0	180306503	49.7	92.1	155.0
chr10	9	42845634	1692	7434.0	9446.0	1692.0	42837384	81.3	72.8	154.1
chr12	15	25016348	1717	2658.0	17436.0	1717.0	25007182	152.2	36.8	152.9
chr1	1	165719256	1723	3803.0	3718.0	1723.0	165713028	124.2	131.1	152.7
chr2	2	153339269	1724	3265.0	9978.0	1724.0	153331903	135.6	69.5	152.7
chr4	5	102520259	1742	3774.0	9218.0	1742.0	102514857	124.7	74.3	151.8
chr10	9	93073684	1744	4069.0	5981.0	1744.0	93065760	119.1	99.9	151.8
chr6	7	86603542	1768	4187.0	17807.0	1768.0	86595236	117.0	35.7	150.6
chr1	1	106322358	1770	8173.0	10131.0	1770.0	106316462	75.9	68.7	150.2
chr17	18	28526346	1776	8237.0	3588.0	1776.0	28520076	75.4	133.7	149.9
chr5	6	135706367	1848	21820.0	9419.0	1848.0	135699215	23.4	73.0	147.0
chr12	15	17719116	1871	3901.0	3693.0	1871.0	17713418	122.2	131.5	146.0
chr9	12	22126600	1882	3027.0	4148.0	1882.0	22118262	141.7	123.4	145.6
chr5	6	120701071	1899	11314.0	6836.0	1899.0	120695045	58.1	91.9	144.7
chr10	9	75668684	1915	4184.0	5496.0	1915.0	75662582	117.0	105.1	143.9
chr7	8	121064913	1941	16911.0	7410.0	1941.0	121058329	36.1	87.0	142.8
chr14	11	52143967	1955	3425.0	4306.0	1955.0	52139637	131.8	120.8	142.4
chr13	14	97862533	1984	3589.0	8848.0	1984.0	97855675	128.3	76.4	140.9
chr9	12	122197030	2001	3389.0	11145.0	2001.0	122190934	132.5	63.3	140.3
chr5	6	122223046	2002	3289.0	4459.0	2002.0	122217714	134.7	118.6	140.3
chr15	16	64107410	2010	8569.0	6174.0	2010.0	64099548	73.4	97.7	139.9
chr2	2	166637411	2018	4664.0	4831.0	2018.0	166630475	110.0	113.0	139.7
chr7	8	25126706	2022	11526.0	5439.0	2022.0	25119780	57.0	105.7	139.5
chr11	13	104626168	2046	5413.0	6848.0	2046.0	104620088	100.5	91.7	138.6
chr14	11	27255230	2049	5115.0	5753.0	2049.0	27248536	103.8	102.3	138.4
chr2	2	166704053	2077	8036.0	10212.0	2077.0	166698281	77.0	68.2	137.6
chr4	5	46458973	2089	3442.0	4038.0	2089.0	46452289	131.6	125.3	137.4
chr3	4	95724702	2180	3566.0	0.0	2180.0	95716778	128.9	0.0	133.4
chr11	13	86837451	2187	3732.0	6176.0	2187.0	86831083	125.8	97.7	133.2
chr15	16	82188621	2188	4040.0	0.0	2188.0	82183089	119.6	0.0	133.2
chr1	1	180299497	2192	7158.0	8969.0	2192.0	180292871	83.7	75.8	133.0
chr5	6	142417847	2203	8111.0	7423.0	2203.0	142411463	76.5	87.0	132.6
chr11	13	31949190	2249	3902.0	8988.0	2249.0	31943702	122.2	75.6	130.7
chr17	18	28015667	2250	21638.0	5145.0	2250.0	28010633	23.7	108.9	130.7
chr15	16	5417177	2273	4482.0	14956.0	2273.0	5410157	112.4	45.9	129.6
chr3	4	84659114	2294	17674.0	14039.0	2294.0	84653224	33.8	49.7	129.2
chr11	13	97731767	2301	4134.0	7896.0	2301.0	97725965	117.9	83.1	129.0
chr15	16	62097044	2302	7915.0	0.0	2302.0	62091070	77.7	0.0	129.0
chr12	15	73781274	2306	5856.0	11598.0	2306.0	73775042	95.5	60.9	128.8
chr1	1	87818536	2309	12433.0	11147.0	2309.0	87811180	53.1	63.3	128.8
chr9	12	32675977	2312	7396.0	6313.0	2312.0	32670309	81.8	96.5	128.6
chr9	12	21465785	2340	14057.0	5727.0	2340.0	21458971	46.4	102.7	127.8
chr6	7	86874558	2366	9004.0	18811.0	2366.0	86866560	71.0	32.5	127.1
chr13	14	59659515	2386	8104.0	8263.0	2386.0	59654103	76.5	80.3	126.5
chr10	9	63234108	2392	4138.0	10517.0	2392.0	63228632	117.7	66.3	126.5
chr11	13	3351480	2394	7098.0	12106.0	2394.0	3345270	84.0	58.6	126.3
chr2	2	34792123	2404	3743.0	6927.0	2404.0	34786775	125.6	91.1	126.3
chr7	8	45085549	2456	4336.0	6815.0	2456.0	45081455	114.8	92.1	124.4
chr11	13	53799637	2459	5131.0	20098.0	2459.0	53793375	103.6	28.9	124.4
chr8	10	34124805	2469	12477.0	15160.0	2469.0	34118733	52.9	45.2	124.2
chr2	2	125794632	2482	4631.0	9379.0	2482.0	125788512	110.5	73.2	123.8
chr7	8	45735188	2488	5398.0	14197.0	2488.0	45730256	100.7	49.1	123.6
chr16	17	35747918	2493	12714.0	11053.0	2493.0	35741276	51.9	63.7	123.6
chr15	16	64053460	2494	19958.0	19151.0	2494.0	64047718	27.7	31.4	123.4
chr4	5	122958515	2503	5624.0	6961.0	2503.0	122952677	97.9	90.9	123.4
chr16	17	57248653	2510	9869.0	18242.0	2510.0	57242713	65.6	34.2	123.1
chr7	8	127923810	2533	4343.0	11161.0	2533.0	127918688	114.6	63.3	122.3
chr4	5	62759399	2545	5299.0	5397.0	2545.0	62754279	101.9	106.1	122.1
chr11	13	51939994	2553	9687.0	14780.0	2553.0	51933618	66.7	46.5	121.9
chr17	18	28515832	2558	19873.0	0.0	2558.0	28510296	27.8	0.0	121.7
chr19	21	46480550	2579	8549.0	11915.0	2579.0	46474028	73.5	59.4	121.3
chr10	9	121510622	2593	5533.0	4631.0	2593.0	121504404	99.0	115.6	120.6
chr7	8	68301862	2620	6835.0	6281.0	2620.0	68295492	86.2	96.9	120.0
chr11	13	68470192	2635	5425.0	15376.0	2635.0	68463182	100.3	44.1	119.6
chr6	7	29234123	2639	4230.0	7321.0	2639.0	29228837	116.3	87.8	119.6
chr19	21	34189265	2650	5245.0	13301.0	2650.0	34181295	102.4	53.0	119.4
chr7	8	68243913	2658	0.0	0.0	2658.0	68237751	0.0	0.0	119.0
chr6	7	142870765	2687	10494.0	15628.0	2687.0	142865491	62.4	43.3	118.1
chr18	20	75343910	2699	15457.0	10840.0	2699.0	75338316	41.1	64.8	117.7
chr6	7	86580554	2704	8448.0	19506.0	2704.0	86574306	74.2	30.6	117.7
chr8	10	124245464	2712	6892.0	14302.0	2712.0	124239410	85.9	48.4	117.3
chr5	6	125161783	2729	4322.0	7967.0	2729.0	125156997	114.9	82.7	117.1
chr13	14	13610463	2744	8572.0	15477.0	2744.0	13602975	73.4	43.7	116.7
chr13	14	46743677	2753	12583.0	18121.0	2753.0	46738351	52.4	34.7	116.4
chr17	18	65961576	2762	5141.0	0.0	2762.0	65955308	103.4	0.0	116.2
chr7	8	28806696	2765	5628.0	18096.0	2765.0	28799096	97.8	34.9	116.2
chr7	8	128136046	2800	7540.0	0.0	2800.0	128131076	80.7	0.0	115.4
chr19	21	4173464	2815	6588.0	6873.0	2815.0	4169464	88.5	91.5	115.0
chr16	17	44980555	2831	4978.0	14899.0	2831.0	44974847	105.5	46.1	114.6
chr15	16	53107015	2849	5179.0	0.0	2849.0	53099911	103.1	0.0	114.1
chr3	4	79230130	2886	20046.0	5218.0	2886.0	79225192	27.5	108.3	113.3
chr12	15	73347192	2896	4783.0	11642.0	2896.0	73340658	108.4	60.7	113.1
chr9	12	116209655	2904	7822.0	19675.0	2904.0	116203405	78.3	29.9	112.9
chr15	16	81334167	2933	6973.0	0.0	2933.0	81328067	85.2	0.0	112.0
chr15	16	100847623	2956	4737.0	6791.0	2956.0	100843239	108.9	92.1	111.6
chr9	12	122191138	3011	4840.0	7875.0	3011.0	122186770	107.6	83.3	110.8
chr9	12	43979029	3016	6603.0	12438.0	3016.0	43974033	88.3	56.8	110.8
chr17	18	27368502	3018	6434.0	5308.0	3018.0	27362518	89.9	107.0	110.6
chr12	15	33133264	3030	5098.0	11763.0	3030.0	33127598	103.9	60.1	110.4
chr2	2	30638102	3039	4956.0	8484.0	3039.0	30634954	106.0	79.0	110.4
chr3	4	103381605	3047	6897.0	13933.0	3047.0	103375529	85.9	50.2	110.2
chr9	12	32903259	3056	11461.0	16038.0	3056.0	32897869	57.2	41.8	109.9
chr1	1	176949329	3059	6367.0	12112.0	3059.0	176943967	90.5	58.6	109.9
chr15	16	36482200	3071	21235.0	17240.0	3071.0	36475004	24.6	37.5	109.5
chr10	9	128507425	3074	6829.0	7309.0	3074.0	128501599	86.2	87.8	109.5
chr4	5	40879471	3087	5539.0	6381.0	3087.0	40874293	99.0	95.8	109.1
chr9	12	72973126	3102	4844.0	5963.0	3102.0	72967782	107.6	100.1	108.9
chr5	6	100664161	3104	10786.0	0.0	3104.0	100657099	60.8	0.0	108.9
chr9	12	42429491	3112	6784.0	7232.0	3112.0	42424641	86.8	88.5	108.7
chr9	12	44485381	3245	5293.0	6623.0	3245.0	44481261	101.9	93.7	106.2
chr16	17	94249042	3257	5515.0	17644.0	3257.0	94243826	99.1	36.2	106.0
chr15	16	62156241	3259	19387.0	0.0	3259.0	62149237	29.0	0.0	106.0
chr11	13	106558230	3285	5099.0	0.0	3285.0	106552194	103.9	0.0	105.6
chr15	16	66720316	3301	6697.0	0.0	3301.0	66715992	87.4	0.0	105.1
chr11	13	53807708	3330	9034.0	7113.0	3330.0	53802778	70.6	89.6	104.7
chr11	13	21036876	3368	6607.0	13537.0	3368.0	21032222	88.3	51.9	104.1
chr8	10	81518519	3371	10882.0	19041.0	3371.0	81513177	60.3	31.9	104.1
chr2	2	31090297	3377	6270.0	7416.0	3377.0	31085553	91.4	87.0	104.1
chr4	5	150403389	3418	5213.0	7038.0	3418.0	150397855	102.7	90.2	103.5
chr15	16	64161873	3424	15064.0	0.0	3424.0	64156257	42.4	0.0	103.2
chr8	10	3350801	3440	5577.0	0.0	3440.0	3345167	98.4	0.0	103.0
chr4	5	115076292	3453	5601.0	16907.0	3453.0	115073838	98.1	38.8	102.8
chr16	17	33699687	3456	5261.0	5899.0	3456.0	33694807	102.2	100.8	102.6
chr2	2	165925625	3475	5385.0	6521.0	3475.0	165921339	100.9	94.5	102.4
chr9	12	45237259	3489	6053.0	11470.0	3489.0	45233467	93.5	61.6	102.2
chr5	6	124062780	3492	7863.0	0.0	3492.0	124057506	78.2	0.0	102.2
chr1	1	128792953	3511	6545.0	16757.0	3511.0	128788935	89.0	39.2	102.0
chr10	9	117985436	3513	5881.0	8309.0	3513.0	117980636	95.2	80.1	101.8
chr8	10	123165312	3521	5650.0	12718.0	3521.0	123160658	97.6	55.5	101.8
chr4	5	133742398	3525	7036.0	5911.0	3525.0	133735504	84.7	100.8	101.8
chr3	4	103406490	3542	13139.0	16116.0	3542.0	103400864	50.2	41.6	101.6
chr9	12	63694129	3561	6010.0	6702.0	3561.0	63689465	94.0	93.0	101.4
chr8	10	72331943	3573	8523.0	15511.0	3573.0	72327305	73.7	43.7	101.2
chr11	13	117833216	3584	10725.0	6678.0	3584.0	117828106	61.0	93.2	100.9
chr2	2	27542155	3590	7712.0	8836.0	3590.0	27537609	79.2	76.6	100.9
chr17	18	71217438	3599	7421.0	12863.0	3599.0	71212754	81.4	54.9	100.7
chr16	17	49851403	3600	6500.0	9264.0	3600.0	49845723	89.3	73.8	100.7
chr5	6	114808738	3625	6948.0	8253.0	3625.0	114803616	85.6	80.5	100.5
chr5	6	134494046	3661	7879.0	11973.0	3661.0	134489030	78.0	59.2	99.9
chr14	11	14089969	3687	6080.0	7868.0	3687.0	14084931	93.1	83.3	99.5
chr8	10	126622944	3725	8083.0	0.0	3725.0	126618192	76.6	0.0	99.1
chr5	6	31921274	3739	6641.0	10669.0	3739.0	31916228	88.0	65.7	98.8
chr5	6	122244387	3740	6447.0	10555.0	3740.0	122239757	89.9	66.3	98.8
chr11	13	121552942	3779	5819.0	9832.0	3779.0	121550294	95.9	70.2	98.2
chr1	1	192764972	3785	7161.0	0.0	3785.0	192760744	83.7	0.0	98.2
chr9	12	41052316	3804	9054.0	8529.0	3804.0	41047264	70.4	78.8	97.8
chr1	1	60825247	3825	6942.0	8006.0	3825.0	60819083	85.6	82.2	97.6
chr15	16	62108511	3841	6033.0	20128.0	3841.0	62103543	93.6	28.9	97.2
chr5	6	21047341	3863	18711.0	17419.0	3863.0	21042943	30.9	37.0	97.0
chr10	9	96176582	3866	12012.0	0.0	3866.0	96171332	54.8	0.0	96.8
chr5	6	100626083	3874	9594.0	12939.0	3874.0	100619619	67.3	54.7	96.8
chr2	2	32639836	3891	7751.0	18332.0	3891.0	32635102	78.9	34.0	96.5
chr2	2	18900878	3892	6498.0	6551.0	3892.0	18896704	89.5	94.3	96.5
chr17	18	31218165	3918	8145.0	11423.0	3918.0	31213033	76.1	61.8	96.1
chr16	17	23330107	3928	15455.0	6590.0	3928.0	23324611	41.1	93.9	95.9
chr13	14	117198088	3941	6192.0	7612.0	3941.0	117194278	91.9	85.3	95.7
chr19	21	34849604	3951	6462.0	11658.0	3951.0	34844968	89.7	60.7	95.5
chr4	5	106795806	3958	7672.0	0.0	3958.0	106791060	79.5	0.0	95.5
chr10	9	120885247	3977	6300.0	0.0	3977.0	120881663	91.1	0.0	95.1
chr6	7	136479295	4002	8742.0	9625.0	4002.0	136473379	72.5	71.7	94.9
chr7	8	49742375	4034	8863.0	18883.0	4034.0	49738233	71.8	32.3	94.5
chr1	1	7100379	4061	20281.0	11498.0	4061.0	7095273	26.8	61.6	94.2
chr2	2	30260451	4095	6089.0	8012.0	4095.0	30257577	93.1	82.2	93.8
chr9	12	61758754	4104	10721.0	7178.0	4104.0	61753998	61.0	88.9	93.6
chr2	2	33909240	4112	8661.0	7143.0	4112.0	33905052	73.0	89.3	93.6
chr11	13	117279202	4120	10662.0	11646.0	4120.0	117274770	61.3	60.7	93.4
chr5	6	148596765	4163	8891.0	0.0	4163.0	148592411	71.6	0.0	93.0
chr1	1	167277112	4177	7925.0	15608.0	4177.0	167272278	77.7	43.3	92.8
chr3	4	89900618	4181	6923.0	8487.0	4181.0	89897004	85.7	79.0	92.8
chr4	5	135912696	4207	6687.0	8832.0	4207.0	135907492	87.6	76.6	92.4
chr1	1	46896968	4232	6476.0	13700.0	4232.0	46891752	89.7	51.2	92.1
chr15	16	96601426	4241	21792.0	17713.0	4241.0	96596208	23.4	36.0	91.9
chr8	10	83575424	4301	9152.0	8671.0	4301.0	83571202	69.9	77.7	91.3
chr8	10	105688198	4347	6927.0	9886.0	4347.0	105684136	85.7	70.0	90.9
chr1	1	156989461	4372	8527.0	10297.0	4372.0	156985055	73.7	67.8	90.5
chr6	7	120068578	4374	6472.0	11079.0	4374.0	120064102	89.7	63.7	90.5
chr12	15	102356935	4402	7720.0	0.0	4402.0	102352917	79.0	0.0	90.1
chr7	8	66177956	4418	6800.0	14100.0	4418.0	66173970	86.6	49.5	90.1
chr2	2	27694805	4435	7828.0	8553.0	4435.0	27691967	78.3	78.6	89.8
chr7	8	25769268	4437	10655.0	16959.0	4437.0	25764252	61.5	38.5	89.8
chr12	15	3857073	4441	8395.0	12255.0	4441.0	3852957	74.4	57.7	89.6
chr1	1	183267826	4455	7314.0	11197.0	4455.0	183264834	82.5	63.1	89.6
chr17	18	83920893	4476	7717.0	12865.0	4476.0	83916921	79.0	54.9	89.2
chr2	2	165875705	4489	10281.0	10943.0	4489.0	165870753	63.4	64.4	89.2
chr12	15	111561070	4497	7325.0	10918.0	4497.0	111557160	82.3	64.4	89.0
chr11	13	75995181	4499	18403.0	18230.0	4499.0	75990211	31.6	34.2	89.0
chr7	8	83619709	4501	9922.0	15868.0	4501.0	83615689	65.5	42.4	89.0
chr3	4	95711538	4503	7221.0	9459.0	4503.0	95706970	83.3	72.8	89.0
chr4	5	155128965	4519	8091.0	10472.0	4519.0	155124851	76.6	66.7	88.8
chr1	1	52755043	4525	8331.0	0.0	4525.0	52749799	74.9	0.0	88.8
chr13	14	13539695	4527	7599.0	9583.0	4527.0	13535917	80.1	71.9	88.6
chr17	18	17840689	4531	8516.0	7739.0	4531.0	17837281	73.7	84.2	88.6
chr12	15	17740769	4581	18053.0	11241.0	4581.0	17736913	32.6	62.7	88.0
chr11	13	82185943	4584	7326.0	11814.0	4584.0	82183315	82.3	59.9	88.0
chr2	2	73042081	4593	17253.0	0.0	4593.0	73036737	35.0	0.0	88.0
chr2	2	31082319	4595	21004.0	18655.0	4595.0	31077963	25.1	32.9	88.0
chr3	4	116377584	4596	7134.0	8560.0	4596.0	116373102	83.8	78.6	88.0
chr8	10	116649064	4613	0.0	8624.0	4613.0	116644884	0.0	78.2	87.7
chr1	1	183983651	4620	7312.0	12234.0	4620.0	183979125	82.5	57.9	87.7
chr14	11	27200982	4659	14739.0	8752.0	4659.0	27196882	43.6	77.1	87.3
chr18	20	75352035	4680	8653.0	0.0	4680.0	75346353	73.0	0.0	87.1
chr12	15	80940676	4682	7422.0	9292.0	4682.0	80937588	81.4	73.6	87.1
chr6	7	33058280	4731	8973.0	14817.0	4731.0	33052626	71.1	46.5	86.5
chr7	8	4676825	4753	8951.0	18097.0	4753.0	4672305	71.3	34.9	86.3
chr10	9	40129757	4762	17874.0	15368.0	4762.0	40125039	33.2	44.1	86.1
chr11	13	89095136	4790	20570.0	11558.0	4790.0	89090234	25.9	61.1	85.9
chr8	10	116894929	4816	7152.0	0.0	4816.0	116891053	83.7	0.0	85.4
chr4	5	47305223	4851	7478.0	10504.0	4851.0	47300877	81.1	66.5	85.2
chr15	16	78685113	4860	12860.0	0.0	4860.0	78682397	51.2	0.0	85.0
chr16	17	31026535	4907	7177.0	15431.0	4907.0	31022517	83.5	43.9	84.6
chr7	8	80674836	4916	7727.0	0.0	4916.0	80671512	79.0	0.0	84.6
