	chr	start	end	strand	Stat	Parent files	Total subpeaks	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr3-101031137-1	chr3	100951637	101110637	+	1513.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr3-24597	0	chr3	100951637	101110637	+	1513.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-1642	NM_001167906	630146	Mm.190915	NM_001099332	ENSMUSG00000086564	Cd101	Gm1016|Gm734|Igsf2	CD101 antigen	protein-coding
Merged-chr7-24418791-1	chr7	24365061	24472521	+	1443.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr7-7523	0	chr7	24365061	24472521	+	1443.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_028047, intron 9 of 13)	MYSERV16_I-int|LTR|ERVK	19163	NM_028047	71997	Mm.150977	NM_028047	ENSMUSG00000002210	Smg9	1500002O20Rik|AI429693|N28092	smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans)	protein-coding
Merged-chr4-135134088-1	chr4	135061324	135206853	+	1413.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr4-51110	0	chr4	135061324	135206853	+	1413.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_019732, intron 1 of 5)	MLTR14|LTR|ERV1	13443	NM_019732	12399	Mm.378894	NM_019732	ENSMUSG00000070691	Runx3	AML2|Cbfa3|Pebp2a3	runt related transcription factor 3	protein-coding
Merged-chr14-55610838-1	chr14	55539220	55682457	+	1411.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr14-34231	0	chr14	55539220	55682457	+	1411.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	TTS (NM_001159417)	TTS (NM_001159417)	6259	NM_001159418	16391	Mm.2032	NM_008394	ENSMUSG00000002325	Irf9	Irf-9|Isgf3g|p48	interferon regulatory factor 9	protein-coding
Merged-chr8-105676507-1	chr8	105594049	105758965	+	1338.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr8-42449	0	chr8	105594049	105758965	+	1338.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_181322, intron 9 of 11)	L1Md_F2|LINE|L1	-14399	NM_001033320	234695	Mm.471640	NM_001033320	ENSMUSG00000050357	Rltpr	CG1399-PB|D130029J02Rik|Gm585	RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing	protein-coding
Merged-chr11-103210283-1	chr11	103130769	103289797	+	1333.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-75254	0	chr11	103130769	103289797	+	1333.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_177801, intron 2 of 4)	B4A|SINE|B4	-1735	NM_001254724	69441	Mm.380648	NM_027082	ENSMUSG00000020940	1700023F06Rik	-	RIKEN cDNA 1700023F06 gene	protein-coding
Merged-chr9-96387705-1	chr9	96322314	96453097	+	1328.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr9-44989	0	chr9	96322314	96453097	+	1328.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-23406	NM_007502	11933	Mm.424	NM_007502	ENSMUSG00000032412	Atp1b3	AA409958|AI664000|AW212096	ATPase, Na+/K+ transporting, beta 3 polypeptide	protein-coding
Merged-chr3-100521693-1	chr3	100458566	100584820	+	1318.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr3-43417	0	chr3	100458566	100584820	+	1318.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-32501	NM_001142952	74645	Mm.226900	NM_001142952	0	Fam46c	4930431B09Rik|AI449797	family with sequence similarity 46, member C	protein-coding
Merged-chr5-72790513-1	chr5	72711713	72869313	+	1314.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-16969	0	chr5	72711713	72869313	+	1314.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_013689, intron 3 of 17)	RLTR17D_Mm|LTR|ERVK	-37736	NM_001289495	22165	Mm.3264	NM_013698	ENSMUSG00000054892	Txk	A130089B16Rik|Btkl|PTK-RL-18|PTK4|Rlk	TXK tyrosine kinase	protein-coding
Merged-chr5-137677518-1	chr5	137596350	137758687	+	1293.300049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-40635	0	chr5	137596350	137758687	+	1293.300049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_145566, intron 1 of 4)	B2_Mm2|SINE|B2	7099	NM_178162	231801	Mm.260869	NM_145566	ENSMUSG00000029722	Agfg2	A630095P14Rik|Hrbl|RABR	ArfGAP with FG repeats 2	protein-coding
Merged-chr19-41934854-1	chr19	41827215	42042494	+	1286.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr19-24323	0	chr19	41827215	42042494	+	1286.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	5' UTR (NM_023740, exon 2 of 11)	5' UTR (NM_023740, exon 2 of 11)	1382	NM_023740	74168	Mm.20387	NM_023740	ENSMUSG00000025157	Zdhhc16	1500015N03Rik|Aph2	zinc finger, DHHC domain containing 16	protein-coding
Merged-chr1-143909354-1	chr1	143808098	144010610	+	1273.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr1-56033	0	chr1	143808098	144010610	+	1273.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	L1Md_F2|LINE|L1	94795	NM_009061	19735	Mm.28262	NM_009061	ENSMUSG00000026360	Rgs2	GOS8	regulator of G-protein signaling 2	protein-coding
Merged-chr12-28837763-1	chr12	28766978	28908549	+	1261.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr12-35338	0	chr12	28766978	28908549	+	1261.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_201357, intron 4 of 8)	intron (NM_201357, intron 4 of 8)	85935	NM_201357	380752	Mm.273724	NM_201357	ENSMUSG00000036613	Tssc1	D12Ertd604e	tumor suppressing subtransferable candidate 1	protein-coding
Merged-chr9-107586398-1	chr9	107521303	107651493	+	1252.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr9-11408	0	chr9	107521303	107651493	+	1252.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	exon (NM_178020, exon 3 of 4)	exon (NM_178020, exon 3 of 4)	-1320	NM_025903	15983	Mm.215335	NM_025903	ENSMUSG00000010048	Ifrd2	1810034A24Rik|AA470234|AI838527|SKMc15	interferon-related developmental regulator 2	protein-coding
Merged-chr1-86460589-1	chr1	86391326	86529852	+	1250.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr1-62460	0	chr1	86391326	86529852	+	1250.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	URR1B|DNA|hAT-Charlie	34260	NM_027966	71863	Mm.179627	NM_027966	ENSMUSG00000036574	1700019O17Rik	-	RIKEN cDNA 1700019O17 gene	protein-coding
Merged-chr6-65590492-1	chr6	65508038	65672947	+	1245.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr6-41463	0	chr6	65508038	65672947	+	1245.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	promoter-TSS (NM_001001495)	promoter-TSS (NM_001001495)	94	NM_001001495	414084	Mm.117558	NM_001001495	ENSMUSG00000044162	Tnip3	9030611K07Rik|ABIN-3|LIND	TNFAIP3 interacting protein 3	protein-coding
Merged-chr13-20171334-1	chr13	20089975	20252693	+	1240.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr13-8001	0	chr13	20089975	20252693	+	1240.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_080288, intron 1 of 21)	intron (NM_080288, intron 1 of 21)	80827	NM_080288	140580	Mm.342392	NM_080288	ENSMUSG00000041112	Elmo1	6330578D22Rik|C230095H21Rik|CED-12	engulfment and cell motility 1	protein-coding
Merged-chr13-37608915-1	chr13	37518866	37698964	+	1227.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr13-34918	0	chr13	37518866	37698964	+	1227.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Charlie2b|DNA|hAT-Charlie	-217123	NM_026830	68750	Mm.491109	NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|AA414966|B930013M22Rik	ras responsive element binding protein 1	protein-coding
Merged-chr17-34967863-1	chr17	34870447	35065279	+	1218.0	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr17-35430	0	chr17	34870447	35065279	+	1218.0	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	ID|SINE|ID	4293	NM_010479	193740	Mm.6388	NM_010479	ENSMUSG00000091971	Hspa1a	Hsp70-3|Hsp70.3|Hsp72|hsp68|hsp70A1	heat shock protein 1A	protein-coding
Merged-chr6-143125074-1	chr6	143051538	143198611	+	1217.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr6-39198	0	chr6	143051538	143198611	+	1217.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-24922	NM_029081	74741	Mm.130260	NM_029081	ENSMUSG00000030279	C2cd5	5730419I09Rik|C030008B15Rik|CDP138	C2 calcium-dependent domain containing 5	protein-coding
Merged-chr11-51897559-1	chr11	51820740	51974378	+	1190.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-69846	0	chr11	51820740	51974378	+	1190.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-40078	NM_199299	76901	Mm.259996	NM_199299	ENSMUSG00000020387	Jade2	1200017K05Rik|AI480685|Phf15|mKIAA0239	jade family PHD finger 2	protein-coding
Merged-chr12-113006482-1	chr12	112937321	113075644	+	1182.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr12-8007	0	chr12	112937321	113075644	+	1182.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	MT2A|LTR|ERVL	-5861	NM_028193	72308	Mm.196721	NM_028193	ENSMUSG00000011158	Brf1	2510002F24Rik|GTF3B|TAF3C|TAFIII90|TFIIIB90|mTFIIIB90	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)	protein-coding
Merged-chr16-4707329-1	chr16	4623632	4791026	+	1178.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr16-10662	0	chr16	4623632	4791026	+	1178.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	3' UTR (NM_023646, exon 12 of 12)	3' UTR (NM_023646, exon 12 of 12)	12027	NM_001290762	67824	Mm.28451	NM_026393	ENSMUSG00000063445	Nmral1	1110025F24Rik|AI256624	NmrA-like family domain containing 1	protein-coding
Merged-chr9-40393672-1	chr9	40317616	40469728	+	1175.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr9-31806	0	chr9	40317616	40469728	+	1175.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_172768, intron 2 of 19)	intron (NM_172768, intron 2 of 19)	60200	NR_040728	73558	Mm.398307	NR_040728	0	1700110K17Rik	-	RIKEN cDNA 1700110K17 gene	ncRNA
Merged-chr13-91449920-1	chr13	91356986	91542854	+	1173.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr13-37527	0	chr13	91356986	91542854	+	1173.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-11177	NM_024186	66970	Mm.343095	NM_024186	ENSMUSG00000003992	Ssbp2	1500004K09Rik|2310079I02Rik|9330163K02Rik|A830008M03Rik|AU067692|AW558684|Hspc116|SSDP2	single-stranded DNA binding protein 2	protein-coding
Merged-chr16-11463486-1	chr16	11397352	11529620	+	1173.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr16-12282	0	chr16	11397352	11529620	+	1173.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_001290148, intron 6 of 13)	B3|SINE|B2	57838	NM_001290148	74478	Mm.325831	NM_028964	ENSMUSG00000071669	Snx29	4933437K13Rik|ENSMUSG00000079738|Gm11170|Gm1737|Gm930|Rundc2a	sorting nexin 29	protein-coding
Merged-chr11-57670874-1	chr11	57607472	57734277	+	1169.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-70563	0	chr11	57607472	57734277	+	1169.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_134189, intron 1 of 11)	intron (NM_134189, intron 1 of 11)	25432	NM_134189	171212	Mm.271670	NM_134189	ENSMUSG00000020520	Galnt10	AU018154|C330012K04Rik|GalNAc-T10|GalNAc-T9|Galnt9|ppGaNTase	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10	protein-coding
Merged-chr15-76290685-1	chr15	76229666	76351705	+	1160.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr15-34252	0	chr15	76229666	76351705	+	1160.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_028852, intron 4 of 4)	ORR1A3|LTR|ERVL-MaLR	-3749	NM_001195537	100503915	Mm.393455	NM_001195537	ENSMUSG00000071724	Smpd5	ENSMUSG00000071724|Gm10345|MA-nSMase	sphingomyelin phosphodiesterase 5	protein-coding
Merged-chr12-76900232-1	chr12	76837453	76963011	+	1159.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr12-1309	0	chr12	76837453	76963011	+	1159.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_145927, intron 7 of 11)	intron (NM_145927, intron 7 of 11)	62016	NM_001146176	17187	Mm.268548	NM_008558	ENSMUSG00000059436	Max	AA960152|AI875693|bHLHd4|bHLHd5|bHLHd6|bHLHd7|bHLHd8	Max protein	protein-coding
Merged-chr12-17463579-1	chr12	17372614	17554545	+	1158.0	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr12-5177	0	chr12	17372614	17554545	+	1158.0	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	MMERVK9E_I-int|LTR|ERVK	-81294	NM_013614	18263	Mm.34102	NM_013614	ENSMUSG00000011179	Odc1	ODC	ornithine decarboxylase, structural 1	protein-coding
Merged-chr14-75484737-1	chr14	75398636	75570838	+	1149.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr14-35826	0	chr14	75398636	75570838	+	1149.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_001128093, intron 1 of 1)	intron (NM_001128093, intron 1 of 1)	28755	NM_001128093	380918	Mm.484360	NM_001128093	ENSMUSG00000091722	Siah3	Gm912	seven in absentia homolog 3 (Drosophila)	protein-coding
Merged-chr10-81360648-1	chr10	81283186	81438110	+	1143.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr10-53689	0	chr10	81283186	81438110	+	1143.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_028657, intron 2 of 9)	PB1|SINE|Alu	3078	NM_028657	73822	Mm.182281	NM_028657	ENSMUSG00000034854	Mfsd12	C19orf28|F630110N24Rik|Wdt1	major facilitator superfamily domain containing 12	protein-coding
Merged-chr6-145143539-1	chr6	145074614	145212464	+	1135.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr6-45501	0	chr6	145074614	145212464	+	1135.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_001281980, intron 3 of 18)	intron (NM_001281980, intron 3 of 18)	21800	NM_008511	16970	Mm.843	NM_008511	ENSMUSG00000030263	Lrmp	D6Int3|D6Int4|D6Int5|D6Int7|D6Int8|Jaw1	lymphoid-restricted membrane protein	protein-coding
Merged-chr8-70573110-1	chr8	70506056	70640165	+	1135.0	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr8-17621	0	chr8	70506056	70640165	+	1135.0	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_007924, intron 2 of 11)	intron (NM_007924, intron 2 of 11)	-21371	NM_023627	71780	Mm.29357	NM_023627	ENSMUSG00000019139	Isyna1	1300017C10Rik|AU018670	myo-inositol 1-phosphate synthase A1	protein-coding
Merged-chr7-126754823-1	chr7	126695094	126814552	+	1132.0	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr7-53244	0	chr7	126695094	126814552	+	1132.0	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	B1_Mur2|SINE|Alu	-4803	NM_011952	26417	Mm.8385	NM_011952	ENSMUSG00000063065	Mapk3	Erk-1|Erk1|Ert2|Esrk1|Mnk1|Mtap2k|Prkm3|p44|p44erk1|p44mapk	mitogen-activated protein kinase 3	protein-coding
Merged-chr4-139239427-1	chr4	139167101	139311754	+	1117.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr4-44125	0	chr4	139167101	139311754	+	1117.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_009798, intron 2 of 8)	Charlie1|DNA|hAT-Charlie	6044	NM_001271406	12345	Mm.2945	NM_009798	ENSMUSG00000028745	Capzb	1700120C01Rik|AI325129|CPB1|CPB2|CPbeat2|CPbeta1|CPbeta2|Cappb1	capping protein (actin filament) muscle Z-line, beta	protein-coding
Merged-chr5-124486163-1	chr5	124411813	124560514	+	1117.300049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-40094	0	chr5	124411813	124560514	+	1117.300049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_029532, intron 1 of 1)	intron (NM_029532, intron 1 of 1)	3008	NM_029532	76167	Mm.156035	NM_029532	ENSMUSG00000029402	Snrnp35	6330548G22Rik	small nuclear ribonucleoprotein 35 (U11/U12)	protein-coding
Merged-chr7-45103124-1	chr7	45051655	45154593	+	1116.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr7-42545	0	chr7	45051655	45154593	+	1116.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	5' UTR (NM_010189, exon 2 of 7)	5' UTR (NM_010189, exon 2 of 7)	698	NM_010189	14132	Mm.3303	NM_010189	ENSMUSG00000003420	Fcgrt	FcRn	Fc receptor, IgG, alpha chain transporter	protein-coding
Merged-chr11-3310281-1	chr11	3247952	3372611	+	1111.0	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-44647	0	chr11	3247952	3372611	+	1111.0	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NR_045708, intron 1 of 5)	B4|SINE|B4	1281	NR_045708	100302648	Mm.458664	NR_045708	ENSMUSG00000084941	Gm11944	OTTMUSG00000005017	predicted gene 11944	ncRNA
