	chr	start	end	strand	Stat	Parent files	Total subpeaks	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr6-134190798-2	chr6	134019494	134420469	+	3822.4501950000003	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr6-33472	chr6-33597	chr6	134019494	134420469	+	3822.4501950000003	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_007961, intron 2 of 7)	intron (NM_007961, intron 2 of 7)	-176348	NM_025778	66813	Mm.474472	NM_025778	ENSMUSG00000030200	Bcl2l14	4930452K23Rik|4933405K19Rik|9030625M01Rik|AI429211|Bclg	BCL2-like 14 (apoptosis facilitator)	protein-coding
Merged-chr16-10721822-2	chr16	10524738	10868301	+	3725.4501950000003	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr16-24296	chr16-10722	chr16	10524738	10868301	+	3725.4501950000003	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_177562, intron 21 of 22)	intron (NM_177562, intron 21 of 22)	89017	NM_001271603	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding
Merged-chr13-30758573-2	chr13	30543831	30988066	+	3715.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr13-34520	chr13-26621	chr13	30543831	30988066	+	3715.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	3' UTR (NM_013674, exon 9 of 9)	3' UTR (NM_013674, exon 9 of 9)	16690	NM_013674	16364	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding
Merged-chr14-27312397-2	chr14	27180456	27443360	+	3601.350098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr14-32975	chr14-24499	chr14	27180456	27443360	+	3601.350098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_027871, intron 2 of 10)	intron (NM_027871, intron 2 of 10)	-24129	NM_001289687	71704	Mm.248606	NM_027871	ENSMUSG00000021895	Arhgef3	1200004I24Rik|9830169H03Rik|C76747|Xpln	Rho guanine nucleotide exchange factor (GEF) 3	protein-coding
Merged-chr10-96479748-5	chr10	96097789	96802208	+	3544.1599119999996	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	5	chr10-54740	chr10-46851,chr10-24957,chr10-24986,chr10-47035	chr10	96097789	96802208	+	3544.1599119999996	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Lx5|LINE|L1	-167003	NM_007569	12226	Mm.23811	NM_007569	ENSMUSG00000036478	Btg1	AI426953|AW546738	B cell translocation gene 1, anti-proliferative	protein-coding
Merged-chr1-60883604-2	chr1	60702272	61085189	+	3513.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr1-52667	chr1-55749	chr1	60702272	61085189	+	3513.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-15295	NM_009843	12477	Mm.390	NM_009843	ENSMUSG00000026011	Ctla4	Cd152|Ctla-4|Ly-56	cytotoxic T-lymphocyte-associated protein 4	protein-coding
Merged-chr10-19087693-2	chr10	18914668	19243606	+	3471.3000490000004	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr10-49539	chr10-54228	chr10	18914668	19243606	+	3471.3000490000004	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	L1Md_F2|LINE|L1	-62612	NR_038021	100504265	Mm.383417	NR_038021	0	Gm20139	-	predicted gene, 20139	ncRNA
Merged-chr10-117917784-2	chr10	117745580	118122073	+	3428.5500490000004	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr10-15022	chr10-47428	chr10	117745580	118122073	+	3428.5500490000004	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NR_045342, intron 2 of 3)	(TTTC)n|Simple_repeat|Simple_repeat	8367	NR_045342	71067	Mm.410793	NR_045342	0	4933411E08Rik	-	RIKEN cDNA 4933411E08 gene	ncRNA
Merged-chr17-51948206-3	chr17	51743394	52250658	+	3346.333496	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	3	chr17-23504	chr17-39007,chr17-35143	chr17	51743394	52250658	+	3346.333496	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	114299	NR_045095	100504169	Mm.417731	NR_045095	0	Gm20098	-	predicted gene, 20098	ncRNA
Merged-chr11-106632897-2	chr11	106350368	106790166	+	3340.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr11-65339	chr11-63483	chr11	106350368	106790166	+	3340.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_198292, intron 1 of 11)	intron (NM_198292, intron 1 of 11)	42663	NM_198292	21763	Mm.102407	NM_198292	ENSMUSG00000040548	Tex2	4930568E07Rik|AI553404|Def-5|Taz4	testis expressed gene 2	protein-coding
Merged-chr12-99420314-2	chr12	99185683	99701158	+	3312.25	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr12-24260	chr12-36553	chr12	99185683	99701158	+	3312.25	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_183186, intron 1 of 5)	intron (NM_183186, intron 1 of 5)	6654	NM_183186	71375	Mm.341972	NM_183186	ENSMUSG00000033713	Foxn3	5430426H20Rik|AA589593|AW556347|Ches1|Ches1l|HTLFL1	forkhead box N3	protein-coding
Merged-chr1-106613732-2	chr1	106508038	106717388	+	3231.399902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr1-22000	chr1-31053	chr1	106508038	106717388	+	3231.399902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_009741, intron 1 of 1)	intron (NM_009741, intron 1 of 1)	101577	NM_177410	12043	Mm.257460	NM_009741	ENSMUSG00000057329	Bcl2	AW986256|Bcl-2|C430015F12Rik|D630044D05Rik|D830018M01Rik	B cell leukemia/lymphoma 2	protein-coding
Merged-chr6-48735042-2	chr6	48645371	48845436	+	3211.950195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr6-35304	chr6-56210	chr6	48645371	48845436	+	3211.950195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	promoter-TSS (NM_175035)	promoter-TSS (NM_175035)	-794	NM_175035	317757	Mm.455917	NM_175035	ENSMUSG00000043505	Gimap5	D630024P16|E230026N22Rik	GTPase, IMAP family member 5	protein-coding
Merged-chr14-25531891-2	chr14	25364071	25663257	+	3200.149902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr14-21521	chr14-32320	chr14	25364071	25663257	+	3200.149902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_183208, intron 2 of 23)	intron (NM_183208, intron 2 of 23)	-20775	NR_037236	100526533	0	NR_037236	miRBase:MI0014038	Mir3075	mmu-mir-3075	microRNA 3075	ncRNA
Merged-chr7-63984319-2	chr7	63875834	64106730	+	3170.050049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr7-29078	chr7-58102	chr7	63875834	64106730	+	3170.050049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-52367	NM_021366	50794	Mm.240473	NM_021366	ENSMUSG00000052040	Klf13	0610043C13Rik|9430029L20Rik|Bteb3|FKLF-2|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel-like factor 13	protein-coding
Merged-chr5-105619792-2	chr5	105483701	105755033	+	3127.649902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr5-44848	chr5-40376	chr5	105483701	105755033	+	3127.649902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-80602	NM_001122768	231549	Mm.23837	NM_178701	ENSMUSG00000046079	Lrrc8d	2810473G09Rik|4930525N13Rik|A930019F03|Lrrc5	leucine rich repeat containing 8D	protein-coding
Merged-chr1-138213071-2	chr1	138085128	138348655	+	3084.450195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr1-36856	chr1-71853	chr1	138085128	138348655	+	3084.450195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-41586	NM_011210	19264	Mm.391573	NM_011210	ENSMUSG00000026395	Ptprc	B220|CD45R|Cd45|L-CA|Ly-5|Lyt-4|T200|loc	protein tyrosine phosphatase, receptor type, C	protein-coding
Merged-chr2-11208896-2	chr2	11112986	11297283	+	3076.300049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr2-37924	chr2-45841	chr2	11112986	11297283	+	3076.300049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_008859, intron 1 of 17)	MTD|LTR|ERVL-MaLR	32752	NM_008859	18761	Mm.329993	NM_008859	ENSMUSG00000026778	Prkcq	A130035A12Rik|AW494342|PKC-0|PKC-theta|PKCtheta|Pkcq	protein kinase C, theta	protein-coding
Merged-chr1-88609310-2	chr1	88447366	88728499	+	2972.600098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr1-46791	chr1-62831	chr1	88447366	88728499	+	2972.600098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	36415	NR_037971	100503197	Mm.99352	NR_037971	0	Gm19589	-	predicted gene, 19589	ncRNA
Merged-chr19-32231043-2	chr19	32106931	32345507	+	2947.600098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr19-23738	chr19-20739	chr19	32106931	32345507	+	2947.600098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_144792, intron 4 of 9)	ORR1B2|LTR|ERVL-MaLR	-15206	NM_001168526	208449	Mm.329810	NM_144792	ENSMUSG00000040451	Sgms1	9530058O11Rik|AI841905|C80702|Mob|Sms1|Sor1|Tmem23	sphingomyelin synthase 1	protein-coding
Merged-chr3-115759084-2	chr3	115638229	115907838	+	2919.450195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr3-44530	chr3-35640	chr3	115638229	115907838	+	2919.450195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	MTE2b|LTR|ERVL-MaLR	-57978	NM_007901	13609	Mm.982	NM_007901	ENSMUSG00000045092	S1pr1	AI849002|Edg1|Lpb1|S1p|S1p1	sphingosine-1-phosphate receptor 1	protein-coding
Merged-chr7-127198891-2	chr7	127073703	127323299	+	2919.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr7-53328	chr7-17314	chr7	127073703	127323299	+	2919.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	3' UTR (NM_144522, exon 9 of 9)	3' UTR (NM_144522, exon 9 of 9)	-2424	NM_001285905	70233	Mm.28050	NM_027353	ENSMUSG00000042502	Cd2bp2	1500011B02Rik|2410024K20Rik|AW048183	CD2 antigen (cytoplasmic tail) binding protein 2	protein-coding
Merged-chr1-180334935-2	chr1	180222396	180435998	+	2903.450195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr1-67481	chr1-59409	chr1	180222396	180435998	+	2903.450195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	non-coding (NR_003623, exon 1 of 1)	non-coding (NR_003623, exon 1 of 1)	-1279	NM_001081175	320404	Mm.132535	NM_001081175	ENSMUSG00000038855	Itpkb	1110033J02Rik|E130307H12Rik	inositol 1,4,5-trisphosphate 3-kinase B	protein-coding
Merged-chr4-59251965-2	chr4	59135670	59380597	+	2878.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr4-40794	chr4-54463	chr4	59135670	59380597	+	2878.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-1918	NR_105031	101055769	Mm.421401	NR_105031	0	LOC101055769	-	uncharacterized LOC101055769	ncRNA
Merged-chr18-75372781-2	chr18	75205162	75541498	+	2832.949951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr18-20044	chr18-16821	chr18	75205162	75541498	+	2832.949951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001042660, intron 2 of 3)	intron (NM_001042660, intron 2 of 3)	5965	NM_001042660	17131	Mm.34407	NM_008543	ENSMUSG00000025880	Smad7	Madh7	SMAD family member 7	protein-coding
Merged-chr11-11720588-2	chr11	11620466	11847516	+	2828.700195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr11-51446	chr11-59015	chr11	11620466	11847516	+	2828.700195	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_009578, intron 3 of 6)	intron (NM_009578, intron 3 of 6)	47778	NM_001025597	22778	Mm.103545	NM_009578	ENSMUSG00000018654	Ikzf1	5832432G11Rik|Ikaros|LyF-1|Zfpn1a1|Znfn1a1|hlk-1|mKIAA4227	IKAROS family zinc finger 1	protein-coding
Merged-chr12-25260352-2	chr12	25092457	25414333	+	2808.899902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr12-41012	chr12-10582	chr12	25092457	25414333	+	2808.899902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	124221	NR_045844	432641	Mm.112955	NR_045844	0	Gm17746	-	predicted gene, 17746	ncRNA
